道具id	对应副本id	生效时长（s）	对应奖励
item210210321085	1032	604800	item101020503004,1
item210210321086	1032	604800	item101020503032,1
item210210321087	1032	604800	item101020503037,1
item210210321088	1032	604800	item101020503033,1
item210210321089	1032	604800	item101020503056,1
item210210321090	1032	604800	item101020503044,1
item210210321091	1032	604800	item101020503045,1
item210210321092	1032	604800	item101020503046,1
item210210321093	1032	604800	item101020503047,1
item210210321094	1032	604800	item101020503048,1
item210210321095	1032	604800	item100000000000,10
item210210321096	1032	604800	item100000000001,10
item210210321097	1032	604800	item107999900002,25
item210210321098	1032	604800	item100500000001,50
item210210321099	1032	604800	item119100000002,2
item210210321100	1032	604800	item119100000003,2
item210210321101	1032	604800	item106210200001,25
item210210321102	1032	604800	item170000120020,200
item210210321103	1032	604800	item107300000001,50
item210210321104	1032	604800	item107300000002,20
item210210321105	1032	604800	item107200042001,30
item210210321106	1032	604800	item107200043001,30
item210210321107	1032	604800	item107200051001,10
item210210321108	1032	604800	item107200052001,5
item210210321109	1032	604800	item107200053001,5
item210210321110	1032	604800	item101040101101,1
item210210321111	1032	604800	item101040101104,1
item210210321112	1032	604800	item101040101107,1
item210210321113	1032	604800	item101040101110,1
item210210321114	1032	604800	item101040101113,1
item210210321115	1032	604800	item101040101102,1
item210210321116	1032	604800	item101040101105,1
item210210321117	1032	604800	item101040101108,1
item210210321118	1032	604800	item101040101111,1
item210210321119	1032	604800	item101040101114,1
item210210321120	1032	604800	item101040101103,1
item210210321121	1032	604800	item101040101106,1
item210210321122	1032	604800	item101040101109,1
item210210321123	1032	604800	item101040101112,1
item210210321124	1032	604800	item101040101115,1
item210311011125	1101	604800	item103015110406,1
item210311011126	1101	604800	item103015110403,4
item210311011127	1101	604800	item103010121006,24
item210311011128	1101	604800	item103010111019,8
item210311011129	1101	604800	item103010111020,1
item210311011130	1101	604800	item103010132201,1
item210311011131	1101	604800	item103010132211,1
item210311011132	1101	604800	item103015110409,24
item210311011133	1101	604800	item103015110408,16
item210311011134	1101	604800	item101020503044,1
item210311011135	1101	604800	item101020503045,1
item210311011136	1101	604800	item101020503046,1
item210311011137	1101	604800	item101020503047,1
item210311011138	1101	604800	item101020503048,1
item210311011139	1101	604800	item100000000000,88
item210311011140	1101	604800	item100000000001,66
item210311011141	1101	604800	item107200052001,25
item210311011142	1101	604800	item107200053001,25
item210311011143	1101	604800	item101040101103,1
item210311011144	1101	604800	item101040101106,1
item210311011145	1101	604800	item101040101109,1
item210311011146	1101	604800	item101040101112,1
item210311011147	1101	604800	item101040101115,1
item210311011148	1101	604800	item102020060003,1
item210110341001	1034	604800	item8103015110401,1
item210110341002	1034	604800	item8103015110407,2
item210110341003	1034	604800	item8103015110403,1
item210110341004	1034	604800	item8103015110412,1
item210110341005	1034	604800	item8103015110406,1
item210110341006	1034	604800	item8103010121003,60
item210110341007	1034	604800	item8103010121004,20
item210110341008	1034	604800	item8103010121005,5
item210110341009	1034	604800	item8103010121006,2
item210110341010	1034	604800	item8103010111018,5
item210110341011	1034	604800	item8103010111019,1
item210110341012	1034	604800	item8103010111020,1
item210110341013	1034	604800	item8103010132101,1
item210110341014	1034	604800	item8103010132111,1
item210110341015	1034	604800	item8103010132201,1
item210110341016	1034	604800	item8103010132211,1
item210110341017	1034	604800	item8103015110302,4
item210110341018	1034	604800	item8103015110303,6
item210110341019	1034	604800	item8103015110415,2
item210110341020	1034	604800	item8103015110416,3
item210110341021	1034	604800	item8103015110409,6
item210110341022	1034	604800	item8103015110408,4
item210110341023	1034	604800	item8101020503004,1
item210110341024	1034	604800	item8101020503032,1
item210110341025	1034	604800	item8101020503037,1
item210110341026	1034	604800	item8101020503033,1
item210110341027	1034	604800	item8101020503056,1
item210110341028	1034	604800	item8101020503044,1
item210110341029	1034	604800	item8101020503045,1
item210110341030	1034	604800	item8101020503046,1
item210110341031	1034	604800	item8101020503047,1
item210110341032	1034	604800	item8101020503048,1
item210110341033	1034	604800	item100000000000,10
item210110341034	1034	604800	item100000000001,10
item210110341035	1034	604800	item107999900002,25
item210110341036	1034	604800	item100500000001,50
item210110341037	1034	604800	item8119100000002,2
item210110341038	1034	604800	item119100000003,2
item210110341039	1034	604800	item8106210200001,25
item210110341040	1034	604800	item170000120020,200
item210110341041	1034	604800	item107300000001,50
item210110341042	1034	604800	item107300000002,20
item210110341043	1034	604800	item107200042001,30
item210110341044	1034	604800	item107200043001,30
item210110341045	1034	604800	item107200051001,10
item210110341046	1034	604800	item107200052001,5
item210110341047	1034	604800	item107200053001,5
item210110341048	1034	604800	item8101040101101,1
item210110341049	1034	604800	item8101040101104,1
item210110341050	1034	604800	item8101040101107,1
item210110341051	1034	604800	item8101040101110,1
item210110341052	1034	604800	item8101040101113,1
item210110341053	1034	604800	item8101040101102,1
item210110341054	1034	604800	item8101040101105,1
item210110341055	1034	604800	item8101040101108,1
item210110341056	1034	604800	item8101040101111,1
item210110341057	1034	604800	item8101040101114,1
item210110341058	1034	604800	item8101040101103,1
item210110341059	1034	604800	item8101040101106,1
item210110341060	1034	604800	item8101040101109,1
item210110341061	1034	604800	item8101040101112,1
item210110341062	1034	604800	item8101040101115,1
item210210341063	1034	604800	item103015110401,1
item210210341064	1034	604800	item103015110407,2
item210210341065	1034	604800	item103015110403,1
item210210341066	1034	604800	item103015110412,1
item210210341067	1034	604800	item103015110406,1
item210210341068	1034	604800	item103010121003,60
item210210341069	1034	604800	item103010121004,20
item210210341070	1034	604800	item103010121005,5
item210210341071	1034	604800	item103010121006,2
item210210341072	1034	604800	item103010111018,5
item210210341073	1034	604800	item103010111019,1
item210210341074	1034	604800	item103010111020,1
item210210341075	1034	604800	item103010132101,1
item210210341076	1034	604800	item103010132111,1
item210210341077	1034	604800	item103010132201,1
item210210341078	1034	604800	item103010132211,1
item210210341079	1034	604800	item103015110302,4
item210210341080	1034	604800	item103015110303,6
item210210341081	1034	604800	item103015110415,2
item210210341082	1034	604800	item103015110416,3
item210210341083	1034	604800	item103015110409,6
item210210341084	1034	604800	item103015110408,4
item210210341085	1034	604800	item101020503004,1
item210210341086	1034	604800	item101020503032,1
item210210341087	1034	604800	item101020503037,1
item210210341088	1034	604800	item101020503033,1
item210210341089	1034	604800	item101020503056,1
item210210341090	1034	604800	item101020503044,1
item210210341091	1034	604800	item101020503045,1
item210210341092	1034	604800	item101020503046,1
item210210341093	1034	604800	item101020503047,1
item210210341094	1034	604800	item101020503048,1
item210210341095	1034	604800	item100000000000,10
item210210341096	1034	604800	item100000000001,10
item210210341097	1034	604800	item107999900002,25
item210210341098	1034	604800	item100500000001,50
item210210341099	1034	604800	item119100000002,2
item210210341100	1034	604800	item119100000003,2
item210210341101	1034	604800	item106210200001,25
item210210341102	1034	604800	item170000120020,200
item210210341103	1034	604800	item107300000001,50
item210210341104	1034	604800	item107300000002,20
item210210341105	1034	604800	item107200042001,30
item210210341106	1034	604800	item107200043001,30
item210210341107	1034	604800	item107200051001,10
item210210341108	1034	604800	item107200052001,5
item210210341109	1034	604800	item107200053001,5
item210210341110	1034	604800	item101040101101,1
item210210341111	1034	604800	item101040101104,1
item210210341112	1034	604800	item101040101107,1
item210210341113	1034	604800	item101040101110,1
item210210341114	1034	604800	item101040101113,1
item210210341115	1034	604800	item101040101102,1
item210210341116	1034	604800	item101040101105,1
item210210341117	1034	604800	item101040101108,1
item210210341118	1034	604800	item101040101111,1
item210210341119	1034	604800	item101040101114,1
item210210341120	1034	604800	item101040101103,1
item210210341121	1034	604800	item101040101106,1
item210210341122	1034	604800	item101040101109,1
item210210341123	1034	604800	item101040101112,1
item210210341124	1034	604800	item101040101115,1
item210311021125	1102	604800	item103015110406,1
item210311021126	1102	604800	item103015110403,4
item210311021127	1102	604800	item103010121006,24
item210311021128	1102	604800	item103010111019,8
item210311021129	1102	604800	item103010111020,1
item210311021130	1102	604800	item103010132201,1
item210311021131	1102	604800	item103010132211,1
item210311021132	1102	604800	item103015110409,24
item210311021133	1102	604800	item103015110408,16
item210311021134	1102	604800	item101020503044,1
item210311021135	1102	604800	item101020503045,1
item210311021136	1102	604800	item101020503046,1
item210311021137	1102	604800	item101020503047,1
item210311021138	1102	604800	item101020503048,1
item210311021139	1102	604800	item100000000000,88
item210311021140	1102	604800	item100000000001,66
item210311021141	1102	604800	item107200052001,25
item210311021142	1102	604800	item107200053001,25
item210311021143	1102	604800	item101040101103,1
item210311021144	1102	604800	item101040101106,1
item210311021145	1102	604800	item101040101109,1
item210311021146	1102	604800	item101040101112,1
item210311021147	1102	604800	item101040101115,1
item210311021148	1102	604800	item102020060003,1
item210110381001	1038	604800	item8103015110401,1
item210110381002	1038	604800	item8103015110407,2
item210110381003	1038	604800	item8103015110403,1
item210110381004	1038	604800	item8103015110412,1
item210110381005	1038	604800	item8103015110406,1
item210110381006	1038	604800	item8103010121003,60
item210110381007	1038	604800	item8103010121004,20
item210110381008	1038	604800	item8103010121005,5
item210110381009	1038	604800	item8103010121006,2
item210110381010	1038	604800	item8103010111018,5
item210110381011	1038	604800	item8103010111019,1
item210110381012	1038	604800	item8103010111020,1
item210110381013	1038	604800	item8103010132101,1
item210110381014	1038	604800	item8103010132111,1
item210110381015	1038	604800	item8103010132201,1
item210110381016	1038	604800	item8103010132211,1
item210110381017	1038	604800	item8103015110302,4
item210110381018	1038	604800	item8103015110303,6
item210110381019	1038	604800	item8103015110415,2
item210110381020	1038	604800	item8103015110416,3
item210110381021	1038	604800	item8103015110409,6
item210110381022	1038	604800	item8103015110408,4
item210110381023	1038	604800	item8101020503004,1
item210110381024	1038	604800	item8101020503032,1
item210110381025	1038	604800	item8101020503037,1
item210110381026	1038	604800	item8101020503033,1
item210110381027	1038	604800	item8101020503056,1
item210110381028	1038	604800	item8101020503044,1
item210110381029	1038	604800	item8101020503045,1
item210110381030	1038	604800	item8101020503046,1
item210110381031	1038	604800	item8101020503047,1
item210110381032	1038	604800	item8101020503048,1
item210110381033	1038	604800	item100000000000,10
item210110381034	1038	604800	item100000000001,10
item210110381035	1038	604800	item107999900002,25
item210110381036	1038	604800	item100500000001,50
item210110381037	1038	604800	item8119100000002,2
item210110381038	1038	604800	item119100000003,2
item210110381039	1038	604800	item8106210200001,25
item210110381040	1038	604800	item170000120020,200
item210110381041	1038	604800	item107300000001,50
item210110381042	1038	604800	item107300000002,20
item210110381043	1038	604800	item107200042001,30
item210110381044	1038	604800	item107200043001,30
item210110381045	1038	604800	item107200051001,10
item210110381046	1038	604800	item107200052001,5
item210110381047	1038	604800	item107200053001,5
item210110381048	1038	604800	item8101040101101,1
item210110381049	1038	604800	item8101040101104,1
item210110381050	1038	604800	item8101040101107,1
item210110381051	1038	604800	item8101040101110,1
item210110381052	1038	604800	item8101040101113,1
item210110381053	1038	604800	item8101040101102,1
item210110381054	1038	604800	item8101040101105,1
item210110381055	1038	604800	item8101040101108,1
item210110381056	1038	604800	item8101040101111,1
item210110381057	1038	604800	item8101040101114,1
item210110381058	1038	604800	item8101040101103,1
item210110381059	1038	604800	item8101040101106,1
item210110381060	1038	604800	item8101040101109,1
item210110381061	1038	604800	item8101040101112,1
item210110381062	1038	604800	item8101040101115,1
item210210381063	1038	604800	item103015110401,1
item210210381064	1038	604800	item103015110407,2
item210210381065	1038	604800	item103015110403,1
item210210381066	1038	604800	item103015110412,1
item210210381067	1038	604800	item103015110406,1
item210210381068	1038	604800	item103010121003,60
item210210381069	1038	604800	item103010121004,20
item210210381070	1038	604800	item103010121005,5
item210210381071	1038	604800	item103010121006,2
item210210381072	1038	604800	item103010111018,5
item210210381073	1038	604800	item103010111019,1
item210210381074	1038	604800	item103010111020,1
item210210381075	1038	604800	item103010132101,1
item210210381076	1038	604800	item103010132111,1
item210210381077	1038	604800	item103010132201,1
item210210381078	1038	604800	item103010132211,1
item210210381079	1038	604800	item103015110302,4
item210210381080	1038	604800	item103015110303,6
item210210381081	1038	604800	item103015110415,2
item210210381082	1038	604800	item103015110416,3
item210210381083	1038	604800	item103015110409,6
item210210381084	1038	604800	item103015110408,4
item210210381085	1038	604800	item101020503004,1
item210210381086	1038	604800	item101020503032,1
item210210381087	1038	604800	item101020503037,1
item210210381088	1038	604800	item101020503033,1
item210210381089	1038	604800	item101020503056,1
item210210381090	1038	604800	item101020503044,1
item210210381091	1038	604800	item101020503045,1
item210210381092	1038	604800	item101020503046,1
item210210381093	1038	604800	item101020503047,1
item210210381094	1038	604800	item101020503048,1
item210210381095	1038	604800	item100000000000,10
item210210381096	1038	604800	item100000000001,10
item210210381097	1038	604800	item107999900002,25
item210210381098	1038	604800	item100500000001,50
item210210381099	1038	604800	item119100000002,2
item210210381100	1038	604800	item119100000003,2
item210210381101	1038	604800	item106210200001,25
item210210381102	1038	604800	item170000120020,200
item210210381103	1038	604800	item107300000001,50
item210210381104	1038	604800	item107300000002,20
item210210381105	1038	604800	item107200042001,30
item210210381106	1038	604800	item107200043001,30
item210210381107	1038	604800	item107200051001,10
item210210381108	1038	604800	item107200052001,5
item210210381109	1038	604800	item107200053001,5
item210210381110	1038	604800	item101040101101,1
item210210381111	1038	604800	item101040101104,1
item210210381112	1038	604800	item101040101107,1
item210210381113	1038	604800	item101040101110,1
item210210381114	1038	604800	item101040101113,1
item210210381115	1038	604800	item101040101102,1
item210210381116	1038	604800	item101040101105,1
item210210381117	1038	604800	item101040101108,1
item210210381118	1038	604800	item101040101111,1
item210210381119	1038	604800	item101040101114,1
item210210381120	1038	604800	item101040101103,1
item210210381121	1038	604800	item101040101106,1
item210210381122	1038	604800	item101040101109,1
item210210381123	1038	604800	item101040101112,1
item210210381124	1038	604800	item101040101115,1
