流水	纹章ID	随机插槽数	插槽数权重	随机属性条数	属性条数权重
79	item171001020102	1	2000	1	5000
80	item171001020102	2	2600	2	3000
81	item171001020102	3	3000	3	2000
82	item171001020102	4	1500	4	0
83	item171001020102	5	0	5	0
84	item171001020102	6	0	6	0
85	item171001020102	7	0	7	0
86	item171001020102	8	0	8	0
87	item171001020102	9	0	9	0
88	item171001020102	10	0	10	0
89	item171001020103	0	900	0	0
90	item171001020103	1	2000	1	5000
91	item171001020103	2	2600	2	3000
92	item171001020103	3	3000	3	2000
93	item171001020103	4	1500	4	0
94	item171001020103	5	0	5	0
95	item171001020103	6	0	6	0
96	item171001020103	7	0	7	0
97	item171001020103	8	0	8	0
98	item171001020103	9	0	9	0
99	item171001020103	10	0	10	0
100	item171001020201	0	900	0	0
101	item171001020201	1	2000	1	5000
102	item171001020201	2	2600	2	3000
103	item171001020201	3	3000	3	2000
104	item171001020201	4	1500	4	0
105	item171001020201	5	0	5	0
106	item171001020201	6	0	6	0
107	item171001020201	7	0	7	0
108	item171001020201	8	0	8	0
109	item171001020201	9	0	9	0
110	item171001020201	10	0	10	0
111	item171001020202	0	900	0	0
112	item171001020202	1	2000	1	5000
113	item171001020202	2	2600	2	3000
114	item171001020202	3	3000	3	2000
115	item171001020202	4	1500	4	0
116	item171001020202	5	0	5	0
117	item171001020202	6	0	6	0
118	item171001020202	7	0	7	0
119	item171001020202	8	0	8	0
120	item171001020202	9	0	9	0
121	item171001020202	10	0	10	0
122	item171001020203	0	900	0	0
123	item171001020203	1	2000	1	5000
124	item171001020203	2	2600	2	3000
125	item171001020203	3	3000	3	2000
126	item171001020203	4	1500	4	0
127	item171001020203	5	0	5	0
128	item171001020203	6	0	6	0
129	item171001020203	7	0	7	0
130	item171001020203	8	0	8	0
131	item171001020203	9	0	9	0
132	item171001020203	10	0	10	0
133	item171001020301	0	900	0	0
134	item171001020301	1	2000	1	5000
135	item171001020301	2	2600	2	3000
136	item171001020301	3	3000	3	2000
137	item171001020301	4	1500	4	0
138	item171001020301	5	0	5	0
139	item171001020301	6	0	6	0
140	item171001020301	7	0	7	0
141	item171001020301	8	0	8	0
142	item171001020301	9	0	9	0
143	item171001020301	10	0	10	0
144	item171001020302	0	900	0	0
145	item171001020302	1	2000	1	5000
146	item171001020302	2	2600	2	3000
147	item171001020302	3	3000	3	2000
148	item171001020302	4	1500	4	0
149	item171001020302	5	0	5	0
150	item171001020302	6	0	6	0
151	item171001020302	7	0	7	0
152	item171001020302	8	0	8	0
153	item171001020302	9	0	9	0
154	item171001020302	10	0	10	0
155	item171001020303	0	900	0	0
156	item171001020303	1	2000	1	5000
157	item171001020303	2	2600	2	3000
158	item171001020303	3	3000	3	2000
159	item171001020303	4	1500	4	0
160	item171001020303	5	0	5	0
161	item171001020303	6	0	6	0
162	item171001020303	7	0	7	0
163	item171001020303	8	0	8	0
164	item171001020303	9	0	9	0
165	item171001020303	10	0	10	0
166	item171001020401	0	900	0	0
167	item171001020401	1	2000	1	5000
168	item171001020401	2	2600	2	3000
169	item171001020401	3	3000	3	2000
170	item171001020401	4	1500	4	0
171	item171001020401	5	0	5	0
172	item171001020401	6	0	6	0
173	item171001020401	7	0	7	0
174	item171001020401	8	0	8	0
175	item171001020401	9	0	9	0
176	item171001020401	10	0	10	0
177	item171001020402	0	900	0	0
178	item171001020402	1	2000	1	5000
179	item171001020402	2	2600	2	3000
180	item171001020402	3	3000	3	2000
181	item171001020402	4	1500	4	0
182	item171001020402	5	0	5	0
183	item171001020402	6	0	6	0
184	item171001020402	7	0	7	0
185	item171001020402	8	0	8	0
186	item171001020402	9	0	9	0
187	item171001020402	10	0	10	0
188	item171001020403	0	900	0	0
189	item171001020403	1	2000	1	5000
190	item171001020403	2	2600	2	3000
191	item171001020403	3	3000	3	2000
192	item171001020403	4	1500	4	0
193	item171001020403	5	0	5	0
194	item171001020403	6	0	6	0
195	item171001020403	7	0	7	0
196	item171001020403	8	0	8	0
197	item171001020403	9	0	9	0
198	item171001020403	10	0	10	0
199	item171001030101	0	0	0	0
200	item171001030101	1	1000	1	3000
201	item171001030101	2	2800	2	3800
202	item171001030101	3	3000	3	2000
203	item171001030101	4	2200	4	1200
204	item171001030101	5	1000	5	0
205	item171001030101	6	0	6	0
206	item171001030101	7	0	7	0
207	item171001030101	8	0	8	0
208	item171001030101	9	0	9	0
209	item171001030101	10	0	10	0
210	item171001030102	0	0	0	0
211	item171001030102	1	1000	1	3000
212	item171001030102	2	2800	2	3800
213	item171001030102	3	3000	3	2000
214	item171001030102	4	2200	4	1200
215	item171001030102	5	1000	5	0
216	item171001030102	6	0	6	0
217	item171001030102	7	0	7	0
218	item171001030102	8	0	8	0
219	item171001030102	9	0	9	0
220	item171001030102	10	0	10	0
221	item171001030103	0	0	0	0
222	item171001030103	1	1000	1	3000
223	item171001030103	2	2800	2	3800
224	item171001030103	3	3000	3	2000
225	item171001030103	4	2200	4	1200
226	item171001030103	5	1000	5	0
227	item171001030103	6	0	6	0
228	item171001030103	7	0	7	0
229	item171001030103	8	0	8	0
230	item171001030103	9	0	9	0
231	item171001030103	10	0	10	0
232	item171001030201	0	0	0	0
233	item171001030201	1	1000	1	3000
234	item171001030201	2	2800	2	3800
235	item171001030201	3	3000	3	2000
236	item171001030201	4	2200	4	1200
237	item171001030201	5	1000	5	0
238	item171001030201	6	0	6	0
239	item171001030201	7	0	7	0
240	item171001030201	8	0	8	0
241	item171001030201	9	0	9	0
242	item171001030201	10	0	10	0
243	item171001030202	0	0	0	0
244	item171001030202	1	1000	1	3000
245	item171001030202	2	2800	2	3800
246	item171001030202	3	3000	3	2000
247	item171001030202	4	2200	4	1200
248	item171001030202	5	1000	5	0
249	item171001030202	6	0	6	0
250	item171001030202	7	0	7	0
251	item171001030202	8	0	8	0
252	item171001030202	9	0	9	0
253	item171001030202	10	0	10	0
254	item171001030203	0	0	0	0
255	item171001030203	1	1000	1	3000
256	item171001030203	2	2800	2	3800
257	item171001030203	3	3000	3	2000
258	item171001030203	4	2200	4	1200
259	item171001030203	5	1000	5	0
260	item171001030203	6	0	6	0
261	item171001030203	7	0	7	0
262	item171001030203	8	0	8	0
263	item171001030203	9	0	9	0
264	item171001030203	10	0	10	0
265	item171001030301	0	0	0	0
266	item171001030301	1	1000	1	3000
267	item171001030301	2	2800	2	3800
268	item171001030301	3	3000	3	2000
269	item171001030301	4	2200	4	1200
270	item171001030301	5	1000	5	0
271	item171001030301	6	0	6	0
272	item171001030301	7	0	7	0
273	item171001030301	8	0	8	0
274	item171001030301	9	0	9	0
275	item171001030301	10	0	10	0
276	item171001030401	0	0	0	0
277	item171001030401	1	1000	1	3000
278	item171001030401	2	2800	2	3800
279	item171001030401	3	3000	3	2000
280	item171001030401	4	2200	4	1200
281	item171001030401	5	1000	5	0
282	item171001030401	6	0	6	0
283	item171001030401	7	0	7	0
284	item171001030401	8	0	8	0
285	item171001030401	9	0	9	0
286	item171001030401	10	0	10	0
287	item171001030402	0	0	0	0
288	item171001030402	1	1000	1	3000
289	item171001030402	2	2800	2	3800
290	item171001030402	3	3000	3	2000
291	item171001030402	4	2200	4	1200
292	item171001030402	5	1000	5	0
293	item171001030402	6	0	6	0
294	item171001030402	7	0	7	0
295	item171001030402	8	0	8	0
296	item171001030402	9	0	9	0
297	item171001030402	10	0	10	0
298	item171001030403	0	0	0	0
299	item171001030403	1	1000	1	3000
300	item171001030403	2	2800	2	3800
301	item171001030403	3	3000	3	2000
302	item171001030403	4	2200	4	1200
303	item171001030403	5	1000	5	0
304	item171001030403	6	0	6	0
305	item171001030403	7	0	7	0
306	item171001030403	8	0	8	0
307	item171001030403	9	0	9	0
308	item171001030403	10	0	10	0
309	item171001030501	0	0	0	0
310	item171001030501	1	1000	1	3000
311	item171001030501	2	2800	2	3800
312	item171001030501	3	3000	3	2000
313	item171001030501	4	2200	4	1200
314	item171001030501	5	1000	5	0
315	item171001030501	6	0	6	0
316	item171001030501	7	0	7	0
317	item171001030501	8	0	8	0
318	item171001030501	9	0	9	0
319	item171001030501	10	0	10	0
320	item171001030502	0	0	0	0
321	item171001030502	1	1000	1	3000
322	item171001030502	2	2800	2	3800
323	item171001030502	3	3000	3	2000
324	item171001030502	4	2200	4	1200
325	item171001030502	5	1000	5	0
326	item171001030502	6	0	6	0
327	item171001030502	7	0	7	0
328	item171001030502	8	0	8	0
329	item171001030502	9	0	9	0
330	item171001030502	10	0	10	0
331	item171001030503	0	0	0	0
332	item171001030503	1	1000	1	3000
333	item171001030503	2	2800	2	3800
334	item171001030503	3	3000	3	2000
335	item171001030503	4	2200	4	1200
336	item171001030503	5	1000	5	0
337	item171001030503	6	0	6	0
338	item171001030503	7	0	7	0
339	item171001030503	8	0	8	0
340	item171001030503	9	0	9	0
341	item171001030503	10	0	10	0
342	item171001040101	0	0	0	0
343	item171001040101	1	0	1	1500
344	item171001040101	2	1200	2	3400
345	item171001040101	3	2000	3	3000
346	item171001040101	4	3500	4	1500
347	item171001040101	5	2800	5	600
348	item171001040101	6	500	6	0
349	item171001040101	7	0	7	0
350	item171001040101	8	0	8	0
351	item171001040101	9	0	9	0
352	item171001040101	10	0	10	0
353	item171001040102	0	0	0	0
354	item171001040102	1	0	1	1500
355	item171001040102	2	1200	2	3400
356	item171001040102	3	2000	3	3000
357	item171001040102	4	3500	4	1500
358	item171001040102	5	2800	5	600
359	item171001040102	6	500	6	0
360	item171001040102	7	0	7	0
361	item171001040102	8	0	8	0
362	item171001040102	9	0	9	0
363	item171001040102	10	0	10	0
364	item171001040103	0	0	0	0
365	item171001040103	1	0	1	1500
366	item171001040103	2	1200	2	3400
367	item171001040103	3	2000	3	3000
368	item171001040103	4	3500	4	1500
369	item171001040103	5	2800	5	600
370	item171001040103	6	500	6	0
371	item171001040103	7	0	7	0
372	item171001040103	8	0	8	0
373	item171001040103	9	0	9	0
374	item171001040103	10	0	10	0
375	item171001040201	0	0	0	0
376	item171001040201	1	0	1	1500
377	item171001040201	2	1200	2	3400
378	item171001040201	3	2000	3	3000
379	item171001040201	4	3500	4	1500
380	item171001040201	5	2800	5	600
381	item171001040201	6	500	6	0
382	item171001040201	7	0	7	0
383	item171001040201	8	0	8	0
384	item171001040201	9	0	9	0
385	item171001040201	10	0	10	0
386	item171001040301	0	0	0	0
387	item171001040301	1	0	1	1500
388	item171001040301	2	1200	2	3400
389	item171001040301	3	2000	3	3000
390	item171001040301	4	3500	4	1500
391	item171001040301	5	2800	5	600
392	item171001040301	6	500	6	0
393	item171001040301	7	0	7	0
394	item171001040301	8	0	8	0
395	item171001040301	9	0	9	0
396	item171001040301	10	0	10	0
397	item171001040401	0	0	0	0
398	item171001040401	1	0	1	1500
399	item171001040401	2	1200	2	3400
400	item171001040401	3	2000	3	3000
401	item171001040401	4	3500	4	1500
402	item171001040401	5	2800	5	600
403	item171001040401	6	500	6	0
404	item171001040401	7	0	7	0
405	item171001040401	8	0	8	0
406	item171001040401	9	0	9	0
407	item171001040401	10	0	10	0
408	item171001040402	0	0	0	0
409	item171001040402	1	0	1	1500
410	item171001040402	2	1200	2	3400
411	item171001040402	3	2000	3	3000
412	item171001040402	4	3500	4	1500
413	item171001040402	5	2800	5	600
414	item171001040402	6	500	6	0
415	item171001040402	7	0	7	0
416	item171001040402	8	0	8	0
417	item171001040402	9	0	9	0
418	item171001040402	10	0	10	0
419	item171001040403	0	0	0	0
420	item171001040403	1	0	1	1500
421	item171001040403	2	1200	2	3400
422	item171001040403	3	2000	3	3000
423	item171001040403	4	3500	4	1500
424	item171001040403	5	2800	5	600
425	item171001040403	6	500	6	0
426	item171001040403	7	0	7	0
427	item171001040403	8	0	8	0
428	item171001040403	9	0	9	0
429	item171001040403	10	0	10	0
430	item171001040501	0	0	0	0
431	item171001040501	1	0	1	1500
432	item171001040501	2	1200	2	3400
433	item171001040501	3	2000	3	3000
434	item171001040501	4	3500	4	1500
435	item171001040501	5	2800	5	600
436	item171001040501	6	500	6	0
437	item171001040501	7	0	7	0
438	item171001040501	8	0	8	0
439	item171001040501	9	0	9	0
440	item171001040501	10	0	10	0
441	item171001040502	0	0	0	0
442	item171001040502	1	0	1	1500
443	item171001040502	2	1200	2	3400
444	item171001040502	3	2000	3	3000
445	item171001040502	4	3500	4	1500
446	item171001040502	5	2800	5	600
447	item171001040502	6	500	6	0
448	item171001040502	7	0	7	0
449	item171001040502	8	0	8	0
450	item171001040502	9	0	9	0
451	item171001040502	10	0	10	0
452	item171001040503	0	0	0	0
453	item171001040503	1	0	1	1500
454	item171001040503	2	1200	2	3400
455	item171001040503	3	2000	3	3000
456	item171001040503	4	3500	4	1500
457	item171001040503	5	2800	5	600
458	item171001040503	6	500	6	0
459	item171001040503	7	0	7	0
460	item171001040503	8	0	8	0
461	item171001040503	9	0	9	0
462	item171001040503	10	0	10	0
463	item171001040701	0	0	0	0
464	item171001040701	1	0	1	1500
465	item171001040701	2	1200	2	3400
466	item171001040701	3	2000	3	3000
467	item171001040701	4	3500	4	1500
468	item171001040701	5	2800	5	600
469	item171001040701	6	500	6	0
470	item171001040701	7	0	7	0
471	item171001040701	8	0	8	0
472	item171001040701	9	0	9	0
473	item171001040701	10	0	10	0
474	item171001040801	0	0	0	0
475	item171001040801	1	0	1	1500
476	item171001040801	2	1200	2	3400
477	item171001040801	3	2000	3	3000
478	item171001040801	4	3500	4	1500
479	item171001040801	5	2800	5	600
480	item171001040801	6	500	6	0
481	item171001040801	7	0	7	0
482	item171001040801	8	0	8	0
483	item171001040801	9	0	9	0
484	item171001040801	10	0	10	0
