流水	印记id	等级	基础属性	升级消耗道具数量	升级消耗货币类型	升级消耗货币
85	item127000065111	5	279,2760000;281,276000	6	1	300000
86	item127000065111	6	279,3120000;281,312000	7	1	500000
87	item127000065111	7	279,3360000;281,336000	18	1	800000
88	item127000065111	8	279,3600000;281,360000	18	1	1000000
89	item127000065111	9	279,3720000;281,372000	20	1	1500000
90	item127000065111	10	279,3840000;281,384000	0	0	0
91	item127000065112	1	279,1200000;285,120000	2	1	10000
92	item127000065112	2	279,1680000;285,168000	3	1	50000
93	item127000065112	3	279,2040000;285,204000	4	1	100000
94	item127000065112	4	279,2400000;285,240000	5	1	200000
95	item127000065112	5	279,2760000;285,276000	6	1	300000
96	item127000065112	6	279,3120000;285,312000	7	1	500000
97	item127000065112	7	279,3360000;285,336000	18	1	800000
98	item127000065112	8	279,3600000;285,360000	18	1	1000000
99	item127000065112	9	279,3720000;285,372000	20	1	1500000
100	item127000065112	10	279,3840000;285,384000	0	0	0
101	item127000065113	1	281,120000;285,120000	2	1	10000
102	item127000065113	2	281,168000;285,168000	3	1	50000
103	item127000065113	3	281,204000;285,204000	4	1	100000
104	item127000065113	4	281,240000;285,240000	5	1	200000
105	item127000065113	5	281,276000;285,276000	6	1	300000
106	item127000065113	6	281,312000;285,312000	7	1	500000
107	item127000065113	7	281,336000;285,336000	18	1	800000
108	item127000065113	8	281,360000;285,360000	18	1	1000000
109	item127000065113	9	281,372000;285,372000	20	1	1500000
110	item127000065113	10	281,384000;285,384000	0	0	0
111	item127000065114	1	283,120;284,120	2	1	10000
112	item127000065114	2	283,168;284,168	3	1	50000
113	item127000065114	3	283,204;284,204	4	1	100000
114	item127000065114	4	283,240;284,240	5	1	200000
115	item127000065114	5	283,276;284,276	6	1	300000
116	item127000065114	6	283,312;284,312	7	1	500000
117	item127000065114	7	283,336;284,336	18	1	800000
118	item127000065114	8	283,360;284,360	18	1	1000000
119	item127000065114	9	283,372;284,372	20	1	1500000
120	item127000065114	10	283,384;284,384	0	0	0
121	item127000065115	1	281,120000;288,120	2	1	10000
122	item127000065115	2	281,168000;288,168	3	1	50000
123	item127000065115	3	281,204000;288,204	4	1	100000
124	item127000065115	4	281,240000;288,240	5	1	200000
125	item127000065115	5	281,276000;288,276	6	1	300000
126	item127000065115	6	281,312000;288,312	7	1	500000
127	item127000065115	7	281,336000;288,336	18	1	800000
128	item127000065115	8	281,360000;288,360	18	1	1000000
129	item127000065115	9	281,372000;288,372	20	1	1500000
130	item127000065115	10	281,384000;288,384	0	0	0
131	item127000065116	1	289,120;285,120000	2	1	10000
132	item127000065116	2	289,168;285,168000	3	1	50000
133	item127000065116	3	289,204;285,204000	4	1	100000
134	item127000065116	4	289,240;285,240000	5	1	200000
135	item127000065116	5	289,276;285,276000	6	1	300000
136	item127000065116	6	289,312;285,312000	7	1	500000
137	item127000065116	7	289,336;285,336000	18	1	800000
138	item127000065116	8	289,360;285,360000	18	1	1000000
139	item127000065116	9	289,372;285,372000	20	1	1500000
140	item127000065116	10	289,384;285,384000	0	0	0
141	item127000065117	1	283,120;288,120	2	1	10000
142	item127000065117	2	283,168;288,168	3	1	50000
143	item127000065117	3	283,204;288,204	4	1	100000
144	item127000065117	4	283,240;288,240	5	1	200000
145	item127000065117	5	283,276;288,276	6	1	300000
146	item127000065117	6	283,312;288,312	7	1	500000
147	item127000065117	7	283,336;288,336	18	1	800000
148	item127000065117	8	283,360;288,360	18	1	1000000
149	item127000065117	9	283,372;288,372	20	1	1500000
150	item127000065117	10	283,384;288,384	0	0	0
151	item127000065118	1	284,120;288,120	2	1	10000
152	item127000065118	2	284,168;288,168	3	1	50000
153	item127000065118	3	284,204;288,204	4	1	100000
154	item127000065118	4	284,240;288,240	5	1	200000
155	item127000065118	5	284,276;288,276	6	1	300000
156	item127000065118	6	284,312;288,312	7	1	500000
157	item127000065118	7	284,336;288,336	18	1	800000
158	item127000065118	8	284,360;288,360	18	1	1000000
159	item127000065118	9	284,372;288,372	20	1	1500000
160	item127000065118	10	284,384;288,384	0	0	0
161	item127000065119	1	279,1200000;281,120000;285,120000	4	1	10000
162	item127000065119	2	279,1680000;281,168000;285,168000	6	1	50000
163	item127000065119	3	279,2040000;281,204000;285,204000	8	1	100000
164	item127000065119	4	279,2400000;281,240000;285,240000	10	1	200000
165	item127000065119	5	279,2760000;281,276000;285,276000	12	1	300000
166	item127000065119	6	279,3120000;281,312000;285,312000	14	1	500000
167	item127000065119	7	279,3360000;281,336000;285,336000	16	1	800000
168	item127000065119	8	279,3600000;281,360000;285,360000	18	1	1000000
169	item127000065119	9	279,3720000;281,372000;285,372000	20	1	1500000
170	item127000065119	10	279,3840000;281,384000;285,384000	0	0	0
171	item127000065120	1	279,1200000;283,120;285,120000	4	1	10000
172	item127000065120	2	279,1680000;283,168;285,168000	6	1	50000
173	item127000065120	3	279,2040000;283,204;285,204000	8	1	100000
174	item127000065120	4	279,2400000;283,240;285,240000	10	1	200000
175	item127000065120	5	279,2760000;283,276;285,276000	12	1	300000
176	item127000065120	6	279,3120000;283,312;285,312000	14	1	500000
177	item127000065120	7	279,3360000;283,336;285,336000	16	1	800000
178	item127000065120	8	279,3600000;283,360;285,360000	18	1	1000000
179	item127000065120	9	279,3720000;283,372;285,372000	20	1	1500000
180	item127000065120	10	279,3840000;283,384;285,384000	0	0	0
181	item127000065121	1	279,1200000;284,120;288,120	4	1	10000
182	item127000065121	2	279,1680000;284,168;288,168	6	1	50000
183	item127000065121	3	279,2040000;284,204;288,204	8	1	100000
184	item127000065121	4	279,2400000;284,240;288,240	10	1	200000
185	item127000065121	5	279,2760000;284,276;288,276	12	1	300000
186	item127000065121	6	279,3120000;284,312;288,312	14	1	500000
187	item127000065121	7	279,3360000;284,336;288,336	16	1	800000
188	item127000065121	8	279,3600000;284,360;288,360	18	1	1000000
189	item127000065121	9	279,3720000;284,372;288,372	20	1	1500000
190	item127000065121	10	279,3840000;284,384;288,384	0	0	0
191	item127000065122	1	279,1200000;289,120;281,120000	4	1	10000
192	item127000065122	2	279,1680000;289,168;281,168000	6	1	50000
193	item127000065122	3	279,2040000;289,204;281,204000	8	1	100000
194	item127000065122	4	279,2400000;289,240;281,240000	10	1	200000
195	item127000065122	5	279,2760000;289,276;281,276000	12	1	300000
196	item127000065122	6	279,3120000;289,312;281,312000	14	1	500000
197	item127000065122	7	279,3360000;289,336;281,336000	16	1	800000
198	item127000065122	8	279,3600000;289,360;281,360000	18	1	1000000
199	item127000065122	9	279,3720000;289,372;281,372000	20	1	1500000
200	item127000065122	10	279,3840000;289,384;281,384000	0	0	0
201	item127000065123	1	281,120000;283,120;284,120	4	1	10000
202	item127000065123	2	281,168000;283,168;284,168	6	1	50000
203	item127000065123	3	281,204000;283,204;284,204	8	1	100000
204	item127000065123	4	281,240000;283,240;284,240	10	1	200000
205	item127000065123	5	281,276000;283,276;284,276	12	1	300000
206	item127000065123	6	281,312000;283,312;284,312	14	1	500000
207	item127000065123	7	281,336000;283,336;284,336	16	1	800000
208	item127000065123	8	281,360000;283,360;284,360	18	1	1000000
209	item127000065123	9	281,372000;283,372;284,372	20	1	1500000
210	item127000065123	10	281,384000;283,384;284,384	0	0	0
211	item127000065124	1	281,120000;285,120000;289,120	4	1	10000
212	item127000065124	2	281,168000;285,168000;289,168	6	1	50000
213	item127000065124	3	281,204000;285,204000;289,204	8	1	100000
214	item127000065124	4	281,240000;285,240000;289,240	10	1	200000
215	item127000065124	5	281,276000;285,276000;289,276	12	1	300000
216	item127000065124	6	281,312000;285,312000;289,312	14	1	500000
217	item127000065124	7	281,336000;285,336000;289,336	16	1	800000
218	item127000065124	8	281,360000;285,360000;289,360	18	1	1000000
219	item127000065124	9	281,372000;285,372000;289,372	20	1	1500000
220	item127000065124	10	281,384000;285,384000;289,384	0	0	0
221	item127000065125	1	279,1200000;281,120000;283,120;287,120	4	1	10000
222	item127000065125	2	279,1680000;281,168000;283,168;287,168	6	1	50000
223	item127000065125	3	279,2040000;281,204000;283,204;287,204	8	1	100000
224	item127000065125	4	279,2400000;281,240000;283,240;287,240	10	1	200000
225	item127000065125	5	279,2760000;281,276000;283,276;287,276	12	1	300000
226	item127000065125	6	279,3120000;281,312000;283,312;287,312	14	1	500000
227	item127000065125	7	279,3360000;281,336000;283,336;287,336	20	1	800000
228	item127000065125	8	279,3600000;281,360000;283,360;287,360	25	1	1000000
229	item127000065125	9	279,3720000;281,372000;283,372;287,372	30	1	1500000
230	item127000065125	10	279,3840000;281,384000;283,384;287,384	0	0	0
231	item127000065126	1	279,1200000;281,120000;284,120;288,120	4	1	10000
232	item127000065126	2	279,1680000;281,168000;284,168;288,168	6	1	50000
233	item127000065126	3	279,2040000;281,204000;284,204;288,204	8	1	100000
234	item127000065126	4	279,2400000;281,240000;284,240;288,240	10	1	200000
235	item127000065126	5	279,2760000;281,276000;284,276;288,276	12	1	300000
236	item127000065126	6	279,3120000;281,312000;284,312;288,312	14	1	500000
237	item127000065126	7	279,3360000;281,336000;284,336;288,336	20	1	800000
238	item127000065126	8	279,3600000;281,360000;284,360;288,360	25	1	1000000
239	item127000065126	9	279,3720000;281,372000;284,372;288,372	30	1	1500000
240	item127000065126	10	279,3840000;281,384000;284,384;288,384	0	0	0
241	item127000065127	1	279,1200000;281,120000;289,120;290,120	4	1	10000
242	item127000065127	2	279,1680000;281,168000;289,168;290,168	6	1	50000
243	item127000065127	3	279,2040000;281,204000;289,204;290,204	8	1	100000
244	item127000065127	4	279,2400000;281,240000;289,240;290,240	10	1	200000
245	item127000065127	5	279,2760000;281,276000;289,276;290,276	12	1	300000
246	item127000065127	6	279,3120000;281,312000;289,312;290,312	14	1	500000
247	item127000065127	7	279,3360000;281,336000;289,336;290,336	20	1	800000
248	item127000065127	8	279,3600000;281,360000;289,360;290,360	25	1	1000000
249	item127000065127	9	279,3720000;281,372000;289,372;290,372	30	1	1500000
250	item127000065127	10	279,3840000;281,384000;289,384;290,384	0	0	0
251	item127000065128	1	279,1200000;281,120000;283,120;284,120	4	1	10000
252	item127000065128	2	279,1680000;281,168000;283,168;284,168	6	1	50000
253	item127000065128	3	279,2040000;281,204000;283,204;284,204	8	1	100000
254	item127000065128	4	279,2400000;281,240000;283,240;284,240	10	1	200000
255	item127000065128	5	279,2760000;281,276000;283,276;284,276	12	1	300000
256	item127000065128	6	279,3120000;281,312000;283,312;284,312	14	1	500000
257	item127000065128	7	279,3360000;281,336000;283,336;284,336	20	1	800000
258	item127000065128	8	279,3600000;281,360000;283,360;284,360	25	1	1000000
259	item127000065128	9	279,3720000;281,372000;283,372;284,372	30	1	1500000
260	item127000065128	10	279,3840000;281,384000;283,384;284,384	0	0	0
261	item127000065129	1	279,1200000;285,120000;283,120;287,120	4	1	10000
262	item127000065129	2	279,1680000;285,168000;283,168;287,168	6	1	50000
263	item127000065129	3	279,2040000;285,204000;283,204;287,204	8	1	100000
264	item127000065129	4	279,2400000;285,240000;283,240;287,240	10	1	200000
265	item127000065129	5	279,2760000;285,276000;283,276;287,276	12	1	300000
266	item127000065129	6	279,3120000;285,312000;283,312;287,312	14	1	500000
267	item127000065129	7	279,3360000;285,336000;283,336;287,336	20	1	800000
268	item127000065129	8	279,3600000;285,360000;283,360;287,360	25	1	1000000
269	item127000065129	9	279,3720000;285,372000;283,372;287,372	30	1	1500000
270	item127000065129	10	279,3840000;285,384000;283,384;287,384	0	0	0
271	item127000065130	1	279,1200000;285,120000;284,120;288,120	4	1	10000
272	item127000065130	2	279,1680000;285,168000;284,168;288,168	6	1	50000
273	item127000065130	3	279,2040000;285,204000;284,204;288,204	8	1	100000
274	item127000065130	4	279,2400000;285,240000;284,240;288,240	10	1	200000
275	item127000065130	5	279,2760000;285,276000;284,276;288,276	12	1	300000
276	item127000065130	6	279,3120000;285,312000;284,312;288,312	14	1	500000
277	item127000065130	7	279,3360000;285,336000;284,336;288,336	20	1	800000
278	item127000065130	8	279,3600000;285,360000;284,360;288,360	25	1	1000000
279	item127000065130	9	279,3720000;285,372000;284,372;288,372	30	1	1500000
280	item127000065130	10	279,3840000;285,384000;284,384;288,384	0	0	0
