条件ID	条件类型	条件参数
213	12	monster34000280,skill20132,1,1
214	3	monster340001152,1,1
107	17	finish_dungeon300080
401	16	101
402	3	monster11010101,1,3,monster11010102,1,2
403	16	102
404	3	monster11010201,1,3,monster11010202,1,2
405	16	103
406	3	monster11010301,1,3,monster11010302,1,2
407	16	104
408	16	105
409	3	monster11010403,1,4,monster11010404,1,2
410	16	106
411	16	107
412	3	monster11010503,1,4,monster11010504,1,2
413	16	108
414	16	109
415	3	monster11010603,1,4,monster11010604,1,2
416	16	110
417	16	111
418	3	monster11010702,1,7
419	16	112
420	16	113
421	3	monster11010802,1,7
422	16	114
423	16	115
424	3	monster11010902,1,7
425	16	116
426	16	117
427	3	monster110101002,1,1
428	16	118
429	16	119
430	3	monster110101102,1,1
431	16	120
432	16	121
433	3	monster110101202,1,1
500	3	multi_robot_02,1,1
501	3	multi_robot_03,1,1
502	3	multi_robot_05,1,1
503	4	0
504	3	multi_robot_01,1,1
505	3	multi_robot_04,1,1
506	2	10500170,2,5
507	2	10600040,2,5
508	2	10600050,2,5
509	2	10600070,1,5
510	2	10600080,2,5
511	2	10600100,3,5
512	2	10600110,3,5
513	2	10600150,0,5
514	2	10600160,2,5
515	2	10600200,1,5
516	2	10600200,3,5
517	2	10600210,2,5
518	2	10600260,3,5
519	2	10600260,4,5
520	2	10600270,2,5
521	2	10600310,1,5
522	2	10600320,1,5
523	2	10600330,1,5
524	2	10600330,2,5
525	2	10600350,0,5
526	2	10600350,1,5
527	2	10600350,2,5
528	2	10600360,1,5
529	2	10600020,2,5
530	2	10600020,4,5
531	2	10600120,2,5
532	2	507020,3,5
533	2	507020,3,5
534	2	507050,2,5
535	2	507050,2,5
536	2	507060,4,5
537	2	10200280,2,5
538	2	501010,1,5
539	2	501010,4,5
540	2	501010,6,5
541	2	503020,0,5
542	2	503020,3,5
543	2	10700020,3,5
544	2	10700310,1,5
545	2	10700030,2,5
546	2	10700020,3,5
547	2	10700030,2,5
548	2	10700040,1,5
549	2	10700060,3,5
550	2	10700090,1,5
551	2	10700100,0,5
552	2	10700060,3,5
553	2	10700100,0,5
554	2	10700080,1,5
555	2	10700270,1,5
556	2	10700300,3,5
557	2	10700120,0,5
558	2	10700130,0,5
559	2	10700180,3,5
560	2	10700240,4,5
561	2	10700130,4,5
562	2	10700120,4,5
563	2	10700170,1,5
564	2	10700210,5,5
565	2	10700230,1,5
566	2	10700260,2,5
567	2	10700230,0,5
568	2	10700250,3,5
569	2	10700280,3,5
570	2	10700290,2,5
571	2	10700240,2,5
572	2	10700250,0,5
573	2	10700250,3,5
574	2	10700250,3,5
575	2	10700300,3,5
576	2	10600200,3,5
577	2	10700100,0,5
578	2	10700100,3,5
579	2	10700110,4,5
580	2	10700120,0,5
581	2	10700190,2,5
582	2	10700190,0,5
583	2	10700200,0,5
600	2	11100020,2,5
601	2	11100030,0,5
602	2	11100020,2,3
603	2	11100120,7,5
604	2	11100080,1,3
605	2	11100085,2,5
606	2	11100110,0,5
607	2	11100120,4,3
608	2	11100120,5,3
609	2	11100140,1,5
610	2	11100140,1,3
611	2	11100150,3,3
612	2	11100150,5,5
613	2	11100170,1,5
614	2	11100180,2,5
615	2	11100200,0,5
616	2	10100180,0,5
617	2	10200280,1,3
618	2	11100160,3,5
619	2	11100160,3,3
620	2	11100010,2,5
621	2	11100150,4,5
622	2	10200110,1,3
623	2	10200260,2,5
624	2	10200020,0,5
625	2	10200030,0,5
626	2	10200030,1,5
627	2	10200035,3,5
628	2	10200040,1,5
629	2	10200050,1,5
630	2	10200070,2,5
631	2	10200080,1,5
632	2	10200090,1,5
633	2	10200120,3,5
639	2	10200020,1,5
640	2	10300050,1,3
641	2	10300130,1,3
642	2	10300130,2,3
643	2	10300130,4,3
644	2	10300140,1,3
645	2	10300120,2,3
646	2	10200120,4,5
647	2	10300010,1,5
648	2	10300020,3,5
649	2	10300030,1,5
650	2	10300030,5,5
651	3	monster30000580,1,1
652	3	monster30100580,1,1
653	2	10300030,4,5
654	2	10300380,0,5
655	2	10300380,1,5
656	2	10300075,1,5
657	2	10300075,6,5
658	2	10300100,0,5
659	2	10300110,3,5
660	2	10300115,4,5
661	2	10800520,0,5
662	2	10300120,4,5
663	2	10300120,6,5
664	2	10300130,4,5
665	2	10300140,1,5
666	2	10300150,1,5
667	2	10300170,0,5
671	2	10300160,1,5
672	2	10400010,1,5
673	2	10400010,2,3
674	2	10400010,3,5
675	2	10400030,2,5
676	2	10400030,6,5
677	2	10400040,1,5
678	2	10400290,1,5
679	2	10400300,2,5
680	2	10400070,1,5
681	2	10400070,3,5
682	2	10400080,1,5
683	2	10400080,5,5
684	2	10400090,0,5
685	2	10400090,4,5
686	2	10400100,1,5
687	2	10400310,1,5
688	2	10400120,1,5
689	2	10500010,2,5
690	2	10400030,3,3
691	2	10400030,4,3
692	2	10400100,3,3
693	2	10500010,2,5
694	2	10500020,3,5
695	2	10500030,2,5
696	2	10500060,3,5
697	2	10500060,1,5
698	2	10500060,3,5
699	2	10500070,3,5
700	2	10500090,1,5
701	2	10500090,2,5
702	2	10500100,2,5
703	2	10500100,4,5
704	2	10500100,4,5
705	2	10500110,0,5
706	2	10500110,2,5
707	2	10500120,0,5
708	2	10500330,0,5
709	2	10500140,1,5
710	2	10500150,1,5
711	2	10500160,1,5
716	2	10100180,0,5
717	2	10100177,0,5
718	2	1761010,1,3
719	2	1761010,1,6
720	2	10500020,1,3
721	2	10500060,3,3
722	2	10500100,1,3
723	2	10500140,2,3
724	2	1761020,1,3
725	2	1761020,1,6
726	2	1761030,0,3
727	2	1761030,0,6
728	2	1761040,0,3
729	2	1761040,0,6
730	2	1761050,0,3
731	2	1761050,0,6
732	2	1761060,0,3
733	2	1761060,0,6
734	2	1761070,1,3
735	2	1761070,1,6
736	2	1761080,0,3
737	2	1761080,0,6
738	2	1761090,0,3
739	2	1761090,0,6
740	2	1761100,0,3
741	2	1761100,0,6
742	2	508030,1,3
743	2	508030,3,3
744	2	508050,1,3
745	2	508050,2,3
746	2	508060,4,3
747	2	508090,2,3
748	2	508060,0,5
749	2	508060,1,5
750	2	508060,2,5
751	2	508060,4,5
752	2	508060,5,5
800	3	grail_01,1,1
801	2	10000020,4,5
802	2	10000060,1,5
803	2	10000080,0,5
804	2	10000060,2,5
805	2	10000040,2,5
806	2	10000050,2,5
807	2	10000020,2,5
808	2	10000020,1,5
809	2	10000020,4,5
810	2	10000030,1,5
811	2	10000040,3,5
812	2	10000080,1,5
813	2	10000090,0,5
814	2	10000070,0,5
815	2	10000040,2,5
816	2	10000080,2,5
817	2	11100160,3,5
818	2	11100170,0,5
819	2	11100160,0,5
820	2	11100120,5,5
821	2	11100210,0,5
822	2	11100120,6,5
823	2	11100150,3,5
824	2	11100140,0,5
825	2	11100140,1,5
826	3	monster30000502,3,2
827	3	monster30100502,3,2
828	2	10300010,1,5
829	2	10300030,0,5
830	2	10300210,2,3
831	2	10300210,3,3
832	2	10300240,1,3
833	2	10300010,2,5
834	2	10300115,2,3
835	2	10300160,1,3
836	2	10300160,2,3
837	2	10300170,2,3
838	2	10300160,4,5
839	2	10400010,0,5
840	2	10300280,1,5
841	2	10300290,3,5
842	2	10500270,2,3
843	2	11100130,0,5
844	2	11100130,2,5
845	2	11100140,2,5
846	2	11100150,4,5
847	2	10300330,5,5
848	2	10100177,0,5
849	2	10100160,0,5
850	2	10100150,1,5
851	2	8010050,1,5
852	2	8010060,3,5
853	2	8020050,2,5
854	2	8020060,3,5
855	2	8030070,2,5
856	2	8030080,3,5
857	2	10200210,1,5
858	2	10200280,1,5
859	2	8050100,0,5
860	2	8050120,0,5
861	2	8050100,1,5
862	2	8050110,2,5
863	2	520420,0,5
864	2	520420,3,5
865	2	10300320,0,5
866	2	520330,3,5
867	2	1762010,1,3
868	2	1762010,1,6
869	2	1762020,1,3
870	2	1762020,1,6
871	2	1762030,0,3
872	2	1762030,0,6
873	2	1762040,0,3
874	2	1762040,0,6
875	2	1762050,0,3
876	2	1762050,0,6
877	2	1762060,0,3
878	2	1762060,0,6
879	2	1762070,1,3
880	2	1762070,1,6
881	2	1762080,0,3
882	2	1762080,0,6
883	2	1762090,0,3
884	2	1762090,0,6
885	2	1762100,0,3
886	2	1762100,0,6
887	2	1763010,1,3
888	2	1763010,1,6
889	2	1763020,1,3
890	2	1763020,1,6
891	2	1763030,0,3
892	2	1763030,0,6
893	2	1763040,0,3
894	2	1763040,0,6
895	2	1763050,0,3
896	2	1763050,0,6
897	2	1763060,0,3
898	2	1763060,0,6
899	2	1763070,1,3
900	2	1763070,1,6
901	2	1763080,0,3
902	2	1763080,0,6
903	2	1763090,0,3
904	2	1763090,0,6
905	2	1763100,0,3
906	2	1763100,0,6
907	2	1764010,1,3
908	2	1764010,1,6
909	2	1764020,1,3
910	2	1764020,1,6
911	2	1764030,0,3
912	2	1764030,0,6
913	2	1764040,0,3
914	2	1764040,0,6
915	2	1764050,0,3
916	2	1764050,0,6
917	2	1764060,0,3
918	2	1764060,0,6
919	2	1764070,1,3
920	2	1764070,1,6
921	2	1764080,0,3
922	2	1764080,0,6
923	2	1764090,0,3
924	2	1764090,0,6
925	2	1764100,0,3
926	2	1764100,0,6
927	2	1765010,1,3
928	2	1765010,1,6
929	2	1765020,1,3
930	2	1765020,1,6
931	2	1765030,0,3
932	2	1765030,0,6
933	2	1765040,0,3
934	2	1765040,0,6
935	2	1765050,0,3
936	2	1765050,0,6
937	2	1765060,0,3
938	2	1765060,0,6
939	2	1765070,1,3
940	2	1765070,1,6
941	2	1765080,0,3
942	2	1765080,0,6
943	2	1765090,0,3
944	2	1765090,0,6
945	2	1765100,0,3
946	2	1765100,0,6
947	2	10300330,5,5
948	2	500250,4,5
949	2	500260,4,5
950	2	500270,6,5
951	2	500280,4,5
952	2	500290,4,5
953	2	500300,4,5
954	3	guildleague_bluebombmonster101,1,1
955	3	guildleague_bluebombmonster102,1,1
956	3	guildleague_bluebomb_101,1,1
957	3	guildleague_bluebomb_102,1,1
958	3	guildleague_bluebombmonster201,1,1
959	3	guildleague_bluebombmonster202,1,1
960	3	guildleague_bluebomb_201,1,1
961	3	guildleague_bluebomb_202,1,1
962	3	guildleague_redbombmonster101,1,1
963	3	guildleague_redbombmonster102,1,1
964	3	guildleague_redbomb_101,1,1
965	3	guildleague_redbomb_102,1,1
966	3	guildleague_redbombmonster201,1,1
967	3	guildleague_redbombmonster202,1,1
968	3	guildleague_redbomb_201,1,1
969	3	guildleague_redbomb_202,1,1
970	17	star_trace_first_wave_monster
980	2	2750101,0,5
981	2	2750121,1,5
982	2	2750119,1,5
983	2	2750119,1,5
984	2	2750120,5,5
985	2	2750120,3,5
986	2	520105,0,5
987	2	591080,3,5
988	2	591090,0,5
989	2	591090,2,5
990	2	591130,0,5
991	2	591190,0,5
992	2	591230,0,5
993	2	591270,0,5
994	2	591290,1,5
995	2	591290,0,5
996	2	591320,1,5
997	2	591300,1,5
998	2	591310,1,5
999	2	591320,1,5
300	2	10710040,0,5
301	2	10710060,0,5
302	2	10710090,1,5
303	2	10710120,1,5
304	2	10710220,4,5
305	2	10710240,0,5
306	2	10710070,4,5
307	2	10710090,1,5
308	2	10710070,3,5
309	2	10710090,1,5
310	2	10710090,1,5
311	2	10710120,1,5
312	2	10710170,1,5
313	2	10710190,0,5
314	2	10710190,0,5
315	2	10710210,0,5
316	2	10710190,0,5
317	2	10710210,0,5
318	2	10710120,0,5
319	2	10710140,1,5
320	2	10710140,1,5
321	2	10710150,2,5
322	2	10710210,1,5
323	2	10710220,0,5
324	2	10710210,1,5
325	2	10710220,0,5
326	2	10710120,0,5
327	2	10710130,1,5
328	2	10710210,1,5
329	2	10710210,3,5
330	2	10710070,3,5
331	2	10710080,0,5
332	2	10710160,6,5
333	2	10710220,0,5
334	2	10710220,2,5
335	2	10710230,0,5
336	2	10710220,0,5
337	2	10710220,4,5
338	2	10710160,5,5
339	2	10710230,0,5
340	2	10710030,0,3
341	2	10710030,1,5
342	2	10710210,2,3
343	2	10710210,2,5
344	2	10710100,1,5
345	2	10710230,1,5
346	2	10710100,1,5
347	2	10100220,3,5
348	2	10200010,2,5
349	2	10710210,0,3
1003	3	monster30000101,3,5
291	3	monster36000002,1,16
350	3	monster36000003,1,1
351	3	monster36000004,1,1
352	3	monster36000005,1,1
353	3	monster36000006,1,1
354	3	monster36000007,1,1
355	3	monster36000008,1,1
356	3	monster36000009,1,1
357	3	monster36000010,1,1
358	3	monster36000011,1,1
359	3	monster36000012,1,1
360	3	monster36000013,1,1
361	3	monster36000001,1,16
362	3	monster36000015,1,6,monster36000115,1,2,monster36000001,1,16
363	3	monster36000016,1,16
364	3	monster36000017,1,1
365	3	monster36000016,1,16,monster36000018,1,8
366	3	monster36000019,1,4,monster36000017,1,12
367	3	monster36000020,1,3,monster36000021,1,3
368	3	monster36000024,1,1
369	3	monster36000025,1,1
370	3	monster36000030,1,6
371	3	monster36000031,1,6
372	3	monster36000032,1,1
373	3	monster36000034,1,1
374	3	monster36000035,1,1,monster36000036,1,1,monster36000037,1,1
375	3	monster36000038,1,1
376	3	monster36000039,1,1
377	3	monster36000042,1,1
378	3	monster36000041,1,8
379	3	monster36000040,1,8
380	3	monster36000043,1,1
381	3	monster36000044,1,8
382	3	monster36000045,1,6
383	3	monster36000046,1,1
384	3	monster36000047,1,1
385	3	monster36000048,1,1
386	3	monster36000049,1,1
387	3	monster36000022,1,3,monster36000023,1,3
388	3	monster36000017,1,12,monster36000019,1,8
389	3	monster36000042,1,48
390	3	monster36000043,1,49
391	3	monster36000044,1,50
392	3	monster36000045,1,51
393	3	monster36000046,1,52
394	3	monster36000047,1,53
395	3	monster36000048,1,54
396	3	monster36000049,1,55
397	3	monster36000050,1,56
398	3	monster36000051,1,57
399	3	monster36000052,1,58
400	3	monster36000053,1,59
434	3	monster36000001,1,1
435	15	3,60000
436	3	monster36000059,1,1
437	3	monster36000060,1,1
438	3	monster36000362,1,1
439	3	monster36000561,1,1
440	3	monster36000009_1,1,12
441	3	monster36000009_1,1,16
442	3	monster36000009_1,1,24
443	2	640130,0,5
444	2	640150,0,5
445	2	640150,0,5
446	2	640170,0,5
447	2	640170,0,5
448	2	640190,0,5
449	2	650020,3,5
450	2	650030,3,5
451	2	650030,4,5
452	2	650040,3,5
453	2	650040,2,5
454	2	650040,3,0
121	2	560159,0,5
455	2	10800020,0,5
456	2	10800030,0,5
457	2	10800040,0,5
458	2	10800050,0,5
459	2	10800080,2,5
460	2	10800100,0,5
461	2	10800090,1,5
462	2	10800100,3,5
463	2	10800110,0,5
464	2	10800130,0,5
465	2	10800290,2,5
466	2	10800290,3,5
467	2	10800130,2,5
468	2	10800220,0,5
469	2	10800290,4,5
470	2	10800310,0,5
471	2	10800110,0,5
472	2	10800110,0,5
473	2	10800120,2,5
474	2	10800130,1,5
475	2	10800240,1,5
476	2	10800240,3,5
477	2	10800290,2,5
478	2	10800290,4,5
479	2	10800170,1,5
480	2	10800170,3,5
481	2	10800200,0,5
482	2	10800200,2,5
483	2	10800340,0,5
484	2	10800340,3,5
485	2	10800430,1,5
486	2	10800430,3,5
487	2	10100170,0,5
488	2	1700320,0,5
489	2	1700340,0,5
584	2	10800240,0,3
585	2	10800170,0,3
586	2	10800200,0,3
587	2	10800290,0,4
588	2	10800340,0,3
589	2	10800430,0,3
491	2	509100,0,5
492	2	509290,0,5
493	2	509180,0,5
494	2	509180,1,5
495	2	509110,0,5
496	2	509130,0,5
497	2	509200,0,5
498	2	509200,2,5
668	2	509200,0,5
669	2	509200,2,5
634	2	509340,0,5
635	2	509380,0,5
636	2	509360,1,5
637	2	509380,0,5
141	2	509170,0,5
142	2	509180,0,5
292	2	162400,3,5
293	2	162400,5,5
294	2	162400,7,5
295	2	162400,9,5
760	2	511100,0,5
761	2	511190,0,5
762	2	511230,0,5
763	2	511270,0,5
764	2	511330,0,5
765	2	511360,0,5
766	2	511370,0,5
767	2	511130,2,5
768	2	511160,1,5
769	2	511170,1,5
770	2	511200,0,5
771	2	511230,0,5
772	2	511240,1,5
773	2	511280,1,5
774	2	511290,0,5
775	2	511300,2,5
776	2	511150,0,5
777	2	511160,3,5
778	3	monster36900000,1,9,monster36900001,1,9
779	3	monster36900050,1,5,monster36900051,1,3
780	3	monster36900101,1,8,monster36900102,1,8
781	3	monster36900150,1,6
782	3	monster36900201,1,12,monster36900202,1,24
783	3	monster36900255,1,1
784	3	monster36900300,1,11,monster36900309,1,3
785	3	monster36900302,1,4,monster36900300,1,4,monster36900309,1,7
786	3	monster36900315,1,6,monster36900309,1,8,monster36900300,1,8
787	3	monster36900322,1,1
788	3	monster36900308,1,10,monster36900300,1,4,monster36900302,1,4,monster36900309,1,4
789	3	monster36900315,1,2,monster36900302,1,2,monster36900300,1,8,monster36900308,1,8,monster36900309,1,4
790	3	monster36900301,1,5,monster36900309,1,4,monster36900300,1,2,monster36900308,1,7,monster36900316,1,1
791	3	monster36900321,1,1
792	3	monster36900300,1,4,monster36900301,1,2,monster36900309,1,3,monster36900310,1,3,monster36900311,1,3,monster36900316,1,3
793	3	monster36900309,1,3,monster36900310,1,8,monster36900311,1,8,monster36900316,1,2
794	3	monster36900302,1,4,monster36900301,1,1,monster36900300,1,4,monster36900310,1,4,monster36900311,1,4
795	3	monster36900323,1,1
796	7	monster36900203,2,1
670	3	monster36800000,3,1
972	2	511260,0,5
973	2	511220,1,5
974	2	511280,0,5
975	2	511300,1,5
976	2	511340,1,5
977	2	511340,0,5
978	2	511220,0,5
1004	2	1700300,0,1
1005	2	1700300,2,5
1006	2	1700300,1,5
1007	2	1700300,3,5
1008	2	1700300,2,5
1009	2	1700300,3,5
1010	2	810040,0,5
1011	2	810060,0,5
1012	2	810080,0,5
1013	2	810130,0,5
1014	2	810120,1,5
1015	2	810120,1,5
1016	2	810160,0,5
1017	2	810150,1,5
1018	2	810160,0,5
1019	2	810200,0,5
1020	2	810180,0,5
1021	2	810190,1,5
1022	2	810190,2,5
1023	2	810200,1,5
1026	2	810190,2,5
1027	2	810200,1,5
1028	2	820020,1,5
1029	2	820020,1,5
1030	2	810030,1,5
1031	2	810040,1,5
1032	2	820050,1,5
1033	2	820130,0,5
1034	2	820060,5,5
1035	2	820090,0,5
1036	2	820090,0,5
1037	2	820110,0,5
1038	2	820100,0,5
1039	2	820120,0,5
1040	2	820170,0,5
1041	2	820170,2,5
1042	2	820170,2,5
1043	2	820180,2,5
1044	2	820170,2,5
1045	2	820180,2,5
1046	2	820180,2,5
1047	2	820190,0,5
1048	2	820080,0,5
1049	2	820080,1,5
1050	2	820070,1,5
1051	2	820080,0,5
1052	2	820160,1,5
1053	2	820160,2,5
1054	2	820160,2,5
1055	2	820160,3,5
1056	2	820060,0,5
1057	2	820060,1,5
1058	2	820110,0,5
1059	2	820110,1,5
1060	2	820140,0,5
1061	2	820150,0,5
1062	2	820160,4,5
1063	2	820160,5,5
1064	2	820170,0,5
1065	2	820160,3,5
1066	2	820160,4,5
1067	2	10850020,0,5
1068	2	10850050,0,5
1069	2	10850360,1,5
1070	2	10850370,0,5
1071	2	10850350,3,5
1072	2	10850380,0,5
1073	2	10850360,0,5
590	3	monster37000002,3,8,monster37000003,3,4
591	3	monster37000005,3,8,monster37000006,3,4
592	3	monster37000020,3,8,monster37000021,3,4
593	3	monster37000016,3,8,monster37000018,3,4
594	3	monster37000023,3,8,monster37000024,3,4
595	3	monster37000011,3,8,monster37000012,3,4
596	3	monster37000007,3,8,monster37000015,3,4
597	3	monster37000007,3,8,monster37000001,3,4
598	3	monster37000157,3,8,monster37000156,3,8
1100	3	monster37000128,3,8,monster37000141,3,4
1101	3	monster37000130,3,8,monster37000131,3,4
1102	3	monster37000123,3,4,monster37000124,3,4
1103	3	monster37000134,3,8,monster37000135,3,4
1104	3	monster37000137,3,4,monster37000135,3,4
1105	3	monster37000139,3,4,monster37000140,3,4
1106	3	monster37000125,3,8,monster37000126,3,4
1107	3	monster37000151,3,4,monster37000152,3,4,monster37000153,3,4,monster37000154,3,4
797	3	monster19110823,3,2
798	3	monster19110819,3,2
1074	2	2100210,1,5
1075	2	2100230,2,5
1076	2	2100240,0,5
1110	3	monster37000207,1,1
1111	3	monster37000205,1,1
1112	3	monster37000206,1,1
1113	10	monster37000205
1114	10	monster37000207
1115	3	monster37000217,1,1
1116	3	monster37000215,1,1
1117	3	monster37000216,1,1
1118	10	monster37000215
1119	10	monster37000217
1120	2	10900190,1,5
1121	2	10900080,1,5
1122	2	10900020,1,5
1123	2	10900040,0,5
1124	2	10900100,1,5
1125	2	10900120,1,5
1126	2	10900160,0,5
1127	2	10900170,2,5
1128	2	10900180,3,5
1129	2	10900190,2,5
1130	2	10900200,0,5
1131	2	10900190,2,5
1132	2	10900180,2,5
1133	2	10900180,3,5
1134	2	10900170,1,5
