层数	怪物id	层数名字	层数	单人进入解锁条件	组队进入解锁条件	组队大厅目标可见条件	等级	通关展示奖励	首通展示奖励	UI界面模型倍数	UI界面模型位置	UI界面模型角度	组队大厅链接	特效角度	推荐评分	概要	背景图	按钮底图框	按钮底图装饰
11	monster18100011	LevelName2	5	10	6	6	25	item2001,20000;item1000,10000;item107000041102,1;item107200041001,1;item107220020017,1;item107999900001,4	item107000030301,1	0.600000	-0.3;0;0	0.000000	7	-145.3,177.41,182.8	27000	OutlineDesc2	cubebeijingtu2	cubebtn5	cubebtndecorate5
12	monster18100012	LevelName2	6	11	6	6	25	item2001,30000;item1000,10000;item107220020019,1;item107200041001,2;item107220020018,1;item107999900001,5	item107000030202,1	0.400000	0;0;0	0.000000	7	-145.3,177.41,182.8	34000	OutlineDesc2	cubebeijingtu2	cubebtn5	cubebtndecorate5
13	monster18100013	LevelName3	1	12	12	12	35	item2001,15000;item1000,15000;item107220020020,1;item107999900001,4	item107999900001,10	0.750000	0;-0.1;0	0.000000	13	194.6,236.9,185.4	30000	OutlineDesc3	cubebeijingtu3	cubebtn2	cubebtndecorate2
14	monster18100014	LevelName3	2	13	12	12	35	item2001,18000;item1000,15000;item107220020022,1;item107220020021,1;item107999900001,4	item107999900001,15	0.350000	0;0;0	0.000000	13	194.6,236.9,185.4	32000	OutlineDesc3	cubebeijingtu3	cubebtn2	cubebtndecorate2
15	monster18100015	LevelName3	3	14	12	12	35	item2001,20000;item1000,15000;item107220020024,1;item107220020023,1;item107999900001,5	item107200042001,1	0.750000	0;0;0	0.000000	13	194.6,236.9,185.4	35000	OutlineDesc3	cubebeijingtu3	cubebtn2	cubebtndecorate2
16	monster18100016	LevelName3	4	15	12	12	35	item2001,25000;item1000,15000;item107200042001,1;item107220020026,1;item107220020025,1;item107999900001,6	item107200042001,1	0.700000	0;0;0	0.000000	13	194.6,236.9,185.4	38000	OutlineDesc3	cubebeijingtu3	cubebtn2	cubebtndecorate2
17	monster18100017	LevelName3	5	16	12	12	35	item2001,30000;item1000,15000;item107000042202,1;item107200042001,1;item107220020027,1;item107999900001,7	item107200042001,1	1.100000	0;0.3;0	0.000000	13	194.6,236.9,185.4	42000	OutlineDesc3	cubebeijingtu3	cubebtn2	cubebtndecorate2
18	monster18100018	LevelName3	6	17	12	12	35	item2001,40000;item1000,15000;item107220020029,1;item107200042001,2;item107220020028,1;item107999900001,8	item107200042001,2	0.400000	0;-0.1;0	0.000000	13	194.6,236.9,185.4	46000	OutlineDesc3	cubebeijingtu3	cubebtn2	cubebtndecorate2
19	monster18100019	LevelName4	1	18	18	18	40	item2001,20000;item1000,20000;item107220020030,1;item107999900001,4	item107200042001,1	0.750000	0;-0.2;0	0.000000	19	-2.7,89.6,119.8	43000	OutlineDesc4	cubebeijingtu5	cubebtn3	cubebtndecorate3
20	monster18100020	LevelName4	2	19	18	18	40	item2001,22000;item1000,20000;item107220020032,1;item107220020031,1;item107999900001,4	item107200042001,1	0.700000	0;0;0	0.000000	19	-2.7,89.6,119.8	45000	OutlineDesc4	cubebeijingtu5	cubebtn3	cubebtndecorate3
21	monster18100021	LevelName4	3	20	18	18	40	item2001,25000;item1000,20000;item107220020034,1;item107220020033,1;item107999900001,5	item107200042001,1	0.750000	0;0;0	0.000000	19	-2.7,89.6,119.8	49000	OutlineDesc4	cubebeijingtu5	cubebtn3	cubebtndecorate3
22	monster18100022	LevelName4	4	21	18	18	40	item2001,30000;item1000,20000;item107200042001,1;item107220020036,1;item107220020035,1;item107999900001,6	item107200042001,1	0.900000	0;-0.1;0	0.000000	19	-2.7,89.6,119.8	53000	OutlineDesc4	cubebeijingtu5	cubebtn3	cubebtndecorate3
23	monster18100023	LevelName4	5	22	18	18	40	item2001,40000;item1000,20000;item107000042302,1;item107200042001,1;item107220020037,1;item107999900001,7	item107200042001,1	0.800000	0;-0.5;0	0.000000	19	-2.7,89.6,119.8	59000	OutlineDesc4	cubebeijingtu5	cubebtn3	cubebtndecorate3
24	monster18100024	LevelName4	6	23	18	18	40	item2001,50000;item1000,20000;item107220020080,1;item107200042001,2;item107220020038,1;item107999900001,8	item107200042001,2	0.750000	0;-0.3;0	0.000000	19	-2.7,89.6,119.8	65000	OutlineDesc4	cubebeijingtu5	cubebtn3	cubebtndecorate3
25	monster18100025	LevelName5	1	24	24	24	45	item2001,25000;item1000,25000;item107220020039,1;item107999900001,6	item107999900001,20	0.900000	0;0;0	0.000000	25	91.3,153.4,122.9	60000	OutlineDesc5	cubebeijingtu4	cubebtn1	cubebtndecorate1
26	monster18100026	LevelName5	2	25	24	24	45	item2001,27000;item1000,25000;item107220020041,1;item107220020040,1;item107999900001,6	item107999900001,25	0.400000	0;0;0	0.000000	25	91.3,153.4,122.9	64000	OutlineDesc5	cubebeijingtu4	cubebtn1	cubebtndecorate1
27	monster18100027	LevelName5	3	26	24	24	45	item2001,30000;item1000,25000;item107220020043,1;item107220020042,1;item107999900001,7	item107200043001,1	0.650000	0;0;0	0.000000	25	91.3,153.4,122.9	70000	OutlineDesc5	cubebeijingtu4	cubebtn1	cubebtndecorate1
28	monster18100028	LevelName5	4	27	24	24	45	item2001,40000;item1000,25000;item107200042001,1;item107220020045,1;item107220020044,1;item107999900001,8	item107200043001,1	0.450000	0;0;0	0.000000	25	91.3,153.4,122.9	77000	OutlineDesc5	cubebeijingtu4	cubebtn1	cubebtndecorate1
29	monster18100029	LevelName5	5	28	24	24	45	item2001,50000;item1000,25000;item107000043303,1;item107200043001,1;item107220020046,1;item107999900001,9	item107200043001,1	0.400000	0;0;0	0.000000	25	91.3,153.4,122.9	85000	OutlineDesc5	cubebeijingtu4	cubebtn1	cubebtndecorate1
30	monster18100030	LevelName5	6	29	24	24	45	item2001,60000;item1000,25000;item107220020048,1;item107200043001,2;item107220020047,1;item107999900001,10	item107200043001,2	0.400000	0;0;0	0.000000	25	91.3,153.4,122.9	94000	OutlineDesc5	cubebeijingtu4	cubebtn1	cubebtndecorate1
31	monster18100031	LevelName6	1	30	30	30	55	item2001,25000;item1000,25000;item107220020049,1;item107999900001,6	item107999900001,25	0.950000	0;0.1;0	0.000000	31	-30.6,-179.1,-2.68	86000	OutlineDesc6	cubebeijingtu2	cubebtn5	cubebtndecorate5
32	monster18100032	LevelName6	2	31	30	30	55	item2001,27000;item1000,25000;item107220020051,1;item107220020050,1;item107999900001,6	item107999900001,30	0.750000	0;0.1;0	0.000000	31	-30.6,-179.1,-2.68	92000	OutlineDesc6	cubebeijingtu2	cubebtn5	cubebtndecorate5
33	monster18100033	LevelName6	3	32	30	30	55	item2001,30000;item1000,25000;item107220020053,1;item107220020052,1;item107999900001,7	item107200051001,1	0.400000	0;0;0	0.000000	31	-30.6,-179.1,-2.68	98000	OutlineDesc6	cubebeijingtu2	cubebtn5	cubebtndecorate5
34	monster18100034	LevelName6	4	33	30	30	55	item2001,40000;item1000,25000;item107200051001,1;item107200043001,1;item107220020055,1;item107220020054,1;item107999900001,8	item107200051001,1	0.400000	0;0;0	0.000000	31	-30.6,-179.1,-2.68	104000	OutlineDesc6	cubebeijingtu2	cubebtn5	cubebtndecorate5
35	monster18100035	LevelName6	5	34	30	30	55	item2001,50000;item1000,25000;item107000043201,1;item107200051001,1;item107200043001,1;item107220020056,1;item107999900001,9	item107200051001,1	0.750000	-0.3;0;0	0.000000	31	-30.6,-179.1,-2.68	112000	OutlineDesc6	cubebeijingtu2	cubebtn5	cubebtndecorate5
36	monster18100036	LevelName6	6	35	30	30	55	item2001,60000;item1000,25000;item107220020058,1;item107200051001,1;item107200043001,2;item107220020057,1;item107999900001,10	item107200051001,2	0.900000	0;0;0	0.000000	31	-30.6,-179.1,-2.68	120000	OutlineDesc6	cubebeijingtu2	cubebtn5	cubebtndecorate5
37	monster18100037	LevelName7	1	36	36	36	65	item2001,30000;item1000,25000;item107220020059,1;item107999900001,6	item107999900001,25	0.700000	0;0;0	0.000000	37	-180.1,-120.4,0	112000	OutlineDesc7	cubebeijingtu1	cubebtn4	cubebtndecorate4
38	monster18100038	LevelName7	2	37	36	36	65	item2001,32000;item1000,25000;item107220020061,1;item107220020060,1;item107999900001,6	item107999900001,30	0.900000	0;0;0	0.000000	37	-180.1,-120.4,0	118000	OutlineDesc7	cubebeijingtu1	cubebtn4	cubebtndecorate4
39	monster18100039	LevelName7	3	38	36	36	65	item2001,35000;item1000,25000;item107220020063,1;item107220020062,1;item107999900001,7	item107200051001,1	0.400000	0;0;0	0.000000	37	-180.1,-120.4,0	124000	OutlineDesc7	cubebeijingtu1	cubebtn4	cubebtndecorate4
40	monster18100040	LevelName7	4	39	36	36	65	item2001,45000;item1000,25000;item107200052001,1;item107200051001,1;item107220020065,1;item107220020064,1;item107999900001,8	item107200051001,1	0.750000	0;-0.3;0	0.000000	37	-180.1,-120.4,0	132000	OutlineDesc7	cubebeijingtu1	cubebtn4	cubebtndecorate4
41	monster18100041	LevelName7	5	40	36	36	65	item2001,55000;item1000,25000;item107000043301,1;item107200052001,1;item107200051001,1;item107220020066,1;item107999900001,9	item107200051001,1	0.900000	0;-0.1;0	0.000000	37	-180.1,-120.4,0	140000	OutlineDesc7	cubebeijingtu1	cubebtn4	cubebtndecorate4
42	monster18100042	LevelName7	6	41	36	36	65	item2001,65000;item1000,25000;item107220020068,1;item107200052001,1;item107200051001,1;item107220020067,1;item107999900001,10	item107200051001,2	0.400000	0;0;0	0.000000	37	-180.1,-120.4,0	150000	OutlineDesc7	cubebeijingtu1	cubebtn4	cubebtndecorate4
43	monster18100043	LevelName8	1	42	42	42	75	item2001,40000;item1000,30000;item107220020069,1;item107999900001,8	item107999900001,30	1.400000	0;0;0	0.000000	43	91.3,153.4,122.9	145000	OutlineDesc8	cubebeijingtu4	cubebtn1	cubebtndecorate1
44	monster18100044	LevelName8	2	43	42	42	75	item2001,45000;item1000,30000;item107220020071,1;item107220020070,1;item107999900001,10	item107999900001,35	0.400000	0;0;0	0.000000	43	91.3,153.4,122.9	155000	OutlineDesc8	cubebeijingtu4	cubebtn1	cubebtndecorate1
45	monster18100045	LevelName8	3	44	42	42	75	item2001,50000;item1000,30000;item107220020073,1;item107220020072,1;item107999900001,11	item107200051001,1	1.000000	0;0;0	0.000000	43	91.3,153.4,122.9	165000	OutlineDesc8	cubebeijingtu4	cubebtn1	cubebtndecorate1
46	monster18100046	LevelName8	4	45	42	42	75	item2001,60000;item1000,30000;item107200052001,1;item107200051001,1;item107220020075,1;item107220020074,1;item107999900001,12	item107200051001,1	1.000000	0;0;0	0.000000	43	91.3,153.4,122.9	182000	OutlineDesc8	cubebeijingtu4	cubebtn1	cubebtndecorate1
47	monster18100047	LevelName8	5	46	42	42	75	item2001,70000;item1000,30000;item107220020077,1;item107200052001,1;item107200051001,1;item107220020076,1;item107999900001,14	item107200051001,1	1.800000	0;0.1;0	0.000000	43	91.3,153.4,122.9	205000	OutlineDesc8	cubebeijingtu4	cubebtn1	cubebtndecorate1
48	monster18100048	LevelName8	6	47	42	42	75	item2001,80000;item1000,30000;item107220020079,1;item107200052001,1;item107200051001,1;item107220020078,1;item107999900001,15	item107200051001,2	1.350000	0;-0.4;0	0.000000	43	91.3,153.4,122.9	230000	OutlineDesc8	cubebeijingtu4	cubebtn1	cubebtndecorate1
49	monster18100049	LevelName9	1	48	48	36	111	item2001,60000;item1000,25000;item107220020079,1;item107200043001,2;item107220020078,1;item107999900001,10	item107200051001,2	0.600000	0;0.15;0	0.000000	43	194.6,236.9,185.4	170000	OutlineDesc9	cubebeijingtu3	cubebtn2	cubebtndecorate2
50	monster18100050	LevelName9	2	49	48	36	111	item2001,60000;item1000,25000;item107210043001,1;item107200043001,2;item107210030001,1;item107999900001,10	item107200051001,2	0.300000	0;0;0	0.000000	43	194.6,236.9,185.4	200000	OutlineDesc9	cubebeijingtu3	cubebtn2	cubebtndecorate2
51	monster18100051	LevelName9	3	50	48	36	111	item2001,60000;item1000,25000;item107210043001,1;item107200043001,2;item107210030001,1;item107999900001,10	item107200051001,2	0.450000	0;0;0	0.000000	43	194.6,236.9,185.4	240000	OutlineDesc9	cubebeijingtu3	cubebtn2	cubebtndecorate2
