宝石id	未鉴定魂石Id	共鸣数量	宝石品质	档次	类型	基础属性id	基础属性下限	基础属性上限	是否只能镶嵌一个	分解经验	分解道具	附灵道具消耗	附灵货币消耗	进阶后魂石ID	进阶消耗道具	进阶货币消耗	进阶角色等级限制	进阶升级限制	魂石分组	魂石进阶提示	升星后魂石ID	升星消耗道具	升星货币消耗	升星角色等级限制	魂石套装ID	魂石套装部位	参数废弃	不可批量分解标记
item107000053103	item107100053103	4-5	4	3	1	3	92	102		1800	item107200053001,8;item127000053103,1	item107300000002,6	1,150000	item107000063103	item127000053103,5;item107999900011,15	1,3000000	70	12	64					0	10010	1,9,10	0	0
item107000053201	item107100053201	4-5	4	3	2	4	92	102		1800	item107200053001,8;item127000053201,1	item107300000002,6	1,150000	item107000063201	item127000053201,5;item107999900011,15	1,3000000	70	12	65					0	10037	3,4,5,6	0	0
item107000053202	item107100053202	4-5	4	3	2	4	92	102		1800	item107200053001,8	item107300000002,6	1,150000				0	0	66					0	0		0	0
item107000053203	item107100053203	4-5	4	3	2	4	92	102		1800	item107200053001,8;item127000053203,1	item107300000002,6	1,150000	item107000063203	item127000053203,5;item107999900011,15	1,3000000	70	12	67					0	10018	3,4,5,6	0	0
item107000053204	item107100053204	4-5	4	3	2	4	92	102		1800	item107200053001,8	item107300000002,6	1,150000				0	0	68					0	0		0	0
item107000053205	item107100053205	4-5	4	3	2	4	92	102		1800	item107200053001,8;item127000053205,1	item107300000002,6	1,150000	item107000063205	item127000053205,5;item107999900011,15	1,3000000	70	12	79					0	10014	3,4,5,6	0	0
item107000053206	item107100053206	4-5	4	3	2	4	92	102		1800	item107200053001,8;item127000053206,1	item107300000002,6	1,150000	item107000063206	item127000053206,5;item107999900011,15	1,3000000	70	12	80					0	10015	3,4,5,6	0	0
item107000053207	item107100053207	4-5	4	3	2	4	92	102		1800	item107200053001,8;item127000053207,1	item107300000002,6	1,150000	item107000063207	item127000053207,5;item107999900011,15	1,3000000	70	12	81					0	10016	3,4,5,6	0	0
item107000053301	item107100053301	4-5	4	3	3	1	920	1020		1800	item107200053001,8;item127000053301,1	item107300000002,6	1,150000	item107000063301	item127000053301,5;item107999900011,15	1,3000000	70	12	69					0	10038	2,7,8	0	0
item107000053302	item107100053302	4-5	4	3	3	1	920	1020		1800	item107200053001,8	item107300000002,6	1,150000				0	0	70					0	0		0	0
item107000053303	item107100053303	4-5	4	3	3	1	920	1020		1800	item107200053001,8	item107300000002,6	1,150000				0	0	71					0	0		0	0
item107000051102	item107100051102	4-5	4	1	1	3	62	70		600	item127000051102,2	item107300000002,1	1,50000	item107000061102	item127000051102,20;item107999900011,10	1,3000000	70	12	47	SoulstoneTips70				0	10030	1,9,10	0	0
item107000051302	item107100051302	4-5	4	1	3	1	620	700		600	item127000051302,2	item107300000002,1	1,50000	item107000061302	item127000051302,20;item107999900011,10	1,3000000	70	12	52	SoulstoneTips70				0	10034	2,7,8	0	0
item107000051301	item107100051301	4-5	4	1	3	1	620	700		600	item127000051301,2	item107300000002,1	1,50000	item107000061301	item127000051301,20;item107999900011,10	1,3000000	70	12	51	SoulstoneTips70				0	10035	2,7,8	0	0
item107000051101	item107100051101	4-5	4	1	1	3	62	70		600	item127000051101,2	item107300000002,1	1,50000	item107000061101	item127000051101,20;item107999900011,10	1,3000000	70	12	46	SoulstoneTips70				0	10029	1,9,10	0	0
item107000051202	item107100051202	4-5	4	1	2	4	62	70		600	item127000051202,2	item107300000002,1	1,50000	item107000061202	item127000051202,20;item107999900011,10	1,3000000	70	12	49	SoulstoneTips70				0	10031	3,4,5,6	0	0
item107000051201	item107100051201	4-5	4	1	2	4	62	70		600	item127000051201,2	item107300000002,1	1,50000	item107000061201	item127000051201,20;item107999900011,10	1,3000000	70	12	48	SoulstoneTips70				0	10032	3,4,5,6	0	0
item107000051203	item107100051203	4-5	4	1	2	4	62	70		600	item127000051203,2	item107300000002,1	1,50000	item107000061203	item127000051203,20;item107999900011,10	1,3000000	70	12	50	SoulstoneTips70				0	10033	3,4,5,6	0	0
item117000051305	item117100051305	4-5	4	1	3	1	620	700		600	item127000041305,16	item107300000002,1	1,50000	item117000061305	item127000041305,60;item107999900011,10	1,3000000	70	12	72	SoulstoneTips70				0	10001	2,7,8	0	0
item117000052101	item117100052101	4-5	4	2	1	3	77	86		400	item127000052101,2	item107300000002,3	1,100000				0	0	28	SoulstoneTips70_2				0	0		0	0
item117000052103	item117100052103	4-5	4	2	1	3	77	86		400	item127000052103,2	item107300000002,3	1,100000				0	0	30	SoulstoneTips70_2				0	0		0	0
item117000052201	item117100052201	4-5	4	2	2	4	77	86		400	item127000052201,2	item107300000002,3	1,100000				0	0	31	SoulstoneTips70_2				0	0		0	0
item117000052203	item117100052203	4-5	4	2	2	4	77	86		400	item127000052203,2	item107300000002,3	1,100000				0	0	33	SoulstoneTips70_2				0	0		0	0
item117000052302	item117100052302	4-5	4	2	3	1	770	860		400	item127000052302,2	item107300000002,3	1,100000				0	0	35	SoulstoneTips70_2				0	0		0	0
item117000052303	item117100052303	4-5	4	2	3	1	770	860		400	item127000052303,2	item107300000002,3	1,100000				0	0	36	SoulstoneTips70_2				0	0		0	0
item107000051103	item107100051103	4-5	4	1	1	3	62	70		600	item107200051001,8	item107300000002,1	1,50000				0	0	73					0	0		0	0
item107000051204	item107100051204	4-5	4	1	2	4	62	70		600	item107200051001,8	item107300000002,1	1,50000				0	0	74					0	0		0	0
item107000051303	item107100051303	4-5	4	1	3	1	620	700		600	item107200051001,8	item107300000002,1	1,50000				0	0	75					0	0		0	0
item107000052104	item107100052104	4-5	4	2	1	3	92	102		1200	item107200052001,8	item107300000002,3	1,100000				0	0	76					0	10002	1,9,10	0	0
item107000052204	item107100052204	4-5	4	2	2	4	92	102		1200	item107200052001,8	item107300000002,3	1,100000				0	0	77					0	10004	3,4,5,6	0	0
item107000052304	item107100052304	4-5	4	2	3	1	920	1020		1200	item107200052001,8	item107300000002,3	1,100000				0	0	78					0	10008	2,7,8	0	0
item107000051205	item107100051205	4-5	4	1	2	4	62	70		600	item107200051001,8	item107300000002,1	1,50000				0	0	82					0	0		0	0
item107000052205	item107100052205	4-5	4	2	2	4	92	102		1200	item107200052001,8	item107300000002,3	1,100000				0	0	83					0	0		0	0
item107000052105	item107100052105	4-5	4	2	1	3	92	102		1200	item107200052001,8	item107300000002,3	1,100000				0	0	84					0	10003	1,9,10	0	0
item107000052206	item107100052206	4-5	4	2	2	4	92	102		1200	item107200052001,8	item107300000002,3	1,100000				0	0	85					0	10005	3,4,5,6	0	0
item107000052305	item107100052305	4-5	4	2	3	1	920	1020		1200	item107200052001,8	item107300000002,3	1,100000				0	0	86					0	10007	2,7,8	0	0
item107000052207	item107100052207	4-5	4	2	2	4	77	86		1200	item107200052001,8	item107300000002,3	1,100000				0	0	87					0	10006	3,4,5,6	0	0
item107000053104	item107100053104	4-5	4	3	1	3	92	102		1800	item107200053001,8;item127000053104,1	item107300000002,6	1,150000	item107000063104	item127000053104,5;item107999900011,15	1,3000000	70	12	88					0	10011	1,9,10	0	0
item107000053208	item107100053208	4-5	4	3	2	4	92	102		1800	item107200053001,8;item127000053208,1	item107300000002,6	1,150000	item107000063208	item127000053208,5;item107999900011,15	1,3000000	70	12	89					0	10013	3,4,5,6	0	0
item107000053304	item107100053304	4-5	4	3	3	1	920	1020		1800	item107200053001,8;item127000053304,1	item107300000002,6	1,150000	item107000063304	item127000053304,5;item107999900011,15	1,3000000	70	12	90					0	10020	2,7,8	0	0
item107000043104	item107100043104	4-5	3	3	1	3	58	58		150		item107300000001,6	1,90000	item107000051104	item127000053105,6	1,3000000	50	12	91					0	10026	1	0	1
item107000051104	item107100051104	4-5	4	1	1	3	70	70		600		item107300000002,1	1,50000	item107000052106	item127000053105,10	1,10000000	60	15	91					0	10026	1	0	1
item107000052106	item107100052106	4-5	4	2	1	3	102	102		1200		item107300000002,3	1,100000	item107000053105	item127000053105,18	1,20000000	65	15	91					0	10026	1	0	1
item107000053105	item107100053105	4-5	4	3	1	3	102	102		1800		item107300000002,6	1,150000	item107000063105	item127000053105,120;item107999900011,15	1,3000000	70	12	91					0	10026	1	0	1
item107000053209	item107100053209	4-5	4	3	2	4	102	102		1800		item107300000002,6	1,150000	item107000063209	item127000053209,5;item107999900011,15	1,3000000	70	12	92					0	10027	3	0	1
item107000053305	item107100053305	4-5	4	3	3	1	1020	1020		1800		item107300000002,6	1,150000	item107000063305	item127000053305,5;item107999900011,15	1,3000000	70	12	93					0	10028	2	0	1
item107000053106	item107100053106	4-5	4	3	1	3	92	102		1800	item107200053001,8;item127000053106,1	item107300000002,6	1,150000	item107000063106	item127000053106,5;item107999900011,15	1,3000000	70	12	94					0	10012	1,9,10	0	0
item107000053210	item107100053210	4-5	4	3	2	4	92	102		1800	item107200053001,8;item127000053210,1	item107300000002,6	1,150000	item107000063210	item127000053210,5;item107999900011,15	1,3000000	70	12	95					0	10017	3,4,5,6	0	0
item107000053306	item107100053306	4-5	4	3	3	1	920	1020		1800	item107200053001,8;item127000053306,1	item107300000002,6	1,150000	item107000063306	item127000053306,5;item107999900011,15	1,3000000	70	12	96					0	10019	2,7,8	0	0
item107000053107	item107100053107	4-5	4	3	1	3	92	102		1800	item107200053001,8;item127000053127,1	item107300000002,6	1,150000	item107000063107	item127000053127,5;item107999900011,15	1,3000000	70	12	97					0	10026	9,10	0	0
item107000053212	item107100053212	4-5	4	3	2	4	92	102		1800	item107200053001,8;item127000053212,1	item107300000002,6	1,150000	item107000063212	item127000053212,5;item107999900011,15	1,3000000	70	12	98					0	10027	4,5	0	0
item107000053307	item107100053307	4-5	4	3	3	1	920	1020		1800	item107200053001,8;item127000053307,1	item107300000002,6	1,150000	item107000063307	item127000053307,5;item107999900011,15	1,3000000	70	12	99					0	10028	7,8	0	0
item107000043204	item107100043204	4-5	3	3	2	4	52	58		150		item107300000001,6	1,90000	item107000051206	item127000053211,1	1,5000000	50	12	100					0	10027	6	0	1
item107000051206	item107100051206	4-5	4	1	2	4	62	70		600		item107300000002,1	1,50000	item107000052208	item127000053211,2	1,10000000	60	15	100					0	10027	6	0	1
item107000052208	item107100052208	4-5	4	2	2	4	77	86		1200		item107300000002,3	1,100000	item107000053211	item127000053211,3	1,20000000	70	15	100					0	10027	6	0	1
item107000053211	item107100053211	4-5	4	3	2	4	92	102		1800		item107300000002,6	1,150000	item107000063211	item127000053211,5;item107999900011,15	1,3000000	70	12	100					0	10027	6	0	1
item107000053308	item107100053308	4-5	4	3	3	1	920	1020		1800	item107200053001,8;item127000053308,1	item107300000002,6	1,150000	item107000063308	item127000053308,5;item107999900011,15	1,3000000	70	12	101					0	10021	2,7,8	0	0
item107000043105	item107100043105	4-5	3	3	1	3	58	58		150		item107300000001,6	1,90000				0	0	102					0	0		0	0
item107000053108	item107100053108	4-5	4	3	1	3	92	102		1800	item107200053001,8;item127000053108,1	item107300000002,6	1,150000	item107000063108	item127000053108,5;item107999900011,15	1,3000000	70	12	103					0	10022	1,9,10	0	0
item107000053213	item107100053213	4-5	4	3	2	4	92	102		1800	item107200053001,8;item127000053213,1	item107300000002,6	1,150000	item107000063213	item127000053213,5;item107999900011,15	1,3000000	70	12	104					0	10023	3,4,5,6	0	0
item107000053309	item107100053309	4-5	4	3	3	1	920	1020		1800	item107200053001,8;item127000053309,1	item107300000002,6	1,150000	item107000063309	item127000053309,5;item107999900011,15	1,3000000	70	12	105					0	10024	2,7,8	0	0
item107000052209	item107100052209	4-5	4	2	2	4	77	86		1200	item107200052001,8	item107300000002,3	1,100000				0	0	106					0	10025	3,4,5,6	0	0
item117000052328	item117100052328	5-6	5	3	3	4	77	86		1800	item107200052001,8	item107300000002,3	1,150000				0	0	107					0	0		0	0
item117000052329	item117100052329	5-6	5	3	3	4	77	86		1800	item107200052001,8	item107300000002,3	1,150000	item117000052328	item127000053211,1;item103015110302,10	1,30000	10	15	107					0	0		0	0
item117000052330	item117100052330	5-6	5	3	3	4	77	86		1800	item107200052001,8	item107300000002,3	1,150000				0	0	107		item117000052328	item127000053211,1;item103015110302,10	1,30000	0	0		0	0
item107000061101	item107100061101	5-6	6	1	1	3	111	122		5000	item127000051101,10;item107999900011,5	item107300000003,1	1,200000				0	0	46					0	10029	1,9,10	0	0
item107000061102	item107100061102	5-6	6	1	1	3	111	122		5000	item127000051102,10;item107999900011,5	item107300000003,1	1,200000				0	0	47					0	10030	1,9,10	0	0
item107000063101	item107100063101	5-6	6	3	1	3	130	148		10000	item127000053101,3;item107999900011,8	item107300000003,1	1,300000				0	0	62					0	10036	1,9,10	0	0
item107000063102	item107100063102	5-6	6	3	1	3	130	148		10000	item127000053102,3;item107999900011,8	item107300000003,1	1,300000				0	0	63					0	10009	1,9,10	0	0
item107000063103	item107100063103	5-6	6	3	1	3	130	148		10000	item127000053103,3;item107999900011,8	item107300000003,1	1,300000				0	0	64					0	10010	1,9,10	0	0
item107000063105	item107100063105	5-6	6	3	1	3	148	148		10000		item107300000003,1	1,300000				0	0	91					0	10026	1	0	1
item107000063107	item107100063107	5-6	6	3	1	3	130	148		10000	item127000053127,3;item107999900011,8	item107300000003,1	1,300000				0	0	97					0	10026	9,10	0	0
item107000063104	item107100063104	5-6	6	3	1	3	130	148		10000	item127000053104,3;item107999900011,8	item107300000003,1	1,300000				0	0	88					0	10011	1,9,10	0	0
item107000063106	item107100063106	5-6	6	3	1	3	130	148		10000	item127000053106,3;item107999900011,8	item107300000003,1	1,300000				0	0	94					0	10012	1,9,10	0	0
item107000063108	item107100063108	5-6	6	3	1	3	130	148		10000	item127000053108,3;item107999900011,8	item107300000003,1	1,300000				0	0	103					0	10022	1,9,10	0	0
item107000061201	item107100061201	5-6	6	1	2	4	111	122		5000	item127000051201,10;item107999900011,5	item107300000003,1	1,200000				0	0	48					0	10032	3,4,5,6	0	0
item107000061202	item107100061202	5-6	6	1	2	4	111	122		5000	item127000051202,10;item107999900011,5	item107300000003,1	1,200000				0	0	49					0	10031	3,4,5,6	0	0
item107000061203	item107100061203	5-6	6	1	2	4	111	122		5000	item127000051203,10;item107999900011,5	item107300000003,1	1,200000				0	0	50					0	10033	3,4,5,6	0	0
item107000063201	item107100063201	5-6	6	3	2	4	130	148		10000	item127000053201,3;item107999900011,8	item107300000003,1	1,300000				0	0	65					0	10037	3,4,5,6	0	0
item107000063203	item107100063203	5-6	6	3	2	4	130	148		10000	item127000053203,3;item107999900011,8	item107300000003,1	1,300000				0	0	67					0	10018	3,4,5,6	0	0
item107000063209	item107100063209	5-6	6	3	2	4	148	148		10000		item107300000003,1	1,300000				0	0	92					0	10027	3	0	1
item107000063212	item107100063212	5-6	6	3	2	4	130	148		10000	item127000053212,3;item107999900011,8	item107300000003,1	1,300000				0	0	98					0	10027	4,5	0	0
item107000063211	item107100063211	5-6	6	3	2	4	130	148		10000		item107300000003,1	1,300000				0	0	100					0	10027	6	0	1
item107000063205	item107100063205	5-6	6	3	2	4	130	148		10000	item127000053205,3;item107999900011,8	item107300000003,1	1,300000				0	0	79					0	10014	3,4,5,6	0	0
item107000063206	item107100063206	5-6	6	3	2	4	130	148		10000	item127000053206,3;item107999900011,8	item107300000003,1	1,300000				0	0	80					0	10015	3,4,5,6	0	0
item107000063207	item107100063207	5-6	6	3	2	4	130	148		10000	item127000053207,3;item107999900011,8	item107300000003,1	1,300000				0	0	81					0	10016	3,4,5,6	0	0
item107000063208	item107100063208	5-6	6	3	2	4	130	148		10000	item127000053208,3;item107999900011,8	item107300000003,1	1,300000				0	0	89					0	10013	3,4,5,6	0	0
item107000063210	item107100063210	5-6	6	3	2	4	130	148		10000	item127000053210,3;item107999900011,8	item107300000003,1	1,300000				0	0	95					0	10017	3,4,5,6	0	0
item107000063213	item107100063213	5-6	6	3	2	4	130	148		10000	item127000053213,3;item107999900011,8	item107300000003,1	1,300000				0	0	104					0	10023	3,4,5,6	0	0
item107000061301	item107100061301	5-6	6	1	3	1	1110	1220		5000	item127000051301,10;item107999900011,5	item107300000003,1	1,200000				0	0	51					0	10035	2,7,8	0	0
item107000061302	item107100061302	5-6	6	1	3	1	1110	1220		5000	item127000051302,10;item107999900011,5	item107300000003,1	1,200000				0	0	52					0	10034	2,7,8	0	0
item107000063301	item107100063301	5-6	6	3	3	1	1300	1480		10000	item127000053301,3;item107999900011,8	item107300000003,1	1,300000				0	0	69					0	10038	2,7,8	0	0
item107000063305	item107100063305	5-6	6	3	3	1	1480	1480		10000		item107300000003,1	1,300000				0	0	93					0	10028	2	0	1
item107000063307	item107100063307	5-6	6	3	3	1	1300	1480		10000	item127000053307,3;item107999900011,8	item107300000003,1	1,300000				0	0	99					0	10028	7,8	0	0
item107000063304	item107100063304	5-6	6	3	3	1	1300	1480		10000	item127000053304,3;item107999900011,8	item107300000003,1	1,300000				0	0	90					0	10020	2,7,8	0	0
item107000063306	item107100063306	5-6	6	3	3	1	1300	1480		10000	item127000053306,3;item107999900011,8	item107300000003,1	1,300000				0	0	96					0	10019	2,7,8	0	0
item107000063308	item107100063308	5-6	6	3	3	1	1300	1480		10000	item127000053308,3;item107999900011,8	item107300000003,1	1,300000				0	0	101					0	10021	2,7,8	0	0
item107000063309	item107100063309	5-6	6	3	3	1	1300	1480		10000	item127000053309,3;item107999900011,8	item107300000003,1	1,300000				0	0	105					0	10024	2,7,8	0	0
item117000061305	item117100061305	5-6	6	1	3	1	1110	1220		5000	item127000041305,30;item107999900011,5	item107300000003,1	1,200000				0	0	72					0	10001	2,7,8	0	0
item107000053310	item107100053310	4-5	4	3	3	1	920	1020		1200	item107200053001,8;item127000053310,1	item107300000002,6	1,150000	item107000063310	item127000053310,5;item107999900011,15	1,3000000	70	12	109					0	10039	2,7,8	0	0
item107000063310	item107100063310	5-6	6	3	3	1	1300	1480		10000	item127000053310,3;item107999900011,8	item107300000003,1	1,300000				0	0	109					0	10039	2,7,8	0	0
item107000053214	item107100053214	4-5	4	3	2	4	92	102		1800	item107200053001,8;item127000053214,1	item107300000002,6	1,150000	item107000063214	item127000053214,5;item107999900011,15	1,3000000	70	12	110					0	10040	3,4,5,6	0	0
item107000063214	item107100063214	5-6	6	3	2	4	130	148		10000	item127000053214,3;item107999900011,8	item107300000003,1	1,300000				0	0	110					0	10040	3,4,5,6	0	0
