流水	魔法属性品质	魔法属性等级	魔法属性潜力值	生命值	能量值	攻击力	防御力	生命回复	能量回复	生命值百分比	攻击力百分比	防御力百分比	速度百分比	命中等级	闪避等级	暴击等级	暴抗等级	暴伤等级	韧性等级	移动速度	附加狂怒率	攻击速度	附加命中率	附加闪避率	附加暴击率	附加暴抗率	附加暴伤倍率	附加暴伤抗率	伤害加深	伤害减免	加强眩晕	眩晕抗性	加强沉默	沉默抗性	加强定身	定身抗性	加强中毒	中毒抗性	加强恐惧	恐惧抗性	加强减速	减速抗性	冰系精通	毒系精通	火系精通	冰系抵抗	毒系抵抗	火系抵抗	远程物理系精通	近战物理系精通	套装所需装备降低
14	2	14	60	300	0	30	30	0	0	0	0	0	0	100	100	100	100	100	100	0.000000	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0
15	2	15	60	300	0	30	30	0	0	0	0	0	0	100	100	100	100	100	100	0.000000	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0
16	2	16	60	300	0	30	30	0	0	0	0	0	0	100	100	100	100	100	100	0.000000	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0
17	2	17	60	300	0	30	30	0	0	0	0	0	0	100	100	100	100	100	100	0.000000	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0
18	2	18	60	300	0	30	30	0	0	0	0	0	0	100	100	100	100	100	100	0.000000	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0
19	2	19	60	300	0	30	30	0	0	0	0	0	0	100	100	100	100	100	100	0.000000	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0
20	2	20	60	300	0	30	30	0	0	0	0	0	0	100	100	100	100	100	100	0.000000	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0
21	2	21	60	300	0	30	30	0	0	0	0	0	0	100	100	100	100	100	100	0.000000	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0
22	2	22	60	300	0	30	30	0	0	0	0	0	0	100	100	100	100	100	100	0.000000	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0
23	3	1	30	180	0	18	18	0	0	200	200	200	0	0	0	0	0	0	0	0.000000	0	0	300	300	300	300	300	300	0	0	9	9	9	9	9	9	0	0	9	9	9	9	0	0	0	0	0	0	0	0	0
24	3	2	40	220	0	22	22	0	0	250	250	250	0	0	0	0	0	0	0	0.000000	0	0	350	350	350	350	350	350	0	0	11	11	11	11	11	11	0	0	11	11	11	11	0	0	0	0	0	0	0	0	0
25	3	3	60	300	0	30	30	0	0	300	300	300	0	0	0	0	0	0	0	0.000000	0	0	450	450	450	450	450	450	0	0	15	15	15	15	15	15	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0
26	3	4	80	380	0	38	38	0	0	400	400	400	0	0	0	0	0	0	0	0.000000	0	0	600	600	600	600	600	600	0	0	19	19	19	19	19	19	0	0	19	19	19	19	0	0	0	0	0	0	0	0	0
27	3	5	90	460	0	46	46	0	0	550	550	550	0	0	0	0	0	0	0	0.000000	0	0	800	800	800	800	800	800	0	0	23	23	23	23	23	23	0	0	23	23	23	23	0	0	0	0	0	0	0	0	0
28	3	6	110	500	0	50	50	0	0	650	650	650	0	0	0	0	0	0	0	0.000000	0	0	950	950	950	950	950	950	0	0	27	27	27	27	27	27	0	0	27	27	27	27	0	0	0	0	0	0	0	0	0
29	3	7	60	50	20	10	5	2	1	380	380	380	900	400	400	400	400	400	400	0.000000	800	0	260	260	260	260	390	390	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
30	3	8	60	50	20	10	5	2	1	410	410	410	950	425	425	425	425	425	425	0.000000	800	0	280	280	280	280	420	420	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
31	3	9	60	50	20	10	5	2	1	440	440	440	1000	450	450	450	450	450	450	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
32	3	10	60	50	20	10	5	2	1	470	470	470	1050	475	475	475	475	475	475	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
33	3	11	60	50	20	10	5	2	1	500	500	500	1100	500	500	500	500	500	500	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
34	3	12	60	50	20	10	5	2	1	200	200	200	1150	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
35	3	13	60	50	20	10	5	2	1	200	200	200	1200	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
36	3	14	60	50	20	10	5	2	1	200	200	200	1250	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
37	3	15	60	50	20	10	5	2	1	200	200	200	1300	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
38	3	16	60	50	20	10	5	2	1	200	200	200	1350	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
39	3	17	60	50	20	10	5	2	1	200	200	200	1400	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
40	3	18	60	50	20	10	5	2	1	200	200	200	1450	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
41	4	1	40	50	20	10	5	2	1	100	100	100	500	250	250	250	250	250	250	0.000000	800	0	100	100	100	100	800	150	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	1
42	4	2	60	50	20	10	5	2	1	100	100	100	500	250	250	250	250	250	250	0.000000	800	0	100	100	100	100	1100	150	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	1000	1000	1
43	4	3	60	50	20	10	5	2	1	110	110	110	550	250	250	250	250	250	250	0.000000	800	0	120	120	120	120	1400	180	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	1200	1200	1
44	4	4	60	50	20	10	5	2	1	200	200	200	600	250	250	250	250	250	250	0.000000	800	0	140	140	140	140	210	210	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
45	4	5	60	50	20	10	5	2	1	230	230	230	650	275	275	275	275	275	275	0.000000	800	0	160	160	160	160	240	240	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
46	4	6	60	50	20	10	5	2	1	260	260	260	700	300	300	300	300	300	300	0.000000	800	0	180	180	180	180	270	270	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
47	4	7	60	50	20	10	5	2	1	290	290	290	750	325	325	325	325	325	325	0.000000	800	0	200	200	200	200	300	300	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
48	4	8	60	50	20	10	5	2	1	320	320	320	800	350	350	350	350	350	350	0.000000	800	0	220	220	220	220	330	330	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
49	4	9	60	50	20	10	5	2	1	350	350	350	850	375	375	375	375	375	375	0.000000	800	0	240	240	240	240	360	360	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
50	4	10	60	50	20	10	5	2	1	380	380	380	900	400	400	400	400	400	400	0.000000	800	0	260	260	260	260	390	390	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
51	4	11	60	50	20	10	5	2	1	410	410	410	950	425	425	425	425	425	425	0.000000	800	0	280	280	280	280	420	420	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
52	4	12	60	50	20	10	5	2	1	440	440	440	1000	450	450	450	450	450	450	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
53	4	13	60	50	20	10	5	2	1	470	470	470	1050	475	475	475	475	475	475	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
54	4	14	60	50	20	10	5	2	1	500	500	500	1100	500	500	500	500	500	500	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
55	4	15	60	50	20	10	5	2	1	200	200	200	1150	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
56	4	16	60	50	20	10	5	2	1	200	200	200	1200	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
57	4	17	60	50	20	10	5	2	1	200	200	200	1250	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
58	4	18	60	50	20	10	5	2	1	200	200	200	1300	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
59	4	19	60	50	20	10	5	2	1	200	200	200	1350	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
60	4	20	60	50	20	10	5	2	1	200	200	200	1400	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
61	4	21	60	50	20	10	5	2	1	200	200	200	1450	800	800	800	800	800	800	0.000000	800	0	300	300	300	300	450	450	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	0	0
