场景ID	场景类型	是否可发送组队邀请	场景类型	副本类型	小地图倍数	小地图左右偏移	小地图上下偏移	开启等级	能否使用坐骑	区域组	地图名字	最小等级	最大等级	每条线最大人数限制	背景音	探索的奖励	场景描述	副本初始任务	摄像机设置2.5D	摄像机设置3D	最长挑战时间	场景名字显示	主界面显示的活动按钮	开启场景任务	是否可以托管	评分限制	是否自动追踪任务	视野同步距离	是否回归默认镜头	场景中心点	是否有白天黑夜	小岛场景亮度设置	是否允许星之子觉醒	是否允许召唤使者	是否允许召唤元素灵	场景复活时间
27	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName27	1	109	100	2		SceneDes27	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
28	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName28	1	109	100	2		SceneDes28	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
29	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName29	1	109	100	2		SceneDes29	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
30	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName30	1	109	100	2		SceneDes30	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
31	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName31	1	109	100	2		SceneDes31	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
32	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName32	1	109	100	2		SceneDes32	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
33	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName33	1	109	100	2		SceneDes33	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
34	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName34	1	109	100	2		SceneDes34	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
35	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName35	1	109	100	2		SceneDes35	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
36	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName36	1	109	100	2		SceneDes36	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
37	FieldScene	1	1	0	1.800000	0	10	1	1	1	MapName37	1	109	100	2	item102000010037	SceneDes37	0	1	2	0	2.000000	3;14	0	1	0		20	0	15,15	0	1	0	0	0	0
14	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName14	1	109	100	2		SceneDes14	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
15	FieldScene	1	1	0	1.000000	1	1	999	1	4	MapName15	1	109	100	2		SceneDes15	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
16	FieldScene	1	1	0	1.000000	1	1	999	1	4	MapName16	1	109	100	2		SceneDes16	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
17	FieldScene	1	1	0	1.000000	1	1	999	1	4	MapName17	1	109	100	2		SceneDes17	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
40	GuildScene	1	9	0	4.300000	10	1	1	1	-1	MapName40	1	109	100	3		SceneDes40	0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
41	HomeLandScene	1	15	0	2.500000	0	95	1	1	-1	MapName41	1	109	100	32		SceneDes41	0	11	10	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
42	NewPlayerScene	1	13	0	2.100000	0	-20	1	0	-1	MapName42	1	109	125	0		SceneDes42	0	1	2	0	2.000000	0	0	1	0		30	0		0	1	0	0	0	0
43	KingTowerWaitScene	1	25	0	7.500000	-10	15	-1	1	-1	MapName43	32	109	100	3			0	1	2	0	0.000000	0	0	1	0		20	0		0	1	0	0	0	0
44	WeddingScene	1	27	0	5.000000	-10	15	-1	1	-1	MapName44	32	109	100	33			0	1	2	0	0.000000	0	0	1	0		20	0		0	1	0	0	0	0
45	WeddingShowScene	1	28	0	7.500000	-10	15	-1	1	-1	MapName45	32	109	100	33			0	1	2	0	0.000000	0	0	1	0		20	0		0	1	0	0	0	0
46	NormalSnowPackScene	1	31	0	3.000000	0	0	-1	0	-1	MapName46	20	109	30	38			0	1	2	0	2.000000	0	0	0	0		50	1		0	1	0	0	0	0
47	FieldScene	0	11	0	5.000000	5	5	-1	0	-1	MapName47	1	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
48	HomeScene	1	39	0	2.500000	0	0	1	0	-1	MapName48	1	109	100	32		SceneDes48	0	13	12	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
98	PVPWaitScene	1	12	0	7.500000	-10	15	-1	1	-1	MapName98	32	109	100	3			0	1	2	0	0.000000	14	0	1	0		20	0		0	1	0	0	0	0
70	DisasterInvadeScene	0	33	0	4.000000	5	5	-1	0	-1	MapName70	1	109	-1	18			0	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
170	DisasterInvadeScene	0	33	0	4.000000	5	5	-1	0	-1	MapName170	1	109	-1	18			0	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
270	DisasterInvadeScene	0	33	0	4.000000	5	5	-1	0	-1	MapName270	1	109	-1	18			0	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
370	DisasterInvadeScene	0	33	0	4.000000	5	5	-1	0	-1	MapName370	1	109	-1	18			0	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
470	DisasterInvadeScene	0	33	0	4.000000	5	5	-1	0	-1	MapName470	1	109	-1	18			0	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
570	DisasterInvadeScene	0	33	0	4.000000	5	5	-1	0	-1	MapName570	1	109	-1	18			0	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
72	DisasterInvadeBossScene	0	34	0	4.000000	5	5	-1	0	-1	MapName72	1	109	-1	18			0	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
71	GuildFieldScene	1	1	0	2.400000	20	30	1	0	71	MapName71	36	109	100	24			0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
171	GuildFieldScene	1	1	0	3.000000	10	30	1	0	171	MapName171	36	109	100	4			0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
271	GuildFieldScene	1	1	0	2.200000	1	20	1	0	271	MapName271	36	109	100	8			0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
58	SubspaceScene	1	1	0	5.000000	1	1	32	0	-1	MapName58	39	109	100	5		SceneDes58	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
158	SubspaceScene	1	1	0	5.000000	1	1	32	0	-1	MapName158	39	109	100	5		SceneDes158	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
258	SubspaceScene	1	1	0	5.000000	1	1	32	0	-1	MapName258	39	109	100	5		SceneDes258	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
358	SubspaceScene	1	1	0	5.000000	1	1	32	0	-1	MapName358	39	109	100	5		SceneDes358	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
458	SubspaceScene	1	1	0	5.000000	1	1	32	0	-1	MapName458	39	109	100	5		SceneDes458	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
558	SubspaceScene	1	1	0	5.000000	1	1	32	0	-1	MapName558	39	109	100	5		SceneDes558	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
658	SubspaceScene	1	1	0	5.000000	1	1	32	0	-1	MapName658	39	109	100	5		SceneDes658	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
758	SubspaceScene	1	1	0	5.000000	1	1	32	0	-1	MapName758	39	109	100	5		SceneDes758	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
858	SubspaceScene	1	1	0	5.000000	1	1	32	0	-1	MapName858	39	109	100	5		SceneDes858	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
958	SubspaceScene	1	1	0	5.000000	1	1	32	0	-1	MapName958	39	109	100	5		SceneDes958	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
61	GuildWarWaitScene	1	16	0	7.500000	-10	15	-1	0	-1	MapName61	32	109	100	3			0	1	2	0	2.000000	14	0	1	0		20	0		0	1	1	1	0	0
62	GuildWarScene	1	17	0	5.000000	1	1	-1	0	-1	MapName62	1	109	-1	30			0	1	2	0	2.000000	0	0	1	0		30	0		0	1	1	1	0	0
162	GuildWarScene	1	17	0	5.000000	1	1	-1	0	-1	MapName162	1	109	-1	30			0	1	2	0	2.000000	0	0	1	0		30	0		0	1	1	1	0	0
262	GuildWarScene	1	17	0	5.000000	1	1	-1	0	-1	MapName262	1	109	-1	30			0	1	2	0	2.000000	0	0	1	0		30	0		0	1	1	1	0	0
362	GuildWarScene	1	17	0	5.000000	1	1	-1	0	-1	MapName362	1	109	-1	30			0	1	2	0	2.000000	0	0	1	0		30	0		0	1	1	1	0	0
63	GuildWarScene	1	17	0	5.000000	1	1	-1	0	-1	MapName63	1	109	-1	19			0	1	2	0	2.000000	0	0	1	0		30	0		0	1	1	1	0	0
163	GuildWarScene	1	17	0	5.000000	1	1	-1	0	-1	MapName163	1	109	-1	19			0	1	2	0	2.000000	0	0	1	0		30	0		0	1	1	1	0	0
64	GuildWarScene	1	17	0	4.000000	1	1	-1	0	-1	MapName64	1	109	-1	24			0	1	2	0	2.000000	0	0	1	0		30	0		0	1	1	1	0	0
1035	TeamScene	1	2	1	3.000000	5	5	-1	0	-1	MapName1035	20	109	5	5			400033	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1025	TeamScene	1	2	1	3.000000	5	5	-1	0	-1	MapName1025	20	109	5	5			400030	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1026	TeamScene	1	2	1	3.000000	5	5	-1	0	-1	MapName1026	20	109	5	5			400031	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1037	TeamScene	1	2	1	3.000000	5	5	-1	0	-1	MapName1037	20	109	5	5			400023	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1027	TeamScene	1	2	1	3.000000	5	5	-1	0	-1	MapName1027	20	109	5	5			400020	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1028	TeamScene	1	2	1	3.000000	5	5	-1	0	-1	MapName1028	20	109	5	5			400021	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1036	TeamScene	1	2	1	3.500000	-35	10	-1	0	-1	MapName1036	20	109	5	5			400013	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1029	TeamScene	1	2	1	3.500000	-35	10	-1	0	-1	MapName1029	20	109	5	5			400010	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1030	TeamScene	1	2	1	3.500000	-35	10	-1	0	-1	MapName1029	20	109	5	5			400011	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1031	TeamScene	1	2	1	3.500000	15	10	-1	0	-1	MapName1031	20	109	5	5			400040	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1032	TeamScene	1	2	1	3.500000	15	10	-1	0	-1	MapName1032	20	109	5	5			400041	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1033	TeamScene	1	2	1	2.800000	15	-20	-1	0	-1	MapName1033	20	109	5	5			400050	1	2	0	2.000000	0	0	1	100	1	50	1	30.3,9	0	1	0	0	0	0
1034	TeamScene	1	2	1	2.800000	15	-20	-1	0	-1	MapName1034	20	109	5	5			400051	1	2	0	2.000000	0	0	1	100	1	50	1	30.3,9	0	1	0	0	0	0
1039	TeamScene	1	2	1	1.900000	0	10	-1	0	-1	MapName1039	20	109	5	5			400062	1	2	0	2.000000	0	0	1	100	1	50	1	-0.125,17.375	0	1	0	0	0	0
1038	TeamScene	1	2	1	1.900000	0	10	-1	0	-1	MapName1038	20	109	5	5			400063	1	2	0	2.000000	0	0	1	100	1	50	1	-0.125,17.375	0	1	0	0	0	0
1040	TeamScene	1	2	1	1.600000	0	10	-1	0	-1	MapName1040	20	109	5	5			400070	1	2	0	2.000000	0	0	1	100	1	50	1	-18.2,-23.3	0	1	0	0	0	0
1041	TeamScene	1	2	1	1.600000	0	10	-1	0	-1	MapName1041	20	109	5	5			400071	1	2	0	2.000000	0	0	1	100	1	50	1	-18.2,-23.3	0	1	0	0	0	0
1042	TeamScene	1	2	1	1.600000	0	10	-1	0	-1	MapName1042	20	109	5	5			400071	1	2	0	2.000000	0	0	1	100	1	50	1	-18.2,-23.3	0	1	0	0	0	0
1103	TeamScene	1	2	2	2.000000	5	5	-1	0	-1	MapName1103	20	109	10	18			450013	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1100	TeamScene	1	2	2	2.000000	5	5	-1	0	-1	MapName1100	20	109	10	18			450010	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1104	TeamScene	1	2	2	2.500000	5	5	-1	0	-1	MapName1104	20	109	10	18			450014	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1101	TeamScene	1	2	2	2.500000	5	5	-1	0	-1	MapName1101	20	109	10	18			450011	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1102	TeamScene	1	2	2	4.000000	5	5	-1	0	-1	MapName1102	20	109	10	18			450012	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1107	TeamScene	1	2	2	4.000000	5	5	-1	0	-1	MapName1107	20	109	10	18			450015	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1105	TeamScene	1	2	2	1.750000	5	5	-1	0	-1	MapName1105	20	109	10	36			450017	1	2	0	2.000000	0	0	1	100	1	50	1		1	1	0	0	0	0
1110	TeamScene	1	2	2	1.750000	5	5	-1	0	-1	MapName1110	20	109	10	36			450020	1	2	0	2.000000	0	0	1	100	1	50	1		1	1	0	0	0	0
1111	TeamScene	1	2	2	1.750000	-30	5	-1	0	-1	MapName1111	20	109	10	36			450021	1	2	0	2.000000	0	0	1	100	1	50	1	-32,0	0	1	0	0	0	0
1112	TeamScene	1	2	2	1.750000	-30	5	-1	0	-1	MapName1112	20	109	10	36			450022	1	2	0	2.000000	0	0	1	100	1	50	1	-32,0	0	1	0	0	0	0
1113	TeamScene	1	2	1	1.600000	0	10	-1	0	-1	MapName1113	20	109	10	5			450023	1	2	0	2.000000	0	0	1	100	1	50	1	0,-22.9	0	1	0	0	0	0
1114	TeamScene	1	2	1	1.600000	0	10	-1	0	-1	MapName1114	20	109	10	5			450024	1	2	0	2.000000	0	0	1	100	1	50	1	0,-22.9	0	1	0	0	0	0
1106	TeamScene	1	2	2	2.500000	5	5	-1	0	-1	MapName1106	20	109	10	18			450016	1	2	0	2.000000	0	0	1	100	1	50	1	37.38,37.37	0	1	0	0	0	0
1108	TeamScene	1	2	2	2.500000	5	5	-1	0	-1	MapName1108	20	109	10	18			450019	1	2	0	2.000000	0	0	1	100	1	50	1	37.38,37.37	0	1	0	0	0	0
1150	TaskScene	0	2	1	3.000000	5	5	-1	0	-1	MapName1150	20	109	5	5			400012	1	2	0	2.000000	0	0	1	0	1	50	1		0	1	0	0	0	0
1151	TaskScene	0	2	1	3.000000	5	5	-1	0	-1	MapName1151	20	109	5	5			400022	1	2	0	2.000000	0	0	1	0	1	50	1		0	1	0	0	0	0
1152	TaskScene	1	2	1	4.000000	5	5	-1	0	-1	MapName1152	20	109	5	18			450018	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1153	TaskScene	0	2	1	1.900000	0	10	-1	0	-1	MapName1153	20	109	5	5			400064	1	2	0	2.000000	0	0	1	100	1	50	1	-0.125,17.375	0	1	0	0	0	0
1200	TowerScene	0	2	0	10.000000	5	5	-1	0	-1	MapName1200	20	109	-1	2			0	1	2	600	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1201	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1201	20	109	5	5			530010	1	2	600	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1301	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1301	20	109	5	5			540010	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1302	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1302	20	109	5	5			540020	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1303	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1303	20	109	5	5			540030	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1304	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1304	20	109	5	5			540040	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1305	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1305	20	109	5	5			540050	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1306	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1306	20	109	5	5			540060	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1307	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1307	20	109	5	5			540070	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1308	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1308	20	109	5	5			540080	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1309	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1309	20	109	5	5			540090	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1310	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1310	20	109	5	5			540100	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1311	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1311	20	109	5	5			540110	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1312	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1312	20	109	5	5			540120	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1313	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1313	20	109	5	5			540130	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1314	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1314	20	109	5	5			540140	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1315	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1315	20	109	5	5			540150	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1316	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1316	20	109	5	5			540160	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1317	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1317	20	109	5	5			540170	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1318	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1318	20	109	5	5			540180	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1319	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1319	20	109	5	5			540190	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1320	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1320	20	109	5	5			540200	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1321	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1321	20	109	5	5			540210	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1322	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1322	20	109	5	5			540220	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1323	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1323	20	109	5	5			540230	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1324	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1324	20	109	5	5			540240	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1325	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1325	20	109	5	5			540250	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1326	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1326	20	109	5	5			540260	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1327	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1327	20	109	5	5			540270	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1328	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1328	20	109	5	5			540280	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1329	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1329	20	109	5	5			540290	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1330	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1330	20	109	5	5			540300	1	2	240	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1331	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1331	20	109	5	5			540310	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1332	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1332	20	109	5	5			540320	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1333	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1333	20	109	5	5			540330	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1334	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1334	20	109	5	5			540340	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1335	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1335	20	109	5	5			540350	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1336	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1336	20	109	5	5			540360	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1337	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1337	20	109	5	5			540370	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
