流水ID	星域ID	buffId	buff单价	是否商店必出
58	1	buff6_startrace02::buff017	26,90	0
59	1	buff6_startrace02::buff018	26,90	0
60	1	buff6_startrace02::buff019	26,90	0
61	2	buff6_startrace00::buff000	26,35	0
62	2	buff6_startrace00::buff001	26,35	0
63	2	buff6_startrace00::buff002	26,35	0
64	2	buff6_startrace00::buff003	26,35	0
65	2	buff6_startrace00::buff004	26,35	0
66	2	buff6_startrace00::buff005	26,35	0
67	2	buff6_startrace00::buff006	26,35	0
68	2	buff6_startrace00::buff007	26,35	0
69	2	buff6_startrace00::buff008	26,35	0
70	2	buff6_startrace00::buff009	26,35	0
71	2	buff6_startrace00::buff010	26,35	0
72	2	buff6_startrace00::buff011	26,35	0
73	2	buff6_startrace00::buff012	26,35	0
74	2	buff6_startrace00::buff013	26,35	0
75	2	buff6_startrace00::buff014	26,35	0
76	2	buff6_startrace00::buff015	26,35	0
77	2	buff6_startrace00::buff016	26,35	0
78	2	buff6_startrace00::buff017	26,35	0
79	2	buff6_startrace00::buff018	26,35	0
80	2	buff6_startrace00::buff019	26,35	0
81	2	buff6_startrace01::buff000	26,65	0
82	2	buff6_startrace01::buff001	26,65	0
83	2	buff6_startrace01::buff002	26,65	0
84	2	buff6_startrace01::buff003	26,65	0
85	2	buff6_startrace01::buff004	26,65	0
86	2	buff6_startrace01::buff005	26,65	0
87	2	buff6_startrace01::buff006	26,65	0
88	2	buff6_startrace01::buff007	26,65	0
89	2	buff6_startrace01::buff008	26,65	0
90	2	buff6_startrace01::buff009	26,65	0
91	2	buff6_startrace01::buff010	26,65	0
92	2	buff6_startrace01::buff011	26,65	0
93	2	buff6_startrace01::buff012	26,65	0
94	2	buff6_startrace01::buff013	26,65	0
95	2	buff6_startrace01::buff014	26,65	0
96	2	buff6_startrace01::buff015	26,65	0
97	2	buff6_startrace01::buff016	26,65	0
98	2	buff6_startrace01::buff017	26,65	0
99	2	buff6_startrace01::buff018	26,65	0
100	2	buff6_startrace01::buff019	26,65	0
101	2	buff6_startrace02::buff000	26,90	0
102	2	buff6_startrace02::buff001	26,90	1
103	2	buff6_startrace02::buff002	26,90	0
104	2	buff6_startrace02::buff003	26,90	0
105	2	buff6_startrace02::buff004	26,90	0
106	2	buff6_startrace02::buff005	26,90	0
107	2	buff6_startrace02::buff006	26,90	0
108	2	buff6_startrace02::buff007	26,90	0
109	2	buff6_startrace02::buff008	26,90	0
110	2	buff6_startrace02::buff009	26,90	0
111	2	buff6_startrace02::buff010	26,90	0
112	2	buff6_startrace02::buff011	26,90	0
113	2	buff6_startrace02::buff012	26,90	0
114	2	buff6_startrace02::buff013	26,90	0
115	2	buff6_startrace02::buff014	26,90	0
116	2	buff6_startrace02::buff015	26,90	0
117	2	buff6_startrace02::buff016	26,90	0
118	2	buff6_startrace02::buff017	26,90	0
119	2	buff6_startrace02::buff018	26,90	0
120	2	buff6_startrace02::buff019	26,90	0
121	3	buff6_startrace00::buff000	26,35	0
122	3	buff6_startrace00::buff001	26,35	0
123	3	buff6_startrace00::buff002	26,35	0
124	3	buff6_startrace00::buff003	26,35	0
125	3	buff6_startrace00::buff004	26,35	0
126	3	buff6_startrace00::buff005	26,35	0
127	3	buff6_startrace00::buff006	26,35	0
128	3	buff6_startrace00::buff007	26,35	0
129	3	buff6_startrace00::buff008	26,35	0
130	3	buff6_startrace00::buff009	26,35	0
131	3	buff6_startrace00::buff010	26,35	0
132	3	buff6_startrace00::buff011	26,35	0
133	3	buff6_startrace00::buff012	26,35	0
134	3	buff6_startrace00::buff013	26,35	0
135	3	buff6_startrace00::buff014	26,35	0
136	3	buff6_startrace00::buff015	26,35	0
137	3	buff6_startrace00::buff016	26,35	0
138	3	buff6_startrace00::buff017	26,35	0
139	3	buff6_startrace00::buff018	26,35	0
140	3	buff6_startrace00::buff019	26,35	0
141	3	buff6_startrace01::buff000	26,65	0
142	3	buff6_startrace01::buff001	26,65	0
143	3	buff6_startrace01::buff002	26,65	0
144	3	buff6_startrace01::buff003	26,65	0
145	3	buff6_startrace01::buff004	26,65	0
146	3	buff6_startrace01::buff005	26,65	0
147	3	buff6_startrace01::buff006	26,65	0
148	3	buff6_startrace01::buff007	26,65	0
149	3	buff6_startrace01::buff008	26,65	0
150	3	buff6_startrace01::buff009	26,65	0
151	3	buff6_startrace01::buff010	26,65	0
152	3	buff6_startrace01::buff011	26,65	0
153	3	buff6_startrace01::buff012	26,65	0
154	3	buff6_startrace01::buff013	26,65	0
155	3	buff6_startrace01::buff014	26,65	0
156	3	buff6_startrace01::buff015	26,65	0
157	3	buff6_startrace01::buff016	26,65	0
158	3	buff6_startrace01::buff017	26,65	0
159	3	buff6_startrace01::buff018	26,65	0
160	3	buff6_startrace01::buff019	26,65	0
161	3	buff6_startrace02::buff000	26,90	0
162	3	buff6_startrace02::buff001	26,90	1
163	3	buff6_startrace02::buff002	26,90	0
164	3	buff6_startrace02::buff003	26,90	0
165	3	buff6_startrace02::buff004	26,90	0
166	3	buff6_startrace02::buff005	26,90	0
167	3	buff6_startrace02::buff006	26,90	0
168	3	buff6_startrace02::buff007	26,90	0
169	3	buff6_startrace02::buff008	26,90	0
170	3	buff6_startrace02::buff009	26,90	0
171	3	buff6_startrace02::buff010	26,90	0
172	3	buff6_startrace02::buff011	26,90	0
173	3	buff6_startrace02::buff012	26,90	0
174	3	buff6_startrace02::buff013	26,90	0
175	3	buff6_startrace02::buff014	26,90	0
176	3	buff6_startrace02::buff015	26,90	0
177	3	buff6_startrace02::buff016	26,90	0
178	3	buff6_startrace02::buff017	26,90	0
179	3	buff6_startrace02::buff018	26,90	0
180	3	buff6_startrace02::buff019	26,90	0
181	4	buff6_startrace00::buff000	26,35	0
182	4	buff6_startrace00::buff001	26,35	0
183	4	buff6_startrace00::buff002	26,35	0
184	4	buff6_startrace00::buff003	26,35	0
185	4	buff6_startrace00::buff004	26,35	0
186	4	buff6_startrace00::buff005	26,35	0
187	4	buff6_startrace00::buff006	26,35	0
188	4	buff6_startrace00::buff007	26,35	0
189	4	buff6_startrace00::buff008	26,35	0
190	4	buff6_startrace00::buff009	26,35	0
191	4	buff6_startrace00::buff010	26,35	0
192	4	buff6_startrace00::buff011	26,35	0
193	4	buff6_startrace00::buff012	26,35	0
194	4	buff6_startrace00::buff013	26,35	0
195	4	buff6_startrace00::buff014	26,35	0
196	4	buff6_startrace00::buff015	26,35	0
197	4	buff6_startrace00::buff016	26,35	0
198	4	buff6_startrace00::buff017	26,35	0
199	4	buff6_startrace00::buff018	26,35	0
200	4	buff6_startrace00::buff019	26,35	0
201	4	buff6_startrace01::buff000	26,65	0
202	4	buff6_startrace01::buff001	26,65	0
203	4	buff6_startrace01::buff002	26,65	0
204	4	buff6_startrace01::buff003	26,65	0
205	4	buff6_startrace01::buff004	26,65	0
206	4	buff6_startrace01::buff005	26,65	0
207	4	buff6_startrace01::buff006	26,65	0
208	4	buff6_startrace01::buff007	26,65	0
209	4	buff6_startrace01::buff008	26,65	0
210	4	buff6_startrace01::buff009	26,65	0
211	4	buff6_startrace01::buff010	26,65	0
212	4	buff6_startrace01::buff011	26,65	0
213	4	buff6_startrace01::buff012	26,65	0
214	4	buff6_startrace01::buff013	26,65	0
215	4	buff6_startrace01::buff014	26,65	0
216	4	buff6_startrace01::buff015	26,65	0
217	4	buff6_startrace01::buff016	26,65	0
218	4	buff6_startrace01::buff017	26,65	0
219	4	buff6_startrace01::buff018	26,65	0
220	4	buff6_startrace01::buff019	26,65	0
221	4	buff6_startrace02::buff000	26,90	0
222	4	buff6_startrace02::buff001	26,90	1
223	4	buff6_startrace02::buff002	26,90	0
224	4	buff6_startrace02::buff003	26,90	0
225	4	buff6_startrace02::buff004	26,90	0
226	4	buff6_startrace02::buff005	26,90	0
227	4	buff6_startrace02::buff006	26,90	0
228	4	buff6_startrace02::buff007	26,90	0
229	4	buff6_startrace02::buff008	26,90	0
230	4	buff6_startrace02::buff009	26,90	0
231	4	buff6_startrace02::buff010	26,90	0
232	4	buff6_startrace02::buff011	26,90	0
233	4	buff6_startrace02::buff012	26,90	0
234	4	buff6_startrace02::buff013	26,90	0
235	4	buff6_startrace02::buff014	26,90	0
236	4	buff6_startrace02::buff015	26,90	0
237	4	buff6_startrace02::buff016	26,90	0
238	4	buff6_startrace02::buff017	26,90	0
239	4	buff6_startrace02::buff018	26,90	0
240	4	buff6_startrace02::buff019	26,90	0
241	5	buff6_startrace00::buff000	26,35	0
242	5	buff6_startrace00::buff001	26,35	0
243	5	buff6_startrace00::buff002	26,35	0
244	5	buff6_startrace00::buff003	26,35	0
245	5	buff6_startrace00::buff004	26,35	0
246	5	buff6_startrace00::buff005	26,35	0
247	5	buff6_startrace00::buff006	26,35	0
248	5	buff6_startrace00::buff007	26,35	0
249	5	buff6_startrace00::buff008	26,35	0
250	5	buff6_startrace00::buff009	26,35	0
251	5	buff6_startrace00::buff010	26,35	0
252	5	buff6_startrace00::buff011	26,35	0
253	5	buff6_startrace00::buff012	26,35	0
254	5	buff6_startrace00::buff013	26,35	0
255	5	buff6_startrace00::buff014	26,35	0
256	5	buff6_startrace00::buff015	26,35	0
257	5	buff6_startrace00::buff016	26,35	0
258	5	buff6_startrace00::buff017	26,35	0
259	5	buff6_startrace00::buff018	26,35	0
260	5	buff6_startrace00::buff019	26,35	0
261	5	buff6_startrace01::buff000	26,65	0
262	5	buff6_startrace01::buff001	26,65	0
263	5	buff6_startrace01::buff002	26,65	0
264	5	buff6_startrace01::buff003	26,65	0
265	5	buff6_startrace01::buff004	26,65	0
266	5	buff6_startrace01::buff005	26,65	0
267	5	buff6_startrace01::buff006	26,65	0
268	5	buff6_startrace01::buff007	26,65	0
269	5	buff6_startrace01::buff008	26,65	0
270	5	buff6_startrace01::buff009	26,65	0
271	5	buff6_startrace01::buff010	26,65	0
272	5	buff6_startrace01::buff011	26,65	0
273	5	buff6_startrace01::buff012	26,65	0
274	5	buff6_startrace01::buff013	26,65	0
275	5	buff6_startrace01::buff014	26,65	0
276	5	buff6_startrace01::buff015	26,65	0
277	5	buff6_startrace01::buff016	26,65	0
278	5	buff6_startrace01::buff017	26,65	0
279	5	buff6_startrace01::buff018	26,65	0
280	5	buff6_startrace01::buff019	26,65	0
281	5	buff6_startrace02::buff000	26,90	0
282	5	buff6_startrace02::buff001	26,90	1
283	5	buff6_startrace02::buff002	26,90	0
284	5	buff6_startrace02::buff003	26,90	0
285	5	buff6_startrace02::buff004	26,90	0
286	5	buff6_startrace02::buff005	26,90	0
287	5	buff6_startrace02::buff006	26,90	0
288	5	buff6_startrace02::buff007	26,90	0
289	5	buff6_startrace02::buff008	26,90	0
290	5	buff6_startrace02::buff009	26,90	0
291	5	buff6_startrace02::buff010	26,90	0
292	5	buff6_startrace02::buff011	26,90	0
293	5	buff6_startrace02::buff012	26,90	0
294	5	buff6_startrace02::buff013	26,90	0
295	5	buff6_startrace02::buff014	26,90	0
296	5	buff6_startrace02::buff015	26,90	0
297	5	buff6_startrace02::buff016	26,90	0
298	5	buff6_startrace02::buff017	26,90	0
299	5	buff6_startrace02::buff018	26,90	0
300	5	buff6_startrace02::buff019	26,90	0
301	6	buff6_startrace00::buff000	26,35	0
302	6	buff6_startrace00::buff001	26,35	0
303	6	buff6_startrace00::buff002	26,35	0
304	6	buff6_startrace00::buff003	26,35	0
305	6	buff6_startrace00::buff004	26,35	0
306	6	buff6_startrace00::buff005	26,35	0
307	6	buff6_startrace00::buff006	26,35	0
308	6	buff6_startrace00::buff007	26,35	0
309	6	buff6_startrace00::buff008	26,35	0
310	6	buff6_startrace00::buff009	26,35	0
311	6	buff6_startrace00::buff010	26,35	0
312	6	buff6_startrace00::buff011	26,35	0
313	6	buff6_startrace00::buff012	26,35	0
314	6	buff6_startrace00::buff013	26,35	0
315	6	buff6_startrace00::buff014	26,35	0
316	6	buff6_startrace00::buff015	26,35	0
317	6	buff6_startrace00::buff016	26,35	0
318	6	buff6_startrace00::buff017	26,35	0
319	6	buff6_startrace00::buff018	26,35	0
320	6	buff6_startrace00::buff019	26,35	0
321	6	buff6_startrace01::buff000	26,65	0
322	6	buff6_startrace01::buff001	26,65	0
323	6	buff6_startrace01::buff002	26,65	0
324	6	buff6_startrace01::buff003	26,65	0
325	6	buff6_startrace01::buff004	26,65	0
326	6	buff6_startrace01::buff005	26,65	0
327	6	buff6_startrace01::buff006	26,65	0
328	6	buff6_startrace01::buff007	26,65	0
329	6	buff6_startrace01::buff008	26,65	0
330	6	buff6_startrace01::buff009	26,65	0
331	6	buff6_startrace01::buff010	26,65	0
332	6	buff6_startrace01::buff011	26,65	0
333	6	buff6_startrace01::buff012	26,65	0
334	6	buff6_startrace01::buff013	26,65	0
335	6	buff6_startrace01::buff014	26,65	0
336	6	buff6_startrace01::buff015	26,65	0
337	6	buff6_startrace01::buff016	26,65	0
338	6	buff6_startrace01::buff017	26,65	0
339	6	buff6_startrace01::buff018	26,65	0
340	6	buff6_startrace01::buff019	26,65	0
341	6	buff6_startrace02::buff000	26,90	0
342	6	buff6_startrace02::buff001	26,90	1
343	6	buff6_startrace02::buff002	26,90	0
344	6	buff6_startrace02::buff003	26,90	0
345	6	buff6_startrace02::buff004	26,90	0
346	6	buff6_startrace02::buff005	26,90	0
347	6	buff6_startrace02::buff006	26,90	0
348	6	buff6_startrace02::buff007	26,90	0
349	6	buff6_startrace02::buff008	26,90	0
350	6	buff6_startrace02::buff009	26,90	0
351	6	buff6_startrace02::buff010	26,90	0
352	6	buff6_startrace02::buff011	26,90	0
353	6	buff6_startrace02::buff012	26,90	0
354	6	buff6_startrace02::buff013	26,90	0
355	6	buff6_startrace02::buff014	26,90	0
356	6	buff6_startrace02::buff015	26,90	0
357	6	buff6_startrace02::buff016	26,90	0
358	6	buff6_startrace02::buff017	26,90	0
359	6	buff6_startrace02::buff018	26,90	0
360	6	buff6_startrace02::buff019	26,90	0
361	7	buff6_startrace00::buff000	26,35	0
362	7	buff6_startrace00::buff001	26,35	0
363	7	buff6_startrace00::buff002	26,35	0
364	7	buff6_startrace00::buff003	26,35	0
365	7	buff6_startrace00::buff004	26,35	0
366	7	buff6_startrace00::buff005	26,35	0
367	7	buff6_startrace00::buff006	26,35	0
368	7	buff6_startrace00::buff007	26,35	0
369	7	buff6_startrace00::buff008	26,35	0
370	7	buff6_startrace00::buff009	26,35	0
371	7	buff6_startrace00::buff010	26,35	0
372	7	buff6_startrace00::buff011	26,35	0
373	7	buff6_startrace00::buff012	26,35	0
374	7	buff6_startrace00::buff013	26,35	0
375	7	buff6_startrace00::buff014	26,35	0
376	7	buff6_startrace00::buff015	26,35	0
377	7	buff6_startrace00::buff016	26,35	0
378	7	buff6_startrace00::buff017	26,35	0
379	7	buff6_startrace00::buff018	26,35	0
380	7	buff6_startrace00::buff019	26,35	0
381	7	buff6_startrace01::buff000	26,65	0
382	7	buff6_startrace01::buff001	26,65	0
383	7	buff6_startrace01::buff002	26,65	0
384	7	buff6_startrace01::buff003	26,65	0
385	7	buff6_startrace01::buff004	26,65	0
386	7	buff6_startrace01::buff005	26,65	0
387	7	buff6_startrace01::buff006	26,65	0
388	7	buff6_startrace01::buff007	26,65	0
389	7	buff6_startrace01::buff008	26,65	0
390	7	buff6_startrace01::buff009	26,65	0
391	7	buff6_startrace01::buff010	26,65	0
392	7	buff6_startrace01::buff011	26,65	0
393	7	buff6_startrace01::buff012	26,65	0
394	7	buff6_startrace01::buff013	26,65	0
395	7	buff6_startrace01::buff014	26,65	0
396	7	buff6_startrace01::buff015	26,65	0
397	7	buff6_startrace01::buff016	26,65	0
398	7	buff6_startrace01::buff017	26,65	0
399	7	buff6_startrace01::buff018	26,65	0
400	7	buff6_startrace01::buff019	26,65	0
401	7	buff6_startrace02::buff000	26,90	0
402	7	buff6_startrace02::buff001	26,90	1
403	7	buff6_startrace02::buff002	26,90	0
404	7	buff6_startrace02::buff003	26,90	0
405	7	buff6_startrace02::buff004	26,90	0
406	7	buff6_startrace02::buff005	26,90	0
407	7	buff6_startrace02::buff006	26,90	0
408	7	buff6_startrace02::buff007	26,90	0
409	7	buff6_startrace02::buff008	26,90	0
410	7	buff6_startrace02::buff009	26,90	0
411	7	buff6_startrace02::buff010	26,90	0
412	7	buff6_startrace02::buff011	26,90	0
413	7	buff6_startrace02::buff012	26,90	0
414	7	buff6_startrace02::buff013	26,90	0
415	7	buff6_startrace02::buff014	26,90	0
416	7	buff6_startrace02::buff015	26,90	0
417	7	buff6_startrace02::buff016	26,90	0
418	7	buff6_startrace02::buff017	26,90	0
419	7	buff6_startrace02::buff018	26,90	0
420	7	buff6_startrace02::buff019	26,90	0
421	8	buff6_startrace00::buff000	26,35	0
422	8	buff6_startrace00::buff001	26,35	0
423	8	buff6_startrace00::buff002	26,35	0
424	8	buff6_startrace00::buff003	26,35	0
425	8	buff6_startrace00::buff004	26,35	0
426	8	buff6_startrace00::buff005	26,35	0
427	8	buff6_startrace00::buff006	26,35	0
428	8	buff6_startrace00::buff007	26,35	0
429	8	buff6_startrace00::buff008	26,35	0
430	8	buff6_startrace00::buff009	26,35	0
431	8	buff6_startrace00::buff010	26,35	0
432	8	buff6_startrace00::buff011	26,35	0
433	8	buff6_startrace00::buff012	26,35	0
434	8	buff6_startrace00::buff013	26,35	0
435	8	buff6_startrace00::buff014	26,35	0
436	8	buff6_startrace00::buff015	26,35	0
437	8	buff6_startrace00::buff016	26,35	0
438	8	buff6_startrace00::buff017	26,35	0
439	8	buff6_startrace00::buff018	26,35	0
440	8	buff6_startrace00::buff019	26,35	0
441	8	buff6_startrace01::buff000	26,65	0
442	8	buff6_startrace01::buff001	26,65	0
443	8	buff6_startrace01::buff002	26,65	0
444	8	buff6_startrace01::buff003	26,65	0
445	8	buff6_startrace01::buff004	26,65	0
446	8	buff6_startrace01::buff005	26,65	0
447	8	buff6_startrace01::buff006	26,65	0
448	8	buff6_startrace01::buff007	26,65	0
449	8	buff6_startrace01::buff008	26,65	0
450	8	buff6_startrace01::buff009	26,65	0
451	8	buff6_startrace01::buff010	26,65	0
452	8	buff6_startrace01::buff011	26,65	0
453	8	buff6_startrace01::buff012	26,65	0
454	8	buff6_startrace01::buff013	26,65	0
455	8	buff6_startrace01::buff014	26,65	0
456	8	buff6_startrace01::buff015	26,65	0
457	8	buff6_startrace01::buff016	26,65	0
458	8	buff6_startrace01::buff017	26,65	0
459	8	buff6_startrace01::buff018	26,65	0
460	8	buff6_startrace01::buff019	26,65	0
461	8	buff6_startrace02::buff000	26,90	0
462	8	buff6_startrace02::buff001	26,90	1
463	8	buff6_startrace02::buff002	26,90	0
464	8	buff6_startrace02::buff003	26,90	0
465	8	buff6_startrace02::buff004	26,90	0
466	8	buff6_startrace02::buff005	26,90	0
467	8	buff6_startrace02::buff006	26,90	0
468	8	buff6_startrace02::buff007	26,90	0
469	8	buff6_startrace02::buff008	26,90	0
470	8	buff6_startrace02::buff009	26,90	0
471	8	buff6_startrace02::buff010	26,90	0
472	8	buff6_startrace02::buff011	26,90	0
473	8	buff6_startrace02::buff012	26,90	0
474	8	buff6_startrace02::buff013	26,90	0
475	8	buff6_startrace02::buff014	26,90	0
476	8	buff6_startrace02::buff015	26,90	0
477	8	buff6_startrace02::buff016	26,90	0
478	8	buff6_startrace02::buff017	26,90	0
479	8	buff6_startrace02::buff018	26,90	0
480	8	buff6_startrace02::buff019	26,90	0
481	9	buff6_startrace00::buff000	26,35	0
482	9	buff6_startrace00::buff001	26,35	0
483	9	buff6_startrace00::buff002	26,35	0
484	9	buff6_startrace00::buff003	26,35	0
485	9	buff6_startrace00::buff004	26,35	0
486	9	buff6_startrace00::buff005	26,35	0
487	9	buff6_startrace00::buff006	26,35	0
488	9	buff6_startrace00::buff007	26,35	0
489	9	buff6_startrace00::buff008	26,35	0
490	9	buff6_startrace00::buff009	26,35	0
491	9	buff6_startrace00::buff010	26,35	0
492	9	buff6_startrace00::buff011	26,35	0
493	9	buff6_startrace00::buff012	26,35	0
494	9	buff6_startrace00::buff013	26,35	0
495	9	buff6_startrace00::buff014	26,35	0
496	9	buff6_startrace00::buff015	26,35	0
497	9	buff6_startrace00::buff016	26,35	0
498	9	buff6_startrace00::buff017	26,35	0
499	9	buff6_startrace00::buff018	26,35	0
500	9	buff6_startrace00::buff019	26,35	0
501	9	buff6_startrace01::buff000	26,65	0
502	9	buff6_startrace01::buff001	26,65	0
503	9	buff6_startrace01::buff002	26,65	0
504	9	buff6_startrace01::buff003	26,65	0
505	9	buff6_startrace01::buff004	26,65	0
506	9	buff6_startrace01::buff005	26,65	0
507	9	buff6_startrace01::buff006	26,65	0
508	9	buff6_startrace01::buff007	26,65	0
509	9	buff6_startrace01::buff008	26,65	0
510	9	buff6_startrace01::buff009	26,65	0
511	9	buff6_startrace01::buff010	26,65	0
512	9	buff6_startrace01::buff011	26,65	0
513	9	buff6_startrace01::buff012	26,65	0
514	9	buff6_startrace01::buff013	26,65	0
515	9	buff6_startrace01::buff014	26,65	0
516	9	buff6_startrace01::buff015	26,65	0
517	9	buff6_startrace01::buff016	26,65	0
518	9	buff6_startrace01::buff017	26,65	0
519	9	buff6_startrace01::buff018	26,65	0
520	9	buff6_startrace01::buff019	26,65	0
521	9	buff6_startrace02::buff000	26,90	0
522	9	buff6_startrace02::buff001	26,90	1
523	9	buff6_startrace02::buff002	26,90	0
524	9	buff6_startrace02::buff003	26,90	0
525	9	buff6_startrace02::buff004	26,90	0
526	9	buff6_startrace02::buff005	26,90	0
527	9	buff6_startrace02::buff006	26,90	0
528	9	buff6_startrace02::buff007	26,90	0
529	9	buff6_startrace02::buff008	26,90	0
530	9	buff6_startrace02::buff009	26,90	0
531	9	buff6_startrace02::buff010	26,90	0
532	9	buff6_startrace02::buff011	26,90	0
533	9	buff6_startrace02::buff012	26,90	0
534	9	buff6_startrace02::buff013	26,90	0
535	9	buff6_startrace02::buff014	26,90	0
536	9	buff6_startrace02::buff015	26,90	0
537	9	buff6_startrace02::buff016	26,90	0
538	9	buff6_startrace02::buff017	26,90	0
539	9	buff6_startrace02::buff018	26,90	0
540	9	buff6_startrace02::buff019	26,90	0
541	10	buff6_startrace00::buff000	26,35	0
542	10	buff6_startrace00::buff001	26,35	0
543	10	buff6_startrace00::buff002	26,35	0
544	10	buff6_startrace00::buff003	26,35	0
545	10	buff6_startrace00::buff004	26,35	0
546	10	buff6_startrace00::buff005	26,35	0
547	10	buff6_startrace00::buff006	26,35	0
548	10	buff6_startrace00::buff007	26,35	0
549	10	buff6_startrace00::buff008	26,35	0
550	10	buff6_startrace00::buff009	26,35	0
551	10	buff6_startrace00::buff010	26,35	0
552	10	buff6_startrace00::buff011	26,35	0
553	10	buff6_startrace00::buff012	26,35	0
554	10	buff6_startrace00::buff013	26,35	0
555	10	buff6_startrace00::buff014	26,35	0
556	10	buff6_startrace00::buff015	26,35	0
557	10	buff6_startrace00::buff016	26,35	0
558	10	buff6_startrace00::buff017	26,35	0
559	10	buff6_startrace00::buff018	26,35	0
560	10	buff6_startrace00::buff019	26,35	0
561	10	buff6_startrace01::buff000	26,65	0
562	10	buff6_startrace01::buff001	26,65	0
563	10	buff6_startrace01::buff002	26,65	0
564	10	buff6_startrace01::buff003	26,65	0
565	10	buff6_startrace01::buff004	26,65	0
566	10	buff6_startrace01::buff005	26,65	0
567	10	buff6_startrace01::buff006	26,65	0
568	10	buff6_startrace01::buff007	26,65	0
569	10	buff6_startrace01::buff008	26,65	0
570	10	buff6_startrace01::buff009	26,65	0
571	10	buff6_startrace01::buff010	26,65	0
572	10	buff6_startrace01::buff011	26,65	0
573	10	buff6_startrace01::buff012	26,65	0
574	10	buff6_startrace01::buff013	26,65	0
575	10	buff6_startrace01::buff014	26,65	0
576	10	buff6_startrace01::buff015	26,65	0
577	10	buff6_startrace01::buff016	26,65	0
578	10	buff6_startrace01::buff017	26,65	0
579	10	buff6_startrace01::buff018	26,65	0
580	10	buff6_startrace01::buff019	26,65	0
581	10	buff6_startrace02::buff000	26,90	0
582	10	buff6_startrace02::buff001	26,90	1
583	10	buff6_startrace02::buff002	26,90	0
584	10	buff6_startrace02::buff003	26,90	0
585	10	buff6_startrace02::buff004	26,90	0
586	10	buff6_startrace02::buff005	26,90	0
587	10	buff6_startrace02::buff006	26,90	0
588	10	buff6_startrace02::buff007	26,90	0
589	10	buff6_startrace02::buff008	26,90	0
590	10	buff6_startrace02::buff009	26,90	0
591	10	buff6_startrace02::buff010	26,90	0
592	10	buff6_startrace02::buff011	26,90	0
593	10	buff6_startrace02::buff012	26,90	0
594	10	buff6_startrace02::buff013	26,90	0
595	10	buff6_startrace02::buff014	26,90	0
596	10	buff6_startrace02::buff015	26,90	0
597	10	buff6_startrace02::buff016	26,90	0
598	10	buff6_startrace02::buff017	26,90	0
599	10	buff6_startrace02::buff018	26,90	0
600	10	buff6_startrace02::buff019	26,90	0
601	11	buff6_startrace00::buff000	26,35	0
602	11	buff6_startrace00::buff001	26,35	0
603	11	buff6_startrace00::buff002	26,35	0
604	11	buff6_startrace00::buff003	26,35	0
