编号	魔灵	地点	台词
34	baby_131	Pet_Shangguxiaodao_Place9	Pet_ExploreJournalText_10018
35	baby_131	Pet_Shangguxiaodao_Place10	Pet_ExploreJournalText_10019
36	baby_134	Pet_Shangguxiaodao_Place6	Pet_ExploreJournalText_10015
37	baby_134	Pet_Shangguxiaodao_Place7	Pet_ExploreJournalText_10016
38	baby_134	Pet_Shangguxiaodao_Place8	Pet_ExploreJournalText_10017
39	baby_134	Pet_Shangguxiaodao_Place9	Pet_ExploreJournalText_10018
40	baby_134	Pet_Shangguxiaodao_Place10	Pet_ExploreJournalText_10019
41	baby_135	Pet_Shangguxiaodao_Place6	Pet_ExploreJournalText_10020
42	baby_135	Pet_Shangguxiaodao_Place7	Pet_ExploreJournalText_10021
43	baby_135	Pet_Shangguxiaodao_Place8	Pet_ExploreJournalText_10022
44	baby_135	Pet_Shangguxiaodao_Place9	Pet_ExploreJournalText_10023
45	baby_135	Pet_Shangguxiaodao_Place10	Pet_ExploreJournalText_10024
46	baby_136	Pet_Shangguxiaodao_Place6	Pet_ExploreJournalText_10020
47	baby_136	Pet_Shangguxiaodao_Place7	Pet_ExploreJournalText_10021
48	baby_136	Pet_Shangguxiaodao_Place8	Pet_ExploreJournalText_10022
49	baby_136	Pet_Shangguxiaodao_Place9	Pet_ExploreJournalText_10023
50	baby_136	Pet_Shangguxiaodao_Place10	Pet_ExploreJournalText_10024
51	baby_111	Pet_Shangguxiaodao_Place11	Pet_ExploreJournalText_10025
52	baby_111	Pet_Shangguxiaodao_Place12	Pet_ExploreJournalText_10026
53	baby_111	Pet_Shangguxiaodao_Place13	Pet_ExploreJournalText_10027
54	baby_111	Pet_Shangguxiaodao_Place14	Pet_ExploreJournalText_10028
55	baby_111	Pet_Shangguxiaodao_Place15	Pet_ExploreJournalText_10029
56	baby_115	Pet_Shangguxiaodao_Place11	Pet_ExploreJournalText_10025
57	baby_115	Pet_Shangguxiaodao_Place12	Pet_ExploreJournalText_10026
58	baby_115	Pet_Shangguxiaodao_Place13	Pet_ExploreJournalText_10027
59	baby_115	Pet_Shangguxiaodao_Place14	Pet_ExploreJournalText_10028
60	baby_115	Pet_Shangguxiaodao_Place15	Pet_ExploreJournalText_10029
61	baby_131	Pet_Shangguxiaodao_Place11	Pet_ExploreJournalText_10030
62	baby_131	Pet_Shangguxiaodao_Place12	Pet_ExploreJournalText_10031
63	baby_131	Pet_Shangguxiaodao_Place13	Pet_ExploreJournalText_10032
64	baby_131	Pet_Shangguxiaodao_Place14	Pet_ExploreJournalText_10033
65	baby_131	Pet_Shangguxiaodao_Place15	Pet_ExploreJournalText_10034
66	baby_134	Pet_Shangguxiaodao_Place11	Pet_ExploreJournalText_10030
67	baby_134	Pet_Shangguxiaodao_Place12	Pet_ExploreJournalText_10031
68	baby_134	Pet_Shangguxiaodao_Place13	Pet_ExploreJournalText_10032
69	baby_134	Pet_Shangguxiaodao_Place14	Pet_ExploreJournalText_10033
70	baby_134	Pet_Shangguxiaodao_Place15	Pet_ExploreJournalText_10034
71	baby_121	Pet_Shangguxiaodao_Place16	Pet_ExploreJournalText_10035
72	baby_121	Pet_Shangguxiaodao_Place17	Pet_ExploreJournalText_10036
73	baby_121	Pet_Shangguxiaodao_Place18	Pet_ExploreJournalText_10037
74	baby_121	Pet_Shangguxiaodao_Place19	Pet_ExploreJournalText_10038
75	baby_121	Pet_Shangguxiaodao_Place20	Pet_ExploreJournalText_10039
76	baby_125	Pet_Shangguxiaodao_Place16	Pet_ExploreJournalText_10035
77	baby_125	Pet_Shangguxiaodao_Place17	Pet_ExploreJournalText_10036
78	baby_125	Pet_Shangguxiaodao_Place18	Pet_ExploreJournalText_10037
79	baby_125	Pet_Shangguxiaodao_Place19	Pet_ExploreJournalText_10038
80	baby_125	Pet_Shangguxiaodao_Place20	Pet_ExploreJournalText_10039
81	baby_131	Pet_Shangguxiaodao_Place16	Pet_ExploreJournalText_10040
82	baby_131	Pet_Shangguxiaodao_Place17	Pet_ExploreJournalText_10041
83	baby_131	Pet_Shangguxiaodao_Place18	Pet_ExploreJournalText_10042
84	baby_131	Pet_Shangguxiaodao_Place19	Pet_ExploreJournalText_10043
85	baby_131	Pet_Shangguxiaodao_Place20	Pet_ExploreJournalText_10044
86	baby_134	Pet_Shangguxiaodao_Place16	Pet_ExploreJournalText_10040
87	baby_134	Pet_Shangguxiaodao_Place17	Pet_ExploreJournalText_10041
88	baby_134	Pet_Shangguxiaodao_Place18	Pet_ExploreJournalText_10042
89	baby_134	Pet_Shangguxiaodao_Place19	Pet_ExploreJournalText_10043
90	baby_134	Pet_Shangguxiaodao_Place20	Pet_ExploreJournalText_10044
91	baby_135	Pet_Shangguxiaodao_Place16	Pet_ExploreJournalText_10045
92	baby_135	Pet_Shangguxiaodao_Place17	Pet_ExploreJournalText_10046
93	baby_135	Pet_Shangguxiaodao_Place18	Pet_ExploreJournalText_10047
94	baby_135	Pet_Shangguxiaodao_Place19	Pet_ExploreJournalText_10048
95	baby_135	Pet_Shangguxiaodao_Place20	Pet_ExploreJournalText_10049
96	baby_136	Pet_Shangguxiaodao_Place16	Pet_ExploreJournalText_10045
97	baby_136	Pet_Shangguxiaodao_Place17	Pet_ExploreJournalText_10046
98	baby_136	Pet_Shangguxiaodao_Place18	Pet_ExploreJournalText_10047
99	baby_136	Pet_Shangguxiaodao_Place19	Pet_ExploreJournalText_10048
100	baby_136	Pet_Shangguxiaodao_Place20	Pet_ExploreJournalText_10049
101	baby_101	Pet_Shangguxiaodao_Place21	Pet_ExploreJournalText_10050
102	baby_101	Pet_Shangguxiaodao_Place22	Pet_ExploreJournalText_10051
103	baby_101	Pet_Shangguxiaodao_Place23	Pet_ExploreJournalText_10052
104	baby_101	Pet_Shangguxiaodao_Place24	Pet_ExploreJournalText_10053
105	baby_101	Pet_Shangguxiaodao_Place25	Pet_ExploreJournalText_10054
106	baby_105	Pet_Shangguxiaodao_Place21	Pet_ExploreJournalText_10050
107	baby_105	Pet_Shangguxiaodao_Place22	Pet_ExploreJournalText_10051
108	baby_105	Pet_Shangguxiaodao_Place23	Pet_ExploreJournalText_10052
109	baby_105	Pet_Shangguxiaodao_Place24	Pet_ExploreJournalText_10053
110	baby_105	Pet_Shangguxiaodao_Place25	Pet_ExploreJournalText_10054
111	baby_111	Pet_Shangguxiaodao_Place21	Pet_ExploreJournalText_10055
112	baby_111	Pet_Shangguxiaodao_Place22	Pet_ExploreJournalText_10056
113	baby_111	Pet_Shangguxiaodao_Place23	Pet_ExploreJournalText_10057
114	baby_111	Pet_Shangguxiaodao_Place24	Pet_ExploreJournalText_10058
115	baby_111	Pet_Shangguxiaodao_Place25	Pet_ExploreJournalText_10059
116	baby_115	Pet_Shangguxiaodao_Place21	Pet_ExploreJournalText_10055
117	baby_115	Pet_Shangguxiaodao_Place22	Pet_ExploreJournalText_10056
118	baby_115	Pet_Shangguxiaodao_Place23	Pet_ExploreJournalText_10057
119	baby_115	Pet_Shangguxiaodao_Place24	Pet_ExploreJournalText_10058
120	baby_115	Pet_Shangguxiaodao_Place25	Pet_ExploreJournalText_10059
121	baby_101	Pet_Shangguxiaodao_Place26	Pet_ExploreJournalText_10060
122	baby_101	Pet_Shangguxiaodao_Place27	Pet_ExploreJournalText_10061
123	baby_101	Pet_Shangguxiaodao_Place28	Pet_ExploreJournalText_10062
124	baby_101	Pet_Shangguxiaodao_Place29	Pet_ExploreJournalText_10063
125	baby_101	Pet_Shangguxiaodao_Place30	Pet_ExploreJournalText_10064
126	baby_105	Pet_Shangguxiaodao_Place26	Pet_ExploreJournalText_10060
127	baby_105	Pet_Shangguxiaodao_Place27	Pet_ExploreJournalText_10061
128	baby_105	Pet_Shangguxiaodao_Place28	Pet_ExploreJournalText_10062
129	baby_105	Pet_Shangguxiaodao_Place29	Pet_ExploreJournalText_10063
130	baby_105	Pet_Shangguxiaodao_Place30	Pet_ExploreJournalText_10064
131	baby_111	Pet_Shangguxiaodao_Place26	Pet_ExploreJournalText_10065
132	baby_111	Pet_Shangguxiaodao_Place27	Pet_ExploreJournalText_10066
133	baby_111	Pet_Shangguxiaodao_Place28	Pet_ExploreJournalText_10067
134	baby_111	Pet_Shangguxiaodao_Place29	Pet_ExploreJournalText_10068
135	baby_111	Pet_Shangguxiaodao_Place30	Pet_ExploreJournalText_10069
136	baby_115	Pet_Shangguxiaodao_Place26	Pet_ExploreJournalText_10065
137	baby_115	Pet_Shangguxiaodao_Place27	Pet_ExploreJournalText_10066
138	baby_115	Pet_Shangguxiaodao_Place28	Pet_ExploreJournalText_10067
139	baby_115	Pet_Shangguxiaodao_Place29	Pet_ExploreJournalText_10068
140	baby_115	Pet_Shangguxiaodao_Place30	Pet_ExploreJournalText_10069
141	baby_135	Pet_Shangguxiaodao_Place26	Pet_ExploreJournalText_10070
142	baby_135	Pet_Shangguxiaodao_Place27	Pet_ExploreJournalText_10071
143	baby_135	Pet_Shangguxiaodao_Place28	Pet_ExploreJournalText_10072
144	baby_135	Pet_Shangguxiaodao_Place29	Pet_ExploreJournalText_10073
145	baby_135	Pet_Shangguxiaodao_Place30	Pet_ExploreJournalText_10074
146	baby_136	Pet_Shangguxiaodao_Place26	Pet_ExploreJournalText_10070
147	baby_136	Pet_Shangguxiaodao_Place27	Pet_ExploreJournalText_10071
148	baby_136	Pet_Shangguxiaodao_Place28	Pet_ExploreJournalText_10072
149	baby_136	Pet_Shangguxiaodao_Place29	Pet_ExploreJournalText_10073
150	baby_136	Pet_Shangguxiaodao_Place30	Pet_ExploreJournalText_10074
