编号	类型	分组标签	子标签	排序	是否公会新闻	标题	内容	图标	成就点	奖励	是否可追踪	是否可分享	追踪任务ID	引导行为类型	引导对象	引导场景	引导坐标	是否在成就中隐藏	跳转功能
1002004	4	1	2	4	1	AchievementName1002004	AchievementContent1002004	achbottom_twohorse01;achframe_hexagon07;ach1_growup01;achtop_mogendavid01	5	item1000,30000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	85
1002005	4	1	2	5	1	AchievementName1002005	AchievementContent1002005	achbottom_twohorse01;achframe_hexagon03;ach1_growup01;achtop_mogendavid01	5	item141000000051,1;item142000000003,1;item1000,30000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	85
1002006	4	1	2	6	1	AchievementName1002006	AchievementContent1002006	achbottom_twohorse01;achframe_hexagon02;ach1_growup01;achtop_mogendavid01	10	item1000,50000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	85
1002007	4	1	2	7	1	AchievementName1002007	AchievementContent1002007	achbottom_twohorse01;achframe_hexagon01;ach1_growup01;achtop_mogendavid01	10	item141000000052,1;item142000000004,1;item1000,50000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	0
1002008	4	1	2	8	1	AchievementName1002008	AchievementContent1002008	achbottom_twohorse01;achframe_hexagon08;ach1_growup01;achbottom_star01	10	item1000,50000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	86
1002009	4	1	2	9	1	AchievementName1002009	AchievementContent1002009	achbottom_twohorse01;achframe_hexagon04;ach1_growup01;achbottom_star01	10	item141000000262,1;item142000000033,1;item1000,50000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	0
1002010	4	1	2	10	1	AchievementName1002010	AchievementContent1002010	achbottom_twohorse01;achframe_hexagon06;ach1_growup01;achbottom_star01	10	item1000,50000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	87
1002011	4	1	2	11	1	AchievementName1002011	AchievementContent1002011	achbottom_twohorse01;achframe_hexagon07;ach1_growup01;achbottom_star01	10	item141000000263,1;item142000000034,1;item1000,50000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	0
1002012	4	1	2	11	1	AchievementName1002012	AchievementContent1002012	achbottom_twohorse01;achframe_hexagon08;ach1_growup01;achbottom_star01	20	item1000,100000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	0
1002013	4	1	2	11	1	AchievementName1002013	AchievementContent1002013	achbottom_twohorse01;achframe_hexagon03;ach1_growup01;achbottom_star01	20	item141000000692,1;item142000000045,1;item1000,100000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	0
1002014	4	1	2	11	1	AchievementName1002014	AchievementContent1002014	achbottom_twohorse01;achframe_hexagon02;ach1_growup01;achbottom_star01	20	item1000,100000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	0
1002015	4	1	2	11	1	AchievementName1002015	AchievementContent1002015	achbottom_twohorse01;achframe_hexagon01;ach1_growup01;achbottom_star01	20	item141000000693,1;item142000000046,1;item1000,100000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	0
1002016	4	1	2	12	1	AchievementName1002016	AchievementContent1002016	achbottom_twohorse01;achframe_hexagon07;ach1_growup01;achbottom_star01	20	item141000001446,1;item142000000082,1;item1000,100000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	0
1002017	4	1	2	13	1	AchievementName1002017	AchievementContent1002017	achbottom_twohorse01;achframe_hexagon08;ach1_growup01;achbottom_star01	20	item141000001447,1;item142000000083,1;item1000,100000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	0
1002018	4	1	2	14	1	AchievementName1002018	AchievementContent1002018	achbottom_twohorse01;achframe_hexagon03;ach1_growup01;achbottom_star01	20	item141000001448,1;item142000000084,3;item1000,200000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	0
1002019	4	1	2	15	1	AchievementName1002019	AchievementContent1002019	achbottom_twohorse01;achframe_hexagon02;ach1_growup01;achbottom_star01	20	item141000001449,1;item142000000085,3;item1000,200000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	0
1002020	4	1	2	16	1	AchievementName1002020	AchievementContent1002020	achbottom_twohorse01;achframe_hexagon01;ach1_growup01;achbottom_star01	20	item141000001450,1;item142000000086,5;item1000,500000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	0
1003011	1	2	1	1	1	AchievementName1003011	AchievementContent1003011	achframe_shield06;ach2_goliath01	1	item141000000039,1;item1000,5000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	25
1003012	1	2	1	2	1	AchievementName1003012	AchievementContent1003012	achframe_shield07;ach2_goliath01	3	item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	0
1003013	1	2	1	3	1	AchievementName1003013	AchievementContent1003013	achframe_shield03;ach2_goliath01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	0
1003111	1	2	2	1	1	AchievementName1003111	AchievementContent1003111	achframe_shield06;ach2_sara01	1	item141000000040,1;item1000,5000	0	1	0	5	LinkUI:DungeonInfoPanel;2	0		0	25
1003112	1	2	2	2	1	AchievementName1003112	AchievementContent1003112	achframe_shield07;ach2_sara01	3	item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;2	0		0	0
1003113	1	2	2	3	1	AchievementName1003113	AchievementContent1003113	achframe_shield03;ach2_sara01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;2	0		0	0
1003211	1	2	3	1	1	AchievementName1003211	AchievementContent1003211	achframe_shield06;ach2_comonk01	1	item141000000041,1;item1000,5000	0	1	0	5	LinkUI:DungeonInfoPanel;1	0		0	25
1003212	1	2	3	2	1	AchievementName1003212	AchievementContent1003212	achframe_shield07;ach2_comonk01	3	item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;1	0		0	0
1003213	1	2	3	3	1	AchievementName1003213	AchievementContent1003213	achframe_shield03;ach2_comonk01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;1	0		0	0
1003311	1	2	4	1	1	AchievementName1003311	AchievementContent1003311	achframe_shield06;ach2_antonini01	1	item141000000042,1;item1000,5000	0	1	0	5	LinkUI:DungeonInfoPanel;4	0		0	25
1003312	1	2	4	2	1	AchievementName1003312	AchievementContent1003312	achframe_shield07;ach2_antonini01	3	item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;4	0		0	0
1003313	1	2	4	3	1	AchievementName1003313	AchievementContent1003313	achframe_shield03;ach2_antonini01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;4	0		0	0
1003411	1	2	5	1	1	AchievementName1003411	AchievementContent1003411	achframe_shield06;ach2_julius01	1	item1000,5000	0	1	0	5	LinkUI:DungeonInfoPanel;5	0		0	25
1003412	1	2	5	2	1	AchievementName1003412	AchievementContent1003412	achframe_shield07;ach2_julius01	3	item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;5	0		0	0
1003413	1	2	5	3	1	AchievementName1003413	AchievementContent1003413	achframe_shield03;ach2_julius01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;5	0		0	0
1003511	1	2	6	1	1	AchievementName1003511	AchievementContent1003511	achframe_shield06;ach2_julius01	1	item1000,5000	0	1	0	5	LinkUI:DungeonInfoPanel;6	0		0	0
1003512	1	2	6	2	1	AchievementName1003512	AchievementContent1003512	achframe_shield07;ach2_julius01	3	item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;6	0		0	0
1003513	1	2	6	3	1	AchievementName1003513	AchievementContent1003513	achframe_shield03;ach2_julius01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;6	0		0	0
1003611	1	2	7	1	1	AchievementName1003611	AchievementContent1003611	achframe_shield06;ach2_julius01	1	item1000,5000	0	1	0	5	LinkUI:DungeonInfoPanel;7	0		0	0
1003612	1	2	7	2	1	AchievementName1003612	AchievementContent1003612	achframe_shield07;ach2_julius01	3	item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;7	0		0	0
1003613	1	2	7	3	1	AchievementName1003613	AchievementContent1003613	achframe_shield03;ach2_julius01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;7	0		0	0
1003901	1	2	8	1	1	AchievementName1003901	AchievementContent1003901	achframe_shield05;ach2_nightmare01	3	item141000000037,1;item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;100	0		0	26
1003911	1	2	8	2	1	AchievementName1003911	AchievementContent1003911	achframe_shield09;ach2_nightmare01	3	item141000000038,1;item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;101	0		0	26
1003921	1	2	8	3	1	AchievementName1003921	AchievementContent1003921	achframe_shield09;ach2_nightmare01	3	item141000000180,1;item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;102	0		0	26
1003922	1	2	8	4	1	AchievementName1003922	AchievementContent1003922	achframe_shield09;ach2_nightmare01	3	item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;102	0		0	26
1003931	1	2	8	5	1	AchievementName1003931	AchievementContent1003931	achframe_shield09;ach2_nightmare01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;102	0		0	26
1003932	1	2	8	6	1	AchievementName1003932	AchievementContent1003932	achframe_shield09;ach2_nightmare01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;102	0		0	26
1003941	1	2	8	7	1	AchievementName1003941	AchievementContent1003941	achframe_shield09;ach2_nightmare01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;102	0		0	26
1003942	1	2	8	8	1	AchievementName1003942	AchievementContent1003942	achframe_shield09;ach2_nightmare01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;102	0		0	26
1003951	1	2	8	9	1	AchievementName1003951	AchievementContent1003951	achframe_shield09;ach2_nightmare01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;102	0		0	26
1003952	1	2	8	10	1	AchievementName1003952	AchievementContent1003952	achframe_shield09;ach2_nightmare01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;102	0		0	26
1003961	1	2	8	11	1	AchievementName1003961	AchievementContent1003961	achframe_shield09;ach2_nightmare01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;102	0		0	26
1003962	1	2	8	12	1	AchievementName1003962	AchievementContent1003962	achframe_shield09;ach2_nightmare01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;102	0		0	26
1003701	1	2	9	1	1	AchievementName1003701	AchievementContent1003701	achframe_shield06;ach2_goliath01	1	item141000002128,1;item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	25
1003702	1	2	9	2	1	AchievementName1003702	AchievementContent1003702	achframe_shield03;ach2_goliath01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	0
1003703	1	2	9	3	1	AchievementName1003703	AchievementContent1003703	achframe_shield06;ach2_goliath01	1	item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	25
1003704	1	2	9	4	1	AchievementName1003704	AchievementContent1003704	achframe_shield03;ach2_goliath01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	0
1003711	1	2	9	5	1	AchievementName1003711	AchievementContent1003711	achframe_shield03;ach2_sara01	1	item141000002129,1;item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	25
1003712	1	2	9	6	1	AchievementName1003712	AchievementContent1003712	achframe_shield07;ach2_sara01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	0
1003713	1	2	9	7	1	AchievementName1003713	AchievementContent1003713	achframe_shield03;ach2_sara01	1	item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	25
1003714	1	2	9	8	1	AchievementName1003714	AchievementContent1003714	achframe_shield07;ach2_sara01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	0
1003721	1	2	9	9	1	AchievementName1003721	AchievementContent1003721	achframe_shield07;ach2_comonk01	1	item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	25
1003722	1	2	9	10	1	AchievementName1003722	AchievementContent1003722	achframe_shield03;ach2_comonk01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	0
1003723	1	2	9	11	1	AchievementName1003723	AchievementContent1003723	achframe_shield07;ach2_comonk01	1	item141000002132,1;item1000,10000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	25
1003724	1	2	9	12	1	AchievementName1003724	AchievementContent1003724	achframe_shield03;ach2_comonk01	5	item1000,30000	0	1	0	5	LinkUI:DungeonInfoPanel;3	0		0	0
1005001	5	3	1	1	0	AchievementName1005001	AchievementContent1005001	achframe_circle08;ach3_strengthen01	1	item1000,5000	0	1	0	5	LinkUI:StrengthenPanel	0		0	12
1005002	5	3	1	2	0	AchievementName1005002	AchievementContent1005002	achframe_circle04;ach3_strengthen01	1	item1000,5000	0	1	0	5	LinkUI:StrengthenPanel	0		0	0
1005003	5	3	1	3	1	AchievementName1005003	AchievementContent1005003	achframe_circle06;ach3_strengthen01	3	item1000,10000	0	1	0	5	LinkUI:StrengthenPanel	0		0	12
1005004	5	3	1	4	1	AchievementName1005004	AchievementContent1005004	achframe_circle07;ach3_strengthen01	3	item1000,10000	0	1	0	5	LinkUI:StrengthenPanel	0		0	0
1005005	5	3	1	5	1	AchievementName1005005	AchievementContent1005005	achframe_circle03;ach3_strengthen01	5	item1000,30000	0	1	0	5	LinkUI:StrengthenPanel	0		0	12
1006001	6	3	1	6	1	AchievementName1006001	AchievementContent1006001	achframe_circle02;ach3_strengthen01	3	item142000000006,1;item1000,10000	0	1	0	5	LinkUI:StrengthenPanel	0		0	12
1006002	6	3	1	7	1	AchievementName1006002	AchievementContent1006002	achframe_circle01;ach3_strengthen01	5	item142000000007,1;item1000,30000	0	1	0	5	LinkUI:StrengthenPanel	0		0	12
1006003	6	3	1	8	1	AchievementName1006003	AchievementContent1006003	achframe_circle09;ach3_strengthen01	10	item142000000008,1;item1000,50000	0	1	0	5	LinkUI:StrengthenPanel	0		0	0
1006004	6	3	1	9	1	AchievementName1006004	AchievementContent1006004	achframe_circle09;ach3_strengthen01	20	item1000,100000	0	1	0	5	LinkUI:StrengthenPanel	0		0	0
1006005	6	3	1	10	1	AchievementName1006005	AchievementContent1006005	achframe_circle09;ach3_strengthen01	20	item1000,100000	0	1	0	5	LinkUI:StrengthenPanel	0		0	0
1007001	7	3	2	1	0	AchievementName1007001	AchievementContent1007001	achframe_circle08;ach3_refine01	1	item1000,5000	0	1	0	5	LinkUI:StrengthenPanel;1	0		0	39
1007002	7	3	2	2	1	AchievementName1007002	AchievementContent1007002	achframe_circle04;ach3_refine01	1	item1000,5000	0	1	0	5	LinkUI:StrengthenPanel;1	0		0	39
1007003	7	3	2	3	1	AchievementName1007003	AchievementContent1007003	achframe_circle06;ach3_refine01	3	item1000,10000	0	1	0	5	LinkUI:StrengthenPanel;1	0		0	0
1008001	8	3	2	4	0	AchievementName1008001	AchievementContent1008001	achframe_circle02;ach3_refine01	3	item142000000009,1;item1000,10000	0	1	0	5	LinkUI:StrengthenPanel;1	0		0	39
1008002	8	3	2	5	1	AchievementName1008002	AchievementContent1008002	achframe_circle01;ach3_refine01	5	item142000000010,1;item1000,30000	0	1	0	5	LinkUI:StrengthenPanel;1	0		0	39
1008003	8	3	2	6	1	AchievementName1008003	AchievementContent1008003	achframe_circle09;ach3_refine01	20	item142000000011,1;item1000,100000	0	1	0	5	LinkUI:StrengthenPanel;1	0		0	0
1009001	9	3	3	1	0	AchievementName1009001	AchievementContent1009001	achframe_circle08;ach3_attachmagic01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1009002	9	3	3	2	0	AchievementName1009002	AchievementContent1009002	achframe_circle04;ach3_attachmagic01	3	item142000000012,1;item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1009003	9	3	3	3	0	AchievementName1009003	AchievementContent1009003	achframe_circle06;ach3_attachmagic01	3	item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1009004	9	3	3	4	1	AchievementName1009004	AchievementContent1009004	achframe_circle07;ach3_attachmagic01	5	item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1009005	9	3	3	5	1	AchievementName1009005	AchievementContent1009005	achframe_circle03;ach3_attachmagic01	5	item142000000013,1;item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1009006	9	3	3	6	0	AchievementName1009006	AchievementContent1009006	achframe_circle08;ach3_attachmagic01	3	item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	32
1009007	9	3	3	7	1	AchievementName1009007	AchievementContent1009007	achframe_circle04;ach3_attachmagic01	3	item142000000014,1;item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	32
1009008	9	3	3	8	1	AchievementName1009008	AchievementContent1009008	achframe_circle06;ach3_attachmagic01	5	item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1009009	9	3	3	9	1	AchievementName1009009	AchievementContent1009009	achframe_circle07;ach3_attachmagic01	5	item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1009010	9	3	3	10	1	AchievementName1009010	AchievementContent1009010	achframe_circle03;ach3_attachmagic01	10	item142000000015,1;item1000,50000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1009011	9	3	3	11	1	AchievementName1009011	AchievementContent1009011	achframe_circle08;ach3_attachmagic01	3	item141000000065,1;item142000000016,1;item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	32
1009012	9	3	3	12	1	AchievementName1009012	AchievementContent1009012	achframe_circle04;ach3_attachmagic01	3	item142000000017,1;item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1009013	9	3	3	13	1	AchievementName1009013	AchievementContent1009013	achframe_circle06;ach3_attachmagic01	5	item142000000018,1;item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1009014	9	3	3	14	1	AchievementName1009014	AchievementContent1009014	achframe_circle07;ach3_attachmagic01	10	item1000,50000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1009015	9	3	3	15	1	AchievementName1009015	AchievementContent1009015	achframe_circle03;ach3_attachmagic01	20	item1000,100000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1010001	10	3	4	1	0	AchievementName1010001	AchievementContent1010001	achframe_circle08;ach3_attachmagic01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1010002	10	3	4	2	0	AchievementName1010002	AchievementContent1010002	achframe_circle04;ach3_attachmagic01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1010003	10	3	4	3	0	AchievementName1010003	AchievementContent1010003	achframe_circle06;ach3_attachmagic01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1010004	10	3	4	4	1	AchievementName1010004	AchievementContent1010004	achframe_circle07;ach3_attachmagic01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1010005	10	3	4	5	1	AchievementName1010005	AchievementContent1010005	achframe_circle03;ach3_attachmagic01	3	item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	1
1011001	11	3	4	6	0	AchievementName1011001	AchievementContent1011001	achframe_hexagon06;ach3_forge01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	1
1011002	11	3	4	7	1	AchievementName1011002	AchievementContent1011002	achframe_hexagon07;ach3_forge01	3	item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	1
1011003	11	3	4	8	1	AchievementName1011003	AchievementContent1011003	achframe_hexagon03;ach3_forge01	5	item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	1
1011011	11	3	4	9	0	AchievementName1011011	AchievementContent1011011	achframe_hexagon06;ach3_forge01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011012	11	3	4	10	1	AchievementName1011012	AchievementContent1011012	achframe_hexagon07;ach3_forge01	3	item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011013	11	3	4	11	1	AchievementName1011013	AchievementContent1011013	achframe_hexagon03;ach3_forge01	5	item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011021	11	3	4	12	0	AchievementName1011021	AchievementContent1011021	achframe_hexagon06;ach3_forge01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011022	11	3	4	13	1	AchievementName1011022	AchievementContent1011022	achframe_hexagon07;ach3_forge01	3	item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011023	11	3	4	14	1	AchievementName1011023	AchievementContent1011023	achframe_hexagon03;ach3_forge01	5	item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011031	11	3	4	15	0	AchievementName1011031	AchievementContent1011031	achframe_hexagon06;ach3_forge01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011032	11	3	4	16	1	AchievementName1011032	AchievementContent1011032	achframe_hexagon07;ach3_forge01	3	item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011033	11	3	4	17	1	AchievementName1011033	AchievementContent1011033	achframe_hexagon03;ach3_forge01	5	item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011041	11	3	4	18	0	AchievementName1011041	AchievementContent1011041	achframe_hexagon06;ach3_forge01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011042	11	3	4	19	1	AchievementName1011042	AchievementContent1011042	achframe_hexagon07;ach3_forge01	3	item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011043	11	3	4	20	1	AchievementName1011043	AchievementContent1011043	achframe_hexagon03;ach3_forge01	5	item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011051	11	3	4	21	0	AchievementName1011051	AchievementContent1011051	achframe_hexagon06;ach3_forge01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011052	11	3	4	22	1	AchievementName1011052	AchievementContent1011052	achframe_hexagon07;ach3_forge01	3	item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011053	11	3	4	23	1	AchievementName1011053	AchievementContent1011053	achframe_hexagon03;ach3_forge01	5	item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011061	11	3	4	24	0	AchievementName1011061	AchievementContent1011061	achframe_hexagon06;ach3_forge01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011062	11	3	4	25	1	AchievementName1011062	AchievementContent1011062	achframe_hexagon07;ach3_forge01	3	item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011063	11	3	4	26	1	AchievementName1011063	AchievementContent1011063	achframe_hexagon03;ach3_forge01	5	item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011071	11	3	4	27	0	AchievementName1011071	AchievementContent1011071	achframe_hexagon06;ach3_forge01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011072	11	3	4	28	1	AchievementName1011072	AchievementContent1011072	achframe_hexagon07;ach3_forge01	3	item1000,10000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011073	11	3	4	29	1	AchievementName1011073	AchievementContent1011073	achframe_hexagon03;ach3_forge01	5	item1000,30000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
1011081	11	3	4	30	0	AchievementName1011081	AchievementContent1011081	achframe_hexagon06;ach3_forge01	1	item1000,5000	0	1	0	1	npc_forging_001	2	12.9, 0.0, -11.9	0	0
