流水	属性库id	共鸣属性id
498	412025	10159
499	412031	10130
500	412031	10131
501	412032	10130
502	412032	10131
503	412033	10136
504	412033	10137
505	412033	10138
506	412033	10139
507	412033	10140
508	412034	10151
509	412034	10228
510	412034	10229
511	412035	10151
512	412035	10228
513	412035	10229
514	413011	10130
515	413011	10131
516	413012	10130
517	413012	10131
518	413013	10136
519	413013	10137
520	413013	10138
521	413013	10139
522	413013	10140
523	413014	10151
524	413014	10161
525	413015	10151
526	413015	10161
527	413021	10134
528	413021	10135
529	413022	10134
530	413022	10135
531	413023	10146
532	413023	10147
533	413023	10148
534	413023	10149
535	413023	10150
536	413024	10153
537	413024	10163
538	413025	10153
539	413025	10163
540	421011	10165
541	421011	10166
542	421012	10165
543	421012	10166
544	421013	10171
545	421013	10172
546	421013	10173
547	421013	10174
548	421013	10175
549	421014	10186
550	421014	10189
551	421015	10186
552	421015	10189
553	421021	10165
554	421021	10166
555	421022	10165
556	421022	10166
557	421023	10171
558	421023	10172
559	421023	10173
560	421023	10174
561	421023	10175
562	421024	10186
563	421024	10191
564	421024	10192
565	421025	10186
566	421025	10191
567	421025	10192
568	422011	10167
569	422011	10168
570	422012	10167
571	422012	10168
572	422013	10176
573	422013	10177
574	422013	10178
575	422013	10179
576	422013	10180
577	422014	10187
578	422014	10193
579	422015	10187
580	422015	10193
581	422021	10169
582	422021	10170
583	422022	10169
584	422022	10170
585	422023	10181
586	422023	10182
587	422023	10183
588	422023	10184
589	422023	10185
590	422024	10188
591	422024	10194
592	422025	10188
593	422025	10194
594	423011	10165
595	423011	10166
596	423012	10165
597	423012	10166
598	423013	10171
599	423013	10172
600	423013	10173
601	423013	10174
602	423013	10175
603	423014	10186
604	423014	10195
605	423014	10196
606	423015	10186
607	423015	10195
608	423015	10196
609	423021	10167
610	423021	10168
611	423022	10167
612	423022	10168
613	423023	10176
614	423023	10177
615	423023	10178
616	423023	10179
617	423023	10180
618	423024	10187
619	423024	10197
620	423025	10187
621	423025	10197
622	431011	10199
623	431011	10200
624	431012	10199
625	431012	10200
626	431013	10205
627	431013	10206
628	431013	10207
629	431013	10208
630	431013	10209
631	431014	10220
632	431014	10223
633	431015	10220
634	431015	10223
635	432011	10201
636	432011	10202
637	432012	10201
638	432012	10202
639	432013	10210
640	432013	10211
641	432013	10212
642	432013	10213
643	432013	10214
644	432014	10221
645	432014	10224
646	432014	10225
647	432015	10221
648	432015	10224
649	432015	10225
650	433011	10203
651	433011	10204
652	433012	10203
653	433012	10204
654	433013	10215
655	433013	10216
656	433013	10217
657	433013	10218
658	433013	10219
659	433014	10222
660	433014	10226
661	433015	10222
662	433015	10226
663	421031	10230
664	421031	10231
665	421032	10232
666	421032	10233
667	421033	10234
668	421033	10235
669	421033	10236
670	421033	10237
671	421033	10238
672	421034	10239
673	421034	10240
674	421035	10239
675	421035	10240
676	422031	10241
677	422031	10242
678	422032	10243
679	422032	10244
680	422033	10245
681	422033	10246
682	422033	10247
683	422033	10248
684	422033	10249
685	422034	10250
686	422034	10251
687	422035	10250
688	422035	10251
689	423031	10252
690	423031	10253
691	423032	10254
692	423032	10255
693	423033	10256
694	423033	10257
695	423033	10258
696	423033	10259
697	423033	10260
698	423034	10261
699	423034	10262
700	423035	10261
701	423035	10262
702	431021	10263
703	431021	10264
704	431022	10265
705	431022	10266
706	431023	10267
707	431023	10268
708	431023	10269
709	431023	10270
710	431023	10271
711	431024	10272
712	431024	10273
713	431025	10272
714	431025	10273
715	431031	10274
716	431031	10275
717	431032	10276
718	431032	10277
719	431033	10278
720	431033	10279
721	431033	10280
722	431033	10281
723	431033	10282
724	431034	10283
725	431034	10284
726	431035	10283
727	431035	10284
728	432021	10285
729	432021	10286
730	432022	10287
731	432022	10288
732	432023	10289
733	432023	10290
734	432023	10291
735	432023	10292
736	432023	10293
737	432024	10294
738	432024	10295
739	432025	10294
740	432025	10295
741	432031	10296
742	432031	10297
743	432032	10298
744	432032	10299
745	432033	10300
746	432033	10301
747	432033	10302
748	432033	10303
749	432033	10304
750	432034	10305
751	432034	10306
752	432035	10305
753	432035	10306
754	432041	10307
755	432041	10308
756	432042	10309
757	432042	10310
758	432043	10311
759	432043	10312
760	432043	10313
761	432043	10314
762	432043	10315
763	432044	10316
764	432044	10317
765	432045	10316
766	432045	10317
767	433021	10318
768	433021	10319
769	433022	10320
770	433022	10321
771	433023	10322
772	433023	10323
773	433023	10324
774	433023	10325
775	433023	10326
776	433024	10327
777	433024	10328
778	433025	10327
779	433025	10328
780	433031	10329
781	433031	10330
782	433032	10331
783	433032	10332
784	433033	10333
785	433033	10334
786	433033	10335
787	433033	10336
788	433033	10337
789	433034	10338
790	433034	10339
791	433035	10338
792	433035	10339
793	433036	10340
794	433036	10341
795	433037	10342
796	433037	10343
797	433038	10344
798	433038	10345
799	433038	10346
800	433038	10347
801	433038	10348
802	433039	10349
803	433039	10350
804	433040	10349
805	433040	10350
806	433041	10351
807	433041	10352
808	433042	10353
809	433042	10354
810	433043	10355
811	433043	10356
812	433043	10357
813	433043	10358
814	433043	10359
815	433044	10360
816	433044	10361
817	433045	10360
818	433045	10361
819	433046	10362
820	433046	10363
821	433047	10364
822	433047	10365
823	433048	10366
824	433048	10367
825	433048	10368
826	433048	10369
827	433048	10370
828	433049	10371
829	433049	10372
830	433050	10371
831	433050	10372
832	433051	10373
833	433051	10374
834	433052	10375
835	433052	10376
836	433053	10377
837	433053	10378
838	433053	10379
839	433053	10380
840	433053	10381
841	433054	10382
842	433054	10383
843	433055	10382
844	433055	10383
845	433056	10384
846	433056	10385
847	433057	10386
848	433057	10387
849	433058	10388
850	433058	10389
851	433058	10390
852	433058	10391
853	433058	10392
854	433059	10393
855	433059	10394
856	433060	10393
857	433060	10394
858	433061	10395
859	433061	10396
860	433062	10397
861	433062	10398
862	433063	10399
863	433063	10400
864	433063	10401
865	433063	10402
866	433063	10403
867	433064	10404
868	433064	10405
869	433065	10404
870	433065	10405
871	433066	10406
872	433066	10407
873	433067	10408
874	433067	10409
875	433068	10410
876	433068	10411
877	433068	10412
878	433068	10413
879	433068	10414
880	433069	10415
881	433069	10416
882	433070	10417
883	433070	10418
884	433071	10419
885	433071	10420
886	433072	10421
887	433072	10422
888	433072	10423
889	433072	10424
890	433072	10425
891	433073	10426
892	433073	10427
893	433074	10426
894	433074	10427
895	433075	10428
896	433075	10429
897	433076	10430
898	433076	10431
899	433077	10432
900	433077	10433
901	433077	10434
902	433077	10435
903	433077	10436
904	433078	10437
905	433078	10438
906	433079	10437
907	433079	10438
908	433080	10439
909	433080	10440
910	433081	10441
911	433081	10442
912	433082	10443
913	433082	10444
914	433082	10445
915	433082	10446
916	433082	10447
917	433083	10448
918	433083	10449
919	433084	10448
920	433084	10449
921	433085	10450
922	433085	10451
923	433086	10452
924	433086	10453
925	433087	10454
926	433087	10455
927	433087	10456
928	433087	10457
929	433087	10458
930	433088	10459
931	433088	10460
932	433089	10459
933	433089	10460
934	433090	10461
935	433090	10462
936	433091	10463
937	433091	10464
938	433092	10465
939	433092	10466
940	433092	10467
941	433092	10468
942	433092	10469
943	433093	10470
944	433093	10471
945	433094	10470
946	433094	10471
947	433095	10472
948	433095	10473
949	433096	10474
950	433096	10475
951	433097	10476
952	433097	10477
953	433097	10478
954	433097	10479
955	433097	10480
956	433098	10481
957	433098	10482
958	433099	10481
959	433099	10482
960	433100	10483
961	433100	10484
962	433101	10485
963	433101	10486
964	433102	10487
965	433102	10488
966	433102	10489
967	433102	10490
968	433102	10491
969	433103	10492
970	433103	10493
971	433104	10492
972	433104	10493
973	433105	10494
974	433105	10495
975	433106	10496
976	433106	10497
977	433107	10498
978	433107	10499
979	433107	10500
980	433107	10501
981	433107	10502
982	433108	10503
983	433108	10504
984	433109	10503
985	433109	10504
986	433110	10505
987	433110	10506
988	433111	10507
989	433111	10508
990	433112	10509
991	433112	10510
992	433112	10511
993	433112	10512
994	433112	10513
995	433113	10514
996	433113	10515
997	433113	10516
998	433113	10517
999	433113	10518
1000	433113	10519
1001	433113	10520
1002	433113	10521
1003	433113	10522
1004	433113	10523
1005	433114	10514
1006	433114	10515
1007	433114	10516
1008	433114	10517
1009	433114	10518
1010	433114	10519
1011	433114	10520
1012	433114	10521
1013	433114	10522
1014	433114	10523
1015	433115	10524
1016	433115	10525
1017	433116	10526
1018	433116	10527
1019	433117	10528
1020	433117	10529
1021	433117	10530
1022	433117	10531
1023	433117	10532
1024	433118	10533
1025	433118	10534
1026	433119	10533
1027	433119	10534
1028	433120	10535
1029	433120	10536
1030	433121	10537
1031	433121	10538
1032	433122	10539
1033	433122	10540
1034	433122	10541
1035	433122	10542
1036	433122	10543
1037	433123	10544
1038	433123	10545
1039	433124	10544
1040	433124	10545
1041	433125	10546
1042	433125	10547
1043	433126	10548
1044	433126	10549
1045	433127	10550
1046	433127	10551
1047	433127	10552
1048	433127	10553
1049	433127	10554
1050	433128	10555
1051	433128	10556
1052	433129	10555
1053	433129	10556
1054	433130	10557
1055	433130	10558
1056	433131	10559
1057	433131	10560
1058	433132	10561
1059	433132	10562
1060	433132	10563
1061	433132	10564
1062	433132	10565
1063	433133	10566
1064	433133	10567
1065	433134	10566
1066	433134	10567
1067	433135	10568
1068	433135	10569
1069	433136	10570
1070	433136	10571
1071	433137	10572
1072	433137	10573
1073	433137	10574
1074	433137	10575
1075	433137	10576
1076	433138	10577
1077	433138	10578
1078	433139	10577
1079	433139	10578
1080	433140	10579
1081	433140	10580
1082	433141	10581
1083	433141	10582
1084	433142	10583
1085	433142	10584
1086	433142	10585
1087	433142	10586
1088	433142	10587
1089	433143	10588
1090	433143	10589
1091	433144	10588
1092	433144	10589
1093	433145	10590
1094	433145	10591
1095	433146	10592
1096	433146	10593
1097	433147	10594
1098	433147	10595
1099	433147	10596
1100	433147	10597
1101	433147	10598
1102	433148	10599
1103	433148	10600
1104	433148	10601
1105	433149	10599
1106	433149	10600
1107	433149	10601
1108	433150	10602
1109	433150	10603
1110	433151	10604
1111	433151	10605
1112	433152	10606
1113	433152	10607
1114	433152	10608
1115	433152	10609
1116	433152	10610
1117	433153	10611
1118	433153	10612
1119	433154	10611
1120	433154	10612
1121	433155	10613
1122	433155	10614
1123	433156	10615
1124	433156	10616
1125	433157	10617
1126	433157	10618
1127	433157	10619
1128	433157	10620
1129	433157	10621
1130	433158	10622
1131	433158	10623
1132	433159	10622
1133	433159	10623
1134	433160	10624
1135	433160	10625
1136	433161	10626
1137	433161	10627
1138	433162	10628
1139	433162	10629
1140	433162	10630
1141	433162	10631
1142	433162	10632
1143	433163	10633
1144	433163	10634
1145	433164	10633
1146	433164	10634
1147	433165	10635
1148	433166	10636
1149	433167	10637
1150	433168	10638
1151	433169	10639
1152	433170	10640
1153	433171	10641
1154	433172	10642
1155	433173	10643
1156	433174	10644
1157	433175	10645
1158	433176	10646
1159	433177	10647
1160	433178	10648
1161	433179	10649
1162	433180	10650
1163	433181	10651
1164	433182	10652
1165	433183	10653
1166	433184	10654
1167	433185	10655
1168	433186	10656
1169	433187	10657
1170	433188	10658
1171	433189	10659
1172	433190	10660
1173	433191	10661
1174	433192	10662
1175	433193	10663
1176	433194	10664
1177	433194	10665
1178	433195	10666
1179	433195	10667
1180	433196	10668
1181	433196	10669
1182	433196	10670
1183	433196	10671
1184	433196	10672
1185	433197	10673
1186	433197	10674
1187	433198	10673
1188	433198	10674
1189	433199	10675
1190	433199	10676
1191	433200	10677
1192	433200	10678
1193	433201	10679
1194	433201	10680
1195	433201	10681
1196	433201	10682
1197	433201	10683
1198	433202	10684
1199	433202	10685
1200	433203	10684
1201	433203	10685
1202	433204	10686
1203	433204	10687
1204	433205	10688
1205	433205	10689
1206	433206	10690
1207	433206	10691
1208	433206	10692
1209	433206	10693
1210	433206	10694
1211	433207	10695
1212	433207	10696
1213	433208	10695
1214	433208	10696
1215	433209	10697
1216	433209	10698
1217	433210	10699
1218	433210	10700
1219	433211	10701
1220	433211	10702
1221	433211	10703
1222	433211	10704
1223	433211	10705
1224	433212	10706
1225	433212	10707
1226	433213	10706
1227	433213	10707
1228	433214	10708
1229	433214	10709
1230	433215	10710
1231	433215	10711
1232	433216	10712
1233	433216	10713
1234	433216	10714
1235	433216	10715
1236	433216	10716
1237	433217	10717
1238	433217	10718
1239	433218	10717
1240	433218	10718
1241	433219	10719
1242	433219	10720
1243	433220	10721
1244	433220	10722
1245	433221	10723
1246	433221	10724
1247	433221	10725
1248	433221	10726
1249	433221	10727
1250	433222	10728
1251	433222	10729
1252	433223	10728
1253	433223	10729
1254	433224	10730
1255	433224	10731
1256	433225	10732
1257	433225	10733
1258	433226	10734
1259	433226	10735
1260	433226	10736
1261	433226	10737
1262	433226	10738
1263	433227	10739
1264	433227	10740
1265	433227	10741
1266	433227	10742
1267	433227	10743
1268	433227	10744
1269	433227	10745
1270	433227	10746
1271	433227	10747
1272	433227	10748
1273	433227	10749
1274	433227	10750
1275	433227	10751
1276	433227	10752
1277	433227	10753
1278	433227	10754
1279	433227	10755
1280	433227	10756
1281	433227	10757
1282	433227	10758
1283	433227	10759
1284	433227	10760
1285	433227	10761
1286	433227	10762
1287	433227	10763
1288	433227	10764
1289	433227	10765
1290	433227	10766
1291	433227	10767
1292	433227	10768
1293	433227	10769
1294	433227	10770
1295	433227	10771
1296	433227	10772
1297	433227	10773
1298	433227	10774
1299	433227	10775
1300	433227	10776
1301	433227	10777
1302	433227	10778
1303	433227	10779
1304	433227	10780
1305	433228	10781
1306	433228	10782
1307	433229	10783
1308	433229	10784
1309	433230	10785
1310	433230	10786
1311	433230	10787
1312	433230	10788
1313	433230	10789
1314	433231	10739
1315	433231	10740
1316	433231	10741
1317	433231	10742
1318	433231	10743
1319	433231	10744
1320	433231	10745
1321	433231	10746
1322	433231	10747
1323	433231	10748
1324	433231	10749
1325	433231	10750
1326	433231	10751
1327	433231	10752
1328	433231	10753
1329	433231	10754
1330	433231	10755
1331	433231	10756
1332	433231	10757
1333	433231	10758
1334	433231	10759
1335	433231	10760
1336	433231	10761
1337	433231	10762
1338	433231	10763
1339	433231	10764
1340	433231	10765
1341	433231	10766
1342	433231	10767
1343	433231	10768
1344	433231	10769
1345	433231	10770
1346	433231	10771
1347	433231	10772
1348	433231	10773
1349	433231	10774
1350	433231	10775
1351	433231	10776
1352	433231	10777
1353	433231	10778
1354	433231	10779
1355	433231	10780
1356	433232	10739
1357	433232	10740
1358	433232	10741
1359	433232	10742
1360	433232	10743
1361	433232	10744
1362	433232	10745
1363	433232	10746
1364	433232	10747
1365	433232	10748
1366	433232	10749
1367	433232	10750
1368	433232	10751
1369	433232	10752
1370	433232	10753
1371	433232	10754
1372	433232	10755
1373	433232	10756
1374	433232	10757
1375	433232	10758
1376	433232	10759
1377	433232	10760
1378	433232	10761
1379	433232	10762
1380	433232	10763
1381	433232	10764
1382	433232	10765
1383	433232	10766
1384	433232	10767
1385	433232	10768
1386	433232	10769
1387	433232	10770
1388	433232	10771
1389	433232	10772
1390	433232	10773
1391	433232	10774
1392	433232	10775
1393	433232	10776
1394	433232	10777
1395	433232	10778
1396	433232	10779
1397	433232	10780
1398	433233	10790
1399	433233	10791
1400	433234	10792
1401	433234	10793
1402	433235	10794
1403	433235	10795
1404	433235	10796
1405	433235	10797
1406	433235	10798
1407	433236	10799
1408	433236	10800
1409	433236	10801
1410	433236	10802
1411	433236	10803
1412	433236	10804
1413	433236	10805
1414	433236	10806
1415	433236	10807
1416	433236	10808
1417	433236	10809
1418	433236	10810
1419	433236	10811
1420	433236	10812
1421	433236	10813
1422	433236	10814
1423	433236	10815
1424	433236	10816
1425	433236	10817
1426	433236	10818
1427	433236	10819
1428	433236	10820
1429	433236	10821
1430	433236	10822
1431	433236	10823
1432	433236	10824
1433	433236	10825
1434	433236	10826
1435	433236	10827
1436	433236	10828
1437	433236	10829
1438	433236	10830
1439	433236	10831
1440	433236	10832
1441	433236	10833
1442	433236	10834
1443	433236	10835
1444	433236	10836
1445	433236	10837
1446	433236	10838
1447	433236	10839
1448	433236	10840
1449	433236	10841
1450	433236	10842
1451	433236	10843
1452	433236	10844
1453	433236	10845
1454	433236	10846
1455	433236	10847
1456	433236	10848
1457	433236	10849
1458	433236	10850
1459	433236	10851
1460	433236	10852
1461	433236	10853
1462	433236	10854
1463	433236	10855
1464	433236	10856
1465	433236	10857
1466	433236	10858
1467	433236	10859
1468	433236	10860
1469	433236	10861
1470	433236	10862
1471	433237	10799
1472	433237	10800
1473	433237	10801
1474	433237	10802
1475	433237	10803
1476	433237	10804
1477	433237	10805
1478	433237	10806
1479	433237	10807
1480	433237	10808
1481	433237	10809
1482	433237	10810
1483	433237	10811
1484	433237	10812
1485	433237	10813
1486	433237	10814
1487	433237	10815
1488	433237	10816
1489	433237	10817
1490	433237	10818
1491	433237	10819
1492	433237	10820
1493	433237	10821
1494	433237	10822
1495	433237	10823
1496	433237	10824
1497	433237	10825
1498	433237	10826
1499	433237	10827
1500	433237	10828
1501	433237	10829
1502	433237	10830
1503	433237	10831
1504	433237	10832
1505	433237	10833
1506	433237	10834
1507	433237	10835
1508	433237	10836
1509	433237	10837
1510	433237	10838
1511	433237	10839
1512	433237	10840
1513	433237	10841
1514	433237	10842
1515	433237	10843
1516	433237	10844
1517	433237	10845
1518	433237	10846
1519	433237	10847
1520	433237	10848
1521	433237	10849
1522	433237	10850
1523	433237	10851
1524	433237	10852
1525	433237	10853
1526	433237	10854
1527	433237	10855
1528	433237	10856
1529	433237	10857
1530	433237	10858
1531	433237	10859
1532	433237	10860
1533	433237	10861
1534	433237	10862
1535	433238	10863
1536	433238	10864
1537	433239	10865
1538	433239	10866
1539	433240	10867
1540	433240	10868
1541	433240	10869
1542	433240	10870
1543	433240	10871
1544	433241	10872
1545	433241	10873
1546	433241	10874
1547	433241	10875
1548	433241	10876
1549	433241	10877
1550	433241	10878
1551	433241	10879
1552	433241	10880
1553	433241	10881
1554	433241	10882
1555	433241	10883
1556	433241	10884
1557	433241	10885
1558	433241	10886
1559	433241	10887
1560	433241	10888
1561	433241	10889
1562	433241	10890
1563	433241	10891
1564	433241	10892
1565	433241	10893
1566	433241	10894
1567	433241	10895
1568	433241	10896
1569	433241	10897
1570	433241	10898
1571	433241	10899
1572	433241	10900
1573	433241	10901
1574	433241	10902
1575	433241	10903
1576	433241	10904
1577	433241	10905
1578	433241	10906
1579	433241	10907
1580	433241	10908
1581	433241	10909
1582	433241	10910
1583	433241	10911
1584	433241	10912
1585	433241	10913
1586	433241	10914
1587	433241	10915
1588	433241	10916
1589	433241	10917
1590	433241	10918
1591	433241	10919
1592	433241	10920
1593	433241	10921
1594	433241	10922
1595	433241	10923
1596	433241	10924
1597	433241	10925
1598	433241	10926
1599	433241	10927
1600	433241	10928
1601	433241	10929
1602	433241	10930
1603	433241	10931
1604	433241	10932
1605	433241	10933
1606	433242	10872
1607	433242	10873
1608	433242	10874
1609	433242	10875
1610	433242	10876
1611	433242	10877
1612	433242	10878
1613	433242	10879
1614	433242	10880
1615	433242	10881
1616	433242	10882
1617	433242	10883
1618	433242	10884
1619	433242	10885
1620	433242	10886
1621	433242	10887
1622	433242	10888
1623	433242	10889
1624	433242	10890
1625	433242	10891
1626	433242	10892
1627	433242	10893
1628	433242	10894
1629	433242	10895
1630	433242	10896
1631	433242	10897
1632	433242	10898
1633	433242	10899
1634	433242	10900
1635	433242	10901
1636	433242	10902
1637	433242	10903
1638	433242	10904
1639	433242	10905
1640	433242	10906
1641	433242	10907
1642	433242	10908
1643	433242	10909
1644	433242	10910
1645	433242	10911
1646	433242	10912
1647	433242	10913
1648	433242	10914
1649	433242	10915
1650	433242	10916
1651	433242	10917
1652	433242	10918
1653	433242	10919
1654	433242	10920
1655	433242	10921
1656	433242	10922
1657	433242	10923
1658	433242	10924
1659	433242	10925
1660	433242	10926
