流水	特拉然掉落库ID	随机目标ID	权重
157	209	715	0
158	209	120	0
159	209	210	7000
160	209	310	0
161	209	420	0
162	209	520	0
163	302	610	7000
164	302	611	3000
165	302	710	0
166	302	711	0
167	302	130	0
168	302	210	0
169	302	310	0
170	302	430	0
171	302	530	0
172	303	610	3000
173	303	611	3500
174	303	710	2000
175	303	711	1500
176	303	130	0
177	303	210	0
178	303	310	0
179	303	430	0
180	303	530	0
181	304	610	1500
182	304	611	1500
183	304	710	0
184	304	711	0
185	304	130	4000
186	304	210	0
187	304	310	0
188	304	430	1500
189	304	510	1500
190	305	610	0
191	305	611	0
192	305	710	2000
193	305	711	3000
194	305	130	0
195	305	210	5000
196	305	310	0
197	305	430	0
198	305	530	0
199	306	610	1000
200	306	611	2000
201	306	710	1000
202	306	711	2000
203	306	130	0
204	306	210	0
205	306	310	2000
206	306	430	1000
207	306	530	1000
208	307	610	2000
209	307	611	1000
210	307	710	2000
211	307	711	1000
212	307	130	0
213	307	210	0
214	307	310	2000
215	307	430	1000
216	307	530	1000
217	308	610	0
218	308	611	0
219	308	710	2500
220	308	711	2500
221	308	130	0
222	308	210	0
223	308	310	0
224	308	430	0
225	308	530	5000
226	309	610	0
227	309	611	0
228	309	710	0
229	309	711	0
230	309	130	5000
231	309	210	5000
232	309	310	0
233	309	430	0
234	309	530	0
235	1001	110	1000
236	1001	210	1000
237	1001	310	1000
238	1001	410	1000
239	1001	612	500
240	1001	613	500
241	1001	712	500
242	1001	713	500
243	1002	110	1000
244	1002	210	1000
245	1002	310	1000
246	1002	420	1000
247	1002	614	500
248	1002	615	500
249	1002	714	500
250	1002	715	500
251	1003	110	1000
252	1003	210	1000
253	1003	310	1000
254	1003	430	1000
255	1003	610	500
256	1003	611	500
257	1003	710	500
258	1003	711	500
259	1501	1521	1000
260	1501	1522	1000
261	1501	1523	1000
262	1501	1524	1000
263	1501	1525	1000
264	1501	1526	1000
265	1502	612	3000
266	1502	613	7000
267	1503	612	1000
268	1503	613	1000
269	1504	614	1000
270	1504	615	1000
271	1505	610	1000
272	1505	611	1000
273	1601	1527	1000
274	1601	1528	1000
275	1601	1529	1000
276	1601	1530	1000
277	1601	1531	1000
278	1601	1532	1000
279	1602	712	1000
280	1602	713	1000
281	1603	714	1000
282	1603	715	1000
283	1604	710	1000
284	1604	711	1000
285	1605	716	1000
286	1605	717	1000
287	1606	718	1000
288	1606	719	1000
289	1607	712	1000
290	1607	713	1000
291	1608	714	1000
292	1608	715	1000
293	1609	710	1000
294	1609	711	1000
295	1800	1	8500
296	1800	2	1000
297	1800	3	500
298	2101	item20000000000002	2500
299	2101	item20000000000001	2300
300	2101	item20000000000004	2200
301	2101	item20000000000003	1500
302	2101	item20000000000005	1000
303	2101	item20000000000008	500
304	2101	item20000000000006	0
305	2101	item20000000000007	0
306	2102	item20000000000002	2200
307	2102	item20000000000001	2000
308	2102	item20000000000004	2000
309	2102	item20000000000003	1900
310	2102	item20000000000005	1200
311	2102	item20000000000008	600
312	2102	item20000000000006	100
313	2102	item20000000000007	0
314	2103	item20000000000002	2000
315	2103	item20000000000001	2000
316	2103	item20000000000004	2000
317	2103	item20000000000003	1900
318	2103	item20000000000005	1200
319	2103	item20000000000008	600
320	2103	item20000000000006	200
321	2103	item20000000000007	100
322	2104	item20000000000002	1800
323	2104	item20000000000001	1800
324	2104	item20000000000004	2000
325	2104	item20000000000003	1900
326	2104	item20000000000005	1200
327	2104	item20000000000008	800
328	2104	item20000000000006	300
329	2104	item20000000000007	200
330	2105	item20000000000002	1500
331	2105	item20000000000001	1500
332	2105	item20000000000004	1800
333	2105	item20000000000003	1900
334	2105	item20000000000005	1200
335	2105	item20000000000008	1000
336	2105	item20000000000006	600
337	2105	item20000000000007	500
338	2106	item20000000000002	1200
339	2106	item20000000000001	1300
340	2106	item20000000000004	1500
341	2106	item20000000000003	1800
342	2106	item20000000000005	1400
343	2106	item20000000000008	1200
344	2106	item20000000000006	1000
345	2106	item20000000000007	600
346	2107	item20000000000002	800
347	2107	item20000000000001	1000
348	2107	item20000000000004	1200
349	2107	item20000000000003	1800
350	2107	item20000000000005	1600
351	2107	item20000000000008	1600
352	2107	item20000000000006	1200
353	2107	item20000000000007	800
354	2108	item20000000000002	500
355	2108	item20000000000001	800
356	2108	item20000000000004	1000
357	2108	item20000000000003	1700
358	2108	item20000000000005	1600
359	2108	item20000000000008	1800
360	2108	item20000000000006	1400
361	2109	item20000000000007	1200
362	2109	item20000000000002	0
363	2109	item20000000000001	300
364	2109	item20000000000004	800
365	2109	item20000000000003	1400
366	2109	item20000000000005	2200
367	2109	item20000000000008	2000
368	2109	item20000000000006	1800
369	2109	item20000000000007	1500
370	2110	item20000000000002	0
371	2110	item20000000000001	0
372	2110	item20000000000004	700
373	2110	item20000000000003	1000
374	2110	item20000000000005	1500
375	2110	item20000000000008	2500
376	2110	item20000000000006	2300
377	2110	item20000000000007	2000
378	3001	304	1000
379	3001	305	1000
380	3001	306	1000
381	3001	307	1000
382	3001	308	1000
383	3001	309	1000
384	3501	1001	1000
385	3501	1002	1000
386	3501	1003	1000
387	3501	1004	1000
388	3501	1005	1000
389	3501	1006	1000
390	3501	1007	1000
391	3501	1008	1000
392	3501	1009	1000
393	3501	1010	1000
394	3502	2001	1000
395	3502	2002	1000
396	3502	2003	1000
397	3502	2004	1000
398	3502	2005	1000
399	3502	2006	1000
400	3502	2007	1000
401	3502	2008	1000
402	3502	2009	1000
403	3502	2010	1000
404	3503	3001	1000
405	3503	3002	1000
406	3503	3003	1000
407	3503	3004	1000
408	3503	3005	1000
409	3503	3006	1000
410	3503	3007	1000
411	3503	3008	1000
412	3503	3009	1000
413	3503	3010	1000
414	100101	103	4000
415	100101	4	6000
416	100102	3	8000
417	100102	153	2000
418	100201	102	5000
419	100201	5	5000
420	100202	51	200
421	100202	1	6000
422	100202	101	3800
423	100203	103	4000
424	100203	102	3000
425	100203	105	3000
426	100204	104	5000
427	100204	54	5000
428	100301	2	8000
429	100301	151	2000
430	100302	153	2000
431	100302	152	4000
432	100302	54	4000
433	100303	105	5000
434	100303	52	5000
435	100304	104	5000
436	100304	5	5000
437	100401	51	200
438	100401	52	4000
439	100401	105	5800
440	100402	103	4000
441	100402	104	3000
442	100402	1	3000
443	100403	4	2500
444	100403	3	2500
445	100403	5	2500
446	100403	152	2500
447	100501	104	3000
448	100501	3	7000
449	100502	102	4000
450	100502	4	6000
451	100503	105	3000
452	100503	151	3000
453	100503	55	4000
454	100601	152	5000
455	100601	4	5000
456	100602	2	5000
457	100602	101	5000
458	100603	104	5000
459	100603	5	5000
460	100604	103	5000
461	100604	105	5000
462	100701	103	5000
463	100701	105	5000
464	100702	104	5000
465	100702	54	5000
466	100703	2	5000
467	100703	101	5000
468	100801	153	6000
469	100801	3	4000
470	100802	103	2000
471	100802	2	8000
472	100803	153	1000
473	100803	103	9000
474	100804	153	1000
475	100804	101	3000
476	100804	2	6000
477	100901	103	2400
478	100901	51	100
479	100901	1	3000
480	100901	54	500
481	100901	4	2500
482	100901	5	1500
483	100902	104	5000
484	100902	2	5000
485	100903	105	5000
486	100903	4	5000
487	101001	105	2000
488	101001	3	8000
489	101002	102	5000
490	101002	5	5000
491	101003	104	5000
492	101003	1	5000
493	200101	103	4000
494	200101	4	6000
495	200102	3	8000
496	200102	154	2000
497	200201	102	5000
498	200201	5	5000
499	200202	51	200
500	200202	1	6000
501	200202	101	3800
502	200203	103	4000
503	200203	102	3000
504	200203	106	3000
505	200204	104	5000
506	200204	54	5000
507	200301	2	8000
508	200301	151	2000
509	200302	154	2000
510	200302	152	4000
511	200302	54	4000
512	200303	106	5000
513	200303	52	5000
514	200304	104	5000
515	200304	5	5000
516	200401	51	200
517	200401	52	4000
518	200401	106	5800
519	200402	103	4000
520	200402	104	3000
521	200402	1	3000
522	200403	4	2500
523	200403	3	2500
524	200403	5	2500
525	200403	152	2500
526	200501	104	3000
527	200501	3	7000
528	200502	102	4000
529	200502	4	6000
530	200503	106	3000
531	200503	151	3000
532	200503	55	4000
533	200601	152	5000
534	200601	4	5000
535	200602	2	5000
536	200602	101	5000
537	200603	104	5000
538	200603	5	5000
539	200604	103	5000
540	200604	106	5000
541	200701	103	5000
542	200701	106	5000
543	200702	104	5000
544	200702	54	5000
545	200703	2	5000
546	200703	101	5000
547	200801	154	6000
548	200801	3	4000
549	200802	103	2000
550	200802	2	8000
551	200803	154	1000
552	200803	103	9000
553	200804	154	1000
554	200804	101	3000
555	200804	2	6000
556	200901	103	2400
557	200901	51	100
558	200901	1	3000
559	200901	54	500
560	200901	4	2500
561	200901	5	1500
562	200902	104	5000
563	200902	2	5000
564	200903	106	5000
565	200903	4	5000
566	201001	106	2000
567	201001	3	8000
568	201002	102	5000
569	201002	5	5000
570	201003	104	5000
571	201003	1	5000
572	300101	103	4000
573	300101	4	6000
574	300102	3	8000
575	300102	155	2000
576	300201	102	5000
577	300201	5	5000
578	300202	51	200
579	300202	1	6000
580	300202	101	3800
581	300203	103	4000
582	300203	102	3000
583	300203	107	3000
584	300204	104	5000
585	300204	54	5000
586	300301	2	8000
587	300301	151	2000
588	300302	155	2000
589	300302	152	4000
590	300302	54	4000
591	300303	107	5000
592	300303	52	5000
593	300304	104	5000
594	300304	5	5000
595	300401	51	200
596	300401	52	4000
597	300401	107	5800
598	300402	103	4000
599	300402	104	3000
600	300402	1	3000
601	300403	4	2500
602	300403	3	2500
603	300403	5	2500
604	300403	152	2500
605	300501	104	3000
606	300501	3	7000
607	300502	102	4000
608	300502	4	6000
609	300503	107	3000
610	300503	151	3000
611	300503	55	4000
612	300601	152	5000
613	300601	4	5000
614	300602	2	5000
615	300602	101	5000
616	300603	104	5000
617	300603	5	5000
618	300604	103	5000
619	300604	107	5000
620	300701	103	5000
621	300701	107	5000
622	300702	104	5000
623	300702	54	5000
624	300703	2	5000
625	300703	101	5000
626	300801	155	6000
627	300801	3	4000
628	300802	103	2000
629	300802	2	8000
630	300803	155	1000
631	300803	103	9000
632	300804	155	1000
633	300804	101	3000
634	300804	2	6000
635	300901	103	2400
636	300901	51	100
637	300901	1	3000
638	300901	54	500
639	300901	4	2500
640	300901	5	1500
641	300902	104	5000
642	300902	2	5000
643	300903	107	5000
644	300903	4	5000
645	301001	107	2000
646	301001	3	8000
647	301002	102	5000
648	301002	5	5000
649	301003	104	5000
650	301003	1	5000
