魔法属性编号	魔法属性名称	魔法属性描述	魔法属性品质	增加属性类型	属性ID	评分计算类型	评分计算参数	售卖价值参数	魔法属性指导价格天数系数	分解魔法属性获得魔法气息	公会圣器回收魔法属性
100018	MagicName_100018	MagicDes_100018	2	1	23	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100019	MagicName_100019	MagicDes_100019	2	1	24	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100020	MagicName_100020	MagicDes_100020	2	1	25	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100021	MagicName_100021	MagicDes_100021	2	1	26	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100022	MagicName_100022	MagicDes_100022	3	1	30	1	6	1,50000;2,100000;3,200000;4,400000;5,800000;6,1200000	1,1;31,0.8;61,0.6	1,item90000000123,1;2,item90000000123,2;3,item90000000123,4;4,item90000000123,8;5,item90000000123,16	1,240;2,360;3,480;4,600;5,720;6,840
100023	MagicName_100023	MagicDes_100023	3	1	31	1	6	1,50000;2,100000;3,200000;4,400000;5,800000;6,1200000	1,1;31,0.8;61,0.6	1,item90000000123,1;2,item90000000123,2;3,item90000000123,4;4,item90000000123,8;5,item90000000123,16	1,240;2,360;3,480;4,600;5,720;6,840
100024	MagicName_100024	MagicDes_100024	3	1	32	1	6	1,50000;2,100000;3,200000;4,400000;5,800000;6,1200000	1,1;31,0.8;61,0.6	1,item90000000123,1;2,item90000000123,2;3,item90000000123,4;4,item90000000123,8;5,item90000000123,16	1,240;2,360;3,480;4,600;5,720;6,840
100025	MagicName_100025	MagicDes_100025	3	1	33	1	6	1,50000;2,100000;3,200000;4,400000;5,800000;6,1200000	1,1;31,0.8;61,0.6	1,item90000000123,1;2,item90000000123,2;3,item90000000123,4;4,item90000000123,8;5,item90000000123,16	1,240;2,360;3,480;4,600;5,720;6,840
100026	MagicName_100026	MagicDes_100026	3	1	34	1	6	1,50000;2,100000;3,200000;4,400000;5,800000;6,1200000	1,1;31,0.8;61,0.6	1,item90000000123,1;2,item90000000123,2;3,item90000000123,4;4,item90000000123,8;5,item90000000123,16	1,240;2,360;3,480;4,600;5,720;6,840
100027	MagicName_100027	MagicDes_100027	3	1	35	1	6	1,50000;2,100000;3,200000;4,400000;5,800000;6,1200000	1,1;31,0.8;61,0.6	1,item90000000123,1;2,item90000000123,2;3,item90000000123,4;4,item90000000123,8;5,item90000000123,16	1,240;2,360;3,480;4,600;5,720;6,840
100028	MagicName_100028	MagicDes_100028	2	1	53	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100029	MagicName_100029	MagicDes_100029	2	1	54	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100030	MagicName_100030	MagicDes_100030	2	1	55	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100031	MagicName_100031	MagicDes_100031	2	1	56	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100032	MagicName_100032	MagicDes_100032	2	1	57	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100033	MagicName_100033	MagicDes_100033	2	1	58	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100034	MagicName_100034	MagicDes_100034	2	1	59	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100035	MagicName_100035	MagicDes_100035	2	1	60	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100036	MagicName_100036	MagicDes_100036	2	1	61	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100037	MagicName_100037	MagicDes_100037	2	1	62	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100038	MagicName_100038	MagicDes_100038	2	1	63	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100039	MagicName_100039	MagicDes_100039	2	1	64	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100040			4	2	0	0	0	1,6000000;2,7000000;3,10400000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100041			4	2	0	0	0	1,2000000;2,3000000;3,6400000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100042			4	2	0	0	0	1,6000000;2,7000000;3,10400000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100043			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100044			4	2	0	0	0	1,2000000;2,3000000;3,6400000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100045			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100046			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100047			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100048			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100049			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100050			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100051			4	2	0	0	0	1,6000000;2,7000000;3,10400000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100052			4	2	0	0	0	1,6000000;2,7000000;3,10400000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100053			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100054			4	2	0	0	0	1,3000000;2,3575000;3,8150000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100055			4	2	0	0	0	1,2000000;2,3000000;3,6400000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100056			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100057			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100058			4	2	0	0	0	1,6000000;2,7000000;3,10400000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100059			4	2	0	0	0	1,2000000;2,3000000;3,6400000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100060			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100061			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100062			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100063			4	2	0	0	0	1,3000000;2,3575000;3,8150000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100064			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100065			4	2	0	0	0	1,2000000;2,3000000;3,6400000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100066			4	2	0	0	0	1,2000000;2,3000000;3,6400000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100067			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100068	MagicName_100068	MagicDes_100068	4	1	85	1	10	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100069	MagicName_100069	MagicDes_100069	4	1	86	1	11	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100070			4	2	0	0	0	1,500000;2,1500000;3,4900000	1,1;31,1;61,1	1,item90000000123,20;2,item90000000123,43;3,item90000000123,126	1,600;2,1000;3,2000
100071			4	2	0	0	0	1,2000000;2,3000000;3,6400000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100072			4	2	0	0	0	1,2000000;2,3000000;3,6400000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100073			4	2	0	0	0	1,3000000;2,3575000;3,8150000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100074			4	2	0	0	0	1,3000000;2,3575000;3,8150000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100075			4	2	0	0	0	1,3000000;2,3575000;3,8150000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100076			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100077			4	2	0	0	0	1,6000000;2,6575000;3,14150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100078			4	2	0	0	0	1,3000000;2,3575000;3,8150000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100079			4	2	0	0	0	1,3000000;2,3575000;3,8150000	1,1;31,1;61,1	1,item90000000123,80;2,item90000000123,103;3,item90000000123,246	1,1200;2,1500;3,2500
100080			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100081			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100082			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100083			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100084			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100085			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100086			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100087			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100088			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100089			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100090			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100091			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100092			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100093			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100094			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100095			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
100096			4	2	0	0	0	1,8000000;2,8575000;3,18150000	1,1;31,1;61,1	1,item90000000123,240;2,item90000000123,263;3,item90000000123,566	1,1800;2,2000;3,3000
