ID	秘境场景ID	位置	播放背景音乐ID
172	1316	100	0
173	1316	125	0
174	1316	150	0
175	1316	175	0
176	1316	200	0
177	1316	225	0
178	1316	250	0
179	1316	275	0
180	1316	290	0
181	1317	25	0
182	1317	50	0
183	1317	75	0
184	1317	100	0
185	1317	125	0
186	1317	150	0
187	1317	175	0
188	1317	200	0
189	1317	225	0
190	1317	250	0
191	1317	275	0
192	1317	290	0
193	1318	25	0
194	1318	50	0
195	1318	75	0
196	1318	100	0
197	1318	125	0
198	1318	150	0
199	1318	175	0
200	1318	200	0
201	1318	225	0
202	1318	250	0
203	1318	275	0
204	1318	290	0
205	1319	25	0
206	1319	50	0
207	1319	75	0
208	1319	100	0
209	1319	125	0
210	1319	150	0
211	1319	175	0
212	1319	200	0
213	1319	225	0
214	1319	250	0
215	1319	275	0
216	1319	290	0
217	1320	8	0
218	1320	80	0
219	1321	25	0
220	1321	50	0
221	1321	75	0
222	1321	100	0
223	1321	125	0
224	1321	150	0
225	1321	175	0
226	1321	200	0
227	1321	225	0
228	1321	250	0
229	1321	275	0
230	1321	290	0
231	1322	25	0
232	1322	50	0
233	1322	75	0
234	1322	100	0
235	1322	125	0
236	1322	150	0
237	1322	175	0
238	1322	200	0
239	1322	225	0
240	1322	250	0
241	1322	275	0
242	1322	290	0
243	1323	25	0
244	1323	50	0
245	1323	75	0
246	1323	100	0
247	1323	125	0
248	1323	150	0
249	1323	175	0
250	1323	200	0
251	1323	225	0
252	1323	250	0
253	1323	275	0
254	1323	290	0
255	1324	25	0
256	1324	50	0
257	1324	75	0
258	1324	100	0
259	1324	125	0
260	1324	150	0
261	1324	175	0
262	1324	200	0
263	1324	225	0
264	1324	250	0
265	1324	275	0
266	1324	290	0
267	1325	5	0
268	1325	25	0
269	1325	45	0
270	1325	65	0
271	1325	85	0
272	1326	25	0
273	1326	50	0
274	1326	75	0
275	1326	100	0
276	1326	125	0
277	1326	150	0
278	1326	175	0
279	1326	200	0
280	1326	225	0
281	1326	250	0
282	1326	275	0
283	1326	290	0
284	1327	25	0
285	1327	50	0
286	1327	75	0
287	1327	100	0
288	1327	125	0
289	1327	150	0
290	1327	175	0
291	1327	200	0
292	1327	225	0
293	1327	250	0
294	1327	275	0
295	1327	290	0
296	1328	25	0
297	1328	50	0
298	1328	75	0
299	1328	100	0
300	1328	125	0
301	1328	150	0
302	1328	175	0
303	1328	200	0
304	1328	225	0
305	1328	250	0
306	1328	275	0
307	1328	290	0
308	1329	25	0
309	1329	50	0
310	1329	75	0
311	1329	100	0
312	1329	125	0
313	1329	150	0
314	1329	175	0
315	1329	200	0
316	1329	225	0
317	1329	250	0
318	1329	275	0
319	1329	290	0
320	1330	8	0
321	1330	80	0
322	1331	25	0
323	1331	50	0
324	1331	75	0
325	1331	100	0
326	1331	125	0
327	1331	150	0
328	1331	175	0
329	1331	200	0
330	1331	225	0
331	1331	250	0
332	1331	275	0
333	1331	290	0
334	1332	25	0
335	1332	50	0
336	1332	75	0
337	1332	100	0
338	1332	125	0
339	1332	150	0
340	1332	175	0
341	1332	200	0
342	1332	225	0
343	1332	250	0
344	1332	275	0
345	1332	290	0
346	1333	25	0
347	1333	50	0
348	1333	75	0
349	1333	100	0
350	1333	125	0
351	1333	150	0
352	1333	175	0
353	1333	200	0
354	1333	225	0
355	1333	250	0
356	1333	275	0
357	1333	290	0
358	1334	25	0
359	1334	50	0
360	1334	75	0
361	1334	100	0
362	1334	125	0
363	1334	150	0
364	1334	175	0
365	1334	200	0
366	1334	225	0
367	1334	250	0
368	1334	275	0
369	1334	290	0
370	1335	5	0
371	1335	25	0
372	1335	45	0
373	1335	65	0
374	1335	85	0
375	1336	25	0
376	1336	50	0
377	1336	75	0
378	1336	100	0
379	1336	125	0
380	1336	150	0
381	1336	175	0
382	1336	200	0
383	1336	225	0
384	1336	250	0
385	1336	275	0
386	1336	290	0
387	1337	25	0
388	1337	50	0
389	1337	75	0
390	1337	100	0
391	1337	125	0
392	1337	150	0
393	1337	175	0
394	1337	200	0
395	1337	225	0
396	1337	250	0
397	1337	275	0
398	1337	290	0
399	1338	25	0
400	1338	50	0
401	1338	75	0
402	1338	100	0
403	1338	125	0
404	1338	150	0
405	1338	175	0
406	1338	200	0
407	1338	225	0
408	1338	250	0
409	1338	275	0
410	1338	290	0
411	1339	25	0
412	1339	50	0
413	1339	75	0
414	1339	100	0
415	1339	125	0
416	1339	150	0
417	1339	175	0
418	1339	200	0
419	1339	225	0
420	1339	250	0
421	1339	275	0
422	1339	290	0
423	1340	5	0
424	1340	25	0
425	1340	45	0
426	1340	65	0
427	1340	85	0
428	1341	25	0
429	1341	50	0
430	1341	75	0
431	1341	100	0
432	1341	125	0
433	1341	150	0
434	1341	175	0
435	1341	200	0
436	1341	225	0
437	1341	250	0
438	1341	275	0
439	1341	290	0
440	1342	25	0
441	1342	50	0
442	1342	75	0
443	1342	100	0
444	1342	125	0
445	1342	150	0
446	1342	175	0
447	1342	200	0
448	1342	225	0
449	1342	250	0
450	1342	275	0
451	1342	290	0
452	1343	25	0
453	1343	50	0
454	1343	75	0
455	1343	100	0
456	1343	125	0
457	1343	150	0
458	1343	175	0
459	1343	200	0
460	1343	225	0
461	1343	250	0
462	1343	275	0
463	1343	290	0
464	1344	25	0
465	1344	50	0
466	1344	75	0
467	1344	100	0
468	1344	125	0
469	1344	150	0
470	1344	175	0
471	1344	200	0
472	1344	225	0
473	1344	250	0
474	1344	275	0
475	1344	290	0
476	1345	5	0
477	1345	25	0
478	1345	45	0
479	1345	65	0
480	1345	85	0
481	1401	50	0
482	1401	100	0
483	1401	150	0
484	1401	200	0
485	1401	250	0
486	1401	300	0
487	1401	350	0
488	1401	400	0
489	1401	450	0
490	1401	500	0
491	1401	550	0
492	1401	600	0
493	1401	650	0
494	1401	700	0
495	1401	750	0
496	1401	800	0
497	1401	850	0
498	1401	900	0
499	1401	950	0
500	1401	1000	0
501	1401	1050	0
502	1401	1100	0
503	1401	1150	0
504	1401	1200	0
505	1401	1250	0
506	1401	1300	0
507	1401	1350	0
508	1401	1400	0
509	1401	1450	0
510	1401	1500	0
511	1401	1550	0
512	1401	1600	0
513	1401	1650	0
514	1401	1700	0
515	1401	1750	0
516	1401	1800	0
517	1401	1850	0
518	1401	1900	0
519	1401	1950	0
520	1401	2000	0
521	1401	2050	0
522	1401	2100	0
523	1401	2150	0
524	1401	2200	0
525	1401	2250	0
526	1401	2300	0
527	1401	2350	0
528	1401	2400	0
529	1401	2450	0
530	1401	2500	0
531	1401	2550	0
532	1401	2600	0
533	1401	2650	0
534	1401	2700	0
535	1401	2750	0
536	1401	2800	0
537	1401	2850	0
538	1401	2900	0
539	1401	2950	0
540	1401	3000	0
541	1401	3050	0
542	1401	3100	0
543	1401	3150	0
544	1401	3200	0
545	1401	3250	0
546	1401	3300	0
547	1401	3350	0
548	1401	3400	0
549	1401	3450	0
550	1401	3500	0
551	1401	3550	0
552	1401	3600	0
553	1401	3650	0
554	1401	3700	0
555	1401	3750	0
556	1401	3800	0
557	1401	3850	0
558	1401	3900	0
559	1401	3950	0
560	1401	4000	0
561	1401	4050	0
562	1401	4100	0
563	1401	4150	0
564	1401	4200	0
565	1401	4250	0
566	1401	4300	0
567	1401	4350	0
568	1401	4400	0
569	1401	4450	0
570	1401	4500	0
571	1401	4550	0
572	1401	4600	0
573	1401	4650	0
574	1401	4700	0
575	1401	4750	0
576	1401	4800	0
577	1401	4850	0
578	1401	4900	0
579	1401	4950	0
580	1401	5000	0
581	1401	5001	0
582	1401	5100	0
583	1401	5150	0
584	1401	5200	0
585	1401	5250	0
586	1401	5300	0
587	1401	5350	0
588	1401	5400	0
589	1401	5450	0
590	1401	5500	0
591	1401	5550	0
592	1401	5600	0
593	1401	5650	0
594	1401	5700	0
595	1401	5750	0
596	1401	5800	0
597	1401	5850	0
598	1401	5900	0
599	1401	5950	0
600	1401	6000	0
601	1401	6050	0
602	1401	6100	0
603	1401	6150	0
604	1401	6200	0
605	1401	6250	0
606	1401	6300	0
607	1401	6350	0
608	1401	6400	0
609	1401	6450	0
610	1401	6500	0
611	1401	6550	0
612	1401	6600	0
613	1401	6650	0
614	1401	6700	0
615	1401	6750	0
616	1401	6800	0
617	1401	6850	0
618	1401	6900	0
619	1401	6950	0
620	1401	7000	0
621	1401	7050	0
622	1401	7100	0
623	1401	7150	0
624	1401	7200	0
625	1401	7250	0
626	1401	7300	0
627	1401	7350	0
628	1401	7400	0
629	1401	7450	0
630	1401	7500	0
631	1401	7550	0
632	1401	7600	0
633	1401	7650	0
634	1401	7700	0
635	1401	7750	0
636	1401	7800	0
637	1401	7850	0
638	1401	7900	0
639	1401	7950	0
640	1401	8000	0
641	1401	8050	0
642	1401	8100	0
643	1401	8150	0
644	1401	8200	0
645	1401	8250	0
646	1401	8300	0
647	1401	8350	0
648	1401	8400	0
649	1401	8450	0
650	1401	8500	0
651	1401	8550	0
652	1401	8600	0
653	1401	8650	0
654	1401	8700	0
655	1401	8750	0
656	1401	8800	0
657	1401	8850	0
658	1401	8900	0
659	1401	8950	0
660	1401	9000	0
661	1401	9050	0
662	1401	9100	0
663	1401	9150	0
664	1401	9200	0
665	1401	9250	0
666	1401	9300	0
667	1401	9350	0
668	1401	9400	0
669	1401	9450	0
670	1401	9500	0
671	1401	9550	0
672	1401	9600	0
673	1401	9650	0
674	1401	9700	0
675	1401	9750	0
676	1401	9800	0
677	1401	9850	0
678	1401	9900	0
679	1401	9950	0
680	1401	10000	0
681	1401	10001	0
682	1401	10050	0
683	1401	10150	0
684	1401	10200	0
685	1401	10250	0
686	1401	10300	0
687	1401	10350	0
688	1401	10400	0
689	1401	10450	0
690	1401	10500	0
691	1401	10550	0
692	1401	10600	0
693	1401	10650	0
694	1401	10700	0
695	1401	10750	0
696	1401	10800	0
697	1401	10850	0
698	1401	10900	0
699	1401	10950	0
700	1401	11000	0
701	1401	11050	0
702	1401	11100	0
703	1401	11150	0
704	1401	11200	0
705	1401	11250	0
706	1401	11300	0
707	1401	11350	0
708	1401	11400	0
709	1401	11450	0
710	1401	11500	0
711	1401	11550	0
712	1401	11600	0
713	1401	11650	0
714	1401	11700	0
715	1401	11750	0
716	1401	11800	0
717	1401	11850	0
718	1401	11900	0
719	1401	11950	0
720	1401	12000	0
721	1401	12050	0
722	1401	12100	0
723	1401	12150	0
724	1401	12200	0
725	1401	12250	0
726	1401	12300	0
727	1401	12350	0
728	1401	12400	0
729	1401	12450	0
730	1401	12500	0
731	1401	12550	0
732	1401	12600	0
733	1401	12650	0
734	1401	12700	0
735	1401	12750	0
736	1401	12800	0
737	1401	12850	0
738	1401	12900	0
739	1401	12950	0
740	1401	13000	0
741	1401	13050	0
742	1401	13100	0
743	1401	13150	0
744	1401	13200	0
745	1401	13250	0
746	1401	13300	0
747	1401	13350	0
748	1401	13400	0
749	1401	13450	0
750	1401	13500	0
751	1401	13550	0
752	1401	13600	0
753	1401	13650	0
754	1401	13700	0
755	1401	13750	0
756	1401	13800	0
757	1401	13850	0
758	1401	13900	0
759	1401	13950	0
760	1401	14000	0
761	1401	14050	0
762	1401	14100	0
763	1401	14150	0
764	1401	14200	0
765	1401	14250	0
766	1401	14300	0
767	1401	14350	0
768	1401	14400	0
769	1401	14450	0
770	1401	14500	0
771	1401	14550	0
772	1401	14600	0
773	1401	14650	0
774	1401	14700	0
775	1401	14750	0
776	1401	14800	0
777	1401	14850	0
778	1401	14900	0
779	1401	14950	0
780	1401	15000	0
781	1401	15001	0
782	1401	15050	0
783	1401	15100	0
784	1401	15150	0
785	1401	15200	0
786	1401	15250	0
787	1401	15300	0
788	1401	15350	0
789	1401	15400	0
790	1401	15450	0
791	1401	15500	0
792	1401	15550	0
793	1401	15600	0
794	1401	15650	0
795	1401	15700	0
796	1401	15750	0
797	1401	15800	0
798	1401	15850	0
799	1401	15900	0
800	1401	15950	0
801	1401	16000	0
802	1401	16050	0
803	1401	16100	0
804	1401	16150	0
805	1401	16200	0
806	1401	16250	0
807	1401	16300	0
808	1401	16350	0
809	1401	16450	0
810	1401	16500	0
811	1401	16550	0
812	1401	16600	0
813	1401	16650	0
814	1401	16700	0
815	1401	16750	0
816	1401	16800	0
817	1401	16850	0
818	1401	16900	0
819	1401	16950	0
820	1401	17000	0
821	1401	17050	0
822	1401	17100	0
823	1401	17150	0
824	1401	17200	0
825	1401	17250	0
826	1401	17300	0
827	1401	17350	0
828	1401	17400	0
829	1401	17450	0
830	1401	17500	0
831	1401	17550	0
832	1401	17600	0
833	1401	17650	0
834	1401	17700	0
835	1401	17750	0
836	1401	17800	0
837	1401	17850	0
838	1401	17900	0
839	1401	17950	0
840	1401	18000	0
841	1401	18050	0
842	1401	18100	0
843	1401	18150	0
844	1401	18200	0
845	1401	18250	0
846	1401	18300	0
847	1401	18350	0
848	1401	18400	0
849	1401	18450	0
850	1401	18500	0
851	1401	18550	0
852	1401	18600	0
853	1401	18650	0
854	1401	18700	0
855	1401	18750	0
856	1401	18800	0
857	1401	18850	0
858	1401	18900	0
859	1401	18950	0
860	1401	19000	0
861	1401	19050	0
862	1401	19100	0
863	1401	19150	0
864	1401	19200	0
865	1401	19250	0
866	1401	19300	0
867	1401	19350	0
868	1401	19400	0
869	1401	19450	0
870	1401	19500	0
871	1401	19550	0
872	1401	19600	0
873	1401	19650	0
874	1401	19700	0
875	1401	19750	0
876	1401	19800	0
877	1401	19850	0
878	1401	19900	0
879	1401	19950	0
880	1401	20000	0
881	1401	20001	0
882	1401	20050	0
883	1401	20100	0
884	1401	20150	0
885	1401	20200	0
886	1401	20250	0
887	1401	20300	0
888	1401	20350	0
889	1401	20400	0
890	1401	20450	0
891	1401	20500	0
892	1401	20550	0
893	1401	20600	0
894	1401	20650	0
895	1401	20700	0
896	1401	20750	0
897	1401	20800	0
898	1401	20850	0
899	1401	20900	0
900	1401	20950	0
901	1401	21000	0
902	1401	21050	0
903	1401	21100	0
904	1401	21150	0
905	1401	21200	0
906	1401	21250	0
907	1401	21300	0
908	1401	21350	0
909	1401	21400	0
910	1401	21450	0
911	1401	21500	0
912	1401	21550	0
913	1401	21600	0
914	1401	21650	0
915	1401	21700	0
916	1401	21750	0
917	1401	21800	0
918	1401	21850	0
919	1401	21900	0
920	1401	21950	0
921	1401	22000	0
922	1401	22050	0
923	1401	22100	0
924	1401	22150	0
925	1401	22200	0
926	1401	22250	0
927	1401	22300	0
928	1401	22350	0
929	1401	22400	0
930	1401	22450	0
931	1401	22500	0
932	1401	22550	0
933	1401	22600	0
934	1401	22650	0
935	1401	22750	0
936	1401	22800	0
937	1401	22850	0
938	1401	22900	0
939	1401	22950	0
940	1401	23000	0
941	1401	23050	0
942	1401	23100	0
943	1401	23150	0
944	1401	23200	0
945	1401	23250	0
946	1401	23300	0
947	1401	23350	0
948	1401	23400	0
949	1401	23450	0
950	1401	23500	0
951	1401	23550	0
952	1401	23600	0
953	1401	23650	0
954	1401	23700	0
955	1401	23750	0
956	1401	23800	0
957	1401	23850	0
958	1401	23900	0
959	1401	23950	0
960	1401	24000	0
961	1401	24050	0
962	1401	24100	0
963	1401	24150	0
964	1401	24200	0
965	1401	24250	0
966	1401	24300	0
967	1401	24350	0
968	1401	24400	0
969	1401	24450	0
970	1401	24500	0
971	1401	24550	0
972	1401	24600	0
973	1401	24650	0
974	1401	24700	0
975	1401	24750	0
976	1401	24800	0
977	1401	24850	0
978	1401	24900	0
979	1401	24950	0
980	1401	25000	0
981	1401	25001	0
982	1401	25050	0
983	1401	25100	0
984	1401	25150	0
985	1401	25200	0
986	1401	25250	0
987	1401	25300	0
988	1401	25350	0
989	1401	25400	0
990	1401	25450	0
991	1401	25500	0
992	1401	25550	0
993	1401	25600	0
994	1401	25650	0
995	1401	25700	0
996	1401	25750	0
997	1401	25800	0
998	1401	25850	0
999	1401	25900	0
1000	1401	25950	0
1001	1401	26000	0
1002	1401	26050	0
1003	1401	26100	0
1004	1401	26150	0
1005	1401	26200	0
1006	1401	26250	0
1007	1401	26300	0
1008	1401	26350	0
1009	1401	26400	0
1010	1401	26450	0
1011	1401	26500	0
1012	1401	26550	0
1013	1401	26600	0
1014	1401	26650	0
1015	1401	26700	0
1016	1401	26750	0
1017	1401	26800	0
1018	1401	26850	0
1019	1401	26900	0
1020	1401	26950	0
1021	1401	27000	0
1022	1401	27050	0
1023	1401	27100	0
1024	1401	27150	0
1025	1401	27200	0
1026	1401	27250	0
1027	1401	27300	0
1028	1401	27350	0
1029	1401	27400	0
1030	1401	27450	0
1031	1401	27500	0
1032	1401	27550	0
1033	1401	27600	0
1034	1401	27650	0
1035	1401	27700	0
1036	1401	27750	0
1037	1401	27800	0
1038	1401	27850	0
1039	1401	27900	0
1040	1401	27950	0
1041	1401	28000	0
1042	1401	28050	0
1043	1401	28100	0
1044	1401	28150	0
1045	1401	28200	0
1046	1401	28250	0
1047	1401	28300	0
1048	1401	28350	0
1049	1401	28400	0
1050	1401	28450	0
1051	1401	28500	0
1052	1401	28550	0
1053	1401	28600	0
1054	1401	28650	0
1055	1401	28700	0
1056	1401	28750	0
1057	1401	28800	0
1058	1401	28850	0
1059	1401	28900	0
1060	1401	28950	0
1061	1401	29000	0
1062	1401	29050	0
1063	1401	29100	0
1064	1401	29150	0
1065	1401	29200	0
1066	1401	29250	0
1067	1401	29300	0
1068	1401	29350	0
1069	1401	29400	0
1070	1401	29450	0
1071	1401	29500	0
1072	1401	29550	0
1073	1401	29600	0
1074	1401	29650	0
1075	1401	29700	0
1076	1401	29750	0
1077	1401	29800	0
1078	1401	29850	0
1079	1401	29900	0
1080	1401	29950	0
1081	1401	30000	0
1082	1401	30001	0
1083	1401	30050	0
1084	1401	30100	0
1085	1401	30150	0
1086	1401	30200	0
1087	1401	30250	0
1088	1401	30300	0
1089	1401	30350	0
1090	1401	30400	0
1091	1401	30450	0
1092	1401	30500	0
1093	1401	30550	0
1094	1401	30600	0
1095	1401	30650	0
1096	1401	30700	0
1097	1401	30750	0
1098	1401	30800	0
1099	1401	30850	0
1100	1401	30900	0
1101	1401	30950	0
1102	1401	31000	0
1103	1401	31050	0
1104	1401	31100	0
1105	1401	31150	0
1106	1401	31200	0
1107	1401	31250	0
1108	1401	31300	0
1109	1401	31350	0
1110	1401	31400	0
1111	1401	31450	0
1112	1401	31500	0
1113	1401	31550	0
1114	1401	31600	0
1115	1401	31650	0
1116	1401	31700	0
1117	1401	31750	0
1118	1401	31800	0
1119	1401	31850	0
1120	1401	31900	0
1121	1401	31950	0
1122	1401	32000	0
1123	1401	32050	0
1124	1401	32100	0
1125	1401	32150	0
1126	1401	32200	0
1127	1401	32250	0
1128	1401	32300	0
1129	1401	32350	0
1130	1401	32400	0
1131	1401	32450	0
1132	1401	32500	0
1133	1401	32550	0
1134	1401	32600	0
1135	1401	32650	0
1136	1401	32700	0
1137	1401	32750	0
1138	1401	32800	0
1139	1401	32850	0
1140	1401	32900	0
1141	1401	32950	0
1142	1401	33000	0
1143	1401	33050	0
1144	1401	33100	0
1145	1401	33150	0
1146	1401	33200	0
1147	1401	33250	0
1148	1401	33300	0
1149	1401	33350	0
1150	1401	33400	0
1151	1401	33450	0
1152	1401	33500	0
1153	1401	33550	0
1154	1401	33600	0
1155	1401	33650	0
1156	1401	33700	0
1157	1401	33750	0
1158	1401	33800	0
1159	1401	33850	0
1160	1401	33900	0
1161	1401	33950	0
1162	1401	34000	0
1163	1401	34050	0
1164	1401	34100	0
1165	1401	34150	0
1166	1401	34200	0
1167	1401	34250	0
1168	1401	34300	0
1169	1401	34350	0
1170	1401	34400	0
1171	1401	34450	0
1172	1401	34500	0
1173	1401	34550	0
1174	1401	34600	0
1175	1401	34650	0
1176	1401	34700	0
1177	1401	34750	0
1178	1401	34800	0
1179	1401	34850	0
1180	1401	34900	0
1181	1401	34950	0
1182	1401	34955	0
1183	1401	35001	0
1184	1401	35050	0
1185	1401	35100	0
1186	1401	35150	0
1187	1401	35200	0
1188	1401	35250	0
1189	1401	35300	0
1190	1401	35350	0
1191	1401	35400	0
1192	1401	35450	0
1193	1401	35500	0
1194	1401	35550	0
1195	1401	35600	0
1196	1401	35650	0
1197	1401	35700	0
1198	1401	35750	0
1199	1401	35800	0
1200	1401	35850	0
1201	1401	35900	0
1202	1401	35950	0
1203	1401	36000	0
1204	1401	36050	0
1205	1401	36100	0
1206	1401	36150	0
1207	1401	36200	0
1208	1401	36250	0
1209	1401	36300	0
1210	1401	36350	0
1211	1401	36400	0
1212	1401	36450	0
1213	1401	36500	0
1214	1401	36550	0
1215	1401	36600	0
1216	1401	36650	0
1217	1401	36700	0
1218	1401	36750	0
1219	1401	36800	0
1220	1401	36850	0
1221	1401	36900	0
1222	1401	36950	0
1223	1401	37000	0
1224	1401	37050	0
1225	1401	37100	0
1226	1401	37150	0
1227	1401	37200	0
1228	1401	37250	0
1229	1401	37300	0
1230	1401	37350	0
1231	1401	37400	0
1232	1401	37450	0
1233	1401	37500	0
1234	1401	37550	0
1235	1401	37600	0
1236	1401	37650	0
1237	1401	37700	0
1238	1401	37750	0
1239	1401	37800	0
1240	1401	37850	0
1241	1401	37900	0
1242	1401	37950	0
1243	1401	38000	0
1244	1401	38050	0
1245	1401	38100	0
1246	1401	38150	0
1247	1401	38200	0
1248	1401	38250	0
1249	1401	38300	0
1250	1401	38350	0
1251	1401	38400	0
1252	1401	38450	0
1253	1401	38500	0
1254	1401	38550	0
1255	1401	38600	0
1256	1401	38650	0
1257	1401	38700	0
1258	1401	38750	0
1259	1401	38800	0
1260	1401	38850	0
1261	1401	38900	0
1262	1401	38950	0
1263	1401	39000	0
1264	1401	39050	0
1265	1401	39100	0
1266	1401	39150	0
1267	1401	39200	0
1268	1401	39250	0
1269	1401	39300	0
1270	1401	39350	0
1271	1401	39400	0
1272	1401	39450	0
1273	1401	39500	0
1274	1401	39550	0
1275	1401	39600	0
1276	1401	39650	0
1277	1401	39700	0
1278	1401	39750	0
1279	1401	39800	0
1280	1401	39850	0
1281	1401	39900	0
1282	1401	39950	0
1283	1401	40000	0
1284	1401	40001	0
1285	1401	40050	0
1286	1401	40100	0
1287	1401	40150	0
1288	1401	40200	0
1289	1401	40250	0
1290	1401	40300	0
1291	1401	40350	0
1292	1401	40400	0
1293	1401	40450	0
1294	1401	40500	0
1295	1401	40550	0
1296	1401	40600	0
1297	1401	40650	0
1298	1401	40700	0
1299	1401	40750	0
1300	1401	40800	0
1301	1401	40850	0
1302	1401	40900	0
1303	1401	40950	0
1304	1401	41000	0
1305	1401	41050	0
1306	1401	41100	0
1307	1401	41150	0
1308	1401	41200	0
1309	1401	41250	0
1310	1401	41300	0
1311	1401	41350	0
1312	1401	41400	0
1313	1401	41450	0
1314	1401	41500	0
1315	1401	41550	0
1316	1401	41600	0
1317	1401	41650	0
1318	1401	41700	0
1319	1401	41750	0
1320	1401	41800	0
1321	1401	41850	0
1322	1401	41900	0
1323	1401	41950	0
1324	1401	42000	0
1325	1401	42050	0
1326	1401	42100	0
1327	1401	42150	0
1328	1401	42200	0
1329	1401	42250	0
1330	1401	42300	0
1331	1401	42350	0
1332	1401	42400	0
1333	1401	42450	0
1334	1401	42500	0
1335	1401	42550	0
1336	1401	42600	0
1337	1401	42650	0
1338	1401	42700	0
1339	1401	42750	0
1340	1401	42800	0
1341	1401	42850	0
1342	1401	42900	0
1343	1401	42950	0
1344	1401	43000	0
1345	1401	43050	0
1346	1401	43100	0
1347	1401	43150	0
1348	1401	43200	0
1349	1401	43250	0
1350	1401	43300	0
1351	1401	43350	0
1352	1401	43400	0
1353	1401	43450	0
1354	1401	43500	0
1355	1401	43550	0
1356	1401	43600	0
1357	1401	43650	0
1358	1401	43700	0
1359	1401	43750	0
1360	1401	43800	0
1361	1401	43850	0
1362	1401	43900	0
1363	1401	43950	0
1364	1401	44000	0
1365	1401	44050	0
1366	1401	44100	0
1367	1401	44150	0
1368	1401	44200	0
1369	1401	44250	0
1370	1401	44300	0
1371	1401	44350	0
1372	1401	44400	0
1373	1401	44450	0
1374	1401	44500	0
1375	1401	44550	0
1376	1401	44600	0
1377	1401	44650	0
1378	1401	44700	0
1379	1401	44750	0
1380	1401	44800	0
1381	1401	44850	0
1382	1401	44900	0
1383	1401	44950	0
1384	1401	45000	0
1385	1401	45001	0
1386	1401	45050	0
1387	1401	45100	0
1388	1401	45150	0
1389	1401	45200	0
1390	1401	45250	0
1391	1401	45300	0
1392	1401	45350	0
1393	1401	45400	0
1394	1401	45450	0
1395	1401	45500	0
1396	1401	45550	0
1397	1401	45600	0
1398	1401	45650	0
1399	1401	45700	0
1400	1401	45750	0
1401	1401	45800	0
1402	1401	45850	0
