序号	功能组	组内ID	名字	图标	等级下限	等级上限	评分列表	推荐评分	评分类型	跳转UILink	功能ID
19	3	9	GrowupGroupName3	item_90000000002	70	79	0;6682;13364;20046;26729;34747;48112	26729	1	LinkUI:StrengthenPanel;2	7
20	3	10	GrowupGroupName3	item_90000000002	80	89	0;9455;18910;28365;37821;47276;68077	37821	1	LinkUI:StrengthenPanel;2	7
21	3	11	GrowupGroupName3	item_90000000002	90	999	0;10133;20267;30401;40535;50668;72963	40535	1	LinkUI:StrengthenPanel;2	7
22	4	1	GrowupGroupName4	item_103010121006	10	19	0;100;200;300;400;640;800	400	2	LinkUI:StrengthenPanel	12
23	4	2	GrowupGroupName4	item_103010121006	20	29	0;200;400;600;800;1280;1600	800	2	LinkUI:StrengthenPanel	12
24	4	3	GrowupGroupName4	item_103010121006	30	34	0;300;600;900;1200;1920;2400	1200	2	LinkUI:StrengthenPanel	12
25	4	4	GrowupGroupName4	item_103010121006	35	39	0;450;900;1350;1800;2880;3600	1800	2	LinkUI:StrengthenPanel	12
26	4	5	GrowupGroupName4	item_103010121006	40	49	0;625;1250;1875;2500;3500;4500	2500	2	LinkUI:StrengthenPanel	12
27	4	6	GrowupGroupName4	item_103010121006	50	54	0;1005;2011;3017;4023;5632;7241	4023	2	LinkUI:StrengthenPanel	12
28	4	7	GrowupGroupName4	item_103010121006	55	59	0;1425;2850;4275;5700;7980;10260	5700	2	LinkUI:StrengthenPanel	12
29	4	8	GrowupGroupName4	item_103010121006	60	69	0;1770;3540;5310;7080;9204;12744	7080	2	LinkUI:StrengthenPanel	12
30	4	9	GrowupGroupName4	item_103010121006	70	79	0;2347;4695;7042;9390;12207;16902	9390	2	LinkUI:StrengthenPanel	12
31	4	10	GrowupGroupName4	item_103010121006	80	89	0;2815;5630;8445;11260;14075;20268	11260	2	LinkUI:StrengthenPanel	12
32	4	11	GrowupGroupName4	item_103010121006	90	999	0;3347;6695;10042;13390;16737;24102	13390	2	LinkUI:StrengthenPanel	12
33	5	1	GrowupGroupName5	item_103010111020	40	49	0;595;1190;1785;2381;3333;4285	2381	3	LinkUI:StrengthenPanel;1	39
34	5	2	GrowupGroupName5	item_103010111020	50	54	0;1190;2381;3572;4763;6668;8573	4763	3	LinkUI:StrengthenPanel;1	39
35	5	3	GrowupGroupName5	item_103010111020	55	59	0;1916;3833;5750;7667;10733;13800	7667	3	LinkUI:StrengthenPanel;1	39
36	5	4	GrowupGroupName5	item_103010111020	60	69	0;3014;6028;9042;12057;15674;21702	12057	3	LinkUI:StrengthenPanel;1	39
37	5	5	GrowupGroupName5	item_103010111020	70	79	0;3367;6734;10101;13468;17508;24242	13468	3	LinkUI:StrengthenPanel;1	39
38	5	6	GrowupGroupName5	item_103010111020	80	89	0;3910;7821;11732;15643;19553;28157	15643	3	LinkUI:StrengthenPanel;1	39
39	5	7	GrowupGroupName5	item_103010111020	90	999	0;4387;8774;13161;17548;21935;31586	17548	3	LinkUI:StrengthenPanel;1	39
40	6	1	GrowupGroupName6	item_103010139013	35	39	0;50;100;150;200;320;400	200	22	LinkUI:StrengthenPanel;5	124
41	6	2	GrowupGroupName6	item_103010139013	40	49	0;150;300;450;600;840;1080	600	22	LinkUI:StrengthenPanel;5	124
42	6	3	GrowupGroupName6	item_103010139013	50	54	0;250;500;750;1000;1400;1800	1000	22	LinkUI:StrengthenPanel;5	124
43	6	4	GrowupGroupName6	item_103010139013	55	59	0;500;1000;1500;2000;2800;3600	2000	22	LinkUI:StrengthenPanel;5	124
44	6	5	GrowupGroupName6	item_103010139013	60	69	0;1000;2000;3000;4000;5200;7200	4000	22	LinkUI:StrengthenPanel;5	124
45	6	6	GrowupGroupName6	item_103010139013	70	79	0;1250;2500;3750;5000;6500;9000	5000	22	LinkUI:StrengthenPanel;5	124
46	6	7	GrowupGroupName6	item_103010139013	80	89	0;2000;4000;6000;8000;10000;14400	8000	22	LinkUI:StrengthenPanel;5	124
47	6	8	GrowupGroupName6	item_103010139013	90	999	0;2000;4000;6000;8000;10000;14400	8000	22	LinkUI:StrengthenPanel;5	124
48	7	1	GrowupGroupName7	item_107999900003	10	29	0;500;1000;1500;2000;3200;4000	2000	4	LinkUI:BagPanel;OpenSoulStone	7
49	7	2	GrowupGroupName7	item_107999900003	30	39	0;850;1700;2550;3400;5440;6800	3400	4	LinkUI:BagPanel;OpenSoulStone	7
50	7	3	GrowupGroupName7	item_107999900003	40	49	0;1300;2600;3900;5200;7280;9360	5200	4	LinkUI:BagPanel;OpenSoulStone	7
51	7	4	GrowupGroupName7	item_107999900003	50	54	0;2625;5250;7875;10500;14700;18900	10500	4	LinkUI:BagPanel;OpenSoulStone	7
52	7	5	GrowupGroupName7	item_107999900003	55	59	0;3375;6750;10125;13500;18900;24300	13500	4	LinkUI:BagPanel;OpenSoulStone	7
53	7	6	GrowupGroupName7	item_107999900003	60	69	0;5375;10750;16125;21500;27950;38700	21500	4	LinkUI:BagPanel;OpenSoulStone	7
54	7	7	GrowupGroupName7	item_107999900003	70	79	0;6900;13800;20700;27600;35880;49680	27600	4	LinkUI:BagPanel;OpenSoulStone	7
55	7	8	GrowupGroupName7	item_107999900003	80	89	0;8000;16000;24000;32000;40000;57600	32000	4	LinkUI:BagPanel;OpenSoulStone	7
56	7	9	GrowupGroupName7	item_107999900003	90	999	0;9324;18648;27972;37296;46620;67132	37296	4	LinkUI:BagPanel;OpenSoulStone	7
57	8	1	GrowupGroupName8	soldier903_portrait01	30	39	0;625;1250;1875;2500;4000;5000	2400	19	LinkUI:MercenaryPanel	169
58	8	2	GrowupGroupName8	soldier903_portrait01	40	49	0;1200;2400;3600;4800;6720;8640	4536	19	LinkUI:MercenaryPanel	169
59	8	3	GrowupGroupName8	soldier903_portrait01	50	54	0;1950;3900;5850;7800;10920;14040	7673	19	LinkUI:MercenaryPanel	169
60	8	4	GrowupGroupName8	soldier903_portrait01	55	59	0;3250;6500;9750;13000;18200;23400	12576	19	LinkUI:MercenaryPanel	169
61	8	5	GrowupGroupName8	soldier903_portrait01	60	69	0;5250;10500;15750;21000;27300;37800	19650	19	LinkUI:MercenaryPanel	169
62	8	6	GrowupGroupName8	soldier903_portrait01	70	79	0;6500;13000;19500;26000;33800;46800	25000	19	LinkUI:MercenaryPanel	169
63	8	7	GrowupGroupName8	soldier903_portrait01	80	89	0;8000;16000;24000;32000;40000;57600	29960	19	LinkUI:MercenaryPanel	169
64	8	8	GrowupGroupName8	soldier903_portrait01	90	999	0;8750;17500;26250;35000;43750;63000	32401	19	LinkUI:MercenaryPanel	169
65	9	1	GrowupGroupName9	item_2130000000000	30	39	0;225;450;675;900;1440;1800	900	5	ClickNpc:2;npc_forging_002	32
66	9	2	GrowupGroupName9	item_2130000000000	40	49	0;412;825;1237;1650;2310;2970	1650	5	ClickNpc:2;npc_forging_002	32
67	9	3	GrowupGroupName9	item_2130000000000	50	54	0;1237;2475;3712;4950;6930;8910	4950	5	ClickNpc:2;npc_forging_002	32
68	9	4	GrowupGroupName9	item_2130000000000	55	59	0;1625;3250;4875;6500;9100;11700	6500	5	ClickNpc:2;npc_forging_002	32
69	9	5	GrowupGroupName9	item_2130000000000	60	69	0;2375;4750;7125;9500;12350;17100	9500	5	ClickNpc:2;npc_forging_002	32
70	9	6	GrowupGroupName9	item_2130000000000	70	79	0;3500;7000;10500;14000;18200;25200	14000	5	ClickNpc:2;npc_forging_002	32
71	9	7	GrowupGroupName9	item_2130000000000	80	89	0;4500;9000;13500;18000;22500;32400	18000	5	ClickNpc:2;npc_forging_002	32
72	9	8	GrowupGroupName9	item_2130000000000	90	999	0;5242;10485;15727;20970;26212;37746	20970	5	ClickNpc:2;npc_forging_002	32
73	10	1	GrowupGroupName10	item_100000000003	27	29	0;225;450;675;900;1440;1800	900	6	LinkUI:GuildTrainPanel	66
74	10	2	GrowupGroupName10	item_100000000003	30	39	0;300;600;900;1200;1920;2400	1200	6	LinkUI:GuildTrainPanel	66
75	10	3	GrowupGroupName10	item_100000000003	40	49	0;450;900;1350;1800;2520;3240	1800	6	LinkUI:GuildTrainPanel	66
76	10	4	GrowupGroupName10	item_100000000003	50	54	0;600;1200;1800;2400;3360;4320	2400	6	LinkUI:GuildTrainPanel	66
77	10	5	GrowupGroupName10	item_100000000003	55	59	0;1400;2800;4200;5600;7840;10080	5600	6	LinkUI:GuildTrainPanel	66
78	10	6	GrowupGroupName10	item_100000000003	60	69	0;1750;3500;5250;7000;9100;12600	7000	6	LinkUI:GuildTrainPanel	66
79	10	7	GrowupGroupName10	item_100000000003	70	79	0;2000;4000;6000;8000;10400;14400	8000	6	LinkUI:GuildTrainPanel	66
80	10	8	GrowupGroupName10	item_100000000003	80	89	0;2500;5000;7500;10000;12500;18000	10000	6	LinkUI:GuildTrainPanel	66
81	10	9	GrowupGroupName10	item_100000000003	90	999	0;2929;5859;8788;11718;14647;21092	11718	6	LinkUI:GuildTrainPanel	66
82	11	1	GrowupGroupName11	bg_egg5	10	29	0;500;1000;1500;2000;3200;4000	2000	7	LinkUI:PetPanel	37
83	11	2	GrowupGroupName11	bg_egg5	30	39	0;900;1800;2700;3600;5760;7200	3600	7	LinkUI:PetPanel	37
84	11	3	GrowupGroupName11	bg_egg5	40	49	0;1080;2160;3240;4320;6048;7776	4320	7	LinkUI:PetPanel	37
85	11	4	GrowupGroupName11	bg_egg5	50	54	0;1919;3839;5759;7679;10750;13822	7679	7	LinkUI:PetPanel	37
86	11	5	GrowupGroupName11	bg_egg5	55	59	0;3098;6197;9295;12394;17351;22309	12394	7	LinkUI:PetPanel	37
87	11	6	GrowupGroupName11	bg_egg5	60	69	0;5011;10022;15033;20045;26058;36081	20045	7	LinkUI:PetPanel	37
88	11	7	GrowupGroupName11	bg_egg5	70	79	0;8885;17771;26657;35543;46205;63977	35543	7	LinkUI:PetPanel	37
89	11	8	GrowupGroupName11	bg_egg5	80	89	0;12864;25728;38592;51456;64320;92620	51456	7	LinkUI:PetPanel	37
90	11	9	GrowupGroupName11	bg_egg5	90	999	0;13312;26625;39937;53250;66562;95850	53250	7	LinkUI:PetPanel	37
91	13	1	GrowupGroupName13	item_10000000001	30	39	0;250;500;750;1000;1600;2000	1000	9	LinkUI:SkillPanel;1	38
92	13	2	GrowupGroupName13	item_10000000001	40	49	0;974;1949;2923;3898;5457;7016	3898	9	LinkUI:SkillPanel;1	38
93	13	3	GrowupGroupName13	item_10000000001	50	54	0;1402;2805;4207;5610;7854;10098	5610	9	LinkUI:SkillPanel;1	38
94	13	4	GrowupGroupName13	item_10000000001	55	59	0;1677;3355;5032;6710;9394;12078	6710	9	LinkUI:SkillPanel;1	38
95	13	5	GrowupGroupName13	item_10000000001	60	69	0;1952;3905;5857;7810;10153;14058	7810	9	LinkUI:SkillPanel;1	38
96	13	6	GrowupGroupName13	item_10000000001	70	79	0;2100;4200;6300;8400;10920;15120	8400	9	LinkUI:SkillPanel;1	38
97	13	7	GrowupGroupName13	item_10000000001	80	89	0;2350;4700;7050;9400;11750;16920	9400	9	LinkUI:SkillPanel;1	38
98	13	8	GrowupGroupName13	item_10000000001	90	999	0;2662;5324;7986;10649;13311;19168	10649	9	LinkUI:SkillPanel;1	38
99	14	1	GrowupGroupName14	rune_hpsp5	30	39	0;250;500;750;1000;1600;2000	1000	10	LinkUI:SkillPanel;1	38
100	14	2	GrowupGroupName14	rune_hpsp5	40	49	0;562;1125;1687;2250;3150;4050	2250	10	LinkUI:SkillPanel;1	38
101	14	3	GrowupGroupName14	rune_hpsp5	50	54	0;1630;3261;4892;6523;9132;11741	6523	10	LinkUI:SkillPanel;1	38
102	14	4	GrowupGroupName14	rune_hpsp5	55	59	0;1831;3663;5494;7326;10256;13186	7326	10	LinkUI:SkillPanel;1	38
103	14	5	GrowupGroupName14	rune_hpsp5	60	69	0;2131;4262;6393;8524;11081;15343	8524	10	LinkUI:SkillPanel;1	38
104	14	6	GrowupGroupName14	rune_hpsp5	70	79	0;2648;5297;7945;10594;13772;19069	10594	10	LinkUI:SkillPanel;1	38
105	14	7	GrowupGroupName14	rune_hpsp5	80	89	0;3341;6683;10025;13367;16708;24060	13367	10	LinkUI:SkillPanel;1	38
106	14	8	GrowupGroupName14	rune_hpsp5	90	999	0;3706;7412;11118;14825;18531;26685	14825	10	LinkUI:SkillPanel;1	38
107	16	1	GrowupGroupName16	item_102020040002	40	49	0;375;750;1125;1500;2100;2700	1500	18	LinkUI:PeakednessCardPanel	161
108	16	2	GrowupGroupName16	item_102020040002	50	54	0;750;1500;2250;3000;4200;5400	3000	18	LinkUI:PeakednessCardPanel	161
109	16	3	GrowupGroupName16	item_102020040002	55	59	0;1250;2500;3750;5000;7000;9000	5000	18	LinkUI:PeakednessCardPanel	161
110	16	4	GrowupGroupName16	item_102020040002	60	69	0;2000;4000;6000;8000;10400;14400	8000	18	LinkUI:PeakednessCardPanel	161
111	16	5	GrowupGroupName16	item_102020040002	70	79	0;3750;7500;11250;15000;19500;27000	15000	18	LinkUI:PeakednessCardPanel	161
112	16	6	GrowupGroupName16	item_102020040002	80	89	0;5000;10000;15000;20000;25000;36000	20000	18	LinkUI:PeakednessCardPanel	161
113	16	7	GrowupGroupName16	item_102020040002	90	999	0;5662;11325;16987;22650;28312;40770	22650	18	LinkUI:PeakednessCardPanel	161
114	17	1	GrowupGroupName17	item_2004	50	54	0;112;225;337;450;630;810	450	20	LinkUI:BagPanel;OpenHallow	166
115	17	2	GrowupGroupName17	item_2004	55	59	0;375;750;1125;1500;2100;2700	1500	20	LinkUI:BagPanel;OpenHallow	166
116	17	3	GrowupGroupName17	item_2004	60	69	0;1250;2500;3750;5000;6500;9000	5000	20	LinkUI:BagPanel;OpenHallow	166
117	17	4	GrowupGroupName17	item_2004	70	79	0;1625;3250;4875;6500;8450;11700	6500	20	LinkUI:BagPanel;OpenHallow	166
118	17	5	GrowupGroupName17	item_2004	80	89	0;2125;4250;6375;8500;10625;15300	8500	20	LinkUI:BagPanel;OpenHallow	166
119	17	6	GrowupGroupName17	item_2004	90	999	0;2331;4662;6993;9325;11656;16785	9325	20	LinkUI:BagPanel;OpenHallow	166
120	19	1	GrowupGroupName19	item_106210100006	21	29	0;73;146;219;292;467;584	292	13	LinkUI:AdventureBookPanel;3	69
121	19	2	GrowupGroupName19	item_106210100006	30	39	0;108;217;326;435;696;870	435	13	LinkUI:AdventureBookPanel;3	69
122	19	3	GrowupGroupName19	item_106210100006	40	49	0;182;365;547;730;1022;1314	730	13	LinkUI:AdventureBookPanel;3	69
123	19	4	GrowupGroupName19	item_106210100006	50	54	0;328;657;986;1315;1841;2367	1315	13	LinkUI:AdventureBookPanel;3	69
124	19	5	GrowupGroupName19	item_106210100006	55	59	0;730;1461;2191;2922;4090;5259	2922	13	LinkUI:AdventureBookPanel;3	69
125	19	6	GrowupGroupName19	item_106210100006	60	69	0;1053;2107;3161;4215;5479;7587	4215	13	LinkUI:AdventureBookPanel;3	69
126	19	7	GrowupGroupName19	item_106210100006	70	79	0;1335;2671;4006;5342;6944;9615	5342	13	LinkUI:AdventureBookPanel;3	69
127	19	8	GrowupGroupName19	item_106210100006	80	89	0;1628;3257;4885;6514;8142;11725	6514	13	LinkUI:AdventureBookPanel;3	69
128	19	9	GrowupGroupName19	item_106210100006	90	999	0;1872;3745;5617;7490;9362;13482	7490	13	LinkUI:AdventureBookPanel;3	69
129	20	1	GrowupGroupName20	item_103015110413	50	54	0;124;249;374;499;698;898	499	16	LinkUI:StrengthenPanel;3	146
130	20	2	GrowupGroupName20	item_103015110413	55	59	0;1320;2640;3960;5280;7392;9504	5280	16	LinkUI:StrengthenPanel;3	146
131	20	3	GrowupGroupName20	item_103015110413	60	64	0;1692;3384;5076;6768;8798;12182	6768	16	LinkUI:StrengthenPanel;3	146
132	20	4	GrowupGroupName20	item_103015110413	65	69	0;2114;4228;6342;8456;10992;15220	8456	16	LinkUI:StrengthenPanel;3	146
133	20	5	GrowupGroupName20	item_103015110413	70	74	0;2588;5177;7766;10355;13461;18639	10355	16	LinkUI:StrengthenPanel;3	146
134	20	6	GrowupGroupName20	item_103015110413	75	79	0;3143;6287;9430;12574;16346;22633	12574	16	LinkUI:StrengthenPanel;3	146
135	20	7	GrowupGroupName20	item_103015110413	80	84	0;3580;7161;10741;14322;17902;25779	14322	16	LinkUI:StrengthenPanel;3	146
136	20	8	GrowupGroupName20	item_103015110413	85	89	0;4167;8335;12502;16670;20837;30006	16670	16	LinkUI:StrengthenPanel;3	146
137	20	9	GrowupGroupName20	item_103015110413	90	999	0;5447;10894;16341;21788;27235;39218	21788	16	LinkUI:StrengthenPanel;3	146
138	21	1	GrowupGroupName21	item_100500000001	38	40	0;124;248;372;496;793;992	496	17	LinkUI:StrollEffectTabPanel	155
139	21	2	GrowupGroupName21	item_100500000001	41	49	0;197;395;592;790;1106;1422	790	17	LinkUI:StrollEffectTabPanel	155
140	21	3	GrowupGroupName21	item_100500000001	50	54	0;500;1000;1500;2001;2801;3601	2001	17	LinkUI:StrollEffectTabPanel	155
141	21	4	GrowupGroupName21	item_100500000001	55	59	0;685;1371;2056;2742;3838;4935	2742	17	LinkUI:StrollEffectTabPanel	155
142	21	5	GrowupGroupName21	item_100500000001	60	64	0;990;1980;2970;3960;5148;7128	3960	17	LinkUI:StrollEffectTabPanel	155
143	21	6	GrowupGroupName21	item_100500000001	65	69	0;1336;2672;4008;5345;6948;9621	5345	17	LinkUI:StrollEffectTabPanel	155
144	21	7	GrowupGroupName21	item_100500000001	70	74	0;1904;3809;5713;7618;9903;13712	7618	17	LinkUI:StrollEffectTabPanel	155
145	21	8	GrowupGroupName21	item_100500000001	75	79	0;2390;4780;7170;9560;12428;17208	9560	17	LinkUI:StrollEffectTabPanel	155
146	21	9	GrowupGroupName21	item_100500000001	80	84	0;3582;7164;10746;14329;17911;25792	14329	17	LinkUI:StrollEffectTabPanel	155
147	21	10	GrowupGroupName21	item_100500000001	85	89	0;4008;8017;12025;16034;20042;28861	16034	17	LinkUI:StrollEffectTabPanel	155
148	21	11	GrowupGroupName21	item_100500000001	90	999	0;4251;8503;12755;17007;21258;30612	17007	17	LinkUI:StrollEffectTabPanel	155
149	22	1	GrowupGroupName22	item_171000102107	60	64	0;750;1500;2250;3000;3900;5400	3000	21	LinkUI:GuildBadgePanel;1	175
150	22	2	GrowupGroupName22	item_171000102107	65	69	0;900;1800;2700;3600;4680;6480	3600	21	LinkUI:GuildBadgePanel;1	175
151	22	3	GrowupGroupName22	item_171000102107	70	74	0;1650;3300;4950;6600;8580;11880	6600	21	LinkUI:GuildBadgePanel;1	175
152	22	4	GrowupGroupName22	item_171000102107	75	79	0;2075;4150;6225;8300;10790;14940	8300	21	LinkUI:GuildBadgePanel;1	175
153	22	5	GrowupGroupName22	item_171000102107	80	84	0;2750;5500;8250;11000;13750;19800	11000	21	LinkUI:GuildBadgePanel;1	175
154	22	6	GrowupGroupName22	item_171000102107	85	89	0;2925;5850;8775;11700;14625;21060	11700	21	LinkUI:GuildBadgePanel;1	175
155	22	7	GrowupGroupName22	item_171000102107	90	999	0;3000;6000;9000;12000;15000;21600	12000	21	LinkUI:GuildBadgePanel;1	175
156	23	1	GrowupGroupName23	item_102020060004	70	74	0;3325;6650;9975;13300;17290;23940	13300	23	LinkUI:StarChildPanel;0	194
157	23	2	GrowupGroupName23	item_102020060004	75	79	0;5000;10000;15000;20000;26000;36000	20000	23	LinkUI:StarChildPanel;0	194
158	23	3	GrowupGroupName23	item_102020060004	80	84	0;6625;13250;19875;26500;33125;47700	26500	23	LinkUI:StarChildPanel;0	194
159	23	4	GrowupGroupName23	item_102020060004	85	89	0;8750;17500;26250;35000;43750;63000	35000	23	LinkUI:StarChildPanel;0	194
160	23	5	GrowupGroupName23	item_102020060004	90	999	0;10030;20060;30090;40120;50150;72216	40120	23	LinkUI:StarChildPanel;0	194
161	24	1	GrowupGroupName24	item_102020061001	40	49	0;385;771;1157;1543;2160;2777	1543	24	LinkUI:StrengthenPanel;4	285
162	24	2	GrowupGroupName24	item_102020061001	50	54	0;636;1272;1908;2545;3563;4581	2545	24	LinkUI:StrengthenPanel;4	285
163	24	3	GrowupGroupName24	item_102020061001	55	59	0;878;1756;2634;3512;4916;6321	3512	24	LinkUI:StrengthenPanel;4	285
164	24	4	GrowupGroupName24	item_102020061001	60	69	0;1436;2872;4308;5745;7468;10341	5745	24	LinkUI:StrengthenPanel;4	285
165	24	5	GrowupGroupName24	item_102020061001	70	79	0;1883;3766;5649;7532;9791;13557	7532	24	LinkUI:StrengthenPanel;4	285
166	24	6	GrowupGroupName24	item_102020061001	80	89	0;2396;4792;7188;9584;11980;17251	9584	24	LinkUI:StrengthenPanel;4	285
167	24	7	GrowupGroupName24	item_102020061001	90	999	0;3440;6881;10322;13763;17203;24773	13763	24	LinkUI:StrengthenPanel;4	285
168	27	1	GrowupGroupName27	equip_310040541997	75	79	0;250;500;750;1000;1300;1800	1000	27	LinkUI:StrengthenPanel;7;7	427
169	27	2	GrowupGroupName27	equip_310040541997	80	84	0;750;1500;2250;3000;3750;5400	3000	27	LinkUI:StrengthenPanel;7;7	427
170	27	3	GrowupGroupName27	equip_310040541997	85	89	0;1250;2500;3750;5000;6250;9000	5000	27	LinkUI:StrengthenPanel;7;7	427
171	27	4	GrowupGroupName27	equip_310040541997	90	999	0;2000;4000;6000;8000;10000;14400	8000	27	LinkUI:StrengthenPanel;7;7	427
172	28	1	GrowupGroupName28	money_allsouls	78	79	0;1000;2000;3000;4000;5000;7200	4000	28	LinkUI:StrengthenPanel;8	436
173	28	2	GrowupGroupName28	money_allsouls	80	84	0;1750;3500;5250;7000;8750;12600	7000	28	LinkUI:StrengthenPanel;8	436
174	28	3	GrowupGroupName28	money_allsouls	85	90	0;2250;4500;6750;9000;11250;16200	9000	28	LinkUI:StrengthenPanel;8	436
175	29	1	GrowupGroupName29	item_173000005001	55	59	0;500;1000;1500;2000;2600;3600	2000	29	LinkUI:SaintRelicMainPage	433
176	29	2	GrowupGroupName29	item_173000005001	60	64	0;1000;2000;3000;4000;5200;7200	4000	29	LinkUI:SaintRelicMainPage	433
177	29	3	GrowupGroupName29	item_173000005001	65	69	0;1500;3000;4500;6000;7800;10800	6000	29	LinkUI:SaintRelicMainPage	433
178	29	4	GrowupGroupName29	item_173000005001	70	74	0;2000;4000;6000;8000;10400;14400	8000	29	LinkUI:SaintRelicMainPage	433
179	29	5	GrowupGroupName29	item_173000005001	75	79	0;2500;5000;7500;10000;12500;18000	10000	29	LinkUI:SaintRelicMainPage	433
180	29	6	GrowupGroupName29	item_173000005001	80	84	0;3750;7500;11250;15000;18750;27000	15000	29	LinkUI:SaintRelicMainPage	433
181	29	7	GrowupGroupName29	item_173000005001	85	90	0;5000;10000;15000;20000;25000;36000	20000	29	LinkUI:SaintRelicMainPage	433
182	30	2	GrowupGroupName30	item_107999900013	80	84	0;250;500;750;1000;1250;1800	1000	30	LinkUI:StrengthenPanel;9	441
183	30	3	GrowupGroupName30	item_107999900013	85	89	0;1250;2500;3750;5000;6250;9000	5000	30	LinkUI:StrengthenPanel;9	441
184	30	4	GrowupGroupName30	item_107999900013	90	999	0;5000;10000;15000;20000;25000;36000	20000	30	LinkUI:StrengthenPanel;9	441
185	30	2	GrowupGroupName30	item_107999900013	80	84	0;250;500;750;1000;1250;1800	1000	30	LinkUI:StrengthenPanel;9	441
186	30	3	GrowupGroupName30	item_107999900013	85	89	0;1250;2500;3750;5000;6250;9000	5000	30	LinkUI:StrengthenPanel;9	441
187	30	4	GrowupGroupName30	item_107999900013	90	999	0;5000;10000;15000;20000;25000;36000	20000	30	LinkUI:StrengthenPanel;9	441
188	31	1	GrowupGroupName31	soulequip_10011	67	69	0;250;500;750;1000;1300;1800	1000	31	LinkUI:BagPanel;OpenSoulEquip	325
189	31	2	GrowupGroupName31	soulequip_10011	70	74	0;500;1000;1500;2000;2600;3600	2000	31	LinkUI:BagPanel;OpenSoulEquip	325
190	31	3	GrowupGroupName31	soulequip_10011	75	79	0;750;1500;2250;3000;3900;5400	3000	31	LinkUI:BagPanel;OpenSoulEquip	325
191	31	4	GrowupGroupName31	soulequip_10011	80	84	0;1250;2500;3750;5000;6250;9000	5000	31	LinkUI:BagPanel;OpenSoulEquip	325
192	31	5	GrowupGroupName31	soulequip_10011	85	90	0;1750;3500;5250;7000;8750;12600	7000	31	LinkUI:BagPanel;OpenSoulEquip	325
193	31	6	GrowupGroupName31	soulequip_10011	90	999	0;2250;4500;6750;9000;11250;16200	9000	31	LinkUI:BagPanel;OpenSoulEquip	325
194	32	1	GrowupGroupName32	item_17909000000003	65	74	0;5000;10000;15000;20000;26000;36000	1000	32	LinkUI:SkillPanel;3;OpenCollectPage	466
195	32	2	GrowupGroupName32	item_17909000000003	75	79	0;5000;10000;15000;20000;26000;36000	2000	32	LinkUI:SkillPanel;3;OpenCollectPage	466
196	32	3	GrowupGroupName32	item_17909000000003	80	84	0;6250;12500;18750;25000;31250;45000	3000	32	LinkUI:SkillPanel;3;OpenCollectPage	466
197	32	4	GrowupGroupName32	item_17909000000003	85	89	0;8750;17500;26250;35000;43750;63000	5000	32	LinkUI:SkillPanel;3;OpenCollectPage	466
198	32	5	GrowupGroupName32	item_17909000000003	90	999	0;12000;24000;36000;48000;60000;86400	7000	32	LinkUI:SkillPanel;3;OpenCollectPage	466
199	33	1	GrowupGroupName33	e5001_portrait01	76	79	0;5000;10000;15000;20000;26000;36000	20000	33	LinkUI:EnvoyMainPanel	476
