套装编号	套装名称	套装总数
40041412	SuitName_40041412	2
40051412	SuitName_40051412	2
40061412	SuitName_40061412	2
40071412	SuitName_40071412	2
40081412	SuitName_40081412	2
40011413	SuitName_40011413	2
40021413	SuitName_40021413	2
40031413	SuitName_40031413	2
40041413	SuitName_40041413	2
40051413	SuitName_40051413	2
40061413	SuitName_40061413	2
40071413	SuitName_40071413	2
40081413	SuitName_40081413	2
40011414	SuitName_40011414	2
40021414	SuitName_40021414	2
40031414	SuitName_40031414	2
40041414	SuitName_40041414	2
40051414	SuitName_40051414	2
40061414	SuitName_40061414	2
40071414	SuitName_40071414	2
40081414	SuitName_40081414	2
40011415	SuitName_40011415	2
40021415	SuitName_40021415	2
40031415	SuitName_40031415	2
40041415	SuitName_40041415	2
40051415	SuitName_40051415	2
40061415	SuitName_40061415	2
40071415	SuitName_40071415	2
40081415	SuitName_40081415	2
40011416	SuitName_40011416	2
40021416	SuitName_40021416	2
40031416	SuitName_40031416	2
40041416	SuitName_40041416	2
40051416	SuitName_40051416	2
40061416	SuitName_40061416	2
40071416	SuitName_40071416	2
40081416	SuitName_40081416	2
40011417	SuitName_40011417	2
40021417	SuitName_40021417	2
40031417	SuitName_40031417	2
40041417	SuitName_40041417	2
40051417	SuitName_40051417	2
40061417	SuitName_40061417	2
40071417	SuitName_40071417	2
40081417	SuitName_40081417	2
40011418	SuitName_40011418	3
40021418	SuitName_40021418	3
40031418	SuitName_40031418	3
40041418	SuitName_40041418	3
40051418	SuitName_40051418	3
40061418	SuitName_40061418	3
40071418	SuitName_40071418	3
40081418	SuitName_40081418	3
40011701	SuitName_40011701	2
40021701	SuitName_40021701	2
40031701	SuitName_40031701	2
40041701	SuitName_40041701	2
40051701	SuitName_40051701	2
40061701	SuitName_40061701	2
40071701	SuitName_40071701	2
40081701	SuitName_40081701	2
40011702	SuitName_40011702	2
40021702	SuitName_40021702	2
40031702	SuitName_40031702	2
40041702	SuitName_40041702	2
40051702	SuitName_40051702	2
40061702	SuitName_40061702	2
40071702	SuitName_40071702	2
40081702	SuitName_40081702	2
40011703	SuitName_40011703	2
40021703	SuitName_40021703	2
40031703	SuitName_40031703	2
40041703	SuitName_40041703	2
40051703	SuitName_40051703	2
40061703	SuitName_40061703	2
40071703	SuitName_40071703	2
40081703	SuitName_40081703	2
40011704	SuitName_40011704	2
40021704	SuitName_40021704	2
40031704	SuitName_40031704	2
40041704	SuitName_40041704	2
40051704	SuitName_40051704	2
40061704	SuitName_40061704	2
40071704	SuitName_40071704	2
40081704	SuitName_40081704	2
40011705	SuitName_40011705	2
40021705	SuitName_40021705	2
40031705	SuitName_40031705	2
40041705	SuitName_40041705	2
40051705	SuitName_40051705	2
40061705	SuitName_40061705	2
40071705	SuitName_40071705	2
40081705	SuitName_40081705	2
40011706	SuitName_40011706	2
40021706	SuitName_40021706	2
40031706	SuitName_40031706	2
40041706	SuitName_40041706	2
40051706	SuitName_40051706	2
40061706	SuitName_40061706	2
40071706	SuitName_40071706	2
40081706	SuitName_40081706	2
40011707	SuitName_40011707	2
40021707	SuitName_40021707	2
40031707	SuitName_40031707	2
40041707	SuitName_40041707	2
40051707	SuitName_40051707	2
40061707	SuitName_40061707	2
40071707	SuitName_40071707	2
40081707	SuitName_40081707	2
40011419	SuitName_40011419	2
40021419	SuitName_40021419	2
40031419	SuitName_40031419	2
40041419	SuitName_40041419	2
40051419	SuitName_40051419	2
40061419	SuitName_40061419	2
40071419	SuitName_40071419	2
40081419	SuitName_40081419	2
40011420	SuitName_40011420	2
40021420	SuitName_40021420	2
40031420	SuitName_40031420	2
40041420	SuitName_40041420	2
40051420	SuitName_40051420	2
40061420	SuitName_40061420	2
40071420	SuitName_40071420	2
40081420	SuitName_40081420	2
40011428	SuitName_40011428	2
40021428	SuitName_40021428	2
40031428	SuitName_40031428	2
40041428	SuitName_40041428	2
40051428	SuitName_40051428	2
40061428	SuitName_40061428	2
40071428	SuitName_40071428	2
40081428	SuitName_40081428	2
40011429	SuitName_40011429	2
40021429	SuitName_40021429	2
40031429	SuitName_40031429	2
40041429	SuitName_40041429	2
40051429	SuitName_40051429	2
40061429	SuitName_40061429	2
40071429	SuitName_40071429	2
40081429	SuitName_40081429	2
40011430	SuitName_40011430	2
40021430	SuitName_40021430	2
40031430	SuitName_40031430	2
40041430	SuitName_40041430	2
40051430	SuitName_40051430	2
40061430	SuitName_40061430	2
40071430	SuitName_40071430	2
40081430	SuitName_40081430	2
40011431	SuitName_40011431	2
40021431	SuitName_40021431	2
40031431	SuitName_40031431	2
40041431	SuitName_40041431	2
40051431	SuitName_40051431	2
40061431	SuitName_40061431	2
40071431	SuitName_40071431	2
40081431	SuitName_40081431	2
40011432	SuitName_40011432	3
40021432	SuitName_40021432	3
40032432	SuitName_40032432	3
40041432	SuitName_40041432	3
40051432	SuitName_40051432	3
40061432	SuitName_40061432	3
40071432	SuitName_40071432	3
40081432	SuitName_40081432	3
40011433	SuitName_40011433	3
40021433	SuitName_40021433	3
40031433	SuitName_40031433	3
40041433	SuitName_40041433	3
40051433	SuitName_40051433	3
40061433	SuitName_40061433	3
40071433	SuitName_40071433	3
40081433	SuitName_40081433	3
40011434	SuitName_40011434	3
40021434	SuitName_40021434	3
40031434	SuitName_40031434	3
40041434	SuitName_40041434	3
40051434	SuitName_40051434	3
40061434	SuitName_40061434	3
40071434	SuitName_40071434	3
40081434	SuitName_40081434	3
40011435	SuitName_40011435	2
40021435	SuitName_40021435	2
40031435	SuitName_40031435	2
40041435	SuitName_40041435	2
40051435	SuitName_40051435	2
40061435	SuitName_40061435	2
40071435	SuitName_40071435	2
40081435	SuitName_40081435	2
40011436	SuitName_40011436	3
40021436	SuitName_40021436	3
40031436	SuitName_40031436	3
40041436	SuitName_40041436	3
40051436	SuitName_40051436	3
40061436	SuitName_40061436	3
40071436	SuitName_40071436	3
40081436	SuitName_40081436	3
40011437	SuitName_40011437	3
40021437	SuitName_40021437	3
40031437	SuitName_40031437	3
40041437	SuitName_40041437	3
40051437	SuitName_40051437	3
40061437	SuitName_40061437	3
40071437	SuitName_40071437	3
40081437	SuitName_40081437	3
40011438	SuitName_40011438	3
40021438	SuitName_40021438	3
40031438	SuitName_40031438	3
40041438	SuitName_40041438	3
40051438	SuitName_40051438	3
40061438	SuitName_40061438	3
40071438	SuitName_40071438	3
40081438	SuitName_40081438	3
40011439	SuitName_40011439	3
40021439	SuitName_40021439	3
40031439	SuitName_40031439	3
40041439	SuitName_40041439	3
40051439	SuitName_40051439	3
40061439	SuitName_40061439	3
40071439	SuitName_40071439	3
40081439	SuitName_40081439	3
40011440	SuitName_40011440	3
40021440	SuitName_40021440	3
40031440	SuitName_40031440	3
40041440	SuitName_40041440	3
40051440	SuitName_40051440	3
40061440	SuitName_40061440	3
40071440	SuitName_40071440	3
40081440	SuitName_40081440	3
40011441	SuitName_40011441	3
40021441	SuitName_40021441	3
40031441	SuitName_40031441	3
40041441	SuitName_40041441	3
40051441	SuitName_40051441	3
40061441	SuitName_40061441	3
40071441	SuitName_40071441	3
40081441	SuitName_40081441	3
40011442	SuitName_40011442	3
40021442	SuitName_40021442	3
40031442	SuitName_40031442	3
40041442	SuitName_40041442	3
40051442	SuitName_40051442	3
40061442	SuitName_40061442	3
40071442	SuitName_40071442	3
40081442	SuitName_40081442	3
40011443	SuitName_40011443	3
40021443	SuitName_40021443	3
40031443	SuitName_40031443	3
40041443	SuitName_40041443	3
40051443	SuitName_40051443	3
40061443	SuitName_40061443	3
40071443	SuitName_40071443	3
40081443	SuitName_40081443	3
40011444	SuitName_40011444	2
40021444	SuitName_40021444	2
40031444	SuitName_40031444	2
40041444	SuitName_40041444	2
40051444	SuitName_40051444	2
40061444	SuitName_40061444	2
40071444	SuitName_40071444	2
40081444	SuitName_40081444	2
40011445	SuitName_40011445	3
40021445	SuitName_40021445	3
40031445	SuitName_40031445	3
40041445	SuitName_40041445	3
40051445	SuitName_40051445	3
40061445	SuitName_40061445	3
40071445	SuitName_40071445	3
40081445	SuitName_40081445	3
40011446	SuitName_40011446	3
40021446	SuitName_40021446	3
40031446	SuitName_40031446	3
40041446	SuitName_40041446	3
40051446	SuitName_40051446	3
40061446	SuitName_40061446	3
40071446	SuitName_40071446	3
40081446	SuitName_40081446	3
40011447	SuitName_40011447	3
40021447	SuitName_40021447	3
40031447	SuitName_40031447	3
40041447	SuitName_40041447	3
40051447	SuitName_40051447	3
40061447	SuitName_40061447	3
40071447	SuitName_40071447	3
40081447	SuitName_40081447	3
40011448	SuitName_40011448	3
40021448	SuitName_40021448	3
40031448	SuitName_40031448	3
40041448	SuitName_40041448	3
40051448	SuitName_40051448	3
40061448	SuitName_40061448	3
40071448	SuitName_40071448	3
40081448	SuitName_40081448	3
40011449	SuitName_40011449	3
40021449	SuitName_40021449	3
40031449	SuitName_40031449	3
40041449	SuitName_40041449	3
40051449	SuitName_40051449	3
40061449	SuitName_40061449	3
40071449	SuitName_40071449	3
40081449	SuitName_40081449	3
40011450	SuitName_40011450	3
40021450	SuitName_40021450	3
40031450	SuitName_40031450	3
40041450	SuitName_40041450	3
40051450	SuitName_40051450	3
40061450	SuitName_40061450	3
40071450	SuitName_40071450	3
40081450	SuitName_40081450	3
40011451	SuitName_40011451	3
40021451	SuitName_40021451	3
40031451	SuitName_40031451	3
40041451	SuitName_40041451	3
40051451	SuitName_40051451	3
40061451	SuitName_40061451	3
40071451	SuitName_40071451	3
40081451	SuitName_40081451	3
40011452	SuitName_40011452	3
40021452	SuitName_40021452	3
40031452	SuitName_40031452	3
40041452	SuitName_40041452	3
40051452	SuitName_40051452	3
40061452	SuitName_40061452	3
40071452	SuitName_40071452	3
40081452	SuitName_40081452	3
40011453	SuitName_40011453	2
40021453	SuitName_40021453	2
40031453	SuitName_40031453	2
40041453	SuitName_40041453	2
40051453	SuitName_40051453	2
40061453	SuitName_40061453	2
40071453	SuitName_40071453	2
40081453	SuitName_40081453	2
40011454	SuitName_40011454	3
40021454	SuitName_40021454	3
40031454	SuitName_40031454	3
40041454	SuitName_40041454	3
40051454	SuitName_40051454	3
40061454	SuitName_40061454	3
40071454	SuitName_40071454	3
40081454	SuitName_40081454	3
40011455	SuitName_40011455	3
40021455	SuitName_40021455	3
40031455	SuitName_40031455	3
40041455	SuitName_40041455	3
40051455	SuitName_40051455	3
40061455	SuitName_40061455	3
40071455	SuitName_40071455	3
40081455	SuitName_40081455	3
40011456	SuitName_40011456	3
40021456	SuitName_40021456	3
40031456	SuitName_40031456	3
40041456	SuitName_40041456	3
40051456	SuitName_40051456	3
40061456	SuitName_40061456	3
40071456	SuitName_40071456	3
40081456	SuitName_40081456	3
40011457	SuitName_40011457	2
40021457	SuitName_40021457	2
40031457	SuitName_40031457	2
40041457	SuitName_40041457	2
40051457	SuitName_40051457	2
40061457	SuitName_40061457	2
40071457	SuitName_40071457	2
40081457	SuitName_40081457	2
40011458	SuitName_40011458	3
40021458	SuitName_40021458	3
40031458	SuitName_40031458	3
40041458	SuitName_40041458	3
40051458	SuitName_40051458	3
40061458	SuitName_40061458	3
40071458	SuitName_40071458	3
40081458	SuitName_40081458	3
40011459	SuitName_40011459	3
40021459	SuitName_40021459	3
40031459	SuitName_40031459	3
40041459	SuitName_40041459	3
40051459	SuitName_40051459	3
40061459	SuitName_40061459	3
40071459	SuitName_40071459	3
40081459	SuitName_40081459	3
40011460	SuitName_40011460	3
40021460	SuitName_40021460	3
40031460	SuitName_40031460	3
40041460	SuitName_40041460	3
40051460	SuitName_40051460	3
40061460	SuitName_40061460	3
40071460	SuitName_40071460	3
40081460	SuitName_40081460	3
40011461	SuitName_40011461	2
40021461	SuitName_40021461	2
40031461	SuitName_40031461	2
40041461	SuitName_40041461	2
40051461	SuitName_40051461	2
40061461	SuitName_40061461	2
40071461	SuitName_40071461	2
40081461	SuitName_40081461	2
40011462	SuitName_40011462	3
40021462	SuitName_40021462	3
40031462	SuitName_40031462	3
40041462	SuitName_40041462	3
40051462	SuitName_40051462	3
40061462	SuitName_40061462	3
40071462	SuitName_40071462	3
40081462	SuitName_40081462	3
40011463	SuitName_40011463	3
40021463	SuitName_40021463	3
40031463	SuitName_40031463	3
40041463	SuitName_40041463	3
40051463	SuitName_40051463	3
40061463	SuitName_40061463	3
40071463	SuitName_40071463	3
40081463	SuitName_40081463	3
40011464	SuitName_40011464	3
40021464	SuitName_40021464	3
40031464	SuitName_40031464	3
40041464	SuitName_40041464	3
40051464	SuitName_40051464	3
40061464	SuitName_40061464	3
40071464	SuitName_40071464	3
40081464	SuitName_40081464	3
40011465	SuitName_40011465	3
40021465	SuitName_40021465	3
40031465	SuitName_40031465	3
40041465	SuitName_40041465	3
40051465	SuitName_40051465	3
40061465	SuitName_40061465	3
40071465	SuitName_40071465	3
40081465	SuitName_40081465	3
40011466	SuitName_40011466	2
40021466	SuitName_40021466	2
40031466	SuitName_40031466	2
40041466	SuitName_40041466	2
40051466	SuitName_40051466	2
40061466	SuitName_40061466	2
40071466	SuitName_40071466	2
40081466	SuitName_40081466	2
40011467	SuitName_40011467	3
40021467	SuitName_40021467	3
40031467	SuitName_40031467	3
40041467	SuitName_40041467	3
40051467	SuitName_40051467	3
40061467	SuitName_40061467	3
40071467	SuitName_40071467	3
40081467	SuitName_40081467	3
40011468	SuitName_40011468	3
40021468	SuitName_40021468	3
40031468	SuitName_40031468	3
40041468	SuitName_40041468	3
40051468	SuitName_40051468	3
40061468	SuitName_40061468	3
40071468	SuitName_40071468	3
40081468	SuitName_40081468	3
40011469	SuitName_40011469	3
40021469	SuitName_40021469	3
40031469	SuitName_40031469	3
40041469	SuitName_40041469	3
40051469	SuitName_40051469	3
40061469	SuitName_40061469	3
40071469	SuitName_40071469	3
40081469	SuitName_40081469	3
40011470	SuitName_40011470	3
40021470	SuitName_40021470	3
40031470	SuitName_40031470	3
40041470	SuitName_40041470	3
40051470	SuitName_40051470	3
40061470	SuitName_40061470	3
40071470	SuitName_40071470	3
40081470	SuitName_40081470	3
40011708	SuitName_40011708	2
40021708	SuitName_40021708	2
40031708	SuitName_40031708	2
40041708	SuitName_40041708	2
40051708	SuitName_40051708	2
40061708	SuitName_40061708	2
40071708	SuitName_40071708	2
40081708	SuitName_40081708	2
40011709	SuitName_40011709	2
40021709	SuitName_40021709	2
40031709	SuitName_40031709	2
40041709	SuitName_40041709	2
40051709	SuitName_40051709	2
40061709	SuitName_40061709	2
40071709	SuitName_40071709	2
40081709	SuitName_40081709	2
