流水ID	选择时显示的省份Key	主界面显示的省份key	省份	市	选择时显示的市	主界面显示的市key	默认项
68	ZoneProvince_07	ZoneProvince_007	7	22	ZoneCity_68	ZoneCity_068	0
69	ZoneProvince_08	ZoneProvince_008	8	1	ZoneCity_69	ZoneCity_069	0
70	ZoneProvince_08	ZoneProvince_008	8	2	ZoneCity_70	ZoneCity_070	0
71	ZoneProvince_08	ZoneProvince_008	8	3	ZoneCity_71	ZoneCity_071	0
72	ZoneProvince_08	ZoneProvince_008	8	4	ZoneCity_72	ZoneCity_072	0
73	ZoneProvince_08	ZoneProvince_008	8	5	ZoneCity_73	ZoneCity_073	0
74	ZoneProvince_08	ZoneProvince_008	8	6	ZoneCity_74	ZoneCity_074	0
75	ZoneProvince_08	ZoneProvince_008	8	7	ZoneCity_75	ZoneCity_075	0
76	ZoneProvince_08	ZoneProvince_008	8	8	ZoneCity_76	ZoneCity_076	0
77	ZoneProvince_08	ZoneProvince_008	8	9	ZoneCity_77	ZoneCity_077	0
78	ZoneProvince_08	ZoneProvince_008	8	10	ZoneCity_78	ZoneCity_078	0
79	ZoneProvince_08	ZoneProvince_008	8	11	ZoneCity_79	ZoneCity_079	0
80	ZoneProvince_08	ZoneProvince_008	8	12	ZoneCity_80	ZoneCity_080	0
81	ZoneProvince_08	ZoneProvince_008	8	13	ZoneCity_81	ZoneCity_081	0
82	ZoneProvince_08	ZoneProvince_008	8	14	ZoneCity_82	ZoneCity_082	0
83	ZoneProvince_08	ZoneProvince_008	8	15	ZoneCity_83	ZoneCity_083	0
84	ZoneProvince_09	ZoneProvince_009	9	1	ZoneCity_84	ZoneCity_084	0
85	ZoneProvince_09	ZoneProvince_009	9	2	ZoneCity_85	ZoneCity_085	0
86	ZoneProvince_09	ZoneProvince_009	9	3	ZoneCity_86	ZoneCity_086	0
87	ZoneProvince_09	ZoneProvince_009	9	4	ZoneCity_87	ZoneCity_087	0
88	ZoneProvince_09	ZoneProvince_009	9	5	ZoneCity_88	ZoneCity_088	0
89	ZoneProvince_09	ZoneProvince_009	9	6	ZoneCity_89	ZoneCity_089	0
90	ZoneProvince_09	ZoneProvince_009	9	7	ZoneCity_90	ZoneCity_090	0
91	ZoneProvince_09	ZoneProvince_009	9	8	ZoneCity_91	ZoneCity_091	0
92	ZoneProvince_09	ZoneProvince_009	9	9	ZoneCity_92	ZoneCity_092	0
93	ZoneProvince_09	ZoneProvince_009	9	10	ZoneCity_93	ZoneCity_093	0
94	ZoneProvince_10	ZoneProvince_010	10	1	ZoneCity_94	ZoneCity_094	0
95	ZoneProvince_10	ZoneProvince_010	10	2	ZoneCity_95	ZoneCity_095	0
96	ZoneProvince_10	ZoneProvince_010	10	3	ZoneCity_96	ZoneCity_096	0
97	ZoneProvince_10	ZoneProvince_010	10	4	ZoneCity_97	ZoneCity_097	0
98	ZoneProvince_10	ZoneProvince_010	10	5	ZoneCity_98	ZoneCity_098	0
99	ZoneProvince_10	ZoneProvince_010	10	6	ZoneCity_99	ZoneCity_099	0
100	ZoneProvince_10	ZoneProvince_010	10	7	ZoneCity_100	ZoneCity_0100	0
101	ZoneProvince_10	ZoneProvince_010	10	8	ZoneCity_101	ZoneCity_0101	0
102	ZoneProvince_10	ZoneProvince_010	10	9	ZoneCity_102	ZoneCity_0102	0
103	ZoneProvince_10	ZoneProvince_010	10	10	ZoneCity_103	ZoneCity_0103	0
104	ZoneProvince_10	ZoneProvince_010	10	11	ZoneCity_104	ZoneCity_0104	0
105	ZoneProvince_10	ZoneProvince_010	10	12	ZoneCity_105	ZoneCity_0105	0
106	ZoneProvince_10	ZoneProvince_010	10	13	ZoneCity_106	ZoneCity_0106	0
107	ZoneProvince_10	ZoneProvince_010	10	14	ZoneCity_107	ZoneCity_0107	0
108	ZoneProvince_10	ZoneProvince_010	10	15	ZoneCity_108	ZoneCity_0108	0
109	ZoneProvince_10	ZoneProvince_010	10	16	ZoneCity_109	ZoneCity_0109	0
110	ZoneProvince_10	ZoneProvince_010	10	17	ZoneCity_110	ZoneCity_0110	0
111	ZoneProvince_10	ZoneProvince_010	10	18	ZoneCity_111	ZoneCity_0111	0
112	ZoneProvince_10	ZoneProvince_010	10	19	ZoneCity_112	ZoneCity_0112	0
113	ZoneProvince_10	ZoneProvince_010	10	20	ZoneCity_113	ZoneCity_0113	0
114	ZoneProvince_11	ZoneProvince_011	11	1	ZoneCity_114	ZoneCity_0114	0
115	ZoneProvince_11	ZoneProvince_011	11	2	ZoneCity_115	ZoneCity_0115	0
116	ZoneProvince_11	ZoneProvince_011	11	3	ZoneCity_116	ZoneCity_0116	0
117	ZoneProvince_11	ZoneProvince_011	11	4	ZoneCity_117	ZoneCity_0117	0
118	ZoneProvince_11	ZoneProvince_011	11	5	ZoneCity_118	ZoneCity_0118	0
119	ZoneProvince_11	ZoneProvince_011	11	6	ZoneCity_119	ZoneCity_0119	0
120	ZoneProvince_11	ZoneProvince_011	11	7	ZoneCity_120	ZoneCity_0120	0
121	ZoneProvince_11	ZoneProvince_011	11	8	ZoneCity_121	ZoneCity_0121	0
122	ZoneProvince_11	ZoneProvince_011	11	9	ZoneCity_122	ZoneCity_0122	0
123	ZoneProvince_11	ZoneProvince_011	11	10	ZoneCity_123	ZoneCity_0123	0
124	ZoneProvince_11	ZoneProvince_011	11	11	ZoneCity_124	ZoneCity_0124	0
125	ZoneProvince_11	ZoneProvince_011	11	12	ZoneCity_125	ZoneCity_0125	0
126	ZoneProvince_12	ZoneProvince_012	12	1	ZoneCity_126	ZoneCity_0126	0
127	ZoneProvince_12	ZoneProvince_012	12	2	ZoneCity_127	ZoneCity_0127	0
128	ZoneProvince_12	ZoneProvince_012	12	3	ZoneCity_128	ZoneCity_0128	0
129	ZoneProvince_12	ZoneProvince_012	12	4	ZoneCity_129	ZoneCity_0129	0
130	ZoneProvince_12	ZoneProvince_012	12	5	ZoneCity_130	ZoneCity_0130	0
131	ZoneProvince_12	ZoneProvince_012	12	6	ZoneCity_131	ZoneCity_0131	0
132	ZoneProvince_12	ZoneProvince_012	12	7	ZoneCity_132	ZoneCity_0132	0
133	ZoneProvince_12	ZoneProvince_012	12	8	ZoneCity_133	ZoneCity_0133	0
134	ZoneProvince_12	ZoneProvince_012	12	9	ZoneCity_134	ZoneCity_0134	0
135	ZoneProvince_12	ZoneProvince_012	12	10	ZoneCity_135	ZoneCity_0135	0
136	ZoneProvince_12	ZoneProvince_012	12	11	ZoneCity_136	ZoneCity_0136	0
137	ZoneProvince_12	ZoneProvince_012	12	12	ZoneCity_137	ZoneCity_0137	0
138	ZoneProvince_12	ZoneProvince_012	12	13	ZoneCity_138	ZoneCity_0138	0
139	ZoneProvince_12	ZoneProvince_012	12	14	ZoneCity_139	ZoneCity_0139	0
140	ZoneProvince_12	ZoneProvince_012	12	15	ZoneCity_140	ZoneCity_0140	0
141	ZoneProvince_12	ZoneProvince_012	12	16	ZoneCity_141	ZoneCity_0141	0
142	ZoneProvince_12	ZoneProvince_012	12	17	ZoneCity_142	ZoneCity_0142	0
143	ZoneProvince_12	ZoneProvince_012	12	18	ZoneCity_143	ZoneCity_0143	0
144	ZoneProvince_12	ZoneProvince_012	12	19	ZoneCity_144	ZoneCity_0144	0
145	ZoneProvince_13	ZoneProvince_013	13	1	ZoneCity_145	ZoneCity_0145	0
146	ZoneProvince_13	ZoneProvince_013	13	2	ZoneCity_146	ZoneCity_0146	0
147	ZoneProvince_13	ZoneProvince_013	13	3	ZoneCity_147	ZoneCity_0147	0
148	ZoneProvince_13	ZoneProvince_013	13	4	ZoneCity_148	ZoneCity_0148	0
149	ZoneProvince_13	ZoneProvince_013	13	5	ZoneCity_149	ZoneCity_0149	0
150	ZoneProvince_13	ZoneProvince_013	13	6	ZoneCity_150	ZoneCity_0150	0
151	ZoneProvince_13	ZoneProvince_013	13	7	ZoneCity_151	ZoneCity_0151	0
152	ZoneProvince_13	ZoneProvince_013	13	8	ZoneCity_152	ZoneCity_0152	0
153	ZoneProvince_13	ZoneProvince_013	13	9	ZoneCity_153	ZoneCity_0153	0
154	ZoneProvince_13	ZoneProvince_013	13	10	ZoneCity_154	ZoneCity_0154	0
155	ZoneProvince_13	ZoneProvince_013	13	11	ZoneCity_155	ZoneCity_0155	0
156	ZoneProvince_13	ZoneProvince_013	13	12	ZoneCity_156	ZoneCity_0156	0
157	ZoneProvince_13	ZoneProvince_013	13	13	ZoneCity_157	ZoneCity_0157	0
158	ZoneProvince_13	ZoneProvince_013	13	14	ZoneCity_158	ZoneCity_0158	0
159	ZoneProvince_14	ZoneProvince_014	14	1	ZoneCity_159	ZoneCity_0159	0
160	ZoneProvince_14	ZoneProvince_014	14	2	ZoneCity_160	ZoneCity_0160	0
161	ZoneProvince_14	ZoneProvince_014	14	3	ZoneCity_161	ZoneCity_0161	0
162	ZoneProvince_14	ZoneProvince_014	14	4	ZoneCity_162	ZoneCity_0162	0
163	ZoneProvince_14	ZoneProvince_014	14	5	ZoneCity_163	ZoneCity_0163	0
164	ZoneProvince_14	ZoneProvince_014	14	6	ZoneCity_164	ZoneCity_0164	0
165	ZoneProvince_14	ZoneProvince_014	14	7	ZoneCity_165	ZoneCity_0165	0
166	ZoneProvince_14	ZoneProvince_014	14	8	ZoneCity_166	ZoneCity_0166	0
167	ZoneProvince_14	ZoneProvince_014	14	9	ZoneCity_167	ZoneCity_0167	0
168	ZoneProvince_14	ZoneProvince_014	14	10	ZoneCity_168	ZoneCity_0168	0
169	ZoneProvince_14	ZoneProvince_014	14	11	ZoneCity_169	ZoneCity_0169	0
170	ZoneProvince_14	ZoneProvince_014	14	12	ZoneCity_170	ZoneCity_0170	0
171	ZoneProvince_14	ZoneProvince_014	14	13	ZoneCity_171	ZoneCity_0171	0
172	ZoneProvince_14	ZoneProvince_014	14	14	ZoneCity_172	ZoneCity_0172	0
173	ZoneProvince_14	ZoneProvince_014	14	15	ZoneCity_173	ZoneCity_0173	0
174	ZoneProvince_14	ZoneProvince_014	14	16	ZoneCity_174	ZoneCity_0174	0
175	ZoneProvince_14	ZoneProvince_014	14	17	ZoneCity_175	ZoneCity_0175	0
176	ZoneProvince_14	ZoneProvince_014	14	18	ZoneCity_176	ZoneCity_0176	0
177	ZoneProvince_15	ZoneProvince_015	15	1	ZoneCity_177	ZoneCity_0177	0
178	ZoneProvince_15	ZoneProvince_015	15	2	ZoneCity_178	ZoneCity_0178	0
179	ZoneProvince_15	ZoneProvince_015	15	3	ZoneCity_179	ZoneCity_0179	0
180	ZoneProvince_15	ZoneProvince_015	15	4	ZoneCity_180	ZoneCity_0180	0
181	ZoneProvince_15	ZoneProvince_015	15	5	ZoneCity_181	ZoneCity_0181	0
182	ZoneProvince_15	ZoneProvince_015	15	6	ZoneCity_182	ZoneCity_0182	0
183	ZoneProvince_15	ZoneProvince_015	15	7	ZoneCity_183	ZoneCity_0183	0
184	ZoneProvince_15	ZoneProvince_015	15	8	ZoneCity_184	ZoneCity_0184	0
185	ZoneProvince_15	ZoneProvince_015	15	9	ZoneCity_185	ZoneCity_0185	0
186	ZoneProvince_15	ZoneProvince_015	15	10	ZoneCity_186	ZoneCity_0186	0
187	ZoneProvince_15	ZoneProvince_015	15	11	ZoneCity_187	ZoneCity_0187	0
188	ZoneProvince_15	ZoneProvince_015	15	12	ZoneCity_188	ZoneCity_0188	0
189	ZoneProvince_15	ZoneProvince_015	15	13	ZoneCity_189	ZoneCity_0189	0
190	ZoneProvince_15	ZoneProvince_015	15	14	ZoneCity_190	ZoneCity_0190	0
191	ZoneProvince_15	ZoneProvince_015	15	15	ZoneCity_191	ZoneCity_0191	0
192	ZoneProvince_16	ZoneProvince_016	16	1	ZoneCity_192	ZoneCity_0192	0
193	ZoneProvince_16	ZoneProvince_016	16	2	ZoneCity_193	ZoneCity_0193	0
194	ZoneProvince_16	ZoneProvince_016	16	3	ZoneCity_194	ZoneCity_0194	0
195	ZoneProvince_16	ZoneProvince_016	16	4	ZoneCity_195	ZoneCity_0195	0
196	ZoneProvince_16	ZoneProvince_016	16	5	ZoneCity_196	ZoneCity_0196	0
197	ZoneProvince_16	ZoneProvince_016	16	6	ZoneCity_197	ZoneCity_0197	0
198	ZoneProvince_16	ZoneProvince_016	16	7	ZoneCity_198	ZoneCity_0198	0
199	ZoneProvince_16	ZoneProvince_016	16	8	ZoneCity_199	ZoneCity_0199	0
200	ZoneProvince_16	ZoneProvince_016	16	9	ZoneCity_200	ZoneCity_0200	0
201	ZoneProvince_16	ZoneProvince_016	16	10	ZoneCity_201	ZoneCity_0201	0
202	ZoneProvince_17	ZoneProvince_017	17	1	ZoneCity_202	ZoneCity_0202	0
203	ZoneProvince_17	ZoneProvince_017	17	2	ZoneCity_203	ZoneCity_0203	0
204	ZoneProvince_17	ZoneProvince_017	17	3	ZoneCity_204	ZoneCity_0204	0
205	ZoneProvince_17	ZoneProvince_017	17	4	ZoneCity_205	ZoneCity_0205	0
206	ZoneProvince_17	ZoneProvince_017	17	5	ZoneCity_206	ZoneCity_0206	0
207	ZoneProvince_17	ZoneProvince_017	17	6	ZoneCity_207	ZoneCity_0207	0
208	ZoneProvince_17	ZoneProvince_017	17	7	ZoneCity_208	ZoneCity_0208	0
209	ZoneProvince_17	ZoneProvince_017	17	8	ZoneCity_209	ZoneCity_0209	0
210	ZoneProvince_17	ZoneProvince_017	17	9	ZoneCity_210	ZoneCity_0210	0
211	ZoneProvince_17	ZoneProvince_017	17	10	ZoneCity_211	ZoneCity_0211	0
212	ZoneProvince_17	ZoneProvince_017	17	11	ZoneCity_212	ZoneCity_0212	0
213	ZoneProvince_17	ZoneProvince_017	17	12	ZoneCity_213	ZoneCity_0213	0
214	ZoneProvince_17	ZoneProvince_017	17	13	ZoneCity_214	ZoneCity_0214	0
215	ZoneProvince_17	ZoneProvince_017	17	14	ZoneCity_215	ZoneCity_0215	0
216	ZoneProvince_18	ZoneProvince_018	18	1	ZoneCity_216	ZoneCity_0216	0
217	ZoneProvince_18	ZoneProvince_018	18	2	ZoneCity_217	ZoneCity_0217	0
218	ZoneProvince_18	ZoneProvince_018	18	3	ZoneCity_218	ZoneCity_0218	0
219	ZoneProvince_18	ZoneProvince_018	18	4	ZoneCity_219	ZoneCity_0219	0
220	ZoneProvince_18	ZoneProvince_018	18	5	ZoneCity_220	ZoneCity_0220	0
221	ZoneProvince_18	ZoneProvince_018	18	6	ZoneCity_221	ZoneCity_0221	0
222	ZoneProvince_18	ZoneProvince_018	18	7	ZoneCity_222	ZoneCity_0222	0
223	ZoneProvince_18	ZoneProvince_018	18	8	ZoneCity_223	ZoneCity_0223	0
224	ZoneProvince_18	ZoneProvince_018	18	9	ZoneCity_224	ZoneCity_0224	0
225	ZoneProvince_18	ZoneProvince_018	18	10	ZoneCity_225	ZoneCity_0225	0
226	ZoneProvince_18	ZoneProvince_018	18	11	ZoneCity_226	ZoneCity_0226	0
227	ZoneProvince_18	ZoneProvince_018	18	12	ZoneCity_227	ZoneCity_0227	0
228	ZoneProvince_19	ZoneProvince_019	19	1	ZoneCity_228	ZoneCity_0228	0
229	ZoneProvince_19	ZoneProvince_019	19	2	ZoneCity_229	ZoneCity_0229	0
230	ZoneProvince_19	ZoneProvince_019	19	3	ZoneCity_230	ZoneCity_0230	0
231	ZoneProvince_19	ZoneProvince_019	19	4	ZoneCity_231	ZoneCity_0231	0
232	ZoneProvince_19	ZoneProvince_019	19	5	ZoneCity_232	ZoneCity_0232	0
233	ZoneProvince_19	ZoneProvince_019	19	6	ZoneCity_233	ZoneCity_0233	0
234	ZoneProvince_19	ZoneProvince_019	19	7	ZoneCity_234	ZoneCity_0234	0
235	ZoneProvince_19	ZoneProvince_019	19	8	ZoneCity_235	ZoneCity_0235	0
236	ZoneProvince_19	ZoneProvince_019	19	9	ZoneCity_236	ZoneCity_0236	0
237	ZoneProvince_19	ZoneProvince_019	19	10	ZoneCity_237	ZoneCity_0237	0
238	ZoneProvince_19	ZoneProvince_019	19	11	ZoneCity_238	ZoneCity_0238	0
239	ZoneProvince_19	ZoneProvince_019	19	12	ZoneCity_239	ZoneCity_0239	0
240	ZoneProvince_19	ZoneProvince_019	19	13	ZoneCity_240	ZoneCity_0240	0
241	ZoneProvince_19	ZoneProvince_019	19	14	ZoneCity_241	ZoneCity_0241	0
242	ZoneProvince_19	ZoneProvince_019	19	15	ZoneCity_242	ZoneCity_0242	0
243	ZoneProvince_20	ZoneProvince_020	20	1	ZoneCity_243	ZoneCity_0243	0
244	ZoneProvince_20	ZoneProvince_020	20	2	ZoneCity_244	ZoneCity_0244	0
245	ZoneProvince_20	ZoneProvince_020	20	3	ZoneCity_245	ZoneCity_0245	0
246	ZoneProvince_20	ZoneProvince_020	20	4	ZoneCity_246	ZoneCity_0246	0
247	ZoneProvince_20	ZoneProvince_020	20	5	ZoneCity_247	ZoneCity_0247	0
248	ZoneProvince_20	ZoneProvince_020	20	6	ZoneCity_248	ZoneCity_0248	0
249	ZoneProvince_20	ZoneProvince_020	20	7	ZoneCity_249	ZoneCity_0249	0
250	ZoneProvince_20	ZoneProvince_020	20	8	ZoneCity_250	ZoneCity_0250	0
251	ZoneProvince_20	ZoneProvince_020	20	9	ZoneCity_251	ZoneCity_0251	0
252	ZoneProvince_20	ZoneProvince_020	20	10	ZoneCity_252	ZoneCity_0252	0
253	ZoneProvince_20	ZoneProvince_020	20	11	ZoneCity_253	ZoneCity_0253	0
254	ZoneProvince_20	ZoneProvince_020	20	12	ZoneCity_254	ZoneCity_0254	0
255	ZoneProvince_20	ZoneProvince_020	20	13	ZoneCity_255	ZoneCity_0255	0
256	ZoneProvince_21	ZoneProvince_021	21	1	ZoneCity_256	ZoneCity_0256	0
257	ZoneProvince_21	ZoneProvince_021	21	2	ZoneCity_257	ZoneCity_0257	0
258	ZoneProvince_21	ZoneProvince_021	21	3	ZoneCity_258	ZoneCity_0258	0
259	ZoneProvince_21	ZoneProvince_021	21	4	ZoneCity_259	ZoneCity_0259	0
260	ZoneProvince_21	ZoneProvince_021	21	5	ZoneCity_260	ZoneCity_0260	0
261	ZoneProvince_21	ZoneProvince_021	21	6	ZoneCity_261	ZoneCity_0261	0
262	ZoneProvince_22	ZoneProvince_022	22	1	ZoneCity_262	ZoneCity_0262	0
263	ZoneProvince_22	ZoneProvince_022	22	2	ZoneCity_263	ZoneCity_0263	0
264	ZoneProvince_22	ZoneProvince_022	22	3	ZoneCity_264	ZoneCity_0264	0
265	ZoneProvince_22	ZoneProvince_022	22	4	ZoneCity_265	ZoneCity_0265	0
266	ZoneProvince_22	ZoneProvince_022	22	5	ZoneCity_266	ZoneCity_0266	0
267	ZoneProvince_22	ZoneProvince_022	22	6	ZoneCity_267	ZoneCity_0267	0
268	ZoneProvince_22	ZoneProvince_022	22	7	ZoneCity_268	ZoneCity_0268	0
269	ZoneProvince_22	ZoneProvince_022	22	8	ZoneCity_269	ZoneCity_0269	0
270	ZoneProvince_22	ZoneProvince_022	22	9	ZoneCity_270	ZoneCity_0270	0
271	ZoneProvince_23	ZoneProvince_023	23	1	ZoneCity_271	ZoneCity_0271	0
272	ZoneProvince_23	ZoneProvince_023	23	2	ZoneCity_272	ZoneCity_0272	0
273	ZoneProvince_23	ZoneProvince_023	23	3	ZoneCity_273	ZoneCity_0273	0
274	ZoneProvince_23	ZoneProvince_023	23	4	ZoneCity_274	ZoneCity_0274	0
275	ZoneProvince_23	ZoneProvince_023	23	5	ZoneCity_275	ZoneCity_0275	0
276	ZoneProvince_23	ZoneProvince_023	23	6	ZoneCity_276	ZoneCity_0276	0
277	ZoneProvince_23	ZoneProvince_023	23	7	ZoneCity_277	ZoneCity_0277	0
278	ZoneProvince_23	ZoneProvince_023	23	8	ZoneCity_278	ZoneCity_0278	0
279	ZoneProvince_23	ZoneProvince_023	23	9	ZoneCity_279	ZoneCity_0279	0
280	ZoneProvince_23	ZoneProvince_023	23	10	ZoneCity_280	ZoneCity_0280	0
281	ZoneProvince_23	ZoneProvince_023	23	11	ZoneCity_281	ZoneCity_0281	0
282	ZoneProvince_23	ZoneProvince_023	23	12	ZoneCity_282	ZoneCity_0282	0
283	ZoneProvince_23	ZoneProvince_023	23	13	ZoneCity_283	ZoneCity_0283	0
284	ZoneProvince_23	ZoneProvince_023	23	14	ZoneCity_284	ZoneCity_0284	0
285	ZoneProvince_23	ZoneProvince_023	23	15	ZoneCity_285	ZoneCity_0285	0
286	ZoneProvince_23	ZoneProvince_023	23	16	ZoneCity_286	ZoneCity_0286	0
287	ZoneProvince_23	ZoneProvince_023	23	17	ZoneCity_287	ZoneCity_0287	0
288	ZoneProvince_23	ZoneProvince_023	23	18	ZoneCity_288	ZoneCity_0288	0
289	ZoneProvince_24	ZoneProvince_024	24	1	ZoneCity_289	ZoneCity_0289	0
290	ZoneProvince_24	ZoneProvince_024	24	2	ZoneCity_290	ZoneCity_0290	0
291	ZoneProvince_24	ZoneProvince_024	24	3	ZoneCity_291	ZoneCity_0291	0
292	ZoneProvince_24	ZoneProvince_024	24	4	ZoneCity_292	ZoneCity_0292	0
293	ZoneProvince_24	ZoneProvince_024	24	5	ZoneCity_293	ZoneCity_0293	0
294	ZoneProvince_24	ZoneProvince_024	24	6	ZoneCity_294	ZoneCity_0294	0
295	ZoneProvince_24	ZoneProvince_024	24	7	ZoneCity_295	ZoneCity_0295	0
296	ZoneProvince_24	ZoneProvince_024	24	8	ZoneCity_296	ZoneCity_0296	0
