流水	道具ID	魔灵	等级
175	item101020501220	pet_144	1
176	item101020501222	pet_154	1
177	item101020501224	pet_155	1
178	item101020501226	pet_156	1
179	item101020501228	pet_157	1
180	item101020501230	pet_158	1
181	item101020501232	pet_159	1
182	item101020501233	pet_160	1
183	item101020501235	pet_161	1
184	item101020501238	pet_162	1
185	item101020501240	pet_163	1
186	item101020501242	pet_164	1
187	item101020501244	pet_165	1
188	item101020501246	pet_166	1
189	item101020501248	pet_167	1
190	item101020501250	pet_168	1
191	item101020501252	pet_169	1
192	item101020501254	pet_170	1
193	item101020501256	pet_171	1
194	item101020501258	pet_172	1
195	item101020501260	pet_173	1
196	item101020501262	pet_174	1
197	item101020501264	pet_175	1
198	item101020501266	pet_176	1
199	item101020501268	pet_177	1
200	item101020501270	pet_179	1
201	item101020501274	pet_180	1
202	item101020501276	pet_181	1
203	item101020501278	pet_182	1
204	item101020501280	pet_183	1
205	item101020501282	pet_184	1
206	item101020501284	pet_185	1
207	item101020501286	pet_186	1
208	item101020501288	pet_187	1
209	item101020501290	pet_188	1
210	item101020501292	pet_190	1
211	item101020501294	pet_192	1
212	item101020501296	pet_194	1
213	item101020501298	pet_196	1
214	item101020501300	pet_198	1
215	item101020501302	pet_301	1
216	item101020501304	pet_303	1
217	item101020501306	pet_305	1
218	item101020501308	pet_307	1
219	item101020501310	pet_309	1
220	item101020501312	pet_311	1
221	item101020501314	pet_313	1
222	item101020501316	pet_315	1
223	item101020501318	pet_317	1
224	item101020501320	pet_319	1
225	item101020501322	pet_321	1
226	item101020501324	pet_323	1
227	item101020501326	pet_325	1
228	item101020501328	pet_327	1
229	item101020501331	pet_331	1
230	item101020501402	baby_101	1
231	item101020501404	baby_105	1
232	item101020501406	baby_111	1
233	item101020501408	baby_115	1
234	item101020501410	baby_121	1
235	item101020501412	baby_125	1
236	item101020501414	baby_131	1
237	item101020501416	baby_134	1
238	item101020501418	baby_135	1
239	item101020501420	baby_136	1
240	item101020507101	ride_101	1
241	item101020507102	ride_104	1
242	item101020507103	ride_105	1
243	item101020507104	ride_107	1
244	item101020507105	ride_109	1
245	item101020507106	ride_111	1
246	item101020507109	ride_115	1
247	item101020507111	ride_117	1
248	item101020507112	ride_119	1
249	item101020507113	ride_121	1
250	item101020507114	ride_123	1
251	item101020507115	ride_124	1
252	item101020507116	ride_125	1
253	item101020507117	ride_126	1
254	item101020507118	ride_127	1
255	item101020507119	ride_128	1
256	item101020507120	ride_130	1
257	item101020507121	ride_135	1
258	item101020507122	ride_161	1
259	item101020507123	ride_208	1
260	item101020507201	ride_101	1
261	item101020507202	ride_104	1
262	item101020507203	ride_105	1
263	item101020507204	ride_107	1
264	item101020507205	ride_109	1
265	item101020507206	ride_111	1
266	item101020507209	ride_115	1
267	item101020507211	ride_117	1
268	item101020507212	ride_119	1
269	item101020507213	ride_121	1
270	item101020507214	ride_123	1
271	item101020507215	ride_124	1
272	item101020507216	ride_125	1
273	item101020507217	ride_126	1
274	item101020507218	ride_127	1
275	item101020507219	ride_128	1
276	item101020507301	ride_101	1
277	item101020507302	ride_104	1
278	item101020507303	ride_105	1
279	item101020507304	ride_107	1
280	item101020507305	ride_109	1
281	item101020507306	ride_111	1
282	item101020507309	ride_115	1
283	item101020507311	ride_117	1
284	item101020507312	ride_119	1
285	item101020507313	ride_121	1
286	item101020507314	ride_123	1
287	item101020507315	ride_124	1
288	item101020507316	ride_125	1
289	item101020507317	ride_126	1
290	item101020507318	ride_127	1
291	item101020507319	ride_128	1
292	item101020507320	ride_129	1
293	item101020507321	ride_130	1
294	item101020507322	ride_131	1
295	item101020507323	ride_132	1
296	item101020507324	ride_133	1
297	item101020507325	ride_134	1
298	item101020507326	ride_135	1
299	item101020507327	ride_136	1
300	item101020507328	ride_137	1
301	item101020507329	ride_138	1
302	item101020507330	ride_139	1
303	item101020507331	ride_140	1
304	item101020507332	ride_141	1
305	item101020507333	ride_142	1
306	item101020507334	ride_143	1
307	item101020507335	ride_144	1
308	item101020507336	ride_145	1
309	item101020507337	ride_146	1
310	item101020507338	ride_147	1
311	item101020507339	ride_148	1
312	item101020507340	ride_149	1
313	item101020507341	ride_150	1
314	item101020507342	ride_151	1
315	item101020507343	ride_152	1
316	item101020507344	ride_153	1
317	item101020507345	ride_154	1
318	item101020507346	ride_155	1
319	item101020507347	ride_156	1
320	item101020507348	ride_157	1
321	item101020507349	ride_158	1
322	item101020507350	ride_159	1
323	item101020507351	ride_160	1
324	item101020507352	ride_161	1
325	item101020507353	ride_162	1
326	item101020507354	ride_163	1
327	item101020507355	ride_164	1
328	item101020507356	ride_165	1
329	item101020507357	ride_166	1
330	item101020507358	ride_167	1
331	item101020507359	ride_168	1
332	item101020507360	ride_169	1
333	item101020507361	ride_170	1
334	item101020507362	ride_171	1
335	item101020507363	ride_172	1
336	item101020507364	ride_173	1
337	item101020507401	ride_101	1
338	item101020507402	ride_104	1
339	item101020507403	ride_105	1
340	item101020507404	ride_107	1
341	item101020507405	ride_109	1
342	item101020507406	ride_111	1
343	item101020507409	ride_115	1
344	item101020507411	ride_117	1
345	item101020507412	ride_119	1
346	item101020507413	ride_121	1
347	item101020507414	ride_123	1
348	item101020507415	ride_124	1
349	item101020507416	ride_125	1
350	item101020507417	ride_126	1
351	item101020507418	ride_127	1
352	item101020507457	ride_166	1
353	item101020507453	ride_162	1
354	item101020507476	ride_185	1
355	item101020507503	ride_105	1
356	item101020507504	ride_107	1
357	item101020507505	ride_109	1
358	item101020507506	ride_111	1
359	item101020514514	egg_2514	0
360	item101020507365	ride_174	1
361	item101020514515	egg_2515	0
362	item101020507366	ride_175	1
363	item101020514516	egg_2516	0
364	item101020507367	ride_176	1
365	item101020514517	egg_2517	0
366	item101020507368	ride_177	1
367	item101020514016	egg_2016	0
368	item101020514017	egg_2017	0
369	item101020514018	egg_2018	0
370	item101020514518	egg_2518	0
371	item101020507369	ride_178	1
372	item101020514519	egg_2519	0
373	item101020507370	ride_179	1
374	item101020514019	egg_2019	0
375	item101020514020	egg_2020	0
376	item101020514021	egg_2021	0
377	item101020514022	egg_2022	0
378	item101020514520	egg_2520	0
379	item101020507371	ride_180	1
380	item101020514521	egg_2521	0
381	item101020507372	ride_181	1
382	item101020514522	egg_2522	0
383	item101020507373	ride_182	1
384	item101020514023	egg_2023	0
385	item101020514523	egg_2523	0
386	item101020507374	ride_183	1
387	item101020514524	egg_2524	0
388	item101020507375	ride_184	1
389	item101020514525	egg_2525	0
390	item101020507376	ride_185	1
391	item101020514024	egg_2024	0
392	item101020514526	egg_2526	0
393	item101020507377	ride_186	1
394	item101020514527	egg_2527	0
395	item101020507378	ride_187	1
396	item101020514528	egg_2528	0
397	item101020507379	ride_188	1
398	item101020514529	egg_2529	0
399	item101020507380	ride_189	1
400	item101020514530	egg_2530	0
401	item101020507381	ride_190	1
402	item101020514531	egg_2531	0
403	item101020507382	ride_191	1
404	item101020514532	egg_2532	0
405	item101020507383	ride_192	1
406	item101020514533	egg_2533	0
407	item101020507384	ride_193	1
408	item101020514534	egg_2534	0
409	item101020507385	ride_194	1
410	item101020514535	egg_2535	0
411	item101020507386	ride_195	1
412	item101020514025	egg_2025	0
413	item101020514026	egg_2026	0
414	item101020514027	egg_2027	0
415	item101020514028	egg_2028	0
416	item101020514029	egg_2029	0
417	item101020514030	egg_2030	0
418	item101020514031	egg_2031	0
419	item101020514536	egg_2536	0
420	item101020507387	ride_196	1
421	item101020514537	egg_2537	0
422	item101020507388	ride_197	1
423	item101020514032	egg_2032	0
424	item101020514538	egg_2538	0
425	item101020507389	ride_198	1
426	item101020514539	egg_2539	0
427	item101020507390	ride_199	1
428	item101020514540	egg_2540	0
429	item101020507391	ride_200	1
430	item101020514541	egg_2541	0
431	item101020507392	ride_201	1
432	item101020514542	egg_2542	0
433	item101020507393	ride_202	1
434	item101020514543	egg_2543	0
435	item101020507394	ride_203	1
436	item101020514544	egg_2544	0
437	item101020507395	ride_204	1
438	item101020514545	egg_2545	0
439	item101020507396	ride_205	1
440	item101020514546	egg_2546	0
441	item101020507397	ride_206	1
442	item101020514033	egg_2033	0
443	item101020514034	egg_2034	0
444	item101020514035	egg_2035	0
445	item101020514036	egg_2036	0
446	item101020514037	egg_2037	0
447	item101020514038	egg_2038	0
448	item101020514547	egg_2547	0
449	item101020507507	ride_207	1
450	item101020514548	egg_2548	0
451	item101020507508	ride_208	1
452	item101020514549	egg_2549	0
453	item101020507509	ride_209	1
454	item101020514550	egg_2550	0
455	item101020507510	ride_210	1
456	item101020514551	egg_2551	0
457	item101020507511	ride_211	1
458	item101020514552	egg_2552	0
459	item101020507512	ride_212	1
460	item101020514553	egg_2553	0
461	item101020507513	ride_213	1
462	item101020514554	egg_2554	0
463	item101020507514	ride_214	1
464	item101020514555	egg_2555	0
465	item101020507515	ride_215	1
466	item101020514039	egg_2039	0
467	item101020514556	egg_2556	0
468	item101020507516	ride_216	1
469	item101020514557	egg_2557	0
470	item101020507517	ride_217	1
471	item101020514558	egg_2558	0
472	item101020507518	ride_218	1
473	item101020514559	egg_2523	0
474	item101020507519	ride_183	1
475	item101020514040	egg_2040	0
476	item101020507520	ride_219	1
477	item101020507521	ride_220	1
478	item101020514041	egg_2041	0
479	item101020514042	egg_2042	0
480	item101020507522	ride_221	1
481	item101020507523	ride_222	1
482	item101020507524	ride_223	1
483	item101020507525	ride_224	1
484	item101020507526	ride_225	1
485	item101020507527	ride_226	1
486	item101020507528	ride_227	1
487	item101020514043	egg_2043	0
488	item101020514044	egg_2044	0
489	item101020514045	egg_2045	0
490	item101020507529	ride_228	1
491	item101020507530	ride_229	1
492	item101020507531	ride_230	1
493	item101020507532	ride_231	1
494	item101020507533	ride_232	1
495	item101020507534	ride_233	1
496	item101020507535	ride_234	1
497	item101020514047	egg_2046	0
498	item101020507536	ride_235	1
