方案流水	天赋	最小等级	最大等级	装备技能	技能升级顺序
21	1041	24	110	skill1304,skill1302,skill1303,skill1305	skill1304,skill1304,skill1304,skill1304,skill1302,skill1302,skill1302,skill1302,skill1303,skill1303,skill1305,skill1305,skill1304,skill1304,skill1304,skill1304,skill1302,skill1302,skill1302,skill1302,skill1303,skill1303,skill1305,skill1305,skill1303,skill1303,skill1305,skill1305,skill1303,skill1303,skill1305,skill1305
22	1042	1	17	skill1301,skill1304,skill1307,skill1305	skill1301,skill1301,skill1301,skill1301,skill1304,skill1304,skill1307,skill1307
23	1042	18	23	skill1301,skill1304,skill1307,skill1305	skill1301,skill1301,skill1301,skill1301,skill1304,skill1304,skill1304,skill1304,skill1307,skill1307,skill1305,skill1305
24	1042	24	110	skill1301,skill1304,skill1307,skill1305	skill1301,skill1301,skill1301,skill1301,skill1304,skill1304,skill1304,skill1304,skill1307,skill1307,skill1305,skill1305,skill1301,skill1301,skill1301,skill1301,skill1304,skill1304,skill1304,skill1304,skill1307,skill1307,skill1305,skill1305,skill1307,skill1307,skill1305,skill1305,skill1307,skill1307,skill1305,skill1305
25	1051	1	17	skill1408,skill1407,skill1401,skill1402	skill1407,skill1407,skill1407,skill1407,skill1401,skill1401,skill1401,skill1401
26	1051	18	23	skill1408,skill1407,skill1402,skill1405	skill1407,skill1407,skill1407,skill1407,skill1405,skill1405,skill1405,skill1405,skill1402,skill1402,skill1402,skill1402
27	1051	24	110	skill1408,skill1407,skill1402,skill1405	skill1407,skill1407,skill1407,skill1407,skill1402,skill1402,skill1402,skill1402,skill1405,skill1405,skill1408,skill1408,skill1407,skill1407,skill1407,skill1407,skill1402,skill1402,skill1402,skill1402,skill1405,skill1405,skill1408,skill1408,skill1405,skill1405,skill1408,skill1408,skill1405,skill1405,skill1408,skill1408
28	1052	1	17	skill1408,skill1407,skill1401,skill1405	skill1407,skill1407,skill1407,skill1407,skill1401,skill1401,skill1401,skill1401
29	1052	18	23	skill1402,skill1407,skill1401,skill1405	skill1407,skill1407,skill1407,skill1407,skill1401,skill1401,skill1401,skill1401,skill1402,skill1402,skill1402,skill1402
30	1052	24	110	skill1402,skill1406,skill1401,skill1405	skill1402,skill1402,skill1402,skill1402,skill1401,skill1401,skill1401,skill1401,skill1405,skill1405,skill1406,skill1406,skill1402,skill1402,skill1402,skill1402,skill1401,skill1401,skill1401,skill1401,skill1405,skill1405,skill1406,skill1406,skill1405,skill1405,skill1406,skill1406,skill1405,skill1405,skill1406,skill1406
31	1061	1	17	skill1508,skill1505,skill1503,skill1502	skill1508,skill1508,skill1503,skill1503,skill1503,skill1502,skill1502,skill1502
32	1061	18	23	skill1508,skill1505,skill1503,skill1504	skill1503,skill1503,skill1503,skill1503,skill1502,skill1502,skill1502,skill1502,skill1504,skill1504,skill1504,skill1504
33	1061	24	110	skill1505,skill1503,skill1504,skill1506	skill1503,skill1503,skill1503,skill1503,skill1502,skill1502,skill1502,skill1502,skill1504,skill1504,skill1506,skill1506,skill1503,skill1503,skill1503,skill1503,skill1502,skill1502,skill1502,skill1502,skill1504,skill1504,skill1506,skill1506,skill1504,skill1504,skill1506,skill1506,skill1504,skill1504,skill1506,skill1506
34	1062	1	17	skill1508,skill1505,skill1503,skill1502	skill1508,skill1508,skill1505,skill1505,skill1503,skill1503,skill1502,skill1502
35	1062	18	23	skill1508,skill1505,skill1503,skill1502	skill1508,skill1508,skill1505,skill1505,skill1503,skill1503,skill1502,skill1502,skill1505,skill1505,skill1503,skill1503
36	1062	24	110	skill1508,skill1505,skill1503,skill1506	skill1505,skill1505,skill1505,skill1505,skill1503,skill1503,skill1503,skill1503,skill1506,skill1506,skill1508,skill1508,skill1505,skill1505,skill1505,skill1505,skill1503,skill1503,skill1503,skill1503,skill1506,skill1506,skill1508,skill1508,skill1506,skill1506,skill1508,skill1508,skill1506,skill1506,skill1508,skill1508
