流水	开启等级	对应NPC	难度	页签说明	界面展示模型	UI界面模型倍数	UI界面模型位置	UI模型特效	UI模型特效倍数	UI模型特效位置偏移	界面背景	对应场景	巅峰情报	难度说明	通关固定奖励展示	通关随机奖励展示	攻略	标题	内容
30003	60	npc_peak003	3	Difficulty009	npc_peak003	1.200000	0;0;0	41100020	1.200000	0;0;0	cubebeijingtu3	5	SzellPeakDes30003	HardDes30003	item8200000800002,1;item200000810002,1;item1000,400000;item106210500001,1	item200000800006,1;item200000515001,1;item200000515002,1;item200000515003,1;item200000515004,1;item200000515005,1;item200000515006,1;item200000515007,1;item200000515008,1;item200000515009,1;item200000800001,1;item200000800002,1;item200000800003,1;item200000810001,1;item200000810002,1;item200000810003,1;item200000810004,1;item103010131003,1;item101040101101,1;item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item101200000016,1	258;259;260;261;262;263;264	SzellpeakTitle9	SzellpeakDesc9
40001	70	npc_peak004	1	Difficulty010	npc_peak004	1.000000	0;0;0	41100024	1.000000	0;0;0	cubebeijingtu2	6	SzellPeakDes40001	HardDes40001	item8200000800001,1;item200000810001,1;item1000,500000;item106210500001,1	item8200000800003,1;item8200000800002,1;item200000810003,1;item8200000800001,1;item200000810002,1;item200000810001,1;item8103010131003,1;item8101040101101,1;item8101040101104,1;item8101040101107,1;item8101040101110,1;item8101040101113,1;item101200000016,1	265;266;267;268;269;270;271	SzellpeakTitle10	SzellpeakDesc10
40002	70	npc_peak004	2	Difficulty011	npc_peak004	1.100000	0;0;0	41100025	1.100000	0;0;0	cubebeijingtu2	6	SzellPeakDes40002	HardDes40002	item8200000800001,1;item200000810002,1;item1000,500000;item106210500001,1	item200000115013,1;item200000800003,1;item200000810003,1;item8200000800002,1;item200000810002,1;item8200000800001,1;item200000810001,1;item8103010131003,1;item101040101101,1;item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item101200000016,1	272;273;274;275;276;277;278	SzellpeakTitle11	SzellpeakDesc11
40003	70	npc_peak004	3	Difficulty012	npc_peak004	1.200000	0;0;0	41100026	1.200000	0;0;0	cubebeijingtu2	6	SzellPeakDes40003	HardDes40003	item8200000800002,1;item200000810002,1;item1000,500000;item106210500001,1	item200000800008,1;item200000515001,1;item200000515002,1;item200000515003,1;item200000515004,1;item200000515005,1;item200000515006,1;item200000515007,1;item200000515008,1;item200000515009,1;item200000800001,1;item200000800002,1;item200000800003,1;item200000810001,1;item200000810002,1;item200000810003,1;item200000810004,1;item103010131003,1;item101040101101,1;item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item101200000016,1	279;280;281;282;283;284;285;286	SzellpeakTitle12	SzellpeakDesc12
50001	80	npc_peak005	1	Difficulty013	npc_peak005	1.000000	0;0;0	41100012	1.000000	0;0;0	cubebeijingtu1	7	SzellPeakDes50001	HardDes50001	item8200000800001,1;item200000810001,1;item1000,600000;item106210500001,1	item8200000800003,1;item8200000800002,1;item200000810003,1;item8200000800001,1;item200000810002,1;item200000810001,1;item8103010131003,1;item8101040101101,1;item8101040101104,1;item8101040101107,1;item8101040101110,1;item8101040101113,1;item101200000016,1	348;349;350;351;352;353;354;355	SzellpeakTitle13	SzellpeakDesc13
50002	80	npc_peak005	2	Difficulty014	npc_peak005	1.100000	0;0;0	41100013	1.100000	0;0;0	cubebeijingtu1	7	SzellPeakDes50002	HardDes50002	item8200000800001,1;item200000810002,1;item1000,600000;item106210500001,1	item200000115017,1;item200000800003,1;item200000810003,1;item8200000800002,1;item200000810002,1;item8200000800001,1;item200000810001,1;item8103010131003,1;item101040101101,1;item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item101200000016,1	356;357;358;359;360;361;362;363	SzellpeakTitle14	SzellpeakDesc14
50003	80	npc_peak005	3	Difficulty015	npc_peak005	1.200000	0;0;0	41100014	1.200000	0;0;0	cubebeijingtu1	7	SzellPeakDes50003	HardDes50003	item8200000800002,1;item200000810002,1;item1000,600000;item106210500001,1	item200000800012,1;item200000515001,1;item200000515002,1;item200000515003,1;item200000515004,1;item200000515005,1;item200000515006,1;item200000515007,1;item200000515008,1;item200000515009,1;item200000800001,1;item200000800002,1;item200000800003,1;item200000810001,1;item200000810002,1;item200000810003,1;item200000810004,1;item103010131003,1;item101040101101,1;item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item101200000016,1	364;365;366;367;368;369;370;371;372	SzellpeakTitle15	SzellpeakDesc15
60001	90	npc_peak006	1	Difficulty016	npc_peak006	1.000000	0;0;0	41100015	1.000000	0;0;0	cubebeijingtu6	8	SzellPeakDes60001	HardDes60001	item8200000800001,1;item200000810001,1;item1000,600000;item106210500001,1	item8200000800001,1;item8200000800002,1;item8200000800003,1;item200000810001,1;item200000810001,1;item200000810002,1;item200000810002,1;item200000810003,1;item8103010131003,1;item8101040101101,1;item8101040101104,1;item8101040101107,1;item8101040101110,1;item8101040101113,1	503;504;505;507;508	SzellpeakTitle16	SzellpeakDesc16
60002	90	npc_peak006	2	Difficulty017	npc_peak006	1.100000	0;0;0	41100016	1.100000	0;0;0	cubebeijingtu6	8	SzellPeakDes60002	HardDes60002	item8200000800001,1;item200000810002,1;item1000,600000;item106210500001,1	item8200000800001,1;item8200000800002,1;item200000800003,1;item200000810001,1;item200000810001,1;item200000810002,1;item200000810002,1;item200000810003,1;item8103010131003,1;item101040101101,1;item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item200000115020,1	510;511;512;514;515	SzellpeakTitle17	SzellpeakDesc17
60003	90	npc_peak006	3	Difficulty018	npc_peak006	1.200000	0;0;0	41100017	1.200000	0;0;0	cubebeijingtu6	8	SzellPeakDes60003	HardDes60003	item8200000800002,1;item200000810002,1;item1000,600000;item106210500001,1	item200000800001,1;item200000800002,1;item200000800003,1;item200000810001,1;item200000810001,1;item200000810002,1;item200000810003,1;item200000810004,1;item103010131003,1;item101040101101,1;item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item200000800017,1;item200000515001,1;item200000515002,1;item200000515003,1;item200000515004,1;item200000515005,1;item200000515006,1;item200000515007,1;item200000515008,1;item200000515009,1	517;518;519;520;521;522;523	SzellpeakTitle18	SzellpeakDesc18
