种族编号	npc编号
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	22,34,46,58
1	10,34,46,58
1	10,22,34,58
1	10,22,34,58
1	10,22,34,46
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	21,33,45,57
1	9,33,45,57
1	9,21,33,57
1	9,21,33,57
1	9,21,33,45
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
1	8,32,44,56
1	8,20,32,56
1	8,20,32,56
1	8,20,32,44
1	20,32,44,56
