流水id	套装编号	套装类型	套装数量	属性值ID	战力类型	战力计算	提升技能	提升等级数量	BuffID	属性描述	需求进阶品阶数	进阶分组
229	40061418	2	2	401001	1	6		0			0	0
230	40071418	2	2	401001	1	6		0			0	0
231	40081418	2	2	401001	1	6		0			0	0
232	40011418	2	3	401002	1	6		0			0	0
233	40021418	2	3	401002	1	6		0			0	0
234	40031418	2	3	401002	1	6		0			0	0
235	40041418	2	3	401002	1	6		0			0	0
236	40051418	2	3	401002	1	6		0			0	0
237	40061418	2	3	401002	1	6		0			0	0
238	40071418	2	3	401002	1	6		0			0	0
239	40081418	2	3	401002	1	6		0			0	0
240	40011419	2	2	401003	1	6		0			0	0
241	40021419	2	2	401003	1	6		0			0	0
242	40031419	2	2	401003	1	6		0			0	0
243	40041419	2	2	401003	1	6		0			0	0
244	40051419	2	2	401003	1	6		0			0	0
245	40061419	2	2	401003	1	6		0			0	0
246	40071419	2	2	401003	1	6		0			0	0
247	40081419	2	2	401003	1	6		0			0	0
248	40011420	2	2	401003	1	6		0			0	0
249	40021420	2	2	401003	1	6		0			0	0
250	40031420	2	2	401003	1	6		0			0	0
251	40041420	2	2	401003	1	6		0			0	0
252	40051420	2	2	401003	1	6		0			0	0
253	40061420	2	2	401003	1	6		0			0	0
254	40071420	2	2	401003	1	6		0			0	0
255	40081420	2	2	401003	1	6		0			0	0
256	40011428	2	2	401003	1	6		0			0	0
257	40021428	2	2	401003	1	6		0			0	0
258	40031428	2	2	401003	1	6		0			0	0
259	40041428	2	2	401003	1	6		0			0	0
260	40051428	2	2	401003	1	6		0			0	0
261	40061428	2	2	401003	1	6		0			0	0
262	40071428	2	2	401003	1	6		0			0	0
263	40081428	2	2	401003	1	6		0			0	0
264	40011429	2	2	401003	1	6		0			0	0
265	40021429	2	2	401003	1	6		0			0	0
266	40031429	2	2	401003	1	6		0			0	0
267	40041429	2	2	401003	1	6		0			0	0
268	40051429	2	2	401003	1	6		0			0	0
269	40061429	2	2	401003	1	6		0			0	0
270	40071429	2	2	401003	1	6		0			0	0
271	40081429	2	2	401003	1	6		0			0	0
272	40011430	2	2	401003	1	6		0			0	0
273	40021430	2	2	401003	1	6		0			0	0
274	40031430	2	2	401003	1	6		0			0	0
275	40041430	2	2	401003	1	6		0			0	0
276	40051430	2	2	401003	1	6		0			0	0
277	40061430	2	2	401003	1	6		0			0	0
278	40071430	2	2	401003	1	6		0			0	0
279	40081430	2	2	401003	1	6		0			0	0
280	40011431	2	2	401003	1	6		0			0	0
281	40021431	2	2	401003	1	6		0			0	0
282	40031431	2	2	401003	1	6		0			0	0
283	40041431	2	2	401003	1	6		0			0	0
284	40051431	2	2	401003	1	6		0			0	0
285	40061431	2	2	401003	1	6		0			0	0
286	40071431	2	2	401003	1	6		0			0	0
287	40081431	2	2	401003	1	6		0			0	0
288	40011701	2	2	401001	1	6		0			0	0
289	40021701	2	2	401001	1	6		0			0	0
290	40031701	2	2	401001	1	6		0			0	0
291	40041701	2	2	401001	1	6		0			0	0
292	40051701	2	2	401001	1	6		0			0	0
293	40061701	2	2	401001	1	6		0			0	0
294	40071701	2	2	401001	1	6		0			0	0
295	40081701	2	2	401001	1	6		0			0	0
296	40011702	2	2	401003	1	6		0			0	0
297	40021702	2	2	401003	1	6		0			0	0
298	40031702	2	2	401003	1	6		0			0	0
299	40041702	2	2	401003	1	6		0			0	0
300	40051702	2	2	401003	1	6		0			0	0
301	40061702	2	2	401003	1	6		0			0	0
302	40071702	2	2	401003	1	6		0			0	0
303	40081702	2	2	401003	1	6		0			0	0
304	40011703	2	2	401003	1	6		0			0	0
305	40021703	2	2	401003	1	6		0			0	0
306	40031703	2	2	401003	1	6		0			0	0
307	40041703	2	2	401003	1	6		0			0	0
308	40051703	2	2	401003	1	6		0			0	0
309	40061703	2	2	401003	1	6		0			0	0
310	40071703	2	2	401003	1	6		0			0	0
311	40081703	2	2	401003	1	6		0			0	0
312	40011704	2	2	401003	1	6		0			0	0
313	40021704	2	2	401003	1	6		0			0	0
314	40031704	2	2	401003	1	6		0			0	0
315	40041704	2	2	401003	1	6		0			0	0
316	40051704	2	2	401003	1	6		0			0	0
317	40061704	2	2	401003	1	6		0			0	0
318	40071704	2	2	401003	1	6		0			0	0
319	40081704	2	2	401003	1	6		0			0	0
320	40011705	2	2	401003	1	6		0			0	0
321	40021705	2	2	401003	1	6		0			0	0
322	40031705	2	2	401003	1	6		0			0	0
323	40041705	2	2	401003	1	6		0			0	0
324	40051705	2	2	401003	1	6		0			0	0
325	40061705	2	2	401003	1	6		0			0	0
326	40071705	2	2	401003	1	6		0			0	0
327	40081705	2	2	401003	1	6		0			0	0
328	40011706	2	2	401003	1	6		0			0	0
329	40021706	2	2	401003	1	6		0			0	0
330	40031706	2	2	401003	1	6		0			0	0
331	40041706	2	2	401003	1	6		0			0	0
332	40051706	2	2	401003	1	6		0			0	0
333	40061706	2	2	401003	1	6		0			0	0
334	40071706	2	2	401003	1	6		0			0	0
335	40081706	2	2	401003	1	6		0			0	0
336	40011707	2	2	401003	1	6		0			0	0
337	40021707	2	2	401003	1	6		0			0	0
338	40031707	2	2	401003	1	6		0			0	0
339	40041707	2	2	401003	1	6		0			0	0
340	40051707	2	2	401003	1	6		0			0	0
341	40061707	2	2	401003	1	6		0			0	0
342	40071707	2	2	401003	1	6		0			0	0
343	40081707	2	2	401003	1	6		0			0	0
344	40011432	2	2	401001	1	6		0			0	0
345	40021432	2	2	401001	1	6		0			0	0
346	40032432	2	2	401001	1	6		0			0	0
347	40041432	2	2	401001	1	6		0			0	0
348	40051432	2	2	401001	1	6		0			0	0
349	40061432	2	2	401001	1	6		0			0	0
350	40071432	2	2	401001	1	6		0			0	0
351	40081432	2	2	401001	1	6		0			0	0
352	40011432	2	3	401002	1	6		0			0	0
353	40021432	2	3	401002	1	6		0			0	0
354	40032432	2	3	401002	1	6		0			0	0
355	40041432	2	3	401002	1	6		0			0	0
356	40051432	2	3	401002	1	6		0			0	0
357	40061432	2	3	401002	1	6		0			0	0
358	40071432	2	3	401002	1	6		0			0	0
359	40081432	2	3	401002	1	6		0			0	0
360	40011433	2	2	401001	1	6		0			0	0
361	40021433	2	2	401001	1	6		0			0	0
362	40031433	2	2	401001	1	6		0			0	0
363	40041433	2	2	401001	1	6		0			0	0
364	40051433	2	2	401001	1	6		0			0	0
365	40061433	2	2	401001	1	6		0			0	0
366	40071433	2	2	401001	1	6		0			0	0
367	40081433	2	2	401001	1	6		0			0	0
368	40011433	2	3	401002	1	6		0			0	0
369	40021433	2	3	401002	1	6		0			0	0
370	40031433	2	3	401002	1	6		0			0	0
371	40041433	2	3	401002	1	6		0			0	0
372	40051433	2	3	401002	1	6		0			0	0
373	40061433	2	3	401002	1	6		0			0	0
374	40071433	2	3	401002	1	6		0			0	0
375	40081433	2	3	401002	1	6		0			0	0
376	40011434	2	2	401001	1	6		0			0	0
377	40021434	2	2	401001	1	6		0			0	0
378	40031434	2	2	401001	1	6		0			0	0
379	40041434	2	2	401001	1	6		0			0	0
380	40051434	2	2	401001	1	6		0			0	0
381	40061434	2	2	401001	1	6		0			0	0
382	40071434	2	2	401001	1	6		0			0	0
383	40081434	2	2	401001	1	6		0			0	0
384	40011434	2	3	401002	1	6		0			0	0
385	40021434	2	3	401002	1	6		0			0	0
386	40031434	2	3	401002	1	6		0			0	0
387	40041434	2	3	401002	1	6		0			0	0
388	40051434	2	3	401002	1	6		0			0	0
389	40061434	2	3	401002	1	6		0			0	0
390	40071434	2	3	401002	1	6		0			0	0
391	40081434	2	3	401002	1	6		0			0	0
392	40011435	2	2	401003	1	6		0			0	0
393	40021435	2	2	401003	1	6		0			0	0
394	40031435	2	2	401003	1	6		0			0	0
395	40041435	2	2	401003	1	6		0			0	0
396	40051435	2	2	401003	1	6		0			0	0
397	40061435	2	2	401003	1	6		0			0	0
398	40071435	2	2	401003	1	6		0			0	0
399	40081435	2	2	401003	1	6		0			0	0
400	40011436	2	2	401001	1	6		0			0	0
401	40021436	2	2	401001	1	6		0			0	0
402	40031436	2	2	401001	1	6		0			0	0
403	40041436	2	2	401001	1	6		0			0	0
404	40051436	2	2	401001	1	6		0			0	0
405	40061436	2	2	401001	1	6		0			0	0
406	40071436	2	2	401001	1	6		0			0	0
407	40081436	2	2	401001	1	6		0			0	0
408	40011436	2	3	401002	1	6		0			0	0
409	40021436	2	3	401002	1	6		0			0	0
410	40031436	2	3	401002	1	6		0			0	0
411	40041436	2	3	401002	1	6		0			0	0
412	40051436	2	3	401002	1	6		0			0	0
413	40061436	2	3	401002	1	6		0			0	0
414	40071436	2	3	401002	1	6		0			0	0
415	40081436	2	3	401002	1	6		0			0	0
416	40011437	2	2	401001	1	6		0			0	0
417	40021437	2	2	401001	1	6		0			0	0
418	40031437	2	2	401001	1	6		0			0	0
419	40041437	2	2	401001	1	6		0			0	0
420	40051437	2	2	401001	1	6		0			0	0
421	40061437	2	2	401001	1	6		0			0	0
422	40071437	2	2	401001	1	6		0			0	0
423	40081437	2	2	401001	1	6		0			0	0
424	40011437	2	3	401002	1	6		0			0	0
425	40021437	2	3	401002	1	6		0			0	0
426	40031437	2	3	401002	1	6		0			0	0
427	40041437	2	3	401002	1	6		0			0	0
428	40051437	2	3	401002	1	6		0			0	0
429	40061437	2	3	401002	1	6		0			0	0
430	40071437	2	3	401002	1	6		0			0	0
431	40081437	2	3	401002	1	6		0			0	0
432	40011438	2	2	401001	1	6		0			0	0
433	40021438	2	2	401001	1	6		0			0	0
434	40031438	2	2	401001	1	6		0			0	0
435	40041438	2	2	401001	1	6		0			0	0
436	40051438	2	2	401001	1	6		0			0	0
437	40061438	2	2	401001	1	6		0			0	0
438	40071438	2	2	401001	1	6		0			0	0
439	40081438	2	2	401001	1	6		0			0	0
440	40011438	2	3	401002	1	6		0			0	0
441	40021438	2	3	401002	1	6		0			0	0
442	40031438	2	3	401002	1	6		0			0	0
443	40041438	2	3	401002	1	6		0			0	0
444	40051438	2	3	401002	1	6		0			0	0
445	40061438	2	3	401002	1	6		0			0	0
446	40071438	2	3	401002	1	6		0			0	0
447	40081438	2	3	401002	1	6		0			0	0
448	40011439	2	2	401001	1	6		0			0	0
449	40021439	2	2	401001	1	6		0			0	0
450	40031439	2	2	401001	1	6		0			0	0
451	40041439	2	2	401001	1	6		0			0	0
452	40051439	2	2	401001	1	6		0			0	0
453	40061439	2	2	401001	1	6		0			0	0
454	40071439	2	2	401001	1	6		0			0	0
455	40081439	2	2	401001	1	6		0			0	0
456	40011439	2	3	401002	1	6		0			0	0
457	40021439	2	3	401002	1	6		0			0	0
458	40031439	2	3	401002	1	6		0			0	0
459	40041439	2	3	401002	1	6		0			0	0
460	40051439	2	3	401002	1	6		0			0	0
461	40061439	2	3	401002	1	6		0			0	0
462	40071439	2	3	401002	1	6		0			0	0
463	40081439	2	3	401002	1	6		0			0	0
464	40011440	2	2	401001	1	6		0			0	0
465	40021440	2	2	401001	1	6		0			0	0
466	40031440	2	2	401001	1	6		0			0	0
467	40041440	2	2	401001	1	6		0			0	0
468	40051440	2	2	401001	1	6		0			0	0
469	40061440	2	2	401001	1	6		0			0	0
470	40071440	2	2	401001	1	6		0			0	0
471	40081440	2	2	401001	1	6		0			0	0
472	40011440	2	3	401002	1	6		0			0	0
473	40021440	2	3	401002	1	6		0			0	0
474	40031440	2	3	401002	1	6		0			0	0
475	40041440	2	3	401002	1	6		0			0	0
476	40051440	2	3	401002	1	6		0			0	0
477	40061440	2	3	401002	1	6		0			0	0
478	40071440	2	3	401002	1	6		0			0	0
479	40081440	2	3	401002	1	6		0			0	0
480	40011441	2	2	401001	1	6		0			0	0
481	40021441	2	2	401001	1	6		0			0	0
482	40031441	2	2	401001	1	6		0			0	0
483	40041441	2	2	401001	1	6		0			0	0
484	40051441	2	2	401001	1	6		0			0	0
485	40061441	2	2	401001	1	6		0			0	0
486	40071441	2	2	401001	1	6		0			0	0
487	40081441	2	2	401001	1	6		0			0	0
488	40011441	2	3	401002	1	6		0			0	0
489	40021441	2	3	401002	1	6		0			0	0
490	40031441	2	3	401002	1	6		0			0	0
491	40041441	2	3	401002	1	6		0			0	0
492	40051441	2	3	401002	1	6		0			0	0
493	40061441	2	3	401002	1	6		0			0	0
494	40071441	2	3	401002	1	6		0			0	0
495	40081441	2	3	401002	1	6		0			0	0
496	40011442	2	2	401001	1	6		0			0	0
497	40021442	2	2	401001	1	6		0			0	0
498	40031442	2	2	401001	1	6		0			0	0
499	40041442	2	2	401001	1	6		0			0	0
500	40051442	2	2	401001	1	6		0			0	0
501	40061442	2	2	401001	1	6		0			0	0
502	40071442	2	2	401001	1	6		0			0	0
503	40081442	2	2	401001	1	6		0			0	0
504	40011442	2	3	401002	1	6		0			0	0
505	40021442	2	3	401002	1	6		0			0	0
506	40031442	2	3	401002	1	6		0			0	0
507	40041442	2	3	401002	1	6		0			0	0
508	40051442	2	3	401002	1	6		0			0	0
509	40061442	2	3	401002	1	6		0			0	0
510	40071442	2	3	401002	1	6		0			0	0
511	40081442	2	3	401002	1	6		0			0	0
512	40011443	2	2	401004	1	6		0			0	0
513	40021443	2	2	401004	1	6		0			0	0
514	40031443	2	2	401004	1	6		0			0	0
515	40041443	2	2	401004	1	6		0			0	0
516	40051443	2	2	401004	1	6		0			0	0
517	40061443	2	2	401004	1	6		0			0	0
518	40071443	2	2	401004	1	6		0			0	0
519	40081443	2	2	401004	1	6		0			0	0
520	40011443	2	3	401005	1	6		0			0	0
521	40021443	2	3	401005	1	6		0			0	0
522	40031443	2	3	401005	1	6		0			0	0
523	40041443	2	3	401005	1	6		0			0	0
524	40051443	2	3	401005	1	6		0			0	0
525	40061443	2	3	401005	1	6		0			0	0
526	40071443	2	3	401005	1	6		0			0	0
527	40081443	2	3	401005	1	6		0			0	0
528	40011444	2	2	401003	1	6		0			0	0
529	40021444	2	2	401003	1	6		0			0	0
530	40031444	2	2	401003	1	6		0			0	0
531	40041444	2	2	401003	1	6		0			0	0
532	40051444	2	2	401003	1	6		0			0	0
533	40061444	2	2	401003	1	6		0			0	0
534	40071444	2	2	401003	1	6		0			0	0
535	40081444	2	2	401003	1	6		0			0	0
536	40011445	2	2	401001	1	6		0			0	0
537	40021445	2	2	401001	1	6		0			0	0
538	40031445	2	2	401001	1	6		0			0	0
539	40041445	2	2	401001	1	6		0			0	0
540	40051445	2	2	401001	1	6		0			0	0
541	40061445	2	2	401001	1	6		0			0	0
542	40071445	2	2	401001	1	6		0			0	0
543	40081445	2	2	401001	1	6		0			0	0
544	40011445	2	3	401002	1	6		0			0	0
545	40021445	2	3	401002	1	6		0			0	0
546	40031445	2	3	401002	1	6		0			0	0
547	40041445	2	3	401002	1	6		0			0	0
548	40051445	2	3	401002	1	6		0			0	0
549	40061445	2	3	401002	1	6		0			0	0
550	40071445	2	3	401002	1	6		0			0	0
551	40081445	2	3	401002	1	6		0			0	0
552	40011446	2	2	401001	1	6		0			0	0
553	40021446	2	2	401001	1	6		0			0	0
554	40031446	2	2	401001	1	6		0			0	0
555	40041446	2	2	401001	1	6		0			0	0
556	40051446	2	2	401001	1	6		0			0	0
557	40061446	2	2	401001	1	6		0			0	0
558	40071446	2	2	401001	1	6		0			0	0
559	40081446	2	2	401001	1	6		0			0	0
560	40011446	2	3	401002	1	6		0			0	0
561	40021446	2	3	401002	1	6		0			0	0
562	40031446	2	3	401002	1	6		0			0	0
563	40041446	2	3	401002	1	6		0			0	0
564	40051446	2	3	401002	1	6		0			0	0
565	40061446	2	3	401002	1	6		0			0	0
566	40071446	2	3	401002	1	6		0			0	0
567	40081446	2	3	401002	1	6		0			0	0
568	40011447	2	2	401001	1	6		0			0	0
569	40021447	2	2	401001	1	6		0			0	0
570	40031447	2	2	401001	1	6		0			0	0
571	40041447	2	2	401001	1	6		0			0	0
572	40051447	2	2	401001	1	6		0			0	0
573	40061447	2	2	401001	1	6		0			0	0
574	40071447	2	2	401001	1	6		0			0	0
575	40081447	2	2	401001	1	6		0			0	0
576	40011447	2	3	401002	1	6		0			0	0
577	40021447	2	3	401002	1	6		0			0	0
578	40031447	2	3	401002	1	6		0			0	0
579	40041447	2	3	401002	1	6		0			0	0
580	40051447	2	3	401002	1	6		0			0	0
581	40061447	2	3	401002	1	6		0			0	0
582	40071447	2	3	401002	1	6		0			0	0
583	40081447	2	3	401002	1	6		0			0	0
584	40011448	2	2	401001	1	6		0			0	0
585	40021448	2	2	401001	1	6		0			0	0
586	40031448	2	2	401001	1	6		0			0	0
587	40041448	2	2	401001	1	6		0			0	0
588	40051448	2	2	401001	1	6		0			0	0
589	40061448	2	2	401001	1	6		0			0	0
590	40071448	2	2	401001	1	6		0			0	0
591	40081448	2	2	401001	1	6		0			0	0
592	40011448	2	3	401002	1	6		0			0	0
593	40021448	2	3	401002	1	6		0			0	0
594	40031448	2	3	401002	1	6		0			0	0
595	40041448	2	3	401002	1	6		0			0	0
596	40051448	2	3	401002	1	6		0			0	0
