序号	键值	数值
99	TargetRemainTime	30
100	TargetValidDistance	20
101	MiniMapScale	3
102	AutoAtkMinSearchRadius	9
103	WorldMapPathInterval	30
104	WorldMapBgTex	bgmap
105	HpWarning	0.15
106	PlayerDefaultCamp	0
107	PVPCampRed	5
108	PVPCampBlue	6
109	HorseBindPos	ride
110	TeamScoreChange	100,999999
111	TeamFiveMatchInit	25,0,1,110,300,0,0,0
112	TeamTenMatchInit	26,0,1,110,300,0,0,0
113	TeamCaptainOfflineTime	30
114	TeamCaptainCallFollowLimit	10
115	TeamInviteCDLimit	30
116	TeamMessageInviteCDLimit	30
117	TeamFiveRefreshType	2
118	TeamTenRefreshType	4
119	TeamTitleAllImageName	icon_world
120	TeamTitleFiveImageName	temp_zhanli
121	TeamTitleTenImageName	temp_zhanli
122	TeamDungeonNoTimesLeave	1
123	CreateTeamLevel	0
124	TeamCallFollowWaitTime	10
125	TeamCaptainApplyIntervalTime	60
126	TeamCaptainApplyDecideTime	8
127	TeamCaptainRefuseApplyClaimerNotice	Msg_Team_Captain_RefuseApply_Claimer
128	TeamCaptainRefuseApplyMemberNotice	Msg_Team_Captain_RefuseApply_Member
129	TeamCaptainAgreeApplyClaimerNotice	Msg_Team_Captain_AgreeApply_Claimer
130	TeamCaptainAgreeApplyMemberNotice	Msg_Team_Captain_AgreeApply_Member
131	TeamApplyCaptainLoseClaimerNotice	Msg_Team_ApplyCaptain_Lose_Claimer
132	TeamApplyCaptainLoseMemberNotice	Msg_Team_ApplyCaptain_Lose_Member
133	TeamApplyCaptainSuccessClaimerNotice	Msg_Team_ApplyCaptain_Success_Claimer
134	TeamApplyCaptainSuccessMemberNotice	Msg_Team_ApplyCaptain_Success_Member
135	TeamApplyCaptainStopNotice	Msg_Team_ApplyCaptain_Stop_Claimer
136	RequestBeCaptainTips	Msg_Team_ApplyCaptain_Self_Notice
137	MatchTimeoutTime	90
138	FriendGroupMaxRow	4
139	FriendGroupNameLen	5
140	FriendPromptTime	300000
141	FriendPromptLimit	0
142	MaxGroupMemberNum	50
143	ChatTalkInfoMaxCount	200
144	FriendPointChangeNameNotice	5
145	FriendPointDefaultLimit	199999
146	FriendGiftNormalGiftNotice	MSG_FriendGift_NormalGiftNotice
147	FriendGiftChooseTypeLimit	5
148	FriendGiftGiveSuccessNotice	Msg_FriendGift_GiveSuccessNotice
149	StorageBoxUnlockCost	1,0;1,0;1,1000000;1,1000000;1,2000000;1,2000000;1,4000000;1,4000000;1,8000000;1,16000000;1,16000000;1,16000000;1,32000000;1,32000000;1,32000000
150	MaxStorageBoxCapacity	25
151	StorageBoxNum	15
152	JoystickTargetSearchFarRadius	13
153	JoystickTargetSearchFrontRadius	7
154	JoystickTargetSearchBackRadius	11
155	JoystickTargetSearchFarAngle	180
156	SkillColMaxCount	4
157	UnlockSkillColConsumeType	1
158	UnlockSkillColConsume	0,500000,2000000,5000000
159	ResetSkillPointConsumeType	1
160	ResetSkillPointConsume	0
161	TeamSkillACount	2
162	TeamSkillACD	150
163	TeamSkillAPublicCD	5
164	MaxStorageBoxNameLenght	4
165	DanmakuChannel	Guild,Team
166	VoiceChatInterval	1
167	MinVoiceTime	0.5
168	MaxVoiceTime	30
169	MaxChatCharacterCount	60
170	MaxChatItemCount	3
171	PlayerChatBubbleStayTime	5
172	ChatTimeInterval	300
173	MaxHistoryInputSize	8
174	ChatJoinTeamNotice	UI_Channel_JoinTeam
175	ChatLeaveTeamNotice	UI_Channel_LeaveTeam
176	ChatJoinGuildNotice	UI_Channel_JoinGuild
177	ChatLeaveGuildNotice	UI_Channel_LeaveGuild
178	ChatChangeCaptainNotice	UI_Channel_ChangeCaptain
179	ChatLeaveExpelNotice	UI_Channel_ExpelGuild
180	StrangerChatMessageNum	12,10;30,30;40,40;50,50
181	StrangerChatPersonNum	12,3;30,10;40,15;50,20
182	StrangerLevelSetting	20
183	StrangerReportLevelLimit	30
184	StrangerReportClearDays	3
185	ChannelTabOrder	1;2;6;3;4;5;9
186	PastMessageMaxNumber	200
187	PastMessageGetTime	180
188	PlayerRelationLifeTime	300
189	LinePercentageLimit	8000
190	LineMinPeople	1
191	LineMinPeopleTime	600
192	LineDeleteTime	180
193	RideOffState	0;1;2;9;12;16;14
194	RideNavigationMinDist	10
195	PreBornPoint	42;-83.14;152.2;-93.78;0;0.5
196	BornPoint	42;-71.2;-4.6;-57.0;48.4;0.5
197	TalkWriterSpeed	0.03
198	MonsterExpShareRadius	20
199	MonsterDropShareRadius	10
200	LevelAutoPickTime	6
201	ReceiveNumNotFullNotice	ReceiveNumNotFull
202	ItemSceneDropDefaultTime	60
203	DamageHatredRatio	1
204	HealHatredRatio	1
205	CrackMaxKeepMultipleRewardsTimes	15
206	CrackLeastTeamMemberNumber	3
207	CrackTimeLimit	1800
208	CrackExtraMissionAcceptProbability	0
209	CrackEnterTeamDistanceLimit	20
210	ExtraCrackID	11
211	RefreshDevilNum	10
212	DevilSealOpenTime	13:00;0:30
213	DevilUnopenedRecoveryTime	900
214	DevilOpenedRecoveryTime	1200
215	OutEffectFactor	0.03
216	WarningInfoRange	15
217	ArenaChallengeInitialTimes	5
218	ArenaReadyTime	3
219	ArenaChallengeCD	0
220	ArenaBattleCD	120
221	ArenaLeaveTime	20
222	ArenaStopTime	23:00:00;23:15:00
223	ArenaSpecialMatchRule1	8000,8500
224	ArenaSpecialMatchRule2	8500,9000
225	ArenaSpecialMatchRule3	9000,9500
226	ArenaSpecialMatchRule4	9500,9900
227	ArenaScene	1900,5000;1901,5000
228	ArenaEnterWaitTime	4
229	ArenaEnterWaitAnimTime	3
230	ArenaRankRewardTime	23:10:00
231	ArenaSceneID	1900
232	ArenaRobotBattleTime	3
233	ArenaExpRewardCoefficient	1200
234	ArenaRevengeLimit	500
235	MultiDuelInitialScore	0
236	MultiDuelBattleTime	300
237	MultiDuelInitialTimes	10
238	MultiDuelRatio	20
239	MultiDuelFirstWinReward	item102000010101,1
240	MultiDuelTenBattleReward	item102000010102,1
241	MultiDuelLeaveTime	20
242	MultiDuelExportDamageExtraScore	30
243	MultiDuelEndureDamageExtraScore	30
244	MultiDuelCureExtraScore	30
245	MultiDuelBattleWin	item1009,4000;item4007,1
246	MultiDuelBattleLose	item1009,2400;item4007,1
247	MultiDuelSecondMatchTime	5
248	MultiDuelThirddMatchTime	10
249	MultiDuelFinalMatchTime	15
250	MultiDuelWaitSceneTime	300
251	MultiDuelWaitLoadingTime	20
252	MultiDuelBattleMessage	10
253	MultiDuelEnterMemberMaxCount	3
254	MultiDuelMatchExpectTime	8,12
255	MultiDuelBuffPointNum	2
256	MultiDuelBuffCD	30
257	MultiDuelHPBuff	commonbuff::buff_Common_3v3_DoubleHPMAX
258	MultiDuelFalsifyTeammate	hero101,32,13190,Robot_Name1;hero104,32,13225,Robot_Name2
259	MultiDuelFalsifyEnemy	hero104,32,13182,Robot_Name3;hero102,32,13205,Robot_Name4;hero103,32,13156,Robot_Name5
260	MultiDuelWaitSceneExp	5
261	MultiDuelMatchGroupNum	50
262	MultiDuelRobotMatchTime	10
263	MultiDuelRobotSwitch	1
264	MultiDuelWordNotice	4
265	MultiDuelCloseEffect	8
266	MultiDuelWaitScene	98
267	DevilSealUpdateTime	5
268	MaxFuncMenuCols	4
269	TreasureMapAdvancedDistance	2
270	AttackGemSuitOpenLevel	40
271	DefendGemSuitOpenLevel	40
272	AssistGemSuitOpenLevel	40
273	GemSelectProtection	200
274	MinShowNum	0
275	MaxShowNum	25
276	CrackRewardFluctuate	500
277	MaxBuyNumInShop	999
278	JumpHorizontalVelocity	16
279	JumpVerticalVelocity	10
280	JumpArriveActionTime	200
281	RoleEnergyLimit	2000
282	RoleEnergyLimitNotice	Msg_Energy_Limit
283	AccelerateVarCoefRes	0.04
284	AccelerateVarCoefWei	10
285	TransDoorLocation	0,0,0,0
286	SecretDuelWordNotice	4
287	SecretShakeMin	1
288	SecretShakeMax	4
289	SecretShakeWeightEvent	2
290	SecretMaxLoadCoef	0.6
291	TeamSecretGradeBasicBuff	
292	TeamSecretGradeBasicBuffLimit	
293	SecretEnterCost	item101100111001,1
294	SecretPracticeCost	item101100111002,1
295	SecretArriveBottomNoUse	item120010111002,item120010111003
296	TowerTrialScene	1500
297	SecretTestJumpMax	5
298	SecretEmpowerValueS	1
299	SecretEmpowerValueM	5
300	SecretEmpowerValueL	20
301	UnlimitSecretSeasonNoRankReward	item1006,150
302	UnlimitFireTaskFlyParticle	10067
303	UnlimitFireTaskFlashParticle	10068
304	UnlimitFireTaskLightPointParticle	10069
305	TeamSecretNoRewardNotice	MSG_TeamSecret_NoReward1
306	TeamSecretNoExtraRewardNotice	MSG_TeamSecret_NoReward2
307	TeamSecretAlreadyPerfectNotice	MSG_TeamSecret_NoReward3
308	UnlimitTowerSectionOverTime	3
309	UnlimitTowerInterfaceID	1401
310	UnlimitTowerParticipationTimes	5
311	LoginNoticePropTime	3600
312	LoginUserAgreementShow	1
313	ArrowGuideEffectId	40002
314	SkipGuideTime	30
315	FairyInitialField	3
316	FairyMaxField	20
317	FairyMaxFollowNum	1
318	FairyMaxBroodingEgg	2
319	FairyMaxDispatchNum	3
320	FairyAddLifeTime	item101040101001,200;item101040101002,600
321	FairyAddRepletion	item101040101011,30;item101040101012,100
322	FairyRevive	item101040101021,1
323	FairyInitialLifeTimePoint	2000
324	FairyLifeTimePointReduceTime	1440
325	FairyInitialRepletionPoint	60
326	FairyRepletionPointReduceTime	7200
327	FairyNameMaxNameLenght	6
328	FairyEggGainWayItemID	item101020501001
329	FairyEggBroodingTime	30,60
330	FollowDistanceAutoRide	6
331	FairyFosterStorageNum	3
332	FairyGrowSpeed	0.3
333	FairyLifeTimePointLimit	100
334	FairyRepletionPointLimit	40
335	SystemInfoRefreshInterval	30
336	ElectricityDisplay	20,40
337	WifiSignalStatus	0,100
338	SignalStatus	0,100
339	ExpToTalentPointRatio	0.1
340	CreateHeroInitialCameraPos	177.5187,82.01326,-138.32
341	CreateHeroInitialCameraRot	4.865,13.543,-0.001
342	CreateHeroInitialCameraFieldOfView	66
343	NoticeCallBossActivateProgress	Tips2001
344	NoticeCallBossRevive	Tips2002
345	NoticeCallBossAppear	Tips2003
346	NoticeCallBossDieByself	Tips2004
347	NoticeCallBossDieByother	Tips2005
348	CallBossMailRewardTimeDelay	300
349	ExpConversionSp	item90000000018,item90000000035
350	MarqueeSpeed	100
351	MarqueeMaxNum	200
352	MarqueeLifeTime	300
353	MarqueeInterval	1.5
354	BottomMarqueeShowTimeNotMove	5
355	BottomMarqueeShowTimeAfterMove	4
356	MarqueeRecycleMaxNum	50
357	PetTeleportationToPlayerPos	25
358	LoginActivationCode	http://sr.xianyugame.com
359	LeaveNPCCloseUI	10
360	CombatPowerChangedShowTime	2
361	CommonCpFormulaId	6
362	GuildTrainCpFormulaId	6
363	TitleCpFormulaId	6
364	AdvantureBookCpFormulaId	6
365	StrengthenAchieveCpFormulaId	6
366	RefineAchieveCpFormulaId	6
367	ConquerWayCpFormulaId	6
368	RuneCpFormulaId	6
369	TalentPropCpFormulaId	6
370	HeroRoadCpFormulaId	6
371	FashionCpFormulaId	6
372	ShineWeaponFormulaId	6
373	StarChildFormulaId	110
374	StarChildOrdinaryFormulaId	6
375	GemExpToSilverRatio	10000
376	GemResolveOutEssence	item107999910001,10
377	GemResolveOutExp	item107999900001,item107999900002,item107999900003
378	GemLegendResolveOut	item107999910001
379	LegendGemResolveOutDebris	item107999930001,85
380	LegendGemResolveOutExp	item107999900001,item107999900002,item107999900003,item107999910001
381	GemLevelUpGainWay	1411
382	GemMaterialLevelUpGainWay	2002
383	FuncButtonFlyTime	1
384	FuncButtonStayTime	2
385	NoticeContentRefreshTimes	1800
386	MaxMailListSize	200
387	MailTotalLifeTime	2592000
388	MailReadLifeTime	2592000
389	ExchangeNotice	MSG_Exchange_SellNotice
390	MsgtreasureDevilCountMax	Msg_treasure_Devil_MaxCount
391	MsgtreasureDevilCount	Msg_treasure_Devil_Count
392	NormalItemExchangeTime	10000
393	RareItemShowTime	10000
394	RareItemExchangeTime	10000
395	RareItemBuyerTime	10000
396	RareItemLockTime	10000
397	NormalItemShoppingTips	Msg_Exchang_ShoppingTips
398	NormalItemShoppingReceipt	NormalItemShoppingReceipt
399	NormalItemShoppingReceiptSuccess	NormalItemShoppingReceiptSuccess
400	NormalItemShoppingReceiptfail	NormalItemShoppingReceiptfail
401	LoadingTextureName	loading_5
402	AutoPathFindingOpen	1501,1601,1701,1268,1269,1270,1271
403	TaskRank	1;11;5;13;3;8;17;37;39;34;2;7;9;6;4;10
404	GuildNameLimit	12
405	GuildPurposeLimit	100
406	GuildCreateCost	3,60
407	GuildAutoApplyCD	30
408	GuildAutoApplyCount	10
409	GuildPositionNameLen	6
410	GuildTrainChangeCost	2000000
411	GuildChairmanOfflineLimit	72
412	GuildReturnTime	72
413	GuildNewsMaxNum	20
414	GuildJoinConditionLevel	100
415	GuildJoinConditionCP	999999
416	GuildSignatureMaxWord	30
417	GuildRedCardListNum	40
418	GuildRedCardWishWordNum	20
419	GuildRedCardOnceUseLimit	10
420	GuildJoinInitialLevel	10
421	GuildJoinInitialCP	500
422	GuildTaskOneRingNum	5
423	GuildTaskWeekMaxNum	70
424	GuildTaskDayMaxNum	15
425	GuildTaskExtraReward	item1003,100;item1001,1000;item100100000001,2
426	GuildDiamondCardDes	UI_Guild_DiamondCard_Des
427	GuildSystemCardDes	UI_Guild_SystemCard_Des
428	GuildRedCardItem	item1001
429	GuildExpelDailyLimit	15
430	AchievementRecentlyGetNum	10
431	GuildSceneID	40
432	GuildInitialFund	1000000
433	GuildDismissTime	2
434	GuildExchangeLimit	10
435	GuildWeekHelpLimit	10
436	GuildMailTitleMaxCount	6
437	GuildMailContentMaxCount	50
438	GuildChangeNameCost	item101200000017,1
439	GuildChangeNameCharacterNum	12
440	GuildChangeNamePower	1;2
441	GuildChangeNameItemCost	item101200000017,3,100
442	GuildChangeEmblemCost	1,500000
443	DelayDropFromBox	0.5
444	DropInterval	0.2
445	OfflineIdleAction	5
446	TitlePlayTimeMin	5
447	TitlePlayTimeMax	20
448	ChangeNameCost	item101200000002,1
449	ChangeNameCharacterNum	12
450	ChangeConstellationCost	item101200000014,1
451	ChangeConstellationCD	3600
452	ConstellationOrder	0,1,2,3,4,5,6,7,8,9,10,11
453	MaxExchangeFocusNum	24
454	SubSpaceActivityForeshowTime	600
455	SubSpaceRecordNum	5
456	SubSpaceFalseBossNotice	Msg_Subspace_FalseBoss_Notice
457	SubSpaceRealBossNotice	Msg_Subspace_RealBoss_Notice
458	SubSpaceFalseBossLastKillNotice	Msg_Subspace_FalseBoss_LastKill_Notice
459	SubSpaceRealBossLastKillNotice	Msg_Subspace_RealBoss_LastKill_Notice
460	SubSpaceFalseBossDamageNotice	Msg_Subspace_FalseBoss_Damage_Notice
461	SubSpaceRealBossDamageNotice	Msg_Subspace_RealBoss_Damage_Notice
462	CheckInRefreshTime	0
463	CheckInRetroactiveItemId	item143000000001
464	AutoFightPauseDuration	3
465	OpenSkillPage	
466	CombatTrainingSkill02	10000060,0
467	DinnerExpTime	5
468	DinnerAnswerReadyTime	30
469	DinnerAnswerTime	25
470	DinnerAnswerTureTime	8
471	GuildAnswerTureConsumeType	4
472	GuildAnswerTureConsume	40
473	GuildAnswerFalseConsumeType	4
474	GuildAnswerFalseConsume	28
475	DinnerBoxPickUpNum	5
476	DinnerOrder	58:2;59:1;60:3
477	FightSoundEffectMAX	10
478	AnswerReadyTime	10
479	AnswerTureTime	8
480	AnswerEnrollTime	160
481	AnswerTotalRewardType	item1001
482	AnswerFirstTestStatusLimit	6
483	AnswerFirstTestReviveToken	9
484	AnswerReviveTokenItem	item101200000015
485	AnswerFirstTestShowResultTime	1.5
486	AnswerTotalRewardInfo	item1001,500000
487	AnswerRewardLimitNum	25
488	AnswerBeginReminderTime	60
489	AnswerReexamineForeshowTime	300000
490	AnswerExtraReward	6000
491	AnswerTotalRewardInfoClient	item1001,500000
492	AnswerFirstTestDefLastInfo	item1001,30000
493	AuctionHouseEventuateLifeTime	86400
494	AuctionHouseWorldTime	21600
495	AuctionHouseMinNumLimit	20
496	AuctionHouseDungeonMinNumLimit	10
497	AuctionHouseDungeonNotice	Msg_Auction_Dungeon_Notice
498	AuctionHouseProfitTax	0.9
499	CatchBubbuleStayTime	3
500	CatchPetQteFailureBuff	commonbuff::buff_Common_STUN
501	CatchPetRunAI	113
502	CatchPetSpringRange	10
503	CatchPetFailBlueTimes	24
504	CatchPetFailPurpleTimes	19
505	CatchPetChainsMustSuccess	19
506	CatchPetChainsAvatarSize	0.8
507	CdkButtonTimeLimit	2
508	BuffBallItemNameHeightDeviation	1
509	MainUISceneNameShowDelayTime	1
510	HeadInfoLifeTime	10
511	DonateHelpNum	10
512	AdventureReserveTime	1800
513	DonationSeekHelpNum	3
514	EffectCountLimit	50
515	ShowTeamdistance	15
516	ShowTeamdistanceLimit	30
517	AutoCloseAwardPanelTime	20
518	GuildBossDefaultTime1	3,19,40
519	GuildBossDefaultTime2	6,19,40
520	GuildBossDefaultTime3	7,19,40
521	GuildBossSetTime	2
522	NotInGuild	Msg_Player_Not_In_Guild
523	MessageTooFluency	Msg_Client_Message_Too_Fluency
524	GuildBossGuildLevelRequire	2
525	GuildBossChangeTimeLimit	2
526	GuildBossCurrentChallenge	10000016
527	GuildBossAppear	110005
528	GuildBossDisappear	110006
529	GuildBossActivityTime	600
530	GuildBossDeadLineTime	10
531	GuildBossOpenLevel	2
532	GuildBossDisappearTime	1
533	BattlefieldDelayTime	3
534	BattlefieldWaitTime	3
535	WeekMaxBattlePoint	250000
536	BattlefieldPunishTime	120
537	BattlefieldHangUpTime	120
538	BattlefieldCrossServerTime	10
539	BattlefieldCrossLevelTime	120
540	BattlefieldAssistMaxTime	30
541	BattlefieldMultiKillMaxTime	60
542	BattlefieldMaxTime	600
543	BattlefieldCupCollectTime	6
544	BattlefieldCupPutTime	6
545	BattlefieldCupResetTime	60
546	BattlefieldNormalReliveTime	10
547	BattlefieldHelpWardPoint	100
548	BattlefieldKillGetScore	1
549	BattlefieldCupGetScore	50
550	BattlefieldKillWardPoint	220
551	BattlefieldCupWardPoint	5000
552	BattlefieldWinPoint	3000
553	BattlefieldDefaultPoint	2000
554	BattlefieldMaxWinWard	12000
555	BattlefieldMaxDefaultWard	12000
556	BattlefieldJoinAwardTime	2
557	BattlefieldJoinAwardRate	1
558	BattlefieldJoinAwardItem	item8103010111017,6;item1014,60;item4008,1;item1001,600
559	BattlefieldJoinAwardBox	box_900002_001;2.4;0,0.5,0;0,-20,0
560	BattlefieldWinAwardTime	1
561	BattlefieldWinAwardRate	1
562	BattlefieldWinAwardItem	item8103010111017,12;item1014,40;item4008,1;item1001,800;item103010111102,4
563	BattlefieldWinAwardBox	box_900002_001;2.4;0,0.5,0;0,-20,0
564	BattlefieldGroupStartTime	0,21:20-21:40;2,21:20-21:40;3,13:30-14:00;4,21:20-21:40;5,13:30-14:00
565	BattlefieldMatchingTimeInfo	0,1,21:00-21:20,21:20-21:40;2,1,21:00-21:20,21:20-21:40;3,1,13:00-13:30,13:30-14:00;4,1,21:00-21:20,21:20-21:40;5,1,13:00-13:30,13:30-14:00
566	BattlefieldAutoLeaveTime	20
567	BattlefieldQuickReliveTime	10
568	BattlefieldMaxMatchTime	300
569	BattlefieldGrailCampBluePlacePos	80.94,-2.8,80.44
570	BattlefieldGrailCampRedPlacePos	-77.24,-2.6,-77.54
571	BattlefieldGrailPickUpAvatarZoom	0.7
572	BattlefieldGrailEffect	10000020
573	BattlefieldLivingRoleLimit	8
574	BattlefieldEachCampNum	10
575	ExploitsItemInfos	item100000000059,2000
576	BattlefieldSingleMatchLimitGroup	2
577	BattlefieldSingleMatchSelfSeverTime	3
578	BattlefieldSingleMatchCrossSeverWaitTime	8
579	PlayerExpChaseSampleNum	10
580	EffectGroupPrior	30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
581	DevilMaxKeepTimes	5
582	PetBreakLevelLimit	5
583	PetRebornItem	item101040101061,1
584	PetMaxFightNum	3
585	PetLevelUpCostBase	20
586	PetFightSkillOpenLevel	1,1,1
587	PetBreakHelpDailyTimes	5
588	PetReleaseItemReturn	item101040101017
589	PetBreakHelpSuccess	Msg_Pet_BreakHelpSuccess
590	PetRideInviteDistance	8
591	PetCatchDistance	10
592	PetRideOverdue	Msg_Pet_RideOverdue
593	PetPersonalityPetLevelConditon	70
594	PetExclusiveToyPetLevelConditon	62
595	PetNormalToyPetLevelConditon	56
596	PetToyGainWay	83
597	PetToyBegNum	200
598	PetPersonalityNoIcon	talent_1041803
599	PetToyBegShortNoticeNum	160,170,180,190,200
600	PetToyBegShortNotice	PetToy_BegShort_Notice
601	PetFragmentList	item101020505208,item101020505309,item101020505310,item101020505311,item101020505312,item101020505313,item101020505314,item101020505315,item101020505316,item101020505317,item101020505336,item101020505339,item101020505341,item101020505343,item101020505344,item101020505345,item101020505346,item101020505347,item101020505348,item101020505349,item101020505350,item101020505351,item101020505352,item101020505353,item101020505354,item101020505355,item101020505356,item101020505357,item101020505358,item101020505359,item101020505360,item101020505361,item101020505363,item101020505364,item101020505365,item101020505366,item101020505367,item101020505368,item101020505369,item101020505370,item101020505371,item101020505372,item101020505373,item101020505374,item101020505375,item101020505376,item101020505377,item101020505378,item101020505379,item101020505380,item101020505381,item101020505382,item101020505383,item101020505385,item101020505386,item101020505387,item101020505388
602	PetUniversalFragment	item101020505208
603	RedPetAccess	481
604	OffLineTrusteeshipTime	1800
605	CaptainOffLineTrusteeshipTime	600
606	DefauleOpenWordChanelLevel	10
607	NearDeathUIHP	20
608	ActivityNoticeTime	12
609	NormalIconSize	78
610	BlueprintIconSize	46
611	ServerJoinTimeLong	600
612	EnterAutoRotateTime	0
613	EnterAutoRotateAngle	120
614	ChangeEnterAutoRotateTime	1
615	ManualEnterAutoRotateTime	2
616	AutoRotateSmoothTime	2.5
617	TaskRingDoubleReward	Msg_TaskRing_DoubleReward
618	TaskRingLuckyReward	Msg_TaskRing_LuckyReward
619	TaskRingFortuneReward	Msg_TaskRing_FortuneReward
620	TaskRingGiveItemTypeMax	5
621	TaskRingKillMonsterTypeMax	5
622	GuildHelpGiveItemTypeMax	5
623	GuildHelpValidTime	300
624	GuildHelpFrequencyInterval	30
625	TaskRingAnswerTime	50
626	GuildHelpPlayerNotOnlineMail	mail_guild_taskringbefunded
627	OVVolume	0.3
628	JobChangeItem	1,50000
629	JobChangeAvatarTime	3
630	JobChangeLevel	70
631	ReportTextNumber	300
632	IsResolveTreasuresEquip	1
633	CreateRoleSceneName	900019
634	StoryPostEffectNeedQuality	1
635	ClimbStart	-55,-4.328949,18.5,210
636	ClimbEnd	-55,6.3,18.5,210
637	ClimbEndJump	-54.2,6.6,19.4,210
638	ClimbSpeedSlow	1
639	ClimbSpeedHigh	1.5
640	ClimbSpeedBase	0.55
641	ClimbCameraRotation	180
642	ClimbCameraTransfer	0.001
643	NoviceMapTossTaskID	10000060
644	NoviceMapTossTaskStep	1
645	NoviceMapTossEffectID	40000012
646	NoviceMapTossEffectID2	20233
647	NoviceMapTossStartPos	19.31,4.72,61.59
648	NoviceMapMoveAreaInfo	11.5,27.8,52.3,71
649	NoviceMapTossInfo	3,6,60
650	NoviceMapTossEndStoryID	
651	NoviceMapTossActionID	100
652	NoviceMapTossWaitTime	0.5
653	NoviceMapTossMoveToPos	4.5,8,54.5
654	NewPlayerEggTime	300
655	NewPlayerEggPet	pet_199
656	NewPlayerEggPhase	NewPlayerEgg_1|2|0,0.5,0|5,35,5|0.50;NewPlayerEgg_2|2|0,0.5,0|5,35,5|0.02;NewPlayerEgg_3|2|0,0.5,0|5,35,5|0
657	NoviceShowEgg_PlayAnimToEffectTime	1.25
658	NoviceShowEgg_EffectToShowAvaterTime	1.5
659	ShowPetEggPanelCloseTime	15
660	SoldierNpcRecruitingTime	2,3,25,30
661	SoldierNpcBirthPlace	5
662	MaskClientSoldierSceneGroupIDList	1;2;3;5;6;7;10;12;15;20
663	OpenClientSoldierSceneIDList	0;1;8;13;52;54
