抽次数区间	抽奖消耗货币	抽奖消耗道具	第几次触发特殊事件	触发特殊事件返还的奖励(货币）	触发特殊事件返还的奖励（道具）	抽奖后获得的积分数
4;4		item91000000962,10	0			10
5;5		item91000000962,10	5			10
6;9		item91000000962,10	0			10
10;10		item91000000962,10	10			10
11;14		item91000000962,10	0			10
15;15		item91000000962,10	15			10
16;19		item91000000962,10	0			10
20;20		item91000000962,10	20			10
21;29		item91000000962,10	0			10
30;30		item91000000962,10	30			10
31;39		item91000000962,10	0			10
40;40		item91000000962,10	40			10
40;-1		item91000000962,10	0			10
1;4		item91000000962,1	0			1
5;5		item91000000962,1	5		item91000000962,5	1
6;8		item91000000962,1	0			1
9;12		item91000000962,1	0			1
13;-1		item91000000962,1	0			1
1;1		item91000000962,10	1			10
2;2		item91000000962,10	0			10
3;3		item91000000962,10	3			10
4;4		item91000000962,10	0			10
5;5		item91000000962,10	5			10
6;9		item91000000962,10	0			10
10;10		item91000000962,10	10			10
11;14		item91000000962,10	0			10
15;15		item91000000962,10	15			10
16;19		item91000000962,10	0			10
20;20		item91000000962,10	20			10
21;29		item91000000962,10	0			10
30;30		item91000000962,10	30			10
31;39		item91000000962,10	0			10
40;40		item91000000962,10	40			10
40;-1		item91000000962,10	0			10
1;4		item91000000962,1	0			1
5;5		item91000000962,1	5		item91000000962,5	1
6;8		item91000000962,1	0			1
9;12		item91000000962,1	0			1
13;-1		item91000000962,1	0			1
1;1		item91000000962,10	1			10
2;2		item91000000962,10	0			10
3;3		item91000000962,10	3			10
4;4		item91000000962,10	0			10
5;5		item91000000962,10	5			10
6;9		item91000000962,10	0			10
10;10		item91000000962,10	10			10
11;14		item91000000962,10	0			10
15;15		item91000000962,10	15			10
16;19		item91000000962,10	0			10
20;20		item91000000962,10	20			10
21;29		item91000000962,10	0			10
30;30		item91000000962,10	30			10
31;39		item91000000962,10	0			10
40;40		item91000000962,10	40			10
40;-1		item91000000962,10	0			10
1;4		item91000000962,1	0			1
5;5		item91000000962,1	5		item91000000962,5	1
6;8		item91000000962,1	0			1
9;12		item91000000962,1	0			1
13;-1		item91000000962,1	0			1
1;1		item91000000962,10	1			10
2;2		item91000000962,10	0			10
3;3		item91000000962,10	3			10
4;4		item91000000962,10	0			10
5;5		item91000000962,10	5			10
6;9		item91000000962,10	0			10
10;10		item91000000962,10	10			10
11;14		item91000000962,10	0			10
15;15		item91000000962,10	15			10
16;19		item91000000962,10	0			10
20;20		item91000000962,10	20			10
21;29		item91000000962,10	0			10
30;30		item91000000962,10	30			10
31;39		item91000000962,10	0			10
40;40		item91000000962,10	40			10
40;-1		item91000000962,10	0			10
1;4		item91000000962,1	0			1
5;5		item91000000962,1	5		item91000000962,5	1
6;8		item91000000962,1	0			1
9;12		item91000000962,1	0			1
13;-1		item91000000962,1	0			1
1;1		item91000000962,10	1			10
2;2		item91000000962,10	0			10
3;3		item91000000962,10	3			10
4;4		item91000000962,10	0			10
5;5		item91000000962,10	5			10
6;9		item91000000962,10	0			10
10;10		item91000000962,10	10			10
11;14		item91000000962,10	0			10
15;15		item91000000962,10	15			10
16;19		item91000000962,10	0			10
20;20		item91000000962,10	20			10
21;29		item91000000962,10	0			10
30;30		item91000000962,10	30			10
31;39		item91000000962,10	0			10
40;40		item91000000962,10	40			10
40;-1		item91000000962,10	0			10
1;4		item91000000962,1	0			1
5;5		item91000000962,1	5		item91000000962,5	1
6;8		item91000000962,1	0			1
9;12		item91000000962,1	0			1
13;-1		item91000000962,1	0			1
1;1		item91000000962,10	1			10
2;2		item91000000962,10	0			10
3;3		item91000000962,10	3			10
4;4		item91000000962,10	0			10
5;5		item91000000962,10	5			10
6;9		item91000000962,10	0			10
10;10		item91000000962,10	10			10
11;14		item91000000962,10	0			10
15;15		item91000000962,10	15			10
16;19		item91000000962,10	0			10
20;20		item91000000962,10	20			10
21;29		item91000000962,10	0			10
30;30		item91000000962,10	30			10
31;39		item91000000962,10	0			10
40;40		item91000000962,10	40			10
40;-1		item91000000962,10	0			10
1;4		item91000000962,1	0			1
5;5		item91000000962,1	5		item91000000962,5	1
6;8		item91000000962,1	0			1
9;12		item91000000962,1	0			1
13;-1		item91000000962,1	0			1
1;1		item91000000962,10	1			10
2;2		item91000000962,10	0			10
3;3		item91000000962,10	3			10
4;4		item91000000962,10	0			10
5;5		item91000000962,10	5			10
6;9		item91000000962,10	0			10
10;10		item91000000962,10	10			10
11;14		item91000000962,10	0			10
15;15		item91000000962,10	15			10
16;19		item91000000962,10	0			10
20;20		item91000000962,10	20			10
21;29		item91000000962,10	0			10
30;30		item91000000962,10	30			10
31;39		item91000000962,10	0			10
40;40		item91000000962,10	40			10
40;-1		item91000000962,10	0			10
1;4		item91000000962,1	0			1
5;5		item91000000962,1	5		item91000000962,5	1
6;8		item91000000962,1	0			1
9;12		item91000000962,1	0			1
13;-1		item91000000962,1	0			1
1;1		item91000000962,10	1			10
2;2		item91000000962,10	0			10
3;3		item91000000962,10	3			10
4;4		item91000000962,10	0			10
5;5		item91000000962,10	5			10
6;9		item91000000962,10	0			10
10;10		item91000000962,10	10			10
11;14		item91000000962,10	0			10
15;15		item91000000962,10	15			10
16;19		item91000000962,10	0			10
20;20		item91000000962,10	20			10
21;29		item91000000962,10	0			10
30;30		item91000000962,10	30			10
31;39		item91000000962,10	0			10
40;40		item91000000962,10	40			10
40;-1		item91000000962,10	0			10
1;4		item91000000962,1	0			1
5;5		item91000000962,1	5		item91000000962,5	1
6;8		item91000000962,1	0			1
9;12		item91000000962,1	0			1
13;-1		item91000000962,1	0			1
1;1		item91000000962,10	1			10
2;2		item91000000962,10	0			10
3;3		item91000000962,10	3			10
4;4		item91000000962,10	0			10
5;5		item91000000962,10	5			10
6;9		item91000000962,10	0			10
10;10		item91000000962,10	10			10
11;14		item91000000962,10	0			10
15;15		item91000000962,10	15			10
16;19		item91000000962,10	0			10
20;20		item91000000962,10	20			10
21;29		item91000000962,10	0			10
30;30		item91000000962,10	30			10
31;39		item91000000962,10	0			10
40;40		item91000000962,10	40			10
40;-1		item91000000962,10	0			10
