影集ID	地图ID	任务ID	影集图片ID	影集激活奖励	宝箱icon
9309	1003	3909309	travelpic309	item127000063001,10;item127000065008,6;item127000065020,3;item127000063004,3	box_star05;box_star06
9310	1003	3909310	travelpic310	item127000063001,10;item127000065008,6;item127000065020,3;item127000063004,3	box_star05;box_star06
9311	1003	3909311	travelpic311	item127000063001,10;item127000065008,6;item127000065020,3;item127000063004,3	box_star05;box_star06
9312	1003	3909312	travelpic312	item127000063001,10;item127000065008,6;item127000065020,3;item127000063004,3	box_star05;box_star06
9401	1004	3909401	travelpic401	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9402	1004	3909402	travelpic402	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9403	1004	3909403	travelpic403	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9404	1004	3909404	travelpic404	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9405	1004	3909405	travelpic405	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9406	1004	3909406	travelpic406	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9407	1004	3909407	travelpic407	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9408	1004	3909408	travelpic408	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9409	1004	3909409	travelpic409	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9410	1004	3909410	travelpic410	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9411	1004	3909411	travelpic411	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9412	1004	3909412	travelpic412	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9413	1004	3909413	travelpic413	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9414	1004	3909414	travelpic414	item127000063002,3;item127000065002,8;item127000065014,3;item127000063004,4	box_star05;box_star06
9501	1005	3909501	travelpic501	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9502	1005	3909502	travelpic502	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9503	1005	3909503	travelpic503	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9504	1005	3909504	travelpic504	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9505	1005	3909505	travelpic505	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9506	1005	3909506	travelpic506	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9507	1005	3909507	travelpic507	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9508	1005	3909508	travelpic508	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9509	1005	3909509	travelpic509	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9510	1005	3909510	travelpic510	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9511	1005	3909511	travelpic511	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9512	1005	3909512	travelpic512	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9513	1005	3909513	travelpic513	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9514	1005	3909514	travelpic514	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9515	1005	3909515	travelpic515	item127000063002,4;item127000065018,4;item127000065030,1;item127000063004,5	box_star05;box_star06
9601	1006	3909601	travelpic601	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9602	1006	3909602	travelpic602	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9603	1006	3909603	travelpic603	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9604	1006	3909604	travelpic604	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9605	1006	3909605	travelpic605	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9606	1006	3909606	travelpic606	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9607	1006	3909607	travelpic607	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9608	1006	3909608	travelpic608	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9609	1006	3909609	travelpic609	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9610	1006	3909610	travelpic610	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9611	1006	3909611	travelpic611	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9612	1006	3909612	travelpic612	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9613	1006	3909613	travelpic613	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
9614	1006	3909614	travelpic614	item127000063002,5;item127000065013,5;item127000065034,2;item127000063004,6	box_star05;box_star06
