配方道具ID	烹饪等级	解锁方式	配方解锁提示	配方类型	素材1	素材2	素材3	素材4	制作出的道具ID	制作提供熟练度	探索配方提供熟练度	配方效果显示方式
item172200010120	12	2		1	item144400000008,1	item144100000002,10	item144400000001,4	item144400000004,5	item172000010121,10;item172000010122,85;item172000010123,5	0,35;5,20;6,0	21	0
item172200010130	13	2		1	item170000101020,1	item144000000004,10	item144400000001,4	item144400000004,5	item172000010131,10;item172000010132,85;item172000010133,5	0,35;5,20;6,0	21	0
item172200010140	14	2		1	item170000106020,1	item144400000002,3	item144400000004,5		item172000010141,10;item172000010142,85;item172000010143,5	0,35;5,20;6,0	21	0
item172200010150	10	3	FoodTip_item172200010150	1	item170000102010,2	item170000106010,2	item170000101010,2	item144400000004,5	item172000010151,10;item172000010152,85;item172000010153,5	0,35;5,15;6,0	21	0
item172200010160	10	3	FoodTip_item172200010160	1	item170000101020,1	item144000000001,30	item144400000001,4	item144400000004,5	item172000010161,10;item172000010162,85;item172000010163,5	0,35;5,20;6,0	21	0
item172200010170	10	3	FoodTip_item172200010170	1	item144000000004,10	item144400000008,1	item144100000002,5	item144400000004,5	item172000010171,10;item172000010172,85;item172000010173,5	0,35;5,15;6,0	21	0
item172200015010	14	3	FoodTip_item172200015010	1	item170000106020,3	item144400000005,3	item144400000002,3		item172000015011,10;item172000015012,85;item172000015013,5	0,50;3,10;6,0	30	0
item172200015020	14	3	FoodTip_item172200015020	1	item170000101020,2	item144400000002,3	item144200000002,4		item172000015021,10;item172000015022,85;item172000015023,5	0,50;3,10;6,0	30	0
item172200015030	14	3	FoodTip_item172200015030	1	item170000106020,2	item144400000002,3	item144200000002,4		item172000015031,10;item172000015032,85;item172000015033,5	0,50;3,10;6,0	30	0
item172200015040	15	2		1	item144400000009,1	item144000000002,30	item144000000001,30	item144400000004,8	item172000015041,10;item172000015042,85;item172000015043,5	0,70;5,25;6,0	42	0
item172200015050	15	2		1	item170000106030,1	item144000000001,10	item144100000001,1		item172000015051,10;item172000015052,85;item172000015053,5	0,70;5,20;6,0	42	0
item172200015060	15	2		1	item144400000009,1	item144400000001,10	item144400000004,8	item144000000001,30	item172000015061,10;item172000015062,85;item172000015063,5	0,70;5,30;6,0	42	0
item172200015070	16	2		1	item170000101030,1	item144100000002,20	item144400000005,3	item144000000001,30	item172000015071,10;item172000015072,85;item172000015073,5	0,70;5,20;6,0	42	0
item172200015080	16	2		1	item144000000005,5	item144400000009,1	item144400000004,8	item144200000011,5	item172000015081,10;item172000015082,85;item172000015083,5	0,70;5,30;6,0	42	0
item172200015090	16	2		1	item144400000009,1	item144400000005,3	item144400000002,6		item172000015091,10;item172000015092,85;item172000015093,5	0,70;5,30;6,0	42	0
item172200015100	15	3	FoodTip_item172200015100	1	item144400000009,1	item144400000002,6	item144200000002,3	item144400000004,8	item172000015101,10;item172000015102,85;item172000015103,5	0,70;5,30;6,0	42	0
item172200015110	15	3	FoodTip_item172200015110	1	item170000101030,1	item144200000002,14	item144400000006,1		item172000015111,10;item172000015112,85;item172000015113,5	0,70;5,20;6,0	42	0
item172200015120	17	2		1	item170000106030,1	item144400000005,5	item144200000011,3	item144400000003,3	item172000015121,10;item172000015122,85;item172000015123,5	0,70;5,15;6,0	42	0
item172200015130	17	2		1	item170000106030,1	item144400000003,3	item144400000002,3	item144400000004,8	item172000015131,10;item172000015132,85;item172000015133,5	0,70;5,20;6,0	42	0
item172200015140	17	2		1	item170000106030,1	item144200000002,6	item144400000002,5	item144400000006,1	item172000015141,10;item172000015142,85;item172000015143,5	0,70;5,20;6,0	42	0
item172200015150	15	3	FoodTip_item172200015150	1	item170000101030,1	item144400000003,3	item144400000006,3		item172000015151,10;item172000015152,85;item172000015153,5	0,70;5,15;6,0	42	0
item172200015160	15	2		1	item170000106030,1	item144200000001,1	item144400000006,3	item144400000003,3	item172000015161,10;item172000015162,85;item172000015163,5	0,70;5,15;6,0	42	0
item172200020010	15	2		1	item170000101030,2	item144400000005,3	item144400000003,3	item144400000006,3	item172000020011,10;item172000020012,85;item172000020013,5	0,70;5,20;6,0	42	0
item172200020020	20	3	FoodTip_item172200020020	1	item144400000010,1	item144000000004,10	item144400000002,5		item172000020021,10;item172000020022,85;item172000020023,5	0,80;3,30;8,0	48	0
item172200020030	20	3	FoodTip_item172200020030	1	item144400000010,1	item144000000001,40	item144400000003,3		item172000020031,10;item172000020032,85;item172000020033,5	0,80;3,30;8,0	48	0
item172200020040	20	3	FoodTip_item172200020040	1	item144400000010,1	item144100000002,10	item144400000003,3		item172000020041,10;item172000020042,85;item172000020043,5	0,80;3,30;8,0	48	0
item172200020050	20	2		1	item144400000010,1	item144400000006,5	item144400000003,3	item144400000004,10	item172000020051,10;item172000020052,85;item172000020053,5	0,120;5,45;8,0	72	0
item172200020060	20	2		1	item144400000011,1	item144000000004,15	item144400000004,10	item144200000001,8	item172000020061,10;item172000020062,85;item172000020063,5	0,120;5,40;8,0	72	0
item172200020070	20	2		1	item144400000011,1	item144000000001,30	item144400000004,10	item144200000004,5	item172000020071,10;item172000020072,85;item172000020073,5	0,120;5,35;8,0	72	0
item172200020080	20	2		1	item144400000011,1	item144000000001,30	item144400000006,3	item144100000003,10	item172000020081,10;item172000020082,85;item172000020083,5	0,120;5,30;8,0	72	0
item172200020090	20	2		1	item170000101030,1	item144400000009,2	item144200000002,5	item144400000006,3	item172000020091,10;item172000020092,85;item172000020093,5	0,120;5,30;8,0	72	0
item172200020100	20	2		1	item144400000011,1	item144400000006,5	item144200000002,15	item144400000004,8	item172000020101,10;item172000020102,85;item172000020103,5	0,120;5,50;8,0	72	0
item172200020110	20	2		1	item144400000011,1	item144000000001,30	item144400000006,5	item144400000002,15	item172000020111,10;item172000020112,85;item172000020113,5	0,120;5,50;8,0	72	0
item172200020120	20	2		1	item170000101040,1	item144000000001,30	item144400000004,10	item144200000002,8	item172000020121,10;item172000020122,85;item172000020123,5	0,170;5,40;8,0	102	0
item172200020130	20	2		1	item170000106040,1	item144000000005,5	item144400000004,10	item144200000011,5	item172000020131,10;item172000020132,85;item172000020133,5	0,170;5,40;8,0	102	0
item172200020140	20	2		1	item170000101040,1	item144000000001,45	item144400000006,3		item172000020141,10;item172000020142,85;item172000020143,5	0,170;5,30;8,0	102	0
item172200020150	20	2		1	item170000106040,1	item144400000004,8	item144400000006,3		item172000020151,10;item172000020152,85;item172000020153,5	0,170;5,40;8,0	102	0
item172200020160	20	3	FoodTip_item172200020160	1	item170000106040,1	item144000000001,45	item144400000004,8	item144400000006,3	item172000020161,10;item172000020162,85;item172000020163,5	0,170;5,40;8,0	102	0
item172200020170	20	3	FoodTip_item172200020170	1	item170000101040,1	item144400000005,10	item144400000003,8	item144400000004,15	item172000020171,10;item172000020172,85;item172000020173,5	0,170;5,50;8,0	102	0
item172200020180	20	3	FoodTip_item172200020180	1	item170000106040,1	item144400000004,15	item144400000003,8	item144400000002,10	item172000020181,10;item172000020182,85;item172000020183,5	0,170;5,50;8,0	102	0
item172200020190	20	3	FoodTip_item172200020190	1	item170000101040,1	item144400000009,2	item144200000011,5	item144400000004,10	item172000020191,10;item172000020192,85;item172000020193,5	0,170;5,50;8,0	102	0
item172300005010	5	1		2	item172000001032,3	item172000005012,3	item172000001042,2	item144500000001,1	item172100005010,100	0,40;3,20;6,0	24	0
item172300005020	5	3	FoodTip_item172300005020	2	item172000005032,2	item172000005042,1	item172000005052,1	item144500000001,1	item172100005020,100	0,40;3,30;8,0	24	0
item172300005030	5	3	FoodTip_item172300005030	2	item172000001062,3	item172000001022,2	item172000005022,3	item144500000001,1	item172100005030,100	0,40;3,30;8,0	24	0
item172300010010	10	3	FoodTip_item172300010010	2	item172000005092,3	item172000010102,2	item172000005102,4	item144500000001,1	item172100010010,100	0,80;3,50;8,0	48	0
item172300010020	10	1		2	item172000010132,2	item172000010162,2	item172000005042,1	item144500000001,1	item172100010020,100	0,80;3,40;6,0	48	0
item172300010030	10	3	FoodTip_item172300010030	2	item172000010082,3	item172000010062,2	item172000010072,2	item144500000001,1	item172100010030,100	0,80;3,50;8,0	48	0
item172300015010	15	3	FoodTip_item172300015010	2	item172000015062,2	item172000015092,2	item172000015102,2	item144500000002,1	item172100015010,100	0,100;3,70;8,0	60	0
item172300015020	15	3	FoodTip_item172300015020	2	item172000015122,2	item172000015132,2	item172000015052,3	item144500000002,1	item172100015020,100	0,100;3,70;8,0	60	0
item172300015030	15	1		2	item172000015072,2	item172000015152,2	item172000020012,1	item144500000002,1	item172100015030,100	0,100;3,50;6,0	60	0
item172300020010	20	3	FoodTip_item172300020010	2	item172000020062,2	item172000020112,2	item172000020102,2	item144500000002,1	item172100020010,100	0,250;3,180;8,0	150	0
item172300020020	20	3	FoodTip_item172300020020	2	item172000020052,3	item172000020022,3	item172000020032,3	item144500000002,1	item172100020020,100	0,250;3,180;8,0	150	0
item172300020030	20	3	FoodTip_item172300020030	2	item172000020122,2	item172000020092,2	item172000020012,2	item144500000002,1	item172100020030,100	0,250;3,180;8,0	150	0
item172300020040	20	3	FoodTip_item172300020040	2	item172000020092,2	item172000020152,2	item172000020172,2	item144500000002,1	item172100020040,100	0,250;3,180;8,0	150	0
item172300020050	20	3	FoodTip_item172300020050	2	item172000010152,4	item172000015102,4	item172000020162,3	item144500000003,1	item172100020050,100	0,250;3,180;8,0	150	0
item172300020060	20	3	FoodTip_item172300020060	2	item172000020152,2	item172000020142,2	item172000020132,2	item144500000003,1	item172100020060,100	0,250;3,180;8,0	150	0
item172300020070	20	3	FoodTip_item172300020070	2	item172000020152,2	item172000020182,2	item172000020172,1	item144500000003,1	item172100020070,100	0,250;3,180;8,0	150	0
