流水id	奖包id	生效值	生效起始点	默认优先显示	英雄id	时装id	缩放比例	限时显示	限时图标显示	限时倒计时	时装文本	最终保底次数	概率文本	奖励显示
82	10501010006	0	2018,11,15	0	hero105	fashion_105373		0		0		0		item130000005373,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
83	10502010004	1	2019,7,20	1	hero105	fashion_105254		1	1	336		60	UI_FashionShop_ProbabilityDesc1	item130000005254,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
84	10502010001	1	2018,11,15	0	hero105	fashion_105251		0		0		30	UI_FashionShop_ProbabilityDesc	item130000005251,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
85	10502010002	0	2018,11,15	0	hero105	fashion_105252		0		0		0		item130000005252,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
86	10502010003	1	2018,11,15	0	hero105	fashion_105253		0		0		30	UI_FashionShop_ProbabilityDesc	item130000005253,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
87	10503010009	1	2019,7,20	1	hero105	fashion_105154		1	1	336		20	UI_FashionShop_ProbabilityDesc	item130000005154,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
88	10503010001	1	2018,11,15	0	hero105	fashion_105151		0		0		20	UI_FashionShop_ProbabilityDesc	item130000005151,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
89	10503010002	0	2018,11,15	0	hero105	fashion_105152		0		0		0		item130000005152,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
90	10503010003	1	2018,11,15	0	hero105	fashion_105153		0		0		20	UI_FashionShop_ProbabilityDesc	item130000005153,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
91	10503010004	0	2018,11,15	0	hero105	fashion_105171		0		0		0		item130000005171,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
92	10503010005	0	2018,11,15	0	hero105	fashion_105172		0		0		0		item130000005172,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
93	10503010006	0	2018,11,15	0	hero105	fashion_105173		0		0		0		item130000005173,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
94	10503010007	1	2018,11,15	0	hero105	fashion_105174		0		0		20	UI_FashionShop_ProbabilityDesc	item130000005174,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
95	10503010008	0	2018,11,15	0	hero105	fashion_105175		0		0		0		item130000005175,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
96	10601010001	0	2018,11,15	0	hero106	fashion_106352	hero106,0.8	0		0		0		item130000006352,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
97	10601010002	1	2018,11,15	0	hero106	fashion_106353	hero106,0.8	0		0		20		item130000006353,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
98	10602010001	1	2018,11,15	0	hero106	fashion_106251	hero106,0.8	0		0		30		item130000006251,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
99	10602010002	0	2018,11,15	0	hero106	fashion_106252	hero106,0.8	0		0		0		item130000006252,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
100	10602010003	1	2018,11,15	0	hero106	fashion_106253	hero106,0.8	0		0		30		item130000006253,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
101	10603010001	1	2018,11,15	0	hero106	fashion_106151	hero106,0.8	0		0		20		item130000006151,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
102	10603010002	0	2018,11,15	0	hero106	fashion_106152	hero106,0.8	0		0		0		item130000006152,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
103	10603010003	1	2018,11,15	0	hero106	fashion_106153	hero106,0.8	0		0		20		item130000006153,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
104	10701010001	0	2018,11,15	0	hero107	fashion_107351		0		0		0		item130000007351,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
105	10701010002	0	2018,11,15	0	hero107	fashion_107352		0		0		0		item130000007352,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
106	10701010003	0	2018,11,15	0	hero107	fashion_107353		0		0		0		item130000007353,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
107	10702010004	1	2019,7,20	1	hero107	fashion_107254		1	1	336		60	UI_FashionShop_ProbabilityDesc1	item130000007254,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
108	10702010001	1	2018,11,15	0	hero107	fashion_107251		0		0		30	UI_FashionShop_ProbabilityDesc	item130000007251,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
109	10702010002	0	2018,11,15	0	hero107	fashion_107252		0		0		0		item130000007252,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
110	10702010003	1	2018,11,15	0	hero107	fashion_107253		0		0		30	UI_FashionShop_ProbabilityDesc	item130000007253,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
111	10703010009	1	2019,7,20	1	hero107	fashion_107154		1	1	336		20	UI_FashionShop_ProbabilityDesc	item130000007154,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
112	10703010001	1	2018,11,15	0	hero107	fashion_107151		0		0		20	UI_FashionShop_ProbabilityDesc	item130000007151,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
113	10703010002	0	2018,11,15	0	hero107	fashion_107152		0		0		0		item130000007152,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
114	10703010003	1	2018,11,15	0	hero107	fashion_107153		0		0		20	UI_FashionShop_ProbabilityDesc	item130000007153,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
115	10703010004	0	2018,11,15	0	hero107	fashion_107171		0		0		0		item130000007171,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
116	10703010005	0	2018,11,15	0	hero107	fashion_107172		0		0		0		item130000007172,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
117	10703010006	0	2018,11,15	0	hero107	fashion_107173		0		0		0		item130000007173,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
118	10703010007	0	2018,11,15	0	hero107	fashion_107174		0		0		0		item130000007174,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
119	10703010008	1	2018,11,15	0	hero107	fashion_107175		0		0		20	UI_FashionShop_ProbabilityDesc	item130000007175,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
120	10801010001	0	2018,11,15	0	hero108	fashion_108351		0		0		0		item130000008351,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
121	10801010002	0	2018,11,15	0	hero108	fashion_108352		0		0		0		item130000008352,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
122	10801010003	0	2018,11,15	0	hero108	fashion_108353		0		0		0		item130000008353,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
123	10802010004	1	2019,7,20	1	hero108	fashion_108254		1	1	336		60	UI_FashionShop_ProbabilityDesc1	item130000008254,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
124	10802010001	1	2018,11,15	0	hero108	fashion_108251		0		0		30	UI_FashionShop_ProbabilityDesc	item130000008251,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
125	10802010002	0	2018,11,15	0	hero108	fashion_108252		0		0		0		item130000008252,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
126	10802010003	1	2018,11,15	0	hero108	fashion_108253		0		0		30	UI_FashionShop_ProbabilityDesc	item130000008253,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
127	10803010009	1	2019,7,20	1	hero108	fashion_108154		1	1	336		20	UI_FashionShop_ProbabilityDesc	item130000008154,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
128	10803010001	1	2018,11,15	0	hero108	fashion_108151		0		0		20	UI_FashionShop_ProbabilityDesc	item130000008151,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
129	10803010002	0	2018,11,15	0	hero108	fashion_108152		0		0		0		item130000008152,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
130	10803010003	1	2018,11,15	0	hero108	fashion_108153		0		0		20	UI_FashionShop_ProbabilityDesc	item130000008153,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
131	10803010004	0	2018,11,15	0	hero108	fashion_108171		0		0		0		item130000008171,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
132	10803010005	0	2018,11,15	0	hero108	fashion_108172		0		0		0		item130000008172,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
133	10803010006	0	2018,11,15	0	hero108	fashion_108173		0		0		0		item130000008173,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
134	10803010007	0	2018,11,15	0	hero108	fashion_108174		0		0		0		item130000008174,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
135	10803010008	1	2018,11,15	0	hero108	fashion_108175		0		0		20	UI_FashionShop_ProbabilityDesc	item130000008175,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
136	10004010001	1	2018,11,15	1	0	fashion_100406	hero106,0.8	0		0		20	UI_FashionShop_ProbabilityDesc	item130000040306,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
137	10004010002	1	2018,11,15	0	0	fashion_100407	hero106,0.8	0		0		20	UI_FashionShop_ProbabilityDesc	item130000040307,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
138	10004010004	1	2018,11,15	0	0	fashion_100409	hero106,0.8	0		0		20	UI_FashionShop_ProbabilityDesc	item130000040309,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
