编号	等级	英雄	属性值ID	战力类型	战力计算
68	68	hero101	10067	2	5100
69	69	hero101	10068	2	5175
70	70	hero101	10069	2	5250
71	71	hero101	10070	2	5325
72	72	hero101	10071	2	5400
73	73	hero101	10072	2	5475
74	74	hero101	10073	2	5550
75	75	hero101	10074	2	5625
76	76	hero101	10075	2	5700
77	77	hero101	10076	2	5775
78	78	hero101	10077	2	5850
79	79	hero101	10078	2	5925
80	80	hero101	10079	2	6000
81	81	hero101	10080	2	6075
82	82	hero101	10081	2	6150
83	83	hero101	10082	2	6225
84	84	hero101	10083	2	6300
85	85	hero101	10084	2	6375
86	86	hero101	10085	2	6450
87	87	hero101	10086	2	6525
88	88	hero101	10087	2	6600
89	89	hero101	10088	2	6675
90	90	hero101	10089	2	6750
91	91	hero101	10090	2	6825
92	92	hero101	10091	2	6900
93	93	hero101	10092	2	6975
94	94	hero101	10093	2	7050
95	95	hero101	10094	2	7125
96	96	hero101	10095	2	7200
97	97	hero101	10096	2	7275
98	98	hero101	10097	2	7350
99	99	hero101	10098	2	7425
100	100	hero101	10099	2	7500
101	101	hero101	10600	2	7575
102	102	hero101	10601	2	7650
103	103	hero101	10602	2	7725
104	104	hero101	10603	2	7800
105	105	hero101	10604	2	7875
106	106	hero101	10605	2	7950
107	107	hero101	10606	2	8025
108	108	hero101	10607	2	8100
109	109	hero101	10608	2	8175
110	110	hero101	10609	2	8250
111	1	hero102	10100	2	75
112	2	hero102	10101	2	150
113	3	hero102	10102	2	225
114	4	hero102	10103	2	300
115	5	hero102	10104	2	375
116	6	hero102	10105	2	450
117	7	hero102	10106	2	525
118	8	hero102	10107	2	600
119	9	hero102	10108	2	675
120	10	hero102	10109	2	750
121	11	hero102	10110	2	825
122	12	hero102	10111	2	900
123	13	hero102	10112	2	975
124	14	hero102	10113	2	1050
125	15	hero102	10114	2	1125
126	16	hero102	10115	2	1200
127	17	hero102	10116	2	1275
128	18	hero102	10117	2	1350
129	19	hero102	10118	2	1425
130	20	hero102	10119	2	1500
131	21	hero102	10120	2	1575
132	22	hero102	10121	2	1650
133	23	hero102	10122	2	1725
134	24	hero102	10123	2	1800
135	25	hero102	10124	2	1875
136	26	hero102	10125	2	1950
137	27	hero102	10126	2	2025
138	28	hero102	10127	2	2100
139	29	hero102	10128	2	2175
140	30	hero102	10129	2	2250
141	31	hero102	10130	2	2325
142	32	hero102	10131	2	2400
143	33	hero102	10132	2	2475
144	34	hero102	10133	2	2550
145	35	hero102	10134	2	2625
146	36	hero102	10135	2	2700
147	37	hero102	10136	2	2775
148	38	hero102	10137	2	2850
149	39	hero102	10138	2	2925
150	40	hero102	10139	2	3000
151	41	hero102	10140	2	3075
152	42	hero102	10141	2	3150
153	43	hero102	10142	2	3225
154	44	hero102	10143	2	3300
155	45	hero102	10144	2	3375
156	46	hero102	10145	2	3450
157	47	hero102	10146	2	3525
158	48	hero102	10147	2	3600
159	49	hero102	10148	2	3675
160	50	hero102	10149	2	3750
161	51	hero102	10150	2	3825
162	52	hero102	10151	2	3900
163	53	hero102	10152	2	3975
164	54	hero102	10153	2	4050
165	55	hero102	10154	2	4125
166	56	hero102	10155	2	4200
167	57	hero102	10156	2	4275
168	58	hero102	10157	2	4350
169	59	hero102	10158	2	4425
170	60	hero102	10159	2	4500
171	61	hero102	10160	2	4575
172	62	hero102	10161	2	4650
173	63	hero102	10162	2	4725
174	64	hero102	10163	2	4800
175	65	hero102	10164	2	4875
176	66	hero102	10165	2	4950
177	67	hero102	10166	2	5025
178	68	hero102	10167	2	5100
179	69	hero102	10168	2	5175
180	70	hero102	10169	2	5250
181	71	hero102	10170	2	5325
182	72	hero102	10171	2	5400
183	73	hero102	10172	2	5475
184	74	hero102	10173	2	5550
185	75	hero102	10174	2	5625
186	76	hero102	10175	2	5700
187	77	hero102	10176	2	5775
188	78	hero102	10177	2	5850
189	79	hero102	10178	2	5925
190	80	hero102	10179	2	6000
191	81	hero102	10180	2	6075
192	82	hero102	10181	2	6150
193	83	hero102	10182	2	6225
194	84	hero102	10183	2	6300
195	85	hero102	10184	2	6375
196	86	hero102	10185	2	6450
197	87	hero102	10186	2	6525
198	88	hero102	10187	2	6600
199	89	hero102	10188	2	6675
200	90	hero102	10189	2	6750
201	91	hero102	10190	2	6825
202	92	hero102	10191	2	6900
203	93	hero102	10192	2	6975
204	94	hero102	10193	2	7050
205	95	hero102	10194	2	7125
206	96	hero102	10195	2	7200
207	97	hero102	10196	2	7275
208	98	hero102	10197	2	7350
209	99	hero102	10198	2	7425
210	100	hero102	10199	2	7500
211	101	hero102	10610	2	7575
212	102	hero102	10611	2	7650
213	103	hero102	10612	2	7725
214	104	hero102	10613	2	7800
215	105	hero102	10614	2	7875
216	106	hero102	10615	2	7950
217	107	hero102	10616	2	8025
218	108	hero102	10617	2	8100
219	109	hero102	10618	2	8175
220	110	hero102	10619	2	8250
221	1	hero103	10200	2	75
222	2	hero103	10201	2	150
223	3	hero103	10202	2	225
224	4	hero103	10203	2	300
225	5	hero103	10204	2	375
226	6	hero103	10205	2	450
227	7	hero103	10206	2	525
228	8	hero103	10207	2	600
229	9	hero103	10208	2	675
230	10	hero103	10209	2	750
231	11	hero103	10210	2	825
232	12	hero103	10211	2	900
233	13	hero103	10212	2	975
234	14	hero103	10213	2	1050
235	15	hero103	10214	2	1125
236	16	hero103	10215	2	1200
237	17	hero103	10216	2	1275
238	18	hero103	10217	2	1350
239	19	hero103	10218	2	1425
240	20	hero103	10219	2	1500
241	21	hero103	10220	2	1575
242	22	hero103	10221	2	1650
243	23	hero103	10222	2	1725
244	24	hero103	10223	2	1800
245	25	hero103	10224	2	1875
246	26	hero103	10225	2	1950
247	27	hero103	10226	2	2025
248	28	hero103	10227	2	2100
249	29	hero103	10228	2	2175
250	30	hero103	10229	2	2250
251	31	hero103	10230	2	2325
252	32	hero103	10231	2	2400
253	33	hero103	10232	2	2475
254	34	hero103	10233	2	2550
255	35	hero103	10234	2	2625
256	36	hero103	10235	2	2700
257	37	hero103	10236	2	2775
258	38	hero103	10237	2	2850
259	39	hero103	10238	2	2925
260	40	hero103	10239	2	3000
261	41	hero103	10240	2	3075
262	42	hero103	10241	2	3150
263	43	hero103	10242	2	3225
264	44	hero103	10243	2	3300
265	45	hero103	10244	2	3375
266	46	hero103	10245	2	3450
267	47	hero103	10246	2	3525
268	48	hero103	10247	2	3600
269	49	hero103	10248	2	3675
270	50	hero103	10249	2	3750
271	51	hero103	10250	2	3825
272	52	hero103	10251	2	3900
273	53	hero103	10252	2	3975
274	54	hero103	10253	2	4050
275	55	hero103	10254	2	4125
276	56	hero103	10255	2	4200
277	57	hero103	10256	2	4275
278	58	hero103	10257	2	4350
279	59	hero103	10258	2	4425
280	60	hero103	10259	2	4500
281	61	hero103	10260	2	4575
282	62	hero103	10261	2	4650
283	63	hero103	10262	2	4725
284	64	hero103	10263	2	4800
285	65	hero103	10264	2	4875
286	66	hero103	10265	2	4950
287	67	hero103	10266	2	5025
288	68	hero103	10267	2	5100
289	69	hero103	10268	2	5175
290	70	hero103	10269	2	5250
291	71	hero103	10270	2	5325
292	72	hero103	10271	2	5400
293	73	hero103	10272	2	5475
294	74	hero103	10273	2	5550
295	75	hero103	10274	2	5625
296	76	hero103	10275	2	5700
297	77	hero103	10276	2	5775
298	78	hero103	10277	2	5850
299	79	hero103	10278	2	5925
300	80	hero103	10279	2	6000
301	81	hero103	10280	2	6075
302	82	hero103	10281	2	6150
303	83	hero103	10282	2	6225
304	84	hero103	10283	2	6300
305	85	hero103	10284	2	6375
306	86	hero103	10285	2	6450
307	87	hero103	10286	2	6525
308	88	hero103	10287	2	6600
309	89	hero103	10288	2	6675
310	90	hero103	10289	2	6750
311	91	hero103	10290	2	6825
312	92	hero103	10291	2	6900
313	93	hero103	10292	2	6975
314	94	hero103	10293	2	7050
315	95	hero103	10294	2	7125
316	96	hero103	10295	2	7200
317	97	hero103	10296	2	7275
318	98	hero103	10297	2	7350
319	99	hero103	10298	2	7425
320	100	hero103	10299	2	7500
321	101	hero103	10620	2	7575
322	102	hero103	10621	2	7650
323	103	hero103	10622	2	7725
324	104	hero103	10623	2	7800
325	105	hero103	10624	2	7875
326	106	hero103	10625	2	7950
327	107	hero103	10626	2	8025
328	108	hero103	10627	2	8100
329	109	hero103	10628	2	8175
330	110	hero103	10629	2	8250
331	1	hero104	10300	2	75
332	2	hero104	10301	2	150
333	3	hero104	10302	2	225
334	4	hero104	10303	2	300
335	5	hero104	10304	2	375
336	6	hero104	10305	2	450
337	7	hero104	10306	2	525
338	8	hero104	10307	2	600
339	9	hero104	10308	2	675
340	10	hero104	10309	2	750
341	11	hero104	10310	2	825
342	12	hero104	10311	2	900
343	13	hero104	10312	2	975
344	14	hero104	10313	2	1050
345	15	hero104	10314	2	1125
346	16	hero104	10315	2	1200
347	17	hero104	10316	2	1275
348	18	hero104	10317	2	1350
349	19	hero104	10318	2	1425
350	20	hero104	10319	2	1500
351	21	hero104	10320	2	1575
352	22	hero104	10321	2	1650
353	23	hero104	10322	2	1725
354	24	hero104	10323	2	1800
355	25	hero104	10324	2	1875
356	26	hero104	10325	2	1950
357	27	hero104	10326	2	2025
358	28	hero104	10327	2	2100
359	29	hero104	10328	2	2175
360	30	hero104	10329	2	2250
361	31	hero104	10330	2	2325
362	32	hero104	10331	2	2400
363	33	hero104	10332	2	2475
364	34	hero104	10333	2	2550
365	35	hero104	10334	2	2625
366	36	hero104	10335	2	2700
367	37	hero104	10336	2	2775
368	38	hero104	10337	2	2850
369	39	hero104	10338	2	2925
370	40	hero104	10339	2	3000
371	41	hero104	10340	2	3075
372	42	hero104	10341	2	3150
373	43	hero104	10342	2	3225
374	44	hero104	10343	2	3300
375	45	hero104	10344	2	3375
376	46	hero104	10345	2	3450
377	47	hero104	10346	2	3525
378	48	hero104	10347	2	3600
379	49	hero104	10348	2	3675
380	50	hero104	10349	2	3750
381	51	hero104	10350	2	3825
382	52	hero104	10351	2	3900
383	53	hero104	10352	2	3975
384	54	hero104	10353	2	4050
385	55	hero104	10354	2	4125
386	56	hero104	10355	2	4200
387	57	hero104	10356	2	4275
388	58	hero104	10357	2	4350
389	59	hero104	10358	2	4425
390	60	hero104	10359	2	4500
391	61	hero104	10360	2	4575
392	62	hero104	10361	2	4650
393	63	hero104	10362	2	4725
394	64	hero104	10363	2	4800
395	65	hero104	10364	2	4875
396	66	hero104	10365	2	4950
397	67	hero104	10366	2	5025
398	68	hero104	10367	2	5100
399	69	hero104	10368	2	5175
400	70	hero104	10369	2	5250
401	71	hero104	10370	2	5325
402	72	hero104	10371	2	5400
403	73	hero104	10372	2	5475
404	74	hero104	10373	2	5550
405	75	hero104	10374	2	5625
406	76	hero104	10375	2	5700
407	77	hero104	10376	2	5775
408	78	hero104	10377	2	5850
409	79	hero104	10378	2	5925
410	80	hero104	10379	2	6000
411	81	hero104	10380	2	6075
412	82	hero104	10381	2	6150
413	83	hero104	10382	2	6225
414	84	hero104	10383	2	6300
415	85	hero104	10384	2	6375
416	86	hero104	10385	2	6450
417	87	hero104	10386	2	6525
418	88	hero104	10387	2	6600
419	89	hero104	10388	2	6675
420	90	hero104	10389	2	6750
421	91	hero104	10390	2	6825
422	92	hero104	10391	2	6900
423	93	hero104	10392	2	6975
424	94	hero104	10393	2	7050
425	95	hero104	10394	2	7125
426	96	hero104	10395	2	7200
427	97	hero104	10396	2	7275
428	98	hero104	10397	2	7350
429	99	hero104	10398	2	7425
430	100	hero104	10399	2	7500
431	101	hero104	10630	2	7575
432	102	hero104	10631	2	7650
433	103	hero104	10632	2	7725
434	104	hero104	10633	2	7800
435	105	hero104	10634	2	7875
436	106	hero104	10635	2	7950
437	107	hero104	10636	2	8025
438	108	hero104	10637	2	8100
439	109	hero104	10638	2	8175
440	110	hero104	10639	2	8250
441	1	hero105	10400	2	75
442	2	hero105	10401	2	150
443	3	hero105	10402	2	225
444	4	hero105	10403	2	300
445	5	hero105	10404	2	375
446	6	hero105	10405	2	450
447	7	hero105	10406	2	525
448	8	hero105	10407	2	600
449	9	hero105	10408	2	675
450	10	hero105	10409	2	750
451	11	hero105	10410	2	825
452	12	hero105	10411	2	900
453	13	hero105	10412	2	975
454	14	hero105	10413	2	1050
455	15	hero105	10414	2	1125
456	16	hero105	10415	2	1200
457	17	hero105	10416	2	1275
458	18	hero105	10417	2	1350
459	19	hero105	10418	2	1425
460	20	hero105	10419	2	1500
461	21	hero105	10420	2	1575
462	22	hero105	10421	2	1650
463	23	hero105	10422	2	1725
464	24	hero105	10423	2	1800
465	25	hero105	10424	2	1875
466	26	hero105	10425	2	1950
467	27	hero105	10426	2	2025
468	28	hero105	10427	2	2100
469	29	hero105	10428	2	2175
470	30	hero105	10429	2	2250
471	31	hero105	10430	2	2325
472	32	hero105	10431	2	2400
473	33	hero105	10432	2	2475
474	34	hero105	10433	2	2550
475	35	hero105	10434	2	2625
476	36	hero105	10435	2	2700
477	37	hero105	10436	2	2775
478	38	hero105	10437	2	2850
479	39	hero105	10438	2	2925
480	40	hero105	10439	2	3000
481	41	hero105	10440	2	3075
482	42	hero105	10441	2	3150
483	43	hero105	10442	2	3225
484	44	hero105	10443	2	3300
485	45	hero105	10444	2	3375
486	46	hero105	10445	2	3450
487	47	hero105	10446	2	3525
488	48	hero105	10447	2	3600
489	49	hero105	10448	2	3675
490	50	hero105	10449	2	3750
491	51	hero105	10450	2	3825
492	52	hero105	10451	2	3900
493	53	hero105	10452	2	3975
494	54	hero105	10453	2	4050
495	55	hero105	10454	2	4125
496	56	hero105	10455	2	4200
497	57	hero105	10456	2	4275
498	58	hero105	10457	2	4350
499	59	hero105	10458	2	4425
500	60	hero105	10459	2	4500
501	61	hero105	10460	2	4575
502	62	hero105	10461	2	4650
503	63	hero105	10462	2	4725
504	64	hero105	10463	2	4800
505	65	hero105	10464	2	4875
506	66	hero105	10465	2	4950
507	67	hero105	10466	2	5025
508	68	hero105	10467	2	5100
509	69	hero105	10468	2	5175
510	70	hero105	10469	2	5250
511	71	hero105	10470	2	5325
512	72	hero105	10471	2	5400
513	73	hero105	10472	2	5475
514	74	hero105	10473	2	5550
515	75	hero105	10474	2	5625
516	76	hero105	10475	2	5700
517	77	hero105	10476	2	5775
518	78	hero105	10477	2	5850
519	79	hero105	10478	2	5925
520	80	hero105	10479	2	6000
521	81	hero105	10480	2	6075
522	82	hero105	10481	2	6150
523	83	hero105	10482	2	6225
524	84	hero105	10483	2	6300
525	85	hero105	10484	2	6375
526	86	hero105	10485	2	6450
527	87	hero105	10486	2	6525
528	88	hero105	10487	2	6600
529	89	hero105	10488	2	6675
530	90	hero105	10489	2	6750
531	91	hero105	10490	2	6825
532	92	hero105	10491	2	6900
533	93	hero105	10492	2	6975
534	94	hero105	10493	2	7050
535	95	hero105	10494	2	7125
536	96	hero105	10495	2	7200
537	97	hero105	10496	2	7275
538	98	hero105	10497	2	7350
539	99	hero105	10498	2	7425
540	100	hero105	10499	2	7500
541	101	hero105	10640	2	7575
542	102	hero105	10641	2	7650
543	103	hero105	10642	2	7725
544	104	hero105	10643	2	7800
545	105	hero105	10644	2	7875
546	106	hero105	10645	2	7950
547	107	hero105	10646	2	8025
548	108	hero105	10647	2	8100
549	109	hero105	10648	2	8175
550	110	hero105	10649	2	8250
551	1	hero106	10500	2	75
552	2	hero106	10501	2	150
553	3	hero106	10502	2	225
554	4	hero106	10503	2	300
555	5	hero106	10504	2	375
556	6	hero106	10505	2	450
557	7	hero106	10506	2	525
558	8	hero106	10507	2	600
559	9	hero106	10508	2	675
560	10	hero106	10509	2	750
561	11	hero106	10510	2	825
562	12	hero106	10511	2	900
563	13	hero106	10512	2	975
564	14	hero106	10513	2	1050
565	15	hero106	10514	2	1125
566	16	hero106	10515	2	1200
567	17	hero106	10516	2	1275
568	18	hero106	10517	2	1350
569	19	hero106	10518	2	1425
570	20	hero106	10519	2	1500
571	21	hero106	10520	2	1575
572	22	hero106	10521	2	1650
573	23	hero106	10522	2	1725
574	24	hero106	10523	2	1800
575	25	hero106	10524	2	1875
576	26	hero106	10525	2	1950
577	27	hero106	10526	2	2025
578	28	hero106	10527	2	2100
579	29	hero106	10528	2	2175
580	30	hero106	10529	2	2250
581	31	hero106	10530	2	2325
582	32	hero106	10531	2	2400
583	33	hero106	10532	2	2475
584	34	hero106	10533	2	2550
585	35	hero106	10534	2	2625
586	36	hero106	10535	2	2700
587	37	hero106	10536	2	2775
588	38	hero106	10537	2	2850
589	39	hero106	10538	2	2925
590	40	hero106	10539	2	3000
591	41	hero106	10540	2	3075
592	42	hero106	10541	2	3150
593	43	hero106	10542	2	3225
594	44	hero106	10543	2	3300
595	45	hero106	10544	2	3375
596	46	hero106	10545	2	3450
597	47	hero106	10546	2	3525
598	48	hero106	10547	2	3600
599	49	hero106	10548	2	3675
600	50	hero106	10549	2	3750
601	51	hero106	10550	2	3825
602	52	hero106	10551	2	3900
603	53	hero106	10552	2	3975
604	54	hero106	10553	2	4050
605	55	hero106	10554	2	4125
606	56	hero106	10555	2	4200
607	57	hero106	10556	2	4275
608	58	hero106	10557	2	4350
609	59	hero106	10558	2	4425
610	60	hero106	10559	2	4500
611	61	hero106	10560	2	4575
612	62	hero106	10561	2	4650
613	63	hero106	10562	2	4725
614	64	hero106	10563	2	4800
615	65	hero106	10564	2	4875
616	66	hero106	10565	2	4950
617	67	hero106	10566	2	5025
618	68	hero106	10567	2	5100
619	69	hero106	10568	2	5175
620	70	hero106	10569	2	5250
621	71	hero106	10570	2	5325
622	72	hero106	10571	2	5400
623	73	hero106	10572	2	5475
624	74	hero106	10573	2	5550
625	75	hero106	10574	2	5625
626	76	hero106	10575	2	5700
627	77	hero106	10576	2	5775
628	78	hero106	10577	2	5850
629	79	hero106	10578	2	5925
630	80	hero106	10579	2	6000
631	81	hero106	10580	2	6075
632	82	hero106	10581	2	6150
633	83	hero106	10582	2	6225
634	84	hero106	10583	2	6300
635	85	hero106	10584	2	6375
636	86	hero106	10585	2	6450
637	87	hero106	10586	2	6525
638	88	hero106	10587	2	6600
639	89	hero106	10588	2	6675
640	90	hero106	10589	2	6750
641	91	hero106	10590	2	6825
642	92	hero106	10591	2	6900
643	93	hero106	10592	2	6975
644	94	hero106	10593	2	7050
645	95	hero106	10594	2	7125
646	96	hero106	10595	2	7200
647	97	hero106	10596	2	7275
648	98	hero106	10597	2	7350
649	99	hero106	10598	2	7425
650	100	hero106	10599	2	7500
651	101	hero106	10650	2	7575
652	102	hero106	10651	2	7650
653	103	hero106	10652	2	7725
654	104	hero106	10653	2	7800
655	105	hero106	10654	2	7875
656	106	hero106	10655	2	7950
657	107	hero106	10656	2	8025
658	108	hero106	10657	2	8100
659	109	hero106	10658	2	8175
660	110	hero106	10659	2	8250
661	1	hero107	10200	2	75
662	2	hero107	10201	2	150
663	3	hero107	10202	2	225
664	4	hero107	10203	2	300
665	5	hero107	10204	2	375
666	6	hero107	10205	2	450
667	7	hero107	10206	2	525
668	8	hero107	10207	2	600
669	9	hero107	10208	2	675
670	10	hero107	10209	2	750
671	11	hero107	10210	2	825
672	12	hero107	10211	2	900
673	13	hero107	10212	2	975
674	14	hero107	10213	2	1050
675	15	hero107	10214	2	1125
676	16	hero107	10215	2	1200
677	17	hero107	10216	2	1275
678	18	hero107	10217	2	1350
679	19	hero107	10218	2	1425
680	20	hero107	10219	2	1500
681	21	hero107	10220	2	1575
682	22	hero107	10221	2	1650
683	23	hero107	10222	2	1725
684	24	hero107	10223	2	1800
685	25	hero107	10224	2	1875
686	26	hero107	10225	2	1950
687	27	hero107	10226	2	2025
688	28	hero107	10227	2	2100
689	29	hero107	10228	2	2175
690	30	hero107	10229	2	2250
691	31	hero107	10230	2	2325
692	32	hero107	10231	2	2400
693	33	hero107	10232	2	2475
694	34	hero107	10233	2	2550
695	35	hero107	10234	2	2625
696	36	hero107	10235	2	2700
697	37	hero107	10236	2	2775
698	38	hero107	10237	2	2850
699	39	hero107	10238	2	2925
700	40	hero107	10239	2	3000
701	41	hero107	10240	2	3075
702	42	hero107	10241	2	3150
703	43	hero107	10242	2	3225
704	44	hero107	10243	2	3300
705	45	hero107	10244	2	3375
706	46	hero107	10245	2	3450
707	47	hero107	10246	2	3525
708	48	hero107	10247	2	3600
709	49	hero107	10248	2	3675
710	50	hero107	10249	2	3750
711	51	hero107	10250	2	3825
712	52	hero107	10251	2	3900
713	53	hero107	10252	2	3975
714	54	hero107	10253	2	4050
715	55	hero107	10254	2	4125
716	56	hero107	10255	2	4200
717	57	hero107	10256	2	4275
718	58	hero107	10257	2	4350
719	59	hero107	10258	2	4425
720	60	hero107	10259	2	4500
721	61	hero107	10260	2	4575
722	62	hero107	10261	2	4650
723	63	hero107	10262	2	4725
724	64	hero107	10263	2	4800
725	65	hero107	10264	2	4875
726	66	hero107	10265	2	4950
727	67	hero107	10266	2	5025
728	68	hero107	10267	2	5100
729	69	hero107	10268	2	5175
730	70	hero107	10269	2	5250
731	71	hero107	10270	2	5325
732	72	hero107	10271	2	5400
733	73	hero107	10272	2	5475
734	74	hero107	10273	2	5550
735	75	hero107	10274	2	5625
736	76	hero107	10275	2	5700
737	77	hero107	10276	2	5775
738	78	hero107	10277	2	5850
739	79	hero107	10278	2	5925
740	80	hero107	10279	2	6000
741	81	hero107	10280	2	6075
742	82	hero107	10281	2	6150
743	83	hero107	10282	2	6225
744	84	hero107	10283	2	6300
745	85	hero107	10284	2	6375
746	86	hero107	10285	2	6450
747	87	hero107	10286	2	6525
748	88	hero107	10287	2	6600
749	89	hero107	10288	2	6675
750	90	hero107	10289	2	6750
751	91	hero107	10290	2	6825
752	92	hero107	10291	2	6900
753	93	hero107	10292	2	6975
754	94	hero107	10293	2	7050
755	95	hero107	10294	2	7125
756	96	hero107	10295	2	7200
757	97	hero107	10296	2	7275
758	98	hero107	10297	2	7350
759	99	hero107	10298	2	7425
760	100	hero107	10299	2	7500
761	101	hero107	10620	2	7575
762	102	hero107	10621	2	7650
763	103	hero107	10622	2	7725
764	104	hero107	10623	2	7800
765	105	hero107	10624	2	7875
766	106	hero107	10625	2	7950
767	107	hero107	10626	2	8025
768	108	hero107	10627	2	8100
769	109	hero107	10628	2	8175
770	110	hero107	10629	2	8250
771	1	hero108	10300	2	75
772	2	hero108	10301	2	150
773	3	hero108	10302	2	225
774	4	hero108	10303	2	300
775	5	hero108	10304	2	375
776	6	hero108	10305	2	450
777	7	hero108	10306	2	525
778	8	hero108	10307	2	600
779	9	hero108	10308	2	675
780	10	hero108	10309	2	750
781	11	hero108	10310	2	825
782	12	hero108	10311	2	900
783	13	hero108	10312	2	975
784	14	hero108	10313	2	1050
785	15	hero108	10314	2	1125
786	16	hero108	10315	2	1200
787	17	hero108	10316	2	1275
788	18	hero108	10317	2	1350
789	19	hero108	10318	2	1425
790	20	hero108	10319	2	1500
791	21	hero108	10320	2	1575
792	22	hero108	10321	2	1650
793	23	hero108	10322	2	1725
794	24	hero108	10323	2	1800
795	25	hero108	10324	2	1875
796	26	hero108	10325	2	1950
797	27	hero108	10326	2	2025
798	28	hero108	10327	2	2100
799	29	hero108	10328	2	2175
800	30	hero108	10329	2	2250
801	31	hero108	10330	2	2325
802	32	hero108	10331	2	2400
803	33	hero108	10332	2	2475
804	34	hero108	10333	2	2550
805	35	hero108	10334	2	2625
806	36	hero108	10335	2	2700
807	37	hero108	10336	2	2775
808	38	hero108	10337	2	2850
809	39	hero108	10338	2	2925
810	40	hero108	10339	2	3000
811	41	hero108	10340	2	3075
812	42	hero108	10341	2	3150
813	43	hero108	10342	2	3225
814	44	hero108	10343	2	3300
815	45	hero108	10344	2	3375
816	46	hero108	10345	2	3450
817	47	hero108	10346	2	3525
818	48	hero108	10347	2	3600
819	49	hero108	10348	2	3675
820	50	hero108	10349	2	3750
821	51	hero108	10350	2	3825
822	52	hero108	10351	2	3900
823	53	hero108	10352	2	3975
824	54	hero108	10353	2	4050
825	55	hero108	10354	2	4125
826	56	hero108	10355	2	4200
827	57	hero108	10356	2	4275
828	58	hero108	10357	2	4350
829	59	hero108	10358	2	4425
830	60	hero108	10359	2	4500
831	61	hero108	10360	2	4575
832	62	hero108	10361	2	4650
833	63	hero108	10362	2	4725
834	64	hero108	10363	2	4800
835	65	hero108	10364	2	4875
836	66	hero108	10365	2	4950
837	67	hero108	10366	2	5025
838	68	hero108	10367	2	5100
839	69	hero108	10368	2	5175
840	70	hero108	10369	2	5250
841	71	hero108	10370	2	5325
842	72	hero108	10371	2	5400
843	73	hero108	10372	2	5475
844	74	hero108	10373	2	5550
845	75	hero108	10374	2	5625
846	76	hero108	10375	2	5700
847	77	hero108	10376	2	5775
848	78	hero108	10377	2	5850
849	79	hero108	10378	2	5925
850	80	hero108	10379	2	6000
851	81	hero108	10380	2	6075
852	82	hero108	10381	2	6150
853	83	hero108	10382	2	6225
854	84	hero108	10383	2	6300
855	85	hero108	10384	2	6375
856	86	hero108	10385	2	6450
857	87	hero108	10386	2	6525
858	88	hero108	10387	2	6600
859	89	hero108	10388	2	6675
860	90	hero108	10389	2	6750
861	91	hero108	10390	2	6825
862	92	hero108	10391	2	6900
863	93	hero108	10392	2	6975
864	94	hero108	10393	2	7050
865	95	hero108	10394	2	7125
866	96	hero108	10395	2	7200
867	97	hero108	10396	2	7275
868	98	hero108	10397	2	7350
869	99	hero108	10398	2	7425
870	100	hero108	10399	2	7500
871	101	hero108	10630	2	7575
872	102	hero108	10631	2	7650
873	103	hero108	10632	2	7725
874	104	hero108	10633	2	7800
875	105	hero108	10634	2	7875
