流水	个人排行奖励
343	item1001,300
344	item1001,300
345	item1001,300
346	item1001,300
347	item1001,300
348	item1001,300
349	item1001,300
350	item1001,300
351	item1001,300
352	item1001,300
353	item1001,300
354	item1001,300
355	item1001,300
356	item1001,300
357	item1001,300
358	item1001,300
359	item1001,300
360	item1001,300
361	item1001,300
362	item1001,300
363	item1001,300
364	item1001,300
365	item1001,300
366	item1001,300
367	item1001,300
368	item1001,300
369	item1001,300
370	item1001,300
371	item1001,300
372	item1001,300
373	item1001,300
374	item1001,300
375	item1001,300
376	item1001,300
377	item1001,300
378	item1001,300
379	item1001,300
380	item1001,300
381	item1001,300
382	item1001,300
383	item1001,300
384	item1001,300
385	item1001,300
386	item1001,300
387	item1001,300
388	item1001,300
389	item1001,300
390	item1001,300
391	item1001,300
392	item1001,300
393	item1001,300
394	item1001,300
395	item1001,300
396	item1001,300
397	item1001,300
398	item1001,300
399	item1001,300
400	item1001,300
401	item1001,300
402	item1001,300
403	item1001,300
404	item1001,300
405	item1001,300
406	item1001,300
407	item1001,300
408	item1001,300
409	item1001,300
410	item1001,300
411	item1001,300
412	item1001,300
413	item1001,300
414	item1001,300
415	item1001,300
416	item1001,300
417	item1001,300
418	item1001,300
419	item1001,300
420	item1001,300
421	item1001,300
422	item1001,300
423	item1001,300
424	item1001,300
425	item1001,300
426	item1001,300
427	item1001,300
428	item1001,300
429	item1001,300
430	item1001,300
431	item1001,300
432	item1001,300
433	item1001,300
434	item1001,300
435	item1001,300
436	item1001,300
437	item1001,300
438	item1001,300
439	item1001,300
440	item1001,300
441	item1001,300
442	item1001,300
443	item1001,300
444	item1001,300
445	item1001,300
446	item1001,300
447	item1001,300
448	item1001,300
449	item1001,300
450	item1001,300
451	item1001,300
452	item1001,300
453	item1001,300
454	item1001,300
455	item1001,300
456	item1001,300
457	item1001,300
458	item1001,300
459	item1001,300
460	item1001,300
461	item1001,300
462	item1001,300
463	item1001,300
464	item1001,300
465	item1001,300
466	item1001,300
467	item1001,300
468	item1001,300
469	item1001,300
470	item1001,300
471	item1001,300
472	item1001,300
473	item1001,300
474	item1001,300
475	item1001,300
476	item1001,300
477	item1001,300
478	item1001,300
479	item1001,300
480	item1001,300
481	item1001,300
482	item1001,300
483	item1001,300
484	item1001,300
485	item1001,300
486	item1001,300
487	item1001,300
488	item1001,300
489	item1001,300
490	item1001,300
491	item1001,300
492	item1001,300
493	item1001,300
494	item1001,300
495	item1001,300
496	item1001,300
497	item1001,300
498	item1001,300
499	item1001,300
500	item1001,300
501	item1001,300
502	item1001,300
503	item1001,300
504	item1001,300
505	item1001,300
506	item1001,300
507	item1001,300
508	item1001,300
509	item1001,300
510	item1001,300
511	item1001,300
512	item1001,300
513	item1001,300
514	item1001,300
515	item1001,300
516	item1001,300
517	item1001,300
518	item1001,300
519	item1001,300
520	item1001,300
521	item1001,300
522	item1001,300
523	item1001,300
524	item1001,300
525	item1001,300
526	item1001,300
527	item1001,300
528	item1001,300
529	item1001,300
530	item1001,300
531	item1001,300
532	item1001,300
533	item1001,300
534	item1001,300
535	item1001,300
536	item1001,300
537	item1001,300
538	item1001,300
539	item1001,300
540	item1001,300
541	item1001,300
542	item1001,300
543	item1001,300
544	item1001,300
545	item1001,300
546	item1001,300
547	item1001,300
548	item1001,300
549	item1001,300
550	item1001,300
551	item1001,300
552	item1001,300
553	item1001,300
554	item1001,300
555	item1001,300
556	item1001,300
557	item1001,300
558	item1001,300
559	item1001,300
560	item1001,300
561	item1001,300
562	item1001,300
563	item1001,300
564	item1001,300
565	item1001,300
566	item1001,300
567	item1001,300
568	item1001,300
569	item1001,300
570	item1001,300
571	item1001,300
572	item1001,300
573	item1001,300
574	item1001,300
575	item1001,300
576	item1001,300
577	item1001,300
578	item1001,300
579	item1001,300
580	item1001,300
581	item1001,300
582	item1001,300
583	item1001,300
584	item1001,300
585	item1001,300
586	item1001,300
587	item1001,300
588	item1001,300
589	item1001,300
590	item1001,300
591	item1001,300
592	item1001,300
593	item1001,300
594	item1001,300
595	item1001,300
596	item1001,300
597	item1001,300
598	item1001,300
599	item1001,300
600	item1001,300
601	item1001,300
602	item1001,300
603	item1001,300
604	item1001,300
605	item1001,300
606	item1001,300
607	item1001,300
608	item1001,300
609	item1001,300
610	item1001,300
611	item1001,300
612	item1001,300
613	item1001,300
614	item1001,300
615	item1001,300
616	item1001,300
617	item1001,300
618	item1001,300
619	item1001,300
620	item1001,300
621	item1001,300
622	item1001,300
623	item1001,300
624	item1001,300
625	item1001,300
626	item1001,300
627	item1001,300
628	item1001,300
629	item1001,300
630	item1001,300
631	item1001,300
632	item1001,300
633	item1001,300
634	item1001,300
635	item1001,300
636	item1001,300
637	item1001,300
638	item1001,300
639	item1001,300
640	item1001,300
641	item1001,300
642	item1001,300
643	item1001,300
644	item1001,300
645	item1001,300
646	item1001,300
647	item1001,300
648	item1001,300
649	item1001,300
650	item1001,300
651	item1001,300
652	item1001,300
653	item1001,300
654	item1001,300
655	item1001,300
656	item1001,300
657	item1001,300
658	item1001,300
659	item1001,300
660	item1001,300
661	item1001,300
662	item1001,300
663	item1001,300
664	item1001,300
665	item1001,300
666	item1001,300
667	item1001,300
668	item1001,300
669	item1001,300
670	item1001,300
671	item1001,300
672	item1001,300
673	item1001,300
674	item1001,300
675	item1001,300
676	item1001,300
677	item1001,300
678	item1001,300
679	item1001,300
680	item1001,300
681	item1001,300
682	item1001,300
683	item1001,300
684	item1001,300
685	item1001,300
686	item1001,300
687	item1001,300
688	item1001,300
689	item1001,300
690	item1001,300
691	item1001,300
692	item1001,300
693	item1001,300
694	item1001,300
695	item1001,300
696	item1001,300
697	item1001,300
698	item1001,300
699	item1001,300
700	item1001,300
701	item1001,300
702	item1001,300
703	item1001,300
704	item1001,300
705	item1001,300
706	item1001,300
707	item1001,300
708	item1001,300
709	item1001,300
710	item1001,300
711	item1001,300
712	item1001,300
713	item1001,300
714	item1001,300
715	item1001,300
716	item1001,300
717	item1001,300
718	item1001,300
719	item1001,300
720	item1001,300
721	item1001,300
722	item1001,300
723	item1001,300
724	item1001,300
725	item1001,300
726	item1001,300
727	item1001,300
728	item1001,300
729	item1001,300
730	item1001,300
731	item1001,300
732	item1001,300
733	item1001,300
734	item1001,300
735	item1001,300
736	item1001,300
737	item1001,300
738	item1001,300
739	item1001,300
740	item1001,300
741	item1001,300
742	item1001,300
743	item1001,300
744	item1001,300
745	item1001,300
746	item1001,300
747	item1001,300
748	item1001,300
749	item1001,300
750	item1001,300
751	item1001,300
752	item1001,300
753	item1001,300
754	item1001,300
755	item1001,300
756	item1001,300
757	item1001,300
758	item1001,300
759	item1001,300
760	item1001,300
761	item1001,300
762	item1001,300
763	item1001,300
764	item1001,300
765	item1001,300
766	item1001,300
767	item1001,300
768	item1001,300
769	item1001,300
770	item1001,300
771	item1001,300
772	item1001,300
773	item1001,300
774	item1001,300
775	item1001,300
776	item1001,300
777	item1001,300
778	item1001,300
779	item1001,300
780	item1001,300
781	item1001,300
782	item1001,300
783	item1001,300
784	item1001,300
785	item1001,300
786	item1001,300
787	item1001,300
788	item1001,300
789	item1001,300
790	item1001,300
791	item1001,300
792	item1001,300
793	item1001,300
794	item1001,300
795	item1001,300
796	item1001,300
797	item1001,300
798	item1001,300
799	item1001,300
800	item1001,300
801	item1001,300
802	item1001,300
803	item1001,300
804	item1001,300
805	item1001,300
806	item1001,300
807	item1001,300
808	item1001,300
809	item1001,300
810	item1001,300
811	item1001,300
812	item1001,300
813	item1001,300
814	item1001,300
815	item1001,300
816	item1001,300
817	item1001,300
818	item1001,300
819	item1001,300
820	item1001,300
821	item1001,300
822	item1001,300
823	item1001,300
824	item1001,300
825	item1001,300
826	item1001,300
827	item1001,300
828	item1001,300
829	item1001,300
830	item1001,300
831	item1001,300
832	item1001,300
833	item1001,300
834	item1001,300
835	item1001,300
836	item1001,300
837	item1001,300
838	item1001,300
839	item1001,300
840	item1001,300
841	item1001,300
842	item1001,300
843	item1001,300
844	item1001,300
845	item1001,300
846	item1001,300
847	item1001,300
848	item1001,300
849	item1001,300
850	item1001,300
851	item1001,300
852	item1001,300
853	item1001,300
854	item1001,300
855	item1001,300
856	item1001,300
857	item1001,300
858	item1001,300
859	item1001,300
860	item1001,300
861	item1001,300
862	item1001,300
863	item1001,300
864	item1001,300
865	item1001,300
866	item1001,300
867	item1001,300
868	item1001,300
869	item1001,300
870	item1001,300
871	item1001,300
872	item1001,300
873	item1001,300
874	item1001,300
875	item1001,300
876	item1001,300
877	item1001,300
878	item1001,300
879	item1001,300
880	item1001,300
881	item1001,300
882	item1001,300
883	item1001,300
884	item1001,300
885	item1001,300
886	item1001,300
887	item1001,300
888	item1001,300
889	item1001,300
890	item1001,300
891	item1001,300
892	item1001,300
893	item1001,300
894	item1001,300
895	item1001,300
896	item1001,300
897	item1001,300
898	item1001,300
899	item1001,300
900	item1001,300
901	item1001,300
902	item1001,300
903	item1001,300
904	item1001,300
905	item1001,300
906	item1001,300
907	item1001,300
908	item1001,300
909	item1001,300
910	item1001,300
911	item1001,300
912	item1001,300
913	item1001,300
914	item1001,300
915	item1001,300
916	item1001,300
917	item1001,300
918	item1001,300
919	item1001,300
920	item1001,300
921	item1001,300
922	item1001,300
923	item1001,300
924	item1001,300
925	item1001,300
926	item1001,300
927	item1001,300
928	item1001,300
929	item1001,300
930	item1001,300
931	item1001,300
932	item1001,300
933	item1001,300
934	item1001,300
935	item1001,300
936	item1001,300
937	item1001,300
938	item1001,300
939	item1001,300
940	item1001,300
941	item1001,300
942	item1001,300
943	item1001,300
944	item1001,300
945	item1001,300
946	item1001,300
947	item1001,300
948	item1001,300
949	item1001,300
950	item1001,300
951	item1001,300
952	item1001,300
953	item1001,300
954	item1001,300
955	item1001,300
956	item1001,300
957	item1001,300
958	item1001,300
959	item1001,300
960	item1001,300
961	item1001,300
962	item1001,300
963	item1001,300
964	item1001,300
965	item1001,300
966	item1001,300
967	item1001,300
968	item1001,300
969	item1001,300
970	item1001,300
971	item1001,300
972	item1001,300
973	item1001,300
974	item1001,300
975	item1001,300
976	item1001,300
977	item1001,300
978	item1001,300
979	item1001,300
980	item1001,300
981	item1001,300
982	item1001,300
983	item1001,300
984	item1001,300
985	item1001,300
986	item1001,300
987	item1001,300
988	item1001,300
989	item1001,300
990	item1001,300
991	item1001,300
992	item1001,300
993	item1001,300
994	item1001,300
995	item1001,300
996	item1001,300
997	item1001,300
998	item1001,300
999	item1001,300
1000	item1001,300
