流水	属性库	属性品质	类型	buff编号	buff评分	属性Id	属性下限	属性上限	权重	是否属于稀有属性
108	504021	4	2	skill125001::buff_01	2000	0	4	4	0	1
109	505021	4	2	skill125005::buff_01	500	0	1	1	6000	1
110	505021	4	2	skill125005::buff_01	1000	0	2	2	2500	1
111	505021	4	2	skill125005::buff_01	1500	0	3	3	1500	1
112	505021	4	2	skill125005::buff_01	2000	0	4	4	0	1
113	506021	4	2	skill125011::buff_01	500	0	1	1	6000	1
114	506021	4	2	skill125011::buff_01	1000	0	2	2	2500	1
115	506021	4	2	skill125011::buff_01	1500	0	3	3	1500	1
116	506021	4	2	skill125011::buff_01	2000	0	4	4	0	1
117	501012	4	2	skill125008::buff_01	500	0	1	1	5000	1
118	501012	4	2	skill125008::buff_01	1000	0	2	2	2500	1
119	501012	4	2	skill125008::buff_01	1500	0	3	3	1500	1
120	501012	4	2	skill125008::buff_01	2000	0	4	4	1000	1
121	502012	4	2	skill125010::buff_01	500	0	1	1	5000	1
122	502012	4	2	skill125010::buff_01	1000	0	2	2	2500	1
123	502012	4	2	skill125010::buff_01	1500	0	3	3	1500	1
124	502012	4	2	skill125010::buff_01	2000	0	4	4	1000	1
125	503012	4	2	skill125004::buff_01	500	0	1	1	5000	1
126	503012	4	2	skill125004::buff_01	1000	0	2	2	2500	1
127	503012	4	2	skill125004::buff_01	1500	0	3	3	1500	1
128	503012	4	2	skill125004::buff_01	2000	0	4	4	1000	1
129	504012	4	2	skill125002::buff_01	500	0	1	1	5000	1
130	504012	4	2	skill125002::buff_01	1000	0	2	2	2500	1
131	504012	4	2	skill125002::buff_01	1500	0	3	3	1500	1
132	504012	4	2	skill125002::buff_01	2000	0	4	4	1000	1
133	505012	4	2	skill125006::buff_01	500	0	1	1	5000	1
134	505012	4	2	skill125006::buff_01	1000	0	2	2	2500	1
135	505012	4	2	skill125006::buff_01	1500	0	3	3	1500	1
136	505012	4	2	skill125006::buff_01	2000	0	4	4	1000	1
137	506012	4	2	skill125012::buff_01	500	0	1	1	5000	1
138	506012	4	2	skill125012::buff_01	1000	0	2	2	2500	1
139	506012	4	2	skill125012::buff_01	1500	0	3	3	1500	1
140	506012	4	2	skill125012::buff_01	2000	0	4	4	1000	1
141	501022	4	2	skill125007::buff_01	500	0	1	1	5000	1
142	501022	4	2	skill125007::buff_01	1000	0	2	2	2500	1
143	501022	4	2	skill125007::buff_01	1500	0	3	3	1500	1
144	501022	4	2	skill125007::buff_01	2000	0	4	4	1000	1
145	502022	4	2	skill125009::buff_01	500	0	1	1	5000	1
146	502022	4	2	skill125009::buff_01	1000	0	2	2	2500	1
147	502022	4	2	skill125009::buff_01	1500	0	3	3	1500	1
148	502022	4	2	skill125009::buff_01	2000	0	4	4	1000	1
149	503022	4	2	skill125003::buff_01	500	0	1	1	5000	1
150	503022	4	2	skill125003::buff_01	1000	0	2	2	2500	1
151	503022	4	2	skill125003::buff_01	1500	0	3	3	1500	1
152	503022	4	2	skill125003::buff_01	2000	0	4	4	1000	1
153	504022	4	2	skill125001::buff_01	500	0	1	1	5000	1
154	504022	4	2	skill125001::buff_01	1000	0	2	2	2500	1
155	504022	4	2	skill125001::buff_01	1500	0	3	3	1500	1
156	504022	4	2	skill125001::buff_01	2000	0	4	4	1000	1
157	505022	4	2	skill125005::buff_01	500	0	1	1	5000	1
158	505022	4	2	skill125005::buff_01	1000	0	2	2	2500	1
159	505022	4	2	skill125005::buff_01	1500	0	3	3	1500	1
160	505022	4	2	skill125005::buff_01	2000	0	4	4	1000	1
161	506022	4	2	skill125011::buff_01	500	0	1	1	5000	1
162	506022	4	2	skill125011::buff_01	1000	0	2	2	2500	1
163	506022	4	2	skill125011::buff_01	1500	0	3	3	1500	1
164	506022	4	2	skill125011::buff_01	2000	0	4	4	1000	1
165	400020	4	1		0	303	500	700	10000	1
166	400030	4	1		0	303	500	700	4000	1
167	400030	3	1		0	303	200	400	6000	0
168	400040	3	1		0	3	285	400	1000	0
169	400040	3	1		0	4	285	400	1000	0
170	400040	3	1		0	301	18500	26200	1000	0
171	400040	3	1		0	331	1850	2620	1000	0
172	400040	2	1		0	3	165	280	1500	0
173	400040	2	1		0	4	165	280	1500	0
174	400040	2	1		0	301	13000	18300	1500	0
175	400040	2	1		0	331	1300	1830	1500	0
176	400050	2	1		0	302	720	1260	1111	0
177	400050	2	1		0	5	400	700	1111	0
178	400050	2	1		0	2	64	112	1111	0
179	400050	2	1		0	21	240	420	1111	0
180	400050	2	1		0	23	240	420	1111	0
181	400050	2	1		0	25	240	420	1111	0
182	400050	2	1		0	22	240	420	1111	0
183	400050	2	1		0	24	240	420	1111	0
184	400050	2	1		0	26	240	420	1111	0
185	401010	4	2	skill125008::buff_01	500	0	1	1	3800	1
186	401010	4	2	skill125008::buff_01	1000	0	2	2	3500	1
187	401010	4	2	skill125008::buff_01	1500	0	3	3	1500	1
188	401010	4	2	skill125008::buff_01	2000	0	4	4	1200	1
189	402010	4	2	skill125010::buff_01	500	0	1	1	3800	1
190	402010	4	2	skill125010::buff_01	1000	0	2	2	3500	1
191	402010	4	2	skill125010::buff_01	1500	0	3	3	1500	1
192	402010	4	2	skill125010::buff_01	2000	0	4	4	1200	1
193	403010	4	2	skill125004::buff_01	500	0	1	1	3800	1
194	403010	4	2	skill125004::buff_01	1000	0	2	2	3500	1
195	403010	4	2	skill125004::buff_01	1500	0	3	3	1500	1
196	403010	4	2	skill125004::buff_01	2000	0	4	4	1200	1
197	404010	4	2	skill125002::buff_01	500	0	1	1	3800	1
198	404010	4	2	skill125002::buff_01	1000	0	2	2	3500	1
199	404010	4	2	skill125002::buff_01	1500	0	3	3	1500	1
200	404010	4	2	skill125002::buff_01	2000	0	4	4	1200	1
201	405010	4	2	skill125006::buff_01	500	0	1	1	3800	1
202	405010	4	2	skill125006::buff_01	1000	0	2	2	3500	1
203	405010	4	2	skill125006::buff_01	1500	0	3	3	1500	1
204	405010	4	2	skill125006::buff_01	2000	0	4	4	1200	1
205	406010	4	2	skill125012::buff_01	500	0	1	1	3800	1
206	406010	4	2	skill125012::buff_01	1000	0	2	2	3500	1
207	406010	4	2	skill125012::buff_01	1500	0	3	3	1500	1
208	406010	4	2	skill125012::buff_01	2000	0	4	4	1200	1
209	401011	4	2	skill125008::buff_01	500	0	1	1	4200	1
210	401011	4	2	skill125008::buff_01	1000	0	2	2	3000	1
211	401011	4	2	skill125008::buff_01	1500	0	3	3	1800	1
212	401011	4	2	skill125008::buff_01	2000	0	4	4	1000	1
213	402011	4	2	skill125010::buff_01	500	0	1	1	4200	1
214	402011	4	2	skill125010::buff_01	1000	0	2	2	3000	1
215	402011	4	2	skill125010::buff_01	1500	0	3	3	1800	1
216	402011	4	2	skill125010::buff_01	2000	0	4	4	1000	1
217	403011	4	2	skill125004::buff_01	500	0	1	1	4200	1
218	403011	4	2	skill125004::buff_01	1000	0	2	2	3000	1
219	403011	4	2	skill125004::buff_01	1500	0	3	3	1800	1
220	403011	4	2	skill125004::buff_01	2000	0	4	4	1000	1
221	404011	4	2	skill125002::buff_01	500	0	1	1	4200	1
222	404011	4	2	skill125002::buff_01	1000	0	2	2	3000	1
223	404011	4	2	skill125002::buff_01	1500	0	3	3	1800	1
224	404011	4	2	skill125002::buff_01	2000	0	4	4	1000	1
225	405011	4	2	skill125006::buff_01	500	0	1	1	4200	1
226	405011	4	2	skill125006::buff_01	1000	0	2	2	3000	1
227	405011	4	2	skill125006::buff_01	1500	0	3	3	1800	1
228	405011	4	2	skill125006::buff_01	2000	0	4	4	1000	1
229	406011	4	2	skill125012::buff_01	500	0	1	1	4200	1
230	406011	4	2	skill125012::buff_01	1000	0	2	2	3000	1
231	406011	4	2	skill125012::buff_01	1500	0	3	3	1800	1
232	406011	4	2	skill125012::buff_01	2000	0	4	4	1000	1
233	300010	4	1		0	303	200	400	10000	1
234	300030	2	1		0	302	400	720	1666	0
235	300030	2	1		0	5	300	400	1666	0
236	300030	2	1		0	2	40	64	1666	0
237	300030	2	1		0	21	80	240	1666	0
238	300030	2	1		0	23	80	240	1666	0
239	300030	2	1		0	25	80	240	1666	0
240	300040	2	1		0	302	400	720	1666	0
241	300040	2	1		0	5	300	400	1666	0
242	300040	2	1		0	2	40	64	1666	0
243	300040	2	1		0	22	80	240	1666	0
244	300040	2	1		0	24	80	240	1666	0
245	300040	2	1		0	26	80	240	1666	0
246	300130	3	1		0	3	85	160	1000	0
247	300130	3	1		0	4	85	160	1000	0
248	300130	3	1		0	301	6100	12000	1000	0
249	300130	3	1		0	331	610	1200	1000	0
250	300130	2	1		0	3	40	80	1500	0
251	300130	2	1		0	4	40	80	1500	0
252	300130	2	1		0	301	3000	6000	1500	0
253	300130	2	1		0	331	300	600	1500	0
254	300140	2	1		0	302	400	720	1111	0
255	300140	2	1		0	5	300	400	1111	0
256	300140	2	1		0	2	40	64	1111	0
257	300140	2	1		0	21	80	240	1111	0
258	300140	2	1		0	23	80	240	1111	0
259	300140	2	1		0	25	80	240	1111	0
260	300140	2	1		0	22	80	240	1111	0
261	300140	2	1		0	24	80	240	1111	0
262	300140	2	1		0	26	80	240	1111	0
263	301020	2	1		0	3	30	60	6000	0
264	301020	3	1		0	3	65	120	4000	0
265	302020	2	1		0	4	30	60	6000	0
266	302020	3	1		0	4	65	120	4000	0
267	303020	2	1		0	301	2300	4500	6000	0
268	303020	3	1		0	301	4600	9000	4000	0
269	304020	2	1		0	331	225	450	6000	0
270	304020	3	1		0	331	455	900	4000	0
271	305020	4	1		0	30	300	500	2000	1
272	305020	3	1		0	3	85	140	2000	0
273	305020	3	1		0	4	85	140	2000	0
274	305020	3	1		0	301	4600	9000	2000	0
275	305020	3	1		0	331	455	900	2000	0
276	306020	4	1		0	33	300	500	2000	1
277	306020	3	1		0	3	85	140	2000	0
278	306020	3	1		0	4	85	140	2000	0
279	306020	3	1		0	301	4600	9000	2000	0
280	306020	3	1		0	331	455	900	2000	0
281	307020	4	1		0	35	300	500	2000	1
282	307020	3	1		0	3	85	140	2000	0
283	307020	3	1		0	4	85	140	2000	0
284	307020	3	1		0	301	4600	9000	2000	0
285	307020	3	1		0	331	455	900	2000	0
286	308020	4	1		0	31	300	500	2000	1
287	308020	3	1		0	3	85	140	2000	0
288	308020	3	1		0	4	85	140	2000	0
289	308020	3	1		0	301	4600	9000	2000	0
290	308020	3	1		0	331	455	900	2000	0
291	309020	4	1		0	32	300	500	2000	1
292	309020	3	1		0	3	85	140	2000	0
293	309020	3	1		0	4	85	140	2000	0
294	309020	3	1		0	301	4600	9000	2000	0
295	309020	3	1		0	331	455	900	2000	0
296	310020	4	1		0	34	300	500	2000	1
297	310020	3	1		0	3	85	140	2000	0
298	310020	3	1		0	4	85	140	2000	0
299	310020	3	1		0	301	4600	9000	2000	0
300	310020	3	1		0	331	455	900	2000	0
301	200020	2	1		0	302	180	360	1666	0
302	200020	2	1		0	5	100	200	1666	0
303	200020	2	1		0	2	32	64	1666	0
304	200020	2	1		0	21	120	240	1666	0
305	200020	2	1		0	23	120	240	1666	0
306	200020	2	1		0	25	120	240	1666	0
307	200030	2	1		0	302	180	360	1666	0
308	200030	2	1		0	5	100	200	1666	0
309	200030	2	1		0	2	32	64	1666	0
310	200030	2	1		0	22	120	240	1666	0
311	200030	2	1		0	24	120	240	1666	0
312	200030	2	1		0	26	120	240	1666	0
313	200120	3	1		0	3	45	80	1000	0
314	200120	3	1		0	4	45	80	1000	0
315	200120	3	1		0	301	3100	6000	1000	0
316	200120	3	1		0	331	310	600	1000	0
317	200120	2	1		0	3	20	40	1500	0
318	200120	2	1		0	4	20	40	1500	0
319	200120	2	1		0	301	1500	3000	1500	0
320	200120	2	1		0	331	150	300	1500	0
321	200130	2	1		0	302	180	360	1111	0
322	200130	2	1		0	5	100	200	1111	0
323	200130	2	1		0	2	32	64	1111	0
324	200130	2	1		0	21	120	240	1111	0
325	200130	2	1		0	23	120	240	1111	0
326	200130	2	1		0	25	120	240	1111	0
327	200130	2	1		0	22	120	240	1111	0
328	200130	2	1		0	24	120	240	1111	0
329	200130	2	1		0	26	120	240	1111	0
330	201010	2	1		0	3	15	30	6000	0
331	201010	3	1		0	3	35	60	4000	0
332	202010	2	1		0	4	15	30	6000	0
333	202010	3	1		0	4	35	60	4000	0
334	203010	2	1		0	301	1200	2400	6000	0
335	203010	3	1		0	301	2500	4500	4000	0
336	204010	2	1		0	3	20	40	6000	0
337	204010	3	1		0	3	45	80	4000	0
338	205010	2	1		0	4	20	40	6000	0
339	205010	3	1		0	4	45	80	4000	0
340	206010	2	1		0	301	1500	3000	6000	0
341	206010	3	1		0	301	3100	6000	4000	0
342	207010	2	1		0	331	150	300	6000	0
343	207010	3	1		0	331	310	600	4000	0
344	208010	4	3		0	0	10	10	3000	1
345	208010	4	3		0	0	20	20	6000	1
346	208010	4	3		0	0	25	25	1000	1
347	209010	4	3		0	0	20	20	3000	1
348	209010	4	3		0	0	30	30	6000	1
349	209010	4	3		0	0	40	40	1000	1
350	210010	4	3		0	0	30	30	3000	1
351	210010	4	3		0	0	40	40	6000	1
352	210010	4	3		0	0	50	50	1000	1
