物件id	物件类型	物品是否上升级预告	物品长（列）	物品宽（行）	物品高	是否可以放置在其他物体上	是否可以放置其他物体	交互格	交互位置组	交互ID	解锁家园等级	物品是否可收回	移动选择序列	清除1份CD的时间	清除1份CD的价格	物品内放置物	物品可转朝向	工厂产物摆放位置	物件外观	模型动作集	动作集对应ID	阻挡信息	有效阻挡长格子	有效阻挡宽格子	响应面板的范围	状态特效id	状态特效	特效缩放	对应的itemid	物件图标	物件名字	快速购买的价格	预览标签偏移	烹饪用道具图标偏移	挂壁格子偏移
1009	1	1	2	2	1	0	0			0	9	0	3	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1009		0,0.6,0		0.000000
1010	1	1	2	2	1	0	0			0	10	0	3	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1010		0,0.6,0		0.000000
1011	1	1	2	2	1	0	0			0	11	0	3	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1011		0,0.6,0		0.000000
1012	1	1	2	2	1	0	0			0	12	0	3	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1012		0,0.6,0		0.000000
1013	1	1	2	2	1	0	0			0	13	0	4	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1013		0,0.6,0		0.000000
1014	1	1	2	2	1	0	0			0	14	0	4	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1014		0,0.6,0		0.000000
1015	1	1	2	2	1	0	0			0	15	0	4	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1015		0,0.6,0		0.000000
1016	1	1	2	2	1	0	0			0	16	0	4	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1016		0,0.6,0		0.000000
1017	1	1	2	2	1	0	0			0	17	0	5	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1017		0,0.6,0		0.000000
1018	1	1	2	2	1	0	0			0	18	0	5	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1018		0,0.6,0		0.000000
1019	1	1	2	2	1	0	0			0	19	0	5	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1019		0,0.6,0		0.000000
1020	1	1	2	2	1	0	0			0	20	0	5	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1020		0,0.6,0		0.000000
1021	1	1	2	2	1	0	0			0	21	0	6	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1021		0,0.6,0		0.000000
1022	1	1	2	2	1	0	0			0	22	0	6	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1022		0,0.6,0		0.000000
1023	1	1	2	2	1	0	0			0	23	0	6	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1023		0,0.6,0		0.000000
1024	1	1	2	2	1	0	0			0	24	0	6	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1024		0,0.6,0		0.000000
1025	1	1	2	2	1	0	0			0	25	0	7	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1025		0,0.6,0		0.000000
1026	1	1	2	2	1	0	0			0	26	0	7	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1026		0,0.6,0		0.000000
1027	1	1	2	2	1	0	0			0	27	0	7	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1027		0,0.6,0		0.000000
1028	1	1	2	2	1	0	0			0	28	0	7	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1028		0,0.6,0		0.000000
1029	1	1	2	2	1	0	0			0	29	0	8	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1029		0,0.6,0		0.000000
1030	1	1	2	2	1	0	0			0	30	0	8	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1030		0,0.6,0		0.000000
2001	2	1	8	8	1	0	0			0	6	0	101	0		3001;3002;3003;3004;3005	1;2;3;4		SEJY_jiwo_001	0		2,5,5,1	6.000000	6.000000	12			0.000000		homeland_chickenfield	ObjectName2001		0,1.5,0		0.000000
2002	2	1	8	8	1	0	0			0	8	0	102	0		3011;3012;3013;3014;3015	1;2;3;4		SEJY_niujuan_001	0		2,5,5,1	6.000000	6.000000	12			0.000000		homeland_cowfield	ObjectName2002		0,1.5,0		0.000000
2003	2	1	8	8	1	0	0			0	12	0	103	0		3021;3022;3023;3024;3025	1;2;3;4		SEJY_yangjuan_001	0		2,5,5,1	6.000000	6.000000	12			0.000000		homeland_pigfield	ObjectName2003		0,1.5,0		0.000000
3001	3	0	0	0	0	0	0			0	6	0	0	300	2,50				farm001|body|farm001_body_t1	35	801;800;802	1,1,0.6	0.000000	0.000000	12			0.000000			ObjectName3001		0,1.1,0		0.000000
3002	3	0	0	0	0	0	0			0	6	0	0	300	2,50				farm001|body|farm001_body_t1	35	801;800;802	1,1,0.6	0.000000	0.000000	12			0.000000			ObjectName3002		0,1.1,0		0.000000
3003	3	0	0	0	0	0	0			0	6	0	0	300	2,50				farm001|body|farm001_body_t1	35	801;800;802	1,1,0.6	0.000000	0.000000	12			0.000000			ObjectName3003		0,1.1,0		0.000000
3004	3	0	0	0	0	0	0			0	6	0	0	300	2,50				farm001|body|farm001_body_t1	35	801;800;802	1,1,0.6	0.000000	0.000000	12			0.000000			ObjectName3004		0,1.1,0		0.000000
3005	3	0	0	0	0	0	0			0	6	0	0	300	2,50				farm001|body|farm001_body_t1	35	801;800;802	1,1,0.6	0.000000	0.000000	12			0.000000			ObjectName3005		0,1.1,0		0.000000
3011	3	0	0	0	0	0	0			0	8	0	0	300	2,50				farm003|body|farm003_body_t1	35	801;800;802	1,1,0.8	0.000000	0.000000	12			0.000000			ObjectName3011		0,1.3,0		0.000000
3012	3	0	0	0	0	0	0			0	8	0	0	300	2,50				farm003|body|farm003_body_t1	35	801;800;802	1,1,0.8	0.000000	0.000000	12			0.000000			ObjectName3012		0,1.3,0		0.000000
3013	3	0	0	0	0	0	0			0	8	0	0	300	2,50				farm003|body|farm003_body_t1	35	801;800;802	1,1,0.8	0.000000	0.000000	12			0.000000			ObjectName3013		0,1.3,0		0.000000
3014	3	0	0	0	0	0	0			0	8	0	0	300	2,50				farm003|body|farm003_body_t1	35	801;800;802	1,1,0.8	0.000000	0.000000	12			0.000000			ObjectName3014		0,1.3,0		0.000000
3015	3	0	0	0	0	0	0			0	8	0	0	300	2,50				farm003|body|farm003_body_t1	35	801;800;802	1,1,0.8	0.000000	0.000000	12			0.000000			ObjectName3015		0,1.3,0		0.000000
3021	3	0	0	0	0	0	0			0	12	0	0	300	2,50				farm002|body|farm002_body_t1	35	801;800;802	1,1,0.8	0.000000	0.000000	12			0.000000			ObjectName3021		0,1.3,0		0.000000
3022	3	0	0	0	0	0	0			0	12	0	0	300	2,50				farm002|body|farm002_body_t1	35	801;800;802	1,1,0.8	0.000000	0.000000	12			0.000000			ObjectName3022		0,1.3,0		0.000000
3023	3	0	0	0	0	0	0			0	12	0	0	300	2,50				farm002|body|farm002_body_t1	35	801;800;802	1,1,0.8	0.000000	0.000000	12			0.000000			ObjectName3023		0,1.3,0		0.000000
3024	3	0	0	0	0	0	0			0	12	0	0	300	2,50				farm002|body|farm002_body_t1	35	801;800;802	1,1,0.8	0.000000	0.000000	12			0.000000			ObjectName3024		0,1.3,0		0.000000
3025	3	0	0	0	0	0	0			0	12	0	0	300	2,50				farm002|body|farm002_body_t1	35	801;800;802	1,1,0.8	0.000000	0.000000	12			0.000000			ObjectName3025		0,1.3,0		0.000000
4001	4	1	0	0	0	0	0			0	5	0	0	300	2,50					0			0.000000	0.000000	0	4000001;4000002;4000003		0.000000	item144000000001	item_144000000001	ObjectName4001	1,1500			0.000000
4002	4	1	0	0	0	0	0			0	7	0	0	300	2,50					0			0.000000	0.000000	0	4000011;4000012;4000013		0.000000	item144000000002	item_144000000002	ObjectName4002	1,3000			0.000000
4003	4	1	0	0	0	0	0			0	14	0	0	300	2,50					0			0.000000	0.000000	0	4000031;4000032;4000033		0.000000	item144000000003	item_144000000003	ObjectName4003	1,9000			0.000000
4004	4	1	0	0	0	0	0			0	10	0	0	300	2,50					0			0.000000	0.000000	0	4000021;4000022;4000023		0.000000	item144000000004	item_144000000004	ObjectName4004	1,6000			0.000000
4005	4	1	0	0	0	0	0			0	24	0	0	300	2,50					0			0.000000	0.000000	0	4000041;4000042;4000043		0.000000	item144000000005	item_144000000005	ObjectName4005	1,12000			0.000000
4101	4	1	0	0	0	0	0			0	0	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144100000001	item_144100000001	ObjectName4101	2,50			0.000000
4201	4	1	0	0	0	0	0			0	0	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144100000002	item_144100000002	ObjectName4201	2,60			0.000000
4301	4	1	0	0	0	0	0			0	0	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144100000003	item_144100000003	ObjectName4301	2,110			0.000000
4401	4	1	0	0	0	0	0			0	11	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000001	item_144200000001	ObjectName4401	2,110			0.000000
4402	4	1	0	0	0	0	0			0	13	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000002	item_144200000002	ObjectName4402	2,180			0.000000
4403	4	1	0	0	0	0	0			0	19	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000003	item_144200000003	ObjectName4403	2,260			0.000000
4404	4	1	0	0	0	0	0			0	23	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000004	item_144200000004	ObjectName4404	2,330			0.000000
4501	4	1	0	0	0	0	0			0	15	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000011	item_144200000011	ObjectName4501	2,170			0.000000
4502	4	1	0	0	0	0	0			0	19	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000012	item_144200000012	ObjectName4502	2,290			0.000000
4503	4	1	0	0	0	0	0			0	22	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000013	item_144200000013	ObjectName4503	2,410			0.000000
4504	4	1	0	0	0	0	0			0	26	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000014	item_144200000014	ObjectName4504	2,530			0.000000
4601	4	1	0	0	0	0	0			0	9	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000021	item_144200000015	ObjectName4601	2,80			0.000000
4602	4	1	0	0	0	0	0			0	28	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000022	item_144200000022	ObjectName4602	2,650			0.000000
4603	4	1	0	0	0	0	0			0	12	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000023	item_144200000023	ObjectName4603	2,260			0.000000
4604	4	1	0	0	0	0	0			0	24	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000024	item_144200000024	ObjectName4604	2,530			0.000000
4605	4	1	0	0	0	0	0			0	16	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000025	item_144200000025	ObjectName4605	2,390			0.000000
4606	4	1	0	0	0	0	0			0	20	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000026	item_144200000026	ObjectName4606	2,450			0.000000
4701	4	1	0	0	0	0	0			0	13	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000031	item_144200000031	ObjectName4701	2,170			0.000000
4702	4	1	0	0	0	0	0			0	29	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000032	item_144200000032	ObjectName4702	2,650			0.000000
4703	4	1	0	0	0	0	0			0	21	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000033	item_144200000033	ObjectName4703	2,320			0.000000
4704	4	1	0	0	0	0	0			0	17	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000034	item_144200000034	ObjectName4704	2,290			0.000000
4705	4	1	0	0	0	0	0			0	33	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000035	item_144200000035	ObjectName4705	2,830			0.000000
4706	4	1	0	0	0	0	0			0	25	0	0	300	2,50					0			0.000000	0.000000	0			0.000000	item144200000036	item_144200000036	ObjectName4706	2,510			0.000000
4901	4	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144400000001	item_144400000001	ObjectName4901				0.000000
4902	4	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144400000002	item_144400000002	ObjectName4902				0.000000
4903	4	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144400000003	item_144400000003	ObjectName4903				0.000000
4904	4	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144400000004	item_144400000004	ObjectName4904				0.000000
4905	4	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144400000005	item_144400000005	ObjectName4905				0.000000
4906	4	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144400000006	item_144400000006	ObjectName4906				0.000000
4907	4	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144400000007	item_144400000007	ObjectName4907				0.000000
4908	4	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144400000008	item_144400000008	ObjectName4908				0.000000
4909	4	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144400000009	item_144400000009	ObjectName4909				0.000000
4910	4	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144400000010	item_144400000010	ObjectName4910				0.000000
4911	4	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144400000011	item_144400000011	ObjectName4911				0.000000
4912	4	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144400000012	item_144400000012	ObjectName4912				0.000000
5001	5	1	8	8	1	0	0			0	2	0	201	300	2,50		1;2;3;4		SEJY_timofangzi_001	3		2,4.5,2.5,2.5	6.000000	6.000000	12			0.000000		homeland_ordercenter	ObjectName5001				0.000000
6001	6	1	6	6	1	0	0			0	9	0	202	0			1;2;3;4	0.03,4.59,-0.06	SEJY_maocanting_001	3		2,2.5,1.5,1.5	4.000000	4.000000	12			0.000000		homeland_factorysugar	ObjectName6001				0.000000
6002	6	1	8	8	1	0	0			0	15	0	203	0			1;2;3;4	0.02,2.91,0.47	SEJY_zhizhu_001	3		2,2.5,1.5,0.5	6.000000	6.000000	12			0.000000		homeland_factoryfood	ObjectName6002				0.000000
6003	6	1	8	8	1	0	0			0	11	0	204	0			1;2;3;4	0.03,5.3,0.06	SRJY_niunai_001	3		2,3.5,1.5,2	6.000000	6.000000	12			0.000000		homeland_factorymilk	ObjectName6003				0.000000
6004	6	1	8	8	1	0	0			0	13	0	205	0			1;2;3;4	-2.25,5.01,-0.46	SEJY_luotuo_001	3		2,3.5,1.5,2.5	6.000000	6.000000	12			0.000000		homeland_factorycuisine	ObjectName6004				0.000000
97001	16	0	2	2	1	0	0			0	1	1	0	0			1;2;3;4		homeland001|body|homeland001_body_t1	0		2,2,2,0	0.000000	0.000000	12			1.000000	item144300000001	item_144300000001	ObjectName97001		0,0.75,0		0.000000
97002	16	0	2	2	1	0	0			0	1	1	0	0			1;2;3;4			0		2,2,2,0	0.000000	0.000000	12	4100024		1.000000	item144300000002	item_144300000002	ObjectName97002	1,150000	0,0.75,0		0.000000
97003	16	0	2	2	1	0	0			0	1	1	0	0			1;2;3;4		homeland003|body|homeland003_body_t1	0		2,2,2,0	0.000000	0.000000	12			1.000000	item144300000003	item_144300000003	ObjectName97003	1,150000	0,0.75,0		0.000000
97004	7	0	2	2	1	0	0			0	22	1	0	0			1;2;3;4		homeland005|body|homeland005_body_t1	0		2,1.5,1.5,1.2	2.000000	2.000000	12			1.000000	item144300000005	item_144300000005	ObjectName97004	17,6000	0,0.75,0		0.000000
97005	7	0	2	2	1	0	0			0	1	1	0	0			1;2;3;4		homeland006|body|homeland006_body_t1	0		2,2,2,0.6	2.000000	2.000000	12			1.000000	item144300000006	item_144300000006	ObjectName97005	1,900000	0,0.75,0		0.000000
97006	7	0	2	2	1	0	0			0	1	1	0	0			1;2;3;4		homeland009|body|homeland009_body_t1	0		2,2,2,0.3	2.000000	2.000000	12			1.000000	item144300000009	item_144300000009	ObjectName97006		0,0.75,0		0.000000
97007	7	0	6	6	6	0	0			0	1	1	0	0			1;2;3;4			0		2,5,5,2	6.000000	6.000000	12	4100015		2.500000	item144300000010	item_144300000010	ObjectName97007		0,4.5,0		0.000000
97008	7	0	3	1	1	0	0			0	1	1	0	0			1;2;3;4		homeland011|body|homeland011_body_t1	0		2,2.25,0.75,0.75	3.000000	1.000000	12			1.250000	item144300000011	item_144300000011	ObjectName97008	1,300000	0,0.75,0		0.000000
97009	7	0	4	2	2	0	0			0	1	1	0	0			1;2;3;4			0		2,4,2,1	4.000000	2.000000	12	4100016		1.500000	item144300000012	item_144300000012	ObjectName97009	17,12000	0,1.5,0		0.000000
97010	7	0	4	2	1	0	0			0	1	1	0	0			1;2;3;4			0		2,4,2,1	4.000000	2.000000	12	4100017		1.500000	item144300000013	item_144300000013	ObjectName97010	1,1200000	0,0.75,0		0.000000
97011	7	0	4	4	6	0	0			0	1	1	0	0			1;2;3;4		homeland014|body|homeland014_body_t1	0		2,2,2,3.8	4.000000	4.000000	12			2.500000	item144300000014	item_144300000014	ObjectName97011		0,4.5,0		0.000000
97012	7	0	2	2	1	0	0			0	1	1	0	0			1;2;3;4			0		2,2,2,1	2.000000	2.000000	12	4100018		1.000000	item144300000015	item_144300000015	ObjectName97012	1,300000	0,0.75,0		0.000000
97013	7	0	6	6	1	0	0			0	1	1	0	0			1;2;3;4			0		2,5,5,1	6.000000	6.000000	12	4100019		2.500000	item144300000016	item_144300000016	ObjectName97013		0,0.75,0		0.000000
97014	7	0	4	4	1	0	0			0	1	1	0	0			1;2;3;4			0		2,3,3,1	4.000000	4.000000	12	4100020		1.500000	item144300000017	item_144300000017	ObjectName97014	1,600000	0,0.75,0		0.000000
97015	7	0	2	2	2	0	0			0	1	1	0	0			1;2;3;4			0		2,2,2,2	2.000000	2.000000	12	4100021		1.000000	item144300000018	item_144300000018	ObjectName97015	1,600000	0,1.5,0		0.000000
97016	7	0	2	2	2	0	0			0	1	1	0	0			1;2;3;4		homeland019|body|homeland019_body_t1	0		2,1.2,1.2,1.2	2.000000	2.000000	12			1.000000	item144300000019	item_144300000019	ObjectName97016	17,8000	0,1.5,0		0.000000
97017	7	0	2	2	2	0	0			0	1	1	0	0			1;2;3;4		homeland020|body|homeland020_body_t1	0		2,1.2,1.2,1.2	2.000000	2.000000	12			1.000000	item144300000020	item_144300000020	ObjectName97017	1,1200000	0,1.5,0		0.000000
97018	7	0	4	4	4	0	0			0	1	1	0	0			1;2;3;4			0		2,3,3,1	4.000000	4.000000	12	4100022		1.500000	item144300000021	item_144300000021	ObjectName97018	1,1800000	0,3,0		0.000000
97019	7	0	4	6	2	0	0			0	1	1	0	0			1;2;3;4			0		2,3,5,1	4.000000	6.000000	12	4100023		2.500000	item144300000022	item_144300000022	ObjectName97019		0,1.5,0		0.000000
97020	7	0	2	2	2	0	0			0	1	1	0	0			1;2;3;4		homeland024|body|homeland024_body_t1	0		2,2,2,0.2	2.000000	2.000000	12			1.000000	item144300000024	item_144300000024	ObjectName97020	1,300000	0,1.5,0		0.000000
97021	7	0	2	2	2	0	0			0	1	1	0	0			1;2;3;4		homeland025|body|homeland025_body_t1	0		2,1,1,1.8	2.000000	2.000000	12			1.000000	item144300000025	item_144300000025	ObjectName97021		0,1.5,0		0.000000
97022	7	0	2	2	6	0	0			0	1	1	0	0			1;2;3;4			0		2,2,2,2.6	2.000000	2.000000	12	4100011		2.500000	item144300000030	item_144300000030	ObjectName97022		0,4.5,0		0.000000
97023	7	0	6	6	6	0	0			0	1	1	0	0			1;2;3;4			0		2,5,5,2	6.000000	6.000000	12	4100025		2.500000	item144300000037	item_144300000037	ObjectName97023		0,4.5,0		0.000000
7001	7	0	1	1	1	0	0			0	18	1	0	0						0		1,0.5,0.25	1.000000	1.000000	0	4100039		0.500000	item144300007001	item_144300007001	ObjectName7001		0,0.75,0.1		0.000000
8001	8	0	0	0	0	0	0			0	1	0	0	0					JY_fangzi_001	0			0.000000	0.000000	0			0.000000	item144300008001	item_144300008001	ObjectName8001				0.000000
8002	8	0	0	0	0	0	0			0	1	0	0	0					JY_house_002_inner	0			0.000000	0.000000	0			0.000000	item144300008002	item_144300008002	ObjectName8002				0.000000
8003	8	0	0	0	0	0	0			0	1	0	0	0					JY_house_003_inner	0			0.000000	0.000000	0			0.000000	item144300008003	item_144300008003	ObjectName8003				0.000000
8004	8	0	0	0	0	0	0			0	1	0	0	0					JY_house_004_inner	0			0.000000	0.000000	0			0.000000	item144300008004	item_144300008004	ObjectName8004				0.000000
9000	9	0	18	18	1	0	0			0	1	0	0	0						0			20.000000	18.000000	0			0.000000							0.000000
9001	9	0	18	18	1	0	0			0	1	0	0	0					JY_zhangpeng_001	0			20.000000	18.000000	0			0.000000	item144300009001	item_144300009001	ObjectName9001				0.000000
9002	9	0	18	18	1	0	0			0	1	0	0	0					JY_house_002	0			20.000000	18.000000	0			0.000000	item144300009002	item_144300009002	ObjectName9002				0.000000
9003	9	0	18	18	1	0	0			0	1	0	0	0					JY_house_003	0			20.000000	18.000000	0			0.000000	item144300009003	item_144300009003	ObjectName9003				0.000000
9004	9	0	18	18	1	0	0			0	1	0	0	0					JY_house_003	0			20.000000	18.000000	0			0.000000	item144300009003	item_144300009003	ObjectName9004				0.000000
10001	10	0	0	0	0	0	0			0	1	0	0	0					JY_weiqiang_001	0			0.000000	0.000000	0			0.000000	item144300010001	item_144300010001	ObjectName10001				0.000000
10002	10	0	0	0	0	0	0			0	1	0	0	0					JY_weiqiang_002	0			0.000000	0.000000	0			0.000000	item144300010002	item_144300010002	ObjectName10002				0.000000
11000	11	0	0	0	0	0	0			0	1	0	0	0						0			0.000000	0.000000	0			0.000000	item144300011000	item_144300011000	ObjectName11000				0.000000
11001	11	0	0	0	0	0	0			0	1	0	0	0					17:0.1,2	0			0.000000	0.000000	0			0.000000	item144300011001	item_144300011001	ObjectName11001				0.000000
11002	11	0	0	0	0	0	0			0	1	0	0	0					19:0.1,2	0			0.000000	0.000000	0			0.000000	item144300011002	item_144300011002	ObjectName11002				0.000000
12001	12	0	0	0	0	0	0			0	1	0	0	0					JY_dimian_001	0			0.000000	0.000000	0			0.000000	item144300012001	item_144300012001	ObjectName12001				0.000000
12002	12	0	0	0	0	0	0			0	1	0	0	0					JY_house_002_inner_floor	0			0.000000	0.000000	0			0.000000	item144300012002	item_144300012002	ObjectName12002				0.000000
12003	12	0	0	0	0	0	0			0	1	0	0	0					JY_house_003_inner_floor	0			0.000000	0.000000	0			0.000000	item144300012003	item_144300012003	ObjectName12003				0.000000
12004	12	0	0	0	0	0	0			0	1	0	0	0					JY_christmas_001_inner_floor	0			0.000000	0.000000	0			0.000000	item144300012004	item_144300012004	ObjectName12004				0.000000
