流水id	使者id	使者等级	人物等级	到当前级属性加成	负重	升下一级所需经验
89	envoy_4001	29	0	301,1500;331,100;4,10	0	380
90	envoy_4001	30	0	301,1500;331,100;4,10	0	390
91	envoy_4001	31	0	301,1500;331,100;4,10	0	400
92	envoy_4001	32	0	301,1500;331,100;4,10	0	410
93	envoy_4001	33	0	301,1500;331,100;4,10	0	420
94	envoy_4001	34	0	301,1500;331,100;4,10	0	430
95	envoy_4001	35	0	301,1500;331,100;4,10	0	440
96	envoy_4001	36	0	301,1500;331,100;4,10	0	450
97	envoy_4001	37	0	301,1500;331,100;4,10	0	460
98	envoy_4001	38	0	301,1500;331,100;4,10	0	470
99	envoy_4001	39	0	301,1500;331,100;4,10	0	480
100	envoy_4001	40	0	301,1500;331,100;4,10	0	490
101	envoy_4001	41	0	301,1500;331,100;4,10	0	500
102	envoy_4001	42	0	301,1500;331,100;4,10	0	510
103	envoy_4001	43	0	301,1500;331,100;4,10	0	520
104	envoy_4001	44	0	301,1500;331,100;4,10	0	530
105	envoy_4001	45	0	301,1500;331,100;4,10	0	540
106	envoy_4001	46	0	301,1500;331,100;4,10	0	550
107	envoy_4001	47	0	301,1500;331,100;4,10	0	560
108	envoy_4001	48	0	301,1500;331,100;4,10	0	570
109	envoy_4001	49	0	301,1500;331,100;4,10	0	580
110	envoy_4001	50	0	301,1500;331,100;4,10	0	590
111	envoy_4001	51	0	301,1500;331,100;4,10	0	600
112	envoy_4001	52	0	301,1500;331,100;4,10	0	610
113	envoy_4001	53	0	301,1500;331,100;4,10	0	620
114	envoy_4001	54	0	301,1500;331,100;4,10	0	630
115	envoy_4001	55	0	301,1500;331,100;4,10	0	640
116	envoy_4001	56	0	301,1500;331,100;4,10	0	650
117	envoy_4001	57	0	301,1500;331,100;4,10	0	660
118	envoy_4001	58	0	301,1500;331,100;4,10	0	670
119	envoy_4001	59	0	301,1500;331,100;4,10	0	680
120	envoy_4001	60	0	301,3000;331,200;4,20	0	690
121	envoy_4001	61	0	301,1500;331,100;4,10	0	720
122	envoy_4001	62	0	301,1500;331,100;4,10	0	740
123	envoy_4001	63	0	301,1500;331,100;4,10	0	760
124	envoy_4001	64	0	301,1500;331,100;4,10	0	780
125	envoy_4001	65	0	301,1500;331,100;4,10	0	800
126	envoy_4001	66	0	301,1500;331,100;4,10	0	820
127	envoy_4001	67	0	301,1500;331,100;4,10	0	840
128	envoy_4001	68	0	301,1500;331,100;4,10	0	860
129	envoy_4001	69	0	301,1500;331,100;4,10	0	880
130	envoy_4001	70	0	301,1500;331,100;4,10	0	900
131	envoy_4001	71	0	301,1500;331,100;4,10	0	920
132	envoy_4001	72	0	301,1500;331,100;4,10	0	940
133	envoy_4001	73	0	301,1500;331,100;4,10	0	960
134	envoy_4001	74	0	301,1500;331,100;4,10	0	980
135	envoy_4001	75	0	301,1500;331,100;4,10	0	1000
136	envoy_4001	76	0	301,1500;331,100;4,10	0	1020
137	envoy_4001	77	0	301,1500;331,100;4,10	0	1040
138	envoy_4001	78	0	301,1500;331,100;4,10	0	1060
139	envoy_4001	79	0	301,1500;331,100;4,10	0	1080
140	envoy_4001	80	0	301,1500;331,100;4,10	0	0
141	envoy_4002	1	0		0	100
142	envoy_4002	2	0	301,1500;331,100;4,10	0	110
143	envoy_4002	3	0	301,1500;331,100;4,10	0	120
144	envoy_4002	4	0	301,1500;331,100;4,10	0	130
145	envoy_4002	5	0	301,1500;331,100;4,10	0	140
146	envoy_4002	6	0	301,1500;331,100;4,10	0	150
147	envoy_4002	7	0	301,1500;331,100;4,10	0	160
148	envoy_4002	8	0	301,1500;331,100;4,10	0	170
149	envoy_4002	9	0	301,1500;331,100;4,10	0	180
150	envoy_4002	10	0	301,1500;331,100;4,10	0	190
151	envoy_4002	11	0	301,1500;331,100;4,10	0	200
152	envoy_4002	12	0	301,1500;331,100;4,10	0	210
153	envoy_4002	13	0	301,1500;331,100;4,10	0	220
154	envoy_4002	14	0	301,1500;331,100;4,10	0	230
155	envoy_4002	15	0	301,1500;331,100;4,10	0	240
156	envoy_4002	16	0	301,1500;331,100;4,10	0	250
157	envoy_4002	17	0	301,1500;331,100;4,10	0	260
158	envoy_4002	18	0	301,1500;331,100;4,10	0	270
159	envoy_4002	19	0	301,1500;331,100;4,10	0	280
160	envoy_4002	20	0	301,1500;331,100;4,10	0	290
161	envoy_4002	21	0	301,1500;331,100;4,10	0	300
162	envoy_4002	22	0	301,1500;331,100;4,10	0	310
163	envoy_4002	23	0	301,1500;331,100;4,10	0	320
164	envoy_4002	24	0	301,1500;331,100;4,10	0	330
165	envoy_4002	25	0	301,1500;331,100;4,10	0	340
166	envoy_4002	26	0	301,1500;331,100;4,10	0	350
167	envoy_4002	27	0	301,1500;331,100;4,10	0	360
168	envoy_4002	28	0	301,1500;331,100;4,10	0	370
169	envoy_4002	29	0	301,1500;331,100;4,10	0	380
170	envoy_4002	30	0	301,1500;331,100;4,10	0	390
171	envoy_4002	31	0	301,1500;331,100;4,10	0	400
172	envoy_4002	32	0	301,1500;331,100;4,10	0	410
173	envoy_4002	33	0	301,1500;331,100;4,10	0	420
174	envoy_4002	34	0	301,1500;331,100;4,10	0	430
175	envoy_4002	35	0	301,1500;331,100;4,10	0	440
176	envoy_4002	36	0	301,1500;331,100;4,10	0	450
177	envoy_4002	37	0	301,1500;331,100;4,10	0	460
178	envoy_4002	38	0	301,1500;331,100;4,10	0	470
179	envoy_4002	39	0	301,1500;331,100;4,10	0	480
180	envoy_4002	40	0	301,1500;331,100;4,10	0	490
181	envoy_4002	41	0	301,1500;331,100;4,10	0	500
182	envoy_4002	42	0	301,1500;331,100;4,10	0	510
183	envoy_4002	43	0	301,1500;331,100;4,10	0	520
184	envoy_4002	44	0	301,1500;331,100;4,10	0	530
185	envoy_4002	45	0	301,1500;331,100;4,10	0	540
186	envoy_4002	46	0	301,1500;331,100;4,10	0	550
187	envoy_4002	47	0	301,1500;331,100;4,10	0	560
188	envoy_4002	48	0	301,1500;331,100;4,10	0	570
189	envoy_4002	49	0	301,1500;331,100;4,10	0	580
190	envoy_4002	50	0	301,1500;331,100;4,10	0	590
191	envoy_4002	51	0	301,1500;331,100;4,10	0	600
192	envoy_4002	52	0	301,1500;331,100;4,10	0	610
193	envoy_4002	53	0	301,1500;331,100;4,10	0	620
194	envoy_4002	54	0	301,1500;331,100;4,10	0	630
195	envoy_4002	55	0	301,1500;331,100;4,10	0	640
196	envoy_4002	56	0	301,1500;331,100;4,10	0	650
197	envoy_4002	57	0	301,1500;331,100;4,10	0	660
198	envoy_4002	58	0	301,1500;331,100;4,10	0	670
199	envoy_4002	59	0	301,1500;331,100;4,10	0	680
200	envoy_4002	60	0	301,3000;331,200;4,20	0	690
201	envoy_4002	61	0	301,1500;331,100;4,10	0	720
202	envoy_4002	62	0	301,1500;331,100;4,10	0	740
203	envoy_4002	63	0	301,1500;331,100;4,10	0	760
204	envoy_4002	64	0	301,1500;331,100;4,10	0	780
205	envoy_4002	65	0	301,1500;331,100;4,10	0	800
206	envoy_4002	66	0	301,1500;331,100;4,10	0	820
207	envoy_4002	67	0	301,1500;331,100;4,10	0	840
208	envoy_4002	68	0	301,1500;331,100;4,10	0	860
209	envoy_4002	69	0	301,1500;331,100;4,10	0	880
210	envoy_4002	70	0	301,1500;331,100;4,10	0	900
211	envoy_4002	71	0	301,1500;331,100;4,10	0	920
212	envoy_4002	72	0	301,1500;331,100;4,10	0	940
213	envoy_4002	73	0	301,1500;331,100;4,10	0	960
214	envoy_4002	74	0	301,1500;331,100;4,10	0	980
215	envoy_4002	75	0	301,1500;331,100;4,10	0	1000
216	envoy_4002	76	0	301,1500;331,100;4,10	0	1020
217	envoy_4002	77	0	301,1500;331,100;4,10	0	1040
218	envoy_4002	78	0	301,1500;331,100;4,10	0	1060
219	envoy_4002	79	0	301,1500;331,100;4,10	0	1080
220	envoy_4002	80	0	301,1500;331,100;4,10	0	0
221	envoy_4003	1	0		0	100
222	envoy_4003	2	0	301,1500;331,100;4,10	0	110
223	envoy_4003	3	0	301,1500;331,100;4,10	0	120
224	envoy_4003	4	0	301,1500;331,100;4,10	0	130
225	envoy_4003	5	0	301,1500;331,100;4,10	0	140
226	envoy_4003	6	0	301,1500;331,100;4,10	0	150
227	envoy_4003	7	0	301,1500;331,100;4,10	0	160
228	envoy_4003	8	0	301,1500;331,100;4,10	0	170
229	envoy_4003	9	0	301,1500;331,100;4,10	0	180
230	envoy_4003	10	0	301,1500;331,100;4,10	0	190
231	envoy_4003	11	0	301,1500;331,100;4,10	0	200
232	envoy_4003	12	0	301,1500;331,100;4,10	0	210
233	envoy_4003	13	0	301,1500;331,100;4,10	0	220
234	envoy_4003	14	0	301,1500;331,100;4,10	0	230
235	envoy_4003	15	0	301,1500;331,100;4,10	0	240
236	envoy_4003	16	0	301,1500;331,100;4,10	0	250
237	envoy_4003	17	0	301,1500;331,100;4,10	0	260
238	envoy_4003	18	0	301,1500;331,100;4,10	0	270
239	envoy_4003	19	0	301,1500;331,100;4,10	0	280
240	envoy_4003	20	0	301,1500;331,100;4,10	0	290
241	envoy_4003	21	0	301,1500;331,100;4,10	0	300
242	envoy_4003	22	0	301,1500;331,100;4,10	0	310
243	envoy_4003	23	0	301,1500;331,100;4,10	0	320
244	envoy_4003	24	0	301,1500;331,100;4,10	0	330
245	envoy_4003	25	0	301,1500;331,100;4,10	0	340
246	envoy_4003	26	0	301,1500;331,100;4,10	0	350
247	envoy_4003	27	0	301,1500;331,100;4,10	0	360
248	envoy_4003	28	0	301,1500;331,100;4,10	0	370
249	envoy_4003	29	0	301,1500;331,100;4,10	0	380
250	envoy_4003	30	0	301,1500;331,100;4,10	0	390
251	envoy_4003	31	0	301,1500;331,100;4,10	0	400
252	envoy_4003	32	0	301,1500;331,100;4,10	0	410
253	envoy_4003	33	0	301,1500;331,100;4,10	0	420
254	envoy_4003	34	0	301,1500;331,100;4,10	0	430
255	envoy_4003	35	0	301,1500;331,100;4,10	0	440
256	envoy_4003	36	0	301,1500;331,100;4,10	0	450
257	envoy_4003	37	0	301,1500;331,100;4,10	0	460
258	envoy_4003	38	0	301,1500;331,100;4,10	0	470
259	envoy_4003	39	0	301,1500;331,100;4,10	0	480
260	envoy_4003	40	0	301,1500;331,100;4,10	0	490
261	envoy_4003	41	0	301,1500;331,100;4,10	0	500
262	envoy_4003	42	0	301,1500;331,100;4,10	0	510
263	envoy_4003	43	0	301,1500;331,100;4,10	0	520
264	envoy_4003	44	0	301,1500;331,100;4,10	0	530
265	envoy_4003	45	0	301,1500;331,100;4,10	0	540
266	envoy_4003	46	0	301,1500;331,100;4,10	0	550
267	envoy_4003	47	0	301,1500;331,100;4,10	0	560
268	envoy_4003	48	0	301,1500;331,100;4,10	0	570
269	envoy_4003	49	0	301,1500;331,100;4,10	0	580
270	envoy_4003	50	0	301,1500;331,100;4,10	0	590
271	envoy_4003	51	0	301,1500;331,100;4,10	0	600
272	envoy_4003	52	0	301,1500;331,100;4,10	0	610
273	envoy_4003	53	0	301,1500;331,100;4,10	0	620
274	envoy_4003	54	0	301,1500;331,100;4,10	0	630
275	envoy_4003	55	0	301,1500;331,100;4,10	0	640
276	envoy_4003	56	0	301,1500;331,100;4,10	0	650
277	envoy_4003	57	0	301,1500;331,100;4,10	0	660
278	envoy_4003	58	0	301,1500;331,100;4,10	0	670
279	envoy_4003	59	0	301,1500;331,100;4,10	0	680
280	envoy_4003	60	0	301,3000;331,200;4,20	0	690
281	envoy_4003	61	0	301,1500;331,100;4,10	0	720
282	envoy_4003	62	0	301,1500;331,100;4,10	0	740
283	envoy_4003	63	0	301,1500;331,100;4,10	0	760
284	envoy_4003	64	0	301,1500;331,100;4,10	0	780
285	envoy_4003	65	0	301,1500;331,100;4,10	0	800
286	envoy_4003	66	0	301,1500;331,100;4,10	0	820
287	envoy_4003	67	0	301,1500;331,100;4,10	0	840
288	envoy_4003	68	0	301,1500;331,100;4,10	0	860
289	envoy_4003	69	0	301,1500;331,100;4,10	0	880
290	envoy_4003	70	0	301,1500;331,100;4,10	0	900
291	envoy_4003	71	0	301,1500;331,100;4,10	0	920
292	envoy_4003	72	0	301,1500;331,100;4,10	0	940
293	envoy_4003	73	0	301,1500;331,100;4,10	0	960
294	envoy_4003	74	0	301,1500;331,100;4,10	0	980
295	envoy_4003	75	0	301,1500;331,100;4,10	0	1000
296	envoy_4003	76	0	301,1500;331,100;4,10	0	1020
297	envoy_4003	77	0	301,1500;331,100;4,10	0	1040
298	envoy_4003	78	0	301,1500;331,100;4,10	0	1060
299	envoy_4003	79	0	301,1500;331,100;4,10	0	1080
300	envoy_4003	80	0	301,1500;331,100;4,10	0	0
301	envoy_5001	1	0		0	100
302	envoy_5001	2	0	301,1500;331,100;4,10	0	110
303	envoy_5001	3	0	301,1500;331,100;4,10	0	120
304	envoy_5001	4	0	301,1500;331,100;4,10	0	130
305	envoy_5001	5	0	301,1500;331,100;4,10	0	140
306	envoy_5001	6	0	301,1500;331,100;4,10	0	150
307	envoy_5001	7	0	301,1500;331,100;4,10	0	160
308	envoy_5001	8	0	301,1500;331,100;4,10	0	170
309	envoy_5001	9	0	301,1500;331,100;4,10	0	180
310	envoy_5001	10	0	301,1500;331,100;4,10	0	190
311	envoy_5001	11	0	301,1500;331,100;4,10	0	200
312	envoy_5001	12	0	301,1500;331,100;4,10	0	210
313	envoy_5001	13	0	301,1500;331,100;4,10	0	220
314	envoy_5001	14	0	301,1500;331,100;4,10	0	230
315	envoy_5001	15	0	301,1500;331,100;4,10	0	240
316	envoy_5001	16	0	301,1500;331,100;4,10	0	250
317	envoy_5001	17	0	301,1500;331,100;4,10	0	260
318	envoy_5001	18	0	301,1500;331,100;4,10	0	270
319	envoy_5001	19	0	301,1500;331,100;4,10	0	280
320	envoy_5001	20	0	301,1500;331,100;4,10	0	290
321	envoy_5001	21	0	301,1500;331,100;4,10	0	300
322	envoy_5001	22	0	301,1500;331,100;4,10	0	310
323	envoy_5001	23	0	301,1500;331,100;4,10	0	320
324	envoy_5001	24	0	301,1500;331,100;4,10	0	330
325	envoy_5001	25	0	301,1500;331,100;4,10	0	340
326	envoy_5001	26	0	301,1500;331,100;4,10	0	350
327	envoy_5001	27	0	301,1500;331,100;4,10	0	360
328	envoy_5001	28	0	301,1500;331,100;4,10	0	370
329	envoy_5001	29	0	301,1500;331,100;4,10	0	380
330	envoy_5001	30	0	301,1500;331,100;4,10	0	390
331	envoy_5001	31	0	301,1500;331,100;4,10	0	400
332	envoy_5001	32	0	301,1500;331,100;4,10	0	410
333	envoy_5001	33	0	301,1500;331,100;4,10	0	420
334	envoy_5001	34	0	301,1500;331,100;4,10	0	430
335	envoy_5001	35	0	301,1500;331,100;4,10	0	440
336	envoy_5001	36	0	301,1500;331,100;4,10	0	450
337	envoy_5001	37	0	301,1500;331,100;4,10	0	460
338	envoy_5001	38	0	301,1500;331,100;4,10	0	470
339	envoy_5001	39	0	301,1500;331,100;4,10	0	480
340	envoy_5001	40	0	301,1500;331,100;4,10	0	490
341	envoy_5001	41	0	301,1500;331,100;4,10	0	500
342	envoy_5001	42	0	301,1500;331,100;4,10	0	510
343	envoy_5001	43	0	301,1500;331,100;4,10	0	520
344	envoy_5001	44	0	301,1500;331,100;4,10	0	530
345	envoy_5001	45	0	301,1500;331,100;4,10	0	540
346	envoy_5001	46	0	301,1500;331,100;4,10	0	550
347	envoy_5001	47	0	301,1500;331,100;4,10	0	560
348	envoy_5001	48	0	301,1500;331,100;4,10	0	570
349	envoy_5001	49	0	301,1500;331,100;4,10	0	580
350	envoy_5001	50	0	301,1500;331,100;4,10	0	590
351	envoy_5001	51	0	301,1500;331,100;4,10	0	600
352	envoy_5001	52	0	301,1500;331,100;4,10	0	610
353	envoy_5001	53	0	301,1500;331,100;4,10	0	620
354	envoy_5001	54	0	301,1500;331,100;4,10	0	630
355	envoy_5001	55	0	301,1500;331,100;4,10	0	640
356	envoy_5001	56	0	301,1500;331,100;4,10	0	650
357	envoy_5001	57	0	301,1500;331,100;4,10	0	660
358	envoy_5001	58	0	301,1500;331,100;4,10	0	670
359	envoy_5001	59	0	301,1500;331,100;4,10	0	680
360	envoy_5001	60	0	301,3000;331,200;4,20	0	690
361	envoy_5001	61	0	301,1500;331,100;4,10	0	720
362	envoy_5001	62	0	301,1500;331,100;4,10	0	740
363	envoy_5001	63	0	301,1500;331,100;4,10	0	760
364	envoy_5001	64	0	301,1500;331,100;4,10	0	780
365	envoy_5001	65	0	301,1500;331,100;4,10	0	800
366	envoy_5001	66	0	301,1500;331,100;4,10	0	820
367	envoy_5001	67	0	301,1500;331,100;4,10	0	840
368	envoy_5001	68	0	301,1500;331,100;4,10	0	860
369	envoy_5001	69	0	301,1500;331,100;4,10	0	880
370	envoy_5001	70	0	301,1500;331,100;4,10	0	900
371	envoy_5001	71	0	301,1500;331,100;4,10	0	920
372	envoy_5001	72	0	301,1500;331,100;4,10	0	940
373	envoy_5001	73	0	301,1500;331,100;4,10	0	960
374	envoy_5001	74	0	301,1500;331,100;4,10	0	980
375	envoy_5001	75	0	301,1500;331,100;4,10	0	1000
376	envoy_5001	76	0	301,1500;331,100;4,10	0	1020
377	envoy_5001	77	0	301,1500;331,100;4,10	0	1040
378	envoy_5001	78	0	301,1500;331,100;4,10	0	1060
379	envoy_5001	79	0	301,1500;331,100;4,10	0	1080
380	envoy_5001	80	0	301,1500;331,100;4,10	0	1130
381	envoy_5001	81	0	301,1500;331,100;4,10	0	1160
382	envoy_5001	82	0	301,1500;331,100;4,10	0	1190
383	envoy_5001	83	0	301,1500;331,100;4,10	0	1220
384	envoy_5001	84	0	301,1500;331,100;4,10	0	1250
385	envoy_5001	85	0	301,1500;331,100;4,10	0	1280
386	envoy_5001	86	0	301,1500;331,100;4,10	0	1310
387	envoy_5001	87	0	301,1500;331,100;4,10	0	1340
388	envoy_5001	88	0	301,1500;331,100;4,10	0	1370
389	envoy_5001	89	0	301,1500;331,100;4,10	0	1400
390	envoy_5001	90	0	301,1500;331,100;4,10	0	1430
391	envoy_5001	91	0	301,1500;331,100;4,10	0	1460
392	envoy_5001	92	0	301,1500;331,100;4,10	0	1490
393	envoy_5001	93	0	301,1500;331,100;4,10	0	1520
394	envoy_5001	94	0	301,1500;331,100;4,10	0	1550
395	envoy_5001	95	0	301,1500;331,100;4,10	0	1580
396	envoy_5001	96	0	301,1500;331,100;4,10	0	1610
397	envoy_5001	97	0	301,1500;331,100;4,10	0	1640
398	envoy_5001	98	0	301,1500;331,100;4,10	0	1670
399	envoy_5001	99	0	301,1500;331,100;4,10	0	1700
400	envoy_5001	100	0	301,1500;331,100;4,10	0	1740
401	envoy_5001	101	0	301,1500;331,100;4,10	0	1780
402	envoy_5001	102	0	301,1500;331,100;4,10	0	1820
403	envoy_5001	103	0	301,1500;331,100;4,10	0	1860
404	envoy_5001	104	0	301,1500;331,100;4,10	0	1900
405	envoy_5001	105	0	301,1500;331,100;4,10	0	1940
406	envoy_5001	106	0	301,1500;331,100;4,10	0	1980
407	envoy_5001	107	0	301,1500;331,100;4,10	0	2020
408	envoy_5001	108	0	301,1500;331,100;4,10	0	2060
409	envoy_5001	109	0	301,1500;331,100;4,10	0	2100
410	envoy_5001	110	0	301,1500;331,100;4,10	0	2140
411	envoy_5001	111	0	301,1500;331,100;4,10	0	2180
412	envoy_5001	112	0	301,1500;331,100;4,10	0	2220
413	envoy_5001	113	0	301,1500;331,100;4,10	0	2260
414	envoy_5001	114	0	301,1500;331,100;4,10	0	2300
415	envoy_5001	115	0	301,1500;331,100;4,10	0	2340
416	envoy_5001	116	0	301,1500;331,100;4,10	0	2380
417	envoy_5001	117	0	301,1500;331,100;4,10	0	2420
418	envoy_5001	118	0	301,1500;331,100;4,10	0	2460
419	envoy_5001	119	0	301,1500;331,100;4,10	0	2500
420	envoy_5001	120	0	301,1500;331,100;4,10	0	2550
421	envoy_5001	121	0	301,1500;331,100;4,10	0	2600
422	envoy_5001	122	0	301,1500;331,100;4,10	0	2650
423	envoy_5001	123	0	301,1500;331,100;4,10	0	2700
424	envoy_5001	124	0	301,1500;331,100;4,10	0	2750
425	envoy_5001	125	0	301,1500;331,100;4,10	0	2800
426	envoy_5001	126	0	301,1500;331,100;4,10	0	2850
427	envoy_5001	127	0	301,1500;331,100;4,10	0	2900
428	envoy_5001	128	0	301,1500;331,100;4,10	0	2950
429	envoy_5001	129	0	301,1500;331,100;4,10	0	3000
430	envoy_5001	130	0	301,1500;331,100;4,10	0	3050
431	envoy_5001	131	0	301,1500;331,100;4,10	0	3100
432	envoy_5001	132	0	301,1500;331,100;4,10	0	3150
433	envoy_5001	133	0	301,1500;331,100;4,10	0	3200
434	envoy_5001	134	0	301,1500;331,100;4,10	0	3250
435	envoy_5001	135	0	301,1500;331,100;4,10	0	3300
436	envoy_5001	136	0	301,1500;331,100;4,10	0	3350
437	envoy_5001	137	0	301,1500;331,100;4,10	0	3400
438	envoy_5001	138	0	301,1500;331,100;4,10	0	3450
439	envoy_5001	139	0	301,1500;331,100;4,10	0	3500
440	envoy_5001	140	0	301,1500;331,100;4,10	0	3560
441	envoy_5001	141	0	301,1500;331,100;4,10	0	3620
442	envoy_5001	142	0	301,1500;331,100;4,10	0	3680
443	envoy_5001	143	0	301,1500;331,100;4,10	0	3740
444	envoy_5001	144	0	301,1500;331,100;4,10	0	3800
445	envoy_5001	145	0	301,1500;331,100;4,10	0	3860
446	envoy_5001	146	0	301,1500;331,100;4,10	0	3920
447	envoy_5001	147	0	301,1500;331,100;4,10	0	3980
448	envoy_5001	148	0	301,1500;331,100;4,10	0	4040
449	envoy_5001	149	0	301,1500;331,100;4,10	0	4100
450	envoy_5001	150	0	301,1500;331,100;4,10	0	4160
451	envoy_5001	151	0	301,1500;331,100;4,10	0	4220
452	envoy_5001	152	0	301,1500;331,100;4,10	0	4280
453	envoy_5001	153	0	301,1500;331,100;4,10	0	4340
454	envoy_5001	154	0	301,1500;331,100;4,10	0	4400
455	envoy_5001	155	0	301,1500;331,100;4,10	0	4460
456	envoy_5001	156	0	301,1500;331,100;4,10	0	4520
457	envoy_5001	157	0	301,1500;331,100;4,10	0	4580
458	envoy_5001	158	0	301,1500;331,100;4,10	0	4640
459	envoy_5001	159	0	301,1500;331,100;4,10	0	4700
460	envoy_5001	160	0	301,1500;331,100;4,10	0	0
461	envoy_5002	1	0		0	100
