流水	主任务ID	子任务序号	任务状态	任务目标	是否显示箭头特效	是否显示手指特效	指引优先级	触发范围
62	11100180	3	3	49.0,4.1,50.1	1	1	62	5.500000
63	11100190	0	3	48.0, 4.0, 59.1	1	1	63	5.500000
64	11100200	0	3	50.0,4.1,58.9	1	1	64	5.500000
65	11100200	1	4	40.6,4.3,48.3	1	1	65	5.500000
66	11100200	2	3	-61.5,0.6,-71.4	1	1	66	5.500000
67	10100177	0	1	-61.9,0.8,-65.2	1	1	67	5.500000
68	10100150	0	3	-37.3,1.2,-40.9	1	1	68	5.500000
69	10100150	1	4	-32.7,1.2,-36.3	1	1	69	5.500000
70	10100150	2	3	-8.0, 0.1, -10.9	1	1	70	5.500000
71	10100150	3	3	-12.0,0.2,-15.1	1	1	71	5.500000
72	10100160	0	3	-12.0,0.2,-15.1	1	1	72	5.500000
73	10100170	0	1	-9.9,0.1,-12.9	1	1	73	5.500000
74	10100180	0	1	61.0,13.3,57.3	1	1	74	5.500000
75	10100180	1	4	98.3,9.7,23.5	1	1	75	5.500000
76	10100180	2	4	27.2, 4.7, 29.7	1	1	76	5.500000
77	10100180	3	4	32.8, 4.7, 22.9	1	1	77	5.500000
78	10100200	0	1	12.9, 0.0, -11.9	1	1	78	5.500000
79	10100230	0	4	-9.9,0.1,-12.9	1	1	79	5.500000
80	10100240	1	4	27.2, 4.7, 29.7	1	1	80	5.500000
81	10100220	0	4	-65.1, -0.8, -80.7	1	1	81	5.500000
82	10100220	2	3	25.2,4.7,21.6	1	1	82	5.500000
83	10100220	3	4	-65.9, -0.8, -76.2	1	1	83	5.500000
84	10200010	0	1	-68.8,0.2,4.3	1	1	84	5.500000
85	10200010	1	3	-44.2, 0.2, 5.6	1	1	85	5.500000
86	10200010	2	3	-32.3,0.2,4.3	1	1	86	5.500000
87	10200260	0	3	-27.2,0.2,-11.5	1	1	87	5.500000
88	10200020	0	1	-22.9, 0.2, -10.5	1	1	88	5.500000
89	10200020	1	3	-18.3,0.2,-2.6	1	1	89	5.500000
90	10200030	0	1	-20.2, 0.2, 2.9	1	1	90	5.500000
91	10200030	1	3	-17.8,0.2,25.5	1	1	91	5.500000
92	10200030	2	4	-21.0, 0.8, 31.4	1	1	92	5.500000
93	10200035	0	1	-21.0, 0.8, 31.4	1	1	93	5.500000
94	10200035	1	3	-19.3,0.5,30.0	1	1	94	5.500000
95	10200038	0	4	-21.0, 0.8, 31.4	1	1	95	5.500000
96	10200040	0	1	-27.2, 0.2, 21.7	1	1	96	5.500000
97	10200050	0	1	4.6, 0.2,-13.8	1	1	97	5.500000
98	10200050	1	3	-23.5,0.2,-32.0	1	1	98	5.500000
99	10200050	2	4	-33.2,0.2,-35.8	1	1	99	5.500000
100	10200050	3	3	-29.7,0.2,-36.3	1	1	100	5.500000
101	10200060	0	1	-33.2,0.2,-35.8	1	1	101	5.500000
102	10200060	1	3	15.0,0.2,-2.8	1	1	102	5.500000
103	10200060	2	3	47.6,0.1,6.3	1	1	103	5.500000
104	10200070	0	1	-33.2,0.2,-35.8	1	1	104	5.500000
105	10200070	1	3	-31.7,0.2,-35.5	1	1	105	5.500000
106	10200240	0	3	9.5,2.6,-35.7	1	1	106	5.500000
107	10200240	1	4	15.6, 2.8, -42.4	1	1	107	5.500000
108	10200080	0	3	15.6,2.8,-42.4	1	1	108	5.500000
109	10200080	2	4	13.0, 2.8, -45.7	1	1	109	5.500000
110	10200085	0	3	11.6, 2.8, -44.6	1	1	110	5.500000
111	10200085	1	4	20.0, 2.8, -45.3	1	1	111	5.500000
112	10200088	0	3	12.0,0.2,-13.2	1	1	112	5.500000
113	10200090	0	1	14.6,2.8,-48.3	1	1	113	5.500000
114	10200090	1	3	3.4, 2.7, 57.6	1	1	114	5.500000
115	10200100	0	4	-33.2,0.2,-35.8	1	1	115	5.500000
116	10200210	0	3		0	1	116	5.500000
117	10200120	0	4	-21.0, 0.8, 31.4	1	1	117	5.500000
118	10300230	0	1	71.8,5.5,0.6	1	1	118	5.500000
119	10300230	1	3	71.6,5.5,7.3	1	1	119	5.500000
120	10300010	0	1	74.0,5.5,14.2	1	1	120	5.500000
121	10300010	1	3	52.0,6.3,28.6	1	1	121	5.500000
122	10300010	2	4	44.4, 6.9, 37.3	1	1	122	5.500000
123	10300020	0	4	6.0,8.6,54.7	1	1	123	5.500000
124	10300210	0	1	44.4, 6.9,37.3	1	1	124	5.500000
125	10300210	1	3	58.7,5.5,21.3	1	1	125	5.500000
126	10300210	4	4	44.4,6.9,37.3	1	1	126	5.500000
127	10300220	0	1	30.9, 6.8, 35.1	1	1	127	5.500000
128	10300220	1	3	65.3,5.5,0.1	1	1	128	5.500000
129	10300220	2	3	65.3,5.5,0.1	1	1	129	5.500000
130	10300220	3	4	82.2,5.5,-5.6	1	1	130	5.500000
131	10300430	0	4	33.1,6.8,36.0	1	1	131	5.500000
132	10300450	0	4	82.2,5.5,-5.6	1	1	132	5.500000
133	10300450	1	4	82.2,5.5,-5.6	1	1	133	5.500000
134	10300260	0	1	36.8,6.9,36.8	1	1	134	5.500000
135	10300260	1	4	48.5,6.9,34.3	1	1	135	5.500000
136	10300260	2	4	36.8,6.9,36.8	1	1	136	5.500000
