流水	队长职业	队长动作集	队长动作ID	队员职业	队员动作集	队员动作ID	骨骼	各职业队员偏移	基本偏移	基本欧拉角
21	hero102	36	1	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
22	hero102	36	1	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
23	hero102	36	1	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
24	hero102	36	1	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
25	hero102	36	8	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
26	hero102	36	8	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
27	hero102	36	8	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
28	hero102	36	8	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
29	hero102	36	8	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
30	hero102	36	8	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
31	hero102	36	8	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
32	hero102	36	8	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
33	hero103	36	1	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
34	hero103	36	1	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
35	hero103	36	1	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
36	hero103	36	1	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
37	hero103	36	1	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
38	hero103	36	1	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
39	hero103	36	1	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
40	hero103	36	1	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
41	hero103	36	8	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
42	hero103	36	8	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
43	hero103	36	8	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
44	hero103	36	8	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
45	hero103	36	8	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
46	hero103	36	8	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
47	hero103	36	8	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
48	hero103	36	8	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
49	hero107	36	1	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
50	hero107	36	1	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
51	hero107	36	1	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
52	hero107	36	1	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
53	hero107	36	1	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
54	hero107	36	1	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
55	hero107	36	1	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
56	hero107	36	1	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
57	hero107	36	8	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
58	hero107	36	8	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
59	hero107	36	8	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
60	hero107	36	8	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
61	hero107	36	8	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
62	hero107	36	8	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
63	hero107	36	8	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
64	hero107	36	8	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
65	hero104	36	1	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
66	hero104	36	1	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
67	hero104	36	1	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
68	hero104	36	1	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
69	hero104	36	1	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
70	hero104	36	1	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
71	hero104	36	1	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
72	hero104	36	1	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
73	hero104	36	8	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
74	hero104	36	8	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
75	hero104	36	8	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
76	hero104	36	8	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
77	hero104	36	8	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
78	hero104	36	8	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
79	hero104	36	8	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
80	hero104	36	8	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
81	hero108	36	1	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
82	hero108	36	1	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
83	hero108	36	1	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
84	hero108	36	1	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
85	hero108	36	1	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
86	hero108	36	1	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
87	hero108	36	1	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
88	hero108	36	1	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
89	hero108	36	8	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
90	hero108	36	8	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
91	hero108	36	8	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
92	hero108	36	8	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
93	hero108	36	8	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
94	hero108	36	8	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
95	hero108	36	8	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
96	hero108	36	8	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
97	hero105	36	1	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
98	hero105	36	1	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
99	hero105	36	1	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
100	hero105	36	1	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
101	hero105	36	1	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
102	hero105	36	1	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
103	hero105	36	1	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
104	hero105	36	1	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
105	hero105	36	8	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
106	hero105	36	8	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
107	hero105	36	8	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
108	hero105	36	8	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
109	hero105	36	8	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
110	hero105	36	8	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
111	hero105	36	8	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
112	hero105	36	8	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
113	hero106	36	1	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
114	hero106	36	1	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
115	hero106	36	1	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
116	hero106	36	1	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
117	hero106	36	1	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
118	hero106	36	1	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
119	hero106	36	1	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
120	hero106	36	1	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
121	hero106	36	8	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
122	hero106	36	8	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
123	hero106	36	8	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
124	hero106	36	8	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
125	hero106	36	8	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
126	hero106	36	8	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
127	hero106	36	8	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
128	hero106	36	8	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
