流水	技能类型	等级	升级消耗银币	升级消耗数值	升级消耗贡献	升级消耗数值	等级限制
100	2	18	1	33000	4	45	41
101	2	19	1	35000	4	50	41
102	2	20	1	37000	4	55	51
103	2	21	1	39000	4	60	51
104	2	22	1	41000	4	65	51
105	2	23	1	43000	4	70	51
106	2	24	1	45000	4	75	51
107	2	25	1	47000	4	80	51
108	2	26	1	49000	4	85	51
109	2	27	1	51000	4	90	51
110	2	28	1	53000	4	95	51
111	2	29	1	55000	4	100	51
112	2	30	1	57000	4	110	61
113	2	31	1	59000	4	120	61
114	2	32	1	61000	4	130	61
115	2	33	1	63000	4	140	61
116	2	34	1	65000	4	150	61
117	2	35	1	67000	4	160	61
118	2	36	1	69000	4	170	61
119	2	37	1	71000	4	180	61
120	2	38	1	73000	4	190	61
121	2	39	1	75000	4	200	61
122	2	40	1	77000	4	210	71
123	2	41	1	79000	4	220	71
124	2	42	1	81000	4	230	71
125	2	43	1	83000	4	240	71
126	2	44	1	85000	4	250	71
127	2	45	1	87000	4	260	71
128	2	46	1	89000	4	270	71
129	2	47	1	91000	4	280	71
130	2	48	1	93000	4	290	71
131	2	49	1	95000	4	300	71
132	2	50	1	97000	4	310	81
133	2	51	1	99000	4	320	81
134	2	52	1	101000	4	330	81
135	2	53	1	103000	4	340	81
136	2	54	1	105000	4	350	81
137	2	55	1	107000	4	360	81
138	2	56	1	109000	4	370	81
139	2	57	1	111000	4	380	81
140	2	58	1	113000	4	390	81
141	2	59	1	115000	4	400	81
142	2	60	1	117000	4	410	91
143	2	61	1	119000	4	420	91
144	2	62	1	121000	4	430	91
145	2	63	1	123000	4	440	91
146	2	64	1	125000	4	450	91
147	2	65	1	127000	4	460	91
148	2	66	1	129000	4	470	91
149	2	67	1	131000	4	480	91
150	2	68	1	133000	4	490	91
151	2	69	1	135000	4	500	91
152	2	70	1	137000	4	510	101
153	2	71	1	139000	4	520	101
154	2	72	1	141000	4	530	101
155	2	73	1	143000	4	540	101
156	2	74	1	145000	4	550	101
157	2	75	1	147000	4	560	101
158	2	76	1	149000	4	570	101
159	2	77	1	151000	4	580	101
160	2	78	1	153000	4	590	101
161	2	79	1	155000	4	600	101
162	2	80	1	-1	4	-1	101
163	7	0	1	5000	4	0	31
164	7	1	1	6000	4	0	31
165	7	2	1	7000	4	0	31
166	7	3	1	8000	4	0	31
167	7	4	1	9000	4	0	31
168	7	5	1	10000	4	0	31
169	7	6	1	11000	4	0	31
170	7	7	1	12000	4	0	31
171	7	8	1	13000	4	0	31
172	7	9	1	15000	4	0	31
173	7	10	1	17000	4	5	41
174	7	11	1	19000	4	10	41
175	7	12	1	21000	4	15	41
176	7	13	1	23000	4	20	41
177	7	14	1	25000	4	25	41
178	7	15	1	27000	4	30	41
179	7	16	1	29000	4	35	41
180	7	17	1	31000	4	40	41
181	7	18	1	33000	4	45	41
182	7	19	1	35000	4	50	41
183	7	20	1	37000	4	55	51
184	7	21	1	39000	4	60	51
185	7	22	1	41000	4	65	51
186	7	23	1	43000	4	70	51
187	7	24	1	45000	4	75	51
188	7	25	1	47000	4	80	51
189	7	26	1	49000	4	85	51
190	7	27	1	51000	4	90	51
191	7	28	1	53000	4	95	51
192	7	29	1	55000	4	100	51
193	7	30	1	57000	4	110	61
194	7	31	1	59000	4	120	61
195	7	32	1	61000	4	130	61
196	7	33	1	63000	4	140	61
197	7	34	1	65000	4	150	61
198	7	35	1	67000	4	160	61
199	7	36	1	69000	4	170	61
200	7	37	1	71000	4	180	61
201	7	38	1	73000	4	190	61
202	7	39	1	75000	4	200	61
203	7	40	1	77000	4	210	71
204	7	41	1	79000	4	220	71
205	7	42	1	81000	4	230	71
206	7	43	1	83000	4	240	71
207	7	44	1	85000	4	250	71
208	7	45	1	87000	4	260	71
209	7	46	1	89000	4	270	71
210	7	47	1	91000	4	280	71
211	7	48	1	93000	4	290	71
212	7	49	1	95000	4	300	71
213	7	50	1	97000	4	310	81
214	7	51	1	99000	4	320	81
215	7	52	1	101000	4	330	81
216	7	53	1	103000	4	340	81
217	7	54	1	105000	4	350	81
218	7	55	1	107000	4	360	81
219	7	56	1	109000	4	370	81
220	7	57	1	111000	4	380	81
221	7	58	1	113000	4	390	81
222	7	59	1	115000	4	400	81
223	7	60	1	117000	4	410	91
224	7	61	1	119000	4	420	91
225	7	62	1	121000	4	430	91
226	7	63	1	123000	4	440	91
227	7	64	1	125000	4	450	91
228	7	65	1	127000	4	460	91
229	7	66	1	129000	4	470	91
230	7	67	1	131000	4	480	91
231	7	68	1	133000	4	490	91
232	7	69	1	135000	4	500	91
233	7	70	1	137000	4	510	101
234	7	71	1	139000	4	520	101
235	7	72	1	141000	4	530	101
236	7	73	1	143000	4	540	101
237	7	74	1	145000	4	550	101
238	7	75	1	147000	4	560	101
239	7	76	1	149000	4	570	101
240	7	77	1	151000	4	580	101
241	7	78	1	153000	4	590	101
242	7	79	1	155000	4	600	101
243	7	80	1	-1	4	-1	101
244	8	0	1	5000	4	0	31
245	8	1	1	6000	4	0	31
246	8	2	1	7000	4	0	31
247	8	3	1	8000	4	0	31
248	8	4	1	9000	4	0	31
249	8	5	1	10000	4	0	31
250	8	6	1	11000	4	0	31
251	8	7	1	12000	4	0	31
252	8	8	1	13000	4	0	31
253	8	9	1	15000	4	0	31
254	8	10	1	17000	4	5	41
255	8	11	1	19000	4	10	41
256	8	12	1	21000	4	15	41
257	8	13	1	23000	4	20	41
258	8	14	1	25000	4	25	41
259	8	15	1	27000	4	30	41
260	8	16	1	29000	4	35	41
261	8	17	1	31000	4	40	41
262	8	18	1	33000	4	45	41
263	8	19	1	35000	4	50	41
264	8	20	1	37000	4	55	51
265	8	21	1	39000	4	60	51
266	8	22	1	41000	4	65	51
267	8	23	1	43000	4	70	51
268	8	24	1	45000	4	75	51
269	8	25	1	47000	4	80	51
270	8	26	1	49000	4	85	51
271	8	27	1	51000	4	90	51
272	8	28	1	53000	4	95	51
273	8	29	1	55000	4	100	51
274	8	30	1	57000	4	110	61
275	8	31	1	59000	4	120	61
276	8	32	1	61000	4	130	61
277	8	33	1	63000	4	140	61
278	8	34	1	65000	4	150	61
279	8	35	1	67000	4	160	61
280	8	36	1	69000	4	170	61
281	8	37	1	71000	4	180	61
282	8	38	1	73000	4	190	61
283	8	39	1	75000	4	200	61
284	8	40	1	77000	4	210	71
285	8	41	1	79000	4	220	71
286	8	42	1	81000	4	230	71
287	8	43	1	83000	4	240	71
288	8	44	1	85000	4	250	71
289	8	45	1	87000	4	260	71
290	8	46	1	89000	4	270	71
291	8	47	1	91000	4	280	71
292	8	48	1	93000	4	290	71
293	8	49	1	95000	4	300	71
294	8	50	1	97000	4	310	81
295	8	51	1	99000	4	320	81
296	8	52	1	101000	4	330	81
297	8	53	1	103000	4	340	81
298	8	54	1	105000	4	350	81
299	8	55	1	107000	4	360	81
300	8	56	1	109000	4	370	81
301	8	57	1	111000	4	380	81
302	8	58	1	113000	4	390	81
303	8	59	1	115000	4	400	81
304	8	60	1	117000	4	410	91
305	8	61	1	119000	4	420	91
306	8	62	1	121000	4	430	91
307	8	63	1	123000	4	440	91
308	8	64	1	125000	4	450	91
309	8	65	1	127000	4	460	91
310	8	66	1	129000	4	470	91
311	8	67	1	131000	4	480	91
312	8	68	1	133000	4	490	91
313	8	69	1	135000	4	500	91
314	8	70	1	137000	4	510	101
315	8	71	1	139000	4	520	101
316	8	72	1	141000	4	530	101
317	8	73	1	143000	4	540	101
318	8	74	1	145000	4	550	101
319	8	75	1	147000	4	560	101
320	8	76	1	149000	4	570	101
321	8	77	1	151000	4	580	101
322	8	78	1	153000	4	590	101
323	8	79	1	155000	4	600	101
324	8	80	1	-1	4	-1	101
