符文槽id	专精组ID	页数	符文镶嵌需要的专精组等级	前置天赋id	前置天赋等级	坐标	连线类型	符文槽类型	指定镶嵌类型	指定参数	获取途径
102210	1022	4	175	1022026	1	6,0	0	1	1	1	121;1503;1708
102211	1022	4	175	1022804	1	6,2	0	2	1	2	121;1503;1709
102212	1022	4	175	1022027	1	6,4	0	3	1	3	121;1503;1710
102213	1022	5	245	1022036	1	6,0	0	1	1	1	121;1503;1708
102214	1022	5	245	1022037	1	6,2	0	2	1	2	121;1503;1709
102215	1022	5	245	1022038	1	6,4	0	3	1	3	121;1503;1710
102216	1022	6	315	10226501	1	6,0	0	1	1	1	121;1503;1708
102217	1022	6	315	10226502	1	6,2	0	2	1	2	121;1503;1709
102218	1022	6	315	10226503	1	6,4	0	3	1	3	121;1503;1710
102219	1022	7	385	10227501	1	6,0	0	1	1	1	121;1503;1708
102220	1022	7	385	10227502	1	6,2	0	2	1	2	121;1503;1709
102221	1022	7	385	10227503	1	6,4	0	3	1	3	121;1503;1710
103101	1031	1	15	1031002	1	6,0	0	1	1	1	121;1503;1708
103102	1031	1	15	1031005	1	6,2	0	2	1	2	121;1503;1709
103103	1031	1	15	1031010	1	6,4	0	3	1	3	121;1503;1710
103104	1031	2	45	1031003	1	6,0	0	1	1	1	121;1503;1708
103105	1031	2	45	1031802	1	6,2	0	2	1	2	121;1503;1709
103106	1031	2	45	1031006	1	6,4	0	3	1	3	121;1503;1710
103107	1031	3	95	1031020	1	6,0	0	1	1	1	121;1503;1708
103108	1031	3	95	1031803	1	6,2	0	2	1	2	121;1503;1709
103109	1031	3	95	1031021	1	6,4	0	3	1	3	121;1503;1710
103110	1031	4	175	1031026	1	6,0	0	1	1	1	121;1503;1708
103111	1031	4	175	1031804	1	6,2	0	2	1	2	121;1503;1709
103112	1031	4	175	1031027	1	6,4	0	3	1	3	121;1503;1710
103113	1031	5	245	1031036	1	6,0	0	1	1	1	121;1503;1708
103114	1031	5	245	1031037	1	6,2	0	2	1	2	121;1503;1709
103115	1031	5	245	1031038	1	6,4	0	3	1	3	121;1503;1710
103116	1031	6	315	10316501	1	6,0	0	1	1	1	121;1503;1708
103117	1031	6	315	10316502	1	6,2	0	2	1	2	121;1503;1709
103118	1031	6	315	10316503	1	6,4	0	3	1	3	121;1503;1710
103119	1031	7	385	10317501	1	6,0	0	1	1	1	121;1503;1708
103120	1031	7	385	10317502	1	6,2	0	2	1	2	121;1503;1709
103121	1031	7	385	10317503	1	6,4	0	3	1	3	121;1503;1710
103201	1032	1	15	1032002	1	6,0	0	1	1	1	121;1503;1708
103202	1032	1	15	1032005	1	6,2	0	2	1	2	121;1503;1709
103203	1032	1	15	1032010	1	6,4	0	3	1	3	121;1503;1710
103204	1032	2	45	1032003	1	6,0	0	1	1	1	121;1503;1708
103205	1032	2	45	1032802	1	6,2	0	2	1	2	121;1503;1709
103206	1032	2	45	1032006	1	6,4	0	3	1	3	121;1503;1710
103207	1032	3	95	1032020	1	6,0	0	1	1	1	121;1503;1708
103208	1032	3	95	1032803	1	6,2	0	2	1	2	121;1503;1709
103209	1032	3	95	1032021	1	6,4	0	3	1	3	121;1503;1710
103210	1032	4	175	1032026	1	6,0	0	1	1	1	121;1503;1708
103211	1032	4	175	1032804	1	6,2	0	2	1	2	121;1503;1709
103212	1032	4	175	1032027	1	6,4	0	3	1	3	121;1503;1710
103213	1032	5	245	1032036	1	6,0	0	1	1	1	121;1503;1708
103214	1032	5	245	1032037	1	6,2	0	2	1	2	121;1503;1709
103215	1032	5	245	1032038	1	6,4	0	3	1	3	121;1503;1710
103216	1032	6	315	10326501	1	6,0	0	1	1	1	121;1503;1708
103217	1032	6	315	10326502	1	6,2	0	2	1	2	121;1503;1709
103218	1032	6	315	10326503	1	6,4	0	3	1	3	121;1503;1710
103219	1032	7	385	10327501	1	6,0	0	1	1	1	121;1503;1708
103220	1032	7	385	10327502	1	6,2	0	2	1	2	121;1503;1709
103221	1032	7	385	10327503	1	6,4	0	3	1	3	121;1503;1710
104101	1041	1	15	1041002	1	6,0	0	1	1	1	121;1503;1708
104102	1041	1	15	1041005	1	6,2	0	2	1	2	121;1503;1709
104103	1041	1	15	1041010	1	6,4	0	3	1	3	121;1503;1710
104104	1041	2	45	1041003	1	6,0	0	1	1	1	121;1503;1708
104105	1041	2	45	1041802	1	6,2	0	2	1	2	121;1503;1709
104106	1041	2	45	1041006	1	6,4	0	3	1	3	121;1503;1710
104107	1041	3	95	1041020	1	6,0	0	1	1	1	121;1503;1708
104108	1041	3	95	1041803	1	6,2	0	2	1	2	121;1503;1709
104109	1041	3	95	1041021	1	6,4	0	3	1	3	121;1503;1710
104110	1041	4	175	1041026	1	6,0	0	1	1	1	121;1503;1708
104111	1041	4	175	1041804	1	6,2	0	2	1	2	121;1503;1709
104112	1041	4	175	1041027	1	6,4	0	3	1	3	121;1503;1710
104113	1041	5	245	1041036	1	6,0	0	1	1	1	121;1503;1708
104114	1041	5	245	1041037	1	6,2	0	2	1	2	121;1503;1709
104115	1041	5	245	1041038	1	6,4	0	3	1	3	121;1503;1710
104116	1041	6	315	10416501	1	6,0	0	1	1	1	121;1503;1708
104117	1041	6	315	10416502	1	6,2	0	2	1	2	121;1503;1709
104118	1041	6	315	10416503	1	6,4	0	3	1	3	121;1503;1710
104119	1041	7	385	10417501	1	6,0	0	1	1	1	121;1503;1708
104120	1041	7	385	10417502	1	6,2	0	2	1	2	121;1503;1709
104121	1041	7	385	10417503	1	6,4	0	3	1	3	121;1503;1710
104201	1042	1	15	1042002	1	6,0	0	1	1	1	121;1503;1708
104202	1042	1	15	1042005	1	6,2	0	2	1	2	121;1503;1709
104203	1042	1	15	1042010	1	6,4	0	3	1	3	121;1503;1710
104204	1042	2	45	1042003	1	6,0	0	1	1	1	121;1503;1708
104205	1042	2	45	1042802	1	6,2	0	2	1	2	121;1503;1709
104206	1042	2	45	1042006	1	6,4	0	3	1	3	121;1503;1710
104207	1042	3	95	1042020	1	6,0	0	1	1	1	121;1503;1708
104208	1042	3	95	1042803	1	6,2	0	2	1	2	121;1503;1709
104209	1042	3	95	1042021	1	6,4	0	3	1	3	121;1503;1710
104210	1042	4	175	1042026	1	6,0	0	1	1	1	121;1503;1708
104211	1042	4	175	1042804	1	6,2	0	2	1	2	121;1503;1709
104212	1042	4	175	1042027	1	6,4	0	3	1	3	121;1503;1710
104213	1042	5	245	1042036	1	6,0	0	1	1	1	121;1503;1708
104214	1042	5	245	1042037	1	6,2	0	2	1	2	121;1503;1709
104215	1042	5	245	1042038	1	6,4	0	3	1	3	121;1503;1710
104216	1042	6	315	10426501	1	6,0	0	1	1	1	121;1503;1708
104217	1042	6	315	10426502	1	6,2	0	2	1	2	121;1503;1709
104218	1042	6	315	10426503	1	6,4	0	3	1	3	121;1503;1710
104219	1042	7	385	10427501	1	6,0	0	1	1	1	121;1503;1708
104220	1042	7	385	10427502	1	6,2	0	2	1	2	121;1503;1709
104221	1042	7	385	10427503	1	6,4	0	3	1	3	121;1503;1710
105101	1051	1	15	1051002	1	6,0	0	1	1	1	121;1503;1708
105102	1051	1	15	1051005	1	6,2	0	2	1	2	121;1503;1709
105103	1051	1	15	1051010	1	6,4	0	3	1	3	121;1503;1710
105104	1051	2	45	1051003	1	6,0	0	1	1	1	121;1503;1708
105105	1051	2	45	1051802	1	6,2	0	2	1	2	121;1503;1709
105106	1051	2	45	1051006	1	6,4	0	3	1	3	121;1503;1710
105107	1051	3	95	1051020	1	6,0	0	1	1	1	121;1503;1708
105108	1051	3	95	1051803	1	6,2	0	2	1	2	121;1503;1709
105109	1051	3	95	1051021	1	6,4	0	3	1	3	121;1503;1710
105110	1051	4	175	1051026	1	6,0	0	1	1	1	121;1503;1708
105111	1051	4	175	1051804	1	6,2	0	2	1	2	121;1503;1709
105112	1051	4	175	1051027	1	6,4	0	3	1	3	121;1503;1710
105113	1051	5	245	1051036	1	6,0	0	1	1	1	121;1503;1708
105114	1051	5	245	1051037	1	6,2	0	2	1	2	121;1503;1709
105115	1051	5	245	1051038	1	6,4	0	3	1	3	121;1503;1710
105116	1051	6	315	10516501	1	6,0	0	1	1	1	121;1503;1708
105117	1051	6	315	10516502	1	6,2	0	2	1	2	121;1503;1709
105118	1051	6	315	10516503	1	6,4	0	3	1	3	121;1503;1710
105119	1051	7	385	10517501	1	6,0	0	1	1	1	121;1503;1708
105120	1051	7	385	10517502	1	6,2	0	2	1	2	121;1503;1709
105121	1051	7	385	10517503	1	6,4	0	3	1	3	121;1503;1710
105201	1052	1	15	1052002	1	6,0	0	1	1	1	121;1503;1708
105202	1052	1	15	1052005	1	6,2	0	2	1	2	121;1503;1709
105203	1052	1	15	1052010	1	6,4	0	3	1	3	121;1503;1710
105204	1052	2	45	1052003	1	6,0	0	1	1	1	121;1503;1708
105205	1052	2	45	1052802	1	6,2	0	2	1	2	121;1503;1709
105206	1052	2	45	1052006	1	6,4	0	3	1	3	121;1503;1710
105207	1052	3	95	1052020	1	6,0	0	1	1	1	121;1503;1708
105208	1052	3	95	1052803	1	6,2	0	2	1	2	121;1503;1709
105209	1052	3	95	1052021	1	6,4	0	3	1	3	121;1503;1710
105210	1052	4	175	1052026	1	6,0	0	1	1	1	121;1503;1708
105211	1052	4	175	1052804	1	6,2	0	2	1	2	121;1503;1709
105212	1052	4	175	1052027	1	6,4	0	3	1	3	121;1503;1710
105213	1052	5	245	1052036	1	6,0	0	1	1	1	121;1503;1708
105214	1052	5	245	1052037	1	6,2	0	2	1	2	121;1503;1709
105215	1052	5	245	1052038	1	6,4	0	3	1	3	121;1503;1710
105216	1052	6	315	10526501	1	6,0	0	1	1	1	121;1503;1708
105217	1052	6	315	10526502	1	6,2	0	2	1	2	121;1503;1709
105218	1052	6	315	10526503	1	6,4	0	3	1	3	121;1503;1710
105219	1052	7	385	10527501	1	6,0	0	1	1	1	121;1503;1708
105220	1052	7	385	10527502	1	6,2	0	2	1	2	121;1503;1709
105221	1052	7	385	10527503	1	6,4	0	3	1	3	121;1503;1710
106101	1061	1	15	1061002	1	6,0	0	1	1	1	121;1503;1708
106102	1061	1	15	1061005	1	6,2	0	2	1	2	121;1503;1709
106103	1061	1	15	1061010	1	6,4	0	3	1	3	121;1503;1710
106104	1061	2	45	1061003	1	6,0	0	1	1	1	121;1503;1708
106105	1061	2	45	1061802	1	6,2	0	2	1	2	121;1503;1709
106106	1061	2	45	1061006	1	6,4	0	3	1	3	121;1503;1710
106107	1061	3	95	1061020	1	6,0	0	1	1	1	121;1503;1708
106108	1061	3	95	1061803	1	6,2	0	2	1	2	121;1503;1709
106109	1061	3	95	1061021	1	6,4	0	3	1	3	121;1503;1710
106110	1061	4	175	1061026	1	6,0	0	1	1	1	121;1503;1708
106111	1061	4	175	1061804	1	6,2	0	2	1	2	121;1503;1709
106112	1061	4	175	1061027	1	6,4	0	3	1	3	121;1503;1710
106113	1061	5	245	1061036	1	6,0	0	1	1	1	121;1503;1708
106114	1061	5	245	1061037	1	6,2	0	2	1	2	121;1503;1709
106115	1061	5	245	1061038	1	6,4	0	3	1	3	121;1503;1710
106116	1061	6	315	10616501	1	6,0	0	1	1	1	121;1503;1708
106117	1061	6	315	10616502	1	6,2	0	2	1	2	121;1503;1709
106118	1061	6	315	10616503	1	6,4	0	3	1	3	121;1503;1710
106119	1061	7	385	10617501	1	6,0	0	1	1	1	121;1503;1708
106120	1061	7	385	10617502	1	6,2	0	2	1	2	121;1503;1709
106121	1061	7	385	10617503	1	6,4	0	3	1	3	121;1503;1710
106201	1062	1	15	1062002	1	6,0	0	1	1	1	121;1503;1708
106202	1062	1	15	1062005	1	6,2	0	2	1	2	121;1503;1709
106203	1062	1	15	1062010	1	6,4	0	3	1	3	121;1503;1710
106204	1062	2	45	1062003	1	6,0	0	1	1	1	121;1503;1708
106205	1062	2	45	1062802	1	6,2	0	2	1	2	121;1503;1709
106206	1062	2	45	1062006	1	6,4	0	3	1	3	121;1503;1710
106207	1062	3	95	1062020	1	6,0	0	1	1	1	121;1503;1708
106208	1062	3	95	1062803	1	6,2	0	2	1	2	121;1503;1709
106209	1062	3	95	1062021	1	6,4	0	3	1	3	121;1503;1710
106210	1062	4	175	1062026	1	6,0	0	1	1	1	121;1503;1708
106211	1062	4	175	1062804	1	6,2	0	2	1	2	121;1503;1709
106212	1062	4	175	1062027	1	6,4	0	3	1	3	121;1503;1710
106213	1062	5	245	1062036	1	6,0	0	1	1	1	121;1503;1708
106214	1062	5	245	1062037	1	6,2	0	2	1	2	121;1503;1709
106215	1062	5	245	1062038	1	6,4	0	3	1	3	121;1503;1710
106216	1062	6	315	10626501	1	6,0	0	1	1	1	121;1503;1708
106217	1062	6	315	10626502	1	6,2	0	2	1	2	121;1503;1709
106218	1062	6	315	10626503	1	6,4	0	3	1	3	121;1503;1710
106219	1062	7	385	10627501	1	6,0	0	1	1	1	121;1503;1708
106220	1062	7	385	10627502	1	6,2	0	2	1	2	121;1503;1709
106221	1062	7	385	10627503	1	6,4	0	3	1	3	121;1503;1710
