漫步星数	漫步阶数	等级限制	道具消耗	属性增加
151	19	50	item100500000001,24	35,20
152	19	50	item100500000001,72	52,12
153	20	50	item100500000001,26	1,160
154	20	50	item100500000001,26	4,16
155	20	50	item100500000001,26	3,16
156	20	50	item100500000001,26	30,20
157	20	50	item100500000001,26	31,20
158	20	50	item100500000001,26	33,20
159	20	50	item100500000001,26	35,20
160	20	50	item100500000001,78	52,12
161	21	55	item100500000001,28	1,200
162	21	55	item100500000001,28	4,20
163	21	55	item100500000001,28	3,20
164	21	55	item100500000001,28	30,20
165	21	55	item100500000001,28	31,20
166	21	55	item100500000001,28	33,20
167	21	55	item100500000001,28	35,20
168	21	55	item100500000001,84	52,12
169	22	55	item100500000001,30	1,200
170	22	55	item100500000001,30	4,20
171	22	55	item100500000001,30	3,20
172	22	55	item100500000001,30	30,20
173	22	55	item100500000001,30	31,20
174	22	55	item100500000001,30	33,20
175	22	55	item100500000001,30	35,20
176	22	55	item100500000001,90	52,12
177	23	55	item100500000001,32	1,200
178	23	55	item100500000001,32	4,20
179	23	55	item100500000001,32	3,20
180	23	55	item100500000001,32	30,20
181	23	55	item100500000001,32	31,20
182	23	55	item100500000001,32	33,20
183	23	55	item100500000001,32	35,20
184	23	55	item100500000001,96	52,12
185	24	55	item100500000001,34	1,200
186	24	55	item100500000001,34	4,20
187	24	55	item100500000001,34	3,20
188	24	55	item100500000001,34	30,20
189	24	55	item100500000001,34	31,20
190	24	55	item100500000001,34	33,20
191	24	55	item100500000001,34	35,20
192	24	55	item100500000001,102	52,12
193	25	55	item100500000001,36	1,200
194	25	55	item100500000001,36	4,20
195	25	55	item100500000001,36	3,20
196	25	55	item100500000001,36	30,20
197	25	55	item100500000001,36	31,20
198	25	55	item100500000001,36	33,20
199	25	55	item100500000001,36	35,20
200	25	55	item100500000001,108	52,12
201	26	60	item100500000001,38	1,300
202	26	60	item100500000001,38	4,30
203	26	60	item100500000001,38	3,30
204	26	60	item100500000001,38	30,20
205	26	60	item100500000001,38	31,20
206	26	60	item100500000001,38	33,20
207	26	60	item100500000001,38	35,20
208	26	60	item100500000001,114	52,12
209	27	60	item100500000001,40	1,300
210	27	60	item100500000001,40	4,30
211	27	60	item100500000001,40	3,30
212	27	60	item100500000001,40	30,20
213	27	60	item100500000001,40	31,20
214	27	60	item100500000001,40	33,20
215	27	60	item100500000001,40	35,20
216	27	60	item100500000001,120	52,12
217	28	60	item100500000001,50	1,300
218	28	60	item100500000001,50	4,30
219	28	60	item100500000001,50	3,30
220	28	60	item100500000001,50	30,20
221	28	60	item100500000001,50	31,20
222	28	60	item100500000001,50	33,20
223	28	60	item100500000001,50	35,20
224	28	60	item100500000001,150	52,12
225	29	60	item100500000001,60	1,300
226	29	60	item100500000001,60	4,30
227	29	60	item100500000001,60	3,30
228	29	60	item100500000001,60	30,20
229	29	60	item100500000001,60	31,20
230	29	60	item100500000001,60	33,20
231	29	60	item100500000001,60	35,20
232	29	60	item100500000001,180	52,12
233	30	60	item100500000001,70	1,300
234	30	60	item100500000001,70	4,30
235	30	60	item100500000001,70	3,30
236	30	60	item100500000001,70	30,20
237	30	60	item100500000001,70	31,20
238	30	60	item100500000001,70	33,20
239	30	60	item100500000001,70	35,20
240	30	60	item100500000001,210	52,12
241	31	65	item100500000001,70	1,400
242	31	65	item100500000001,70	4,40
243	31	65	item100500000001,70	3,40
244	31	65	item100500000001,70	30,20
245	31	65	item100500000001,70	31,20
246	31	65	item100500000001,70	33,20
247	31	65	item100500000001,70	35,20
248	31	65	item100500000001,210	52,12
249	32	65	item100500000001,70	1,400
250	32	65	item100500000001,70	4,40
251	32	65	item100500000001,70	3,40
252	32	65	item100500000001,70	30,20
253	32	65	item100500000001,70	31,20
254	32	65	item100500000001,70	33,20
255	32	65	item100500000001,70	35,20
256	32	65	item100500000001,210	52,12
257	33	65	item100500000001,80	1,400
258	33	65	item100500000001,80	4,40
259	33	65	item100500000001,80	3,40
260	33	65	item100500000001,80	30,20
261	33	65	item100500000001,80	31,20
262	33	65	item100500000001,80	33,20
263	33	65	item100500000001,80	35,20
264	33	65	item100500000001,240	52,12
265	34	65	item100500000001,80	1,400
266	34	65	item100500000001,80	4,40
267	34	65	item100500000001,80	3,40
268	34	65	item100500000001,80	30,20
269	34	65	item100500000001,80	31,20
270	34	65	item100500000001,80	33,20
271	34	65	item100500000001,80	35,20
272	34	65	item100500000001,240	52,12
273	35	65	item100500000001,90	1,400
274	35	65	item100500000001,90	4,40
275	35	65	item100500000001,90	3,40
276	35	65	item100500000001,90	30,20
277	35	65	item100500000001,90	31,20
278	35	65	item100500000001,90	33,20
279	35	65	item100500000001,90	35,20
280	35	65	item100500000001,270	52,12
281	36	70	item100500000001,90	1,500
282	36	70	item100500000001,90	4,50
283	36	70	item100500000001,90	3,50
284	36	70	item100500000001,90	30,20
285	36	70	item100500000001,90	31,20
286	36	70	item100500000001,90	33,20
287	36	70	item100500000001,90	35,20
288	36	70	item100500000001,270	52,12
289	37	70	item100500000001,100	1,500
290	37	70	item100500000001,100	4,50
291	37	70	item100500000001,100	3,50
292	37	70	item100500000001,100	30,20
293	37	70	item100500000001,100	31,20
294	37	70	item100500000001,100	33,20
295	37	70	item100500000001,100	35,20
296	37	70	item100500000001,300	52,12
297	38	70	item100500000001,100	1,500
298	38	70	item100500000001,100	4,50
299	38	70	item100500000001,100	3,50
300	38	70	item100500000001,100	30,20
301	38	70	item100500000001,100	31,20
302	38	70	item100500000001,100	33,20
303	38	70	item100500000001,100	35,20
304	38	70	item100500000001,300	52,12
305	39	70	item100500000001,120	1,500
306	39	70	item100500000001,120	4,50
307	39	70	item100500000001,120	3,50
308	39	70	item100500000001,120	30,20
309	39	70	item100500000001,120	31,20
310	39	70	item100500000001,120	33,20
311	39	70	item100500000001,120	35,20
312	39	70	item100500000001,360	52,12
313	40	70	item100500000001,120	1,500
314	40	70	item100500000001,120	4,50
315	40	70	item100500000001,120	3,50
316	40	70	item100500000001,120	30,20
317	40	70	item100500000001,120	31,20
318	40	70	item100500000001,120	33,20
319	40	70	item100500000001,120	35,20
320	40	70	item100500000001,360	52,12
321	41	65	item100500000001,150	1,600
322	41	65	item100500000001,150	4,60
323	41	65	item100500000001,150	3,60
324	41	65	item100500000001,150	30,20
325	41	65	item100500000001,150	31,20
326	41	65	item100500000001,150	33,20
327	41	65	item100500000001,150	35,20
328	41	65	item100500000001,450	52,12
329	42	65	item100500000001,150	1,600
330	42	65	item100500000001,150	4,60
331	42	65	item100500000001,150	3,60
332	42	65	item100500000001,150	30,20
333	42	65	item100500000001,150	31,20
334	42	65	item100500000001,150	33,20
335	42	65	item100500000001,150	35,20
336	42	65	item100500000001,450	52,12
337	43	65	item100500000001,180	1,600
338	43	65	item100500000001,180	4,60
339	43	65	item100500000001,180	3,60
340	43	65	item100500000001,180	30,20
341	43	65	item100500000001,180	31,20
342	43	65	item100500000001,180	33,20
343	43	65	item100500000001,180	35,20
344	43	65	item100500000001,540	52,12
345	44	65	item100500000001,180	1,600
346	44	65	item100500000001,180	4,60
347	44	65	item100500000001,180	3,60
348	44	65	item100500000001,180	30,20
349	44	65	item100500000001,180	31,20
350	44	65	item100500000001,180	33,20
351	44	65	item100500000001,180	35,20
352	44	65	item100500000001,540	52,12
353	45	65	item100500000001,210	1,600
354	45	65	item100500000001,210	4,60
355	45	65	item100500000001,210	3,60
356	45	65	item100500000001,210	30,20
357	45	65	item100500000001,210	31,20
358	45	65	item100500000001,210	33,20
359	45	65	item100500000001,210	35,20
360	45	65	item100500000001,630	52,12
361	46	70	item100500000001,210	1,700
362	46	70	item100500000001,210	4,70
363	46	70	item100500000001,210	3,70
364	46	70	item100500000001,210	30,20
365	46	70	item100500000001,210	31,20
366	46	70	item100500000001,210	33,20
367	46	70	item100500000001,210	35,20
368	46	70	item100500000001,630	52,12
369	47	70	item100500000001,240	1,700
370	47	70	item100500000001,240	4,70
371	47	70	item100500000001,240	3,70
372	47	70	item100500000001,240	30,20
373	47	70	item100500000001,240	31,20
374	47	70	item100500000001,240	33,20
375	47	70	item100500000001,240	35,20
376	47	70	item100500000001,720	52,12
377	48	70	item100500000001,240	1,700
378	48	70	item100500000001,240	4,70
379	48	70	item100500000001,240	3,70
380	48	70	item100500000001,240	30,20
381	48	70	item100500000001,240	31,20
382	48	70	item100500000001,240	33,20
383	48	70	item100500000001,240	35,20
384	48	70	item100500000001,720	52,12
385	49	70	item100500000001,300	1,700
386	49	70	item100500000001,300	4,70
387	49	70	item100500000001,300	3,70
388	49	70	item100500000001,300	30,20
389	49	70	item100500000001,300	31,20
390	49	70	item100500000001,300	33,20
391	49	70	item100500000001,300	35,20
392	49	70	item100500000001,900	52,12
393	50	70	item100500000001,300	1,700
394	50	70	item100500000001,300	4,70
395	50	70	item100500000001,300	3,70
396	50	70	item100500000001,300	30,20
397	50	70	item100500000001,300	31,20
398	50	70	item100500000001,300	33,20
399	50	70	item100500000001,300	35,20
400	50	70	item100500000001,900	52,12
