场景ID	地图名字位置	地图按钮资源	地图按钮资源位置	地图子界面详细资源	地图界面特效	地图子界面详细资源长宽	地图子界面图片位置偏移	地图底图	地图按钮上面任务图标位置	详情地图比例尺	详情地图左右偏移	详情地图上下偏移	当前图标所在位置	地图区域的名字位置	地图区域的名字
9	20,20	bg_world2_area3	-678,13,454,440	bg_world2_area3_map1	0	1024,1024		bgmap	113,327;146,291;211,327;199,285;306,285;260,199;287,189;300,164;358,127;331,88;305,50	4.2,4.5	-50	30	212,284	230,-96;105,-276;-113,-262;-254,23;-120,90;-32,255;210,220;25,-120	MapRegionArea8_1;MapRegionArea8_2;MapRegionArea8_3;MapRegionArea8_4;MapRegionArea8_5;MapRegionArea8_6;MapRegionArea8_7;MapRegionArea8_8
71				bg_world1_area1_map1	0	1024,1024		bgmap		2.85,2.85	-5	-20	200,169	-144,183;-180,-275;245,195;130,13	MapRegionArea1_1;MapRegionArea1_2;MapRegionArea1_3;MapRegionArea1_4
171				bg_world1_area2_map1	0	1024,1024		bgmap		3.8,3.8	-12	-7	181,232	-32,255;-186,10;-20,20;275,30;133,-232	MapRegionArea2_1;MapRegionArea2_2;MapRegionArea2_3;MapRegionArea2_4;MapRegionArea2_5
271				bg_world1_area3_map1	0	1024,1024		bgmap		2.9,2.9	16	-14	281,296	190,280;184,53;48,-116;-80,-125;-267,-135	MapRegionArea3_1;MapRegionArea3_2;MapRegionArea3_3;MapRegionArea3_4;MapRegionArea3_5
1211				bg_guildleague_crystalfield	0	1024,1024		bgmap		3.52,3.52	-1	-5	200,169	-144,183;-180,-275;245,195;130,13	MapRegionArea1_1;MapRegionArea1_2;MapRegionArea1_3;MapRegionArea1_4
53	-5,-15	bg_world1_area2	4,-282,454,440	bg_world1_area2_map1	0	1024,1024	20,0	bgmap	113,269;145,250;184,234;232,163;222,120;282,124;273,176;331,199;348,229;336,259;264,285;164,302	3.8,3.8	-12	-7	181,232	-32,255;-186,10;-20,20;275,30;133,-232	MapRegionArea2_1;MapRegionArea2_2;MapRegionArea2_3;MapRegionArea2_4;MapRegionArea2_5
54	95,50	bg_world1_area3	-51,-578,454,440	bg_world1_area3_map1	0	1024,1024		bgmap	126,131;170,142;181,112;226,136;282,152;316,172;304,212;348,209;267,323;306,347;338,315;326,239	2.9,2.9	16	-14	281,296	190,280;184,53;48,-116;-80,-125;-267,-135	MapRegionArea3_1;MapRegionArea3_2;MapRegionArea3_3;MapRegionArea3_4;MapRegionArea3_5
55	-5,-5	bg_world1_area4	252,-468,454,440	bg_world1_area4_map1	0	1024,1024	20,0	bgmap	83,236;75,274;102,318;113,280;153,277;123,169;163,115;247,124;301,121;302,162;237,282;391,200	4.15,4.2	40	-10	212,262	232,280;-70,120;-226,50;70,45;265,10;-190,-167;110,-180	MapRegionArea4_1;MapRegionArea4_2;MapRegionArea4_3;MapRegionArea4_4;MapRegionArea4_5;MapRegionArea4_6;MapRegionArea4_7
56	50,-35	bg_world1_area5	-336,-458,454,440	bg_world1_area5_map1	0	1024,1024	-20,-20	bgmap	80,270;84,170;123,189;128,143;218,92;223,149;234,225;240,255;274,268;331,140;351,187;285,140	2.8,2.85	-20	-20	284,216	71,300;-61,124;-51,-63;-70,-180;190,-177	MapRegionArea5_1;MapRegionArea5_2;MapRegionArea5_3;MapRegionArea5_4;MapRegionArea5_5
57	0,-15	bg_world1_area1	-160,-351,454,440	bg_world1_area1_map1	0	1024,1024	20,0	bgmap	113,280;144,263;137,224;195,175;222,149;262,128;337,144;326,215;253,268;190,321;191,240;283,164	2.85,2.85	-5	-20	200,169	-144,183;-180,-275;245,195;130,13	MapRegionArea1_1;MapRegionArea1_2;MapRegionArea1_3;MapRegionArea1_4
23	0,0	bg_world2_area4	-590,-620,194,164	bg_world_across_map	5910004	1024,1024		bgmap	113,327;146,291;211,327;199,285;306,285;260,199;287,189;300,164;358,127;331,88;305,50	3.3,3.3	100	-35	212,284	-146,200;-81,-40;74,-47;-112,-239;270,-112;232,118;74,-158;32,180	MapRegionArea9_1;MapRegionArea9_2;MapRegionArea9_3;MapRegionArea9_4;MapRegionArea9_5;MapRegionArea9_6;MapRegionArea9_7;MapRegionArea9_8
37	0,0	bg_world2_area5	-878,-375,227,222	bg_world2_area5_map1	0	900,900	5,0	bgmap	66,118;55,52;134,53;72,193;128,107;143,100;148,85	3.0,3.0	-12	-40	100,100	14,-77;33,313;-100,43;143,-357;-226,-52;-167,-251;269,0;-133,205	MapRegionArea37_1;MapRegionArea37_2;MapRegionArea37_3;MapRegionArea37_4;MapRegionArea37_5;MapRegionArea37_6;MapRegionArea37_7;MapRegionArea37_8
18	0,0	bg_world2_area6	-483,83,454,440	bg_world2_area4_map1	0	900,900		bgmap	197,259;259,250;210,228;299,170;330,251;227,229;313,125	3.0,3.0	-42	-30	100,100	-136,-79;40,222;227,124;-145,222;-28,-243;143,-68;-79,101	MapRegionArea18_1;MapRegionArea18_2;MapRegionArea18_3;MapRegionArea18_4;MapRegionArea18_5;MapRegionArea18_6;MapRegionArea18_7
