流水ID	段位等级	英雄塔罗类型	相对刷新时间间隔	头像icon	名字	段位描述	英雄描述	出现场景	位面战斗NPC	奖励界面展示模型	奖励界面模型偏移	奖励界面模型缩放	邀请函召唤出后归属时间	服务器刷新等级限制	通关普通奖励展示	通关高级奖励展示	阵列奖励宝箱图标	阵列奖励展示	对应邀请函道具	邀请函内容	任务标题	任务内容
9	5	2	0	soldier904_portrait01	killstarhero005	grading005	killstarherostr005	6	hero_killstar_monster_1501,1	soldier905h|body|soldier905h_body_t1	-0.7,-0.5,0	1.500000	3600	70	item1031,80;item107999900002,1;item107300000002,1;item107200052001,1	item102020060018,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1			item102020060017	itemstr_102020060017	killherostar_title05_1	killherostardes05_1
10	6	1	0	soldier905_portrait01	killstarhero006	grading006	killstarherostr006	7	hero_killstar_monster_1601,1	soldier906h|body|soldier906h_body_t1	-0.3,-0.5,2	1.300000	0	70	item1031,80;item107999900002,1;item107300000002,1;item107200052001,1	item102020060019,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1				itemstr_102020060018	killherostar_title06	killherostardes06
11	6	2	0	soldier905_portrait01	killstarhero006	grading006	killstarherostr006	7	hero_killstar_monster_1601,1	soldier906h|body|soldier906h_body_t1	-0.3,-0.5,2	1.300000	3600	70	item1031,80;item107999900002,1;item107300000002,1;item107200052001,1	item102020060019,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1			item102020060018	itemstr_102020060018	killherostar_title06_1	killherostardes06_1
12	7	1	0	soldier906_portrait01	killstarhero007	grading007	killstarherostr007	5	hero_killstar_monster_1701,1	soldier903h|body|soldier903h_body_t1	-0.3,-0.5,2	1.300000	0	70	item1031,80;item107999900002,1;item107300000002,1;item107200052001,1	item102020060020,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053307,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1				itemstr_102020060019	killherostar_title07	killherostardes07
13	7	2	0	soldier906_portrait01	killstarhero007	grading007	killstarherostr007	5	hero_killstar_monster_1701,1	soldier903h|body|soldier903h_body_t1	-0.3,-0.5,2	1.300000	3600	70	item1031,80;item107999900002,1;item107300000002,1;item107200052001,1	item102020060020,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053307,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1			item102020060019	itemstr_102020060019	killherostar_title07_1	killherostardes07_1
14	8	2	0	icon_chapter_8	killstarhero008	grading008	killstarherostr008	6	hero_killstar_monster_1801,1;hero_killstar_monster_1802,0;hero_killstar_monster_1803,0	soldier905h|body|soldier905h_body_t1	-0.3,-0.5,2	1.300000	3600	70	item1031,80;item107999900002,1;item107300000002,1;item107200052001,1	item102020060021,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053307,1;item107000053107,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1	icon_treasurebox02	item127000053211,1;item1031,1250	item102020060020	itemstr_102020060020	killherostar_title08_1	killherostardes08_1
15	9	2	0	icon_chapter_6	killstarhero009	grading009	killstarherostr009	7	hero_killstar_monster_1901,1;hero_killstar_monster_1902,0;hero_killstar_monster_1903,0;hero_killstar_monster_1904,0;hero_killstar_monster_1905,0;hero_killstar_monster_1906,0	soldier904h|body|soldier904h_body_t1	-0.5,-0.3,0	1.500000	3600	80	item1031,100;item107999900002,1;item107300000002,1;item107200052001,1	item102020060022,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053307,1;item107000053107,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1	icon_treasurebox03	item127000053211,2;item1031,1500	item102020060021	itemstr_102020060021	killherostar_title09_1	killherostardes09_1
16	10	1	0	soldier910_portrait01	killstarhero010	grading010	killstarherostr010	8	hero_killstar_monster_1907,1	soldier910h|body|soldier910h_body_t1|parta|soldier910h_parta_t1|partb|soldier910h_partb_t1|partc|soldier910h_partc_t1|partd|soldier910h_partd_t1	-0.3,-0.5,2	1.300000	0	80	item1031,120;item107999900002,1;item107300000002,1;item107200052001,1	item102020060023,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1				itemstr_102020060022	killherostar_title10	killherostardes10
17	10	2	0	soldier910_portrait01	killstarhero010	grading010	killstarherostr010	8	hero_killstar_monster_1907,1	soldier910h|body|soldier910h_body_t1|parta|soldier910h_parta_t1|partb|soldier910h_partb_t1|partc|soldier910h_partc_t1|partd|soldier910h_partd_t1	-0.3,-0.5,2	1.300000	3600	80	item1031,120;item107999900002,1;item107300000002,1;item107200052001,1	item102020060023,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1			item102020060022	itemstr_102020060022	killherostar_title10_1	killherostardes10_1
18	11	1	0	soldier909_portrait01	killstarhero011	grading011	killstarherostr011	8	hero_killstar_monster_1908,1	soldier909h|body|soldier909h_body_t1	-0.3,-0.5,2	1.300000	0	80	item1031,120;item107999900002,1;item107300000002,1;item107200052001,1	item102020060024,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1				itemstr_102020060023	killherostar_title11	killherostardes11
19	11	2	0	soldier909_portrait01	killstarhero011	grading011	killstarherostr011	8	hero_killstar_monster_1908,1	soldier909h|body|soldier909h_body_t1	-0.3,-0.5,2	1.300000	3600	80	item1031,120;item107999900002,1;item107300000002,1;item107200052001,1	item102020060024,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1			item102020060023	itemstr_102020060023	killherostar_title11_1	killherostardes11_1
20	12	1	0	soldier908_portrait01	killstarhero012	grading012	killstarherostr012	8	hero_killstar_monster_1909,1	soldier908h|body|soldier908h_body_t1	-0.3,-0.5,2	1.300000	0	80	item1031,120;item107999900002,1;item107300000002,1;item107200052001,1	item102020060025,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1				itemstr_102020060024	killherostar_title12	killherostardes12
21	12	2	0	soldier908_portrait01	killstarhero012	grading012	killstarherostr012	8	hero_killstar_monster_1909,1	soldier908h|body|soldier908h_body_t1	-0.3,-0.5,2	1.300000	3600	80	item1031,120;item107999900002,1;item107300000002,1;item107200052001,1	item102020060025,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1			item102020060024	itemstr_102020060024	killherostar_title12_1	killherostardes12_1
22	13	2	0	icon_chapter_13	killstarhero013	grading013	killstarherostr013	8	hero_killstar_monster_1910,1;hero_killstar_monster_1911,1;hero_killstar_monster_1912,1	soldier904h|body|soldier904h_body_t1	-0.5,-0.3,0	1.500000	3600	80	item1031,120;item107999900002,1;item107300000002,1;item107200052001,1	item102020060026,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1	icon_treasurebox04	item127000053211,3;item1031,2000	item102020060025	itemstr_102020060025	killherostar_title13	killherostardes13
23	14	1	0	soldier907_portrait01	killstarhero014	grading014	killstarherostr014	9	hero_killstar_monster_1913,1	soldier907|body|soldier907_body_t1	-0.3,-0.3,2	1.300000	0	90	item1031,150;item107999900002,1;item107300000002,1;item107200052001,1	item102020060027,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1				itemstr_102020060026	killherostar_title14	killherostardes14
24	14	2	0	soldier907_portrait01	killstarhero014	grading014	killstarherostr014	9	hero_killstar_monster_1913,1	soldier907|body|soldier907_body_t1	-0.3,-0.3,2	1.300000	3600	90	item1031,150;item107999900002,1;item107300000002,1;item107200052001,1	item102020060027,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1			item102020060026	itemstr_102020060026	killherostar_title14_1	killherostardes14_1
25	15	1	0	soldier912_portrait01	killstarhero015	grading015	killstarherostr015	9	hero_killstar_monster_1914,1	soldier912|body|soldier912_body_t1	-0.3,-0.3,2	1.300000	0	90	item1031,150;item107999900002,1;item107300000002,1;item107200052001,1	item102020060028,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1				itemstr_102020060027	killherostar_title15	killherostardes15
26	15	2	0	soldier912_portrait01	killstarhero015	grading015	killstarherostr015	9	hero_killstar_monster_1914,1	soldier912|body|soldier912_body_t1	-0.3,-0.3,2	1.300000	3600	90	item1031,150;item107999900002,1;item107300000002,1;item107200052001,1	item102020060028,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1			item102020060027	itemstr_102020060027	killherostar_title15_1	killherostardes15_1
27	16	1	0	soldier913_portrait01	killstarhero016	grading016	killstarherostr016	9	hero_killstar_monster_1915,1	soldier913|body|soldier913_body_t1	-0.5,-0.3,2	1.300000	0	90	item1031,150;item107999900002,1;item107300000002,1;item107200052001,1	item102020060029,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1				itemstr_102020060028	killherostar_title16	killherostardes16
28	16	2	0	soldier913_portrait01	killstarhero016	grading016	killstarherostr016	9	hero_killstar_monster_1915,1	soldier913|body|soldier913_body_t1	-0.5,-0.3,2	1.300000	3600	90	item1031,150;item107999900002,1;item107300000002,1;item107200052001,1	item102020060029,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item107000053307,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1			item102020060028	itemstr_102020060028	killherostar_title16_1	killherostardes16_1
