玩具定义ID	玩具ID	系列	类型	等级	出战属性	饲养属性	专属提升等级上限	套装编号	专属魔灵	战力类型	战力计算
1300304	item101031300304	11	1	4	1,120;3,12;4,12	1,40;3,4;4,4	8	0	pet_176;pet_177	1	6
1300305	item101031300305	11	1	5	1,150;3,15;4,15	1,50;3,5;4,5	10	0	pet_176;pet_177	1	6
1300401	item101031300401	12	1	1	1,50;3,5;4,5	1,20;3,1;4,1	2	0	pet_180;pet_181	1	6
1300402	item101031300402	12	1	2	1,70;3,7;4,7	1,20;3,2;4,2	4	0	pet_180;pet_181	1	6
1300403	item101031300403	12	1	3	1,100;3,9;4,9	1,30;3,3;4,3	6	0	pet_180;pet_181	1	6
1300404	item101031300404	12	1	4	1,120;3,12;4,12	1,40;3,4;4,4	8	0	pet_180;pet_181	1	6
1300405	item101031300405	12	1	5	1,150;3,15;4,15	1,50;3,5;4,5	10	0	pet_180;pet_181	1	6
1300501	item101031300501	13	1	1	1,50;3,5;4,5	1,20;3,1;4,1	2	0	pet_182;pet_183	1	6
1300502	item101031300502	13	1	2	1,70;3,7;4,7	1,20;3,2;4,2	4	0	pet_182;pet_183	1	6
1300503	item101031300503	13	1	3	1,100;3,9;4,9	1,30;3,3;4,3	6	0	pet_182;pet_183	1	6
1300504	item101031300504	13	1	4	1,120;3,12;4,12	1,40;3,4;4,4	8	0	pet_182;pet_183	1	6
1300505	item101031300505	13	1	5	1,150;3,15;4,15	1,50;3,5;4,5	10	0	pet_182;pet_183	1	6
1300601	item101031300601	14	1	1	1,50;3,5;4,5	1,20;3,1;4,1	2	0	pet_184;pet_185	1	6
1300602	item101031300602	14	1	2	1,70;3,7;4,7	1,20;3,2;4,2	4	0	pet_184;pet_185	1	6
1300603	item101031300603	14	1	3	1,100;3,9;4,9	1,30;3,3;4,3	6	0	pet_184;pet_185	1	6
1300604	item101031300604	14	1	4	1,120;3,12;4,12	1,40;3,4;4,4	8	0	pet_184;pet_185	1	6
1300605	item101031300605	14	1	5	1,150;3,15;4,15	1,50;3,5;4,5	10	0	pet_184;pet_185	1	6
1300701	item101031300701	15	1	1	1,50;3,5;4,5	1,20;3,1;4,1	2	0	pet_186;pet_187	1	6
1300702	item101031300702	15	1	2	1,70;3,7;4,7	1,20;3,2;4,2	4	0	pet_186;pet_187	1	6
1300703	item101031300703	15	1	3	1,100;3,9;4,9	1,30;3,3;4,3	6	0	pet_186;pet_187	1	6
1300704	item101031300704	15	1	4	1,120;3,12;4,12	1,40;3,4;4,4	8	0	pet_186;pet_187	1	6
1300705	item101031300705	15	1	5	1,150;3,15;4,15	1,50;3,5;4,5	10	0	pet_186;pet_187	1	6
1300801	item101031300801	16	1	1	1,50;3,5;4,5	1,20;3,1;4,1	2	0	pet_199	1	6
1300802	item101031300802	16	1	2	1,70;3,7;4,7	1,20;3,2;4,2	4	0	pet_199	1	6
1300803	item101031300803	16	1	3	1,100;3,9;4,9	1,30;3,3;4,3	6	0	pet_199	1	6
1300804	item101031300804	16	1	4	1,120;3,12;4,12	1,40;3,4;4,4	8	0	pet_199	1	6
1300805	item101031300805	16	1	5	1,150;3,15;4,15	1,50;3,5;4,5	10	0	pet_199	1	6
1300901	item101031300901	17	1	1	1,50;3,5;4,5	1,20;3,1;4,1	2	0	pet_201;pet_202	1	6
1300902	item101031300902	17	1	2	1,70;3,7;4,7	1,20;3,2;4,2	4	0	pet_201;pet_202	1	6
1300903	item101031300903	17	1	3	1,100;3,9;4,9	1,30;3,3;4,3	6	0	pet_201;pet_202	1	6
1300904	item101031300904	17	1	4	1,120;3,12;4,12	1,40;3,4;4,4	8	0	pet_201;pet_202	1	6
1300905	item101031300905	17	1	5	1,150;3,15;4,15	1,50;3,5;4,5	10	0	pet_201;pet_202	1	6
1301001	item101031301001	53	1	1	1,50;3,5;4,5	1,20;3,1;4,1	2	0	pet_203;pet_204	1	6
1301002	item101031301002	53	1	2	1,70;3,7;4,7	1,20;3,2;4,2	4	0	pet_203;pet_204	1	6
1301003	item101031301003	53	1	3	1,100;3,9;4,9	1,30;3,3;4,3	6	0	pet_203;pet_204	1	6
1301004	item101031301004	53	1	4	1,120;3,12;4,12	1,40;3,4;4,4	8	0	pet_203;pet_204	1	6
1301005	item101031301005	53	1	5	1,150;3,15;4,15	1,50;3,5;4,5	10	0	pet_203;pet_204	1	6
1400101	item101031400101	18	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_179	1	6
1400102	item101031400102	18	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_179	1	6
1400103	item101031400103	18	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_179	1	6
1400104	item101031400104	18	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_179	1	6
1400105	item101031400105	18	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_179	1	6
1400201	item101031400201	19	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_188	1	6
1400202	item101031400202	19	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_188	1	6
1400203	item101031400203	19	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_188	1	6
1400204	item101031400204	19	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_188	1	6
1400205	item101031400205	19	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_188	1	6
1400301	item101031400301	20	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_190	1	6
1400302	item101031400302	20	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_190	1	6
1400303	item101031400303	20	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_190	1	6
1400304	item101031400304	20	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_190	1	6
1400305	item101031400305	20	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_190	1	6
1400401	item101031400401	21	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_192	1	6
1400402	item101031400402	21	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_192	1	6
1400403	item101031400403	21	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_192	1	6
1400404	item101031400404	21	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_192	1	6
1400405	item101031400405	21	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_192	1	6
1400501	item101031400501	22	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_194	1	6
1400502	item101031400502	22	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_194	1	6
1400503	item101031400503	22	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_194	1	6
1400504	item101031400504	22	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_194	1	6
1400505	item101031400505	22	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_194	1	6
1400601	item101031400601	23	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_196	1	6
1400602	item101031400602	23	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_196	1	6
1400603	item101031400603	23	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_196	1	6
1400604	item101031400604	23	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_196	1	6
1400605	item101031400605	23	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_196	1	6
1400701	item101031400701	24	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_198	1	6
1400702	item101031400702	24	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_198	1	6
1400703	item101031400703	24	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_198	1	6
1400704	item101031400704	24	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_198	1	6
1400705	item101031400705	24	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_198	1	6
1400801	item101031400801	25	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_200	1	6
1400802	item101031400802	25	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_200	1	6
1400803	item101031400803	25	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_200	1	6
1400804	item101031400804	25	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_200	1	6
1400805	item101031400805	25	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_200	1	6
1400901	item101031400901	26	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_325	1	6
1400902	item101031400902	26	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_325	1	6
1400903	item101031400903	26	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_325	1	6
1400904	item101031400904	26	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_325	1	6
1400905	item101031400905	26	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_325	1	6
1401001	item101031401001	27	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_327	1	6
1401002	item101031401002	27	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_327	1	6
1401003	item101031401003	27	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_327	1	6
1401004	item101031401004	27	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_327	1	6
1401005	item101031401005	27	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_327	1	6
1401101	item101031401101	28	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_329	1	6
1401102	item101031401102	28	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_329	1	6
1401103	item101031401103	28	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_329	1	6
1401104	item101031401104	28	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_329	1	6
1401105	item101031401105	28	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_329	1	6
1401201	item101031401201	29	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_331	1	6
1401202	item101031401202	29	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_331	1	6
1401203	item101031401203	29	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_331	1	6
1401204	item101031401204	29	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_331	1	6
1401205	item101031401205	29	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_331	1	6
1401301	item101031401301	30	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_301	1	6
1401302	item101031401302	30	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_301	1	6
1401303	item101031401303	30	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_301	1	6
1401304	item101031401304	30	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_301	1	6
1401305	item101031401305	30	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_301	1	6
1401401	item101031401401	31	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_303	1	6
1401402	item101031401402	31	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_303	1	6
1401403	item101031401403	31	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_303	1	6
1401404	item101031401404	31	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_303	1	6
1401405	item101031401405	31	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_303	1	6
1401501	item101031401501	32	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_305	1	6
1401502	item101031401502	32	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_305	1	6
1401503	item101031401503	32	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_305	1	6
1401504	item101031401504	32	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_305	1	6
1401505	item101031401505	32	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_305	1	6
1401601	item101031401601	55	1	1	1,80;3,8;4,8	1,20;3,2;4,2	2	0	pet_205	1	6
1401602	item101031401602	55	1	2	1,110;3,11;4,11	1,30;3,2;4,2	4	0	pet_205	1	6
1401603	item101031401603	55	1	3	1,150;3,15;4,15	1,40;3,3;4,3	6	0	pet_205	1	6
1401604	item101031401604	55	1	4	1,190;3,19;4,19	1,50;3,4;4,4	8	0	pet_205	1	6
1401605	item101031401605	55	1	5	1,240;3,24;4,24	1,60;3,6;4,6	10	0	pet_205	1	6
1500101	item101031500101	33	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_307	1	6
1500102	item101031500102	33	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_307	1	6
1500103	item101031500103	33	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_307	1	6
1500104	item101031500104	33	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_307	1	6
1500105	item101031500105	33	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_307	1	6
1500201	item101031500201	34	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_307	1	6
1500202	item101031500202	34	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_307	1	6
1500203	item101031500203	34	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_307	1	6
1500204	item101031500204	34	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_307	1	6
1500205	item101031500205	34	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_307	1	6
1500301	item101031500301	35	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_309;pet_310	1	6
1500302	item101031500302	35	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_309;pet_310	1	6
1500303	item101031500303	35	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_309;pet_310	1	6
1500304	item101031500304	35	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_309;pet_310	1	6
1500305	item101031500305	35	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_309;pet_310	1	6
1500401	item101031500401	36	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_309;pet_310	1	6
1500402	item101031500402	36	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_309;pet_310	1	6
1500403	item101031500403	36	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_309;pet_310	1	6
1500404	item101031500404	36	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_309;pet_310	1	6
1500405	item101031500405	36	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_309;pet_310	1	6
1500501	item101031500501	37	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_311	1	6
1500502	item101031500502	37	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_311	1	6
1500503	item101031500503	37	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_311	1	6
1500504	item101031500504	37	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_311	1	6
1500505	item101031500505	37	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_311	1	6
1500601	item101031500601	38	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_311	1	6
1500602	item101031500602	38	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_311	1	6
1500603	item101031500603	38	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_311	1	6
1500604	item101031500604	38	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_311	1	6
1500605	item101031500605	38	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_311	1	6
1500701	item101031500701	39	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_313;pet_314	1	6
1500702	item101031500702	39	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_313;pet_314	1	6
1500703	item101031500703	39	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_313;pet_314	1	6
1500704	item101031500704	39	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_313;pet_314	1	6
1500705	item101031500705	39	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_313;pet_314	1	6
1500801	item101031500801	40	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_313;pet_314	1	6
1500802	item101031500802	40	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_313;pet_314	1	6
1500803	item101031500803	40	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_313;pet_314	1	6
1500804	item101031500804	40	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_313;pet_314	1	6
1500805	item101031500805	40	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_313;pet_314	1	6
1500901	item101031500901	41	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_315;pet_316	1	6
1500902	item101031500902	41	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_315;pet_316	1	6
1500903	item101031500903	41	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_315;pet_316	1	6
1500904	item101031500904	41	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_315;pet_316	1	6
1500905	item101031500905	41	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_315;pet_316	1	6
1501001	item101031501001	42	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_315;pet_316	1	6
1501002	item101031501002	42	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_315;pet_316	1	6
1501003	item101031501003	42	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_315;pet_316	1	6
1501004	item101031501004	42	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_315;pet_316	1	6
1501005	item101031501005	42	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_315;pet_316	1	6
1501101	item101031501101	43	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_317;pet_318	1	6
1501102	item101031501102	43	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_317;pet_318	1	6
1501103	item101031501103	43	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_317;pet_318	1	6
1501104	item101031501104	43	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_317;pet_318	1	6
1501105	item101031501105	43	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_317;pet_318	1	6
1501201	item101031501201	44	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_317;pet_318	1	6
1501202	item101031501202	44	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_317;pet_318	1	6
1501203	item101031501203	44	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_317;pet_318	1	6
1501204	item101031501204	44	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_317;pet_318	1	6
1501205	item101031501205	44	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_317;pet_318	1	6
1501301	item101031501301	45	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_319;pet_320	1	6
1501302	item101031501302	45	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_319;pet_320	1	6
1501303	item101031501303	45	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_319;pet_320	1	6
1501304	item101031501304	45	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_319;pet_320	1	6
1501305	item101031501305	45	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_319;pet_320	1	6
1501401	item101031501401	46	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_319;pet_320	1	6
1501402	item101031501402	46	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_319;pet_320	1	6
1501403	item101031501403	46	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_319;pet_320	1	6
1501404	item101031501404	46	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_319;pet_320	1	6
1501405	item101031501405	46	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_319;pet_320	1	6
1501501	item101031501501	47	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_321;pet_322	1	6
1501502	item101031501502	47	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_321;pet_322	1	6
1501503	item101031501503	47	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_321;pet_322	1	6
1501504	item101031501504	47	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_321;pet_322	1	6
1501505	item101031501505	47	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_321;pet_322	1	6
1501601	item101031501601	48	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_321;pet_322	1	6
1501602	item101031501602	48	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_321;pet_322	1	6
1501603	item101031501603	48	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_321;pet_322	1	6
1501604	item101031501604	48	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_321;pet_322	1	6
1501605	item101031501605	48	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_321;pet_322	1	6
1501701	item101031501701	49	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_323;pet_324	1	6
1501702	item101031501702	49	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_323;pet_324	1	6
1501703	item101031501703	49	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_323;pet_324	1	6
1501704	item101031501704	49	1	4	1,260;3,25;4,25	1,60;3,6;4,6	8	0	pet_323;pet_324	1	6
1501705	item101031501705	49	1	5	1,320;3,32;4,32	1,80;3,8;4,8	10	0	pet_323;pet_324	1	6
1501801	item101031501801	50	1	1	1,110;3,10;4,10	1,30;3,2;4,2	2	0	pet_323;pet_324	1	6
1501802	item101031501802	50	1	2	1,150;3,14;4,14	1,40;3,3;4,3	4	0	pet_323;pet_324	1	6
1501803	item101031501803	50	1	3	1,200;3,20;4,20	1,50;3,5;4,5	6	0	pet_323;pet_324	1	6
