流水id	npc编号	技能分类	灵魂技能解锁需佣兵等级	灵魂技能Id	灵魂技能等级	升级灵魂技能所需消耗
120	soldier_npc_10003	2	41	skill301138	6	item105000000068,5
121	soldier_npc_10003	2	61	skill301138	7	item105000000068,6
122	soldier_npc_10003	2	61	skill301138	8	item105000000068,7
123	soldier_npc_10003	2	71	skill301138	9	item105000000068,8
124	soldier_npc_10003	2	71	skill301138	10	item105000000068,9
125	soldier_npc_10003	2	35	skill301134	1	
126	soldier_npc_10003	2	35	skill301134	2	item105000000069,1
127	soldier_npc_10003	2	35	skill301134	3	item105000000069,2
128	soldier_npc_10003	2	35	skill301134	4	item105000000069,3
129	soldier_npc_10003	2	41	skill301134	5	item105000000069,4
130	soldier_npc_10003	2	41	skill301134	6	item105000000069,5
131	soldier_npc_10003	2	61	skill301134	7	item105000000069,6
132	soldier_npc_10003	2	61	skill301134	8	item105000000069,7
133	soldier_npc_10003	2	71	skill301134	9	item105000000069,8
134	soldier_npc_10003	2	71	skill301134	10	item105000000069,9
135	soldier_npc_10003	2	35	skill301135	1	
136	soldier_npc_10003	2	35	skill301135	2	item105000000070,1
137	soldier_npc_10003	2	35	skill301135	3	item105000000070,2
138	soldier_npc_10003	2	35	skill301135	4	item105000000070,3
139	soldier_npc_10003	2	41	skill301135	5	item105000000070,4
140	soldier_npc_10003	2	41	skill301135	6	item105000000070,5
141	soldier_npc_10003	2	61	skill301135	7	item105000000070,6
142	soldier_npc_10003	2	61	skill301135	8	item105000000070,7
143	soldier_npc_10003	2	71	skill301135	9	item105000000070,8
144	soldier_npc_10003	2	71	skill301135	10	item105000000070,9
145	soldier_npc_10003	2	35	skill301136	1	
146	soldier_npc_10003	2	35	skill301136	2	item105000000071,1
147	soldier_npc_10003	2	35	skill301136	3	item105000000071,2
148	soldier_npc_10003	2	35	skill301136	4	item105000000071,3
149	soldier_npc_10003	2	41	skill301136	5	item105000000071,4
150	soldier_npc_10003	2	41	skill301136	6	item105000000071,5
151	soldier_npc_10003	2	61	skill301136	7	item105000000071,6
152	soldier_npc_10003	2	61	skill301136	8	item105000000071,7
153	soldier_npc_10003	2	71	skill301136	9	item105000000071,8
154	soldier_npc_10003	2	71	skill301136	10	item105000000071,9
155	soldier_npc_10003	3	0	skill300005	1	
156	soldier_npc_10003	3	0	skill300006	1	
157	soldier_npc_10004	1	0	skill301108	1	
158	soldier_npc_10004	1	0	skill301108	2	
159	soldier_npc_10004	1	0	skill301108	3	
160	soldier_npc_10004	1	0	skill301108	4	
161	soldier_npc_10004	1	0	skill301108	5	
162	soldier_npc_10004	1	0	skill301108	6	
163	soldier_npc_10004	1	0	skill301108	7	
164	soldier_npc_10004	1	0	skill301108	8	
165	soldier_npc_10004	1	0	skill301108	9	
166	soldier_npc_10004	1	0	skill301108	10	
167	soldier_npc_10004	2	35	skill301104	1	
168	soldier_npc_10004	2	35	skill301104	2	item105000000068,1
169	soldier_npc_10004	2	35	skill301104	3	item105000000068,2
170	soldier_npc_10004	2	35	skill301104	4	item105000000068,3
171	soldier_npc_10004	2	41	skill301104	5	item105000000068,4
172	soldier_npc_10004	2	41	skill301104	6	item105000000068,5
173	soldier_npc_10004	2	61	skill301104	7	item105000000068,6
174	soldier_npc_10004	2	61	skill301104	8	item105000000068,7
175	soldier_npc_10004	2	71	skill301104	9	item105000000068,8
176	soldier_npc_10004	2	71	skill301104	10	item105000000068,9
177	soldier_npc_10004	2	35	skill301105	1	
178	soldier_npc_10004	2	35	skill301105	2	item105000000069,1
179	soldier_npc_10004	2	35	skill301105	3	item105000000069,2
180	soldier_npc_10004	2	35	skill301105	4	item105000000069,3
181	soldier_npc_10004	2	41	skill301105	5	item105000000069,4
182	soldier_npc_10004	2	41	skill301105	6	item105000000069,5
183	soldier_npc_10004	2	61	skill301105	7	item105000000069,6
184	soldier_npc_10004	2	61	skill301105	8	item105000000069,7
185	soldier_npc_10004	2	71	skill301105	9	item105000000069,8
186	soldier_npc_10004	2	71	skill301105	10	item105000000069,9
187	soldier_npc_10004	2	35	skill301106	1	
188	soldier_npc_10004	2	35	skill301106	2	item105000000070,1
189	soldier_npc_10004	2	35	skill301106	3	item105000000070,2
190	soldier_npc_10004	2	35	skill301106	4	item105000000070,3
191	soldier_npc_10004	2	41	skill301106	5	item105000000070,4
192	soldier_npc_10004	2	41	skill301106	6	item105000000070,5
193	soldier_npc_10004	2	61	skill301106	7	item105000000070,6
194	soldier_npc_10004	2	61	skill301106	8	item105000000070,7
195	soldier_npc_10004	2	71	skill301106	9	item105000000070,8
196	soldier_npc_10004	2	71	skill301106	10	item105000000070,9
197	soldier_npc_10004	2	35	skill301107	1	
198	soldier_npc_10004	2	35	skill301107	2	item105000000071,1
199	soldier_npc_10004	2	35	skill301107	3	item105000000071,2
200	soldier_npc_10004	2	35	skill301107	4	item105000000071,3
201	soldier_npc_10004	2	41	skill301107	5	item105000000071,4
202	soldier_npc_10004	2	41	skill301107	6	item105000000071,5
203	soldier_npc_10004	2	61	skill301107	7	item105000000071,6
204	soldier_npc_10004	2	61	skill301107	8	item105000000071,7
205	soldier_npc_10004	2	71	skill301107	9	item105000000071,8
206	soldier_npc_10004	2	71	skill301107	10	item105000000071,9
207	soldier_npc_10004	3	0	skill300001	1	
208	soldier_npc_10004	3	0	skill300007	1	
209	soldier_npc_10005	1	0	skill301148	1	
210	soldier_npc_10005	1	0	skill301148	2	
211	soldier_npc_10005	1	0	skill301148	3	
212	soldier_npc_10005	1	0	skill301148	4	
213	soldier_npc_10005	1	0	skill301148	5	
214	soldier_npc_10005	1	0	skill301148	6	
215	soldier_npc_10005	1	0	skill301148	7	
216	soldier_npc_10005	1	0	skill301148	8	
217	soldier_npc_10005	1	0	skill301148	9	
218	soldier_npc_10005	1	0	skill301148	10	
219	soldier_npc_10005	2	35	skill301144	1	
220	soldier_npc_10005	2	35	skill301144	2	item105000000068,1
221	soldier_npc_10005	2	35	skill301144	3	item105000000068,2
222	soldier_npc_10005	2	35	skill301144	4	item105000000068,3
223	soldier_npc_10005	2	41	skill301144	5	item105000000068,4
224	soldier_npc_10005	2	41	skill301144	6	item105000000068,5
225	soldier_npc_10005	2	61	skill301144	7	item105000000068,6
226	soldier_npc_10005	2	61	skill301144	8	item105000000068,7
227	soldier_npc_10005	2	71	skill301144	9	item105000000068,8
228	soldier_npc_10005	2	71	skill301144	10	item105000000068,9
229	soldier_npc_10005	2	35	skill301145	1	
230	soldier_npc_10005	2	35	skill301145	2	item105000000069,1
231	soldier_npc_10005	2	35	skill301145	3	item105000000069,2
232	soldier_npc_10005	2	35	skill301145	4	item105000000069,3
233	soldier_npc_10005	2	41	skill301145	5	item105000000069,4
234	soldier_npc_10005	2	41	skill301145	6	item105000000069,5
235	soldier_npc_10005	2	61	skill301145	7	item105000000069,6
236	soldier_npc_10005	2	61	skill301145	8	item105000000069,7
237	soldier_npc_10005	2	71	skill301145	9	item105000000069,8
238	soldier_npc_10005	2	71	skill301145	10	item105000000069,9
239	soldier_npc_10005	2	35	skill301146	1	
240	soldier_npc_10005	2	35	skill301146	2	item105000000070,1
241	soldier_npc_10005	2	35	skill301146	3	item105000000070,2
242	soldier_npc_10005	2	35	skill301146	4	item105000000070,3
243	soldier_npc_10005	2	41	skill301146	5	item105000000070,4
244	soldier_npc_10005	2	41	skill301146	6	item105000000070,5
245	soldier_npc_10005	2	61	skill301146	7	item105000000070,6
246	soldier_npc_10005	2	61	skill301146	8	item105000000070,7
247	soldier_npc_10005	2	71	skill301146	9	item105000000070,8
248	soldier_npc_10005	2	71	skill301146	10	item105000000070,9
249	soldier_npc_10005	2	35	skill301147	1	
250	soldier_npc_10005	2	35	skill301147	2	item105000000071,1
251	soldier_npc_10005	2	35	skill301147	3	item105000000071,2
252	soldier_npc_10005	2	35	skill301147	4	item105000000071,3
253	soldier_npc_10005	2	41	skill301147	5	item105000000071,4
254	soldier_npc_10005	2	41	skill301147	6	item105000000071,5
255	soldier_npc_10005	2	61	skill301147	7	item105000000071,6
256	soldier_npc_10005	2	61	skill301147	8	item105000000071,7
257	soldier_npc_10005	2	71	skill301147	9	item105000000071,8
258	soldier_npc_10005	2	71	skill301147	10	item105000000071,9
259	soldier_npc_10005	3	0	skill300001	1	
260	soldier_npc_10005	3	0	skill300004	1	
261	soldier_npc_10006	1	0	skill400905	1	
262	soldier_npc_10006	1	0	skill400905	2	
263	soldier_npc_10006	1	0	skill400905	3	
264	soldier_npc_10006	1	0	skill400905	4	
265	soldier_npc_10006	1	0	skill400905	5	
266	soldier_npc_10006	1	0	skill400905	6	
267	soldier_npc_10006	1	0	skill400905	7	
268	soldier_npc_10006	1	0	skill400905	8	
269	soldier_npc_10006	1	0	skill400905	9	
270	soldier_npc_10006	1	0	skill400905	10	
271	soldier_npc_10006	2	35	skill400901	1	
272	soldier_npc_10006	2	35	skill400901	2	item105000000068,1
273	soldier_npc_10006	2	35	skill400901	3	item105000000068,2
274	soldier_npc_10006	2	35	skill400901	4	item105000000068,3
275	soldier_npc_10006	2	41	skill400901	5	item105000000068,5
276	soldier_npc_10006	2	41	skill400901	6	item105000000068,7
277	soldier_npc_10006	2	61	skill400901	7	item105000000068,9
278	soldier_npc_10006	2	61	skill400901	8	item105000000068,11
279	soldier_npc_10006	2	71	skill400901	9	item105000000068,13
280	soldier_npc_10006	2	71	skill400901	10	item105000000068,15
281	soldier_npc_10006	2	35	skill400902	1	
282	soldier_npc_10006	2	35	skill400902	2	item105000000069,1
283	soldier_npc_10006	2	35	skill400902	3	item105000000069,2
284	soldier_npc_10006	2	35	skill400902	4	item105000000069,3
285	soldier_npc_10006	2	41	skill400902	5	item105000000069,5
286	soldier_npc_10006	2	41	skill400902	6	item105000000069,7
287	soldier_npc_10006	2	61	skill400902	7	item105000000069,9
288	soldier_npc_10006	2	61	skill400902	8	item105000000069,11
289	soldier_npc_10006	2	71	skill400902	9	item105000000069,13
290	soldier_npc_10006	2	71	skill400902	10	item105000000069,15
291	soldier_npc_10006	2	35	skill400903	1	
292	soldier_npc_10006	2	35	skill400903	2	item105000000070,1
293	soldier_npc_10006	2	35	skill400903	3	item105000000070,2
294	soldier_npc_10006	2	35	skill400903	4	item105000000070,3
295	soldier_npc_10006	2	41	skill400903	5	item105000000070,5
296	soldier_npc_10006	2	41	skill400903	6	item105000000070,7
297	soldier_npc_10006	2	61	skill400903	7	item105000000070,9
298	soldier_npc_10006	2	61	skill400903	8	item105000000070,11
299	soldier_npc_10006	2	71	skill400903	9	item105000000070,13
300	soldier_npc_10006	2	71	skill400903	10	item105000000070,15
301	soldier_npc_10006	2	35	skill400904	1	
302	soldier_npc_10006	2	35	skill400904	2	item105000000071,1
303	soldier_npc_10006	2	35	skill400904	3	item105000000071,2
304	soldier_npc_10006	2	35	skill400904	4	item105000000071,3
305	soldier_npc_10006	2	41	skill400904	5	item105000000071,5
306	soldier_npc_10006	2	41	skill400904	6	item105000000071,7
307	soldier_npc_10006	2	61	skill400904	7	item105000000071,9
308	soldier_npc_10006	2	61	skill400904	8	item105000000071,11
309	soldier_npc_10006	2	71	skill400904	9	item105000000071,13
310	soldier_npc_10006	2	71	skill400904	10	item105000000071,15
311	soldier_npc_10006	3	0	skill400906	1	
312	soldier_npc_10006	3	0	skill400907	1	
313	soldier_npc_10006	3	0	skill400908	1	
314	soldier_npc_10006	3	0	skill400909	1	
315	soldier_npc_10007	1	0	skill401005	1	
316	soldier_npc_10007	1	0	skill401005	2	
317	soldier_npc_10007	1	0	skill401005	3	
318	soldier_npc_10007	1	0	skill401005	4	
319	soldier_npc_10007	1	0	skill401005	5	
320	soldier_npc_10007	1	0	skill401005	6	
321	soldier_npc_10007	1	0	skill401005	7	
322	soldier_npc_10007	1	0	skill401005	8	
323	soldier_npc_10007	1	0	skill401005	9	
324	soldier_npc_10007	1	0	skill401005	10	
325	soldier_npc_10007	2	35	skill401001	1	
326	soldier_npc_10007	2	35	skill401001	2	item105000000068,1
327	soldier_npc_10007	2	35	skill401001	3	item105000000068,2
328	soldier_npc_10007	2	35	skill401001	4	item105000000068,3
329	soldier_npc_10007	2	41	skill401001	5	item105000000068,5
330	soldier_npc_10007	2	41	skill401001	6	item105000000068,7
331	soldier_npc_10007	2	61	skill401001	7	item105000000068,9
332	soldier_npc_10007	2	61	skill401001	8	item105000000068,11
333	soldier_npc_10007	2	71	skill401001	9	item105000000068,13
334	soldier_npc_10007	2	71	skill401001	10	item105000000068,15
335	soldier_npc_10007	2	35	skill401002	1	
336	soldier_npc_10007	2	35	skill401002	2	item105000000069,1
337	soldier_npc_10007	2	35	skill401002	3	item105000000069,2
338	soldier_npc_10007	2	35	skill401002	4	item105000000069,3
339	soldier_npc_10007	2	41	skill401002	5	item105000000069,5
340	soldier_npc_10007	2	41	skill401002	6	item105000000069,7
341	soldier_npc_10007	2	61	skill401002	7	item105000000069,9
342	soldier_npc_10007	2	61	skill401002	8	item105000000069,11
343	soldier_npc_10007	2	71	skill401002	9	item105000000069,13
344	soldier_npc_10007	2	71	skill401002	10	item105000000069,15
345	soldier_npc_10007	2	35	skill401003	1	
346	soldier_npc_10007	2	35	skill401003	2	item105000000070,1
347	soldier_npc_10007	2	35	skill401003	3	item105000000070,2
348	soldier_npc_10007	2	35	skill401003	4	item105000000070,3
349	soldier_npc_10007	2	41	skill401003	5	item105000000070,5
350	soldier_npc_10007	2	41	skill401003	6	item105000000070,7
351	soldier_npc_10007	2	61	skill401003	7	item105000000070,9
352	soldier_npc_10007	2	61	skill401003	8	item105000000070,11
353	soldier_npc_10007	2	71	skill401003	9	item105000000070,13
354	soldier_npc_10007	2	71	skill401003	10	item105000000070,15
355	soldier_npc_10007	2	35	skill401004	1	
356	soldier_npc_10007	2	35	skill401004	2	item105000000071,1
357	soldier_npc_10007	2	35	skill401004	3	item105000000071,2
358	soldier_npc_10007	2	35	skill401004	4	item105000000071,3
359	soldier_npc_10007	2	41	skill401004	5	item105000000071,5
360	soldier_npc_10007	2	41	skill401004	6	item105000000071,7
361	soldier_npc_10007	2	61	skill401004	7	item105000000071,9
362	soldier_npc_10007	2	61	skill401004	8	item105000000071,11
363	soldier_npc_10007	2	71	skill401004	9	item105000000071,13
364	soldier_npc_10007	2	71	skill401004	10	item105000000071,15
365	soldier_npc_10007	3	0	skill401006	1	
366	soldier_npc_10007	3	0	skill401007	1	
367	soldier_npc_10007	3	0	skill401008	1	
368	soldier_npc_10007	3	0	skill401009	1	
369	soldier_npc_10008	1	0	skill400805	1	
370	soldier_npc_10008	1	0	skill400805	2	
371	soldier_npc_10008	1	0	skill400805	3	
372	soldier_npc_10008	1	0	skill400805	4	
373	soldier_npc_10008	1	0	skill400805	5	
374	soldier_npc_10008	1	0	skill400805	6	
375	soldier_npc_10008	1	0	skill400805	7	
376	soldier_npc_10008	1	0	skill400805	8	
377	soldier_npc_10008	1	0	skill400805	9	
378	soldier_npc_10008	1	0	skill400805	10	
379	soldier_npc_10008	2	35	skill400801	1	
380	soldier_npc_10008	2	35	skill400801	2	item105000000068,1
381	soldier_npc_10008	2	35	skill400801	3	item105000000068,2
382	soldier_npc_10008	2	35	skill400801	4	item105000000068,3
383	soldier_npc_10008	2	41	skill400801	5	item105000000068,5
384	soldier_npc_10008	2	41	skill400801	6	item105000000068,7
385	soldier_npc_10008	2	61	skill400801	7	item105000000068,9
386	soldier_npc_10008	2	61	skill400801	8	item105000000068,11
387	soldier_npc_10008	2	71	skill400801	9	item105000000068,13
388	soldier_npc_10008	2	71	skill400801	10	item105000000068,15
389	soldier_npc_10008	2	35	skill400802	1	
390	soldier_npc_10008	2	35	skill400802	2	item105000000069,1
391	soldier_npc_10008	2	35	skill400802	3	item105000000069,2
392	soldier_npc_10008	2	35	skill400802	4	item105000000069,3
393	soldier_npc_10008	2	41	skill400802	5	item105000000069,5
394	soldier_npc_10008	2	41	skill400802	6	item105000000069,7
395	soldier_npc_10008	2	61	skill400802	7	item105000000069,9
396	soldier_npc_10008	2	61	skill400802	8	item105000000069,11
397	soldier_npc_10008	2	71	skill400802	9	item105000000069,13
398	soldier_npc_10008	2	71	skill400802	10	item105000000069,15
399	soldier_npc_10008	2	35	skill400803	1	
400	soldier_npc_10008	2	35	skill400803	2	item105000000070,1
401	soldier_npc_10008	2	35	skill400803	3	item105000000070,2
402	soldier_npc_10008	2	35	skill400803	4	item105000000070,3
403	soldier_npc_10008	2	41	skill400803	5	item105000000070,5
404	soldier_npc_10008	2	41	skill400803	6	item105000000070,7
405	soldier_npc_10008	2	61	skill400803	7	item105000000070,9
406	soldier_npc_10008	2	61	skill400803	8	item105000000070,11
407	soldier_npc_10008	2	71	skill400803	9	item105000000070,13
408	soldier_npc_10008	2	71	skill400803	10	item105000000070,15
409	soldier_npc_10008	2	35	skill400804	1	
410	soldier_npc_10008	2	35	skill400804	2	item105000000071,1
411	soldier_npc_10008	2	35	skill400804	3	item105000000071,2
412	soldier_npc_10008	2	35	skill400804	4	item105000000071,3
413	soldier_npc_10008	2	41	skill400804	5	item105000000071,5
414	soldier_npc_10008	2	41	skill400804	6	item105000000071,7
415	soldier_npc_10008	2	61	skill400804	7	item105000000071,9
416	soldier_npc_10008	2	61	skill400804	8	item105000000071,11
417	soldier_npc_10008	2	71	skill400804	9	item105000000071,13
418	soldier_npc_10008	2	71	skill400804	10	item105000000071,15
419	soldier_npc_10008	3	0	skill400806	1	
420	soldier_npc_10008	3	0	skill400807	1	
421	soldier_npc_10008	3	0	skill400808	1	
422	soldier_npc_10008	3	0	skill400809	1	
423	soldier_npc_10009	1	0	skill401205	1	
424	soldier_npc_10009	1	0	skill401205	2	
425	soldier_npc_10009	1	0	skill401205	3	
426	soldier_npc_10009	1	0	skill401205	4	
427	soldier_npc_10009	1	0	skill401205	5	
428	soldier_npc_10009	1	0	skill401205	6	
429	soldier_npc_10009	1	0	skill401205	7	
430	soldier_npc_10009	1	0	skill401205	8	
431	soldier_npc_10009	1	0	skill401205	9	
432	soldier_npc_10009	1	0	skill401205	10	
433	soldier_npc_10009	2	35	skill401201	1	
434	soldier_npc_10009	2	35	skill401201	2	item105000000068,1
435	soldier_npc_10009	2	35	skill401201	3	item105000000068,2
436	soldier_npc_10009	2	35	skill401201	4	item105000000068,3
437	soldier_npc_10009	2	41	skill401201	5	item105000000068,5
438	soldier_npc_10009	2	41	skill401201	6	item105000000068,7
439	soldier_npc_10009	2	61	skill401201	7	item105000000068,9
440	soldier_npc_10009	2	61	skill401201	8	item105000000068,11
441	soldier_npc_10009	2	71	skill401201	9	item105000000068,13
442	soldier_npc_10009	2	71	skill401201	10	item105000000068,15
443	soldier_npc_10009	2	35	skill401202	1	
444	soldier_npc_10009	2	35	skill401202	2	item105000000069,1
445	soldier_npc_10009	2	35	skill401202	3	item105000000069,2
446	soldier_npc_10009	2	35	skill401202	4	item105000000069,3
447	soldier_npc_10009	2	41	skill401202	5	item105000000069,5
448	soldier_npc_10009	2	41	skill401202	6	item105000000069,7
449	soldier_npc_10009	2	61	skill401202	7	item105000000069,9
450	soldier_npc_10009	2	61	skill401202	8	item105000000069,11
451	soldier_npc_10009	2	71	skill401202	9	item105000000069,13
452	soldier_npc_10009	2	71	skill401202	10	item105000000069,15
453	soldier_npc_10009	2	35	skill401203	1	
454	soldier_npc_10009	2	35	skill401203	2	item105000000070,1
455	soldier_npc_10009	2	35	skill401203	3	item105000000070,2
456	soldier_npc_10009	2	35	skill401203	4	item105000000070,3
457	soldier_npc_10009	2	41	skill401203	5	item105000000070,5
458	soldier_npc_10009	2	41	skill401203	6	item105000000070,7
459	soldier_npc_10009	2	61	skill401203	7	item105000000070,9
460	soldier_npc_10009	2	61	skill401203	8	item105000000070,11
461	soldier_npc_10009	2	71	skill401203	9	item105000000070,13
462	soldier_npc_10009	2	71	skill401203	10	item105000000070,15
463	soldier_npc_10009	2	35	skill401204	1	
464	soldier_npc_10009	2	35	skill401204	2	item105000000071,1
465	soldier_npc_10009	2	35	skill401204	3	item105000000071,2
466	soldier_npc_10009	2	35	skill401204	4	item105000000071,3
467	soldier_npc_10009	2	41	skill401204	5	item105000000071,5
468	soldier_npc_10009	2	41	skill401204	6	item105000000071,7
469	soldier_npc_10009	2	61	skill401204	7	item105000000071,9
470	soldier_npc_10009	2	61	skill401204	8	item105000000071,11
471	soldier_npc_10009	2	71	skill401204	9	item105000000071,13
472	soldier_npc_10009	2	71	skill401204	10	item105000000071,15
473	soldier_npc_10009	3	0	skill401206	1	
474	soldier_npc_10009	3	0	skill401207	1	
475	soldier_npc_10009	3	0	skill401208	1	
476	soldier_npc_10009	3	0	skill401209	1	
477	soldier_npc_10010	1	0	skill401105	1	
478	soldier_npc_10010	1	0	skill401105	2	
479	soldier_npc_10010	1	0	skill401105	3	
480	soldier_npc_10010	1	0	skill401105	4	
481	soldier_npc_10010	1	0	skill401105	5	
