邮件ID	按钮名字
mail_disasterinvade_guildkill_reward	
mail_disasterinvade_serverkill_reward	
mail_disasterinvade_guilddamage_reward	
mail_disasterinvade_teamdamage_reward	
mail_disasterinvade_guildjoin_reward	
mail_disasterinvade_teamjoin_reward	
mail_snowballdash_smashreward	
mail_story_10700020	mail_button_10700020
mail_flop_game_reset_reward	
mail_snowballdash_killsnowking	
mail_flop_game_reward	
mail_story_10700050	mail_button_10700050
mail_ny_prays_zone_rank_rebate	
mail_ny_prays_zone_rank_reward	
mail_ny_prays_server_rank_reward	
mail_ny_prays_box_reward	
mail_lightequip_task	mail_button_20188
mail_connection_unget_reward	
mail_pettoy_item	
mail_japan_firstbindingreward	
mail_sea_vn_political_sign_in	
mail_sea_vn_political_on_line	
mail_killherostar_task	mail_button_2118805
mail_friend_fashion_mall	
mail_luckysix_reward	
mail_luckysix_big_reward	
mail_luckysix_small_reward	
mail_explore_reward	
mail_monthcard_login	
mail_light_game_reset_reward	
mail_light_game_rank_reward	
mail_active_monthcardsign_return	
mail_active_treasure_totlereturn	
mail_active_treasure_boxreturn	
mail_contract_dailytask_reward	
mail_open_server_reward01	
mail_open_server_reward02	
mail_open_server_reward03	
mail_open_server_reward04	
mail_open_server_reward05	
mail_open_server_reward06	
mail_startrace_reward	
mail_onetouch_game_reset_reward	
mail_onetouch_game_rank_reward	
mail_10710010_task	mail_button_10710010
mail_richman_end_treasure_return	
mail_starlight_vote_reward	
mail_starlight_rank_reward	
mail_starlight_vote_transfer	
mail_2100100_task	mail_button_2100100
mail_starlight_vote_back	
mail_sail_log	
mail_sail_bonus	
mail_recharge_returnreward	
mail_continuouspayment_returnreward	
mail_cookies_reset_reward	
mail_speak_ban	
mail_subspacebattle_local_rank	
mail_subspacebattle_cross_rank	
mail_subspacebattle_dailytask_reward	
zone_combine_mail	
mail_pushgift_returnreward	
mail_zone_task	mail_button_10207
mail_epic_task	mail_button_10207
mail_activity_machine_reward	
mail_homeland_monsterreward	
mail_homeland_monsterweed	
mail_homeland_monsterattack	
mail_homeland_businessmanreward	
mail_activity_score_shop_reward	
mail_fishingworldboss_personal	
mail_fishingchest_reward	
mail_fishingdevil_reward	
mail_fishingworldboss	
mail_huntpvp_playerreward	
mail_huntpvp_serverreward	
mail_task_10800010	mail_button_10800010
mail_homeland_businessman_returnreward	
mail_activity_killstar_rankreward	
mail_activity_killstar_reward	
mail_activity_killstar_bigrankreward	
mail_zone_headportrait_defeated	mail_button_10207
mail_zone_photoalbum_defeated	mail_button_10207
mail_zone_activepage_defeated	mail_button_10207
mail_linktask_shilaimu	mail_button_shilaimu
mail_adventure_reward	
mail_story_511210	mail_button_511210
mail_story_511290	mail_button_511290
mail_relic101	
mail_relic102	
mail_relic103	
mail_relic104	
mail_relic105	
mail_relic106	
mail_relic107	
mail_holybattle_reward	
mail_heroportrait_pastdue_notice	
mail_heroframe_pastdue_notice	
mail_bubble_pastdue_notice	
mail_relic002	
mail_relic003	
maze_pve_packfull_notice	
mail_antifraud_notice	
mail_startrace_conversion	
mail_open_server_ea01	
mail_open_server_ea02	
mail_open_server_ea03	
mail_open_server_ea04	
mail_open_server_ea05	
mail_open_server_ea06	
mail_beforehand_raward	
mail_twelvestars_raward	
mail_twelvestars_stage_raward	
mail_twelvestars_rank_raward	
mail_strongestteam_rank_reward01	
mail_strongestteam_rank_reward02	
mail_strongestteam_rank_reward03	
mail_strongestteam_rank_reward04	
mail_strongestteam_rank_reward05	
mail_strongestteam_rank_reward06	
mail_relic_funcon	
mail_strongestteam_win	
mail_strongestteam_loss	
mail_rba_local_rinfo_settle_reward	
mail_rba_cross_rinfo_settle_reward	
mail_rba_vote_localrank_reward	
mail_rba_vote_crossrank_reward	
mail_expedition_rank_reward	
mail_expedition_vote_return	
mail_across_reward01	mail_button_810000
mail_task_810010	mail_button_810000
mail_task_820040	mail_button_810000
mail_energybattle_personalrank	
mail_energybattle_guildrank	
mail_popularity_dlottery_reissue_reward	
mail_popularity_total_vote_reissue_reward	
mail_energybattle_bagfull	
mail_StrongestTeamStopCompensate1	
mail_StrongestTeamStopCompensate2	
mail_StrongestTeamWeekLost	
mail_expedition_mergeserver_votefail_return	
mail_Companionably_raward	
mail_monthpve_first_team	
mail_monthpve_first_team_server_reward	
mail_monthpve_team_rank_reward	
mail_monthpve_rank_reward	
mail_monthpve_team_rank_server_reward	
mail_monthpve_task_reward	
mail_StrongestTeam_pre_win	
mail_StrongestTeam_pre_lose	
mail_StrongestTeam_pre_point	
mail_Sailingseason_totaldamage	
mail_Sailingseason_carrerdamage	
mail_Sailingseason_point	
mail_open_server_reward_jpn	
mail_skillgem_piece_overflow	
mail_activity_bottle_reward_mail	
mail_star_competition_award_1_1_1mail	
mail_star_competition_award_1_2_1mail	
mail_star_competition_award_1_3_1mail	
mail_star_competition_award_1_4_1mail	
mail_star_competition_award_2_1_1mail	
mail_star_competition_award_2_2_1mail	
mail_star_competition_award_2_3_1mail	
mail_star_competition_award_3_1_1mail	
mail_star_competition_award_3_2_1mail	
mail_star_competition_award_3_3_1mail	
mail_star_competition_award_3_4_1mail	
mail_star_competition_award_3_5_1mail	
mail_star_competition_award_3_6_1mail	
mail_star_competition_award_1_1_2mail	
mail_star_competition_award_1_2_2mail	
mail_star_competition_award_1_3_2mail	
mail_star_competition_award_1_4_2mail	
mail_star_competition_award_2_1_0mail	
mail_star_competition_award_2_2_0mail	
mail_star_competition_award_2_3_0mail	
mail_star_competition_award_3_1_0mail	
mail_star_competition_award_3_2_0mail	
mail_star_competition_award_3_3_0mail	
mail_star_competition_award_3_4_0mail	
mail_star_competition_award_3_5_0mail	
mail_star_competition_award_3_6_0mail	
mail_star_competition_DayRedenvelopes_mail	
mail_abyss_point	
mail_abyss_honor	
mail_japan_BigRrebate	
mail_star_battlepass_extreme_award	
mail_envoyskill_item_overflow	
mail_envoyequipbag_full	
mail_explore_oldreward	
mail_fairy_exp	
mail_solorecharge_reward	
mail_star_blessing_daily_award	
mail_star_blessing_final_award	
mail_monster_siege_rank_reward	
mail_xymiaobi_reward	
mail_duel_daily_award	
mail_duel_rankbattle_award	
mail_duel_level_award	
mail_duel_season_award	
mail_duel_drop_notice	
mail_mergearea_reward	
mail_envoyemblem_overflow	
mail_hotel_compete_rank_reward	
mail_hotel_compete_repay_reward	
mail_traran_task_reward	
mail_fairycastle_task_reward	
mail_advanture_book_dny	
mail_apprentice_recruit	mail_button_820000
mail_apprentice_talent	
mail_apprentice_skill_piece_overflow	
mail_apprentice_compensate	
mail_active_rank	
mail_powerexchange_task	Social_MailGet
mail_twinherit_item	
mail_campleader_rewards	
mail_treasurehunt_rewards	
mail_treasurehunt_compensate	
mail_fairycastle_box_reward	
mail_guardtemple_currency	
mail_guardtemple_defendse	
mail_guardtemple_counter	
mail_espiritequipbag_full	
mail_espirit_imprintbag_full	
