流水	事件ID	怪物介绍	怪物名称	事件难度名字前缀	背景	奖励展示	技能名	技能描述	应对方式	怪物展示信息
39	1018	des_fairy_elite_013	name_fairy_041	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1	name_fairy_elite_013_skill01;name_fairy_elite_013_skill02	des_fairy_elite_013_skill01;des_fairy_elite_013_skill02	solution_fairy_elite_013_skill01;solution_fairy_elite_013_skill02	monster37100036,0.6,145
40	1019	des_fairy_elite_013	name_fairy_041	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1	name_fairy_elite_013_skill01;name_fairy_elite_013_skill02	des_fairy_elite_013_skill01;des_fairy_elite_013_skill02	solution_fairy_elite_013_skill01;solution_fairy_elite_013_skill02	monster37100036,0.6,145
41	1020	des_fairy_elite_013	name_fairy_041	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1;item2430000000003,1	name_fairy_elite_013_skill01;name_fairy_elite_013_skill02	des_fairy_elite_013_skill01;des_fairy_elite_013_skill02	solution_fairy_elite_013_skill01;solution_fairy_elite_013_skill02	monster37100036,0.6,145
42	1021	des_fairy_elite_011	name_fairy_039	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1	name_fairy_elite_011_skill01;name_fairy_elite_011_skill02	des_fairy_elite_011_skill01;des_fairy_elite_011_skill02	solution_fairy_elite_011_skill01;solution_fairy_elite_011_skill02	monster37100048,0.6,145
43	1022	des_fairy_elite_011	name_fairy_039	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1	name_fairy_elite_011_skill01;name_fairy_elite_011_skill02	des_fairy_elite_011_skill01;des_fairy_elite_011_skill02	solution_fairy_elite_011_skill01;solution_fairy_elite_011_skill02	monster37100048,0.6,145
44	1023	des_fairy_elite_011	name_fairy_039	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1;item2430000000003,1	name_fairy_elite_011_skill01;name_fairy_elite_011_skill02	des_fairy_elite_011_skill01;des_fairy_elite_011_skill02	solution_fairy_elite_011_skill01;solution_fairy_elite_011_skill02	monster37100048,0.6,145
45	1024	des_fairy_elite_020	name_b003	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1	name_fairy_elite_020_skill01;name_fairy_elite_020_skill02	des_fairy_elite_020_skill01;des_fairy_elite_020_skill02	solution_fairy_elite_020_skill01;solution_fairy_elite_020_skill02	monster37100060,0.6,145
46	1025	des_fairy_elite_020	name_b003	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1	name_fairy_elite_020_skill01;name_fairy_elite_020_skill02	des_fairy_elite_020_skill01;des_fairy_elite_020_skill02	solution_fairy_elite_020_skill01;solution_fairy_elite_020_skill02	monster37100060,0.6,145
47	1026	des_fairy_elite_020	name_b003	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1;item2430000000003,1	name_fairy_elite_020_skill01;name_fairy_elite_020_skill02	des_fairy_elite_020_skill01;des_fairy_elite_020_skill02	solution_fairy_elite_020_skill01;solution_fairy_elite_020_skill02	monster37100060,0.6,145
48	1027	des_fairy_elite_012	name_fairy_040	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1;item2430000000003,1	name_fairy_elite_012_skill01;name_fairy_elite_012_skill02	des_fairy_elite_012_skill01;des_fairy_elite_012_skill02	solution_fairy_elite_012_skill01;solution_fairy_elite_012_skill02	monster37100080,0.6,145
49	1028	des_fairy_elite_012	name_fairy_040	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1;item2430000000003,1	name_fairy_elite_012_skill01;name_fairy_elite_012_skill02	des_fairy_elite_012_skill01;des_fairy_elite_012_skill02	solution_fairy_elite_012_skill01;solution_fairy_elite_012_skill02	monster37100080,0.6,145
50	1029	des_fairy_elite_021	name_b010	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1;item2430000000003,1	name_fairy_elite_021_skill01;name_fairy_elite_021_skill02	des_fairy_elite_021_skill01;des_fairy_elite_021_skill02	solution_fairy_elite_021_skill01;solution_fairy_elite_021_skill02	monster37100072,0.6,145
51	1030	des_fairy_elite_021	name_b010	FairyDegreeName2	bj_picture02	item1051,1;item1050,1;item2420000000001,1;item2410000000013,1;item2430000000003,1	name_fairy_elite_021_skill01;name_fairy_elite_021_skill02	des_fairy_elite_021_skill01;des_fairy_elite_021_skill02	solution_fairy_elite_021_skill01;solution_fairy_elite_021_skill02	monster37100072,0.6,145
