ID	兑换物类型	兑换物ItemID	兑换物数量	奖励物品	资助奖励
39	3	item144200000035	9	item4401,660;item144600000001,7	item4401,660;item144600000001,7
40	3	item144200000011	4	item4401,300;item1016,7920	item4401,300;item1016,5280
41	3	item144200000012	3	item4401,380;item1016,7695	item4401,380;item1016,5130
42	3	item144200000013	2	item4401,440;item1016,4860	item4401,440;item1016,3240
43	3	item144200000014	2	item4401,520;item1016,6300	item4401,520;item1016,4200
44	3	item144200000011	10	item4401,300;item144600000001,2	item4401,300;item144600000001,2
45	3	item144200000012	5	item4401,380;item144600000001,1	item4401,380;item144600000001,1
46	3	item144200000013	10	item4401,440;item144600000001,4	item4401,440;item144600000001,4
47	3	item144200000014	5	item4401,520;item144600000001,3	item4401,520;item144600000001,3
48	1	item101020503001	1	item4401,100;item144600000002,1	item4401,100;item144600000002,1
49	1	item101020503002	1	item4401,100;item144600000002,1	item4401,100;item144600000002,1
50	1	item101020503003	1	item4401,100;item144600000002,1	item4401,100;item144600000002,1
51	1	item101020503021	1	item4401,100;item144600000002,1	item4401,100;item144600000002,1
52	1	item101020503022	2	item4401,100;item144600000002,2	item4401,100;item144600000002,2
53	1	item101020503023	1	item4401,100;item144600000002,1	item4401,100;item144600000002,1
54	1	item101020503024	1	item4401,100;item144600000002,5	item4401,100;item144600000002,5
55	1	item101020503025	1	item4401,100;item144600000002,5	item4401,100;item144600000002,5
56	1	item101020503026	1	item4401,100;item144600000002,5	item4401,100;item144600000002,5
57	1	item101020503027	1	item4401,100;item144600000002,5	item4401,100;item144600000002,5
58	1	item101020503028	1	item4401,100;item144600000002,5	item4401,100;item144600000002,5
59	1	item101020503029	1	item4401,100;item144600000002,5	item4401,100;item144600000002,5
60	1	item101020503030	1	item4401,100;item144600000002,5	item4401,100;item144600000002,5
61	1	item101020503031	1	item4401,100;item144600000002,5	item4401,100;item144600000002,5
62	2	item144300000001	3	item4401,80;item144600000001,3	item4401,80;item144600000001,3
63	2	item144300000003	5	item4401,80;item144600000001,8	item4401,80;item144600000001,8
64	2	item144300007022	2	item4401,80;item144600000002,1	item4401,80;item144600000002,1
65	2	item144300007023	2	item4401,80;item144600000002,2	item4401,80;item144600000002,2
66	2	item144300000009	2	item4401,80;item144600000001,4	item4401,80;item144600000001,4
67	2	item144300000011	5	item4401,120;item144600000002,2	item4401,120;item144600000002,2
68	2	item144300000025	2	item4401,120;item144600000001,4	item4401,120;item144600000001,4
69	2	item144300000024	3	item4401,120;item144600000001,9	item4401,120;item144600000001,9
70	2	item144300000030	2	item4401,120;item144600000001,6	item4401,120;item144600000001,6
71	2	item144300000014	1	item4401,120;item144400000009,6	item4401,120;item144400000009,6
72	2	item144300000019	1	item4401,160;item144600000001,8	item4401,160;item144600000001,8
73	2	item144300000020	1	item4401,160;item144600000002,1	item4401,160;item144600000002,1
74	2	item144300000015	1	item4401,160;item144600000001,3	item4401,160;item144600000001,3
75	2	item144300000018	1	item4401,160;item144600000001,6	item4401,160;item144600000001,6
76	2	item144300000002	1	item4401,160;item144600000001,2	item4401,160;item144600000001,2
77	2	item144300000017	1	item4401,220;item144600000001,6	item4401,220;item144600000001,6
78	2	item144300000016	1	item4401,220;item144600000001,4	item4401,220;item144600000001,4
79	2	item144300000010	1	item4401,220;item144400000009,6	item4401,220;item144400000009,6
80	2	item144300000021	1	item4401,220;item144600000002,2	item4401,220;item144600000002,2
81	2	item144300000022	1	item4401,280;item144600000001,4	item4401,280;item144600000001,4
82	2	item144300000012	1	item4401,280;item144600000001,12	item4401,280;item144600000001,12
83	2	item144300000013	1	item4401,280;item144600000001,12	item4401,280;item144600000001,12
84	1	item172000001042	5	item4401,300;item144600000001,1	item4401,300;item144600000001,1
85	1	item172000001052	5	item4401,300;item144600000001,2	item4401,300;item144600000001,2
86	1	item172000001062	5	item4401,300;item144600000001,2	item4401,300;item144600000001,2
87	1	item172000001072	5	item4401,300;item144600000001,2	item4401,300;item144600000001,2
88	1	item172000005012	5	item4401,320;item144600000001,5	item4401,320;item144600000001,5
89	1	item172000005022	5	item4401,320;item144600000001,6	item4401,320;item144600000001,6
90	1	item172000005032	5	item4401,320;item144600000001,5	item4401,320;item144600000001,5
91	1	item172000005042	5	item4401,340;item144600000001,5	item4401,340;item144600000001,5
92	1	item172000005052	5	item4401,340;item144600000001,4	item4401,340;item144600000001,4
93	1	item172000005062	5	item4401,340;item144600000001,5	item4401,340;item144600000001,5
94	1	item172000005072	5	item4401,360;item144600000001,4	item4401,360;item144600000001,4
95	1	item172000005082	5	item4401,360;item144600000001,4	item4401,360;item144600000001,4
96	1	item172000005092	5	item4401,380;item144600000001,4	item4401,380;item144600000001,4
97	1	item172000005102	5	item4401,420;item144600000001,4	item4401,420;item144600000001,4
