目标ID	归属大类	大类文本	大类图片	大类解锁等级	大类背景图	子标签	子标签文本	归属难度	难度文本	难度解锁等级	目标名称	目标图标	图标类型	坐标点	推荐等级	奖励道具	目标任务1
24	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_03	40	TargetName_24	n022_portrait01	1	240,167	10	item5001,400;item1014,40;item161000000002,1	2010124
25	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_03	40	TargetName_25	n042_portrait01	1	370,170	10	item5001,450;item1014,40;item107999900003,2	2010125
26	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_03	40	TargetName_26	n065_portrait01	1	500,130	10	item5001,450;item1014,40;item107200051001,5	2010126
27	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_03	40	TargetName_27	n019_portrait01	1	500,-15	10	item5001,500;item1014,40;item8101020504901,5	2010127
28	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_03	40	TargetName_28	n036_portrait01	1	360,0	10	item5001,500;item1014,40;item8119100000002,1	2010128
29	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_03	40	TargetName_29	n058_portrait01	1	220,18	10	item5001,550;item1014,40;item8100000000012,6	2010129
30	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_03	40	TargetName_30	n066_portrait01	1	100,-15	10	item5001,550;item1014,40;item100000000000,2	2010130
31	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_03	40	TargetName_31	n032_portrait01	1	110,-150	10	item5001,600;item1014,40;item101040101016,2	2010131
32	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_03	40	TargetName_32	n061_portrait01	1	250,-168	10	item5001,600;item1014,40;item107300000002,5	2010132
33	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_03	40	TargetName_33	n062_portrait01	1	400,-138	10	item5001,700;item1014,40;item8103010121005,5	2010133,2010203
34	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_04	50	TargetName_34	n007_portrait01	1	110,130	10	item5001,700;item1014,50;item8103010111017,50	2010134
35	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_04	50	TargetName_35	n015_portrait01	1	240,167	10	item5001,800;item1014,50;item161000000002,2	2010135
36	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_04	50	TargetName_36	n028_portrait01	1	370,170	10	item5001,800;item1014,50;item107999900003,5	2010136
37	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_04	50	TargetName_37	n030_portrait01	1	500,130	10	item5001,900;item1014,50;item107200052001,5	2010137
38	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_04	50	TargetName_38	n042_portrait01	1	500,-15	10	item5001,900;item1014,50;item8101020504900,1	2010138
39	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_04	50	TargetName_39	n052_portrait01	1	360,0	10	item5001,1000;item1014,50;item8119100000002,2	2010139
40	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_04	50	TargetName_40	n054_portrait01	1	220,18	10	item5001,1000;item1014,50;item8100000000012,10	2010140
41	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_04	50	TargetName_41	n058_portrait01	1	100,-15	10	item5001,1100;item1014,50;item100000000000,5	2010141
42	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_04	50	TargetName_42	n900_portrait01	1	110,-150	10	item5001,1100;item1014,50;item101040101016,3	2010142
43	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_04	50	TargetName_43	n906_portrait01	1	250,-168	10	item5001,1200;item1014,50;item107300000002,10	2010143
44	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_04	50	TargetName_44	n065_portrait01	1	400,-138	10	item5001,1200;item1014,50;item8103010121005,10	2010144,2010204
177	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_05	60	TargetName_177	n001_portrait01	1	110,130	10	item5001,1250;item1014,60;item8103010111018,5	2010145
178	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_05	60	TargetName_178	n040_portrait01	1	240,167	10	item5001,1250;item1014,60;item161000000002,2	2010146
179	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_05	60	TargetName_179	n055_portrait01	1	370,170	10	item5001,1300;item1014,60;item141000000210,1	2010147
180	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_05	60	TargetName_180	n029_portrait01	1	500,130	10	item5001,1300;item1014,60;item8101020504900,2	2010148
181	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_05	60	TargetName_181	n054_portrait01	1	500,-15	10	item5001,1350;item1014,60;item8119100000002,2	2010149
182	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_05	60	TargetName_182	n020_portrait01	1	360,0	10	item5001,1350;item1014,60;item107200053001,5	2010150
183	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_05	60	TargetName_183	n060_portrait01	1	220,18	10	item5001,1400;item1014,60;item8100000000012,12	2010151
184	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_05	60	TargetName_184	n053_portrait01	1	100,-15	10	item5001,1400;item1014,60;item100000000000,6	2010152
185	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_05	60	TargetName_185	n033_portrait01	1	110,-150	10	item5001,1450;item1014,60;item101040101016,4	2010153
186	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_05	60	TargetName_186	n057_portrait01	1	250,-168	10	item5001,1450;item1014,60;item107300000002,12	2010154
187	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_05	60	TargetName_187	n018_portrait01	1	400,-138	10	item5001,1500;item1014,60;item8103010121005,12	2010155,2010205
230	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		6	HeroRoadTargeLevel_06	60	TargetName_230	p018_portrait01	1	110,130	10	item5001,1500;item1014,70;item8103010111018,7	2010156
231	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		6	HeroRoadTargeLevel_06	60	TargetName_231	n041_portrait03	1	240,167	10	item5001,1550;item1014,70;item161000000002,3	2010157
232	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		6	HeroRoadTargeLevel_06	60	TargetName_232	n050_portrait01	1	370,170	10	item5001,1550;item1014,70;item171000101021,40	2010158
233	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		6	HeroRoadTargeLevel_06	60	TargetName_233	n902_portrait01	1	500,130	10	item5001,1600;item1014,70;item8119100000002,3	2010159
234	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		6	HeroRoadTargeLevel_06	60	TargetName_234	p008_portrait01	1	500,-15	10	item5001,1600;item1014,70;item171000101001,80	2010160
235	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		6	HeroRoadTargeLevel_06	60	TargetName_235	p012_portrait02	1	360,0	10	item5001,1650;item1014,70;item107200053001,8	2010161
236	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		6	HeroRoadTargeLevel_06	60	TargetName_236	soldier901_portrait01	1	220,18	10	item5001,1650;item1014,70;item8100000000012,18	2010162
237	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		6	HeroRoadTargeLevel_06	60	TargetName_237	soldier902_portrait01	1	100,-15	10	item5001,1700;item1014,70;item100000000000,8	2010163
238	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		6	HeroRoadTargeLevel_06	60	TargetName_238	soldier903_portrait01	1	110,-150	10	item5001,1700;item1014,70;item101040101016,5	2010164
239	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		6	HeroRoadTargeLevel_06	60	TargetName_239	soldier904_portrait01	1	250,-168	10	item5001,1750;item1014,70;item107300000002,18	2010165
240	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		6	HeroRoadTargeLevel_06	60	TargetName_240	soldier905_portrait01	1	400,-138	10	item5001,1750;item1014,70;item8103010121005,15	2010166,2010206
241	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		7	HeroRoadTargeLevel_07	60	TargetName_241	n056_portrait01	1	110,130	10	item5001,1800;item1014,80;item8103010111018,8	2010167
242	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		7	HeroRoadTargeLevel_07	60	TargetName_242	n042_portrait01	1	285,168	10	item5001,1800;item1014,80;item161000000002,4	2010168
243	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		7	HeroRoadTargeLevel_07	60	TargetName_243	r012_portrait01	1	440,150	10	item5001,1850;item1014,80;item171000101021,50	2010169
244	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		7	HeroRoadTargeLevel_07	60	TargetName_244	n034_portrait01	1	540,46	10	item5001,1850;item1014,80;item8119100000002,4	2010170
245	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		7	HeroRoadTargeLevel_07	60	TargetName_245	n040_portrait01	1	440,-20	10	item5001,1900;item1014,80;item171000101001,100	2010171
246	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		7	HeroRoadTargeLevel_07	60	TargetName_246	n059_portrait01	1	275,10	10	item5001,1900;item1014,80;item107200053001,10	2010172
247	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		7	HeroRoadTargeLevel_07	60	TargetName_247	n060_portrait01	1	100,-15	10	item5001,1950;item1014,80;item8100000000012,24	2010173
248	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		7	HeroRoadTargeLevel_07	60	TargetName_248	n027_portrait01	1	110,-150	10	item5001,1950;item1014,80;item100000000000,10	2010174
249	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		7	HeroRoadTargeLevel_07	60	TargetName_249	m923_portrait01	1	250,-168	10	item5001,2000;item1014,80;item101040101016,6	2010175
250	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		7	HeroRoadTargeLevel_08	60	TargetName_250	m050_portrait01	1	400,-138	10	item5001,2000;item1014,80;item107300000002,24	2010176,2010207
251	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		8	HeroRoadTargeLevel_08	60	TargetName_251	m912_portrait01	1	110,130	10	item5001,2050;item1014,90;item8103010111018,9	2010177
252	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		8	HeroRoadTargeLevel_08	60	TargetName_252	b001_portrait01	1	285,168	10	item5001,2050;item1014,90;item161000000002,5	2010178
253	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		8	HeroRoadTargeLevel_08	60	TargetName_253	b008_portrait01	1	440,150	10	item5001,2100;item1014,90;item171000101021,60	2010179
254	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		8	HeroRoadTargeLevel_08	60	TargetName_254	n052_portrait01	1	540,46	10	item5001,2100;item1014,90;item8119100000002,5	2010180
255	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		8	HeroRoadTargeLevel_08	60	TargetName_255	n050_portrait01	1	440,-20	10	item5001,2150;item1014,90;item171000101001,120	2010181
256	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		8	HeroRoadTargeLevel_08	60	TargetName_256	n059_portrait01	1	275,10	10	item5001,2150;item1014,90;item107200053001,12	2010182
257	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		8	HeroRoadTargeLevel_08	60	TargetName_257	n069_portrait01	1	100,-15	10	item5001,2200;item1014,90;item8100000000012,30	2010183
258	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		8	HeroRoadTargeLevel_08	60	TargetName_258	n032_portrait01	1	110,-150	10	item5001,2200;item1014,90;item100000000000,12	2010184
259	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		8	HeroRoadTargeLevel_08	60	TargetName_259	n904_portrait01	1	250,-168	10	item5001,2250;item1014,90;item101040101016,7	2010185
260	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		8	HeroRoadTargeLevel_08	60	TargetName_260	b902_portrait01	1	400,-138	10	item5001,2250;item1014,90;item107300000003,10	2010186,2010208
261	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		9	HeroRoadTargeLevel_09	60	TargetName_261	b004_portrait03	1	110,130	10	item5001,2300;item1014,100;item8103010111018,10	2010187
262	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		9	HeroRoadTargeLevel_09	60	TargetName_262	b003_portrait01	1	285,168	10	item5001,2300;item1014,100;item161000000002,6	2010188
263	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		9	HeroRoadTargeLevel_09	60	TargetName_263	b001_portrait01	1	440,150	10	item5001,2350;item1014,100;item171000101021,70	2010189
264	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		9	HeroRoadTargeLevel_09	60	TargetName_264	b012_portrait01	1	540,46	10	item5001,2350;item1014,100;item8119100000002,6	2010190
265	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		9	HeroRoadTargeLevel_09	60	TargetName_265	m925_portrait01	1	440,-20	10	item5001,2400;item1014,100;item171000101001,140	2010191
266	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		9	HeroRoadTargeLevel_09	60	TargetName_266	p012_portrait02	1	275,10	10	item5001,2400;item1014,100;item107200053001,14	2010192
267	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		9	HeroRoadTargeLevel_09	60	TargetName_267	p013_portrait02	1	100,-15	10	item5001,2450;item1014,100;item8100000000012,36	2010193
268	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		9	HeroRoadTargeLevel_09	60	TargetName_268	m061_portrait01	1	110,-150	10	item5001,2450;item1014,100;item100000000000,14	2010194
269	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		9	HeroRoadTargeLevel_09	60	TargetName_269	b026_portrait01	1	250,-168	10	item5001,2500;item1014,100;item101040101016,8	2010195
270	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		9	HeroRoadTargeLevel_09	60	TargetName_270	b028_portrait01	1	400,-138	10	item5001,2500;item1014,100;item107300000003,15	2010196,2010209
271	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		10	HeroRoadTargeLevel_10	60	TargetName_271	m042_portrait04	1	110,130	10	item5001,2550;item1014,120;item8103010111018,15	2010300
272	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		10	HeroRoadTargeLevel_10	60	TargetName_272	m907_portrait04	1	285,168	10	item5001,2550;item1014,120;item161000000002,10	2010301
273	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		10	HeroRoadTargeLevel_10	60	TargetName_273	m906_portrait01	1	440,150	10	item5001,2600;item1014,120;item171000101021,100	2010302
274	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		10	HeroRoadTargeLevel_10	60	TargetName_274	m905_portrait03	1	540,46	10	item5001,2600;item1014,120;item8119100000002,10	2010303
275	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		10	HeroRoadTargeLevel_10	60	TargetName_275	p010_portrait02	1	440,-20	10	item5001,2650;item1014,120;item171000101001,200	2010304
276	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		10	HeroRoadTargeLevel_10	60	TargetName_276	p011_portrait02	1	275,10	10	item5001,2650;item1014,120;item107200053001,20	2010305
277	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		10	HeroRoadTargeLevel_10	60	TargetName_277	p003_portrait02	1	100,-15	10	item5001,2700;item1014,120;item8100000000012,42	2010306
278	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		10	HeroRoadTargeLevel_10	60	TargetName_278	p013_portrait02	1	110,-150	10	item5001,2700;item1014,120;item100000000000,20	2010307
279	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		10	HeroRoadTargeLevel_10	60	TargetName_279	p009_portrait01	1	250,-168	10	item5001,2750;item1014,120;item101040101016,20	2010308
280	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		10	HeroRoadTargeLevel_10	60	TargetName_280	p007_portrait01	1	400,-138	10	item5001,2750;item1014,120;item107300000003,30	2010309,2010210
45	2	HeroRoadType_02	btn_hr_03	1	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_11	1	TargetName_45	n007_portrait01	1	110,130	10	item5001,10;item1014,20;item8101020505330,4	2020101,2020102
46	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_11	1	TargetName_46	n036_portrait01	1	240,167	10	item5001,10;item1014,20;item1013,400	2020201,2020205,2020209
47	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_11	1	TargetName_47	p005_portrait01	1	370,170	10	item5001,10;item1014,20;item1000,50000	2020301,2020401
48	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_11	1	TargetName_48	n029_portrait01	1	500,130	10	item5001,10;item1014,20;item8106210100012,1	2020501
49	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_11	1	TargetName_49	m001_portrait01	1	500,-15	10	item5001,10;item1014,20;item100200000101,1	2020601,2020701
50	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_11	1	TargetName_50	n005_portrait01	1	360,0	10	item5001,10;item1014,20;item8100000000012,1	2020801,2020901
51	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_11	1	TargetName_51	n028_portrait01	1	220,18	10	item5001,10;item1014,20;item1000,50000	2021001
52	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_11	1	TargetName_52	item_170000101030	1	100,-15	10	item5001,10;item1014,20;item8170000120010,20	2042201,2042301
53	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_11	1	TargetName_53	n007_portrait01	1	110,-150	10	item5001,10;item1014,20;item8106210200001,2	2021301,2021302
54	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_11	1	TargetName_54	n021_portrait01	1	250,-168	10	item5001,10;item1014,20;item8119100000000,2	2022001
55	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_11	1	TargetName_55	n034_portrait01	1	400,-138	10	item5001,10;item1014,20;item1003,50	1038001,2022101,2022301
56	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_12	30	TargetName_56	n901_portrait01	1	110,130	20	item5001,20;item1014,30;item8101020505330,8	2020103
57	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_12	30	TargetName_57	n017_portrait01	1	240,167	20	item5001,20;item1014,30;item1013,600	2020202,2020206,2020210
58	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_12	30	TargetName_58	n029_portrait01	1	370,170	20	item5001,20;item1014,30;item8106210200001,2	2020503,2020505
59	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_12	30	TargetName_59	m024_portrait01	1	500,130	20	item5001,20;item1014,30;item100200000301,2	2020602,2020702
60	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_12	30	TargetName_60	n008_portrait01	1	500,-15	20	item5001,20;item1014,30;item8100000000012,1	2020902
61	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_12	30	TargetName_61	n028_portrait01	1	360,0	20	item5001,20;item1014,30;item1013,200	2021101
62	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_12	30	TargetName_62	n902_portrait01	1	220,18	20	item5001,20;item1014,30;item8119100000000,2	2021303
63	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_12	30	TargetName_63	item_170000105010	1	100,-15	20	item5001,20;item1014,30;item8106210200001,2	2042401,2042501,2042601
64	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_12	30	TargetName_64	n042_portrait01	1	110,-150	20	item5001,20;item1014,30;item161000000001,1	2021701
65	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_12	30	TargetName_65	p001_portrait01	1	250,-168	20	item5001,20;item1014,30;item8119100000001,1	2022004,2022005
66	2	HeroRoadType_02	btn_hr_03	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_12	30	TargetName_66	n034_portrait01	1	400,-138	20	item5001,20;item1014,30;item109000000001,1	2022102,2022201,2022401
