属性库ID	属性ID	属性集
10403	42	0,32,0,0;1,35,0,0;2,41,0,0;3,55,0,0;4,63,0,0;5,74,0,0;6,102,0,0;7,125,0,0;8,150,0,0;9,192,0,0;10,223,0,0;11,257,0,0;12,313,0,0;13,0,0,0;14,0,0,0;15,0,0,0;
10501	40	0,162,0,0;1,176,0,0;2,204,0,0;3,274,0,0;4,316,0,0;5,372,0,0;6,513,0,0;7,626,0,0;8,753,0,0;9,964,0,0;10,1119,0,0;11,1288,0,0;12,1570,0,0;13,1781,0,0;14,2006,0,0;15,2358,0,0;
10502	41	0,162,0,0;1,176,0,0;2,204,0,0;3,274,0,0;4,316,0,0;5,372,0,0;6,513,0,0;7,626,0,0;8,753,0,0;9,964,0,0;10,1119,0,0;11,1288,0,0;12,1570,0,0;13,1781,0,0;14,2006,0,0;15,2358,0,0;
10503	42	0,162,0,0;1,176,0,0;2,204,0,0;3,274,0,0;4,316,0,0;5,372,0,0;6,513,0,0;7,626,0,0;8,753,0,0;9,964,0,0;10,1119,0,0;11,1288,0,0;12,1570,0,0;13,1781,0,0;14,2006,0,0;15,2358,0,0;
20201	40	0,11,11,1;1,16,33,1;2,16,33,1;3,16,33,1;4,16,33,1;5,16,33,1;6,16,33,1;7,16,33,1;8,16,33,1;9,16,33,1;10,16,33,1;11,16,33,1;12,16,33,1;13,0,0,0;14,0,0,0;15,0,0,0;
20202	41	0,11,11,1;1,16,33,1;2,16,33,1;3,16,33,1;4,16,33,1;5,16,33,1;6,16,33,1;7,16,33,1;8,16,33,1;9,16,33,1;10,16,33,1;11,16,33,1;12,16,33,1;13,0,0,0;14,0,0,0;15,0,0,0;
20203	42	0,11,11,1;1,16,33,1;2,16,33,1;3,16,33,1;4,16,33,1;5,16,33,1;6,16,33,1;7,16,33,1;8,16,33,1;9,16,33,1;10,16,33,1;11,16,33,1;12,16,33,1;13,0,0,0;14,0,0,0;15,0,0,0;
20204	3	0,7,7,1;1,9,20,1;2,9,20,1;3,9,20,1;4,9,20,1;5,9,20,1;6,9,20,1;7,9,20,1;8,9,20,1;9,9,20,1;10,9,20,1;11,9,20,1;12,9,20,1;13,0,0,0;14,0,0,0;15,0,0,0;
20205	1	0,70,70,1;1,96,194,1;2,96,194,1;3,96,194,1;4,96,194,1;5,96,194,1;6,96,194,1;7,96,194,1;8,96,194,1;9,96,194,1;10,96,194,1;11,96,194,1;12,96,194,1;13,0,0,0;14,0,0,0;15,0,0,0;
20206	4	0,7,7,1;1,9,20,1;2,9,20,1;3,9,20,1;4,9,20,1;5,9,20,1;6,9,20,1;7,9,20,1;8,9,20,1;9,9,20,1;10,9,20,1;11,9,20,1;12,9,20,1;13,0,0,0;14,0,0,0;15,0,0,0;
20207	21	0,24,23,1;1,32,65,1;2,32,65,1;3,32,65,1;4,32,65,1;5,32,65,1;6,32,65,1;7,32,65,1;8,32,65,1;9,32,65,1;10,32,65,1;11,32,65,1;12,32,65,1;13,0,0,0;14,0,0,0;15,0,0,0;
20208	22	0,24,23,1;1,32,65,1;2,32,65,1;3,32,65,1;4,32,65,1;5,32,65,1;6,32,65,1;7,32,65,1;8,32,65,1;9,32,65,1;10,32,65,1;11,32,65,1;12,32,65,1;13,0,0,0;14,0,0,0;15,0,0,0;
20209	23	0,24,23,1;1,32,65,1;2,32,65,1;3,32,65,1;4,32,65,1;5,32,65,1;6,32,65,1;7,32,65,1;8,32,65,1;9,32,65,1;10,32,65,1;11,32,65,1;12,32,65,1;13,0,0,0;14,0,0,0;15,0,0,0;
20210	24	0,24,23,1;1,32,65,1;2,32,65,1;3,32,65,1;4,32,65,1;5,32,65,1;6,32,65,1;7,32,65,1;8,32,65,1;9,32,65,1;10,32,65,1;11,32,65,1;12,32,65,1;13,0,0,0;14,0,0,0;15,0,0,0;
20211	25	0,24,23,1;1,32,65,1;2,32,65,1;3,32,65,1;4,32,65,1;5,32,65,1;6,32,65,1;7,32,65,1;8,32,65,1;9,32,65,1;10,32,65,1;11,32,65,1;12,32,65,1;13,0,0,0;14,0,0,0;15,0,0,0;
20212	26	0,24,23,1;1,32,65,1;2,32,65,1;3,32,65,1;4,32,65,1;5,32,65,1;6,32,65,1;7,32,65,1;8,32,65,1;9,32,65,1;10,32,65,1;11,32,65,1;12,32,65,1;13,0,0,0;14,0,0,0;15,0,0,0;
20301	40	0,13,25,1;1,28,57,1;2,28,57,1;3,28,57,1;4,28,57,1;5,28,57,1;6,28,57,1;7,28,57,1;8,28,57,1;9,28,57,1;10,28,57,1;11,28,57,1;12,28,57,1;13,0,0,0;14,0,0,0;15,0,0,0;
20302	41	0,13,25,1;1,28,57,1;2,28,57,1;3,28,57,1;4,28,57,1;5,28,57,1;6,28,57,1;7,28,57,1;8,28,57,1;9,28,57,1;10,28,57,1;11,28,57,1;12,28,57,1;13,0,0,0;14,0,0,0;15,0,0,0;
20303	42	0,13,25,1;1,28,57,1;2,28,57,1;3,28,57,1;4,28,57,1;5,28,57,1;6,28,57,1;7,28,57,1;8,28,57,1;9,28,57,1;10,28,57,1;11,28,57,1;12,28,57,1;13,0,0,0;14,0,0,0;15,0,0,0;
20304	3	0,8,15,1;1,17,34,1;2,17,34,1;3,17,34,1;4,17,34,1;5,17,34,1;6,17,34,1;7,17,34,1;8,17,34,1;9,17,34,1;10,17,34,1;11,17,34,1;12,17,34,1;13,0,0,0;14,0,0,0;15,0,0,0;
20305	1	0,80,150,1;1,170,340,1;2,170,340,1;3,170,340,1;4,170,340,1;5,170,340,1;6,170,340,1;7,170,340,1;8,170,340,1;9,170,340,1;10,170,340,1;11,170,340,1;12,170,340,1;13,0,0,0;14,0,0,0;15,0,0,0;
20306	4	0,8,15,1;1,17,34,1;2,17,34,1;3,17,34,1;4,17,34,1;5,17,34,1;6,17,34,1;7,17,34,1;8,17,34,1;9,17,34,1;10,17,34,1;11,17,34,1;12,17,34,1;13,0,0,0;14,0,0,0;15,0,0,0;
20307	21	0,27,50,1;1,56,114,1;2,56,114,1;3,56,114,1;4,56,114,1;5,56,114,1;6,56,114,1;7,56,114,1;8,56,114,1;9,56,114,1;10,56,114,1;11,56,114,1;12,56,114,1;13,0,0,0;14,0,0,0;15,0,0,0;
20308	22	0,27,50,1;1,56,114,1;2,56,114,1;3,56,114,1;4,56,114,1;5,56,114,1;6,56,114,1;7,56,114,1;8,56,114,1;9,56,114,1;10,56,114,1;11,56,114,1;12,56,114,1;13,0,0,0;14,0,0,0;15,0,0,0;
20309	23	0,27,50,1;1,56,114,1;2,56,114,1;3,56,114,1;4,56,114,1;5,56,114,1;6,56,114,1;7,56,114,1;8,56,114,1;9,56,114,1;10,56,114,1;11,56,114,1;12,56,114,1;13,0,0,0;14,0,0,0;15,0,0,0;
20310	24	0,27,50,1;1,56,114,1;2,56,114,1;3,56,114,1;4,56,114,1;5,56,114,1;6,56,114,1;7,56,114,1;8,56,114,1;9,56,114,1;10,56,114,1;11,56,114,1;12,56,114,1;13,0,0,0;14,0,0,0;15,0,0,0;
20311	25	0,27,50,1;1,56,114,1;2,56,114,1;3,56,114,1;4,56,114,1;5,56,114,1;6,56,114,1;7,56,114,1;8,56,114,1;9,56,114,1;10,56,114,1;11,56,114,1;12,56,114,1;13,0,0,0;14,0,0,0;15,0,0,0;
20312	26	0,27,50,1;1,56,114,1;2,56,114,1;3,56,114,1;4,56,114,1;5,56,114,1;6,56,114,1;7,56,114,1;8,56,114,1;9,56,114,1;10,56,114,1;11,56,114,1;12,56,114,1;13,0,0,0;14,0,0,0;15,0,0,0;
20401	40	0,27,27,1;1,40,82,1;2,40,82,1;3,40,82,1;4,40,82,1;5,40,82,1;6,40,82,1;7,40,82,1;8,40,82,1;9,40,82,1;10,40,82,1;11,40,82,1;12,40,82,1;13,0,0,0;14,0,0,0;15,0,0,0;
20402	41	0,27,27,1;1,40,82,1;2,40,82,1;3,40,82,1;4,40,82,1;5,40,82,1;6,40,82,1;7,40,82,1;8,40,82,1;9,40,82,1;10,40,82,1;11,40,82,1;12,40,82,1;13,0,0,0;14,0,0,0;15,0,0,0;
20403	42	0,27,27,1;1,40,82,1;2,40,82,1;3,40,82,1;4,40,82,1;5,40,82,1;6,40,82,1;7,40,82,1;8,40,82,1;9,40,82,1;10,40,82,1;11,40,82,1;12,40,82,1;13,0,0,0;14,0,0,0;15,0,0,0;
20404	3	0,17,16,1;1,24,49,1;2,24,49,1;3,24,49,1;4,24,49,1;5,24,49,1;6,24,49,1;7,24,49,1;8,24,49,1;9,24,49,1;10,24,49,1;11,24,49,1;12,24,49,1;13,0,0,0;14,0,0,0;15,0,0,0;
20405	1	0,170,160,1;1,243,487,1;2,243,487,1;3,243,487,1;4,243,487,1;5,243,487,1;6,243,487,1;7,243,487,1;8,243,487,1;9,243,487,1;10,243,487,1;11,243,487,1;12,243,487,1;13,0,0,0;14,0,0,0;15,0,0,0;
20406	4	0,17,16,1;1,24,49,1;2,24,49,1;3,24,49,1;4,24,49,1;5,24,49,1;6,24,49,1;7,24,49,1;8,24,49,1;9,24,49,1;10,24,49,1;11,24,49,1;12,24,49,1;13,0,0,0;14,0,0,0;15,0,0,0;
20407	21	0,57,53,1;1,81,162,1;2,81,162,1;3,81,162,1;4,81,162,1;5,81,162,1;6,81,162,1;7,81,162,1;8,81,162,1;9,81,162,1;10,81,162,1;11,81,162,1;12,81,162,1;13,0,0,0;14,0,0,0;15,0,0,0;
20408	22	0,57,53,1;1,81,162,1;2,81,162,1;3,81,162,1;4,81,162,1;5,81,162,1;6,81,162,1;7,81,162,1;8,81,162,1;9,81,162,1;10,81,162,1;11,81,162,1;12,81,162,1;13,0,0,0;14,0,0,0;15,0,0,0;
20409	23	0,57,53,1;1,81,162,1;2,81,162,1;3,81,162,1;4,81,162,1;5,81,162,1;6,81,162,1;7,81,162,1;8,81,162,1;9,81,162,1;10,81,162,1;11,81,162,1;12,81,162,1;13,0,0,0;14,0,0,0;15,0,0,0;
20410	24	0,57,53,1;1,81,162,1;2,81,162,1;3,81,162,1;4,81,162,1;5,81,162,1;6,81,162,1;7,81,162,1;8,81,162,1;9,81,162,1;10,81,162,1;11,81,162,1;12,81,162,1;13,0,0,0;14,0,0,0;15,0,0,0;
20411	25	0,57,53,1;1,81,162,1;2,81,162,1;3,81,162,1;4,81,162,1;5,81,162,1;6,81,162,1;7,81,162,1;8,81,162,1;9,81,162,1;10,81,162,1;11,81,162,1;12,81,162,1;13,0,0,0;14,0,0,0;15,0,0,0;
20412	26	0,57,53,1;1,81,162,1;2,81,162,1;3,81,162,1;4,81,162,1;5,81,162,1;6,81,162,1;7,81,162,1;8,81,162,1;9,81,162,1;10,81,162,1;11,81,162,1;12,81,162,1;13,0,0,0;14,0,0,0;15,0,0,0;
20501	40	0,181,180,1;1,203,406,1;2,203,406,1;3,203,406,1;4,203,406,1;5,203,406,1;6,203,406,1;7,203,406,1;8,203,406,1;9,203,406,1;10,203,406,1;11,203,406,1;12,203,406,1;13,203,406,1;14,203,406,1;15,203,406,1;
20502	41	0,181,180,1;1,203,406,1;2,203,406,1;3,203,406,1;4,203,406,1;5,203,406,1;6,203,406,1;7,203,406,1;8,203,406,1;9,203,406,1;10,203,406,1;11,203,406,1;12,203,406,1;13,203,406,1;14,203,406,1;15,203,406,1;
20503	42	0,181,180,1;1,203,406,1;2,203,406,1;3,203,406,1;4,203,406,1;5,203,406,1;6,203,406,1;7,203,406,1;8,203,406,1;9,203,406,1;10,203,406,1;11,203,406,1;12,203,406,1;13,203,406,1;14,203,406,1;15,203,406,1;
20504	3	0,109,108,1;1,121,244,1;2,121,244,1;3,121,244,1;4,121,244,1;5,121,244,1;6,121,244,1;7,121,244,1;8,121,244,1;9,121,244,1;10,121,244,1;11,121,244,1;12,121,244,1;13,121,244,1;14,121,244,1;15,121,244,1;
20505	1	0,1090,1080,1;1,1216,2434,1;2,1216,2434,1;3,1216,2434,1;4,1216,2434,1;5,1216,2434,1;6,1216,2434,1;7,1216,2434,1;8,1216,2434,1;9,1216,2434,1;10,1216,2434,1;11,1216,2434,1;12,1216,2434,1;13,1216,2434,1;14,1216,2434,1;15,1216,2434,1;
20506	4	0,109,108,1;1,121,244,1;2,121,244,1;3,121,244,1;4,121,244,1;5,121,244,1;6,121,244,1;7,121,244,1;8,121,244,1;9,121,244,1;10,121,244,1;11,121,244,1;12,121,244,1;13,121,244,1;14,121,244,1;15,121,244,1;
20507	21	0,364,360,1;1,405,812,1;2,405,812,1;3,405,812,1;4,405,812,1;5,405,812,1;6,405,812,1;7,405,812,1;8,405,812,1;9,405,812,1;10,405,812,1;11,405,812,1;12,405,812,1;13,405,812,1;14,405,812,1;15,405,812,1;
20508	22	0,364,360,1;1,405,812,1;2,405,812,1;3,405,812,1;4,405,812,1;5,405,812,1;6,405,812,1;7,405,812,1;8,405,812,1;9,405,812,1;10,405,812,1;11,405,812,1;12,405,812,1;13,405,812,1;14,405,812,1;15,405,812,1;
20509	23	0,364,360,1;1,405,812,1;2,405,812,1;3,405,812,1;4,405,812,1;5,405,812,1;6,405,812,1;7,405,812,1;8,405,812,1;9,405,812,1;10,405,812,1;11,405,812,1;12,405,812,1;13,405,812,1;14,405,812,1;15,405,812,1;
20510	24	0,364,360,1;1,405,812,1;2,405,812,1;3,405,812,1;4,405,812,1;5,405,812,1;6,405,812,1;7,405,812,1;8,405,812,1;9,405,812,1;10,405,812,1;11,405,812,1;12,405,812,1;13,405,812,1;14,405,812,1;15,405,812,1;
20511	25	0,364,360,1;1,405,812,1;2,405,812,1;3,405,812,1;4,405,812,1;5,405,812,1;6,405,812,1;7,405,812,1;8,405,812,1;9,405,812,1;10,405,812,1;11,405,812,1;12,405,812,1;13,405,812,1;14,405,812,1;15,405,812,1;
20512	26	0,364,360,1;1,405,812,1;2,405,812,1;3,405,812,1;4,405,812,1;5,405,812,1;6,405,812,1;7,405,812,1;8,405,812,1;9,405,812,1;10,405,812,1;11,405,812,1;12,405,812,1;13,405,812,1;14,405,812,1;15,405,812,1;
30401	40	0,21,37,1;1,32,114,1;2,32,114,1;3,32,114,1;4,32,114,1;5,32,114,1;6,32,114,1;7,32,114,1;8,32,114,1;9,32,114,1;10,32,114,1;11,32,114,1;12,32,114,1;13,0,0,0;14,0,0,0;15,0,0,0;
30402	41	0,21,37,1;1,32,114,1;2,32,114,1;3,32,114,1;4,32,114,1;5,32,114,1;6,32,114,1;7,32,114,1;8,32,114,1;9,32,114,1;10,32,114,1;11,32,114,1;12,32,114,1;13,0,0,0;14,0,0,0;15,0,0,0;
30403	42	0,21,37,1;1,32,114,1;2,32,114,1;3,32,114,1;4,32,114,1;5,32,114,1;6,32,114,1;7,32,114,1;8,32,114,1;9,32,114,1;10,32,114,1;11,32,114,1;12,32,114,1;13,0,0,0;14,0,0,0;15,0,0,0;
30404	3	0,13,22,1;1,19,68,1;2,19,68,1;3,19,68,1;4,19,68,1;5,19,68,1;6,19,68,1;7,19,68,1;8,19,68,1;9,19,68,1;10,19,68,1;11,19,68,1;12,19,68,1;13,0,0,0;14,0,0,0;15,0,0,0;
30405	1	0,136,224,1;1,194,681,1;2,194,681,1;3,194,681,1;4,194,681,1;5,194,681,1;6,194,681,1;7,194,681,1;8,194,681,1;9,194,681,1;10,194,681,1;11,194,681,1;12,194,681,1;13,0,0,0;14,0,0,0;15,0,0,0;
30406	4	0,13,22,1;1,19,68,1;2,19,68,1;3,19,68,1;4,19,68,1;5,19,68,1;6,19,68,1;7,19,68,1;8,19,68,1;9,19,68,1;10,19,68,1;11,19,68,1;12,19,68,1;13,0,0,0;14,0,0,0;15,0,0,0;
30407	21	0,45,74,1;1,64,226,1;2,64,226,1;3,64,226,1;4,64,226,1;5,64,226,1;6,64,226,1;7,64,226,1;8,64,226,1;9,64,226,1;10,64,226,1;11,64,226,1;12,64,226,1;13,0,0,0;14,0,0,0;15,0,0,0;
30408	22	0,45,74,1;1,64,226,1;2,64,226,1;3,64,226,1;4,64,226,1;5,64,226,1;6,64,226,1;7,64,226,1;8,64,226,1;9,64,226,1;10,64,226,1;11,64,226,1;12,64,226,1;13,0,0,0;14,0,0,0;15,0,0,0;
30409	23	0,45,74,1;1,64,226,1;2,64,226,1;3,64,226,1;4,64,226,1;5,64,226,1;6,64,226,1;7,64,226,1;8,64,226,1;9,64,226,1;10,64,226,1;11,64,226,1;12,64,226,1;13,0,0,0;14,0,0,0;15,0,0,0;
30410	24	0,45,74,1;1,64,226,1;2,64,226,1;3,64,226,1;4,64,226,1;5,64,226,1;6,64,226,1;7,64,226,1;8,64,226,1;9,64,226,1;10,64,226,1;11,64,226,1;12,64,226,1;13,0,0,0;14,0,0,0;15,0,0,0;
30411	25	0,45,74,1;1,64,226,1;2,64,226,1;3,64,226,1;4,64,226,1;5,64,226,1;6,64,226,1;7,64,226,1;8,64,226,1;9,64,226,1;10,64,226,1;11,64,226,1;12,64,226,1;13,0,0,0;14,0,0,0;15,0,0,0;
30412	26	0,45,74,1;1,64,226,1;2,64,226,1;3,64,226,1;4,64,226,1;5,64,226,1;6,64,226,1;7,64,226,1;8,64,226,1;9,64,226,1;10,64,226,1;11,64,226,1;12,64,226,1;13,0,0,0;14,0,0,0;15,0,0,0;
