ID		标签类型	拍卖类型	等待竞价时间	生命时长（开始竞价后）	货币类型	起拍竞价	每次竞价提升百分比	一口价	重置时间的节点	购买限制
131	item106210100020	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
132	item104000000001	2	1	300	3600	2	9000	1000	18000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
133	item104000000002	2	1	300	3600	2	24000	1000	48000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
134	item104000000003	2	1	300	3600	2	75000	1000	150000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
135	item104000000004	2	1	300	3600	2	10000	1000	20000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
136	item104000000005	2	1	300	3600	2	10000	1000	20000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
137	item104000000006	2	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
138	item104000000007	2	1	300	3600	2	5000	1000	10000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
139	item104000000008	2	1	300	7200	2	120000	1000	240000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
140	item104000000009	2	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
141	item104000000010	2	1	300	3600	2	5000	1000	10000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
142	item104000000011	2	1	300	3600	2	3600	1000	7200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
143	item104000000012	2	1	300	3600	2	16800	1000	33600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
144	item104000000013	2	1	300	3600	2	32000	1000	64000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
145	item8230000000117	2	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
146	item8230000000118	2	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
147	item8230000000119	2	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
148	item8230000000120	2	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
149	item8230000000105	2	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
150	item8230000000106	2	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
151	item8230000000109	2	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
152	item8230000000107	2	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
153	item8230000000108	2	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
154	item8230000000110	2	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
155	item8230000000205	2	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
156	item8230000000206	2	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
157	item8230000000209	2	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
158	item8230000000207	2	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
159	item8230000000208	2	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
160	item8230000000210	2	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
161	item8230000000111	2	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
162	item8230000000211	2	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
163	item200000800004	2	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
164	item8102020061003	2	1	300	7200	2	144000	1000	288000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
165	item8102020061004	2	1	300	7200	2	5000000	1000	10000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
166	item8102020061005	2	1	300	7200	2	500000	1000	1000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
167	item8102020061006	2	1	300	7200	2	800000	1000	1600000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
168	item101020501011	5	1	300	3600	2	30400	1000	60800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
169	item101020501012	5	1	300	7200	2	752000	1000	1504000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
170	item101020503011	5	1	300	7200	2	518400	1000	1036800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
171	item101020503012	5	1	300	7200	2	518400	1000	1036800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
172	item101020503013	5	1	300	7200	2	1024000	1000	2048000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
173	item8101020503013	5	1	300	7200	2	1024000	1000	2048000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
174	item101020507311	5	1	300	7200	2	518400	1000	1036800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
175	item101020503001	5	1	300	3600	2	8000	1000	16000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
176	item101020503002	5	1	300	3600	2	8000	1000	16000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
177	item101020503003	5	1	300	3600	2	8000	1000	16000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
178	item101020503004	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
179	item101020503005	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
180	item101020503021	5	1	300	3600	2	8000	1000	16000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
181	item101020503022	5	1	300	3600	2	8000	1000	16000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
182	item101020503023	5	1	300	3600	2	8000	1000	16000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
183	item101020503024	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
184	item101020503025	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
185	item101020503026	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
186	item101020503027	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
187	item101020503028	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
188	item101020503029	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
189	item101020503030	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
190	item101020503031	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
191	item101020503032	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
192	item101020503033	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
193	item101020503034	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
194	item101020503035	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
195	item101020503036	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
196	item101020503037	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
197	item101020503038	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
198	item101020503039	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
199	item101020503040	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
200	item101020503041	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
201	item101020503042	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
202	item101020503043	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
203	item101020503044	5	1	300	7200	2	1440000	1000	2880000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
204	item101020503045	5	1	300	7200	2	1440000	1000	2880000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
205	item101020503046	5	1	300	7200	2	1440000	1000	2880000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
206	item101020503047	5	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
207	item101020503048	5	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
208	item101020503049	5	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
209	item101020503050	5	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
210	item101020503051	5	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
211	item101020503052	5	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
212	item101020503053	5	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
213	item101020503054	5	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
214	item101020503055	5	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
215	item101020503056	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
216	item101020503057	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
217	item101020503062	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
218	item101020503101	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
219	item101020503102	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
220	item101020503103	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
221	item101020503104	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
222	item101020503105	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
223	item101020503106	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
224	item101020503107	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
225	item101020503108	5	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
226	item101020503109	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
227	item101020503110	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
228	item101020503111	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
229	item101020503112	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
230	item101020503113	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
231	item101020503114	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
232	item101020503115	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
233	item101020503116	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
234	item101020503117	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
235	item101020503118	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
