键值	数值
DuelScoreBattleFailureCurrency	48,60
DuelRankBattleVictoryCurrency	48,10
DuelRankBattleFailureCurrency	48,10
DuelRobotEnvoyBloodPercent	30
DuelRankBattleMatchExpandOne	30
DuelRankBattleMatchExpandTwo	60
DuelRankBattleMatchOvertime	100
DuelScoreProtection	200
DuelScoreProtectionTimes	2
DuelProtectionCard	item11001
DuelDropNum	1
DuelDropStarNum	1
DuelScoreProtectionLevel	801
DuelKingDropLevel	605
DuelScoreBattleTimesRetain	5
DuelRankBattleNoticeTime	1800
DuelTransferSkill	skill120015:1
HotelCompeteStone	item144420000001
HotelCompeteWood	item144420000002
HotelCompeteBreakTime	300
HotelCompeteRankShow	100
WishtreeSceneID	2
WishtreePosition	15.9,0.0,-17.5
WishingTime	3
WishingFacePosition	12.92,0.0,-20.84
DuelRobotParams	1,0,80;2,81,99;3,100,999
DuelRankBattleRobot	1,0,80;2,81,99;3,100,999
GuardTempleChallenge_limit	10
GuardTempleChallenge_limit2	9999
GuardTempleInitAdventureWeight	2000
GuardTempleInitBattleWeight	8000
GuardTempleAddWeightPer	200
GuardTempleStepAddWeightRatio	100
GuardTempleTransferDistance	5
GuardTempleChallenge_Open	2023-04-04-05:00:00
GuardTempleChallenge_Open2	2023-04-04-05:00:00
GuardTempleLibrary_Get	item1056
GuardTempleLibrary_Maxlevel	20
GuardTempleBattle_Getlevel	300
GuardTempleLibrary_GetPoint	200
