流水id	可捐献类型ID	显示类型	道具需求数量	展示道具	可捐献名字	可捐献圣能
74	102	2	1	item127000053206	ContributeItemTypeName02	1150
75	102	2	1	item127000053207	ContributeItemTypeName02	1150
76	102	2	1	item127000053104	ContributeItemTypeName02	1150
77	102	2	1	item127000053208	ContributeItemTypeName02	1150
78	102	2	1	item127000053304	ContributeItemTypeName02	1150
79	102	2	1	item127000053106	ContributeItemTypeName02	1150
80	102	2	1	item127000053210	ContributeItemTypeName02	1150
81	102	2	1	item127000053306	ContributeItemTypeName02	1150
82	102	2	1	item127000053308	ContributeItemTypeName02	1150
83	102	2	1	item127000053108	ContributeItemTypeName02	1150
84	102	2	1	item127000053213	ContributeItemTypeName02	1150
85	102	2	1	item127000053309	ContributeItemTypeName02	1150
86	102	2	1	item127000053310	ContributeItemTypeName02	1150
87	102	2	1	item127000053214	ContributeItemTypeName02	1150
88	103	2	1	item90000000146	ContributeItemTypeName03	128
89	103	2	1	item90000000147	ContributeItemTypeName03	192
90	103	2	1	item90000000148	ContributeItemTypeName03	192
91	103	2	1	item90000000199	ContributeItemTypeName03	256
92	103	2	1	item90000000149	ContributeItemTypeName03	160
93	103	2	1	item90000000150	ContributeItemTypeName03	240
94	103	2	1	item90000000151	ContributeItemTypeName03	240
95	103	2	1	item90000000200	ContributeItemTypeName03	320
96	104	2	5	item103015110302	ContributeItemTypeName04	210
97	104	2	7	item103015110303	ContributeItemTypeName04	210
98	104	2	3	item103015110305	ContributeItemTypeName04	210
99	104	2	1	item103015110408	ContributeItemTypeName04	288
100	104	2	2	item103015110409	ContributeItemTypeName04	288
101	104	2	2	item103015110415	ContributeItemTypeName04	252
102	104	2	3	item103015110416	ContributeItemTypeName04	252
103	105	2	1	item90000000159	ContributeItemTypeName05	200
104	105	2	1	item90000000160	ContributeItemTypeName05	300
105	105	2	1	item90000000161	ContributeItemTypeName05	400
106	105	2	1	item90000000162	ContributeItemTypeName05	500
107	105	2	1	item90000000163	ContributeItemTypeName05	300
108	105	2	1	item90000000164	ContributeItemTypeName05	450
109	105	2	1	item90000000165	ContributeItemTypeName05	600
110	105	2	1	item90000000166	ContributeItemTypeName05	750
111	105	2	1	item90000000167	ContributeItemTypeName05	400
112	105	2	1	item90000000168	ContributeItemTypeName05	600
113	105	2	1	item90000000169	ContributeItemTypeName05	800
114	105	2	1	item90000000170	ContributeItemTypeName05	1000
115	105	2	1	item90000000171	ContributeItemTypeName05	600
116	105	2	1	item90000000172	ContributeItemTypeName05	900
117	105	2	1	item90000000173	ContributeItemTypeName05	1200
118	105	2	1	item90000000174	ContributeItemTypeName05	1500
119	105	2	1	item90000000175	ContributeItemTypeName05	800
120	105	2	1	item90000000176	ContributeItemTypeName05	1200
121	105	2	1	item90000000177	ContributeItemTypeName05	1600
122	105	2	1	item90000000178	ContributeItemTypeName05	2000
123	105	2	1	item90000000179	ContributeItemTypeName05	1200
124	105	2	1	item90000000180	ContributeItemTypeName05	1800
125	105	2	1	item90000000181	ContributeItemTypeName05	2400
126	105	2	1	item90000000182	ContributeItemTypeName05	3000
127	105	2	1	item90000000183	ContributeItemTypeName05	1800
128	105	2	1	item90000000184	ContributeItemTypeName05	2700
129	105	2	1	item90000000185	ContributeItemTypeName05	3600
130	105	2	1	item90000000186	ContributeItemTypeName05	4500
