流水id	技能宝石	进阶等级	最大等级	收集属性倍率	镶嵌属性倍率	收集额外属性	镶嵌额外属性	技能效果评分	突破所需材料	进阶需求货币数量
37	20106001	1	40	0.000000	1.170000	4,6;21,18	3,7;4,7;24,24;21,24	35	item17902020106001,20	item1000,60000
38	20106001	2	60	0.000000	1.330000	4,7;21,23	3,9;4,9;24,33;21,33	40	item17902020106001,40	item1000,70000
39	20106001	3	80	0.000000	1.500000	4,9;21,28	3,13;4,13;24,45;21,45	45	item17902020106001,70	item1000,80000
40	20106001	4	100	0.000000	1.670000	4,11;21,34	3,18;4,18;24,60;21,60	50	item17902020106001,110	item1000,90000
41	20106001	5	120	0.000000	1.830000	4,12;21,38	3,24;4,24;24,80;21,80	55	item17902020106001,160	item1000,100000
42	20106001	6	140	0.000000	2.000000	4,13;21,43	3,31;4,31;24,105;21,105	60		
43	20107001	0	20	0.000000	1.000000	3,4;22,13	3,5;1,53;25,17;22,17	30	item17902020107001,10	item1000,50000
44	20107001	1	40	0.000000	1.170000	3,6;22,18	3,7;1,73;25,24;22,24	35	item17902020107001,20	item1000,60000
45	20107001	2	60	0.000000	1.330000	3,7;22,23	3,9;1,99;25,33;22,33	40	item17902020107001,40	item1000,70000
46	20107001	3	80	0.000000	1.500000	3,9;22,28	3,13;1,135;25,45;22,45	45	item17902020107001,70	item1000,80000
47	20107001	4	100	0.000000	1.670000	3,11;22,34	3,18;1,182;25,60;22,60	50	item17902020107001,110	item1000,90000
48	20107001	5	120	0.000000	1.830000	3,12;22,38	3,24;1,242;25,80;22,80	55	item17902020107001,160	item1000,100000
49	20107001	6	140	0.000000	2.000000	3,13;22,43	3,31;1,317;25,105;22,105	60		
50	20108001	0	20	0.000000	1.000000	3,4;25,13	3,5;1,53;25,17;22,17	30	item17902020108001,10	item1000,50000
51	20108001	1	40	0.000000	1.170000	3,6;25,18	3,7;1,73;25,24;22,24	35	item17902020108001,20	item1000,60000
52	20108001	2	60	0.000000	1.330000	3,7;25,23	3,9;1,99;25,33;22,33	40	item17902020108001,40	item1000,70000
53	20108001	3	80	0.000000	1.500000	3,9;25,28	3,13;1,135;25,45;22,45	45	item17902020108001,70	item1000,80000
54	20108001	4	100	0.000000	1.670000	3,11;25,34	3,18;1,182;25,60;22,60	50	item17902020108001,110	item1000,90000
55	20108001	5	120	0.000000	1.830000	3,12;25,38	3,24;1,242;25,80;22,80	55	item17902020108001,160	item1000,100000
56	20108001	6	140	0.000000	2.000000	3,13;25,43	3,31;1,317;25,105;22,105	60		
57	20201001	0	20	0.000000	1.000000	1,38;26,13	4,5;1,53;26,17;21,17	30	item17902020201001,10	item1000,50000
58	20201001	1	40	0.000000	1.170000	1,52;26,18	4,7;1,73;26,24;21,24	35	item17902020201001,20	item1000,60000
59	20201001	2	60	0.000000	1.330000	1,68;26,23	4,9;1,99;26,33;21,33	40	item17902020201001,40	item1000,70000
60	20201001	3	80	0.000000	1.500000	1,84;26,28	4,13;1,135;26,45;21,45	45	item17902020201001,70	item1000,80000
61	20201001	4	100	0.000000	1.670000	1,102;26,34	4,18;1,182;26,60;21,60	50	item17902020201001,110	item1000,90000
62	20201001	5	120	0.000000	1.830000	1,114;26,38	4,24;1,242;26,80;21,80	55	item17902020201001,160	item1000,100000
63	20201001	6	140	0.000000	2.000000	1,128;26,43	4,31;1,317;26,105;21,105	60		
64	20202001	0	20	0.000000	1.000000	1,38;24,13	4,5;1,53;24,17;21,17	30	item17902020202001,10	item1000,50000
65	20202001	1	40	0.000000	1.170000	1,52;24,18	4,7;1,73;24,24;21,24	35	item17902020202001,20	item1000,60000
66	20202001	2	60	0.000000	1.330000	1,68;24,23	4,9;1,99;24,33;21,33	40	item17902020202001,40	item1000,70000
67	20202001	3	80	0.000000	1.500000	1,84;24,28	4,13;1,135;24,45;21,45	45	item17902020202001,70	item1000,80000
68	20202001	4	100	0.000000	1.670000	1,102;24,34	4,18;1,182;24,60;21,60	50	item17902020202001,110	item1000,90000
69	20202001	5	120	0.000000	1.830000	1,114;24,38	4,24;1,242;24,80;21,80	55	item17902020202001,160	item1000,100000
70	20202001	6	140	0.000000	2.000000	1,128;24,43	4,31;1,317;24,105;21,105	60		
71	20203001	0	20	0.000000	1.000000	4,4;23,13	4,5;1,53;23,17;22,17	30	item17902020203001,10	item1000,50000
72	20203001	1	40	0.000000	1.170000	4,6;23,18	4,7;1,73;23,24;22,24	35	item17902020203001,20	item1000,60000
73	20203001	2	60	0.000000	1.330000	4,7;23,23	4,9;1,99;23,33;22,33	40	item17902020203001,40	item1000,70000
74	20203001	3	80	0.000000	1.500000	4,9;23,28	4,13;1,135;23,45;22,45	45	item17902020203001,70	item1000,80000
75	20203001	4	100	0.000000	1.670000	4,11;23,34	4,18;1,182;23,60;22,60	50	item17902020203001,110	item1000,90000
76	20203001	5	120	0.000000	1.830000	4,12;23,38	4,24;1,242;23,80;22,80	55	item17902020203001,160	item1000,100000
77	20203001	6	140	0.000000	2.000000	4,13;23,43	4,31;1,317;23,105;22,105	60		
78	20204001	0	20	0.000000	1.000000	1,38;24,13	3,5;1,53;24,17;25,17	30	item17902020204001,10	item1000,50000
79	20204001	1	40	0.000000	1.170000	1,52;24,18	3,7;1,73;24,24;25,24	35	item17902020204001,20	item1000,60000
80	20204001	2	60	0.000000	1.330000	1,68;24,23	3,9;1,99;24,33;25,33	40	item17902020204001,40	item1000,70000
81	20204001	3	80	0.000000	1.500000	1,84;24,28	3,13;1,135;24,45;25,45	45	item17902020204001,70	item1000,80000
82	20204001	4	100	0.000000	1.670000	1,102;24,34	3,18;1,182;24,60;25,60	50	item17902020204001,110	item1000,90000
83	20204001	5	120	0.000000	1.830000	1,114;24,38	3,24;1,242;24,80;25,80	55	item17902020204001,160	item1000,100000
84	20204001	6	140	0.000000	2.000000	1,128;24,43	3,31;1,317;24,105;25,105	60		
85	20205001	0	20	0.000000	1.000000	4,4;26,13	4,5;1,53;23,17;26,17	30	item17902020205001,10	item1000,50000
86	20205001	1	40	0.000000	1.170000	4,6;26,18	4,7;1,73;23,24;26,24	35	item17902020205001,20	item1000,60000
87	20205001	2	60	0.000000	1.330000	4,7;26,23	4,9;1,99;23,33;26,33	40	item17902020205001,40	item1000,70000
88	20205001	3	80	0.000000	1.500000	4,9;26,28	4,13;1,135;23,45;26,45	45	item17902020205001,70	item1000,80000
89	20205001	4	100	0.000000	1.670000	4,11;26,34	4,18;1,182;23,60;26,60	50	item17902020205001,110	item1000,90000
90	20205001	5	120	0.000000	1.830000	4,12;26,38	4,24;1,242;23,80;26,80	55	item17902020205001,160	item1000,100000
91	20205001	6	140	0.000000	2.000000	4,13;26,43	4,31;1,317;23,105;26,105	60		
92	20206001	0	20	0.000000	1.000000	4,4;21,13	3,5;4,5;24,17;21,17	30	item17902020206001,10	item1000,50000
93	20206001	1	40	0.000000	1.170000	4,6;21,18	3,7;4,7;24,24;21,24	35	item17902020206001,20	item1000,60000
94	20206001	2	60	0.000000	1.330000	4,7;21,23	3,9;4,9;24,33;21,33	40	item17902020206001,40	item1000,70000
95	20206001	3	80	0.000000	1.500000	4,9;21,28	3,13;4,13;24,45;21,45	45	item17902020206001,70	item1000,80000
96	20206001	4	100	0.000000	1.670000	4,11;21,34	3,18;4,18;24,60;21,60	50	item17902020206001,110	item1000,90000
97	20206001	5	120	0.000000	1.830000	4,12;21,38	3,24;4,24;24,80;21,80	55	item17902020206001,160	item1000,100000
98	20206001	6	140	0.000000	2.000000	4,13;21,43	3,31;4,31;24,105;21,105	60		
99	20207001	0	20	0.000000	1.000000	3,4;22,13	3,5;1,53;25,17;22,17	30	item17902020207001,10	item1000,50000
100	20207001	1	40	0.000000	1.170000	3,6;22,18	3,7;1,73;25,24;22,24	35	item17902020207001,20	item1000,60000
101	20207001	2	60	0.000000	1.330000	3,7;22,23	3,9;1,99;25,33;22,33	40	item17902020207001,40	item1000,70000
102	20207001	3	80	0.000000	1.500000	3,9;22,28	3,13;1,135;25,45;22,45	45	item17902020207001,70	item1000,80000
103	20207001	4	100	0.000000	1.670000	3,11;22,34	3,18;1,182;25,60;22,60	50	item17902020207001,110	item1000,90000
104	20207001	5	120	0.000000	1.830000	3,12;22,38	3,24;1,242;25,80;22,80	55	item17902020207001,160	item1000,100000
105	20207001	6	140	0.000000	2.000000	3,13;22,43	3,31;1,317;25,105;22,105	60		
106	20208001	0	20	0.000000	1.000000	3,4;25,13	3,5;1,53;25,17;22,17	30	item17902020208001,10	item1000,50000
107	20208001	1	40	0.000000	1.170000	3,6;25,18	3,7;1,73;25,24;22,24	35	item17902020208001,20	item1000,60000
108	20208001	2	60	0.000000	1.330000	3,7;25,23	3,9;1,99;25,33;22,33	40	item17902020208001,40	item1000,70000
109	20208001	3	80	0.000000	1.500000	3,9;25,28	3,13;1,135;25,45;22,45	45	item17902020208001,70	item1000,80000
110	20208001	4	100	0.000000	1.670000	3,11;25,34	3,18;1,182;25,60;22,60	50	item17902020208001,110	item1000,90000
111	20208001	5	120	0.000000	1.830000	3,12;25,38	3,24;1,242;25,80;22,80	55	item17902020208001,160	item1000,100000
112	20208001	6	140	0.000000	2.000000	3,13;25,43	3,31;1,317;25,105;22,105	60		
113	20301001	0	20	0.000000	1.000000	1,38;26,13	4,5;1,53;26,17;21,17	30	item17902020301001,10	item1000,50000
114	20301001	1	40	0.000000	1.170000	1,52;26,18	4,7;1,73;26,24;21,24	35	item17902020301001,20	item1000,60000
115	20301001	2	60	0.000000	1.330000	1,68;26,23	4,9;1,99;26,33;21,33	40	item17902020301001,40	item1000,70000
116	20301001	3	80	0.000000	1.500000	1,84;26,28	4,13;1,135;26,45;21,45	45	item17902020301001,70	item1000,80000
117	20301001	4	100	0.000000	1.670000	1,102;26,34	4,18;1,182;26,60;21,60	50	item17902020301001,110	item1000,90000
118	20301001	5	120	0.000000	1.830000	1,114;26,38	4,24;1,242;26,80;21,80	55	item17902020301001,160	item1000,100000
119	20301001	6	140	0.000000	2.000000	1,128;26,43	4,31;1,317;26,105;21,105	60		
120	20302001	0	20	0.000000	1.000000	1,38;24,13	4,5;1,53;24,17;21,17	30	item17902020302001,10	item1000,50000
121	20302001	1	40	0.000000	1.170000	1,52;24,18	4,7;1,73;24,24;21,24	35	item17902020302001,20	item1000,60000
122	20302001	2	60	0.000000	1.330000	1,68;24,23	4,9;1,99;24,33;21,33	40	item17902020302001,40	item1000,70000
123	20302001	3	80	0.000000	1.500000	1,84;24,28	4,13;1,135;24,45;21,45	45	item17902020302001,70	item1000,80000
124	20302001	4	100	0.000000	1.670000	1,102;24,34	4,18;1,182;24,60;21,60	50	item17902020302001,110	item1000,90000
125	20302001	5	120	0.000000	1.830000	1,114;24,38	4,24;1,242;24,80;21,80	55	item17902020302001,160	item1000,100000
126	20302001	6	140	0.000000	2.000000	1,128;24,43	4,31;1,317;24,105;21,105	60		
127	20303001	0	20	0.000000	1.000000	4,4;23,13	4,5;1,53;23,17;22,17	30	item17902020303001,10	item1000,50000
128	20303001	1	40	0.000000	1.170000	4,6;23,18	4,7;1,73;23,24;22,24	35	item17902020303001,20	item1000,60000
129	20303001	2	60	0.000000	1.330000	4,7;23,23	4,9;1,99;23,33;22,33	40	item17902020303001,40	item1000,70000
130	20303001	3	80	0.000000	1.500000	4,9;23,28	4,13;1,135;23,45;22,45	45	item17902020303001,70	item1000,80000
131	20303001	4	100	0.000000	1.670000	4,11;23,34	4,18;1,182;23,60;22,60	50	item17902020303001,110	item1000,90000
132	20303001	5	120	0.000000	1.830000	4,12;23,38	4,24;1,242;23,80;22,80	55	item17902020303001,160	item1000,100000
133	20303001	6	140	0.000000	2.000000	4,13;23,43	4,31;1,317;23,105;22,105	60		
134	20304001	0	20	0.000000	1.000000	1,38;24,13	3,5;1,53;24,17;25,17	30	item17902020304001,10	item1000,50000
135	20304001	1	40	0.000000	1.170000	1,52;24,18	3,7;1,73;24,24;25,24	35	item17902020304001,20	item1000,60000
136	20304001	2	60	0.000000	1.330000	1,68;24,23	3,9;1,99;24,33;25,33	40	item17902020304001,40	item1000,70000
137	20304001	3	80	0.000000	1.500000	1,84;24,28	3,13;1,135;24,45;25,45	45	item17902020304001,70	item1000,80000
138	20304001	4	100	0.000000	1.670000	1,102;24,34	3,18;1,182;24,60;25,60	50	item17902020304001,110	item1000,90000
139	20304001	5	120	0.000000	1.830000	1,114;24,38	3,24;1,242;24,80;25,80	55	item17902020304001,160	item1000,100000
140	20304001	6	140	0.000000	2.000000	1,128;24,43	3,31;1,317;24,105;25,105	60		
141	20305001	0	20	0.000000	1.000000	4,4;26,13	4,5;1,53;23,17;26,17	30	item17902020305001,10	item1000,50000
142	20305001	1	40	0.000000	1.170000	4,6;26,18	4,7;1,73;23,24;26,24	35	item17902020305001,20	item1000,60000
143	20305001	2	60	0.000000	1.330000	4,7;26,23	4,9;1,99;23,33;26,33	40	item17902020305001,40	item1000,70000
144	20305001	3	80	0.000000	1.500000	4,9;26,28	4,13;1,135;23,45;26,45	45	item17902020305001,70	item1000,80000
145	20305001	4	100	0.000000	1.670000	4,11;26,34	4,18;1,182;23,60;26,60	50	item17902020305001,110	item1000,90000
146	20305001	5	120	0.000000	1.830000	4,12;26,38	4,24;1,242;23,80;26,80	55	item17902020305001,160	item1000,100000
147	20305001	6	140	0.000000	2.000000	4,13;26,43	4,31;1,317;23,105;26,105	60		
148	20306001	0	20	0.000000	1.000000	4,4;21,13	3,5;4,5;24,17;21,17	30	item17902020306001,10	item1000,50000
149	20306001	1	40	0.000000	1.170000	4,6;21,18	3,7;4,7;24,24;21,24	35	item17902020306001,20	item1000,60000
150	20306001	2	60	0.000000	1.330000	4,7;21,23	3,9;4,9;24,33;21,33	40	item17902020306001,40	item1000,70000
151	20306001	3	80	0.000000	1.500000	4,9;21,28	3,13;4,13;24,45;21,45	45	item17902020306001,70	item1000,80000
152	20306001	4	100	0.000000	1.670000	4,11;21,34	3,18;4,18;24,60;21,60	50	item17902020306001,110	item1000,90000
153	20306001	5	120	0.000000	1.830000	4,12;21,38	3,24;4,24;24,80;21,80	55	item17902020306001,160	item1000,100000
154	20306001	6	140	0.000000	2.000000	4,13;21,43	3,31;4,31;24,105;21,105	60		
155	20307001	0	20	0.000000	1.000000	3,4;22,13	3,5;1,53;25,17;22,17	30	item17902020307001,10	item1000,50000
156	20307001	1	40	0.000000	1.170000	3,6;22,18	3,7;1,73;25,24;22,24	35	item17902020307001,20	item1000,60000
157	20307001	2	60	0.000000	1.330000	3,7;22,23	3,9;1,99;25,33;22,33	40	item17902020307001,40	item1000,70000
158	20307001	3	80	0.000000	1.500000	3,9;22,28	3,13;1,135;25,45;22,45	45	item17902020307001,70	item1000,80000
159	20307001	4	100	0.000000	1.670000	3,11;22,34	3,18;1,182;25,60;22,60	50	item17902020307001,110	item1000,90000
160	20307001	5	120	0.000000	1.830000	3,12;22,38	3,24;1,242;25,80;22,80	55	item17902020307001,160	item1000,100000
161	20307001	6	140	0.000000	2.000000	3,13;22,43	3,31;1,317;25,105;22,105	60		
162	20308001	0	20	0.000000	1.000000	3,4;25,13	3,5;1,53;25,17;22,17	30	item17902020308001,10	item1000,50000
163	20308001	1	40	0.000000	1.170000	3,6;25,18	3,7;1,73;25,24;22,24	35	item17902020308001,20	item1000,60000
164	20308001	2	60	0.000000	1.330000	3,7;25,23	3,9;1,99;25,33;22,33	40	item17902020308001,40	item1000,70000
165	20308001	3	80	0.000000	1.500000	3,9;25,28	3,13;1,135;25,45;22,45	45	item17902020308001,70	item1000,80000
166	20308001	4	100	0.000000	1.670000	3,11;25,34	3,18;1,182;25,60;22,60	50	item17902020308001,110	item1000,90000
167	20308001	5	120	0.000000	1.830000	3,12;25,38	3,24;1,242;25,80;22,80	55	item17902020308001,160	item1000,100000
168	20308001	6	140	0.000000	2.000000	3,13;25,43	3,31;1,317;25,105;22,105	60		
169	20401001	0	20	0.000000	1.000000	1,38;26,13	4,5;1,53;26,17;21,17	30	item17902020401001,10	item1000,50000
170	20401001	1	40	0.000000	1.170000	1,52;26,18	4,7;1,73;26,24;21,24	35	item17902020401001,20	item1000,60000
171	20401001	2	60	0.000000	1.330000	1,68;26,23	4,9;1,99;26,33;21,33	40	item17902020401001,40	item1000,70000
172	20401001	3	80	0.000000	1.500000	1,84;26,28	4,13;1,135;26,45;21,45	45	item17902020401001,70	item1000,80000
173	20401001	4	100	0.000000	1.670000	1,102;26,34	4,18;1,182;26,60;21,60	50	item17902020401001,110	item1000,90000
174	20401001	5	120	0.000000	1.830000	1,114;26,38	4,24;1,242;26,80;21,80	55	item17902020401001,160	item1000,100000
175	20401001	6	140	0.000000	2.000000	1,128;26,43	4,31;1,317;26,105;21,105	60		
176	20402001	0	20	0.000000	1.000000	1,38;24,13	4,5;1,53;24,17;21,17	30	item17902020402001,10	item1000,50000
177	20402001	1	40	0.000000	1.170000	1,52;24,18	4,7;1,73;24,24;21,24	35	item17902020402001,20	item1000,60000
178	20402001	2	60	0.000000	1.330000	1,68;24,23	4,9;1,99;24,33;21,33	40	item17902020402001,40	item1000,70000
179	20402001	3	80	0.000000	1.500000	1,84;24,28	4,13;1,135;24,45;21,45	45	item17902020402001,70	item1000,80000
180	20402001	4	100	0.000000	1.670000	1,102;24,34	4,18;1,182;24,60;21,60	50	item17902020402001,110	item1000,90000
181	20402001	5	120	0.000000	1.830000	1,114;24,38	4,24;1,242;24,80;21,80	55	item17902020402001,160	item1000,100000
182	20402001	6	140	0.000000	2.000000	1,128;24,43	4,31;1,317;24,105;21,105	60		
183	20403001	0	20	0.000000	1.000000	4,4;23,13	4,5;1,53;23,17;22,17	30	item17902020403001,10	item1000,50000
184	20403001	1	40	0.000000	1.170000	4,6;23,18	4,7;1,73;23,24;22,24	35	item17902020403001,20	item1000,60000
185	20403001	2	60	0.000000	1.330000	4,7;23,23	4,9;1,99;23,33;22,33	40	item17902020403001,40	item1000,70000
186	20403001	3	80	0.000000	1.500000	4,9;23,28	4,13;1,135;23,45;22,45	45	item17902020403001,70	item1000,80000
187	20403001	4	100	0.000000	1.670000	4,11;23,34	4,18;1,182;23,60;22,60	50	item17902020403001,110	item1000,90000
188	20403001	5	120	0.000000	1.830000	4,12;23,38	4,24;1,242;23,80;22,80	55	item17902020403001,160	item1000,100000
189	20403001	6	140	0.000000	2.000000	4,13;23,43	4,31;1,317;23,105;22,105	60		
190	20404001	0	20	0.000000	1.000000	1,38;24,13	3,5;1,53;24,17;25,17	30	item17902020404001,10	item1000,50000
191	20404001	1	40	0.000000	1.170000	1,52;24,18	3,7;1,73;24,24;25,24	35	item17902020404001,20	item1000,60000
192	20404001	2	60	0.000000	1.330000	1,68;24,23	3,9;1,99;24,33;25,33	40	item17902020404001,40	item1000,70000
193	20404001	3	80	0.000000	1.500000	1,84;24,28	3,13;1,135;24,45;25,45	45	item17902020404001,70	item1000,80000
194	20404001	4	100	0.000000	1.670000	1,102;24,34	3,18;1,182;24,60;25,60	50	item17902020404001,110	item1000,90000
195	20404001	5	120	0.000000	1.830000	1,114;24,38	3,24;1,242;24,80;25,80	55	item17902020404001,160	item1000,100000
196	20404001	6	140	0.000000	2.000000	1,128;24,43	3,31;1,317;24,105;25,105	60		
197	20405001	0	20	0.000000	1.000000	4,4;26,13	4,5;1,53;23,17;26,17	30	item17902020405001,10	item1000,50000
198	20405001	1	40	0.000000	1.170000	4,6;26,18	4,7;1,73;23,24;26,24	35	item17902020405001,20	item1000,60000
199	20405001	2	60	0.000000	1.330000	4,7;26,23	4,9;1,99;23,33;26,33	40	item17902020405001,40	item1000,70000
200	20405001	3	80	0.000000	1.500000	4,9;26,28	4,13;1,135;23,45;26,45	45	item17902020405001,70	item1000,80000
201	20405001	4	100	0.000000	1.670000	4,11;26,34	4,18;1,182;23,60;26,60	50	item17902020405001,110	item1000,90000
202	20405001	5	120	0.000000	1.830000	4,12;26,38	4,24;1,242;23,80;26,80	55	item17902020405001,160	item1000,100000
203	20405001	6	140	0.000000	2.000000	4,13;26,43	4,31;1,317;23,105;26,105	60		
204	20406001	0	20	0.000000	1.000000	4,4;21,13	3,5;4,5;24,17;21,17	30	item17902020406001,10	item1000,50000
205	20406001	1	40	0.000000	1.170000	4,6;21,18	3,7;4,7;24,24;21,24	35	item17902020406001,20	item1000,60000
206	20406001	2	60	0.000000	1.330000	4,7;21,23	3,9;4,9;24,33;21,33	40	item17902020406001,40	item1000,70000
207	20406001	3	80	0.000000	1.500000	4,9;21,28	3,13;4,13;24,45;21,45	45	item17902020406001,70	item1000,80000
208	20406001	4	100	0.000000	1.670000	4,11;21,34	3,18;4,18;24,60;21,60	50	item17902020406001,110	item1000,90000
209	20406001	5	120	0.000000	1.830000	4,12;21,38	3,24;4,24;24,80;21,80	55	item17902020406001,160	item1000,100000
210	20406001	6	140	0.000000	2.000000	4,13;21,43	3,31;4,31;24,105;21,105	60		
211	20407001	0	20	0.000000	1.000000	3,4;22,13	3,5;1,53;25,17;22,17	30	item17902020407001,10	item1000,50000
212	20407001	1	40	0.000000	1.170000	3,6;22,18	3,7;1,73;25,24;22,24	35	item17902020407001,20	item1000,60000
213	20407001	2	60	0.000000	1.330000	3,7;22,23	3,9;1,99;25,33;22,33	40	item17902020407001,40	item1000,70000
214	20407001	3	80	0.000000	1.500000	3,9;22,28	3,13;1,135;25,45;22,45	45	item17902020407001,70	item1000,80000
215	20407001	4	100	0.000000	1.670000	3,11;22,34	3,18;1,182;25,60;22,60	50	item17902020407001,110	item1000,90000
216	20407001	5	120	0.000000	1.830000	3,12;22,38	3,24;1,242;25,80;22,80	55	item17902020407001,160	item1000,100000
217	20407001	6	140	0.000000	2.000000	3,13;22,43	3,31;1,317;25,105;22,105	60		
218	20408001	0	20	0.000000	1.000000	3,4;25,13	3,5;1,53;25,17;22,17	30	item17902020408001,10	item1000,50000
219	20408001	1	40	0.000000	1.170000	3,6;25,18	3,7;1,73;25,24;22,24	35	item17902020408001,20	item1000,60000
220	20408001	2	60	0.000000	1.330000	3,7;25,23	3,9;1,99;25,33;22,33	40	item17902020408001,40	item1000,70000
221	20408001	3	80	0.000000	1.500000	3,9;25,28	3,13;1,135;25,45;22,45	45	item17902020408001,70	item1000,80000
222	20408001	4	100	0.000000	1.670000	3,11;25,34	3,18;1,182;25,60;22,60	50	item17902020408001,110	item1000,90000
223	20408001	5	120	0.000000	1.830000	3,12;25,38	3,24;1,242;25,80;22,80	55	item17902020408001,160	item1000,100000
224	20408001	6	140	0.000000	2.000000	3,13;25,43	3,31;1,317;25,105;22,105	60		
225	20501001	0	20	0.000000	1.000000	1,38;26,13	4,5;1,53;26,17;21,17	30	item17902020501001,10	item1000,50000
226	20501001	1	40	0.000000	1.170000	1,52;26,18	4,7;1,73;26,24;21,24	35	item17902020501001,20	item1000,60000
227	20501001	2	60	0.000000	1.330000	1,68;26,23	4,9;1,99;26,33;21,33	40	item17902020501001,40	item1000,70000
228	20501001	3	80	0.000000	1.500000	1,84;26,28	4,13;1,135;26,45;21,45	45	item17902020501001,70	item1000,80000
229	20501001	4	100	0.000000	1.670000	1,102;26,34	4,18;1,182;26,60;21,60	50	item17902020501001,110	item1000,90000
