流水	古堡掉落库ID	随机目标ID	权重
145	105	610	0
146	105	611	950
147	105	612	0
148	105	613	950
149	105	580	0
150	105	581	0
151	105	582	0
152	105	110	6000
153	105	210	2000
154	106	410	5000
155	106	510	5000
156	107	610	0
157	107	611	2375
158	107	612	0
159	107	613	2375
160	107	580	0
161	107	581	0
162	107	582	0
163	107	410	5000
164	108	310	5000
165	108	410	5000
166	109	110	4000
167	109	210	4000
168	109	510	2000
169	202	614	2375
170	202	615	2375
171	202	616	2375
172	202	617	2375
173	202	583	0
174	202	584	0
175	202	585	0
176	203	220	5000
177	203	420	5000
178	204	614	1188
179	204	615	1188
180	204	616	1187
181	204	617	1187
182	204	583	0
183	204	584	0
184	204	585	0
185	204	713	1650
186	204	714	1650
187	204	715	1700
188	205	220	5000
189	205	420	5000
190	206	520	10000
191	207	614	1188
192	207	615	1188
193	207	616	1187
194	207	617	1187
195	207	583	0
196	207	584	0
197	207	585	0
198	207	713	1650
199	207	714	1650
200	207	715	1700
201	208	320	5000
202	208	420	5000
203	209	120	4000
204	209	220	4000
205	209	520	2000
206	302	618	1188
207	302	619	1188
208	302	620	1187
209	302	621	1187
210	302	586	0
211	302	587	0
212	302	588	0
213	302	530	5000
214	303	618	1188
215	303	619	1188
216	303	620	1187
217	303	621	1187
218	303	586	0
219	303	587	0
220	303	588	0
221	303	716	1650
222	303	717	1650
223	303	718	1700
224	304	430	10000
225	305	716	1000
226	305	717	1000
227	305	718	1000
228	305	130	4000
229	305	230	3000
230	306	430	5000
231	306	530	5000
232	307	618	1188
233	307	619	1188
234	307	620	1187
235	307	621	1187
236	307	586	0
237	307	587	0
238	307	588	0
239	307	716	1650
240	307	717	1650
241	307	718	1700
242	308	330	4000
243	308	430	3000
244	308	530	3000
245	309	130	5000
246	309	230	5000
247	110	725	3350
248	110	726	3350
249	110	727	3300
250	210	810	3000
251	210	820	3000
252	210	830	3000
253	210	840	1000
254	112	629	0
255	112	630	4750
256	112	631	0
257	112	632	4750
258	112	580	0
259	112	581	0
260	112	582	0
261	113	629	0
262	113	630	4750
263	113	631	0
264	113	632	4750
265	113	580	0
266	113	581	0
267	113	582	0
268	114	629	0
269	114	630	2375
270	114	631	0
271	114	632	2375
272	114	580	0
273	114	581	0
274	114	582	0
275	114	410	5000
276	115	629	0
277	115	630	950
278	115	631	0
279	115	632	950
280	115	580	0
281	115	581	0
282	115	582	0
283	115	110	6000
284	115	210	2000
285	116	410	5000
286	116	510	5000
287	117	629	0
288	117	630	2375
289	117	631	0
290	117	632	2375
291	117	580	0
292	117	581	0
293	117	582	0
294	117	410	5000
295	118	310	5000
296	118	410	5000
297	119	110	4000
298	119	210	4000
299	119	510	2000
300	212	633	2375
301	212	634	2375
302	212	635	2375
303	212	636	2375
304	212	583	0
305	212	584	0
306	212	585	0
307	213	220	5000
308	213	420	5000
309	214	633	1188
310	214	634	1188
311	214	635	1187
312	214	636	1187
313	214	583	0
314	214	584	0
315	214	585	0
316	214	713	1650
317	214	714	1650
318	214	715	1700
319	215	220	5000
320	215	420	5000
321	216	520	10000
322	217	633	1188
323	217	634	1188
324	217	635	1187
325	217	636	1187
326	217	583	0
327	217	584	0
328	217	585	0
329	217	713	1650
330	217	714	1650
331	217	715	1700
332	218	320	5000
333	218	420	5000
334	219	120	4000
335	219	220	4000
336	219	520	2000
337	312	637	1188
338	312	638	1188
339	312	639	1187
340	312	640	1187
341	312	586	0
342	312	587	0
343	312	588	0
344	312	530	5000
345	313	637	1188
346	313	638	1188
347	313	639	1187
348	313	640	1187
349	313	586	0
350	313	587	0
351	313	588	0
352	313	716	1650
353	313	717	1650
354	313	718	1700
355	314	430	10000
356	315	716	1000
357	315	717	1000
358	315	718	1000
359	315	130	4000
360	315	230	3000
361	316	430	5000
362	316	530	5000
363	317	637	1188
364	317	638	1188
365	317	639	1187
366	317	640	1187
367	317	586	0
368	317	587	0
369	317	588	0
370	317	716	1650
371	317	717	1650
372	317	718	1700
373	318	330	4000
374	318	430	3000
375	318	530	3000
376	319	130	5000
377	319	230	5000
378	122	648	0
379	122	649	4750
380	122	650	0
381	122	651	4750
382	122	580	0
383	122	581	0
384	122	582	0
385	123	648	0
386	123	649	4750
387	123	650	0
388	123	651	4750
389	123	580	0
390	123	581	0
391	123	582	0
392	124	648	0
393	124	649	2375
394	124	650	0
395	124	651	2375
396	124	580	0
397	124	581	0
398	124	582	0
399	124	410	5000
400	125	648	0
401	125	649	950
402	125	650	0
403	125	651	950
404	125	580	0
405	125	581	0
406	125	582	0
407	125	110	6000
408	125	210	2000
409	126	410	5000
410	126	510	5000
411	127	648	0
412	127	649	2375
413	127	650	0
414	127	651	2375
415	127	580	0
416	127	581	0
417	127	582	0
418	127	410	5000
419	128	310	5000
420	128	410	5000
421	129	110	4000
422	129	210	4000
423	129	510	2000
424	222	652	2375
425	222	653	2375
426	222	654	2375
427	222	655	2375
428	222	583	0
429	222	584	0
430	222	585	0
431	223	220	5000
432	223	420	5000
433	224	652	1188
434	224	653	1188
435	224	654	1187
436	224	655	1187
437	224	583	0
438	224	584	0
439	224	585	0
440	224	713	1650
441	224	714	1650
442	224	715	1700
443	225	220	5000
444	225	420	5000
445	226	520	10000
446	227	652	1188
447	227	653	1188
448	227	654	1187
449	227	655	1187
450	227	583	0
451	227	584	0
452	227	585	0
453	227	713	1650
454	227	714	1650
455	227	715	1700
456	228	320	5000
457	228	420	5000
458	229	120	4000
459	229	220	4000
460	229	520	2000
461	322	656	1188
462	322	657	1188
463	322	658	1187
464	322	659	1187
465	322	586	0
466	322	587	0
467	322	588	0
468	322	530	5000
469	323	656	1188
470	323	657	1188
471	323	658	1187
472	323	659	1187
473	323	586	0
474	323	587	0
475	323	588	0
476	323	716	1650
477	323	717	1650
478	323	718	1700
479	324	430	10000
480	325	716	1000
481	325	717	1000
482	325	718	1000
483	325	130	4000
484	325	230	3000
485	326	430	5000
486	326	530	5000
487	327	656	1188
488	327	657	1188
489	327	658	1187
490	327	659	1187
491	327	586	0
492	327	587	0
493	327	588	0
494	327	716	1650
495	327	717	1650
496	327	718	1700
497	328	330	4000
498	328	430	3000
499	328	530	3000
500	329	130	5000
501	329	230	5000
502	132	666	4750
503	132	667	0
504	132	668	0
505	132	669	4750
506	132	580	0
507	132	581	0
508	132	582	0
509	133	666	4750
510	133	667	0
511	133	668	0
512	133	669	4750
513	133	580	0
514	133	581	0
515	133	582	0
516	134	666	2375
517	134	667	0
518	134	668	0
519	134	669	2375
520	134	580	0
521	134	581	0
522	134	582	0
523	134	410	5000
524	135	666	950
525	135	667	0
526	135	668	0
527	135	669	950
528	135	580	0
529	135	581	0
530	135	582	0
531	135	110	6000
532	135	210	2000
533	136	410	5000
534	136	510	5000
535	137	666	2375
536	137	667	0
537	137	668	0
538	137	669	2375
539	137	580	0
540	137	581	0
541	137	582	0
542	137	410	5000
543	138	310	5000
544	138	410	5000
545	139	110	4000
546	139	210	4000
547	139	510	2000
548	232	670	2375
549	232	671	2375
550	232	672	2375
551	232	673	2375
552	232	583	0
553	232	584	0
554	232	585	0
555	233	220	5000
556	233	420	5000
557	234	670	1188
558	234	671	1188
559	234	672	1187
560	234	673	1187
561	234	583	0
562	234	584	0
563	234	585	0
564	234	713	1650
565	234	714	1650
566	234	715	1700
567	235	220	5000
568	235	420	5000
569	236	520	10000
570	237	670	1188
571	237	671	1188
572	237	672	1187
573	237	673	1187
574	237	583	0
575	237	584	0
576	237	585	0
577	237	713	1650
578	237	714	1650
579	237	715	1700
580	238	320	5000
581	238	420	5000
582	239	120	4000
583	239	220	4000
584	239	520	2000
585	332	674	1600
586	332	675	1575
587	332	676	1575
588	332	586	0
589	332	587	0
590	332	588	0
591	332	530	5000
592	333	674	1600
593	333	675	1575
594	333	676	1575
595	333	586	0
596	333	587	0
597	333	588	0
598	333	716	1650
599	333	717	1650
600	333	718	1700
601	334	430	10000
602	335	716	1000
603	335	717	1000
604	335	718	1000
605	335	130	4000
606	335	230	3000
607	336	430	5000
608	336	530	5000
609	337	674	1600
610	337	675	1575
611	337	676	1575
612	337	586	0
613	337	587	0
614	337	588	0
615	337	716	1650
616	337	717	1650
617	337	718	1700
618	338	330	4000
619	338	430	3000
620	338	530	3000
621	339	130	5000
622	339	230	5000
623	142	682	3150
624	142	683	3150
625	142	684	3200
626	142	685	0
627	142	580	0
628	142	581	0
629	142	582	0
630	143	682	3150
631	143	683	3150
632	143	684	3200
633	143	685	0
634	143	580	0
635	143	581	0
636	143	582	0
637	144	682	1575
638	144	683	1575
639	144	684	1600
640	144	685	0
641	144	580	0
642	144	581	0
643	144	582	0
644	144	410	5000
645	145	682	650
646	145	683	650
647	145	684	600
648	145	685	0
649	145	580	0
650	145	581	0
651	145	582	0
652	145	110	6000
653	145	210	2000
654	146	410	5000
655	146	510	5000
656	147	682	1575
657	147	683	1575
658	147	684	1600
659	147	685	0
660	147	580	0
661	147	581	0
662	147	582	0
663	147	410	5000
664	148	310	5000
665	148	410	5000
666	149	110	4000
667	149	210	4000
668	149	510	2000
669	242	686	3200
670	242	687	3150
671	242	688	3150
672	242	583	0
673	242	584	0
674	242	585	0
675	243	220	5000
676	243	420	5000
677	244	686	1600
678	244	687	1575
679	244	688	1575
680	244	583	0
681	244	584	0
682	244	585	0
683	244	713	1650
684	244	714	1650
685	244	715	1700
686	245	220	5000
687	245	420	5000
688	246	520	10000
689	247	686	1600
690	247	687	1575
691	247	688	1575
692	247	583	0
693	247	584	0
694	247	585	0
695	247	713	1650
696	247	714	1650
697	247	715	1700
698	248	320	5000
699	248	420	5000
700	249	120	4000
701	249	220	4000
702	249	520	2000
703	342	689	1600
704	342	690	1575
705	342	691	1575
706	342	586	0
707	342	587	0
708	342	588	0
709	342	530	5000
710	343	689	1600
711	343	690	1575
712	343	691	1575
713	343	586	0
714	343	587	0
715	343	588	0
716	343	716	1650
717	343	717	1650
718	343	718	1700
719	344	430	10000
720	345	716	1000
721	345	717	1000
722	345	718	1000
723	345	130	4000
724	345	230	3000
725	346	430	5000
726	346	530	5000
727	347	689	1600
728	347	690	1575
729	347	691	1575
730	347	586	0
731	347	587	0
732	347	588	0
733	347	716	1650
734	347	717	1650
735	347	718	1700
736	348	330	4000
737	348	430	3000
738	348	530	3000
739	349	130	5000
740	349	230	5000
741	432	677	3200
742	432	678	3150
743	432	679	3150
744	432	589	0
745	432	590	0
746	432	591	0
747	433	440	5000
748	433	240	5000
749	434	677	1600
750	434	678	1575
751	434	679	1575
752	434	589	0
753	434	590	0
754	434	591	0
755	434	719	1650
756	434	720	1650
757	434	721	1700
758	435	140	5000
759	435	440	5000
760	436	540	10000
761	437	677	1600
762	437	678	1575
763	437	679	1575
764	437	589	0
765	437	590	0
766	437	591	0
767	437	719	1650
768	437	720	1650
769	437	721	1700
770	438	340	5000
771	438	440	5000
772	439	140	4000
773	439	240	4000
774	439	540	2000
775	532	680	2375
776	532	681	2375
777	532	592	0
778	532	593	125
779	532	594	125
780	532	550	5000
781	533	680	2375
782	533	681	2375
783	533	592	0
784	533	593	0
785	533	594	0
786	533	722	1650
787	533	723	1650
788	533	724	1700
789	534	450	10000
790	535	722	1000
791	535	723	1000
792	535	724	1000
793	535	150	4000
794	535	250	3000
795	536	450	5000
796	536	550	5000
797	537	680	2375
798	537	681	2375
799	537	592	0
800	537	593	0
801	537	594	0
802	537	722	1650
803	537	723	1650
804	537	724	1700
805	538	350	4000
806	538	450	3000
807	538	550	3000
808	539	150	5000
809	539	250	5000
810	442	692	3200
811	442	693	3150
812	442	694	3150
813	442	589	0
814	442	590	0
815	442	591	0
816	443	440	5000
817	443	240	5000
818	444	692	1600
819	444	693	1575
820	444	694	1575
821	444	589	0
822	444	590	0
823	444	591	0
824	444	719	1650
825	444	720	1650
826	444	721	1700
827	445	140	5000
828	445	440	5000
829	446	540	10000
830	447	692	1600
831	447	693	1575
832	447	694	1575
833	447	589	0
834	447	590	0
835	447	591	0
836	447	719	1650
837	447	720	1650
838	447	721	1700
839	448	340	5000
840	448	440	5000
841	449	140	4000
842	449	240	4000
843	449	540	2000
844	542	695	2375
845	542	696	2375
846	542	592	0
847	542	593	0
848	542	594	0
849	542	550	5000
850	543	695	2375
851	543	696	2375
852	543	592	0
853	543	593	0
854	543	594	0
855	543	722	1650
856	543	723	1650
857	543	724	1700
858	544	450	10000
859	545	722	1000
860	545	723	1000
861	545	724	1000
862	545	150	4000
863	545	250	3000
864	546	450	5000
865	546	550	5000
866	547	695	2375
867	547	696	2375
868	547	592	0
869	547	593	0
870	547	594	0
871	547	722	1650
872	547	723	1650
873	547	724	1700
874	548	350	4000
875	548	450	3000
876	548	550	3000
877	549	150	5000
878	549	250	5000
879	3000	500	100
880	3000	501	100
881	3000	502	100
882	3000	503	100
883	3000	504	100
884	3000	505	100
885	3000	506	100
886	3000	507	100
887	3001	508	100
888	3001	509	100
889	3001	510	100
890	3001	511	100
891	3001	512	100
892	3001	513	100
893	3001	514	100
894	3001	515	100
895	3002	516	100
896	3002	517	100
897	3002	518	100
898	3002	519	100
899	3002	520	100
900	3002	521	100
901	3002	522	100
902	3002	523	100
903	3003	524	100
904	3003	525	100
905	3003	526	100
906	3003	527	100
907	3003	528	100
908	3003	529	100
909	3003	530	100
910	3003	531	100
911	3004	834	100
912	3004	835	100
913	3004	836	100
914	3004	837	100
915	3005	838	100
916	3005	839	100
917	3005	840	100
918	3005	841	100
919	10001	3002	5600
920	10001	3003	1400
921	10001	3004	2400
922	10001	3005	600
923	10002	3002	4800
924	10002	3003	1200
925	10002	3004	3200
926	10002	3005	800
927	10003	3002	4000
928	10003	3003	1000
929	10003	3004	4000
930	10003	3005	1000
931	10004	3002	3200
932	10004	3003	800
933	10004	3004	4800
934	10004	3005	1200
935	10005	3002	2400
936	10005	3003	600
937	10005	3004	5600
938	10005	3005	1400
939	11050	731	0
940	11050	733	0
941	11050	734	0
942	11050	800	100
943	11050	801	100
944	11050	802	100
945	11050	803	100
946	11050	804	100
947	11051	732	0
948	11051	735	0
949	11051	741	0
950	11051	805	100
951	11051	806	100
952	11051	807	100
953	11051	808	100
954	11051	809	100
955	11051	810	100
956	11051	827	100
957	11051	828	100
958	11052	736	0
959	11052	737	0
960	11052	740	0
961	11052	811	0
962	11052	812	0
963	11052	833	100
964	11052	815	100
965	11052	816	100
966	11052	817	100
967	11052	818	100
968	11052	819	100
969	11052	829	100
970	11052	830	100
971	11053	738	0
972	11053	739	0
973	11053	820	100
974	11053	821	100
975	11053	822	100
976	11053	823	100
977	11053	824	100
978	11053	825	100
979	11053	826	100
980	11053	831	100
981	11053	832	100
982	12001	11050	5000
983	12001	11051	3000
984	12001	11052	2000
985	12002	11050	2500
986	12002	11051	4000
987	12002	11052	3000
988	12002	11053	500
989	12003	11050	1500
990	12003	11051	3000
991	12003	11052	3500
992	12003	11053	2000
993	12004	11050	500
994	12004	11051	2500
995	12004	11052	4000
996	12004	11053	3000
997	12005	11051	2000
998	12005	11052	3000
999	12005	11053	5000
1000	12011	11050	4500
1001	12011	11051	3000
1002	12011	11052	2000
1003	12011	11053	500
1004	12012	11050	2000
1005	12012	11051	3500
1006	12012	11052	3500
1007	12012	11053	1000
1008	12013	11050	1000
1009	12013	11051	2500
1010	12013	11052	4000
1011	12013	11053	2500
1012	12014	11050	500
1013	12014	11051	2000
1014	12014	11052	4000
1015	12014	11053	3500
1016	12015	11051	1500
1017	12015	11052	3500
1018	12015	11053	5000
1019	1110	1015	2500
1020	1110	1018	2500
1021	1110	1021	2500
1022	1110	1024	2500
1023	1120	1016	2500
1024	1120	1019	2500
1025	1120	1022	2500
1026	1120	1025	2500
1027	1130	1017	2500
1028	1130	1020	2500
1029	1130	1023	2500
1030	1130	1026	2500
1031	1140	1027	5000
1032	1140	1029	5000
1033	1150	1028	5000
1034	1150	1030	5000
1035	2101	810	10000
1036	2102	820	10000
1037	2103	830	10000
1038	2104	840	10000
1039	2105	850	10000
1040	801	742	200
1041	801	743	200
1042	801	744	200
1043	801	745	200
1044	801	746	0
1045	801	747	200
1046	801	748	200
1047	801	749	200
1048	801	750	200
1049	801	751	200
1050	801	752	200
1051	801	753	0
1052	801	754	200
1053	801	755	200
1054	801	756	200
1055	801	757	200
1056	801	758	200
1057	801	759	200
1058	801	760	200
1059	801	761	200
1060	801	762	200
1061	801	763	0
