流水	进阶组	进阶战宠ID	进阶后战宠id	进阶等级	当前突破等级	所需等级	所需突破等级	角色等级	进阶消耗道具	进阶消耗碎片数量	进阶货币消耗	等级上限	出战属性	技能id	进阶后普通被动技能	进阶后专属被动技能
16	0	pet_316		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60152,3
17	0	pet_317		0	0	70	5	71		0		70				
18	3	pet_317	pet_318	1	5	70	5	71	item101020505207,2;item101020505314,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
19	0	pet_318		1	5	70	5	71	item101020505207,2;item101020505314,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
20	0	pet_318		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69000,2	
21	0	pet_318		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	
22	0	pet_318		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60172,1
23	0	pet_318		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60172,2
24	0	pet_318		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60172,3
25	0	pet_319		0	0	70	5	71		0		70				
26	4	pet_319	pet_320	1	5	70	5	71	item101020505207,2;item101020505315,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
27	0	pet_320		1	5	70	5	71	item101020505207,2;item101020505315,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
28	0	pet_320		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69000,2	
29	0	pet_320		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	
30	0	pet_320		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60192,1
31	0	pet_320		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60192,2
32	0	pet_320		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60192,3
33	0	pet_321		0	0	70	5	71		0		70				
34	5	pet_321	pet_322	1	5	70	5	71	item101020505207,2;item101020505316,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
35	0	pet_322		1	5	70	5	71	item101020505207,2;item101020505316,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
36	0	pet_322		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69000,2	
37	0	pet_322		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	
38	0	pet_322		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60212,1
39	0	pet_322		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60212,2
40	0	pet_322		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60212,3
41	0	pet_323		0	0	70	5	71		0		70				
42	6	pet_323	pet_324	1	5	70	5	71	item101020505207,2;item101020505317,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
43	0	pet_324		1	5	70	5	71	item101020505207,2;item101020505317,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
44	0	pet_324		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69000,2	
45	0	pet_324		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	
46	0	pet_324		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60232,1
47	0	pet_324		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60232,2
48	0	pet_324		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60232,3
49	0	pet_309		0	0	70	5	71		0		70				
50	7	pet_309	pet_310	1	5	70	5	71	item101020505207,2;item101020505310,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69004,1	
51	0	pet_310		1	5	70	5	71	item101020505207,2;item101020505310,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69004,1	
52	0	pet_310		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69004,2	
53	0	pet_310		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	
54	0	pet_310		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	skill60032,1
55	0	pet_310		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	skill60032,2
56	0	pet_310		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	skill60032,3
57	0	pet_354		0	0	70	5	71		0		70				
58	8	pet_354	pet_370	1	5	70	5	71	item101020505207,2;item101020505358,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69002,1	
59	0	pet_370		1	5	70	5	71	item101020505207,2;item101020505358,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69002,1	
60	0	pet_370		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69002,2	
61	0	pet_370		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	
62	0	pet_370		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61412,1
63	0	pet_370		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61412,2
64	0	pet_370		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61412,3
65	0	pet_355		0	0	70	5	71		0		70				
66	9	pet_355	pet_371	1	5	70	5	71	item101020505207,2;item101020505359,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
67	0	pet_371		1	5	70	5	71	item101020505207,2;item101020505359,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
68	0	pet_371		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69000,2	
69	0	pet_371		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	
70	0	pet_371		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61432,1
71	0	pet_371		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61432,2
72	0	pet_371		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61432,3
73	0	pet_345		0	0	70	5	71		0		70				
74	10	pet_345	pet_378	1	5	70	5	71	item101020505207,2;item101020505349,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69003,1	
75	0	pet_378		1	5	70	5	71	item101020505207,2;item101020505349,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69003,1	
76	0	pet_378		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69003,2	
77	0	pet_378		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69003,3	
78	0	pet_378		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69003,3	skill61312,1
79	0	pet_378		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69003,3	skill61312,2
80	0	pet_378		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69003,3	skill61312,3
81	0	pet_351		0	0	70	5	71		0		70				
82	11	pet_351	pet_379	1	5	70	5	71	item101020505207,2;item101020505355,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69004,1	
83	0	pet_379		1	5	70	5	71	item101020505207,2;item101020505355,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69004,1	
84	0	pet_379		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69004,2	
85	0	pet_379		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	
86	0	pet_379		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	skill61172,1
87	0	pet_379		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	skill61172,2
88	0	pet_379		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	skill61172,3
89	0	pet_339		0	0	70	5	71		0		70				
90	12	pet_339	pet_380	1	5	70	5	71	item101020505207,2;item101020505343,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69002,1	
91	0	pet_380		1	5	70	5	71	item101020505207,2;item101020505343,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69002,1	
92	0	pet_380		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69002,2	
93	0	pet_380		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	
94	0	pet_380		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61152,1
95	0	pet_380		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61152,2
96	0	pet_380		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61152,3
97	0	pet_337		0	0	70	5	71		0		70				
98	13	pet_337	pet_381	1	5	70	5	71	item101020505207,2;item101020505341,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69002,1	
99	0	pet_381		1	5	70	5	71	item101020505207,2;item101020505341,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69002,1	
100	0	pet_381		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69002,2	
101	0	pet_381		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	
102	0	pet_381		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61032,1
103	0	pet_381		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61032,2
104	0	pet_381		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61032,3
105	0	pet_344		0	0	70	5	71		0		70				
106	14	pet_344	pet_382	1	5	70	5	71	item101020505207,2;item101020505348,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
107	0	pet_382		1	5	70	5	71	item101020505207,2;item101020505348,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
108	0	pet_382		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69000,2	
109	0	pet_382		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	
110	0	pet_382		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61232,1
111	0	pet_382		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61232,2
112	0	pet_382		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61232,3
113	0	pet_349		0	0	70	5	71		0		70				
114	15	pet_349	pet_383	1	5	70	5	71	item101020505207,2;item101020505353,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69004,1	
115	0	pet_383		1	5	70	5	71	item101020505207,2;item101020505353,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69004,1	
116	0	pet_383		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69004,2	
117	0	pet_383		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	
118	0	pet_383		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	skill61332,1
119	0	pet_383		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	skill61332,2
120	0	pet_383		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	skill61332,3
121	0	pet_360		0	0	70	5	71		0		70				
122	16	pet_360	pet_388	1	5	70	5	71	item101020505207,2;item101020505364,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69003,1	
123	0	pet_388		1	5	70	5	71	item101020505207,2;item101020505364,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69003,1	
124	0	pet_388		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69003,2	
125	0	pet_388		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69003,3	
126	0	pet_388		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69003,3	skill61453,1
127	0	pet_388		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69003,3	skill61453,2
128	0	pet_388		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69003,3	skill61453,3
129	0	pet_362		0	0	70	5	71		0		70				
130	17	pet_362	pet_389	1	5	70	5	71	item101020505207,2;item101020505366,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
131	0	pet_389		1	5	70	5	71	item101020505207,2;item101020505366,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
132	0	pet_389		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69000,2	
133	0	pet_389		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	
134	0	pet_389		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61503,1
135	0	pet_389		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61503,2
136	0	pet_389		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61503,3
137	0	pet_364		0	0	70	5	71		0		70				
138	18	pet_364	pet_390	1	5	70	5	71	item101020505207,2;item101020505368,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69004,1	
139	0	pet_390		1	5	70	5	71	item101020505207,2;item101020505368,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69004,1	
140	0	pet_390		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69004,2	
141	0	pet_390		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	
142	0	pet_390		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	skill61523,1
143	0	pet_390		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	skill61523,2
144	0	pet_390		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69004,3	skill61523,3
145	0	pet_394		0	0	70	5	71		0		70				
146	19	pet_394	pet_396	1	5	70	5	71	item101020505207,2;item101020505386,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
147	0	pet_396		1	5	70	5	71	item101020505207,2;item101020505386,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
148	0	pet_396		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69000,2	
149	0	pet_396		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	
150	0	pet_396		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61693,1
151	0	pet_396		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61693,2
152	0	pet_396		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61693,3
153	0	pet_395		0	0	70	5	71		0		70				
154	20	pet_395	pet_397	1	5	70	5	71	item101020505207,2;item101020505387,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69002,1	
155	0	pet_397		1	5	70	5	71	item101020505207,2;item101020505387,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69002,1	
156	0	pet_397		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69002,2	
157	0	pet_397		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	
158	0	pet_397		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61703,1
159	0	pet_397		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61703,2
160	0	pet_397		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61703,3
161	0	pet_350		0	0	70	5	71		0		70				
162	21	pet_350	pet_398	1	5	70	5	71	item101020505207,2;item101020505354,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69002,1	
163	0	pet_398		1	5	70	5	71	item101020505207,2;item101020505354,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69002,1	
164	0	pet_398		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69002,2	
165	0	pet_398		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	
166	0	pet_398		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61352,1
167	0	pet_398		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61352,2
168	0	pet_398		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61352,3
169	0	pet_367		0	0	70	5	71		0		70				
170	22	pet_367	pet_399	1	5	70	5	71	item101020505207,2;item101020505371,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
171	0	pet_399		1	5	70	5	71	item101020505207,2;item101020505371,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
172	0	pet_399		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69000,2	
173	0	pet_399		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	
174	0	pet_399		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61533,1
175	0	pet_399		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61533,2
176	0	pet_399		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill61533,3
177	0	pet_373		0	0	70	5	71		0		70				
178	23	pet_373	pet_400	1	5	70	5	71	item101020505207,2;item101020505375,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69002,1	
179	0	pet_400		1	5	70	5	71	item101020505207,2;item101020505375,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69002,1	
180	0	pet_400		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69002,2	
181	0	pet_400		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	
182	0	pet_400		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61593,1
183	0	pet_400		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61593,2
184	0	pet_400		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69002,3	skill61593,3
