流水	装备ID	等级	属性
356	226	14	4,36;22,165;25,81
357	226	15	4,39;22,178;25,87
358	226	16	4,43;22,194;25,95
359	226	17	4,47;22,210;25,103
360	226	18	4,51;22,226;25,111
361	226	19	4,55;22,242;25,119
362	226	20	4,59;22,258;25,127
363	226	21	4,64;22,278;25,137
364	226	22	4,69;22,298;25,147
365	226	23	4,74;22,318;25,157
366	226	24	4,79;22,338;25,167
367	226	25	4,84;22,358;25,177
368	226	26	4,93;22,391;25,194
369	226	27	4,102;22,424;25,211
370	226	28	4,111;22,457;25,228
371	226	29	4,120;22,490;25,245
372	226	30	4,129;22,523;25,262
373	231	0	3,37;21,40;25,41
374	231	1	3,44;21,48;25,49
375	231	2	3,51;21,56;25,57
376	231	3	3,58;21,64;25,65
377	231	4	3,65;21,72;25,73
378	231	5	3,72;21,80;25,81
379	231	6	3,83;21,92;25,93
380	231	7	3,94;21,104;25,105
381	231	8	3,105;21,116;25,117
382	231	9	3,116;21,128;25,129
383	231	10	3,127;21,140;25,141
384	231	11	3,142;21,156;25,157
385	231	12	3,157;21,172;25,173
386	231	13	3,172;21,188;25,189
387	231	14	3,187;21,204;25,205
388	231	15	3,202;21,220;25,221
389	231	16	3,220;21,240;25,241
390	231	17	3,238;21,260;25,261
391	231	18	3,256;21,280;25,281
392	231	19	3,274;21,300;25,301
393	231	20	3,292;21,320;25,321
394	231	21	3,314;21,344;25,345
395	231	22	3,336;21,368;25,369
396	231	23	3,358;21,392;25,393
397	231	24	3,380;21,416;25,417
398	231	25	3,402;21,440;25,441
399	231	26	3,439;21,480;25,482
400	231	27	3,476;21,520;25,523
401	231	28	3,513;21,560;25,564
402	231	29	3,550;21,600;25,605
403	231	30	3,587;21,640;25,646
404	232	0	1,139;21,34;24,26
405	232	1	1,166;21,40;24,31
406	232	2	1,193;21,46;24,36
407	232	3	1,220;21,52;24,41
408	232	4	1,247;21,58;24,46
409	232	5	1,274;21,64;24,51
410	232	6	1,315;21,74;24,58
411	232	7	1,356;21,84;24,65
412	232	8	1,397;21,94;24,72
413	232	9	1,438;21,104;24,79
414	232	10	1,479;21,114;24,86
415	232	11	1,534;21,127;24,96
416	232	12	1,589;21,140;24,106
417	232	13	1,644;21,153;24,116
418	232	14	1,699;21,166;24,126
419	232	15	1,754;21,179;24,136
420	232	16	1,823;21,196;24,149
421	232	17	1,892;21,213;24,162
422	232	18	1,961;21,230;24,175
423	232	19	1,1030;21,247;24,188
424	232	20	1,1099;21,264;24,201
425	232	21	1,1182;21,284;24,216
426	232	22	1,1265;21,304;24,231
427	232	23	1,1348;21,324;24,246
428	232	24	1,1431;21,344;24,261
429	232	25	1,1514;21,364;24,276
430	232	26	1,1653;21,398;24,302
431	232	27	1,1792;21,432;24,328
432	232	28	1,1931;21,466;24,354
433	232	29	1,2070;21,500;24,380
434	232	30	1,2209;21,534;24,406
435	233	0	4,13;23,30;26,18
436	233	1	4,15;23,36;26,21
437	233	2	4,17;23,42;26,24
438	233	3	4,19;23,48;26,27
439	233	4	4,21;23,54;26,30
440	233	5	4,23;23,60;26,33
441	233	6	4,26;23,69;26,38
442	233	7	4,29;23,78;26,43
443	233	8	4,32;23,87;26,48
444	233	9	4,35;23,96;26,53
445	233	10	4,38;23,105;26,58
446	233	11	4,43;23,117;26,65
447	233	12	4,48;23,129;26,72
448	233	13	4,53;23,141;26,79
449	233	14	4,58;23,153;26,86
450	233	15	4,63;23,165;26,93
451	233	16	4,69;23,180;26,102
452	233	17	4,75;23,195;26,111
453	233	18	4,81;23,210;26,120
454	233	19	4,87;23,225;26,129
455	233	20	4,93;23,240;26,138
456	233	21	4,100;23,258;26,149
457	233	22	4,107;23,276;26,160
458	233	23	4,114;23,294;26,171
459	233	24	4,121;23,312;26,182
460	233	25	4,128;23,330;26,193
461	233	26	4,141;23,360;26,211
462	233	27	4,154;23,390;26,229
463	233	28	4,167;23,420;26,247
464	233	29	4,180;23,450;26,265
465	233	30	4,193;23,480;26,283
466	234	0	4,17;24,38;26,27
467	234	1	4,20;24,45;26,32
468	234	2	4,23;24,52;26,37
469	234	3	4,26;24,59;26,42
470	234	4	4,29;24,66;26,47
471	234	5	4,32;24,73;26,52
472	234	6	4,37;24,84;26,60
473	234	7	4,42;24,95;26,68
474	234	8	4,47;24,106;26,76
475	234	9	4,52;24,117;26,84
476	234	10	4,57;24,128;26,92
477	234	11	4,64;24,143;26,102
478	234	12	4,71;24,158;26,112
479	234	13	4,78;24,173;26,122
480	234	14	4,85;24,188;26,132
481	234	15	4,92;24,203;26,142
482	234	16	4,100;24,222;26,155
483	234	17	4,108;24,241;26,168
484	234	18	4,116;24,260;26,181
485	234	19	4,124;24,279;26,194
486	234	20	4,132;24,298;26,207
487	234	21	4,142;24,321;26,223
488	234	22	4,152;24,344;26,239
489	234	23	4,162;24,367;26,255
490	234	24	4,172;24,390;26,271
491	234	25	4,182;24,413;26,287
492	234	26	4,199;24,451;26,314
493	234	27	4,216;24,489;26,341
494	234	28	4,233;24,527;26,368
495	234	29	4,250;24,565;26,395
496	234	30	4,267;24,603;26,422
497	235	0	1,244;22,24;23,17
498	235	1	1,292;22,28;23,20
499	235	2	1,340;22,32;23,23
500	235	3	1,388;22,36;23,26
501	235	4	1,436;22,40;23,29
502	235	5	1,484;22,44;23,32
503	235	6	1,557;22,51;23,37
504	235	7	1,630;22,58;23,42
505	235	8	1,703;22,65;23,47
506	235	9	1,776;22,72;23,52
507	235	10	1,849;22,79;23,57
508	235	11	1,946;22,88;23,64
509	235	12	1,1043;22,97;23,71
510	235	13	1,1140;22,106;23,78
511	235	14	1,1237;22,115;23,85
512	235	15	1,1334;22,124;23,92
513	235	16	1,1456;22,136;23,100
514	235	17	1,1578;22,148;23,108
515	235	18	1,1700;22,160;23,116
516	235	19	1,1822;22,172;23,124
517	235	20	1,1944;22,184;23,132
518	235	21	1,2090;22,198;23,142
519	235	22	1,2236;22,212;23,152
520	235	23	1,2382;22,226;23,162
521	235	24	1,2528;22,240;23,172
522	235	25	1,2674;22,254;23,182
523	235	26	1,2918;22,278;23,199
524	235	27	1,3162;22,302;23,216
525	235	28	1,3406;22,326;23,233
526	235	29	1,3650;22,350;23,250
527	235	30	1,3894;22,374;23,267
528	236	0	4,9;22,37;25,13
529	236	1	4,10;22,44;25,15
530	236	2	4,11;22,51;25,17
531	236	3	4,12;22,58;25,19
532	236	4	4,13;22,65;25,21
533	236	5	4,14;22,72;25,23
534	236	6	4,16;22,83;25,27
535	236	7	4,18;22,94;25,31
536	236	8	4,20;22,105;25,35
537	236	9	4,22;22,116;25,39
538	236	10	4,24;22,127;25,43
539	236	11	4,27;22,142;25,48
540	236	12	4,30;22,157;25,53
541	236	13	4,33;22,172;25,58
542	236	14	4,36;22,187;25,63
543	236	15	4,39;22,202;25,68
544	236	16	4,43;22,220;25,74
545	236	17	4,47;22,238;25,80
546	236	18	4,51;22,256;25,86
547	236	19	4,55;22,274;25,92
548	236	20	4,59;22,292;25,98
549	236	21	4,64;22,314;25,106
550	236	22	4,69;22,336;25,114
551	236	23	4,74;22,358;25,122
552	236	24	4,79;22,380;25,130
553	236	25	4,84;22,402;25,138
554	236	26	4,93;22,439;25,151
555	236	27	4,102;22,476;25,164
556	236	28	4,111;22,513;25,177
557	236	29	4,120;22,550;25,190
558	236	30	4,129;22,587;25,203
559	241	0	3,34;21,36;25,51
560	241	1	3,40;21,43;25,61
561	241	2	3,46;21,50;25,71
562	241	3	3,52;21,57;25,81
563	241	4	3,58;21,64;25,91
564	241	5	3,64;21,71;25,101
565	241	6	3,74;21,82;25,116
566	241	7	3,84;21,93;25,131
567	241	8	3,94;21,104;25,146
568	241	9	3,104;21,115;25,161
569	241	10	3,114;21,126;25,176
570	241	11	3,127;21,140;25,196
571	241	12	3,140;21,154;25,216
572	241	13	3,153;21,168;25,236
573	241	14	3,166;21,182;25,256
574	241	15	3,179;21,196;25,276
575	241	16	3,196;21,214;25,301
576	241	17	3,213;21,232;25,326
577	241	18	3,230;21,250;25,351
578	241	19	3,247;21,268;25,376
579	241	20	3,264;21,286;25,401
580	241	21	3,284;21,308;25,431
581	241	22	3,304;21,330;25,461
582	241	23	3,324;21,352;25,491
583	241	24	3,344;21,374;25,521
584	241	25	3,364;21,396;25,551
585	241	26	3,398;21,432;25,602
586	241	27	3,432;21,468;25,653
587	241	28	3,466;21,504;25,704
588	241	29	3,500;21,540;25,755
589	241	30	3,534;21,576;25,806
590	242	0	1,150;21,31;24,28
591	242	1	1,180;21,37;24,33
592	242	2	1,210;21,43;24,38
593	242	3	1,240;21,49;24,43
594	242	4	1,270;21,55;24,48
595	242	5	1,300;21,61;24,53
596	242	6	1,345;21,70;24,61
597	242	7	1,390;21,79;24,69
598	242	8	1,435;21,88;24,77
599	242	9	1,480;21,97;24,85
600	242	10	1,525;21,106;24,93
601	242	11	1,585;21,118;24,104
602	242	12	1,645;21,130;24,115
603	242	13	1,705;21,142;24,126
604	242	14	1,765;21,154;24,137
605	242	15	1,825;21,166;24,148
606	242	16	1,900;21,181;24,162
607	242	17	1,975;21,196;24,176
608	242	18	1,1050;21,211;24,190
609	242	19	1,1125;21,226;24,204
610	242	20	1,1200;21,241;24,218
611	242	21	1,1290;21,259;24,235
612	242	22	1,1380;21,277;24,252
613	242	23	1,1470;21,295;24,269
614	242	24	1,1560;21,313;24,286
615	242	25	1,1650;21,331;24,303
616	242	26	1,1800;21,362;24,331
617	242	27	1,1950;21,393;24,359
618	242	28	1,2100;21,424;24,387
619	242	29	1,2250;21,455;24,415
620	242	30	1,2400;21,486;24,443
621	243	0	4,13;23,21;26,24
622	243	1	4,15;23,25;26,28
623	243	2	4,17;23,29;26,32
624	243	3	4,19;23,33;26,36
625	243	4	4,21;23,37;26,40
626	243	5	4,23;23,41;26,44
627	243	6	4,26;23,47;26,51
628	243	7	4,29;23,53;26,58
629	243	8	4,32;23,59;26,65
630	243	9	4,35;23,65;26,72
631	243	10	4,38;23,71;26,79
632	243	11	4,43;23,79;26,88
633	243	12	4,48;23,87;26,97
634	243	13	4,53;23,95;26,106
635	243	14	4,58;23,103;26,115
636	243	15	4,63;23,111;26,124
637	243	16	4,69;23,121;26,136
638	243	17	4,75;23,131;26,148
639	243	18	4,81;23,141;26,160
640	243	19	4,87;23,151;26,172
641	243	20	4,93;23,161;26,184
642	243	21	4,100;23,173;26,198
643	243	22	4,107;23,185;26,212
644	243	23	4,114;23,197;26,226
645	243	24	4,121;23,209;26,240
646	243	25	4,128;23,221;26,254
647	243	26	4,141;23,242;26,278
648	243	27	4,154;23,263;26,302
649	243	28	4,167;23,284;26,326
650	243	29	4,180;23,305;26,350
651	243	30	4,193;23,326;26,374
652	244	0	4,17;24,42;26,35
653	244	1	4,20;24,50;26,42
654	244	2	4,23;24,58;26,49
655	244	3	4,26;24,66;26,56
656	244	4	4,29;24,74;26,63
657	244	5	4,32;24,82;26,70
658	244	6	4,37;24,94;26,80
659	244	7	4,42;24,106;26,90
660	244	8	4,47;24,118;26,100
661	244	9	4,52;24,130;26,110
662	244	10	4,57;24,142;26,120
663	244	11	4,64;24,159;26,134
664	244	12	4,71;24,176;26,148
665	244	13	4,78;24,193;26,162
666	244	14	4,85;24,210;26,176
667	244	15	4,92;24,227;26,190
668	244	16	4,100;24,248;26,207
669	244	17	4,108;24,269;26,224
670	244	18	4,116;24,290;26,241
671	244	19	4,124;24,311;26,258
672	244	20	4,132;24,332;26,275
673	244	21	4,142;24,357;26,296
674	244	22	4,152;24,382;26,317
675	244	23	4,162;24,407;26,338
676	244	24	4,172;24,432;26,359
677	244	25	4,182;24,457;26,380
678	244	26	4,199;24,499;26,415
679	244	27	4,216;24,541;26,450
680	244	28	4,233;24,583;26,485
681	244	29	4,250;24,625;26,520
682	244	30	4,267;24,667;26,555
683	245	0	1,263;22,19;23,12
684	245	1	1,315;22,22;23,14
685	245	2	1,367;22,25;23,16
686	245	3	1,419;22,28;23,18
687	245	4	1,471;22,31;23,20
688	245	5	1,523;22,34;23,22
689	245	6	1,602;22,39;23,25
690	245	7	1,681;22,44;23,28
691	245	8	1,760;22,49;23,31
692	245	9	1,839;22,54;23,34
693	245	10	1,918;22,59;23,37
694	245	11	1,1023;22,66;23,42
695	245	12	1,1128;22,73;23,47
696	245	13	1,1233;22,80;23,52
697	245	14	1,1338;22,87;23,57
698	245	15	1,1443;22,94;23,62
699	245	16	1,1574;22,103;23,68
700	245	17	1,1705;22,112;23,74
701	245	18	1,1836;22,121;23,80
702	245	19	1,1967;22,130;23,86
703	245	20	1,2098;22,139;23,92
704	245	21	1,2256;22,150;23,99
705	245	22	1,2414;22,161;23,106
706	245	23	1,2572;22,172;23,113
707	245	24	1,2730;22,183;23,120
708	245	25	1,2888;22,194;23,127
709	245	26	1,3151;22,213;23,139
710	245	27	1,3414;22,232;23,151
711	245	28	1,3677;22,251;23,163
712	245	29	1,3940;22,270;23,175
713	245	30	1,4203;22,289;23,187
714	246	0	4,9;22,29;25,17
715	246	1	4,10;22,34;25,20
716	246	2	4,11;22,39;25,23
717	246	3	4,12;22,44;25,26
718	246	4	4,13;22,49;25,29
719	246	5	4,14;22,54;25,32
720	246	6	4,16;22,62;25,37
721	246	7	4,18;22,70;25,42
722	246	8	4,20;22,78;25,47
723	246	9	4,22;22,86;25,52
724	246	10	4,24;22,94;25,57
725	246	11	4,27;22,105;25,63
726	246	12	4,30;22,116;25,69
727	246	13	4,33;22,127;25,75
728	246	14	4,36;22,138;25,81
729	246	15	4,39;22,149;25,87
730	246	16	4,43;22,163;25,95
731	246	17	4,47;22,177;25,103
732	246	18	4,51;22,191;25,111
733	246	19	4,55;22,205;25,119
734	246	20	4,59;22,219;25,127
735	246	21	4,64;22,236;25,137
736	246	22	4,69;22,253;25,147
737	246	23	4,74;22,270;25,157
738	246	24	4,79;22,287;25,167
739	246	25	4,84;22,304;25,177
740	246	26	4,93;22,333;25,194
741	246	27	4,102;22,362;25,211
742	246	28	4,111;22,391;25,228
743	246	29	4,120;22,420;25,245
744	246	30	4,129;22,449;25,262
745	251	0	3,39;21,33;25,61
746	251	1	3,46;21,39;25,73
747	251	2	3,53;21,45;25,85
748	251	3	3,60;21,51;25,97
749	251	4	3,67;21,57;25,109
750	251	5	3,74;21,63;25,121
751	251	6	3,85;21,72;25,139
752	251	7	3,96;21,81;25,157
753	251	8	3,107;21,90;25,175
754	251	9	3,118;21,99;25,193
755	251	10	3,129;21,108;25,211
756	251	11	3,144;21,121;25,235
757	251	12	3,159;21,134;25,259
758	251	13	3,174;21,147;25,283
759	251	14	3,189;21,160;25,307
760	251	15	3,204;21,173;25,331
761	251	16	3,223;21,189;25,361
762	251	17	3,242;21,205;25,391
763	251	18	3,261;21,221;25,421
764	251	19	3,280;21,237;25,451
765	251	20	3,299;21,253;25,481
766	251	21	3,322;21,272;25,517
767	251	22	3,345;21,291;25,553
