流水id	场景id	巢穴类型	副本阶段	控制方式	条件类型值	刷新内容	限制类型值	奖励次数保留上限	技能攻略
46	1038	6	4	1	monster30100680	30	1	3	204,205,206,207,208,209,210
47	1040	7	1	1	monster30100760	30	1	3	334,335,336,337,338,333
48	1040	7	3	1	monster30100780	30	1	3	340,341,342,343,344,345,346,347
49	1041	7	1	1	monster30100760	30	1	3	334,335,336,337,338,333
50	1041	7	3	1	monster30100780	30	1	3	340,341,342,343,344,345,346,347
51	1104	101	1	1	monster31000280	33	1	1	141,142,143,144,162,145,146,147,148,149,163
52	1104	101	2	1	monster31000261	33	1	1	
53	1104	101	3	1	monster31000262	33	1	1	
54	1104	101	4	1	monster31000207	33	1	1	
55	1104	101	5	1	monster31000281	33	1	1	150,151,152,153,154,155,156,157,158,164
56	1101	101	1	1	monster31000280	33	1	1	141,142,143,144,162,145,146,147,148,149,163
57	1101	101	2	1	monster31000261	33	1	1	
58	1101	101	3	1	monster31000262	33	1	1	
59	1101	101	4	1	monster31000207	33	1	1	
60	1101	101	5	1	monster31000281	33	1	1	150,151,152,153,154,155,156,157,158,164
61	1102	102	1	1	monster31000380	33	1	1	166,167,168,169,170,171,172,173,174,175,176
62	1102	102	2	1	monster31000381	33	1	1	177,178,179,180,181,182,183,184,185
63	1107	102	1	1	monster31000380	33	1	1	166,167,168,169,170,171,172,173,174,175,176
64	1107	102	2	1	monster31000381	33	1	1	177,178,179,180,181,182,183,184,185
65	1106	103	1	1	monster31000480	33	1	1	287,288,289,290,291,292,293,294,295,296,297
66	1106	103	2	1	monster31000481	33	1	1	298,299,300,301,302,303,304,305,306,307,308,309,310
67	1108	103	1	1	monster31100480	33	1	1	287,288,289,290,291,292,293,294,295,296,297
68	1108	103	2	1	monster31100481	33	1	1	298,299,300,301,302,303,304,305,306,307,308,309,310
69	1105	104	3	1	monster31000580	33	1	1	311,312,313,314,315,316,317,318,319,320
70	1105	104	5	1	monster31000581	33	1	1	321,322,323,324,325,326,327,328,329,330,331,332
71	1110	104	3	1	monster31000580	33	1	1	311,312,313,314,315,316,317,318,319,320
72	1110	104	5	1	monster31100581	33	1	1	321,322,323,324,325,326,327,328,329,330,373,332
73	1111	105	3	1	monster31000680	33	1	1	374,375,376,377,378,379
74	1111	105	5	1	monster31000681	33	1	1	380,381,382,383,384,385,386,387
75	1112	105	3	1	monster31000680	33	1	1	374,375,376,377,378,379
76	1112	105	5	1	monster31000681	33	1	1	380,381,382,383,384,385,386,387
77	1998	301	1	1	monster36800000	30	1	1	406,407,408,409,410,411,412,413,414
78	1113	108	3	1	monster31000782	33	1	1	415,416,417,418,419,420,421
79	1113	108	6	1	monster31000783	33	1	1	422,423,424,425,426,427,428,429,430
80	1114	108	3	1	monster31000782	33	1	1	415,416,417,418,419,420,421
81	1114	108	6	1	monster31000783	33	1	1	422,423,424,425,426,427,428,429,430
82	1090	401	1	2	0	33	1	1	495,6,7,8,159
83	1090	401	2	1	monster37000207	33	1	1	496,13,14,15,16,160
84	1091	401	1	2	0	33	1	1	495,6,7,8,159
85	1091	401	2	1	monster37000217	33	1	1	496,13,14,15,16,160
86	1092	402	1	2	0	33	1	1	497,27,28,159
87	1092	402	2	1	monster37000310	33	1	1	498,32,33,34,159
88	1092	402	3	1	monster37000312	33	1	1	499,39,40,41,42,43,160
89	1093	402	1	2	0	33	1	1	497,27,28,159
90	1093	402	2	1	monster37000360	33	1	1	498,32,33,34,159
91	1093	402	3	1	monster37000362	33	1	1	499,39,40,41,42,43,160
92	1094	403	1	1	monster37000519	33	1	1	500,45,46,159
93	1094	403	2	1	monster37000520,monster37000521,monster37000522	33	1	1	501,49,50,51,159
94	1094	403	3	1	monster37000523	33	1	1	502,55,56,57,58,59,60,160
95	1095	403	1	1	monster37000569	33	1	1	500,45,46,159
96	1095	403	2	1	monster37000570,monster37000571,monster37000572	33	1	1	501,49,50,51,159
97	1095	403	3	1	monster37000573	33	1	1	502,55,56,57,58,59,60,160
