掉落库Id	加成的才艺属性id	掉落内容
81013	0	item127000065038
81013	0	item127000065039
81013	0	item127000065048
81013	0	item127000065049
81014	0	item127000065065
81014	0	item127000065066
81015	0	item127000065067
81015	0	item127000065068
81016	0	item127000065064
81016	0	item127000065069
81017	0	item127000065062
81017	0	item127000065063
1011	0	item127000063000
1011	0	item127000063001
1011	0	item127000063020
1011	0	item127000063023
1021	0	item127000063000
1021	0	item127000063001
1021	0	item127000063020
1021	0	item127000063023
1031	0	item127000063000
1031	0	item127000063001
1031	0	item127000063020
1031	0	item127000063023
1041	0	item127000063000
1041	0	item127000063001
1041	0	item127000063020
1041	0	item127000063023
1051	0	item127000063000
1051	0	item127000063001
1051	0	item127000063002
1051	0	item127000063020
1051	0	item127000063023
1061	0	item127000063000
1061	0	item127000063001
1061	0	item127000063002
1061	0	item127000063020
1061	0	item127000063023
1012	0	item127000063000
1012	0	item127000063001
1012	0	item127000063020
1012	0	81001
1022	0	item127000063000
1022	0	item127000063001
1022	0	item127000063020
1022	0	81002
1022	0	81002
1032	0	item127000063000
1032	0	item127000063001
1032	0	item127000063020
1032	0	81003
1032	0	81003
1042	0	item127000063000
1042	0	item127000063001
1042	0	item127000063020
1042	0	81001
1042	0	81001
1042	0	81001
1052	0	item127000063000
1052	0	item127000063001
1052	0	item127000063002
1052	0	item127000063020
1052	0	81002
1052	0	81002
1062	0	item127000063000
1062	0	item127000063001
1062	0	item127000063002
1062	0	item127000063020
1062	0	81003
1062	0	81003
2011	0	item127000063000
2011	0	item127000063001
2011	0	item127000063002
2011	0	item127000063020
2011	0	item127000063023
2021	0	item127000063000
2021	0	item127000063001
2021	0	item127000063002
2021	0	item127000063020
2021	0	item127000063023
2031	0	item127000063000
2031	0	item127000063001
2031	0	item127000063002
2031	0	item127000063020
2031	0	item127000063023
2041	0	item127000063000
2041	0	item127000063001
2041	0	item127000063002
2041	0	item127000063020
2041	0	item127000063023
2051	0	item127000063000
2051	0	item127000063001
2051	0	item127000063002
2051	0	item127000063020
2051	0	item127000063023
2061	0	item127000063000
2061	0	item127000063001
2061	0	item127000063002
2061	0	item127000063020
2061	0	item127000063023
2071	0	item127000063000
2071	0	item127000063001
2071	0	item127000063002
2071	0	item127000063020
2071	0	item127000063023
2012	0	item127000063000
2012	0	item127000063001
2012	0	item127000063002
2012	0	item127000063020
2012	0	81001
2012	0	81009
2022	0	item127000063000
2022	0	item127000063001
2022	0	item127000063002
2022	0	item127000063020
2022	0	81002
2022	0	81002
2022	0	81006
2022	0	81010
2032	0	item127000063000
2032	0	item127000063001
2032	0	item127000063002
2032	0	item127000063020
2032	0	81003
2032	0	81003
2032	0	81007
2032	0	81011
2042	0	item127000063000
2042	0	item127000063001
2042	0	item127000063002
2042	0	item127000063020
2042	0	81001
2042	0	81001
2042	0	81008
2042	0	81012
2052	0	item127000063000
2052	0	item127000063001
2052	0	item127000063002
2052	0	item127000063020
2052	0	81002
2052	0	81002
2052	0	81004
2052	0	81013
2062	0	item127000063000
2062	0	item127000063001
2062	0	item127000063002
2062	0	item127000063020
2062	0	81003
2062	0	81003
2062	0	81005
2062	0	81009
2072	0	item127000063000
2072	0	item127000063001
2072	0	item127000063002
2072	0	item127000063020
2072	0	81001
2072	0	81001
2072	0	81006
2072	0	81010
3011	0	item127000063000
3011	0	item127000063001
3011	0	item127000063002
3011	0	item127000063020
3011	0	item127000063023
3021	0	item127000063000
3021	0	item127000063001
3021	0	item127000063002
3021	0	item127000063020
3021	0	item127000063023
3031	0	item127000063000
3031	0	item127000063001
3031	0	item127000063002
3031	0	item127000063020
3031	0	item127000063023
3041	0	item127000063000
3041	0	item127000063001
3041	0	item127000063002
3041	0	item127000063020
3041	0	item127000063023
3051	0	item127000063000
3051	0	item127000063001
3051	0	item127000063002
3051	0	item127000063020
3051	0	item127000063023
3061	0	item127000063000
3061	0	item127000063001
3061	0	item127000063002
3061	0	item127000063020
3061	0	item127000063023
3071	0	item127000063000
3071	0	item127000063001
3071	0	item127000063002
3071	0	item127000063020
3071	0	item127000063023
3081	0	item127000063000
3081	0	item127000063001
3081	0	item127000063002
3081	0	item127000063020
3081	0	item127000063023
4011	0	item127000063000
4011	0	item127000063001
4011	0	item127000063002
4011	0	item127000063020
4011	0	item127000063023
4021	0	item127000063000
4021	0	item127000063001
4021	0	item127000063002
4021	0	item127000063020
4021	0	item127000063023
4031	0	item127000063000
4031	0	item127000063001
4031	0	item127000063002
4031	0	item127000063020
4031	0	item127000063023
4041	0	item127000063000
4041	0	item127000063001
4041	0	item127000063002
4041	0	item127000063020
4041	0	item127000063023
4051	0	item127000063000
4051	0	item127000063002
4051	0	item127000063003
4051	0	item127000063020
4051	0	item127000063023
4061	0	item127000063000
4061	0	item127000063002
4061	0	item127000063003
4061	0	item127000063020
4061	0	item127000063023
4071	0	item127000063000
4071	0	item127000063002
4071	0	item127000063003
4071	0	item127000063020
4071	0	item127000063023
5011	0	item127000063000
5011	0	item127000063002
5011	0	item127000063003
5011	0	item127000063020
5011	0	item127000063023
5021	0	item127000063000
5021	0	item127000063002
5021	0	item127000063003
5021	0	item127000063020
5021	0	item127000063023
5031	0	item127000063000
5031	0	item127000063002
5031	0	item127000063003
5031	0	item127000063020
5031	0	item127000063023
5041	0	item127000063000
5041	0	item127000063002
5041	0	item127000063003
5041	0	item127000063020
5041	0	item127000063023
5051	0	item127000063000
5051	0	item127000063002
5051	0	item127000063003
5051	0	item127000063020
5051	0	item127000063023
5061	0	item127000063000
5061	0	item127000063002
5061	0	item127000063003
5061	0	item127000063020
5061	0	item127000063023
5071	0	item127000063000
5071	0	item127000063002
5071	0	item127000063003
5071	0	item127000063020
5071	0	item127000063023
5081	0	item127000063000
5081	0	item127000063002
5081	0	item127000063003
5081	0	item127000063020
5081	0	item127000063023
6011	0	item127000063000
6011	0	item127000063002
6011	0	item127000063003
6011	0	item127000063020
6011	0	item127000063023
6021	0	item127000063000
6021	0	item127000063002
6021	0	item127000063003
6021	0	item127000063020
6021	0	item127000063023
6031	0	item127000063000
6031	0	item127000063002
6031	0	item127000063003
6031	0	item127000063020
6031	0	item127000063023
6041	0	item127000063000
6041	0	item127000063002
6041	0	item127000063003
6041	0	item127000063020
6041	0	item127000063023
6051	0	item127000063000
6051	0	item127000063002
6051	0	item127000063003
6051	0	item127000063020
6051	0	item127000063023
6061	0	item127000063000
6061	0	item127000063002
6061	0	item127000063003
6061	0	item127000063020
6061	0	item127000063023
6071	0	item127000063000
6071	0	item127000063002
6071	0	item127000063003
6071	0	item127000063020
6071	0	item127000063023
6081	0	item127000063000
6081	0	item127000063002
6081	0	item127000063003
6081	0	item127000063020
6081	0	item127000063023
6091	0	item127000063000
6091	0	item127000063002
6091	0	item127000063003
6091	0	item127000063020
6091	0	item127000063023
3012	0	item127000063000
3012	0	item127000063001
3012	0	item127000063002
3012	0	81002
3012	0	81002
3012	0	81007
3012	0	81011
3012	0	item127000063020
3022	0	item127000063000
3022	0	item127000063001
3022	0	item127000063002
3022	0	81003
3022	0	81003
3022	0	81008
3022	0	81012
3022	0	item127000063020
3032	0	item127000063000
3032	0	item127000063001
3032	0	item127000063002
3032	0	81001
3032	0	81001
3032	0	81004
3032	0	81013
3032	0	item127000063020
3042	0	item127000063000
3042	0	item127000063001
3042	0	item127000063002
3042	0	81002
3042	0	81002
3042	0	81005
3042	0	81009
3042	0	item127000063020
3052	0	item127000063000
3052	0	item127000063001
3052	0	item127000063002
3052	0	81003
3052	0	81003
3052	0	81006
3052	0	81006
3052	0	81010
3052	0	item127000063020
3062	0	item127000063000
3062	0	item127000063001
3062	0	item127000063002
3062	0	81001
3062	0	81001
3062	0	81007
3062	0	81007
3062	0	81011
3062	0	item127000063020
3072	0	item127000063000
3072	0	item127000063001
3072	0	item127000063002
3072	0	81002
3072	0	81002
3072	0	81008
3072	0	81008
3072	0	81012
3072	0	item127000063020
3082	0	item127000063000
3082	0	item127000063001
3082	0	item127000063002
3082	0	81003
3082	0	81003
3082	0	81004
3082	0	81004
3082	0	81013
3082	0	item127000063020
4012	0	item127000063000
4012	0	item127000063001
4012	0	item127000063002
4012	0	81001
4012	0	81001
4012	0	81005
4012	0	81005
4012	0	81009
4012	0	81014
4012	0	item127000063020
4022	0	item127000063000
4022	0	item127000063001
4022	0	item127000063002
4022	0	81002
4022	0	81002
4022	0	81006
4022	0	81006
4022	0	81010
4022	0	81015
4022	0	item127000063020
4032	0	item127000063000
4032	0	item127000063001
4032	0	item127000063002
4032	0	81003
4032	0	81003
4032	0	81007
4032	0	81007
4032	0	81011
4032	0	81016
4032	0	item127000063020
4042	0	item127000063000
4042	0	item127000063001
4042	0	item127000063002
4042	0	81001
4042	0	81001
4042	0	81008
4042	0	81008
4042	0	81012
4042	0	81017
4042	0	item127000063020
4052	0	item127000063000
4052	0	item127000063002
4052	0	item127000063003
4052	0	81002
4052	0	81002
4052	0	81004
4052	0	81004
4052	0	81013
4052	0	81014
4052	0	item127000063020
4062	0	item127000063000
4062	0	item127000063002
4062	0	item127000063003
4062	0	81003
4062	0	81003
4062	0	81005
4062	0	81005
4062	0	81009
4062	0	81015
4062	0	item127000063020
4072	0	item127000063000
4072	0	item127000063002
4072	0	item127000063003
4072	0	81001
4072	0	81001
4072	0	81006
4072	0	81006
4072	0	81010
4072	0	81016
4072	0	item127000063020
5012	0	item127000063000
5012	0	item127000063002
5012	0	item127000063003
5012	0	81002
5012	0	81002
5012	0	81007
5012	0	81002
5012	0	81007
5012	0	81011
5012	0	81017
5012	0	item127000063020
5022	0	item127000063000
5022	0	item127000063002
5022	0	item127000063003
5022	0	81003
5022	0	81003
5022	0	81008
5022	0	81003
5022	0	81008
5022	0	81012
5022	0	81014
5022	0	item127000063020
5032	0	item127000063000
5032	0	item127000063002
5032	0	item127000063003
5032	0	81001
5032	0	81004
5032	0	81001
5032	0	81004
5032	0	81001
5032	0	81004
5032	0	81013
5032	0	81015
5032	0	item127000063020
5042	0	item127000063000
5042	0	item127000063002
5042	0	item127000063003
5042	0	81002
5042	0	81005
5042	0	81002
5042	0	81005
5042	0	81002
5042	0	81005
5042	0	81009
5042	0	81016
5042	0	item127000063020
5052	0	item127000063000
5052	0	item127000063002
5052	0	item127000063003
5052	0	81003
5052	0	81006
5052	0	81003
5052	0	81006
5052	0	81003
5052	0	81006
5052	0	81010
5052	0	81017
5052	0	item127000063020
5062	0	item127000063000
5062	0	item127000063002
5062	0	item127000063003
5062	0	81001
5062	0	81007
5062	0	81001
5062	0	81007
5062	0	81001
5062	0	81007
5062	0	81011
5062	0	81014
5062	0	item127000063020
5072	0	item127000063000
5072	0	item127000063002
5072	0	item127000063003
5072	0	81002
5072	0	81008
5072	0	81002
5072	0	81008
5072	0	81002
5072	0	81008
5072	0	81012
5072	0	81015
5072	0	item127000063020
5082	0	item127000063000
5082	0	item127000063002
5082	0	item127000063003
5082	0	81003
5082	0	81004
5082	0	81003
5082	0	81004
5082	0	81003
5082	0	81004
5082	0	81013
5082	0	81016
5082	0	item127000063020
6012	0	item127000063000
6012	0	item127000063002
6012	0	item127000063003
6012	0	81001
6012	0	81005
6012	0	81001
6012	0	81005
6012	0	81001
6012	0	81005
6012	0	81009
6012	0	81017
6012	0	item127000063020
6022	0	item127000063000
6022	0	item127000063002
6022	0	item127000063003
6022	0	81002
6022	0	81006
6022	0	81002
6022	0	81006
6022	0	81002
6022	0	81006
6022	0	81010
6022	0	81014
6022	0	item127000063020
6032	0	item127000063000
6032	0	item127000063002
6032	0	item127000063003
6032	0	81003
6032	0	81007
6032	0	81003
6032	0	81007
6032	0	81003
6032	0	81007
6032	0	81011
6032	0	81015
6032	0	item127000063020
6042	0	item127000063000
6042	0	item127000063002
6042	0	item127000063003
6042	0	81001
6042	0	81008
6042	0	81001
6042	0	81008
6042	0	81001
6042	0	81008
6042	0	81012
6042	0	81016
6042	0	item127000063020
6052	0	item127000063000
6052	0	item127000063002
6052	0	item127000063003
6052	0	81002
6052	0	81004
6052	0	81002
6052	0	81004
6052	0	81002
6052	0	81004
6052	0	81002
6052	0	81004
6052	0	81013
6052	0	81017
6052	0	item127000063020
6062	0	item127000063000
6062	0	item127000063002
6062	0	item127000063003
6062	0	81003
6062	0	81005
6062	0	81003
6062	0	81005
6062	0	81003
6062	0	81005
6062	0	81003
6062	0	81005
6062	0	81009
6062	0	81014
6062	0	item127000063020
6072	0	item127000063000
6072	0	item127000063002
6072	0	item127000063003
6072	0	81001
6072	0	81006
6072	0	81001
6072	0	81006
6072	0	81001
6072	0	81006
6072	0	81001
6072	0	81006
6072	0	81010
6072	0	81015
6072	0	item127000063020
6082	0	item127000063000
6082	0	item127000063002
6082	0	item127000063003
6082	0	81002
6082	0	81007
6082	0	81002
6082	0	81007
6082	0	81002
6082	0	81007
6082	0	81002
6082	0	81007
6082	0	81011
6082	0	81016
6082	0	item127000063020
6092	0	item127000063000
6092	0	item127000063002
6092	0	item127000063003
6092	0	81003
6092	0	81008
6092	0	81003
6092	0	81008
6092	0	81003
6092	0	81008
6092	0	81003
6092	0	81008
6092	0	81012
6092	0	81017
6092	0	item127000063020
