流水	精灵	成长度等级	成长度经验	突破阶段	饲养属性	出战属性	放生返回	技能id	展示技能Id	派遣获得奖励展示	是否公会新闻	进阶等级
107	egg_2005	0	0	0								0
108	egg_2006	0	0	0								0
109	egg_2007	0	0	0								0
110	egg_2501	0	0	0								0
111	egg_2502	0	0	0								0
112	egg_2503	0	0	0								0
113	egg_2504	0	0	0								0
114	egg_2505	0	0	0								0
115	egg_2506	0	0	0								0
116	egg_2507	0	0	0								0
117	egg_2508	0	0	0								0
118	egg_2509	0	0	0								0
119	egg_2510	0	0	0								0
120	egg_2511	0	0	0								0
121	egg_2512	0	0	0								0
122	egg_2513	0	0	0								0
123	egg_2514	0	0	0								0
124	egg_2515	0	0	0								0
125	egg_2516	0	0	0								0
126	egg_2517	0	0	0								0
127	egg_2518	0	0	0								0
128	egg_2519	0	0	0								0
129	egg_2520	0	0	0								0
130	egg_2521	0	0	0								0
131	egg_2522	0	0	0								0
132	egg_2523	0	0	0								0
133	egg_2524	0	0	0								0
134	egg_2525	0	0	0								0
135	egg_2526	0	0	0								0
136	egg_2527	0	0	0								0
137	egg_2528	0	0	0								0
138	egg_2529	0	0	0								0
139	egg_2530	0	0	0								0
140	egg_2531	0	0	0								0
141	egg_2532	0	0	0								0
142	egg_2533	0	0	0								0
143	egg_2534	0	0	0								0
144	egg_2535	0	0	0								0
145	egg_2536	0	0	0								0
146	egg_2537	0	0	0								0
147	egg_2538	0	0	0								0
148	egg_2539	0	0	0								0
149	egg_2540	0	0	0								0
150	egg_2541	0	0	0								0
151	egg_2542	0	0	0								0
152	egg_2543	0	0	0								0
153	egg_2544	0	0	0								0
154	egg_2545	0	0	0								0
155	egg_2546	0	0	0								0
156	egg_2547	0	0	0								0
157	egg_2548	0	0	0								0
158	egg_2549	0	0	0								0
159	egg_2550	0	0	0								0
160	egg_2551	0	0	0								0
161	egg_2552	0	0	0								0
162	egg_2553	0	0	0								0
163	egg_2554	0	0	0								0
164	egg_1099	0	0	0								0
165	egg_1100	0	0	0								0
166	egg_1101	0	0	0								0
167	egg_1102	0	0	0								0
168	egg_1103	0	0	0								0
169	egg_1104	0	0	0								0
170	egg_1105	0	0	0								0
171	egg_1106	0	0	0								0
172	egg_1107	0	0	0								0
173	egg_1108	0	0	0								0
174	egg_1109	0	0	0								0
175	egg_1110	0	0	0								0
176	egg_1111	0	0	0								0
177	egg_1112	0	0	0								0
178	egg_1113	0	0	0								0
179	egg_1114	0	0	0								0
180	egg_1115	0	0	0								0
181	egg_1116	0	0	0								0
182	egg_1117	0	0	0								0
183	egg_1118	0	0	0								0
184	egg_1119	0	0	0								0
185	egg_1120	0	0	0								0
186	egg_1121	0	0	0								0
187	egg_1122	0	0	0								0
188	egg_1123	0	0	0								0
189	egg_1124	0	0	0								0
190	egg_1125	0	0	0								0
191	egg_1126	0	0	0								0
192	egg_1127	0	0	0								0
193	ride_101	1	0	0	1,50		item1000,200000	skill50002,1	skill59300,1			0
194	ride_104	1	0	0	1,50		item1000,200000	skill50004,1	skill59300,1			0
195	ride_105	1	0	0	1,200;33,50		item1000,200000	skill50006,1	skill59300,1			0
196	ride_107	1	0	0	3,20;32,50		item1000,200000	skill50010,1	skill59300,1			0
197	ride_109	1	0	0	3,20;51,50		item1000,200000	skill50014,1	skill59400,1			0
198	ride_111	1	0	0	3,20;51,50		item1000,200000	skill50018,1	skill59400,1			0
199	ride_113	1	0	0	1,50		item1000,200000	skill50021,1	skill59100,1			0
200	ride_114	1	0	0	1,50		item1000,200000	skill50022,1	skill59200,1			0
201	ride_115	1	0	0	3,15		item1000,200000	skill50023,1	skill59400,1			0
202	ride_116	1	0	0	3,15		item1000,200000	skill50024,1	skill59400,1			0
203	ride_117	1	0	0	4,20;32,50		item1000,200000	skill50025,1	skill59400,1			0
204	ride_119	1	0	0	4,10		item1000,200000	skill50027,1	skill59300,1			0
205	ride_121	1	0	0	4,5		item1000,200000	skill50029,1	skill59300,1			0
206	ride_123	1	0	0	1,200;52,50		item1000,200000	skill50031,1	skill59400,1			0
207	ride_124	1	0	0	1,50		item1000,200000	skill50033,1	skill59300,1			0
208	ride_125	1	0	0	3,5		item1000,200000	skill50034,1	skill59300,1			0
209	ride_126	1	0	0	1,50		item1000,200000	skill50035,1	skill59300,1			0
210	ride_127	1	0	0	52,50;33,50;35,50		item1000,200000	skill50036,1	skill59300,1			0
211	ride_128	1	0	0	3,20;34,50		item1000,200000	skill50018,1	skill59400,1			0
212	ride_129	1	0	0	1,80;23,30		item1000,200000	skill50037,1	skill59400,1			0
213	ride_130	1	0	0	4,20;35,50		item1000,200000	skill50038,1	skill59400,1			0
214	ride_131	1	0	0	1,200;34,50		item1000,200000	skill50039,1	skill59400,1			0
215	ride_132	1	0	0	1,200;31,50		item1000,200000	skill50040,1	skill59400,1			0
216	ride_133	1	0	0	3,20;30,50		item1000,200000	skill50041,1	skill59400,1			0
217	ride_134	1	0	0	1,200;35,50		item1000,200000	skill50042,1	skill59400,1			0
218	ride_135	1	0	0	4,20;32,50		item1000,200000	skill50043,1	skill59400,1			0
219	ride_136	1	0	0	1,200;51,50		item1000,200000	skill50044,1	skill59400,1			0
220	ride_137	1	0	0	4,20;31,50		item1000,200000	skill50045,1	skill59400,1			0
221	ride_138	1	0	0	1,200;32,50		item1000,200000	skill50046,1	skill59400,1			0
222	ride_139	1	0	0	3,20;32,25;30,25		item1000,200000	skill50047,1	skill59400,1			0
223	ride_140	1	0	0	3,20;34,25;51,25		item1000,200000	skill50048,1	skill59400,1			0
224	ride_141	1	0	0	1,200;31,50		item1000,200000	skill50049,1	skill59400,1			0
225	ride_142	1	0	0	23,30;131,25;132,25		item1000,200000	skill50050,1	skill59400,1			0
226	ride_143	1	0	0	4,20;34,50		item1000,200000	skill50051,1	skill59400,1			0
227	ride_144	1	0	0	1,200;30,50		item1000,200000	skill50052,1	skill59400,1			0
228	ride_145	1	0	0	26,65;34,50		item1000,200000	skill50053,1	skill59400,1			0
229	ride_146	1	0	0	4,20;51,50		item1000,200000	skill50054,1	skill59400,1			0
230	ride_147	1	0	0	1,200;34,50		item1000,200000	skill50055,1	skill59400,1			0
231	ride_148	1	0	0	3,20;35,50		item1000,200000	skill50056,1	skill59400,1			0
232	ride_149	1	0	0	3,20;33,50		item1000,200000	skill50057,1	skill59400,1			0
233	ride_150	1	0	0	3,20;23,30;51,30		item1000,200000	skill50058,1	skill59400,1			0
234	ride_151	1	0	0	3,20;25,30;30,30		item1000,200000	skill50059,1	skill59400,1			0
235	ride_152	1	0	0	4,5		item1000,200000	skill50060,1	skill59300,1			0
236	ride_153	1	0	0	3,20;52,50		item1000,200000	skill50061,1	skill59400,1			0
237	ride_154	1	0	0	3,20;32,25;51,25		item1000,200000	skill50062,1	skill59400,1			0
238	ride_155	1	0	0	1,200;51,50		item1000,200000	skill50063,1	skill59400,1			0
239	ride_156	1	0	0	3,20;51,25;52,25		item1000,200000	skill50064,1	skill59400,1			0
240	ride_157	1	0	0	3,20;51,25;52,25		item1000,200000	skill50064,1	skill59400,1			0
241	ride_158	1	0	0	3,50;51,50		item1000,200000	skill50066,1	skill59400,1			0
242	ride_159	1	0	0	3,5		item1000,200000	skill50067,1	skill59300,1			0
243	ride_160	1	0	0	3,20;31,50		item1000,200000	skill50068,1	skill59400,1			0
244	ride_161	1	0	0	25,65;35,50		item1000,200000	skill50069,1	skill59400,1			0
245	ride_162	1	0	0	1,200;12,100;11,100;33,100		item1000,200000	skill50070,1	skill59500,1			0
246	ride_163	1	0	0	3,20;34,25;35,25		item1000,200000	skill50071,1	skill59400,1			0
247	ride_164	1	0	0	1,200;34,100;13,100;31,100		item1000,200000	skill50072,1	skill59500,1			0
248	ride_165	1	0	0	1,200;34,100;13,100;31,100		item1000,200000	skill50073,1	skill59500,1			0
249	ride_166	1	0	0	1,200;30,100;11,100;35,100		item1000,200000	skill50074,1	skill59500,1			0
250	ride_167	1	0	0	21,65;31,50		item1000,200000	skill50075,1	skill59400,1			0
251	ride_168	1	0	0	3,20;33,50		item1000,200000	skill50076,1	skill59400,1			0
252	ride_169	1	0	0	3,20;33,50		item1000,200000	skill50077,1	skill59400,1			0
253	ride_170	1	0	0	3,20;33,50		item1000,200000	skill50078,1	skill59400,1			0
254	ride_171	1	0	0	3,20;33,50		item1000,200000	skill50079,1	skill59400,1			0
255	ride_172	1	0	0	1,200;30,100;11,100;35,100		item1000,200000	skill50080,1	skill59500,1			0
256	ride_173	1	0	0	1,200;34,50		item1000,200000	skill50081,1	skill59400,1			0
257	ride_174	1	0	0	1,200;30,150;31,100;35,100		item1000,200000	skill50082,1	skill59500,1			0
258	ride_175	1	0	0	1,200;34,100;11,100;35,100		item1000,200000	skill50083,1	skill59500,1			0
259	ride_176	1	0	0	3,20;34,25;33,25		item1000,200000	skill50084,1	skill59400,1			0
260	ride_177	1	0	0	23,65;52,50		item1000,200000	skill50085,1	skill59400,1			0
261	ride_178	1	0	0	1,400;51,120;25,120;22,120		item1000,200000	skill50086,1	skill59500,1			0
262	ride_179	1	0	0	1,400;51,120;25,120;22,120		item1000,200000	skill50086,1	skill59500,1			0
263	ride_180	1	0	0	1,400;34,50;11,100;33,100		item1000,200000	skill50087,1	skill59500,1			0
264	ride_181	1	0	0	1,200;30,25;52,25		item1000,200000	skill50088,1	skill59400,1			0
265	ride_182	1	0	0	1,400;34,50;52,100;185,100		item1000,200000	skill50089,1	skill59500,1			0
266	ride_183	1	0	0	1,200;32,25;35,25		item1000,200000	skill50090,1	skill59400,1			0
267	ride_184	1	0	0	3,20;11,100;34,100;52,100		item1000,200000	skill50093,1	skill59500,1			0
268	ride_185	1	0	0	1,200;12,100;51,100;35,100		item1000,200000	skill50094,1	skill59500,1			0
269	ride_186	1	0	0	3,20;30,150;31,100;35,100		item1000,200000	skill50095,1	skill59500,1			0
270	ride_187	1	0	0	3,20;12,100;52,100;33,100		item1000,200000	skill50096,1	skill59500,1			0
271	ride_188	1	0	0	3,20;30,150;34,100;35,100		item1000,200000	skill50097,1	skill59500,1			0
272	ride_189	1	0	0	3,20;206,100;32,100;33,100		item1000,200000	skill50098,1	skill59500,1			0
273	ride_190	1	0	0	3,20;12,100;51,100;52,100		item1000,200000	skill50099,1	skill59500,1			0
274	ride_191	1	0	0	1,200;34,100;11,100;33,100		item1000,200000	skill50100,1	skill59500,1			0
275	ride_192	1	0	0	1,200;33,50		item1000,200000	skill50101,1	skill59400,1			0
276	ride_193	1	0	0	1,200;31,50		item1000,200000	skill50102,1	skill59400,1			0
277	ride_194	1	0	0	3,20;12,100;35,100;52,100		item1000,200000	skill50103,1	skill59500,1			0
278	ride_195	1	0	0	1,200;51,25;52,25		item1000,200000	skill50104,1	skill59400,1			0
279	ride_196	1	0	0	1,200;31,50		item1000,200000	skill50106,1	skill59400,1			0
280	ride_197	1	0	0	3,20;34,150;35,100;52,100		item1000,200000	skill50105,1	skill59500,1			0
281	ride_198	1	0	0	3,20;12,100;31,100;33,100		item1000,200000	skill50107,1	skill59500,1			0
282	ride_199	1	0	0	1,200;32,25;33,25		item1000,200000	skill50108,1	skill59400,1			0
283	ride_200	1	0	0	3,40;52,120;23,120;25,120		item1000,200000	skill50109,1	skill59500,1			0
284	ride_201	1	0	0	1,200;11,100;34,100;30,100		item1000,200000	skill50110,1	skill59500,1			0
285	ride_202	1	0	0	3,40;32,100;35,100;52,100		item1000,200000	skill50111,1	skill59500,1			0
286	ride_203	1	0	0	1,200;51,50		item1000,200000	skill50112,1	skill59400,1			0
287	ride_204	1	0	0	3,20;52,50		item1000,200000	skill50113,1	skill59400,1			0
288	ride_205	1	0	0	1,200;32,50		item1000,200000	skill50114,1	skill59400,1			0
289	ride_206	1	0	0	1,200;32,150;34,100;35,100		item1000,200000	skill50115,1	skill59500,1			0
290	ride_207	1	0	0	3,20;30,200;34,100;33,50		item1000,200000	skill50116,1	skill59500,1			0
291	ride_208	1	0	0	3,20;32,25;35,25		item1000,200000	skill50117,1	skill59400,1			0
292	ride_209	1	0	0	3,20;34,75;32,200;35,75		item1000,200000	skill50118,1	skill59500,1			0
293	ride_210	1	0	0	1,160;12,90;34,150;52,75		item1000,200000	skill50119,1	skill59500,1			0
294	ride_211	1	0	0	1,200;32,150;52,100;51,100		item1000,200000	skill50120,1	skill59500,1			0
295	ride_212	1	0	0	1,200;30,25;35,25		item1000,200000	skill50121,1	skill59400,1			0
296	ride_213	1	0	0	3,20;31,50;30,150;51,150		item1000,200000	skill50122,1	skill59500,1			0
297	ride_214	1	0	0	3,20;34,35;31,15		item1000,200000	skill50123,1	skill59400,1			0
298	ride_215	1	0	0	1,200;32,100;34,100;52,150		item1000,200000	skill50124,1	skill59500,1			0
299	ride_216	1	0	0	1,200;51,35;33,15		item1000,200000	skill50125,1	skill59400,1			0
300	ride_217	1	0	0	3,20;33,100;34,150;51,100		item1000,200000	skill50126,1	skill59500,1			0
301	ride_218	1	0	0	1,200;35,50		item1000,200000	skill50127,1	skill59400,1			0
302	ride_219	1	0	0	3,20;51,110;206,80;185,80		item1000,200000	skill50128,1	skill59500,1			0
303	ride_220	1	0	0	3,20;35,35;52,15		item1000,200000	skill50129,1	skill59400,1			0
304	ride_221	1	0	0	1,200;32,100;11,100;35,100		item1000,200000	skill50130,1	skill59500,1			0
305	ride_222	1	0	0	3,20;32,25;52,25		item1000,200000	skill50131,1	skill59400,1			0
306	ride_223	1	0	0	1,200;11,20;35,20		item1000,200000	skill50132,1	skill59400,1			0
307	ride_224	1	0	0	3,20;30,150;34,100;33,100		item1000,200000	skill50133,1	skill59500,1			0
308	ride_225	1	0	0	3,20;32,150;35,100;52,100		item1000,200000	skill50134,1	skill59500,1			0
309	ride_226	1	0	0	3,20;30,30;52,20		item1000,200000	skill50135,1	skill59400,1			0
310	ride_227	1	0	0	1,600;3,30;4,30;34,100		item1000,200000	skill50136,1	skill59500,1			0
311	ride_228	1	0	0	3,20;32,25;35,25		item1000,200000	skill50137,1	skill59400,1			0
312	ride_229	1	0	0	1,200;30,150;31,100;35,100		item1000,200000	skill50138,1	skill59500,1			0
313	ride_230	1	0	0	3,20;12,100;31,100;33,100		item1000,200000	skill50139,1	skill59500,1			0
314	ride_231	1	0	0	1,200;32,25;35,25		item1000,200000	skill50140,1	skill59400,1			0
315	ride_232	1	0	0	1,200;51,25;52,25		item1000,200000	skill50141,1	skill59400,1			0
316	ride_233	1	0	0	3,20;52,50		item1000,200000	skill50142,1	skill59400,1			0
317	ride_234	1	0	0	3,20;31,50		item1000,200000	skill50143,1	skill59400,1			0
318	ride_235	1	0	0	1,200;34,100;11,100;35,100		item1000,200000	skill50144,1	skill59500,1			0
319	ride_901	1	0	0			item1000,200000	skill50091,1				0
320	ride_902	1	0	0			item1000,200000	skill50092,1				0
321	baby_101	1	2000	0			item1000,100000	skill70031,1		item100000000005,0		0
322	baby_101	2	6000	0			item1000,100000	skill70032,2		item100000000005,0		0
323	baby_101	3	15000	0			item1000,100000	skill70033,3		item100000000005,0		0
324	baby_101	4	25000	0			item1000,100000	skill70034,4		item100000000005,0		0
325	baby_101	5	0	0			item1000,100000	skill70035,5		item100000000005,0		0
326	baby_105	1	4000	0			item1000,100000	skill70041,1		item100000000005,0		0
327	baby_105	2	9000	0			item1000,100000	skill70042,2		item100000000005,0		0
328	baby_105	3	30000	0			item1000,100000	skill70043,3		item100000000005,0		0
329	baby_105	4	50000	0			item1000,100000	skill70044,4		item100000000005,0		0
330	baby_105	5	0	0			item1000,100000	skill70045,5		item100000000005,0		0
331	baby_111	1	2000	0			item1000,100000	skill70051,1		item103010121003,0		0
332	baby_111	2	6000	0			item1000,100000	skill70052,2		item103010121003,0		0
333	baby_111	3	15000	0			item1000,100000	skill70053,3		item103010121003,0		0
334	baby_111	4	25000	0			item1000,100000	skill70054,4		item103010121003,0		0
335	baby_111	5	0	0			item1000,100000	skill70055,5		item103010121003,0		0
336	baby_115	1	4000	0			item1000,100000	skill70061,1		item103010121003,0		0
337	baby_115	2	9000	0			item1000,100000	skill70062,2		item103010121003,0		0
338	baby_115	3	30000	0			item1000,100000	skill70063,3		item103010121003,0		0
339	baby_115	4	50000	0			item1000,100000	skill70064,4		item103010121003,0		0
340	baby_115	5	0	0			item1000,100000	skill70065,5		item103010121003,0		0
341	baby_121	1	2000	0			item1000,100000	skill70071,1		item103010111017,0		0
342	baby_121	2	6000	0			item1000,100000	skill70072,2		item103010111017,0		0
343	baby_121	3	15000	0			item1000,100000	skill70073,3		item103010111017,0		0
344	baby_121	4	25000	0			item1000,100000	skill70074,4		item103010111017,0		0
345	baby_121	5	0	0			item1000,100000	skill70075,5		item103010111017,0		0
346	baby_125	1	4000	0			item1000,100000	skill70081,1		item103010111018,0		0
347	baby_125	2	9000	0			item1000,100000	skill70082,2		item103010111018,0		0
348	baby_125	3	30000	0			item1000,100000	skill70083,3		item103010111018,0		0
349	baby_125	4	50000	0			item1000,100000	skill70084,4		item103010111018,0		0
350	baby_125	5	0	0			item1000,100000	skill70085,5		item103010111018,0		0
351	baby_131	1	2000	0			item1000,100000	skill70091,1		item107999900001,0		0
352	baby_131	2	6000	0			item1000,100000	skill70092,2		item107999900001,0		0
353	baby_131	3	15000	0			item1000,100000	skill70093,3		item107999900001,0		0
354	baby_131	4	25000	0			item1000,100000	skill70094,4		item107999900001,0		0
355	baby_131	5	0	0			item1000,100000	skill70095,5		item107999900001,0		0
356	baby_134	1	4000	0			item1000,100000	skill70101,1		item107999900001,0		0
357	baby_134	2	9000	0			item1000,100000	skill70102,2		item107999900001,0		0
358	baby_134	3	30000	0			item1000,100000	skill70103,3		item107999900001,0		0
359	baby_134	4	50000	0			item1000,100000	skill70104,4		item107999900001,0		0
360	baby_134	5	0	0			item1000,100000	skill70105,5		item107999900001,0		0
361	baby_135	1	4000	0			item1000,100000	skill70111,1		item101040101015,0		0
362	baby_135	2	9000	0			item1000,100000	skill70112,2		item101040101015,0		0
363	baby_135	3	30000	0			item1000,100000	skill70113,3		item101040101015,0		0
364	baby_135	4	50000	0			item1000,100000	skill70114,4		item101040101015,0		0
365	baby_135	5	0	0			item1000,100000	skill70115,5		item101040101015,0		0
366	baby_136	1	6000	0			item1000,100000	skill70111,1		item101040101015,0		0
367	baby_136	2	15000	0			item1000,100000	skill70112,2		item101040101015,0		0
368	baby_136	3	90000	0			item1000,100000	skill70113,3		item101040101015,0		0
369	baby_136	4	180000	0			item1000,100000	skill70114,4		item101040101015,0		0
370	baby_136	5	0	0			item1000,100000	skill70115,5		item101040101015,0		0
371	pet_101	1	200	0	1,153;4,3	1,305;4,6	item8101020503001,1	skill79100,1				0
372	pet_101	2	240	0	1,156;4,3	1,312;4,7	item8101020503001,1	skill79100,2				0
373	pet_101	3	280	0	1,160;4,3	1,319;4,7	item8101020503001,1	skill79100,3				0
374	pet_101	4	320	0	1,163;4,3	1,326;4,8	item8101020503001,1	skill79100,4				0
375	pet_101	5	360	0	1,167;4,3	1,333;4,8	item8101020503001,1	skill79100,5				0
376	pet_101	6	400	0	1,170;4,4	1,340;4,8	item8101020503001,1	skill79100,6				0
377	pet_101	7	440	0	1,174;4,4	1,347;4,9	item8101020503001,1	skill79100,7				0
378	pet_101	8	480	0	1,177;4,4	1,354;4,9	item8101020503001,1	skill79100,8				0
379	pet_101	9	520	0	1,181;4,4	1,361;4,10	item8101020503001,1	skill79100,9				0
380	pet_101	10	560	0	1,184;4,4	1,368;4,10	item8101020503001,1	skill79100,10				0
381	pet_101	11	600	0	1,188;4,5	1,375;4,10	item8101020503001,1	skill79100,11				0
382	pet_101	12	640	0	1,191;4,5	1,382;4,11	item8101020503001,1	skill79100,12				0
383	pet_101	13	680	0	1,195;4,5	1,389;4,11	item8101020503001,1	skill79100,13				0
384	pet_101	14	720	0	1,198;4,5	1,396;4,12	item8101020503001,1	skill79100,14				0
385	pet_101	15	760	0	1,202;4,5	1,403;4,12	item8101020503001,1	skill79100,15				0
386	pet_101	16	800	0	1,205;4,6	1,410;4,12	item8101020503001,1	skill79100,16				0
387	pet_101	17	840	0	1,209;4,6	1,417;4,13	item8101020503001,1	skill79100,17				0
388	pet_101	18	880	0	1,212;4,6	1,424;4,13	item8101020503001,1	skill79100,18				0
389	pet_101	19	920	0	1,216;4,6	1,431;4,14	item8101020503001,1	skill79100,19				0
390	pet_101	20	960	0	1,219;4,6	1,438;4,14	item8101020503001,1	skill79100,20				0
391	pet_101	21	1000	0	1,223;4,7	1,445;4,14	item8101020503001,1	skill79100,21				0
392	pet_101	22	1040	0	1,226;4,7	1,452;4,15	item8101020503001,1	skill79100,22				0
393	pet_101	23	1080	0	1,230;4,7	1,459;4,15	item8101020503001,1	skill79100,23				0
394	pet_101	24	1120	0	1,233;4,7	1,466;4,16	item8101020503001,1	skill79100,24				0
395	pet_101	25	1160	0	1,237;4,7	1,473;4,16	item8101020503001,1	skill79100,25				0
396	pet_101	26	1200	0	1,240;4,8	1,480;4,16	item8101020503001,1	skill79100,26				0
397	pet_101	27	1240	0	1,244;4,8	1,487;4,17	item8101020503001,1	skill79100,27				0
398	pet_101	28	1280	0	1,247;4,8	1,494;4,17	item8101020503001,1	skill79100,28				0
399	pet_101	29	1320	0	1,251;4,8	1,501;4,18	item8101020503001,1	skill79100,29				0
400	pet_101	30	1360	0	1,254;4,8	1,508;4,18	item8101020503001,1	skill79100,30				0
401	pet_101	31	1400	1	1,258;4,9	1,515;4,18	item8101020503001,1	skill79100,31				0
402	pet_101	32	1440	1	1,261;4,9	1,522;4,19	item8101020503001,1	skill79100,32				0
403	pet_101	33	1480	1	1,265;4,9	1,529;4,19	item8101020503001,1	skill79100,33				0
404	pet_101	34	1520	1	1,268;4,9	1,536;4,20	item8101020503001,1	skill79100,34				0
405	pet_101	35	1560	1	1,272;4,9	1,543;4,20	item8101020503001,1	skill79100,35				0
406	pet_101	36	1600	1	1,275;4,10	1,550;4,20	item8101020503001,1	skill79100,36				0
407	pet_101	37	1640	1	1,279;4,10	1,557;4,21	item8101020503001,1	skill79100,37				0
408	pet_101	38	1680	1	1,282;4,10	1,564;4,21	item8101020503001,1	skill79100,38				0
409	pet_101	39	1720	1	1,286;4,10	1,571;4,22	item8101020503001,1	skill79100,39				0
410	pet_101	40	1760	1	1,289;4,10	1,578;4,22	item8101020503001,1	skill79100,40				0
411	pet_101	41	1800	2	1,293;4,11	1,585;4,22	item8101020503001,1	skill79100,41				0
412	pet_101	42	1840	2	1,296;4,11	1,592;4,23	item8101020503001,1	skill79100,42				0
413	pet_101	43	1880	2	1,300;4,11	1,599;4,23	item8101020503001,1	skill79100,43				0
414	pet_101	44	1920	2	1,303;4,11	1,606;4,24	item8101020503001,1	skill79100,44				0
415	pet_101	45	1960	2	1,307;4,11	1,613;4,24	item8101020503001,1	skill79100,45				0
416	pet_101	46	2000	2	1,310;4,12	1,620;4,24	item8101020503001,1	skill79100,46				0
417	pet_101	47	2040	2	1,314;4,12	1,627;4,25	item8101020503001,1	skill79100,47				0
418	pet_101	48	2080	2	1,317;4,12	1,634;4,25	item8101020503001,1	skill79100,48				0
419	pet_101	49	2120	2	1,321;4,12	1,641;4,26	item8101020503001,1	skill79100,49				0
420	pet_101	50	2160	2	1,324;4,12	1,648;4,26	item8101020503001,1	skill79100,50				0
421	pet_101	51	2200	3	1,328;4,13	1,655;4,26	item8101020503001,1	skill79100,51				0
422	pet_101	52	2240	3	1,331;4,13	1,662;4,27	item8101020503001,1	skill79100,52				0
423	pet_101	53	2280	3	1,335;4,13	1,669;4,27	item8101020503001,1	skill79100,53				0
424	pet_101	54	2320	3	1,338;4,13	1,676;4,28	item8101020503001,1	skill79100,54				0
425	pet_101	55	2360	3	1,342;4,13	1,683;4,28	item8101020503001,1	skill79100,55				0
426	pet_101	56	2400	3	1,345;4,14	1,690;4,28	item8101020503001,1	skill79100,56				0
427	pet_101	57	2440	3	1,349;4,14	1,697;4,29	item8101020503001,1	skill79100,57				0
428	pet_101	58	2480	3	1,352;4,14	1,704;4,29	item8101020503001,1	skill79100,58				0
