NPC编号	头像	模型缩放	常驻美术特效	种族编号
killstar_monster_1502	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_1503	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_1504	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_1505	JobPotrait_sp03	1.250000	33000001	0
killstar_monster_1506	JobPotrait_sp07	1.250000	33000001	0
killstar_monster_1507	JobPotrait_sp04	1.250000	33000001	0
killstar_monster_1508	JobPotrait_sp08	1.250000	33000001	0
killstar_monster_1509	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_1510	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_1511	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_1512	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_1601	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_1602	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_1603	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_1604	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_1605	JobPotrait_sp03	1.250000	33000001	0
killstar_monster_1606	JobPotrait_sp07	1.250000	33000001	0
killstar_monster_1607	JobPotrait_sp04	1.250000	33000001	0
killstar_monster_1608	JobPotrait_sp08	1.250000	33000001	0
killstar_monster_1609	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_1610	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_1611	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_1612	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_1701	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_1702	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_1703	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_1704	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_1705	JobPotrait_sp03	1.250000	33000001	0
killstar_monster_1706	JobPotrait_sp07	1.250000	33000001	0
killstar_monster_1707	JobPotrait_sp04	1.250000	33000001	0
killstar_monster_1708	JobPotrait_sp08	1.250000	33000001	0
killstar_monster_1709	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_1710	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_1711	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_1712	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_1801	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_1802	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_1803	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_1804	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_1805	JobPotrait_sp03	1.250000	33000001	0
killstar_monster_1806	JobPotrait_sp07	1.250000	33000001	0
killstar_monster_1807	JobPotrait_sp04	1.250000	33000001	0
killstar_monster_1808	JobPotrait_sp08	1.250000	33000001	0
killstar_monster_1809	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_1810	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_1811	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_1812	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_1901	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_1902	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_1903	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_1904	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_1905	JobPotrait_sp03	1.250000	33000001	0
killstar_monster_1906	JobPotrait_sp07	1.250000	33000001	0
killstar_monster_1907	JobPotrait_sp04	1.250000	33000001	0
killstar_monster_1908	JobPotrait_sp08	1.250000	33000001	0
killstar_monster_1909	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_1910	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_1911	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_1912	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_2001	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_2002	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_2003	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_2004	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_2005	JobPotrait_sp03	1.250000	33000001	0
killstar_monster_2006	JobPotrait_sp07	1.250000	33000001	0
killstar_monster_2007	JobPotrait_sp04	1.250000	33000001	0
killstar_monster_2008	JobPotrait_sp08	1.250000	33000001	0
killstar_monster_2009	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_2010	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_2011	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_2012	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_2101	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_2102	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_2103	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_2104	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_2105	JobPotrait_sp03	1.250000	33000001	0
killstar_monster_2106	JobPotrait_sp07	1.250000	33000001	0
killstar_monster_2107	JobPotrait_sp04	1.250000	33000001	0
killstar_monster_2108	JobPotrait_sp08	1.250000	33000001	0
killstar_monster_2109	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_2110	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_2111	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_2112	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_2201	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_2202	JobPotrait_sp01	1.250000	33000001	0
killstar_monster_2203	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_2204	JobPotrait_sp02	1.250000	33000001	0
killstar_monster_2205	JobPotrait_sp03	1.250000	33000001	0
killstar_monster_2206	JobPotrait_sp07	1.250000	33000001	0
killstar_monster_2207	JobPotrait_sp04	1.250000	33000001	0
killstar_monster_2208	JobPotrait_sp08	1.250000	33000001	0
killstar_monster_2209	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_2210	JobPotrait_sp05	1.250000	33000001	0
killstar_monster_2211	JobPotrait_sp06	1.100000	33000001	0
killstar_monster_2212	JobPotrait_sp06	1.100000	33000001	0
guildleague_statue		1.400000		0
hero_killstar_monster_1101	soldier903_portrait01	1.250000	33000001	0
hero_killstar_monster_1201	soldier901_portrait01	1.250000	33000001	0
hero_killstar_monster_1301	soldier902_portrait01	1.250000	33000001	0
hero_killstar_monster_1401	soldier903_portrait01	1.250000	33000001	0
hero_killstar_monster_1402	soldier901_portrait01	1.250000	33000001	0
hero_killstar_monster_1403	soldier902_portrait01	1.250000	33000001	0
hero_killstar_monster_1501	soldier904_portrait01	1.250000	33000001	0
hero_killstar_monster_1601	soldier905_portrait01	1.250000	33000001	0
hero_killstar_monster_1701	soldier906_portrait01	1.250000	33000001	0
hero_killstar_monster_1801	soldier906_portrait01	1.250000	33000001	0
hero_killstar_monster_1802	soldier904_portrait01	1.250000	33000001	0
hero_killstar_monster_1803	soldier905_portrait01	1.250000	33000001	0
hero_killstar_monster_1901	soldier903_portrait01	1.250000	33000001	0
hero_killstar_monster_1902	soldier901_portrait01	1.250000	33000001	0
hero_killstar_monster_1903	soldier902_portrait01	1.250000	33000001	0
hero_killstar_monster_1904	soldier904_portrait01	1.250000	33000001	0
hero_killstar_monster_1905	soldier905_portrait01	1.250000	33000001	0
hero_killstar_monster_1906	soldier906_portrait01	1.250000	33000001	0
hero_killstar_monster_1907	soldier910_portrait01	1.250000	33000001	0
hero_killstar_monster_1908	soldier909_portrait01	1.250000	33000001	0
hero_killstar_monster_1909	soldier908_portrait01	1.250000	33000001	0
hero_killstar_monster_1910	soldier910_portrait01	1.250000	33000001	0
hero_killstar_monster_1911	soldier909_portrait01	1.250000	33000001	0
hero_killstar_monster_1912	soldier908_portrait01	1.250000	33000001	0
hero_killstar_monster_1913	soldier907_portrait01	1.250000	33000001	0
hero_killstar_monster_1914	soldier912_portrait01	1.250000	33000001	0
hero_killstar_monster_1915	soldier913_portrait01	1.250000	33000001	0
hero_killstar_monster_1916	soldier907_portrait01	1.250000	33000001	0
hero_killstar_monster_1917	soldier912_portrait01	1.250000	33000001	0
hero_killstar_monster_1918	soldier913_portrait01	1.250000	33000001	0
hero_killstar_monster_1919	soldier910_portrait01	1.250000	33000001	0
hero_killstar_monster_1920	soldier909_portrait01	1.250000	33000001	0
hero_killstar_monster_1921	soldier908_portrait01	1.250000	33000001	0
hero_killstar_monster_1922	soldier907_portrait01	1.250000	33000001	0
hero_killstar_monster_1923	soldier912_portrait01	1.250000	33000001	0
hero_killstar_monster_1924	soldier913_portrait01	1.250000	33000001	0
hero_killstar_monster_2101	JobPotrait_sp01	1.250000	33000001	0
hero_killstar_monster_2102	JobPotrait_sp01	1.250000	33000001	0
hero_killstar_monster_2103	JobPotrait_sp02	1.250000	33000001	0
hero_killstar_monster_2104	JobPotrait_sp02	1.250000	33000001	0
hero_killstar_monster_2105	JobPotrait_sp03	1.250000	33000001	0
hero_killstar_monster_2106	JobPotrait_sp07	1.250000	33000001	0
hero_killstar_monster_2107	JobPotrait_sp04	1.250000	33000001	0
hero_killstar_monster_2108	JobPotrait_sp08	1.250000	33000001	0
hero_killstar_monster_2109	JobPotrait_sp05	1.250000	33000001	0
hero_killstar_monster_2110	JobPotrait_sp05	1.250000	33000001	0
hero_killstar_monster_2111	JobPotrait_sp06	1.100000	33000001	0
hero_killstar_monster_2112	JobPotrait_sp06	1.100000	33000001	0
hero_killstar_monster_3101	JobPotrait_sp01	1.250000	33000001	0
hero_killstar_monster_3102	JobPotrait_sp01	1.250000	33000001	0
hero_killstar_monster_3103	JobPotrait_sp02	1.250000	33000001	0
hero_killstar_monster_3104	JobPotrait_sp02	1.250000	33000001	0
hero_killstar_monster_3105	JobPotrait_sp03	1.250000	33000001	0
hero_killstar_monster_3106	JobPotrait_sp07	1.250000	33000001	0
hero_killstar_monster_3107	JobPotrait_sp04	1.250000	33000001	0
hero_killstar_monster_3108	JobPotrait_sp08	1.250000	33000001	0
hero_killstar_monster_3109	JobPotrait_sp05	1.250000	33000001	0
hero_killstar_monster_3110	JobPotrait_sp05	1.250000	33000001	0
hero_killstar_monster_3111	JobPotrait_sp06	1.100000	33000001	0
hero_killstar_monster_3112	JobPotrait_sp06	1.100000	33000001	0
hero_killstar_monster_3113	JobPotrait_sp06	1.100000	33000001	0
hero_killstar_monster_3114	JobPotrait_sp06	1.100000	33000001	0
starlight_battle_statue_01		1.400000		0
starlight_battle_statue_02		1.400000		0
starlight_battle_statue_03		1.400000		0
starlight_battle_statue_04		1.400000		0
starlight_battle_statue_05		1.400000		0
starlight_battle_statue_06		1.400000		0
starlight_battle_statue_07		1.400000		0
starlight_battle_statue_08		1.400000		0
duel_effigy		1.400000		0
