商品ID（非流水）	商店标签1	标签排序	商品标签2	商品类型	道具显示排序	道具ID	货币类型	售价	限购折扣	限购数量	限购类型	距离开服的天数	角色可见的等级	是否隐藏
614	4	2	15	1	15	item91000002019	15	900	2	1	4		1,999	
615	4	2	16	1	16	item101020505207	15	10000	8	1	3		70,999	
616	4	2	17	1	17	item99000000126	15	1500	6	3	3		76,999	
617	4	2	18	1	18	item82110102100068	15	5500	7	1	4		25,999	
618	4	2	19	1	19	item82110000100069	15	5500	7	1	4		25,999	
619	4	2	20	1	20	item82110000100070	15	5500	7	1	4		25,999	
620	4	2	21	1	21	item82110500100043	15	5500	7	1	4		25,999	
621	4	2	22	1	22	item91000000465	15	120	7	50	3		25,999	
622	4	2	23	1	23	item101200040003	15	40	0	5	2		25,999	
623	4	2	24	1	24	item101200040004	15	40	0	5	2		25,999	
624	4	2	25	1	25	item8103010121007	15	1280	8	5	3		50,999	
625	4	2	26	1	26	item8103010111020	15	6000	8	5	3		60,999	
626	4	2	27	1	27	item8103010111019	15	1000	8	2	2		50,999	
627	4	2	28	1	28	item8103010121006	15	320	8	2	2		25,999	
628	4	2	29	1	29	item8103010121005	15	80	6	4	2		25,999	
700	0	3	1	1	1	item119100000004	3	160	0	0	0			
701	0	3	2	1	2	item119100000005	3	160	0	0	0			
702	0	3	3	1	3	item119100000006	3	160	0	0	0			
703	0	3	4	1	7	item100000000000	15	100	0	0	0			
704	0	3	5	1	8	item100000000001	3	100	0	0	0			
705	0	3	6	1	9	item105000000029	15	240	0	999	1			
706	0	3	7	1	10	item105000000030	15	10	0	999	1			
707	0	3	8	1	11	item105000000031	15	30	0	999	1			
708	0	3	9	1	12	item105000000028	15	20	0	999	1			
709	0	3	10	1	13	item91000002006	15	90	0	100	2			
710	0	3	11	1	14	item177000000003	15	1	0	0	0		50,999	
711	0	3	12	1	15	item177000000004	15	10	0	0	0		50,999	
712	0	3	13	1	16	item177000000001	15	10	0	70	2		50,999	
713	0	3	14	1	17	item177000000002	15	2	0	700	2		50,999	
714	0	3	15	1	18	item160000000001	15	60	0	10	2		60,999	
715	0	3	16	1	19	item100500000001	15	10	0	500	2			
716	0	3	17	1	20	item100500000102	15	5000	0	1	4		38,999	
717	0	3	18	1	21	item100500000104	3	9800	0	1	4		38,999	
718	0	3	19	1	22	item8200000800001	15	30	0	10	2		40,999	
719	0	3	20	1	23	item90000000108	3	80	0	0	0			
720	0	3	21	1	24	item8106210400002	15	20	0	100	1			
721	0	3	22	1	25	item106210400005	3	200	0	0	0			
722	0	3	23	1	26	item100400000201	3	150	0	0	0			
723	0	3	24	1	27	item100400000101	2	7500	0	0	0			
724	0	3	25	1	28	item8100420000001	3	1314	0	0	0			
725	0	3	26	1	29	item100000000002	3	240	0	5	2			1
726	0	3	27	1	30	item103015110402	3	240	0	0	0			
727	0	3	28	1	31	item103015110404	3	320	0	0	0			
728	0	3	29	1	32	item103015110405	3	320	0	0	0			
729	0	3	30	1	33	item103015110414	3	320	0	0	0			
730	0	3	31	1	34	item103010111102	3	10	0	0	0			
731	0	3	32	1	35	item103010111103	3	15	0	0	0		40,999	
732	0	3	33	1	36	item103010111104	3	20	0	0	0		50,999	
733	0	3	34	1	37	item103010111105	3	25	0	0	0		60,999	
734	0	3	35	1	38	item103010111106	3	30	0	0	0		70,999	
735	0	3	36	1	39	item103010111107	3	35	0	0	0		80,999	
736	0	3	37	1	40	item103010111108	3	40	0	0	0		90,999	
737	0	3	38	1	41	item103015110413	3	5	0	0	0		48,999	
738	0	3	39	1	42	item103015110413	2	1000	0	200	1		48,999	
739	0	3	40	1	43	item174000004009	15	50	0	10	2		55,999	
740	0	3	41	1	44	item174000003011	15	25	0	10	2		55,999	
741	0	3	42	1	45	item171002010001	15	60	0	500	2		55,999	
742	0	3	43	1	46	item171002010002	15	120	0	500	2		55,999	
743	0	3	44	1	47	item171002000001	15	5	0	100	2		55,999	
744	0	3	45	1	48	item171002000002	15	50	0	100	2		55,999	
745	0	3	46	1	49	item171002000003	15	500	0	100	2		55,999	
746	0	3	47	1	50	item17908000000001	15	60	0	999	1		65,999	
747	0	3	48	1	51	item230000000006	15	20	0	0	0		70,999	
748	0	3	49	1	52	item105900000006	15	10000	2	1	4		76,999	
749	0	3	50	1	53	item18000000000016	15	1080	6	3	3		76,999	
750	0	3	51	1	54	item105900000047	15	100	8	50	2		76,999	
751	0	3	52	1	55	item18000000000012	2	140000	7	5	2		76,999	
752	0	3	53	1	56	item18000000000012	15	1400	6	10	2		76,999	
753	0	3	54	1	57	item18000000000006	15	3000	5	1	2		76,999	
754	0	3	55	1	58	item18000000000011	3	200	8	100	2		76,999	
755	0	3	56	1	59	item175100000002	3	368	0	12	2		78,999	1
756	0	3	57	1	60	item130010000001	3	50	0	0	0			
757	0	3	58	1	61	item101040101073	3	50	0	0	0			
758	0	3	59	1	62	item101040101072	15	15	0	0	0			
759	0	3	60	1	63	item170000110040	15	600	0	1	4			
760	0	3	61	1	64	item102020050009	3	1500	0	1	4		30,999	
761	0	3	62	1	65	item101200000016	3	1	0	0	0		42,999	
762	0	3	63	1	66	item101200000016	2	200	0	30	1		42,999	
763	0	3	64	1	67	item101200040005	15	40	0	5	2			
764	0	3	65	1	68	item101200040004	3	40	0	0	0			
765	0	3	66	1	69	item101200040003	3	40	0	0	0			
766	0	3	67	1	70	item143000000001	15	10	0	0	0			
767	0	3	68	1	71	item101200000002	15	300	0	0	0			
768	0	3	69	1	72	item101200000014	15	50	0	0	0			
769	0	3	70	1	73	item101040101051	2	50000	0	0	0			
770	0	3	71	1	74	item101200000018	3	80	0	0	0		36,999	
771	0	3	72	1	76	item100000000103	3	500	0	0	0			
772	0	3	73	1	200	item91000001748	3	80	0	0	0			1
773	0	3	74	1	204	item91000001551	3	60	0	0	0			1
774	0	3	75	1	200	item91000001812	3	20	0	0	0			1
775	0	3	76	1	204	item91000001816	3	60	0	0	0			1
776	0	3	77	1	201	item91000001233	3	50	0	0	0			1
777	0	3	78	1	205	item91000001579	3	100	0	0	0			1
824	0	3	85	1	201	item91000001039	3	20	0	0	0			1
825	0	3	84	1	34	item91000000962	3	60	0	0	0			1
778	0	3	79	1	4	item8170000120010	15	5	0	999	1			
779	0	3	80	1	5	item170000120010	2	500	0	500	1			
780	0	3	81	1	6	item170000120020	3	5	0	999	1			
781	0	3	82	1	75	item101200001000	3	2800	0	1	2		20,999	
782	0	3	83	1	40	item103010111109	3	45	0	0	0		100,999	
800	3	3	1	1	1	item102020060001	3	0	0	1	1			
801	3	4	2	1	2	item8103010121003	15	5	0	100	2			
802	3	4	3	1	3	item8103010121004	15	20	0	100	1			
803	3	4	4	1	4	item8103010121005	15	80	0	100	1			
804	3	4	5	1	5	item101040101015	15	10	0	500	1			
805	3	4	6	1	6	item8101020504800	15	40	0	100	1			
806	3	4	7	1	7	item8101020504900	15	300	0	30	2			
807	3	4	8	1	8	item103010131003	3	100	0	999	1		31,999	
808	3	4	9	1	9	item103010131001	15	5	0	500	2		31,999	
809	3	4	10	1	10	item107999900002	15	30	0	0	0			
810	3	4	11	1	11	item107300000001	15	20	0	500	2			
811	3	4	12	1	12	item107300000002	15	50	0	100	2			
812	3	4	13	1	13	item107300000003	15	300	0	50	2		70,999	
813	3	4	14	1	14	item8103010111018	15	125	0	100	1		40,999	
814	3	4	15	1	15	item171000101021	15	12	0	999	1		60,999	
815	3	4	16	1	16	item171000101021	2	1200	0	9999	1		60,999	
816	3	4	17	1	17	item171000101011	2	500	0	0	0		60,999	
817	3	4	18	1	18	item171000101012	15	10	0	1000	2		60,999	
818	3	4	19	1	19	item104000000016	15	400	0	10	2		65,999	
819	3	4	20	1	20	item8171000101081	15	2000	0	2	3		68,999	
820	3	4	21	1	21	item8171000101081	3	2000	0	0	0		68,999	
821	3	4	22	1	22	item175100000001	15	98	0	20	2		78,999	
822	3	4	23	1	23	item175100000002	3	368	0	20	2		78,999	
823	3	4	24	1	2	item8103010121003	3	5	0	-1	0			1
