流水	类型	排名最小区间	排名最大区间	奖励
97	101	51	100	item1014,800;item106400001106,25;item200000800002,1
98	101	101	500	item1014,500;item106400001106,20;item200000800002,1
99	101	501	1000	item1014,300;item106400001106,15;item200000800002,1
100	101	1000	5000	item1014,200;item106400001106,10;item200000800002,1
101	102	1	1	item1014,8888;item106400001101,100;item200000800002,5;item107999900013,1
102	102	2	2	item1014,5000;item106400001101,80;item200000800002,5;item107999900013,1
103	102	3	3	item1014,4500;item106400001101,75;item200000800002,5;item107999900013,1
104	102	4	4	item1014,4000;item106400001101,70;item200000800002,4
105	102	5	5	item1014,3500;item106400001101,65;item200000800002,4
106	102	6	6	item1014,3000;item106400001101,60;item200000800002,4
107	102	7	7	item1014,2500;item106400001101,55;item200000800002,3
108	102	8	8	item1014,2000;item106400001101,50;item200000800002,3
109	102	9	9	item1014,1800;item106400001101,45;item200000800002,3
110	102	10	10	item1014,1500;item106400001101,40;item200000800002,2
111	102	11	20	item1014,1200;item106400001101,35;item200000800002,2
112	102	21	50	item1014,1000;item106400001101,30;item200000800002,2
113	102	51	100	item1014,800;item106400001101,25;item200000800002,1
114	102	101	500	item1014,500;item106400001101,20;item200000800002,1
115	102	501	1000	item1014,300;item106400001101,15;item200000800002,1
116	102	1000	5000	item1014,200;item106400001101,10;item200000800002,1
