流水ID	商店标签	商品编号	类别ID	道具显示排序	道具显示角色ID	道具ID	货币类型	售价	角标类别	页签显示标签	原价	限购折扣	限购数量	限购类型	赠送限制	距离开服的天数	角色可见的等级	时装id	模型展示缩放	模型展示位置偏移	模型初始展示角度
19	1	19	1	19	hero103	item130000003152	0	item101200040004,30	0		0	0	1	4	1			fashion_103152	1.150000	0.1,-0.25	180
20	1	20	1	20	hero104	item130000004152	0	item101200040004,30	0		0	0	1	4	1			fashion_104152	1.150000	0.1,-0.25	180
21	1	21	1	21	hero105	item130000005152	0	item101200040004,30	0		0	0	1	4	1			fashion_105152	1.150000	0.1,-0.25	180
22	1	22	1	22	hero106	item130000006152	0	item101200040004,30	0		0	0	1	4	1			fashion_106152	1.150000	0.1,-0.25	180
23	1	23	1	23	hero107	item130000007152	0	item101200040004,30	0		0	0	1	4	1			fashion_107152	1.150000	0.1,-0.25	180
24	1	24	1	24	hero108	item130000008152	0	item101200040004,30	0		0	0	1	4	1			fashion_108152	1.150000	0.1,-0.25	180
25	1	25	2	25	hero101	item130000001253	0	item101200040004,90	0		0	0	1	4	0			fashion_101253	1.150000	0.1,-0.25	180
26	1	26	2	26	hero102	item130000002253	0	item101200040004,90	0		0	0	1	4	0			fashion_102253	1.150000	0.1,-0.25	180
27	1	27	2	27	hero103	item130000003253	0	item101200040004,90	0		0	0	1	4	0			fashion_103253	1.150000	0.1,-0.25	180
28	1	28	2	28	hero104	item130000004253	0	item101200040004,90	0		0	0	1	4	0			fashion_104253	1.150000	0.1,-0.25	180
29	1	29	2	29	hero105	item130000005253	0	item101200040004,90	0		0	0	1	4	0			fashion_105253	1.150000	0.1,-0.25	180
30	1	30	2	30	hero106	item130000006253	0	item101200040004,90	0		0	0	1	4	0			fashion_106253	1.150000	0.1,-0.25	180
31	1	31	2	31	hero107	item130000007253	0	item101200040004,90	0		0	0	1	4	0			fashion_107253	1.150000	0.1,-0.25	180
32	1	32	2	32	hero108	item130000008253	0	item101200040004,90	0		0	0	1	4	0			fashion_108253	1.150000	0.1,-0.25	180
33	1	33	3	33	hero101	item130000001353	0	item101200040004,40	0		0	0	1	4	0			fashion_101353	1.150000	0.1,-0.25	180
34	1	34	3	34	hero102	item130000002353	0	item101200040004,40	0		0	0	1	4	0			fashion_102353	1.150000	0.1,-0.25	180
35	1	35	3	35	hero103	item130000003353	0	item101200040004,40	0		0	0	1	4	0			fashion_103353	1.150000	0.1,-0.25	180
36	1	36	3	36	hero104	item130000004353	0	item101200040004,40	0		0	0	1	4	0			fashion_104353	1.150000	0.1,-0.25	180
37	1	37	3	37	hero105	item130000005353	0	item101200040004,40	0		0	0	1	4	0			fashion_105353	1.150000	0.1,-0.25	180
38	1	38	3	38	hero106	item130000006353	0	item101200040004,40	0		0	0	1	4	0			fashion_106353	1.150000	0.1,-0.25	180
39	1	39	3	39	hero107	item130000007353	0	item101200040004,40	0		0	0	1	4	0			fashion_107353	1.150000	0.1,-0.25	180
40	1	40	3	40	hero108	item130000008353	0	item101200040004,40	0		0	0	1	4	0			fashion_108353	1.150000	0.1,-0.25	180
41	1	41	1	41	hero101	item130000001153	0	item101200040004,40	0		0	0	1	4	0			fashion_101153	1.150000	0.1,-0.25	180
42	1	42	1	42	hero102	item130000002153	0	item101200040004,40	0		0	0	1	4	0			fashion_102153	1.150000	0.1,-0.25	180
43	1	43	1	43	hero103	item130000003153	0	item101200040004,40	0		0	0	1	4	0			fashion_103153	1.150000	0.1,-0.25	180
44	1	44	1	44	hero104	item130000004153	0	item101200040004,40	0		0	0	1	4	0			fashion_104153	1.150000	0.1,-0.25	180
45	1	45	1	45	hero105	item130000005153	0	item101200040004,40	0		0	0	1	4	0			fashion_105153	1.150000	0.1,-0.25	180
46	1	46	1	46	hero106	item130000006153	0	item101200040004,40	0		0	0	1	4	0			fashion_106153	1.150000	0.1,-0.25	180
47	1	47	1	47	hero107	item130000007153	0	item101200040004,40	0		0	0	1	4	0			fashion_107153	1.150000	0.1,-0.25	180
48	1	48	1	48	hero108	item130000008153	0	item101200040004,40	0		0	0	1	4	0			fashion_108153	1.150000	0.1,-0.25	180
49	1	49	2	49	hero101	item130000001251	1	3,3600	0		0	0	1	4	1			fashion_101251	1.150000	0.1,-0.25	180
50	1	50	2	50	hero102	item130000002251	1	3,3600	0		0	0	1	4	1			fashion_102251	1.150000	0.1,-0.25	180
51	1	51	2	51	hero103	item130000003251	1	3,3600	0		0	0	1	4	1			fashion_103251	1.150000	0.1,-0.25	180
52	1	52	2	52	hero104	item130000004251	1	3,3600	0		0	0	1	4	1			fashion_104251	1.150000	0.1,-0.25	180
53	1	53	2	53	hero105	item130000005251	1	3,3600	0		0	0	1	4	1			fashion_105251	1.150000	0.1,-0.25	180
54	1	54	2	54	hero106	item130000006251	1	3,3600	0		0	0	1	4	1			fashion_106251	1.150000	0.1,-0.25	180
55	1	55	2	55	hero107	item130000007251	1	3,3600	0		0	0	1	4	1			fashion_107251	1.150000	0.1,-0.25	180
56	1	56	2	56	hero108	item130000008251	1	3,3600	0		0	0	1	4	1			fashion_108251	1.150000	0.1,-0.25	180
57	1	57	3	57	hero101	item130000001351	1	3,1200	0		0	0	1	4	1			fashion_101351	1.150000	0.1,-0.25	180
58	1	58	3	58	hero102	item130000002351	1	3,1200	0		0	0	1	4	1			fashion_102351	1.150000	0.1,-0.25	180
59	1	59	3	59	hero103	item130000003351	1	3,1200	0		0	0	1	4	1			fashion_103351	1.150000	0.1,-0.25	180
60	1	60	3	60	hero104	item130000004351	1	3,1200	0		0	0	1	4	1			fashion_104351	1.150000	0.1,-0.25	180
61	1	61	3	61	hero105	item130000005351	1	3,1200	0		0	0	1	4	1			fashion_105351	1.150000	0.1,-0.25	180
62	1	62	3	62	hero106	item130000006351	1	3,1200	0		0	0	1	4	1			fashion_106351	1.150000	0.1,-0.25	180
63	1	63	3	63	hero107	item130000007351	1	3,1200	0		0	0	1	4	1			fashion_107351	1.150000	0.1,-0.25	180
64	1	64	3	64	hero108	item130000008351	1	3,1200	0		0	0	1	4	1			fashion_108351	1.150000	0.1,-0.25	180
65	1	65	1	65	hero101	item130000001151	1	3,1680	0		0	0	1	4	1			fashion_101151	1.150000	0.1,-0.25	180
66	1	66	1	66	hero102	item130000002151	1	3,1680	0		0	0	1	4	1			fashion_102151	1.150000	0.1,-0.25	180
67	1	67	1	67	hero103	item130000003151	1	3,1680	0		0	0	1	4	1			fashion_103151	1.150000	0.1,-0.25	180
68	1	68	1	68	hero104	item130000004151	1	3,1680	0		0	0	1	4	1			fashion_104151	1.150000	0.1,-0.25	180
69	1	69	1	69	hero105	item130000005151	1	3,1680	0		0	0	1	4	1			fashion_105151	1.150000	0.1,-0.25	180
70	1	70	1	70	hero106	item130000006151	1	3,1680	0		0	0	1	4	1			fashion_106151	1.150000	0.1,-0.25	180
71	1	71	1	71	hero107	item130000007151	1	3,1680	0		0	0	1	4	1			fashion_107151	1.150000	0.1,-0.25	180
72	1	72	1	72	hero108	item130000008151	1	3,1680	0		0	0	1	4	1			fashion_108151	1.150000	0.1,-0.25	180
73	1	127	4	73		item130000040306	0	item101200040004,24	0		0	0	1	4	1			fashion_100406	1.150000	0.1,-0.25	180
74	1	128	4	74		item130000040307	0	item101200040004,24	0		0	0	1	4	1			fashion_100407	1.150000	0.1,-0.25	180
75	1	129	4	75		item130000040309	0	item101200040004,24	0		0	0	1	4	1			fashion_100409	1.150000	0.1,-0.25	180
76	1	130	4	76		item130000040303	0	item101200040004,40	0		0	0	1	4	1			fashion_100403	1.150000	0.1,-0.25	180
77	1	73	3	77	hero101	item130000001372	1	3,1680	0		0	0	1	4	1			fashion_101372	1.150000	0.1,-0.25	180
78	1	74	3	78	hero102	item130000002371	1	3,1680	0		0	0	1	4	1			fashion_102371	1.150000	0.1,-0.25	180
79	1	75	3	79	hero103	item130000003372	1	3,1680	0		0	0	1	4	1			fashion_103372	1.150000	0.1,-0.25	180
80	1	76	3	80	hero104	item130000004372	1	3,1680	0		0	0	1	4	1			fashion_104372	1.150000	0.1,-0.25	180
81	1	77	3	81	hero105	item130000005372	1	3,1680	0		0	0	1	4	1			fashion_105372	1.150000	0.1,-0.25	180
82	1	79	3	82	hero101	item130000001371	1	3,1680	0		0	0	1	4	1			fashion_101371	1.150000	0.1,-0.25	180
83	1	80	3	83	hero103	item130000003371	1	3,1680	0		0	0	1	4	1			fashion_103371	1.150000	0.1,-0.25	180
84	1	81	3	84	hero104	item130000004373	1	3,1680	0		0	0	1	4	1			fashion_104373	1.150000	0.1,-0.25	180
85	1	82	3	85	hero105	item130000005371	1	3,1680	0		0	0	1	4	1			fashion_105371	1.150000	0.1,-0.25	180
86	1	83	3	86	hero101	item130000001373	0	item101200040004,40	0		0	0	1	4	1			fashion_101373	1.150000	0.1,-0.25	180
87	1	84	3	87	hero102	item130000002372	0	item101200040004,40	0		0	0	1	4	1			fashion_102372	1.150000	0.1,-0.25	180
88	1	85	3	88	hero104	item130000004371	0	item101200040004,40	0		0	0	1	4	1			fashion_104371	1.150000	0.1,-0.25	180
89	1	86	3	89	hero105	item130000005373	0	item101200040004,40	0		0	0	1	4	1			fashion_105373	1.150000	0.1,-0.25	180
90	1	87	3	90	hero101	item130000001375	0	item101200040004,32	0		0	0	1	4	1			fashion_101375	1.150000	0.1,-0.25	180
91	1	88	3	91	hero102	item130000002373	0	item101200040004,32	0		0	0	1	4	1			fashion_102373	1.150000	0.1,-0.25	180
92	1	89	3	92	hero107	item130000007372	0	item101200040004,32	0		0	0	1	4	1			fashion_107372	1.150000	0.1,-0.25	180
93	1	90	3	93	hero101	item130000001376	0	item101200040004,20	0		0	0	1	4	1			fashion_101376	1.150000	0.1,-0.25	180
94	1	91	3	94	hero103	item130000003373	0	item101200040004,20	0		0	0	1	4	1			fashion_103373	1.150000	0.1,-0.25	180
95	1	92	3	95	hero105	item130000005375	0	item101200040004,20	0		0	0	1	4	1			fashion_105375	1.150000	0.1,-0.25	180
96	1	93	3	96	hero107	item130000007371	0	item101200040004,20	0		0	0	1	4	1			fashion_107371	1.150000	0.1,-0.25	180
97	1	94	3	97	hero108	item130000008372	0	item101200040004,20	0		0	0	1	4	1			fashion_108372	1.150000	0.1,-0.25	180
98	1	95	3	98	hero101	item130000001377	0	item101200040004,20	0		0	0	1	4	1			fashion_101377	1.150000	0.1,-0.25	180
99	1	96	3	99	hero103	item130000003375	0	item101200040004,20	0		0	0	1	4	1			fashion_103375	1.150000	0.1,-0.25	180
100	1	97	3	100	hero104	item130000004375	0	item101200040004,20	0		0	0	1	4	1			fashion_104375	1.150000	0.1,-0.25	180
101	1	98	3	101	hero108	item130000008373	0	item101200040004,20	0		0	0	1	4	1			fashion_108373	1.150000	0.1,-0.25	180
102	1	99	1	102	hero101	item130000001173	1	3,1680	0		0	0	1	4	1			fashion_101173	1.150000	0.1,-0.25	180
103	1	100	1	103	hero102	item130000002171	1	3,1680	0		0	0	1	4	1			fashion_102171	1.150000	0.1,-0.25	180
104	1	101	1	104	hero103	item130000003171	1	3,1680	0		0	0	1	4	1			fashion_103171	1.150000	0.1,-0.25	180
105	1	102	1	105	hero104	item130000004172	1	3,1680	0		0	0	1	4	1			fashion_104172	1.150000	0.1,-0.25	180
106	1	103	1	106	hero105	item130000005171	1	3,1680	0		0	0	1	4	1			fashion_105171	1.150000	0.1,-0.25	180
107	1	104	1	107	hero107	item130000007171	1	3,1680	0		0	0	1	4	1			fashion_107171	1.150000	0.1,-0.25	180
108	1	105	1	108	hero108	item130000008172	1	3,1680	0		0	0	1	4	1			fashion_108172	1.150000	0.1,-0.25	180
109	1	106	1	109	hero101	item130000001174	1	3,1680	0		0	0	1	4	1			fashion_101174	1.150000	0.1,-0.25	180
110	1	107	1	110	hero102	item130000002172	1	3,1680	0		0	0	1	4	1			fashion_102172	1.150000	0.1,-0.25	180
111	1	108	1	111	hero103	item130000003173	1	3,1680	0		0	0	1	4	1			fashion_103173	1.150000	0.1,-0.25	180
112	1	109	1	112	hero104	item130000004173	1	3,1680	0		0	0	1	4	1			fashion_104173	1.150000	0.1,-0.25	180
113	1	110	1	113	hero105	item130000005172	0	item101200040004,48	0		0	0	1	4	1			fashion_105172	1.150000	0.1,-0.25	180
114	1	111	1	114	hero107	item130000007173	0	item101200040004,48	0		0	0	1	4	1			fashion_107173	1.150000	0.1,-0.25	180
115	1	112	1	115	hero108	item130000008173	0	item101200040004,48	0		0	0	1	4	1			fashion_108173	1.150000	0.1,-0.25	180
116	1	113	1	116	hero101	item130000001175	0	item101200040004,48	0		0	0	1	4	1			fashion_101175	1.150000	0.1,-0.25	180
117	1	114	1	117	hero102	item130000002175	0	item101200040004,48	0		0	0	1	4	1			fashion_102175	1.150000	0.1,-0.25	180
118	1	115	1	118	hero103	item130000003174	0	item101200040004,48	0		0	0	1	4	1			fashion_103174	1.150000	0.1,-0.25	180
119	1	116	1	119	hero104	item130000004174	0	item101200040004,48	0		0	0	1	4	1			fashion_104174	1.150000	0.1,-0.25	180
120	1	117	1	120	hero105	item130000005175	0	item101200040004,48	0		0	0	1	4	1			fashion_105175	1.150000	0.1,-0.25	180
121	1	118	1	121	hero107	item130000007174	0	item101200040004,48	0		0	0	1	4	1			fashion_107174	1.150000	0.1,-0.25	180
122	1	119	1	122	hero108	item130000008174	0	item101200040004,48	0		0	0	1	4	1			fashion_108174	1.150000	0.1,-0.25	180
123	1	120	1	123	hero101	item130000001172	0	item101200040004,32	0		0	0	1	4	1			fashion_101172	1.150000	0.1,-0.25	180
124	1	121	1	124	hero102	item130000002173	0	item101200040004,32	0		0	0	1	4	1			fashion_102173	1.150000	0.1,-0.25	180
125	1	122	1	125	hero103	item130000003172	0	item101200040004,32	0		0	0	1	4	1			fashion_103172	1.150000	0.1,-0.25	180
126	1	123	1	126	hero104	item130000004171	0	item101200040004,32	0		0	0	1	4	1			fashion_104171	1.150000	0.1,-0.25	180
127	1	124	1	127	hero105	item130000005173	0	item101200040004,32	0		0	0	1	4	1			fashion_105173	1.150000	0.1,-0.25	180
128	1	125	1	128	hero107	item130000007172	0	item101200040004,32	0		0	0	1	4	1			fashion_107172	1.150000	0.1,-0.25	180
129	1	126	1	129	hero108	item130000008171	0	item101200040004,32	0		0	0	1	4	1			fashion_108171	1.150000	0.1,-0.25	180
130	2	1	5	130		item101020507120	1	3,600	0		0	0	1	4	1			ride_130	0.650000	0.1,0	180
131	2	2	5	131		item101020507321	1	3,4880	0		0	0	1	4	1			ride_130	0.650000	0.1,0	180
132	2	3	5	132		item101020507109	0	item101200040003,4	0		0	0	-1	0	0			ride_115	0.700000	0,0	150
133	2	4	5	133		item101020507309	0	item101200040003,40	0		0	0	1	4	1			ride_115	0.700000	0,0	150
134	2	5	5	134		item101020507113	1	3,160	0		0	0	-1	0	0			ride_121	0.700000	0,0	150
135	2	6	5	135		item101020507313	1	3,1280	0		0	0	1	4	1			ride_121	0.700000	0,0	150
136	2	7	5	136		item101020507316	0	item101200040003,22	0		0	0	1	4	1			ride_125	0.700000	0,0	150
137	2	8	5	137		item101020507315	0	item101200040003,14	0		0	0	1	4	1			ride_124	0.700000	0,0	150
138	2	9	5	138		item101020507217	0	item101200040003,16	0		0	0	-1	0	0			ride_126	0.700000	0,0	150
