流水	装备id	进阶品阶	需求角色等级	进阶增加属性	进阶消耗材料	进阶消耗银币
90	equip301040432001	6	60	3,128;21,124;25,152	item103015110413,200;item103015110302,80;item103015110412,1	500000
91	equip301040432001	7	65	3,157;21,152;25,186	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
92	equip301040432001	8	70	3,189;21,184;25,224	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
93	equip301040432001	9	75	3,221;21,215;25,262	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
94	equip301040432001	10	80	3,256;21,249;25,304	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
95	equip301040432001	11	85	3,295;21,287;25,350	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
96	equip301040432001	12	90	3,337;21,327;25,400	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
97	equip301040432001	13	90	3,381;21,371;25,453	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
98	equip301040432001	14	90	3,430;21,418;25,510	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
99	equip301040432002	1	48	3,20;21,13;25,27	item103015110413,30;item103015110302,2	50000
100	equip301040432002	2	48	3,40;21,27;25,54	item103015110413,50;item103015110302,10	100000
101	equip301040432002	3	48	3,65;21,43;25,87	item103015110413,70;item103015110302,20	150000
102	equip301040432002	4	48	3,93;21,62;25,125	item103015110413,100;item103015110302,40	200000
103	equip301040432002	5	55	3,126;21,84;25,168	item103015110413,150;item103015110302,60;item103015110412,1	250000
104	equip301040432002	6	60	3,163;21,109;25,218	item103015110413,200;item103015110302,80;item103015110412,1	500000
105	equip301040432002	7	65	3,199;21,133;25,267	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
106	equip301040432002	8	70	3,240;21,161;25,321	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
107	equip301040432002	9	75	3,281;21,188;25,376	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
108	equip301040432002	10	80	3,326;21,218;25,436	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
109	equip301040432002	11	85	3,375;21,251;25,501	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
110	equip301040432002	12	90	3,428;21,286;25,572	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
111	equip301040432002	13	90	3,485;21,324;25,648	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
112	equip301040432002	14	90	3,546;21,365;25,730	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
113	equip301040432003	1	48	3,20;21,21;25,21	item103015110413,30;item103015110302,2	50000
114	equip301040432003	2	48	3,40;21,42;25,43	item103015110413,50;item103015110302,10	100000
115	equip301040432003	3	48	3,64;21,68;25,69	item103015110413,70;item103015110302,20	150000
116	equip301040432003	4	48	3,92;21,98;25,100	item103015110413,100;item103015110302,40	200000
117	equip301040432003	5	55	3,124;21,132;25,135	item103015110413,150;item103015110302,60;item103015110412,1	250000
118	equip301040432003	6	60	3,160;21,171;25,174	item103015110413,200;item103015110302,80;item103015110412,1	500000
119	equip301040432003	7	65	3,196;21,210;25,213	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
120	equip301040432003	8	70	3,237;21,253;25,257	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
121	equip301040432003	9	75	3,277;21,296;25,300	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
122	equip301040432003	10	80	3,321;21,343;25,348	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
123	equip301040432003	11	85	3,369;21,394;25,401	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
124	equip301040432003	12	90	3,422;21,450;25,457	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
125	equip301040432003	13	90	3,478;21,510;25,518	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
126	equip301040432003	14	90	3,538;21,574;25,584	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
127	equip301040432004	1	48	3,18;21,19;25,27	item103015110413,30;item103015110302,2	50000
128	equip301040432004	2	48	3,36;21,39;25,54	item103015110413,50;item103015110302,10	100000
129	equip301040432004	3	48	3,59;21,62;25,87	item103015110413,70;item103015110302,20	150000
130	equip301040432004	4	48	3,84;21,89;25,125	item103015110413,100;item103015110302,40	200000
131	equip301040432004	5	55	3,114;21,120;25,168	item103015110413,150;item103015110302,60;item103015110412,1	250000
132	equip301040432004	6	60	3,147;21,156;25,218	item103015110413,200;item103015110302,80;item103015110412,1	500000
133	equip301040432004	7	65	3,180;21,191;25,267	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
134	equip301040432004	8	70	3,217;21,230;25,321	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
135	equip301040432004	9	75	3,254;21,269;25,376	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
136	equip301040432004	10	80	3,295;21,312;25,436	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
137	equip301040432004	11	85	3,339;21,358;25,501	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
138	equip301040432004	12	90	3,387;21,409;25,572	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
139	equip301040432004	13	90	3,439;21,464;25,648	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
140	equip301040432004	14	90	3,494;21,522;25,730	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
141	equip301040432005	1	48	3,20;21,17;25,32	item103015110413,30;item103015110302,2	50000
142	equip301040432005	2	48	3,41;21,35;25,65	item103015110413,50;item103015110302,10	100000
143	equip301040432005	3	48	3,66;21,56;25,104	item103015110413,70;item103015110302,20	150000
144	equip301040432005	4	48	3,95;21,80;25,150	item103015110413,100;item103015110302,40	200000
145	equip301040432005	5	55	3,128;21,108;25,202	item103015110413,150;item103015110302,60;item103015110412,1	250000
146	equip301040432005	6	60	3,165;21,140;25,261	item103015110413,200;item103015110302,80;item103015110412,1	500000
147	equip301040432005	7	65	3,202;21,171;25,320	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
148	equip301040432005	8	70	3,244;21,207;25,385	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
149	equip301040432005	9	75	3,285;21,242;25,451	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
150	equip301040432005	10	80	3,331;21,280;25,523	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
151	equip301040432005	11	85	3,380;21,322;25,601	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
152	equip301040432005	12	90	3,434;21,368;25,686	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
153	equip301040432005	13	90	3,492;21,417;25,778	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
154	equip301040432005	14	90	3,554;21,470;25,876	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
155	equip301040432006	1	48	3,15;21,15;25,19	item103015110413,30;item103015110302,2	50000
156	equip301040432006	2	48	3,31;21,31;25,38	item103015110413,50;item103015110302,10	100000
157	equip301040432006	3	48	3,50;21,49;25,60	item103015110413,70;item103015110302,20	150000
158	equip301040432006	4	48	3,73;21,71;25,87	item103015110413,100;item103015110302,40	200000
159	equip301040432006	5	55	3,98;21,96;25,118	item103015110413,150;item103015110302,60;item103015110412,1	250000
160	equip301040432006	6	60	3,127;21,124;25,152	item103015110413,200;item103015110302,80;item103015110412,1	500000
161	equip301040432006	7	65	3,155;21,152;25,186	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
162	equip301040432006	8	70	3,187;21,184;25,224	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
163	equip301040432006	9	75	3,219;21,215;25,262	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
164	equip301040432006	10	80	3,254;21,249;25,304	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
165	equip301040432006	11	85	3,292;21,287;25,350	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
166	equip301040432006	12	90	3,333;21,327;25,400	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
167	equip301040432006	13	90	3,378;21,371;25,453	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
168	equip301040432006	14	90	3,426;21,418;25,510	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
169	equip301040433001	1	48	3,16;21,16;25,20	item103015110413,30;item103015110302,2	50000
170	equip301040433001	2	48	3,33;21,32;25,40	item103015110413,50;item103015110302,10	100000
171	equip301040433001	3	48	3,54;21,52;25,64	item103015110413,70;item103015110302,20	150000
172	equip301040433001	4	48	3,77;21,75;25,92	item103015110413,100;item103015110302,40	200000
173	equip301040433001	5	55	3,104;21,101;25,124	item103015110413,150;item103015110302,60;item103015110412,1	250000
174	equip301040433001	6	60	3,135;21,131;25,160	item103015110413,200;item103015110302,80;item103015110412,1	500000
175	equip301040433001	7	65	3,165;21,161;25,196	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
176	equip301040433001	8	70	3,199;21,194;25,237	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
177	equip301040433001	9	75	3,233;21,227;25,277	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
178	equip301040433001	10	80	3,270;21,263;25,321	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
179	equip301040433001	11	85	3,310;21,302;25,369	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
180	equip301040433001	12	90	3,354;21,345;25,422	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
181	equip301040433001	13	90	3,402;21,391;25,478	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
182	equip301040433001	14	90	3,452;21,440;25,538	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
183	equip301040433002	1	48	3,21;21,14;25,28	item103015110413,30;item103015110302,2	50000
184	equip301040433002	2	48	3,43;21,28;25,57	item103015110413,50;item103015110302,10	100000
185	equip301040433002	3	48	3,68;21,45;25,91	item103015110413,70;item103015110302,20	150000
186	equip301040433002	4	48	3,98;21,66;25,132	item103015110413,100;item103015110302,40	200000
187	equip301040433002	5	55	3,133;21,88;25,177	item103015110413,150;item103015110302,60;item103015110412,1	250000
188	equip301040433002	6	60	3,172;21,114;25,229	item103015110413,200;item103015110302,80;item103015110412,1	500000
189	equip301040433002	7	65	3,210;21,140;25,281	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
190	equip301040433002	8	70	3,253;21,169;25,338	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
191	equip301040433002	9	75	3,296;21,198;25,396	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
192	equip301040433002	10	80	3,344;21,229;25,459	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
193	equip301040433002	11	85	3,395;21,264;25,528	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
194	equip301040433002	12	90	3,451;21,301;25,602	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
195	equip301040433002	13	90	3,511;21,341;25,683	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
196	equip301040433002	14	90	3,576;21,384;25,769	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
197	equip301040433003	1	48	3,21;21,22;25,22	item103015110413,30;item103015110302,2	50000
198	equip301040433003	2	48	3,42;21,45;25,45	item103015110413,50;item103015110302,10	100000
199	equip301040433003	3	48	3,67;21,72;25,73	item103015110413,70;item103015110302,20	150000
200	equip301040433003	4	48	3,97;21,103;25,105	item103015110413,100;item103015110302,40	200000
201	equip301040433003	5	55	3,131;21,140;25,142	item103015110413,150;item103015110302,60;item103015110412,1	250000
202	equip301040433003	6	60	3,169;21,180;25,183	item103015110413,200;item103015110302,80;item103015110412,1	500000
203	equip301040433003	7	65	3,207;21,221;25,224	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
204	equip301040433003	8	70	3,249;21,266;25,270	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
205	equip301040433003	9	75	3,291;21,311;25,316	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
206	equip301040433003	10	80	3,338;21,361;25,367	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
207	equip301040433003	11	85	3,389;21,415;25,422	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
208	equip301040433003	12	90	3,444;21,474;25,481	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
209	equip301040433003	13	90	3,503;21,537;25,546	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
210	equip301040433003	14	90	3,566;21,605;25,615	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
211	equip301040433004	1	48	3,19;21,20;25,28	item103015110413,30;item103015110302,2	50000
212	equip301040433004	2	48	3,38;21,41;25,57	item103015110413,50;item103015110302,10	100000
213	equip301040433004	3	48	3,62;21,65;25,91	item103015110413,70;item103015110302,20	150000
214	equip301040433004	4	48	3,89;21,94;25,132	item103015110413,100;item103015110302,40	200000
215	equip301040433004	5	55	3,120;21,127;25,177	item103015110413,150;item103015110302,60;item103015110412,1	250000
216	equip301040433004	6	60	3,155;21,164;25,229	item103015110413,200;item103015110302,80;item103015110412,1	500000
217	equip301040433004	7	65	3,190;21,201;25,281	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
218	equip301040433004	8	70	3,228;21,242;25,338	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
219	equip301040433004	9	75	3,267;21,283;25,396	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
220	equip301040433004	10	80	3,310;21,328;25,459	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
221	equip301040433004	11	85	3,356;21,378;25,528	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
222	equip301040433004	12	90	3,407;21,431;25,602	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
223	equip301040433004	13	90	3,461;21,489;25,683	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
224	equip301040433004	14	90	3,519;21,550;25,769	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
225	equip301040433005	1	48	3,21;21,18;25,34	item103015110413,30;item103015110302,2	50000
226	equip301040433005	2	48	3,43;21,37;25,68	item103015110413,50;item103015110302,10	100000
227	equip301040433005	3	48	3,69;21,59;25,110	item103015110413,70;item103015110302,20	150000
228	equip301040433005	4	48	3,100;21,85;25,158	item103015110413,100;item103015110302,40	200000
229	equip301040433005	5	55	3,135;21,114;25,213	item103015110413,150;item103015110302,60;item103015110412,1	250000
230	equip301040433005	6	60	3,174;21,148;25,275	item103015110413,200;item103015110302,80;item103015110412,1	500000
231	equip301040433005	7	65	3,213;21,181;25,337	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
232	equip301040433005	8	70	3,257;21,218;25,406	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
233	equip301040433005	9	75	3,300;21,255;25,475	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
234	equip301040433005	10	80	3,348;21,296;25,551	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
235	equip301040433005	11	85	3,401;21,340;25,633	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
236	equip301040433005	12	90	3,457;21,388;25,723	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
237	equip301040433005	13	90	3,518;21,440;25,819	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
238	equip301040433005	14	90	3,584;21,495;25,923	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
239	equip301040433006	1	48	3,16;21,16;25,20	item103015110413,30;item103015110302,2	50000
240	equip301040433006	2	48	3,33;21,32;25,40	item103015110413,50;item103015110302,10	100000
241	equip301040433006	3	48	3,53;21,52;25,64	item103015110413,70;item103015110302,20	150000
242	equip301040433006	4	48	3,76;21,75;25,92	item103015110413,100;item103015110302,40	200000
243	equip301040433006	5	55	3,103;21,101;25,124	item103015110413,150;item103015110302,60;item103015110412,1	250000
244	equip301040433006	6	60	3,133;21,131;25,160	item103015110413,200;item103015110302,80;item103015110412,1	500000
245	equip301040433006	7	65	3,163;21,161;25,196	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
246	equip301040433006	8	70	3,197;21,194;25,237	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
247	equip301040433006	9	75	3,230;21,227;25,277	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
248	equip301040433006	10	80	3,267;21,263;25,321	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
249	equip301040433006	11	85	3,307;21,302;25,369	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
250	equip301040433006	12	90	3,350;21,345;25,422	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
251	equip301040433006	13	90	3,397;21,391;25,478	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
