流水ID	武器技能石ID	对应的职业	可转换的技能石ID
102	item103010132362	0	item103010132362
103	item103010132363	0	item103010132363
104	item103010132364	0	item103010132364
105	item103010132365	0	item103010132365
106	item103010132366	0	item103010132366
107	item103010132367	0	item103010132367
108	item103010132368	0	item103010132368
109	item103010132371	0	item103010132371
110	item103010132372	0	item103010132372
111	item103010132373	0	item103010132373
112	item103010132374	0	item103010132374
113	item103010132375	0	item103010132375
114	item103010132376	0	item103010132376
115	item103010132377	0	item103010132377
116	item103010132378	0	item103010132378
117	item103010133001	1	item103010135001
118	item103010133001	2	item103010134001
119	item103010133001	3	item103010133001
120	item103010133001	4	item103010136001
121	item103010133001	5	item103010137001
122	item103010133001	6	item103010138001
123	item103010133002	2	item103010134002
124	item103010133002	3	item103010133002
125	item103010133002	4	item103010136002
126	item103010133002	5	item103010137002
127	item103010133002	6	item103010138002
128	item103010133003	1	item103010135003
129	item103010133003	2	item103010134003
130	item103010133003	3	item103010133003
131	item103010133003	4	item103010136003
132	item103010133003	5	item103010137003
133	item103010133003	6	item103010138003
134	item103010133004	1	item103010135004
135	item103010133004	2	item103010134004
136	item103010133004	3	item103010133004
137	item103010133004	4	item103010136004
138	item103010133004	5	item103010137004
139	item103010133004	6	item103010138004
140	item103010133101	1	item103010135101
141	item103010133101	1	item103010135111
142	item103010133101	2	item103010134101
143	item103010133101	2	item103010134111
144	item103010133101	3	item103010133101
145	item103010133101	3	item103010133111
146	item103010133101	4	item103010136101
147	item103010133101	4	item103010136111
148	item103010133101	5	item103010137101
149	item103010133101	5	item103010137111
150	item103010133101	6	item103010138101
151	item103010133101	6	item103010138111
152	item103010133102	1	item103010135102
153	item103010133102	1	item103010135112
154	item103010133102	2	item103010134102
155	item103010133102	2	item103010134112
156	item103010133102	3	item103010133102
157	item103010133102	3	item103010133112
158	item103010133102	4	item103010136102
159	item103010133102	4	item103010136112
160	item103010133102	5	item103010137102
161	item103010133102	5	item103010137112
162	item103010133102	6	item103010138102
163	item103010133102	6	item103010138112
164	item103010133103	1	item103010135103
165	item103010133103	1	item103010135113
166	item103010133103	2	item103010134103
167	item103010133103	2	item103010134113
168	item103010133103	3	item103010133103
169	item103010133103	3	item103010133113
170	item103010133103	4	item103010136103
171	item103010133103	4	item103010136113
172	item103010133103	5	item103010137103
173	item103010133103	5	item103010137113
174	item103010133103	6	item103010138103
175	item103010133103	6	item103010138113
176	item103010133104	1	item103010135104
177	item103010133104	1	item103010135114
178	item103010133104	2	item103010134104
179	item103010133104	2	item103010134114
180	item103010133104	3	item103010133104
181	item103010133104	3	item103010133114
182	item103010133104	4	item103010136104
183	item103010133104	4	item103010136114
184	item103010133104	5	item103010137104
185	item103010133104	5	item103010137114
186	item103010133104	6	item103010138104
187	item103010133104	6	item103010138114
188	item103010133111	1	item103010135111
189	item103010133111	1	item103010135101
190	item103010133111	2	item103010134111
191	item103010133111	2	item103010134101
192	item103010133111	3	item103010133111
193	item103010133111	3	item103010133101
194	item103010133111	4	item103010136111
195	item103010133111	4	item103010136101
196	item103010133111	5	item103010137111
197	item103010133111	5	item103010137101
198	item103010133111	6	item103010138111
199	item103010133111	6	item103010138101
200	item103010133112	1	item103010135112
201	item103010133112	1	item103010135102
202	item103010133112	2	item103010134112
203	item103010133112	2	item103010134102
204	item103010133112	3	item103010133112
205	item103010133112	3	item103010133102
206	item103010133112	4	item103010136112
207	item103010133112	4	item103010136102
208	item103010133112	5	item103010137112
209	item103010133112	5	item103010137102
210	item103010133112	6	item103010138112
211	item103010133112	6	item103010138102
212	item103010133113	1	item103010135113
213	item103010133113	1	item103010135103
214	item103010133113	2	item103010134113
215	item103010133113	2	item103010134103
216	item103010133113	3	item103010133113
217	item103010133113	3	item103010133103
218	item103010133113	4	item103010136113
219	item103010133113	4	item103010136103
220	item103010133113	5	item103010137113
221	item103010133113	5	item103010137103
222	item103010133113	6	item103010138113
223	item103010133113	6	item103010138103
224	item103010133114	1	item103010135114
225	item103010133114	1	item103010135104
226	item103010133114	2	item103010134114
227	item103010133114	2	item103010134104
228	item103010133114	3	item103010133114
229	item103010133114	3	item103010133104
230	item103010133114	4	item103010136114
231	item103010133114	4	item103010136104
232	item103010133114	5	item103010137114
233	item103010133114	5	item103010137104
234	item103010133114	6	item103010138114
235	item103010133114	6	item103010138104
236	item103010133201	1	item103010135201
237	item103010133201	2	item103010134201
238	item103010133201	3	item103010133201
239	item103010133201	4	item103010136201
240	item103010133201	5	item103010137201
241	item103010133201	6	item103010138201
242	item103010133202	1	item103010135202
243	item103010133202	2	item103010134202
244	item103010133202	3	item103010133202
245	item103010133202	4	item103010136202
246	item103010133202	5	item103010137202
247	item103010133202	6	item103010138202
248	item103010133203	1	item103010135203
249	item103010133203	2	item103010134203
250	item103010133203	3	item103010133203
251	item103010133203	4	item103010136203
252	item103010133203	5	item103010137203
253	item103010133203	6	item103010138203
254	item103010133204	1	item103010135204
255	item103010133204	2	item103010134204
256	item103010133204	3	item103010133204
257	item103010133204	4	item103010136204
258	item103010133204	5	item103010137204
259	item103010133204	6	item103010138204
260	item103010133301	1	item103010135301
261	item103010133301	2	item103010134301
262	item103010133301	3	item103010133301
263	item103010133301	4	item103010136301
264	item103010133301	5	item103010137301
265	item103010133301	6	item103010138301
266	item103010133302	1	item103010135302
267	item103010133302	2	item103010134302
268	item103010133302	3	item103010133302
269	item103010133302	4	item103010136302
270	item103010133302	5	item103010137302
271	item103010133302	6	item103010138302
272	item103010133303	1	item103010135303
273	item103010133303	2	item103010134303
274	item103010133303	3	item103010133303
275	item103010133303	4	item103010136303
276	item103010133303	5	item103010137303
277	item103010133303	6	item103010138303
278	item103010133304	1	item103010135304
279	item103010133304	2	item103010134304
280	item103010133304	3	item103010133304
281	item103010133304	4	item103010136304
282	item103010133304	5	item103010137304
283	item103010133304	6	item103010138304
284	item103010133305	1	item103010135305
285	item103010133305	2	item103010134305
286	item103010133305	3	item103010133305
287	item103010133305	4	item103010136305
288	item103010133305	5	item103010137305
289	item103010133305	6	item103010138305
290	item103010133306	1	item103010135306
291	item103010133306	2	item103010134306
292	item103010133306	3	item103010133306
293	item103010133306	4	item103010136306
294	item103010133306	5	item103010137306
295	item103010133306	6	item103010138306
296	item103010133307	1	item103010135307
297	item103010133307	2	item103010134307
298	item103010133307	3	item103010133307
299	item103010133307	4	item103010136307
300	item103010133307	5	item103010137307
301	item103010133307	6	item103010138307
302	item103010133308	1	item103010135308
303	item103010133308	2	item103010134308
304	item103010133308	3	item103010133308
305	item103010133308	4	item103010136308
306	item103010133308	5	item103010137308
307	item103010133308	6	item103010138308
308	item103010134001	1	item103010135001
309	item103010134001	2	item103010134001
310	item103010134001	3	item103010133001
311	item103010134001	4	item103010136001
312	item103010134001	5	item103010137001
313	item103010134001	6	item103010138001
314	item103010134002	1	item103010135002
315	item103010134002	2	item103010134002
316	item103010134002	3	item103010133002
317	item103010134002	4	item103010136002
318	item103010134002	5	item103010137002
319	item103010134002	6	item103010138002
320	item103010134003	1	item103010135003
321	item103010134003	2	item103010134003
322	item103010134003	3	item103010133003
323	item103010134003	4	item103010136003
324	item103010134003	5	item103010137003
325	item103010134003	6	item103010138003
326	item103010134004	1	item103010135004
327	item103010134004	2	item103010134004
328	item103010134004	3	item103010133004
329	item103010134004	4	item103010136004
330	item103010134004	5	item103010137004
331	item103010134004	6	item103010138004
332	item103010134101	1	item103010135101
333	item103010134101	1	item103010135111
334	item103010134101	2	item103010134101
335	item103010134101	2	item103010134111
336	item103010134101	3	item103010133101
337	item103010134101	3	item103010133111
338	item103010134101	4	item103010136101
339	item103010134101	4	item103010136111
340	item103010134101	5	item103010137101
341	item103010134101	5	item103010137111
342	item103010134101	6	item103010138101
343	item103010134101	6	item103010138111
344	item103010134102	1	item103010135102
345	item103010134102	1	item103010135112
346	item103010134102	2	item103010134102
347	item103010134102	2	item103010134112
348	item103010134102	3	item103010133102
349	item103010134102	3	item103010133112
350	item103010134102	4	item103010136102
351	item103010134102	4	item103010136112
352	item103010134102	5	item103010137102
353	item103010134102	5	item103010137112
354	item103010134102	6	item103010138102
355	item103010134102	6	item103010138112
356	item103010134103	1	item103010135103
357	item103010134103	1	item103010135113
358	item103010134103	2	item103010134103
359	item103010134103	2	item103010134113
360	item103010134103	3	item103010133103
361	item103010134103	3	item103010133113
362	item103010134103	4	item103010136103
363	item103010134103	4	item103010136113
364	item103010134103	5	item103010137103
365	item103010134103	5	item103010137113
366	item103010134103	6	item103010138103
367	item103010134103	6	item103010138113
368	item103010134104	1	item103010135104
369	item103010134104	1	item103010135114
370	item103010134104	2	item103010134104
371	item103010134104	2	item103010134114
372	item103010134104	3	item103010133104
373	item103010134104	3	item103010133114
374	item103010134104	4	item103010136104
375	item103010134104	4	item103010136114
376	item103010134104	5	item103010137104
377	item103010134104	5	item103010137114
378	item103010134104	6	item103010138104
379	item103010134104	6	item103010138114
380	item103010134111	1	item103010135111
381	item103010134111	1	item103010135101
382	item103010134111	2	item103010134111
383	item103010134111	2	item103010134101
384	item103010134111	3	item103010133111
385	item103010134111	3	item103010133101
386	item103010134111	4	item103010136111
387	item103010134111	4	item103010136101
388	item103010134111	5	item103010137111
389	item103010134111	5	item103010137101
390	item103010134111	6	item103010138111
391	item103010134111	6	item103010138101
392	item103010134112	1	item103010135112
393	item103010134112	1	item103010135102
394	item103010134112	2	item103010134112
395	item103010134112	2	item103010134102
396	item103010134112	3	item103010133112
397	item103010134112	3	item103010133102
398	item103010134112	4	item103010136112
399	item103010134112	4	item103010136102
400	item103010134112	5	item103010137112
401	item103010134112	5	item103010137102
402	item103010134112	6	item103010138112
403	item103010134112	6	item103010138102
404	item103010134113	1	item103010135113
405	item103010134113	1	item103010135103
406	item103010134113	2	item103010134113
407	item103010134113	2	item103010134103
408	item103010134113	3	item103010133113
409	item103010134113	3	item103010133103
410	item103010134113	4	item103010136113
411	item103010134113	4	item103010136103
412	item103010134113	5	item103010137113
413	item103010134113	5	item103010137103
414	item103010134113	6	item103010138113
415	item103010134113	6	item103010138103
416	item103010134114	1	item103010135114
417	item103010134114	1	item103010135104
418	item103010134114	2	item103010134114
419	item103010134114	2	item103010134104
420	item103010134114	3	item103010133114
421	item103010134114	3	item103010133104
422	item103010134114	4	item103010136114
423	item103010134114	4	item103010136104
424	item103010134114	5	item103010137114
425	item103010134114	5	item103010137104
426	item103010134114	6	item103010138114
427	item103010134114	6	item103010138104
428	item103010134201	1	item103010135201
429	item103010134201	2	item103010134201
430	item103010134201	3	item103010133201
431	item103010134201	4	item103010136201
432	item103010134201	5	item103010137201
433	item103010134201	6	item103010138201
434	item103010134202	1	item103010135202
435	item103010134202	2	item103010134202
436	item103010134202	3	item103010133202
437	item103010134202	4	item103010136202
438	item103010134202	5	item103010137202
439	item103010134202	6	item103010138202
440	item103010134203	1	item103010135203
441	item103010134203	2	item103010134203
442	item103010134203	3	item103010133203
443	item103010134203	4	item103010136203
444	item103010134203	5	item103010137203
445	item103010134203	6	item103010138203
446	item103010134204	1	item103010135204
447	item103010134204	2	item103010134204
448	item103010134204	3	item103010133204
449	item103010134204	4	item103010136204
450	item103010134204	5	item103010137204
451	item103010134204	6	item103010138204
452	item103010134301	1	item103010135301
453	item103010134301	2	item103010134301
454	item103010134301	3	item103010133301
455	item103010134301	4	item103010136301
456	item103010134301	5	item103010137301
457	item103010134301	6	item103010138301
458	item103010134302	1	item103010135302
459	item103010134302	2	item103010134302
460	item103010134302	3	item103010133302
461	item103010134302	4	item103010136302
462	item103010134302	5	item103010137302
463	item103010134302	6	item103010138302
464	item103010134303	1	item103010135303
465	item103010134303	2	item103010134303
466	item103010134303	3	item103010133303
467	item103010134303	4	item103010136303
468	item103010134303	5	item103010137303
469	item103010134303	6	item103010138303
470	item103010134304	1	item103010135304
471	item103010134304	2	item103010134304
472	item103010134304	3	item103010133304
473	item103010134304	4	item103010136304
474	item103010134304	5	item103010137304
475	item103010134304	6	item103010138304
476	item103010134305	1	item103010135305
477	item103010134305	2	item103010134305
478	item103010134305	3	item103010133305
479	item103010134305	4	item103010136305
480	item103010134305	5	item103010137305
481	item103010134305	6	item103010138305
482	item103010134306	1	item103010135306
483	item103010134306	2	item103010134306
484	item103010134306	3	item103010133306
485	item103010134306	4	item103010136306
486	item103010134306	5	item103010137306
487	item103010134306	6	item103010138306
488	item103010134307	1	item103010135307
489	item103010134307	2	item103010134307
490	item103010134307	3	item103010133307
491	item103010134307	4	item103010136307
492	item103010134307	5	item103010137307
493	item103010134307	6	item103010138307
494	item103010134308	1	item103010135308
495	item103010134308	2	item103010134308
496	item103010134308	3	item103010133308
497	item103010134308	4	item103010136308
498	item103010134308	5	item103010137308
499	item103010134308	6	item103010138308
500	item103010135001	1	item103010135001
501	item103010135001	2	item103010134001
502	item103010135001	3	item103010133001
503	item103010135001	4	item103010136001
504	item103010135001	5	item103010137001
505	item103010135001	6	item103010138001
506	item103010135002	1	item103010135002
507	item103010135002	2	item103010134002
508	item103010135002	3	item103010133002
509	item103010135002	4	item103010136002
510	item103010135002	5	item103010137002
511	item103010135002	6	item103010138002
512	item103010135003	1	item103010135003
513	item103010135003	2	item103010134003
514	item103010135003	3	item103010133003
515	item103010135003	4	item103010136003
516	item103010135003	5	item103010137003
517	item103010135003	6	item103010138003
518	item103010135004	1	item103010135004
519	item103010135004	2	item103010134004
520	item103010135004	3	item103010133004
521	item103010135004	4	item103010136004
522	item103010135004	5	item103010137004
523	item103010135004	6	item103010138004
524	item103010135101	1	item103010135101
525	item103010135101	1	item103010135111
526	item103010135101	2	item103010134101
527	item103010135101	2	item103010134111
528	item103010135101	3	item103010133101
529	item103010135101	3	item103010133111
530	item103010135101	4	item103010136101
531	item103010135101	4	item103010136111
532	item103010135101	5	item103010137101
533	item103010135101	5	item103010137111
534	item103010135101	6	item103010138101
535	item103010135101	6	item103010138111
536	item103010135102	1	item103010135102
537	item103010135102	1	item103010135112
538	item103010135102	2	item103010134102
539	item103010135102	2	item103010134112
540	item103010135102	3	item103010133102
541	item103010135102	3	item103010133112
542	item103010135102	4	item103010136102
543	item103010135102	4	item103010136112
544	item103010135102	5	item103010137102
545	item103010135102	5	item103010137112
546	item103010135102	6	item103010138102
547	item103010135102	6	item103010138112
548	item103010135103	1	item103010135103
549	item103010135103	1	item103010135113
550	item103010135103	2	item103010134103
551	item103010135103	2	item103010134113
552	item103010135103	3	item103010133103
553	item103010135103	3	item103010133113
554	item103010135103	4	item103010136103
555	item103010135103	4	item103010136113
556	item103010135103	5	item103010137103
557	item103010135103	5	item103010137113
558	item103010135103	6	item103010138103
559	item103010135103	6	item103010138113
560	item103010135104	1	item103010135104
561	item103010135104	1	item103010135114
562	item103010135104	2	item103010134104
563	item103010135104	2	item103010134114
564	item103010135104	3	item103010133104
565	item103010135104	3	item103010133114
566	item103010135104	4	item103010136104
567	item103010135104	4	item103010136114
568	item103010135104	5	item103010137104
569	item103010135104	5	item103010137114
570	item103010135104	6	item103010138104
571	item103010135104	6	item103010138114
572	item103010135111	1	item103010135111
573	item103010135111	1	item103010135101
574	item103010135111	2	item103010134111
575	item103010135111	2	item103010134101
576	item103010135111	3	item103010133111
577	item103010135111	3	item103010133101
578	item103010135111	4	item103010136111
579	item103010135111	4	item103010136101
580	item103010135111	5	item103010137111
581	item103010135111	5	item103010137101
582	item103010135111	6	item103010138111
583	item103010135111	6	item103010138101
584	item103010135112	1	item103010135112
585	item103010135112	1	item103010135102
586	item103010135112	2	item103010134112
587	item103010135112	2	item103010134102
588	item103010135112	3	item103010133112
589	item103010135112	3	item103010133102
590	item103010135112	4	item103010136112
591	item103010135112	4	item103010136102
592	item103010135112	5	item103010137112
593	item103010135112	5	item103010137102
594	item103010135112	6	item103010138112
595	item103010135112	6	item103010138102
596	item103010135113	1	item103010135113
597	item103010135113	1	item103010135103
598	item103010135113	2	item103010134113
599	item103010135113	2	item103010134103
600	item103010135113	3	item103010133113
601	item103010135113	3	item103010133103
602	item103010135113	4	item103010136113
603	item103010135113	4	item103010136103
604	item103010135113	5	item103010137113
605	item103010135113	5	item103010137103
606	item103010135113	6	item103010138113
607	item103010135113	6	item103010138103
608	item103010135114	1	item103010135114
609	item103010135114	1	item103010135104
610	item103010135114	2	item103010134114
611	item103010135114	2	item103010134104
612	item103010135114	3	item103010133114
613	item103010135114	3	item103010133104
614	item103010135114	4	item103010136114
615	item103010135114	4	item103010136104
616	item103010135114	5	item103010137114
617	item103010135114	5	item103010137104
618	item103010135114	6	item103010138114
619	item103010135114	6	item103010138104
620	item103010135201	1	item103010135201
621	item103010135201	2	item103010134201
622	item103010135201	3	item103010133201
623	item103010135201	4	item103010136201
624	item103010135201	5	item103010137201
625	item103010135201	6	item103010138201
626	item103010135202	1	item103010135202
627	item103010135202	2	item103010134202
628	item103010135202	3	item103010133202
629	item103010135202	4	item103010136202
630	item103010135202	5	item103010137202
631	item103010135202	6	item103010138202
632	item103010135203	1	item103010135203
633	item103010135203	2	item103010134203
634	item103010135203	3	item103010133203
635	item103010135203	4	item103010136203
636	item103010135203	5	item103010137203
637	item103010135203	6	item103010138203
638	item103010135204	1	item103010135204
639	item103010135204	2	item103010134204
640	item103010135204	3	item103010133204
641	item103010135204	4	item103010136204
642	item103010135204	5	item103010137204
643	item103010135204	6	item103010138204
644	item103010135301	1	item103010135301
645	item103010135301	2	item103010134301
646	item103010135301	3	item103010133301
647	item103010135301	4	item103010136301
648	item103010135301	5	item103010137301
649	item103010135301	6	item103010138301
650	item103010135302	1	item103010135302
651	item103010135302	2	item103010134302
652	item103010135302	3	item103010133302
653	item103010135302	4	item103010136302
654	item103010135302	5	item103010137302
655	item103010135302	6	item103010138302
656	item103010135303	1	item103010135303
657	item103010135303	2	item103010134303
658	item103010135303	3	item103010133303
659	item103010135303	4	item103010136303
660	item103010135303	5	item103010137303
661	item103010135303	6	item103010138303
662	item103010135304	1	item103010135304
663	item103010135304	2	item103010134304
664	item103010135304	3	item103010133304
665	item103010135304	4	item103010136304
666	item103010135304	5	item103010137304
667	item103010135304	6	item103010138304
668	item103010135305	1	item103010135305
669	item103010135305	2	item103010134305
670	item103010135305	3	item103010133305
671	item103010135305	4	item103010136305
672	item103010135305	5	item103010137305
673	item103010135305	6	item103010138305
674	item103010135306	1	item103010135306
675	item103010135306	2	item103010134306
676	item103010135306	3	item103010133306
677	item103010135306	4	item103010136306
678	item103010135306	5	item103010137306
679	item103010135306	6	item103010138306
680	item103010135307	1	item103010135307
681	item103010135307	2	item103010134307
682	item103010135307	3	item103010133307
683	item103010135307	4	item103010136307
684	item103010135307	5	item103010137307
685	item103010135307	6	item103010138307
686	item103010135308	1	item103010135308
687	item103010135308	2	item103010134308
688	item103010135308	3	item103010133308
689	item103010135308	4	item103010136308
690	item103010135308	5	item103010137308
691	item103010135308	6	item103010138308
692	item103010136001	1	item103010135001
693	item103010136001	2	item103010134001
694	item103010136001	3	item103010133001
695	item103010136001	4	item103010136001
696	item103010136001	5	item103010137001
697	item103010136001	6	item103010138001
698	item103010136002	1	item103010135002
699	item103010136002	2	item103010134002
700	item103010136002	3	item103010133002
701	item103010136002	4	item103010136002
702	item103010136002	5	item103010137002
703	item103010136002	6	item103010138002
704	item103010136003	1	item103010135003
705	item103010136003	2	item103010134003
706	item103010136003	3	item103010133003
707	item103010136003	4	item103010136003
708	item103010136003	5	item103010137003
709	item103010136003	6	item103010138003
710	item103010136004	1	item103010135004
711	item103010136004	2	item103010134004
712	item103010136004	3	item103010133004
713	item103010136004	4	item103010136004
714	item103010136004	5	item103010137004
715	item103010136004	6	item103010138004
716	item103010136101	1	item103010135101
717	item103010136101	1	item103010135111
718	item103010136101	2	item103010134101
719	item103010136101	2	item103010134111
720	item103010136101	3	item103010133101
721	item103010136101	3	item103010133111
722	item103010136101	4	item103010136101
723	item103010136101	4	item103010136111
724	item103010136101	5	item103010137101
725	item103010136101	5	item103010137111
726	item103010136101	6	item103010138101
727	item103010136101	6	item103010138111
728	item103010136102	1	item103010135102
729	item103010136102	1	item103010135112
730	item103010136102	2	item103010134102
731	item103010136102	2	item103010134112
732	item103010136102	3	item103010133102
733	item103010136102	3	item103010133112
734	item103010136102	4	item103010136102
735	item103010136102	4	item103010136112
736	item103010136102	5	item103010137102
737	item103010136102	5	item103010137112
738	item103010136102	6	item103010138102
739	item103010136102	6	item103010138112
740	item103010136103	1	item103010135103
741	item103010136103	1	item103010135113
742	item103010136103	2	item103010134103
743	item103010136103	2	item103010134113
744	item103010136103	3	item103010133103
745	item103010136103	3	item103010133113
746	item103010136103	4	item103010136103
747	item103010136103	4	item103010136113
748	item103010136103	5	item103010137103
749	item103010136103	5	item103010137113
750	item103010136103	6	item103010138103
751	item103010136103	6	item103010138113
752	item103010136104	1	item103010135104
753	item103010136104	1	item103010135114
754	item103010136104	2	item103010134104
755	item103010136104	2	item103010134114
756	item103010136104	3	item103010133104
757	item103010136104	3	item103010133114
758	item103010136104	4	item103010136104
759	item103010136104	4	item103010136114
760	item103010136104	5	item103010137104
761	item103010136104	5	item103010137114
762	item103010136104	6	item103010138104
763	item103010136104	6	item103010138114
764	item103010136111	1	item103010135111
765	item103010136111	1	item103010135101
766	item103010136111	2	item103010134111
767	item103010136111	2	item103010134101
768	item103010136111	3	item103010133111
769	item103010136111	3	item103010133101
770	item103010136111	4	item103010136111
771	item103010136111	4	item103010136101
772	item103010136111	5	item103010137111
773	item103010136111	5	item103010137101
774	item103010136111	6	item103010138111
775	item103010136111	6	item103010138101
776	item103010136112	1	item103010135112
777	item103010136112	1	item103010135102
778	item103010136112	2	item103010134112
779	item103010136112	2	item103010134102
780	item103010136112	3	item103010133112
781	item103010136112	3	item103010133102
782	item103010136112	4	item103010136112
783	item103010136112	4	item103010136102
784	item103010136112	5	item103010137112
785	item103010136112	5	item103010137102
786	item103010136112	6	item103010138112
787	item103010136112	6	item103010138102
788	item103010136113	1	item103010135113
789	item103010136113	1	item103010135103
790	item103010136113	2	item103010134113
791	item103010136113	2	item103010134103
792	item103010136113	3	item103010133113
793	item103010136113	3	item103010133103
794	item103010136113	4	item103010136113
795	item103010136113	4	item103010136103
796	item103010136113	5	item103010137113
797	item103010136113	5	item103010137103
798	item103010136113	6	item103010138113
799	item103010136113	6	item103010138103
800	item103010136114	1	item103010135114
801	item103010136114	1	item103010135104
802	item103010136114	2	item103010134114
803	item103010136114	2	item103010134104
804	item103010136114	3	item103010133114
805	item103010136114	3	item103010133104
806	item103010136114	4	item103010136114
807	item103010136114	4	item103010136104
808	item103010136114	5	item103010137114
809	item103010136114	5	item103010137104
810	item103010136114	6	item103010138114
811	item103010136114	6	item103010138104
812	item103010136201	1	item103010135201
813	item103010136201	2	item103010134201
814	item103010136201	3	item103010133201
815	item103010136201	4	item103010136201
816	item103010136201	5	item103010137201
817	item103010136201	6	item103010138201
818	item103010136202	1	item103010135202
819	item103010136202	2	item103010134202
820	item103010136202	3	item103010133202
821	item103010136202	4	item103010136202
822	item103010136202	5	item103010137202
823	item103010136202	6	item103010138202
824	item103010136203	1	item103010135203
825	item103010136203	2	item103010134203
826	item103010136203	3	item103010133203
827	item103010136203	4	item103010136203
828	item103010136203	5	item103010137203
829	item103010136203	6	item103010138203
830	item103010136204	1	item103010135204
831	item103010136204	2	item103010134204
832	item103010136204	3	item103010133204
833	item103010136204	4	item103010136204
834	item103010136204	5	item103010137204
835	item103010136204	6	item103010138204
836	item103010136301	1	item103010135301
837	item103010136301	2	item103010134301
838	item103010136301	3	item103010133301
839	item103010136301	4	item103010136301
840	item103010136301	5	item103010137301
841	item103010136301	6	item103010138301
842	item103010136302	1	item103010135302
843	item103010136302	2	item103010134302
844	item103010136302	3	item103010133302
845	item103010136302	4	item103010136302
846	item103010136302	5	item103010137302
847	item103010136302	6	item103010138302
848	item103010136303	1	item103010135303
849	item103010136303	2	item103010134303
850	item103010136303	3	item103010133303
851	item103010136303	4	item103010136303
852	item103010136303	5	item103010137303
853	item103010136303	6	item103010138303
854	item103010136304	1	item103010135304
855	item103010136304	2	item103010134304
856	item103010136304	3	item103010133304
857	item103010136304	4	item103010136304
858	item103010136304	5	item103010137304
859	item103010136304	6	item103010138304
860	item103010136305	1	item103010135305
861	item103010136305	2	item103010134305
862	item103010136305	3	item103010133305
863	item103010136305	4	item103010136305
864	item103010136305	5	item103010137305
865	item103010136305	6	item103010138305
866	item103010136306	1	item103010135306
867	item103010136306	2	item103010134306
868	item103010136306	3	item103010133306
869	item103010136306	4	item103010136306
