流水	关卡ID	列数	行数	事件ID	隐藏事件ID	底图icon	格子属性
111	101	8	15	2001	0	3	
112	101	9	15	4005	0	5	
113	101	15	15	4002	0	3	
114	101	16	15	2001	0	3	
115	101	17	15	2001	0	3	
116	101	18	15	4002	0	3	
117	101	19	15	4002	0	3	
118	101	7	16	2001	0	3	
119	101	8	16	2001	0	3	
120	101	16	16	4002	0	3	
121	101	17	16	1001	0	3	
122	101	18	16	4002	0	3	
123	101	19	16	4002	0	3	
124	101	20	16	4002	10112	3	
125	101	16	17	4002	0	3	
126	101	17	17	1001	0	3	
127	101	18	17	4002	0	3	
128	101	19	17	4002	10109	3	
129	101	20	17	10106	0	3	
130	101	10	18	4002	0	3	
131	101	11	18	2001	0	3	
132	101	12	18	4007	0	3	
133	101	13	18	3001	0	3	
134	101	17	18	4002	0	3	
135	101	18	18	4002	0	3	
136	101	19	18	4002	0	3	
137	101	20	18	4002	0	3	
138	101	10	19	2001	0	3	
139	101	11	19	4007	0	3	
140	101	12	19	3001	0	3	
141	101	13	19	10201	0	3	
142	101	10	20	1001	0	3	
143	101	11	20	2001	0	3	
144	101	12	20	4007	0	3	
145	101	13	20	4007	0	3	
146	101	10	21	6001	0	3	
147	101	11	21	2001	0	3	
148	101	12	21	2001	0	3	
149	101	13	21	4002	0	3	
150	102	1	1	4001	0	1	
151	102	2	1	4001	0	1	
152	102	3	1	4001	0	1	
153	102	4	1	4006	0	1	
154	102	5	1	10201	0	1	
155	102	6	1	4001	0	1	
156	102	7	1	4001	0	1	
157	102	8	1	4001	0	1	
158	102	9	1	4001	0	1	
159	102	10	1	4001	0	1	
160	102	11	1	4001	0	1	
161	102	12	1	4001	0	1	
162	102	13	1	4001	0	1	
163	102	14	1	4001	0	1	
164	102	15	1	4001	0	1	
165	102	16	1	4001	0	1	
166	102	3	2	4001	0	1	
167	102	4	2	3001	0	1	
168	102	5	2	2001	0	1	
169	102	6	2	3001	0	1	
170	102	7	2	1001	0	1	
171	102	8	2	2001	0	1	
172	102	9	2	3001	0	1	
173	102	10	2	2001	0	1	
174	102	11	2	3001	0	1	
175	102	12	2	3001	0	1	
176	102	13	2	3001	0	1	
177	102	14	2	3001	0	1	
178	102	15	2	1001	0	1	
179	102	16	2	4001	10108	1	
180	102	2	3	4001	0	1	
181	102	3	3	4001	10104	2	
182	102	4	3	3001	0	1	
183	102	5	3	3001	0	1	
184	102	6	3	2001	0	1	
185	102	7	3	2001	0	1	
186	102	8	3	3001	0	1	
187	102	9	3	8002	0	1	
188	102	10	3	2001	0	1	
189	102	11	3	3001	0	1	
190	102	12	3	4006	0	1	
191	102	13	3	3001	0	1	
192	102	14	3	1001	0	2	
193	102	15	3	1001	0	2	
194	102	16	3	2001	0	1	
195	102	21	3	1001	0	1	
196	102	22	3	2001	0	1	
197	102	23	3	6028	0	1	
198	102	3	4	4006	0	1	
199	102	4	4	3001	0	1	
200	102	5	4	3001	0	1	
201	102	6	4	2001	0	1	
202	102	7	4	2001	0	1	
203	102	8	4	1001	0	1	
204	102	9	4	3001	0	1	
205	102	10	4	3001	0	1	
206	102	11	4	2001	0	1	
207	102	12	4	4006	0	1	
208	102	13	4	1001	0	1	
209	102	14	4	1001	0	2	
210	102	15	4	9002	0	2	
211	102	16	4	1001	0	2	
212	102	21	4	2001	0	1	
213	102	22	4	2001	0	1	
214	102	23	4	2001	0	1	
215	102	24	4	2001	0	1	
216	102	2	5	4001	0	1	
217	102	3	5	4006	0	1	
218	102	4	5	4006	0	1	
219	102	5	5	4001	0	1	
220	102	6	5	4001	0	1	
221	102	7	5	1001	0	1	
222	102	11	5	4006	0	1	
223	102	12	5	1001	0	1	
224	102	13	5	2001	0	1	
225	102	14	5	1001	0	2	
226	102	15	5	1001	0	2	
227	102	16	5	10301	0	1	
228	102	21	5	2001	0	1	
229	102	22	5	2001	0	1	
230	102	23	5	2001	0	1	
231	102	2	6	4001	0	1	
232	102	3	6	3001	0	1	
233	102	4	6	3001	0	1	
234	102	5	6	2001	0	1	
235	102	6	6	2001	0	1	
236	102	7	6	1001	0	1	
237	102	8	6	2001	0	1	
238	102	9	6	1001	0	1	
239	102	10	6	1001	0	1	
240	102	11	6	4006	0	1	
241	102	12	6	1001	0	1	
242	102	13	6	1001	0	1	
243	102	14	6	2001	0	1	
244	102	15	6	4001	6026	1	
245	102	16	6	4001	0	1	
246	102	21	6	2001	0	1	
247	102	22	6	2001	0	1	
248	102	23	6	2001	0	1	
249	102	1	7	4001	0	1	
250	102	2	7	10115	0	2	
251	102	3	7	10201	0	1	
252	102	4	7	3001	0	1	
253	102	5	7	2001	0	1	
254	102	6	7	3001	0	1	
255	102	7	7	1001	0	1	
256	102	8	7	4006	0	1	
257	102	9	7	5002	0	2	
258	102	10	7	3001	0	1	
259	102	11	7	4006	0	1	
260	102	12	7	2001	0	1	
261	102	13	7	2001	0	1	
262	102	14	7	4001	6027	1	
263	102	15	7	4001	0	1	
264	102	16	7	4001	10126	1	
265	102	21	7	2001	0	1	
266	102	22	7	2001	0	1	
267	102	23	7	10301	0	1	
268	102	2	8	4001	0	1	
269	102	3	8	3001	0	1	
270	102	4	8	4001	0	1	
271	102	5	8	3001	0	1	
272	102	6	8	2001	0	1	
273	102	7	8	2001	0	1	
274	102	8	8	2001	0	1	
275	102	9	8	4006	0	1	
276	102	10	8	3001	0	1	
277	102	11	8	3001	0	1	
278	102	12	8	4006	0	1	
279	102	13	8	4006	0	1	
280	102	14	8	4006	0	1	
281	102	15	8	4006	0	1	
282	102	16	8	4006	0	1	
283	102	2	9	4001	0	1	
284	102	3	9	10301	0	1	
285	102	4	9	3001	0	1	
286	102	5	9	4001	0	1	
287	102	6	9	2001	0	1	
288	102	7	9	2001	0	1	
289	102	8	9	1001	0	1	
290	102	9	9	4006	0	1	
291	102	10	9	1001	0	1	
292	102	11	9	2001	0	1	
293	102	12	9	3001	0	1	
294	102	13	9	2001	0	1	
295	102	14	9	3001	0	1	
296	102	15	9	3001	0	1	
297	102	16	9	10301	0	2	
298	102	3	10	4001	0	1	
299	102	4	10	4006	0	1	
300	102	5	10	4006	0	1	
301	102	6	10	4006	0	1	
302	102	7	10	3001	0	1	
303	102	8	10	3001	0	1	
304	102	9	10	1001	0	1	
305	102	10	10	4006	0	1	
306	102	11	10	2001	0	1	
307	102	12	10	2001	0	1	
308	102	13	10	3001	0	1	
309	102	14	10	4006	0	1	
310	102	15	10	4006	0	1	
311	102	16	10	3001	0	1	
312	102	21	10	2001	0	1	
313	102	22	10	2001	0	1	
314	102	23	10	2001	0	1	
315	102	24	10	10301	0	1	
316	102	6	11	4001	0	1	
317	102	7	11	3001	0	1	
318	102	8	11	4006	0	1	
319	102	9	11	4006	0	1	
320	102	10	11	4006	0	1	
321	102	11	11	3001	0	1	
322	102	12	11	1001	0	1	
323	102	13	11	4006	0	1	
324	102	14	11	10301	0	2	
325	102	15	11	4006	0	1	
326	102	16	11	4006	0	1	
327	102	21	11	2001	0	1	
328	102	22	11	2001	0	1	
329	102	23	11	2001	0	1	
330	102	6	12	4001	0	1	
331	102	7	12	4001	0	1	
332	102	8	12	1001	0	1	
333	102	9	12	4006	0	1	
334	102	10	12	2001	0	1	
335	102	11	12	2001	0	1	
336	102	12	12	2001	0	1	
337	102	13	12	3001	0	1	
338	102	14	12	3001	0	1	
339	102	15	12	4006	0	1	
340	102	16	12	4006	0	1	
341	102	22	12	2001	0	1	
342	102	23	12	2001	0	1	
343	102	5	13	4006	0	1	
344	102	6	13	1001	0	1	
345	102	7	13	3001	0	1	
346	102	8	13	3001	0	1	
347	102	9	13	4006	0	1	
348	102	10	13	2001	0	1	
349	102	11	13	1001	0	1	
350	102	12	13	4006	0	1	
351	102	13	13	3001	0	1	
352	102	14	13	4006	0	1	
353	102	15	13	4006	0	1	
354	102	16	13	1001	0	1	
355	102	21	13	1001	0	1	
356	102	22	13	2001	0	1	
357	102	23	13	6028	0	1	
358	102	6	14	4001	0	1	
359	102	7	14	3001	0	1	
360	102	8	14	2001	0	1	
361	102	9	14	3001	0	1	
362	102	10	14	4006	0	1	
363	102	11	14	2001	0	1	
364	102	12	14	4006	0	1	
365	102	13	14	2001	0	1	
366	102	14	14	4006	0	1	
367	102	15	14	4006	0	1	
368	102	16	14	4006	0	1	
369	102	5	15	4001	0	1	
370	102	6	15	6001	0	1	
371	102	7	15	2001	0	1	
372	102	8	15	3001	0	1	
373	102	9	15	2001	0	1	
374	102	10	15	4006	0	1	
375	102	11	15	1001	0	1	
376	102	12	15	1001	0	1	
377	102	13	15	4006	0	1	
378	102	14	15	4006	0	1	
379	102	15	15	4006	0	1	
380	102	16	15	4007	0	1	
381	102	6	16	4006	0	1	
382	102	7	16	10301	0	1	
383	102	8	16	3001	0	1	
384	102	9	16	3001	0	1	
385	102	10	16	10113	0	2	
386	102	11	16	4006	0	1	
387	102	12	16	2001	0	1	
388	102	13	16	1001	0	1	
389	102	14	16	4006	0	1	
390	102	15	16	4006	0	1	
391	102	16	16	1001	0	1	
392	102	6	17	4001	0	1	
393	102	7	17	4001	0	1	
394	102	8	17	4001	0	1	
395	102	9	17	4001	0	1	
396	102	10	17	4006	0	1	
397	102	11	17	4001	0	1	
398	102	12	17	1001	0	1	
399	102	13	17	1001	0	1	
400	102	14	17	2001	0	1	
401	102	15	17	1001	0	1	
402	102	16	17	1001	0	1	
403	103	2	2	4001	0	1	
404	103	3	2	4001	0	1	
405	103	4	2	4001	0	1	
406	103	5	2	4001	0	1	
407	103	6	2	4001	0	1	
408	103	7	2	4001	0	1	
409	103	8	2	4001	0	1	
410	103	9	2	4001	0	1	
411	103	10	2	4001	0	1	
412	103	11	2	4001	0	1	
413	103	12	2	4001	0	1	
414	103	13	2	4001	0	1	
415	103	14	2	4001	0	1	
416	103	2	3	4001	0	1	
417	103	3	3	2001	0	1	
418	103	4	3	2001	0	1	
419	103	5	3	3001	0	1	
420	103	6	3	2001	0	1	
421	103	7	3	3001	0	1	
422	103	8	3	3001	0	1	
423	103	9	3	3001	0	1	
424	103	10	3	2001	0	1	
425	103	11	3	3001	0	1	
426	103	12	3	2001	0	1	
427	103	13	3	1001	0	1	
428	103	14	3	1001	0	1	
429	103	2	4	4001	0	1	
430	103	3	4	1001	0	1	
431	103	4	4	2001	0	1	
432	103	5	4	2001	0	1	
433	103	6	4	3001	0	1	
434	103	7	4	2001	0	1	
435	103	8	4	4001	0	1	
436	103	9	4	3001	0	1	
437	103	10	4	2001	0	1	
438	103	11	4	3001	0	1	
439	103	12	4	3001	0	1	
440	103	13	4	2001	0	1	
441	103	14	4	1001	0	1	
442	103	18	4	4001	0	1	
443	103	19	4	4001	0	1	
444	103	20	4	4001	0	1	
445	103	21	4	4001	0	1	
446	103	2	5	4001	0	1	
447	103	3	5	2001	0	1	
448	103	4	5	3001	0	1	
449	103	5	5	3001	0	1	
450	103	6	5	3001	0	1	
451	103	7	5	4001	0	1	
452	103	8	5	2001	0	1	
453	103	9	5	3001	0	1	
454	103	10	5	2001	0	1	
455	103	11	5	3001	0	1	
456	103	12	5	3001	0	1	
457	103	13	5	1001	0	1	
458	103	14	5	1001	0	1	
459	103	18	5	3001	0	1	
460	103	19	5	3001	0	1	
461	103	20	5	6033	0	1	
462	103	21	5	4001	0	1	
463	103	2	6	4001	0	1	
464	103	3	6	3001	0	1	
465	103	4	6	3001	0	1	
466	103	5	6	3001	0	1	
467	103	6	6	2001	0	1	
468	103	7	6	2001	0	1	
469	103	8	6	4001	0	1	
470	103	9	6	2001	0	1	
471	103	10	6	3001	0	1	
472	103	11	6	2001	0	1	
473	103	12	6	2001	0	1	
474	103	13	6	2001	0	1	
475	103	14	6	3001	0	1	
476	103	18	6	2001	0	1	
477	103	19	6	8003	0	1	
478	103	20	6	3001	0	1	
479	103	21	6	4001	0	1	
480	103	2	7	4001	0	1	
481	103	3	7	1001	0	1	
482	103	4	7	3001	0	1	
483	103	5	7	2001	0	1	
484	103	6	7	3001	0	1	
485	103	7	7	3001	0	1	
486	103	8	7	4001	0	1	
487	103	9	7	10114	0	1	
488	103	10	7	3001	0	1	
489	103	11	7	3001	0	1	
490	103	12	7	3001	0	1	
491	103	13	7	3001	0	1	
492	103	14	7	6032	0	1	
493	103	18	7	3001	0	1	
494	103	19	7	2001	0	1	
495	103	20	7	3001	0	1	
496	103	21	7	4001	0	1	
497	103	18	8	2001	0	1	
498	103	19	8	2001	0	1	
499	103	20	8	3001	0	1	
500	103	21	8	4001	0	1	
501	103	4	9	4001	0	1	
502	103	5	9	1001	0	1	
503	103	6	9	3001	0	1	
504	103	7	9	3001	0	1	
505	103	8	9	3001	0	1	
506	103	9	9	3001	0	1	
507	103	10	9	4001	0	1	
508	103	11	9	3001	0	1	
509	103	12	9	3001	0	1	
510	103	13	9	4001	0	1	
511	103	18	9	1001	0	1	
512	103	19	9	3001	0	1	
513	103	20	9	2001	0	1	
514	103	21	9	4001	0	1	
515	103	5	10	4001	0	1	
516	103	6	10	2001	0	1	
517	103	7	10	2001	0	1	
518	103	8	10	2001	0	1	
519	103	9	10	3001	0	1	
520	103	10	10	4001	0	1	
521	103	11	10	3001	0	1	
522	103	12	10	3001	0	1	
523	103	13	10	6035	0	1	
524	103	14	10	4001	0	1	
525	103	5	11	4001	0	1	
526	103	6	11	3001	0	1	
527	103	7	11	2001	0	1	
528	103	8	11	3001	0	1	
529	103	9	11	4001	0	1	
530	103	10	11	2001	0	1	
531	103	11	11	2001	0	1	
532	103	12	11	3001	0	1	
533	103	13	11	3001	0	1	
534	103	14	11	4001	0	1	
535	103	20	11	1001	0	1	
536	103	21	11	5003	0	1	
537	103	22	11	6034	0	1	
538	103	4	12	4001	0	1	
539	103	5	12	4001	0	1	
540	103	6	12	3001	0	1	
541	103	7	12	2001	0	1	
542	103	8	12	4001	0	1	
543	103	9	12	4001	0	1	
544	103	10	12	3001	0	1	
545	103	11	12	2001	0	1	
546	103	12	12	3001	0	1	
547	103	13	12	3001	0	1	
548	103	14	12	4001	0	1	
549	103	20	12	4001	0	1	
550	103	21	12	2001	0	1	
551	103	22	12	2001	0	1	
552	103	4	13	4001	0	1	
553	103	5	13	3001	0	1	
554	103	6	13	2001	0	1	
555	103	7	13	4001	0	1	
556	103	8	13	3001	0	1	
557	103	9	13	3001	0	1	
558	103	10	13	3001	0	1	
559	103	11	13	2001	0	1	
560	103	12	13	4001	0	1	
561	103	20	13	4001	0	1	
562	103	21	13	4001	0	1	
563	103	22	13	2001	0	1	
564	103	5	14	4001	0	1	
565	103	6	14	3001	0	1	
566	103	7	14	2001	0	1	
567	103	8	14	2001	0	1	
568	103	9	14	2001	0	1	
569	103	10	14	2001	0	1	
570	103	11	14	3001	0	1	
571	103	12	14	2001	0	1	
572	103	13	14	4001	0	1	
573	103	14	14	4002	10201	1	
574	103	20	14	4001	0	1	
575	103	21	14	10116	0	1	
576	103	22	14	4001	0	1	
577	103	5	15	4001	0	1	
578	103	6	15	3001	0	1	
579	103	7	15	3001	0	1	
580	103	8	15	3001	0	1	
581	103	9	15	3001	0	1	
582	103	10	15	2001	0	1	
583	103	11	15	2001	0	1	
584	103	12	15	2001	0	1	
585	103	13	15	4001	0	1	
586	103	20	15	4003	10301	1	
587	103	21	15	4001	0	1	
588	103	22	15	4001	0	1	
589	103	17	17	1001	0	1	
590	103	18	17	1001	0	1	
591	103	19	17	1001	0	1	
592	103	17	18	1001	0	1	
593	103	18	18	9003	0	1	
594	103	19	18	1001	0	1	
595	103	4	19	4001	0	1	
596	103	5	19	2002	0	1	
597	103	6	19	3001	0	1	
598	103	7	19	3001	0	1	
599	103	8	19	2001	0	1	
600	103	10	19	1001	0	1	
601	103	11	19	1001	0	1	
602	103	12	19	2001	0	1	
603	103	13	19	2001	0	1	
604	103	14	19	4002	10127	1	
605	103	17	19	1001	0	1	
606	103	18	19	1001	0	1	
607	103	19	19	1001	0	1	
608	103	4	20	4001	0	1	
609	103	5	20	1001	0	1	
610	103	6	20	3001	0	1	
611	103	8	20	10102	0	1	
612	103	10	20	1001	0	1	
613	103	11	20	3001	0	1	
614	103	12	20	3001	0	1	
615	103	13	20	6002	0	1	
616	103	14	20	4001	0	1	
617	103	17	20	4001	10301	1	
618	103	18	20	1001	0	1	
619	103	19	20	1001	0	1	
620	103	4	21	4001	0	1	
621	103	5	21	2001	0	1	
622	103	6	21	3001	0	1	
623	103	7	21	3001	0	1	
624	103	8	21	6036	0	1	
625	103	10	21	1001	0	1	
626	103	11	21	2001	0	1	
627	103	12	21	2001	0	1	
628	103	13	21	3001	0	1	
629	103	14	21	4001	0	1	
630	103	10	22	3001	0	1	
631	103	11	22	10301	0	1	
632	103	12	22	3001	0	1	
633	103	13	22	3001	0	1	
634	103	14	22	4002	10105	1	
635	103	10	23	4001	0	1	
636	103	11	23	4001	0	1	
637	103	12	23	4001	0	1	
638	103	13	23	4001	0	1	
639	103	14	23	4001	0	1	
640	104	1	1	1001	0	4	
641	104	2	1	4003	0	4	
642	104	3	1	4003	0	4	
643	104	4	1	4003	0	4	
644	104	5	1	4003	0	4	
645	104	6	1	4003	0	4	
646	104	7	1	4003	10120	4	
647	104	13	1	4003	0	4	
648	104	14	1	4003	0	4	
649	104	15	1	4003	0	4	
650	104	16	1	4003	10107	4	
651	104	17	1	4003	0	4	
652	104	18	1	4003	0	4	
653	104	19	1	4003	0	4	
654	104	20	1	1001	0	4	
655	104	1	2	1001	0	4	
656	104	2	2	5004	0	4	
657	104	3	2	4003	0	4	
658	104	4	2	4003	0	4	
659	104	5	2	4003	0	4	
660	104	6	2	4003	0	4	
661	104	7	2	4003	0	4	
662	104	8	2	4003	0	4	
663	104	14	2	1001	0	4	
664	104	15	2	1001	0	4	
665	104	16	2	3001	0	4	
666	104	17	2	3001	0	4	
667	104	18	2	1001	0	4	
668	104	19	2	1001	0	4	
669	104	20	2	1001	0	4	
670	104	1	3	1001	0	4	
671	104	2	3	2001	0	4	
672	104	3	3	3001	0	4	
673	104	4	3	3001	0	4	
674	104	5	3	2001	0	4	
675	104	6	3	1001	0	4	
676	104	7	3	3001	0	4	
677	104	13	3	2001	0	4	
678	104	14	3	2001	0	4	
679	104	15	3	2001	0	4	
680	104	16	3	2001	0	4	
681	104	17	3	2001	0	4	
682	104	18	3	2001	0	4	
683	104	19	3	1001	0	4	
684	104	20	3	1001	0	4	
685	104	21	3	1001	0	4	
686	104	26	3	1001	0	4	
687	104	27	3	2001	0	4	
688	104	1	4	1001	0	4	
689	104	2	4	1001	0	4	
690	104	3	4	3001	0	4	
691	104	4	4	3001	0	4	
692	104	5	4	3001	0	4	
693	104	6	4	3001	0	4	
694	104	7	4	2001	0	4	
695	104	8	4	2102	0	4	
696	104	14	4	1001	0	4	
697	104	15	4	3001	0	4	
698	104	16	4	2001	0	4	
699	104	17	4	3001	0	4	
700	104	18	4	9004	0	4	
701	104	19	4	2001	0	4	
702	104	20	4	1001	0	4	
703	104	22	4	2101	0	4	
704	104	24	4	1001	0	4	
705	104	25	4	1001	0	4	
706	104	26	4	2001	0	4	
707	104	27	4	10301	0	4	
708	104	28	4	2001	0	4	
709	104	1	5	1001	0	4	
710	104	2	5	1001	0	4	
711	104	3	5	3001	0	4	
712	104	4	5	3001	0	4	
713	104	5	5	2001	0	4	
714	104	6	5	2001	0	4	
715	104	7	5	2001	0	4	
716	104	13	5	1001	0	4	
717	104	14	5	3001	0	4	
718	104	15	5	2001	0	4	
719	104	16	5	1001	0	4	
720	104	17	5	2001	0	4	
721	104	18	5	2001	0	4	
722	104	19	5	3001	0	4	
723	104	20	5	3001	0	4	
724	104	22	5	1001	0	4	
725	104	23	5	1001	0	4	
726	104	25	5	1001	0	4	
727	104	26	5	2001	0	4	
728	104	27	5	2001	0	4	
729	104	1	6	4005	0	5	
730	104	2	6	1001	0	4	
731	104	3	6	1001	0	4	
732	104	4	6	10130	0	4	
733	104	5	6	3001	0	4	
734	104	6	6	2001	0	4	
735	104	7	6	2001	0	4	
736	104	8	6	6007	0	4	
737	104	14	6	2001	0	4	
738	104	15	6	3001	0	4	
739	104	16	6	3001	0	4	
740	104	17	6	3001	0	4	
741	104	18	6	3001	0	4	
742	104	19	6	3001	0	4	
743	104	20	6	4003	3001	4	
744	104	1	7	4005	0	5	
745	104	2	7	4005	0	5	
746	104	3	7	4005	0	5	
747	104	4	7	4005	0	5	
748	104	5	7	4005	0	5	
749	104	6	7	4005	0	5	
750	104	7	7	4005	0	5	
751	104	13	7	10131	0	4	
752	104	14	7	3001	0	4	
753	104	15	7	6025	0	4	
754	104	16	7	3001	0	4	
755	104	17	7	2102	0	4	
756	104	18	7	3001	0	4	
757	104	19	7	4003	3001	4	
758	104	20	7	4003	10117	4	
759	104	1	8	1001	0	4	
760	104	2	8	2001	0	4	
761	104	3	8	2001	0	4	
762	104	4	8	1001	0	4	
763	104	5	8	1001	0	4	
764	104	6	8	1001	0	4	
765	104	7	8	1001	0	4	
766	104	8	8	1001	0	4	
767	104	14	8	4005	0	5	
768	104	15	8	4005	0	5	
769	104	16	8	4005	0	5	
770	104	17	8	4005	0	5	
771	104	18	8	4005	0	5	
772	104	19	8	4005	0	5	
773	104	20	8	4005	0	5	
774	104	1	9	1001	0	4	
775	104	2	9	3001	0	4	
776	104	3	9	2001	0	4	
777	104	4	9	3001	0	4	
778	104	5	9	3001	0	4	
779	104	6	9	3001	0	4	
780	104	7	9	1001	0	4	
781	104	13	9	4005	0	5	
782	104	14	9	10119	0	4	
783	104	15	9	3001	0	4	
784	104	16	9	10201	0	4	
785	104	17	9	1001	0	4	
786	104	18	9	1001	0	4	
787	104	19	9	1001	0	4	
788	104	20	9	6006	0	4	
789	104	1	10	1001	0	4	
790	104	2	10	3001	0	4	
791	104	3	10	2001	0	4	
792	104	4	10	2001	0	4	
793	104	5	10	3001	0	4	
794	104	6	10	3001	0	4	
795	104	7	10	2001	0	4	
796	104	8	10	2001	0	4	
797	104	14	10	2001	0	4	
798	104	15	10	2001	0	4	
799	104	16	10	2001	0	4	
800	104	17	10	1001	0	4	
801	104	18	10	3001	0	4	
802	104	19	10	3001	0	4	
803	104	20	10	1001	0	4	
804	104	1	11	2001	0	4	
805	104	2	11	3001	0	4	
806	104	3	11	2001	0	4	
807	104	4	11	3001	0	4	
808	104	5	11	3001	0	4	
809	104	6	11	3001	0	4	
810	104	7	11	2001	0	4	
811	104	13	11	2001	0	4	
812	104	14	11	3001	0	4	
813	104	15	11	3001	0	4	
814	104	16	11	3001	0	4	
815	104	17	11	3001	0	4	
816	104	18	11	2001	0	4	
817	104	19	11	3001	0	4	
818	104	20	11	1001	0	4	
819	104	21	11	1001	0	4	
820	104	22	11	1001	0	4	
821	104	1	12	1001	0	4	
822	104	2	12	2001	0	4	
823	104	3	12	3001	0	4	
824	104	4	12	3001	0	4	
825	104	5	12	3001	0	4	
826	104	6	12	3001	0	4	
827	104	7	12	1001	0	4	
828	104	8	12	6005	0	4	
829	104	14	12	2001	0	4	
830	104	15	12	3001	0	4	
831	104	16	12	3001	0	4	
832	104	17	12	2001	0	4	
833	104	18	12	2001	0	4	
834	104	19	12	3001	0	4	
835	104	20	12	3001	0	4	
836	104	21	12	1001	0	4	
837	104	22	12	1001	0	4	
838	104	23	12	2101	0	4	
839	104	24	12	2001	0	4	
840	104	25	12	10301	0	4	
841	104	1	13	4005	0	5	
842	104	2	13	4005	0	5	
843	104	3	13	4005	0	5	
844	104	4	13	4005	0	5	
845	104	5	13	4005	0	5	
846	104	6	13	4005	0	5	
847	104	7	13	4005	0	5	
848	104	13	13	1001	0	4	
849	104	14	13	1001	0	4	
850	104	15	13	3001	0	4	
851	104	16	13	3001	0	4	
852	104	17	13	3001	0	4	
853	104	18	13	2001	0	4	
854	104	19	13	3001	0	4	
855	104	20	13	1001	0	4	
856	104	23	13	2001	0	4	
857	104	24	13	10301	0	4	
858	104	25	13	1001	0	4	
859	104	1	14	1001	0	4	
860	104	2	14	1001	0	4	
861	104	3	14	1001	0	4	
862	104	4	14	2001	0	4	
863	104	5	14	8004	0	4	
864	104	6	14	1001	0	4	
865	104	7	14	1001	0	4	
